choice_key	dilemma_key
SECOND	3c_rom_Sibylline_Books_B2
THIRD	3c_rom_Sibylline_Books_B2
FIRST	3c_rom_Sibylline_Books_B3
FOURTH	3c_rom_Sibylline_Books_B3
SECOND	3c_rom_Sibylline_Books_B3
THIRD	3c_rom_Sibylline_Books_B3
FIRST	3c_rom_Sibylline_Books_C1
FOURTH	3c_rom_Sibylline_Books_C1
SECOND	3c_rom_Sibylline_Books_C1
THIRD	3c_rom_Sibylline_Books_C1
FIRST	3c_rom_Sibylline_Books_C2
FOURTH	3c_rom_Sibylline_Books_C2
SECOND	3c_rom_Sibylline_Books_C2
THIRD	3c_rom_Sibylline_Books_C2
FIRST	3c_rom_Sibylline_Books_C3
FOURTH	3c_rom_Sibylline_Books_C3
SECOND	3c_rom_Sibylline_Books_C3
THIRD	3c_rom_Sibylline_Books_C3
FIRST	3c_rom_Sibylline_Books_D1
FOURTH	3c_rom_Sibylline_Books_D1
SECOND	3c_rom_Sibylline_Books_D1
THIRD	3c_rom_Sibylline_Books_D1
FIRST	3c_rom_Sibylline_Books_D2
FOURTH	3c_rom_Sibylline_Books_D2
SECOND	3c_rom_Sibylline_Books_D2
THIRD	3c_rom_Sibylline_Books_D2
FIRST	3c_rom_Sibylline_Books_D3
FOURTH	3c_rom_Sibylline_Books_D3
SECOND	3c_rom_Sibylline_Books_D3
THIRD	3c_rom_Sibylline_Books_D3
FIRST	3c_rom_ships_at_the_port
FOURTH	3c_rom_ships_at_the_port
SECOND	3c_rom_ships_at_the_port
THIRD	3c_rom_ships_at_the_port
FIRST	3c_rome_stolen_eagle
FOURTH	3c_rome_stolen_eagle
SECOND	3c_rome_stolen_eagle
THIRD	3c_rome_stolen_eagle
FIRST	bar_abundant_fish
SECOND	bar_abundant_fish
FIRST	bar_blockade_bites
SECOND	bar_blockade_bites
FIRST	bar_border_dispute
SECOND	bar_border_dispute
FIRST	bar_corrupt_governor
SECOND	bar_corrupt_governor
FIRST	bar_looting
SECOND	bar_looting
FIRST	bar_migrating_people
SECOND	bar_migrating_people
FIRST	bar_noble_greed
SECOND	bar_noble_greed
FIRST	bar_on_the_edge
SECOND	bar_on_the_edge
FIRST	bar_riots
SECOND	bar_riots
FIRST	bar_signs_against_us
SECOND	bar_signs_against_us
FIRST	bar_slavedriver
SECOND	bar_slavedriver
FIRST	bar_useless_bureauracy
SECOND	bar_useless_bureauracy
FIRST	barb_hostile_dispute
FOURTH	barb_hostile_dispute
SECOND	barb_hostile_dispute
THIRD	barb_hostile_dispute
FIRST	barb_hostile_governor
FOURTH	barb_hostile_governor
SECOND	barb_hostile_governor
THIRD	barb_hostile_governor
FIRST	barb_my_sword
SECOND	barb_my_sword
THIRD	barb_my_sword
FIRST	barb_secret_meetings
FOURTH	barb_secret_meetings
SECOND	barb_secret_meetings
THIRD	barb_secret_meetings
FIRST	barb_trading_enemy
SECOND	barb_trading_enemy
FIRST	barb_tribal_loyalty
FOURTH	barb_tribal_loyalty
SECOND	barb_tribal_loyalty
THIRD	barb_tribal_loyalty
FIRST	barb_young_challenger
FOURTH	barb_young_challenger
SECOND	barb_young_challenger
THIRD	barb_young_challenger
FIRST	chain_carthage_gold_tolosa_2_find
SECOND	chain_carthage_gold_tolosa_2_find
FIRST	chain_carthage_gold_tolosa_3_barcidilemma_claim
SECOND	chain_carthage_gold_tolosa_3_barcidilemma_claim
FIRST	chain_carthage_gold_tolosa_3_hannonidilemma_claim
SECOND	chain_carthage_gold_tolosa_3_hannonidilemma_claim
FIRST	chain_carthage_gold_tolosa_3_magonidilemma_claim
SECOND	chain_carthage_gold_tolosa_3_magonidilemma_claim
FIRST	chain_celtic_gold_tolosa_2_find
SECOND	chain_celtic_gold_tolosa_2_find
FIRST	chain_eastern_gold_tolosa_2_find
SECOND	chain_eastern_gold_tolosa_2_find
FIRST	chain_egy_tomb_robbers_1
SECOND	chain_egy_tomb_robbers_1
THIRD	chain_egy_tomb_robbers_1
FIRST	chain_egy_tomb_robbers_2_capture
SECOND	chain_egy_tomb_robbers_2_capture
FIRST	chain_german_gold_tolosa_2_find
SECOND	chain_german_gold_tolosa_2_find
FIRST	chain_hellenic_gold_tolosa_2_find
SECOND	chain_hellenic_gold_tolosa_2_find
FIRST	chain_roman_gold_tolosa_2_find
SECOND	chain_roman_gold_tolosa_2_find
FIRST	chain_roman_gold_tolosa_3_claudia_claim
SECOND	chain_roman_gold_tolosa_3_claudia_claim
FIRST	chain_roman_gold_tolosa_3_julia_claim
SECOND	chain_roman_gold_tolosa_3_julia_claim
FIRST	chain_roman_gold_tolosa_3_junia_claim
SECOND	chain_roman_gold_tolosa_3_junia_claim
FIRST	dilemma_all_developmental_focus
SECOND	dilemma_all_developmental_focus
FIRST	dilemma_all_economic_intent
SECOND	dilemma_all_economic_intent
THIRD	dilemma_all_economic_intent
FIRST	dilemma_all_keeping_peace
SECOND	dilemma_all_keeping_peace
THIRD	dilemma_all_keeping_peace
FIRST	dilemma_all_lack_of_cavalry
SECOND	dilemma_all_lack_of_cavalry
FIRST	dilemma_all_martial_priorities
SECOND	dilemma_all_martial_priorities
THIRD	dilemma_all_martial_priorities
FIRST	dilemma_all_mercenaries
SECOND	dilemma_all_mercenaries
FIRST	dilemma_all_the_stand
SECOND	dilemma_all_the_stand
THIRD	dilemma_all_the_stand
FIRST	dilemma_barbarian_independence_or_diplomacy
SECOND	dilemma_barbarian_independence_or_diplomacy
FIRST	dilemma_barbarian_lost_legionaries
SECOND	dilemma_barbarian_lost_legionaries
FIRST	dilemma_carthage_successor_mercenaries
SECOND	dilemma_carthage_successor_mercenaries
THIRD	dilemma_carthage_successor_mercenaries
FIRST	dilemma_civilised_acculturation
SECOND	dilemma_civilised_acculturation
THIRD	dilemma_civilised_acculturation
FIRST	dilemma_civilised_rampant_piracy
SECOND	dilemma_civilised_rampant_piracy
THIRD	dilemma_civilised_rampant_piracy
FIRST	dilemma_german_metal
SECOND	dilemma_german_metal
FIRST	dilemma_german_prelude_to_war
SECOND	dilemma_german_prelude_to_war
THIRD	dilemma_german_prelude_to_war
FIRST	dilemma_hellenic_philosophy_of_management
FOURTH	dilemma_hellenic_philosophy_of_management
SECOND	dilemma_hellenic_philosophy_of_management
THIRD	dilemma_hellenic_philosophy_of_management
FIRST	dilemma_hellenic_xenophon_cavalry
SECOND	dilemma_hellenic_xenophon_cavalry
FIRST	dilemma_roman_blood_circuses
FOURTH	dilemma_roman_blood_circuses
SECOND	dilemma_roman_blood_circuses
THIRD	dilemma_roman_blood_circuses
FIRST	dilemma_roman_comet
FOURTH	dilemma_roman_comet
SECOND	dilemma_roman_comet
THIRD	dilemma_roman_comet
FIRST	dilemma_roman_gladiator
SECOND	dilemma_roman_gladiator
THIRD	dilemma_roman_gladiator
FIRST	dilemma_roman_governor_corruption
SECOND	dilemma_roman_governor_corruption
FIRST	dilemma_roman_grand_tour
SECOND	dilemma_roman_grand_tour
THIRD	dilemma_roman_grand_tour
FIRST	dilemma_roman_munera_claudia
SECOND	dilemma_roman_munera_claudia
THIRD	dilemma_roman_munera_claudia
FIRST	dilemma_roman_munera_julia
SECOND	dilemma_roman_munera_julia
THIRD	dilemma_roman_munera_julia
FIRST	dilemma_roman_munera_junia
SECOND	dilemma_roman_munera_junia
THIRD	dilemma_roman_munera_junia
FIRST	dilemma_roman_plebs_slave_resentment
SECOND	dilemma_roman_plebs_slave_resentment
THIRD	dilemma_roman_plebs_slave_resentment
FIRST	dilemma_roman_provincial_migration
SECOND	dilemma_roman_provincial_migration
THIRD	dilemma_roman_provincial_migration
FIRST	dilemma_sparta_laconophilia
SECOND	dilemma_sparta_laconophilia
THIRD	dilemma_sparta_laconophilia
FIRST	dilemma_successor_foreign_ruler_blues
SECOND	dilemma_successor_foreign_ruler_blues
FIRST	dk_architects
SECOND	dk_architects
THIRD	dk_architects
FIRST	dk_business_venture
SECOND	dk_business_venture
THIRD	dk_business_venture
FIRST	dk_camel_disease
SECOND	dk_camel_disease
THIRD	dk_camel_disease
FIRST	dk_construction_delayed
SECOND	dk_construction_delayed
THIRD	dk_construction_delayed
FIRST	dk_dig
SECOND	dk_dig
FIRST	dk_dyes
SECOND	dk_dyes
THIRD	dk_dyes
FIRST	dk_fish_catch
SECOND	dk_fish_catch
THIRD	dk_fish_catch
FIRST	dk_foreign_intrigue
FOURTH	dk_foreign_intrigue
SECOND	dk_foreign_intrigue
THIRD	dk_foreign_intrigue
FIRST	dk_foreign_ship
SECOND	dk_foreign_ship
THIRD	dk_foreign_ship
FIRST	dk_gift
FOURTH	dk_gift
SECOND	dk_gift
THIRD	dk_gift
FIRST	dk_glorious_past
SECOND	dk_glorious_past
THIRD	dk_glorious_past
FIRST	dk_kush_gods_A
SECOND	dk_kush_gods_A
FIRST	dk_kush_gods_B
SECOND	dk_kush_gods_B
FIRST	dk_kush_gods_C
SECOND	dk_kush_gods_C
FIRST	dk_kush_gods_D
SECOND	dk_kush_gods_D
FIRST	dk_kush_gods_E
SECOND	dk_kush_gods_E
FIRST	dk_kush_gods_F
SECOND	dk_kush_gods_F
FIRST	dk_kush_gods_G
SECOND	dk_kush_gods_G
FIRST	dk_kush_gods_initial
SECOND	dk_kush_gods_initial
FIRST	dk_kush_nile
SECOND	dk_kush_nile
FIRST	dk_kush_priests_suicide
SECOND	dk_kush_priests_suicide
FIRST	dk_kush_pyramid_noble
SECOND	dk_kush_pyramid_noble
THIRD	dk_kush_pyramid_noble
FIRST	dk_kush_pyramid_warrior
SECOND	dk_kush_pyramid_warrior
THIRD	dk_kush_pyramid_warrior
FIRST	dk_locusts
SECOND	dk_locusts
FIRST	dk_lost_caravan
SECOND	dk_lost_caravan
FIRST	dk_mercernaries
SECOND	dk_mercernaries
THIRD	dk_mercernaries
FIRST	dk_merchants_plea
SECOND	dk_merchants_plea
THIRD	dk_merchants_plea
FIRST	dk_monster
FOURTH	dk_monster
SECOND	dk_monster
THIRD	dk_monster
FIRST	dk_numidia_dreams
FOURTH	dk_numidia_dreams
SECOND	dk_numidia_dreams
THIRD	dk_numidia_dreams
FIRST	dk_numidia_migration
FOURTH	dk_numidia_migration
SECOND	dk_numidia_migration
THIRD	dk_numidia_migration
FIRST	dk_numidia_raid
SECOND	dk_numidia_raid
FIRST	dk_numidia_tribute_carthage
SECOND	dk_numidia_tribute_carthage
FIRST	dk_numidia_tribute_rome
SECOND	dk_numidia_tribute_rome
FIRST	dk_prosperity
FOURTH	dk_prosperity
SECOND	dk_prosperity
THIRD	dk_prosperity
FIRST	dk_refugees
SECOND	dk_refugees
FIRST	dk_sand_storm
SECOND	dk_sand_storm
FIRST	dk_shipwreck
SECOND	dk_shipwreck
THIRD	dk_shipwreck
FIRST	dk_slavers_ship
SECOND	dk_slavers_ship
THIRD	dk_slavers_ship
FIRST	dk_survivors
FOURTH	dk_survivors
SECOND	dk_survivors
THIRD	dk_survivors
FIRST	dk_suspicious_merchant
SECOND	dk_suspicious_merchant
FIRST	dk_tools
SECOND	dk_tools
FIRST	dk_unhappy_workers
SECOND	dk_unhappy_workers
FIRST	eas_abundant_fish
SECOND	eas_abundant_fish
FIRST	eas_agrarian_agitator
FOURTH	eas_agrarian_agitator
SECOND	eas_agrarian_agitator
THIRD	eas_agrarian_agitator
FIRST	eas_blockade_bites
SECOND	eas_blockade_bites
FIRST	eas_border_dispute
SECOND	eas_border_dispute
FIRST	eas_corrupt_governor
SECOND	eas_corrupt_governor
FIRST	eas_hostile_dispute
FOURTH	eas_hostile_dispute
SECOND	eas_hostile_dispute
THIRD	eas_hostile_dispute
FIRST	eas_hostile_governor
FOURTH	eas_hostile_governor
SECOND	eas_hostile_governor
THIRD	eas_hostile_governor
FIRST	eas_looting
SECOND	eas_looting
FIRST	eas_migrating_people
SECOND	eas_migrating_people
FIRST	eas_noble_greed
SECOND	eas_noble_greed
FIRST	eas_on_the_edge
SECOND	eas_on_the_edge
FIRST	eas_riots
SECOND	eas_riots
FIRST	eas_secret_meetings
FOURTH	eas_secret_meetings
SECOND	eas_secret_meetings
THIRD	eas_secret_meetings
FIRST	eas_signs_against_us
SECOND	eas_signs_against_us
FIRST	eas_slavedriver
SECOND	eas_slavedriver
FIRST	eas_temple_sacrilege
FOURTH	eas_temple_sacrilege
SECOND	eas_temple_sacrilege
THIRD	eas_temple_sacrilege
FIRST	eas_useless_bureauracy
SECOND	eas_useless_bureauracy
FIRST	eas_young_challenger
FOURTH	eas_young_challenger
SECOND	eas_young_challenger
THIRD	eas_young_challenger
FIRST	female_leader_agriculture_barb
SECOND	female_leader_agriculture_barb
FIRST	female_leader_agriculture_barb_root
SECOND	female_leader_agriculture_barb_root
FIRST	female_leader_agriculture_desert
SECOND	female_leader_agriculture_desert
FIRST	female_leader_agriculture_desert_root
SECOND	female_leader_agriculture_desert_root
FIRST	female_leader_agriculture_east
SECOND	female_leader_agriculture_east
FIRST	female_leader_agriculture_east_root
SECOND	female_leader_agriculture_east_root
FIRST	female_leader_agriculture_greek
SECOND	female_leader_agriculture_greek
FIRST	female_leader_agriculture_rom
SECOND	female_leader_agriculture_rom
FIRST	female_leader_cavalry_barb
SECOND	female_leader_cavalry_barb
FIRST	female_leader_cavalry_desert
SECOND	female_leader_cavalry_desert
FIRST	female_leader_cavalry_egypt
SECOND	female_leader_cavalry_egypt
FIRST	female_leader_daughter_barb
SECOND	female_leader_daughter_barb
FIRST	female_leader_daughter_desert
SECOND	female_leader_daughter_desert
FIRST	female_leader_daughter_east
SECOND	female_leader_daughter_east
FIRST	female_leader_daughter_greek
SECOND	female_leader_daughter_greek
FIRST	female_leader_daughter_rom
SECOND	female_leader_daughter_rom
FIRST	female_leader_daughter_rom_root
SECOND	female_leader_daughter_rom_root
FIRST	female_leader_diplomat_barb
SECOND	female_leader_diplomat_barb
FIRST	female_leader_diplomat_desert
SECOND	female_leader_diplomat_desert
FIRST	female_leader_diplomat_east
SECOND	female_leader_diplomat_east
FIRST	female_leader_diplomat_east_root
SECOND	female_leader_diplomat_east_root
FIRST	female_leader_diplomat_greek
SECOND	female_leader_diplomat_greek
FIRST	female_leader_diplomat_greek_root
SECOND	female_leader_diplomat_greek_root
FIRST	female_leader_diplomat_rom
SECOND	female_leader_diplomat_rom
FIRST	female_leader_diplomat_rom_root
SECOND	female_leader_diplomat_rom_root
FIRST	female_leader_fleet_barb
SECOND	female_leader_fleet_barb
FIRST	female_leader_fleet_desert
SECOND	female_leader_fleet_desert
FIRST	female_leader_fleet_egypt
SECOND	female_leader_fleet_egypt
FIRST	female_leader_scholar_barb
SECOND	female_leader_scholar_barb
FIRST	female_leader_scholar_desert
SECOND	female_leader_scholar_desert
FIRST	female_leader_scholar_east
SECOND	female_leader_scholar_east
FIRST	female_leader_scholar_east_root
SECOND	female_leader_scholar_east_root
FIRST	female_leader_scholar_greek
SECOND	female_leader_scholar_greek
FIRST	female_leader_scholar_greek_root
SECOND	female_leader_scholar_greek_root
FIRST	female_leader_scholar_rom
SECOND	female_leader_scholar_rom
FIRST	female_leader_scholar_rom_root
SECOND	female_leader_scholar_rom_root
FIRST	female_leader_trader_barb
SECOND	female_leader_trader_barb
FIRST	female_leader_trader_desert
SECOND	female_leader_trader_desert
FIRST	female_leader_trader_desert_root
SECOND	female_leader_trader_desert_root
FIRST	female_leader_trader_east
SECOND	female_leader_trader_east
FIRST	female_leader_trader_greek
SECOND	female_leader_trader_greek
FIRST	female_leader_trader_rom
SECOND	female_leader_trader_rom
FIRST	female_leader_warrior_barb
SECOND	female_leader_warrior_barb
FIRST	female_leader_warrior_barb_root
SECOND	female_leader_warrior_barb_root
FIRST	female_leader_warrior_desert
SECOND	female_leader_warrior_desert
FIRST	female_leader_warrior_desert_root
SECOND	female_leader_warrior_desert_root
FIRST	female_leader_warrior_egypt
SECOND	female_leader_warrior_egypt
FIRST	gre_abundant_fish
SECOND	gre_abundant_fish
FIRST	gre_agrarian_agitator
FOURTH	gre_agrarian_agitator
SECOND	gre_agrarian_agitator
THIRD	gre_agrarian_agitator
FIRST	gre_blockade_bites
SECOND	gre_blockade_bites
FIRST	gre_border_dispute
SECOND	gre_border_dispute
FIRST	gre_corrupt_governor
SECOND	gre_corrupt_governor
FIRST	gre_hostile_dispute
FOURTH	gre_hostile_dispute
SECOND	gre_hostile_dispute
THIRD	gre_hostile_dispute
FIRST	gre_hostile_governor
FOURTH	gre_hostile_governor
SECOND	gre_hostile_governor
THIRD	gre_hostile_governor
FIRST	gre_looting
SECOND	gre_looting
FIRST	gre_migrating_people
SECOND	gre_migrating_people
FIRST	gre_noble_greed
SECOND	gre_noble_greed
FIRST	gre_on_the_edge
SECOND	gre_on_the_edge
FIRST	gre_riots
SECOND	gre_riots
FIRST	gre_secret_meetings
FOURTH	gre_secret_meetings
SECOND	gre_secret_meetings
THIRD	gre_secret_meetings
FIRST	gre_signs_against_us
SECOND	gre_signs_against_us
FIRST	gre_slavedriver
SECOND	gre_slavedriver
FIRST	gre_temple_sacrilege
FOURTH	gre_temple_sacrilege
SECOND	gre_temple_sacrilege
THIRD	gre_temple_sacrilege
FIRST	gre_useless_bureauracy
SECOND	gre_useless_bureauracy
FIRST	gre_young_challenger
FOURTH	gre_young_challenger
SECOND	gre_young_challenger
THIRD	gre_young_challenger
FIRST	inv_colony_discovered_1
SECOND	inv_colony_discovered_1
FIRST	inv_colony_discovered_2
SECOND	inv_colony_discovered_2
FIRST	inv_colony_discovered_3
SECOND	inv_colony_discovered_3
FIRST	inv_colony_discovered_4
SECOND	inv_colony_discovered_4
FIRST	inv_colony_discovered_5
SECOND	inv_colony_discovered_5
FIRST	inv_colony_discovered_fail
SECOND	inv_colony_discovered_fail
FIRST	inv_faction_etruscans_01
FOURTH	inv_faction_etruscans_01
SECOND	inv_faction_etruscans_01
THIRD	inv_faction_etruscans_01
FIRST	inv_faction_etruscans_02
FOURTH	inv_faction_etruscans_02
SECOND	inv_faction_etruscans_02
THIRD	inv_faction_etruscans_02
FIRST	inv_faction_etruscans_03
SECOND	inv_faction_etruscans_03
THIRD	inv_faction_etruscans_03
FIRST	inv_faction_etruscans_04
FOURTH	inv_faction_etruscans_04
SECOND	inv_faction_etruscans_04
THIRD	inv_faction_etruscans_04
FIRST	inv_faction_greek_01
SECOND	inv_faction_greek_01
FIRST	inv_faction_greek_02
SECOND	inv_faction_greek_02
THIRD	inv_faction_greek_02
FIRST	inv_faction_greek_03
SECOND	inv_faction_greek_03
FIRST	inv_faction_greek_04
SECOND	inv_faction_greek_04
FIRST	inv_faction_greek_05
SECOND	inv_faction_greek_05
FIRST	inv_faction_iolei_02
FOURTH	inv_faction_iolei_02
SECOND	inv_faction_iolei_02
THIRD	inv_faction_iolei_02
FIRST	inv_faction_iolei_03
FOURTH	inv_faction_iolei_03
SECOND	inv_faction_iolei_03
THIRD	inv_faction_iolei_03
FIRST	inv_faction_samnite_01
FOURTH	inv_faction_samnite_01
SECOND	inv_faction_samnite_01
THIRD	inv_faction_samnite_01
FIRST	inv_faction_samnite_02
FOURTH	inv_faction_samnite_02
SECOND	inv_faction_samnite_02
THIRD	inv_faction_samnite_02
FIRST	inv_faction_samnite_03
FOURTH	inv_faction_samnite_03
SECOND	inv_faction_samnite_03
THIRD	inv_faction_samnite_03
FIRST	inv_faction_samnite_04
SECOND	inv_faction_samnite_04
FIRST	inv_faction_seno_insub_01
FOURTH	inv_faction_seno_insub_01
SECOND	inv_faction_seno_insub_01
THIRD	inv_faction_seno_insub_01
FIRST	inv_faction_seno_insub_02
SECOND	inv_faction_seno_insub_02
FIRST	inv_faction_seno_insub_03
SECOND	inv_faction_seno_insub_03
FIRST	inv_faction_seno_insub_04
FOURTH	inv_faction_seno_insub_04
SECOND	inv_faction_seno_insub_04
THIRD	inv_faction_seno_insub_04
FIRST	inv_faction_seno_insub_05
SECOND	inv_faction_seno_insub_05
FIRST	inv_faction_seno_insub_06
SECOND	inv_faction_seno_insub_06
FIRST	inv_faction_veneti_01
FOURTH	inv_faction_veneti_01
SECOND	inv_faction_veneti_01
THIRD	inv_faction_veneti_01
FIRST	inv_faction_veneti_02
FOURTH	inv_faction_veneti_02
SECOND	inv_faction_veneti_02
THIRD	inv_faction_veneti_02
FIRST	inv_faction_veneti_03
SECOND	inv_faction_veneti_03
FIRST	inv_faction_veneti_04
FOURTH	inv_faction_veneti_04
SECOND	inv_faction_veneti_04
THIRD	inv_faction_veneti_04
FIRST	inv_faction_veneti_05
FOURTH	inv_faction_veneti_05
SECOND	inv_faction_veneti_05
THIRD	inv_faction_veneti_05
FIRST	inv_faction_veneti_06
FOURTH	inv_faction_veneti_06
SECOND	inv_faction_veneti_06
THIRD	inv_faction_veneti_06
FIRST	inv_geographical_Carthaginian_Politician
SECOND	inv_geographical_Carthaginian_Politician
FIRST	inv_geographical_Carthaginian_Religion
SECOND	inv_geographical_Carthaginian_Religion
FIRST	inv_geographical_Carthaginian_Slaves
FOURTH	inv_geographical_Carthaginian_Slaves
SECOND	inv_geographical_Carthaginian_Slaves
THIRD	inv_geographical_Carthaginian_Slaves
FIRST	inv_geographical_Carthaginian_captain
SECOND	inv_geographical_Carthaginian_captain
