trait	applicable_to
r2_sp_trait_all_agent_settle_buy_off	agent
r2_sp_trait_all_agent_settle_commit_arson	agent
r2_sp_trait_all_agent_settle_cultural_propaganda	agent
r2_sp_trait_all_agent_settle_incite_unrest	agent
r2_sp_trait_all_agent_settle_poison_well	agent
r2_sp_trait_all_agent_settle_promote_disorder	agent
r2_sp_trait_all_agent_settle_raid	agent
r2_sp_trait_all_agent_settle_rally_slaves	agent
r2_sp_trait_all_ambusher_bad	agent
r2_sp_trait_all_ambusher_good	agent
r2_sp_trait_all_attacker_bad	agent
r2_sp_trait_all_attacker_good	agent
r2_sp_trait_all_attacker_sea_bad	agent
r2_sp_trait_all_attacker_sea_good	agent
r2_sp_trait_all_background_abandoned	agent
r2_sp_trait_all_background_adept	agent
r2_sp_trait_all_background_assassin	agent
r2_sp_trait_all_background_beautiful	agent
r2_sp_trait_all_background_bright	agent
r2_sp_trait_all_background_command	agent
r2_sp_trait_all_background_diplomacy	agent
r2_sp_trait_all_background_inbred	agent
r2_sp_trait_all_background_philosopher	agent
r2_sp_trait_all_background_scientist	agent
r2_sp_trait_all_background_slave	agent
r2_sp_trait_all_background_spy	agent
r2_sp_trait_all_background_ugly	agent
r2_sp_trait_all_background_very_inbred	agent
r2_sp_trait_all_background_very_very_inbred	agent
r2_sp_trait_all_battle_scarred	agent
r2_sp_trait_all_besieger_bad	agent
r2_sp_trait_all_besieger_good	agent
r2_sp_trait_all_defender_bad	agent
r2_sp_trait_all_defender_good	agent
r2_sp_trait_all_defender_sea_bad	agent
r2_sp_trait_all_defender_sea_good	agent
r2_sp_trait_all_disinherited	agent
r2_sp_trait_all_energetic	agent
r2_sp_trait_all_fears_barbarians	agent
r2_sp_trait_all_fears_carthage	agent
r2_sp_trait_all_fears_easterners	agent
r2_sp_trait_all_fears_egyptians	agent
r2_sp_trait_all_fears_greeks	agent
r2_sp_trait_all_fears_romans	agent
r2_sp_trait_all_fears_successors	agent
r2_sp_trait_all_feck	agent
r2_sp_trait_all_fertile	agent
r2_sp_trait_all_fervour	agent
r2_sp_trait_all_gambling	agent
r2_sp_trait_all_hates_barbarians	agent
r2_sp_trait_all_hates_carthage	agent
r2_sp_trait_all_hates_easterners	agent
r2_sp_trait_all_hates_egyptians	agent
r2_sp_trait_all_hates_greeks	agent
r2_sp_trait_all_hates_romans	agent
r2_sp_trait_all_hates_successors	agent
r2_sp_trait_all_healthy	agent
r2_sp_trait_all_honest	agent
r2_sp_trait_all_infertile	agent
r2_sp_trait_all_lazy	agent
r2_sp_trait_all_leader_architect	agent
r2_sp_trait_all_leader_farmer	agent
r2_sp_trait_all_leader_kind	agent
r2_sp_trait_all_leader_lewd	agent
r2_sp_trait_all_leader_mad	agent
r2_sp_trait_all_leader_miner	agent
r2_sp_trait_all_leader_miser	agent
r2_sp_trait_all_leader_paranoid	agent
r2_sp_trait_all_leader_spender	agent
r2_sp_trait_all_leader_spymaster	agent
r2_sp_trait_all_leader_taxman	agent
r2_sp_trait_all_leader_trader	agent
r2_sp_trait_all_leader_unjust	agent
r2_sp_trait_all_likes_barbarians	agent
r2_sp_trait_all_likes_carthage	agent
r2_sp_trait_all_likes_easterners	agent
r2_sp_trait_all_likes_egyptians	agent
r2_sp_trait_all_likes_greeks	agent
r2_sp_trait_all_likes_romans	agent
r2_sp_trait_all_likes_successors	agent
r2_sp_trait_all_looter	agent
r2_sp_trait_all_mad	agent
r2_sp_trait_all_negotiator	agent
r2_sp_trait_all_noctophilia	agent
r2_sp_trait_all_noctophobia	agent
r2_sp_trait_all_non_roman_agent_army_friendly_military_admin	agent
r2_sp_trait_all_non_roman_agent_deployed_friendly_civil_admin	agent
r2_sp_trait_all_personal_bravery	agent
r2_sp_trait_all_personal_cowardice	agent
r2_sp_trait_all_personal_survival	agent
r2_sp_trait_all_roman_agent_admin	agent
r2_sp_trait_all_siege_defender_bad	agent
r2_sp_trait_all_strategist	agent
r2_sp_trait_all_tactician	agent
r2_sp_trait_all_unhealthy	agent
r2_sp_trait_barbarian_agent_zeal	agent
r2_sp_trait_barbarian_berserker	agent
r2_sp_trait_barbarian_blood_feud	agent
r2_sp_trait_barbarian_drink	agent
r2_sp_trait_barbarian_girls	agent
r2_sp_trait_barbarian_high_casualties	agent
r2_sp_trait_barbarian_mad	agent
r2_sp_trait_barbarian_religious	agent
r2_sp_trait_barbarian_sober	agent
r2_sp_trait_barbarian_sweary	agent
r2_sp_trait_barbarian_warlord	agent
r2_sp_trait_ch_carthage	agent
r2_sp_trait_ch_celtic	agent
r2_sp_trait_ch_east_A	agent
r2_sp_trait_ch_east_B	agent
r2_sp_trait_ch_german	agent
r2_sp_trait_ch_hellenic	agent
r2_sp_trait_ch_hellenic_athens	agent
r2_sp_trait_ch_hellenic_sparta	agent
r2_sp_trait_ch_nomadic	agent
r2_sp_trait_ch_ptolemaic	agent
r2_sp_trait_ch_roman	agent
r2_sp_trait_ch_roman_variant_1	agent
r2_sp_trait_civilised_agent_zeal	agent
r2_sp_trait_civilised_blood_feud	agent
r2_sp_trait_civilised_disciplinarian_bad	agent
r2_sp_trait_civilised_high_casualties	agent
r2_sp_trait_civilised_leader_harsh	agent
r2_sp_trait_civilised_politician	agent
r2_sp_trait_civilised_sweary	agent
r2_sp_trait_civilized_adulterer	agent
r2_sp_trait_civilized_arse	agent
r2_sp_trait_civilized_atheist	agent
r2_sp_trait_civilized_drink	agent
r2_sp_trait_civilized_girls	agent
r2_sp_trait_civilized_murderer	agent
r2_sp_trait_civilized_persecutor	agent
r2_sp_trait_civilized_religious	agent
r2_sp_trait_civilized_sober	agent
r2_sp_trait_civilized_xenophile	agent
r2_sp_trait_civilized_xenophobe	agent
r2_sp_trait_eastern_leader_great_king	agent
r2_sp_trait_female_agriculture	agent
r2_sp_trait_female_all_agent_army_show_force	agent
r2_sp_trait_female_all_agent_character_assassin	agent
r2_sp_trait_female_all_agent_character_kill_poison	agent
r2_sp_trait_female_all_agent_character_kill_single_combat	agent
r2_sp_trait_female_all_agent_deployed_foreign_corrupt	agent
r2_sp_trait_female_all_agent_deployed_friendly_counterspy	agent
r2_sp_trait_female_all_agent_passive_spy	agent
r2_sp_trait_female_all_agent_settle_incite_unrest	agent
r2_sp_trait_female_all_agent_settle_promote_disorder	agent
r2_sp_trait_female_all_agent_settle_rally_slaves	agent
r2_sp_trait_female_all_background_beautiful	agent
r2_sp_trait_female_all_background_bright	agent
r2_sp_trait_female_all_background_command	agent
r2_sp_trait_female_all_background_slave	agent
r2_sp_trait_female_all_background_spy	agent
r2_sp_trait_female_all_feck	agent
r2_sp_trait_female_all_healthy	agent
r2_sp_trait_female_all_personal_survival	agent
r2_sp_trait_female_all_unhealthy	agent
r2_sp_trait_female_barbarian_agent_zeal	agent
r2_sp_trait_female_barbarian_blokes	agent
r2_sp_trait_female_barbarian_drink	agent
r2_sp_trait_female_barbarian_sober	agent
r2_sp_trait_female_cavalry	agent
r2_sp_trait_female_civilised_agent_zeal	agent
r2_sp_trait_female_civilized_adulterer	agent
r2_sp_trait_female_civilized_blokes	agent
r2_sp_trait_female_civilized_drink	agent
r2_sp_trait_female_civilized_murderer	agent
r2_sp_trait_female_civilized_persecutor	agent
r2_sp_trait_female_civilized_sober	agent
r2_sp_trait_female_daughter	agent
r2_sp_trait_female_diplomat	agent
r2_sp_trait_female_fleet	agent
r2_sp_trait_female_greco_roman_humors_phlegm	agent
r2_sp_trait_female_greco_roman_humors_yellow_bile	agent
r2_sp_trait_female_roman_background_fighter	agent
r2_sp_trait_female_roman_dishonest	agent
r2_sp_trait_female_roman_drink	agent
r2_sp_trait_female_roman_games_obsessive	agent
r2_sp_trait_female_roman_good_roman	agent
r2_sp_trait_female_roman_races_obsessive	agent
r2_sp_trait_female_roman_unroman	agent
r2_sp_trait_female_roman_virtues_personal_dignity	agent
r2_sp_trait_female_roman_virtues_personal_dutifulness	agent
r2_sp_trait_female_roman_virtues_personal_frugality	agent
r2_sp_trait_female_roman_virtues_personal_gravity	agent
r2_sp_trait_female_roman_virtues_personal_humanity	agent
r2_sp_trait_female_roman_virtues_personal_humour	agent
r2_sp_trait_female_roman_virtues_personal_industriousness	agent
r2_sp_trait_female_roman_virtues_personal_mercy	agent
r2_sp_trait_female_roman_virtues_personal_prudence	agent
r2_sp_trait_female_roman_virtues_personal_tenacity	agent
r2_sp_trait_female_roman_virtues_personal_truthfulness	agent
r2_sp_trait_female_roman_virtues_personal_wholesomeness	agent
r2_sp_trait_female_roman_virtues_public_dutifulness	agent
r2_sp_trait_female_roman_virtues_public_forethought	agent
r2_sp_trait_female_roman_virtues_public_freedom	agent
r2_sp_trait_female_roman_virtues_public_giving	agent
r2_sp_trait_female_roman_virtues_public_modesty	agent
r2_sp_trait_female_scholar	agent
r2_sp_trait_female_trader	agent
r2_sp_trait_female_warrior	agent
r2_sp_trait_greco_roman_humors_black_bile	agent
r2_sp_trait_greco_roman_humors_blood	agent
r2_sp_trait_greco_roman_humors_phlegm	agent
r2_sp_trait_greco_roman_humors_yellow_bile	agent
r2_sp_trait_non_roman_background_fighter	agent
r2_sp_trait_non_roman_background_mascot	agent
r2_sp_trait_non_roman_background_poor	agent
r2_sp_trait_non_roman_background_wealthy	agent
r2_sp_trait_non_roman_dishonest	agent
r2_sp_trait_non_roman_eagle_won	agent
r2_sp_trait_roman_background_fighter	agent
r2_sp_trait_roman_background_mascot	agent
r2_sp_trait_roman_background_poor	agent
r2_sp_trait_roman_background_wealthy	agent
r2_sp_trait_roman_blood_feud	agent
r2_sp_trait_roman_dishonest	agent
r2_sp_trait_roman_drink	agent
r2_sp_trait_roman_eagle_found	agent
r2_sp_trait_roman_eagle_lost	agent
r2_sp_trait_roman_games_obsessive	agent
r2_sp_trait_roman_gladiator_obsessive_mermillo	agent
r2_sp_trait_roman_gladiator_obsessive_samnite	agent
r2_sp_trait_roman_good_roman	agent
r2_sp_trait_roman_proscriptor	agent
r2_sp_trait_roman_races_obsessive	agent
r2_sp_trait_roman_unroman	agent
r2_sp_trait_roman_victor	agent
r2_sp_trait_roman_virtues_personal_dignity	agent
r2_sp_trait_roman_virtues_personal_dutifulness	agent
r2_sp_trait_roman_virtues_personal_fortitude	agent
r2_sp_trait_roman_virtues_personal_frugality	agent
r2_sp_trait_roman_virtues_personal_gravity	agent
r2_sp_trait_roman_virtues_personal_humanity	agent
r2_sp_trait_roman_virtues_personal_humour	agent
r2_sp_trait_roman_virtues_personal_industriousness	agent
r2_sp_trait_roman_virtues_personal_mercy	agent
r2_sp_trait_roman_virtues_personal_morale_courage	agent
r2_sp_trait_roman_virtues_personal_prudence	agent
r2_sp_trait_roman_virtues_personal_respectability	agent
r2_sp_trait_roman_virtues_personal_spiritual_authority	agent
r2_sp_trait_roman_virtues_personal_sternness	agent
r2_sp_trait_roman_virtues_personal_tenacity	agent
r2_sp_trait_roman_virtues_personal_truthfulness	agent
r2_sp_trait_roman_virtues_personal_wholesomeness	agent
r2_sp_trait_roman_virtues_public_clemency	agent
r2_sp_trait_roman_virtues_public_confidence	agent
r2_sp_trait_roman_virtues_public_dutifulness	agent
r2_sp_trait_roman_virtues_public_endurance	agent
r2_sp_trait_roman_virtues_public_fair	agent
r2_sp_trait_roman_virtues_public_faith	agent
r2_sp_trait_roman_virtues_public_fertile_agriculture	agent
r2_sp_trait_roman_virtues_public_forethought	agent
r2_sp_trait_roman_virtues_public_fortune	agent
r2_sp_trait_roman_virtues_public_freedom	agent
r2_sp_trait_roman_virtues_public_giving	agent
r2_sp_trait_roman_virtues_public_harmony	agent
r2_sp_trait_roman_virtues_public_hope	agent
r2_sp_trait_roman_virtues_public_joy	agent
r2_sp_trait_roman_virtues_public_justice	agent
r2_sp_trait_roman_virtues_public_lucky	agent
r2_sp_trait_roman_virtues_public_mirth	agent
r2_sp_trait_roman_virtues_public_modesty	agent
r2_sp_trait_roman_virtues_public_nobility	agent
r2_sp_trait_roman_virtues_public_peace	agent
r2_sp_trait_roman_virtues_public_plenty	agent
r2_sp_trait_roman_virtues_public_prosperity	agent
r2_sp_trait_roman_virtues_public_public_health	agent
r2_sp_trait_roman_virtues_public_roman_spirit	agent
r2_sp_trait_roman_virtues_public_wealth	agent
r2_sp_trait_rome_eunuch	agent
r2_sp_trait_rome_mad	agent
