key	text	type	parameter
S2_PBS_Allies_Clan_Hattori_Here_Token_03	text_rejected	2	FACTION_HATTORI
S2_PBS_Allies_Clan_Hattori_Near_Maybe_01	text_rejected	3	FACTION_HATTORI
S2_PBS_Allies_Clan_Hattori_Near_Maybe_02	text_rejected	3	FACTION_HATTORI
S2_PBS_Allies_Clan_Hattori_Near_Maybe_03	text_rejected	3	FACTION_HATTORI
S2_PBS_Allies_Clan_Hojo_Here_Adequate_01	text_rejected	0	FACTION_HOJO
S2_PBS_Allies_Clan_Hojo_Here_Adequate_02	text_rejected	0	FACTION_HOJO
S2_PBS_Allies_Clan_Hojo_Here_Adequate_03	text_rejected	0	FACTION_HOJO
S2_PBS_Allies_Clan_Hojo_Here_Strong_01	text_rejected	1	FACTION_HOJO
S2_PBS_Allies_Clan_Hojo_Here_Strong_02	text_rejected	1	FACTION_HOJO
S2_PBS_Allies_Clan_Hojo_Here_Strong_03	text_rejected	1	FACTION_HOJO
S2_PBS_Allies_Clan_Hojo_Here_Token_01	text_rejected	2	FACTION_HOJO
S2_PBS_Allies_Clan_Hojo_Here_Token_02	text_rejected	2	FACTION_HOJO
S2_PBS_Allies_Clan_Hojo_Here_Token_03	text_rejected	2	FACTION_HOJO
S2_PBS_Allies_Clan_Hojo_Near_Maybe_01	text_rejected	3	FACTION_HOJO
S2_PBS_Allies_Clan_Hojo_Near_Maybe_02	text_rejected	3	FACTION_HOJO
S2_PBS_Allies_Clan_Hojo_Near_Maybe_03	text_rejected	3	FACTION_HOJO
S2_PBS_Allies_Clan_Ikko-Ikki_Here_Adequate_01	text_rejected	0	FACTION_IKKO_IKKI
S2_PBS_Allies_Clan_Ikko-Ikki_Here_Adequate_02	text_rejected	0	FACTION_IKKO_IKKI
S2_PBS_Allies_Clan_Ikko-Ikki_Here_Adequate_03	text_rejected	0	FACTION_IKKO_IKKI
S2_PBS_Allies_Clan_Ikko-Ikki_Here_Strong_01	text_rejected	1	FACTION_IKKO_IKKI
S2_PBS_Allies_Clan_Ikko-Ikki_Here_Strong_02	text_rejected	1	FACTION_IKKO_IKKI
S2_PBS_Allies_Clan_Ikko-Ikki_Here_Strong_03	text_rejected	1	FACTION_IKKO_IKKI
S2_PBS_Allies_Clan_Ikko-Ikki_Here_Token_01	text_rejected	2	FACTION_IKKO_IKKI
S2_PBS_Allies_Clan_Ikko-Ikki_Here_Token_02	text_rejected	2	FACTION_IKKO_IKKI
S2_PBS_Allies_Clan_Ikko-Ikki_Here_Token_03	text_rejected	2	FACTION_IKKO_IKKI
S2_PBS_Allies_Clan_Ikko-Ikki_Near_Maybe_01	text_rejected	3	FACTION_IKKO_IKKI
S2_PBS_Allies_Clan_Ikko-Ikki_Near_Maybe_02	text_rejected	3	FACTION_IKKO_IKKI
S2_PBS_Allies_Clan_Ikko-Ikki_Near_Maybe_03	text_rejected	3	FACTION_IKKO_IKKI
S2_PBS_Allies_Clan_Mori_Here_Adequate_01	text_rejected	0	FACTION_MORI
S2_PBS_Allies_Clan_Mori_Here_Adequate_02	text_rejected	0	FACTION_MORI
S2_PBS_Allies_Clan_Mori_Here_Adequate_03	text_rejected	0	FACTION_MORI
S2_PBS_Allies_Clan_Mori_Here_Strong_01	text_rejected	1	FACTION_MORI
S2_PBS_Allies_Clan_Mori_Here_Strong_02	text_rejected	1	FACTION_MORI
S2_PBS_Allies_Clan_Mori_Here_Strong_03	text_rejected	1	FACTION_MORI
S2_PBS_Allies_Clan_Mori_Here_Token_01	text_rejected	2	FACTION_MORI
S2_PBS_Allies_Clan_Mori_Here_Token_02	text_rejected	2	FACTION_MORI
S2_PBS_Allies_Clan_Mori_Here_Token_03	text_rejected	2	FACTION_MORI
S2_PBS_Allies_Clan_Mori_Near_Maybe_01	text_rejected	3	FACTION_MORI
S2_PBS_Allies_Clan_Mori_Near_Maybe_02	text_rejected	3	FACTION_MORI
S2_PBS_Allies_Clan_Mori_Near_Maybe_03	text_rejected	3	FACTION_MORI
S2_PBS_Allies_Clan_Oda_Here_Adequate_01	text_rejected	0	FACTION_ODA
S2_PBS_Allies_Clan_Oda_Here_Adequate_02	text_rejected	0	FACTION_ODA
S2_PBS_Allies_Clan_Oda_Here_Adequate_03	text_rejected	0	FACTION_ODA
S2_PBS_Allies_Clan_Oda_Here_Strong_01	text_rejected	1	FACTION_ODA
S2_PBS_Allies_Clan_Oda_Here_Strong_02	text_rejected	1	FACTION_ODA
S2_PBS_Allies_Clan_Oda_Here_Strong_03	text_rejected	1	FACTION_ODA
S2_PBS_Allies_Clan_Oda_Here_Token_01	text_rejected	2	FACTION_ODA
S2_PBS_Allies_Clan_Oda_Here_Token_02	text_rejected	2	FACTION_ODA
S2_PBS_Allies_Clan_Oda_Here_Token_03	text_rejected	2	FACTION_ODA
S2_PBS_Allies_Clan_Oda_Near_Maybe_01	text_rejected	3	FACTION_ODA
S2_PBS_Allies_Clan_Oda_Near_Maybe_02	text_rejected	3	FACTION_ODA
S2_PBS_Allies_Clan_Oda_Near_Maybe_03	text_rejected	3	FACTION_ODA
S2_PBS_Allies_Clan_Shimazu_Here_Adequate_01	text_rejected	0	FACTION_SHIMAZU
S2_PBS_Allies_Clan_Shimazu_Here_Adequate_02	text_rejected	0	FACTION_SHIMAZU
S2_PBS_Allies_Clan_Shimazu_Here_Adequate_03	text_rejected	0	FACTION_SHIMAZU
S2_PBS_Allies_Clan_Shimazu_Here_Strong_01	text_rejected	1	FACTION_SHIMAZU
S2_PBS_Allies_Clan_Shimazu_Here_Strong_02	text_rejected	1	FACTION_SHIMAZU
S2_PBS_Allies_Clan_Shimazu_Here_Strong_03	text_rejected	1	FACTION_SHIMAZU
S2_PBS_Allies_Clan_Shimazu_Here_Token_01	text_rejected	2	FACTION_SHIMAZU
S2_PBS_Allies_Clan_Shimazu_Here_Token_02	text_rejected	2	FACTION_SHIMAZU
S2_PBS_Allies_Clan_Shimazu_Here_Token_03	text_rejected	2	FACTION_SHIMAZU
S2_PBS_Allies_Clan_Shimazu_Near_Maybe_01	text_rejected	3	FACTION_SHIMAZU
S2_PBS_Allies_Clan_Shimazu_Near_Maybe_02	text_rejected	3	FACTION_SHIMAZU
S2_PBS_Allies_Clan_Shimazu_Near_Maybe_03	text_rejected	3	FACTION_SHIMAZU
S2_PBS_Allies_Clan_Takeda_Here_Adequate_01	text_rejected	0	FACTION_TAKEDA
S2_PBS_Allies_Clan_Takeda_Here_Adequate_02	text_rejected	0	FACTION_TAKEDA
S2_PBS_Allies_Clan_Takeda_Here_Adequate_03	text_rejected	0	FACTION_TAKEDA
S2_PBS_Allies_Clan_Takeda_Here_Strong_01	text_rejected	1	FACTION_TAKEDA
S2_PBS_Allies_Clan_Takeda_Here_Strong_02	text_rejected	1	FACTION_TAKEDA
S2_PBS_Allies_Clan_Takeda_Here_Strong_03	text_rejected	1	FACTION_TAKEDA
S2_PBS_Allies_Clan_Takeda_Here_Token_01	text_rejected	2	FACTION_TAKEDA
S2_PBS_Allies_Clan_Takeda_Here_Token_02	text_rejected	2	FACTION_TAKEDA
S2_PBS_Allies_Clan_Takeda_Here_Token_03	text_rejected	2	FACTION_TAKEDA
S2_PBS_Allies_Clan_Takeda_Near_Maybe_01	text_rejected	3	FACTION_TAKEDA
S2_PBS_Allies_Clan_Takeda_Near_Maybe_02	text_rejected	3	FACTION_TAKEDA
S2_PBS_Allies_Clan_Takeda_Near_Maybe_03	text_rejected	3	FACTION_TAKEDA
S2_PBS_Allies_Clan_Tokugawa_Here_Adequate_01	text_rejected	0	FACTION_TOKUGAWA
S2_PBS_Allies_Clan_Tokugawa_Here_Adequate_02	text_rejected	0	FACTION_TOKUGAWA
S2_PBS_Allies_Clan_Tokugawa_Here_Adequate_03	text_rejected	0	FACTION_TOKUGAWA
S2_PBS_Allies_Clan_Tokugawa_Here_Strong_01	text_rejected	1	FACTION_TOKUGAWA
S2_PBS_Allies_Clan_Tokugawa_Here_Strong_02	text_rejected	1	FACTION_TOKUGAWA
S2_PBS_Allies_Clan_Tokugawa_Here_Strong_03	text_rejected	1	FACTION_TOKUGAWA
S2_PBS_Allies_Clan_Tokugawa_Here_Token_01	text_rejected	2	FACTION_TOKUGAWA
S2_PBS_Allies_Clan_Tokugawa_Here_Token_02	text_rejected	2	FACTION_TOKUGAWA
S2_PBS_Allies_Clan_Tokugawa_Here_Token_03	text_rejected	2	FACTION_TOKUGAWA
S2_PBS_Allies_Clan_Tokugawa_Near_Maybe_01	text_rejected	3	FACTION_TOKUGAWA
S2_PBS_Allies_Clan_Tokugawa_Near_Maybe_02	text_rejected	3	FACTION_TOKUGAWA
S2_PBS_Allies_Clan_Tokugawa_Near_Maybe_03	text_rejected	3	FACTION_TOKUGAWA
S2_PBS_Allies_Clan_Uesugi_Here_Adequate_01	text_rejected	0	FACTION_UESUGI
S2_PBS_Allies_Clan_Uesugi_Here_Adequate_02	text_rejected	0	FACTION_UESUGI
S2_PBS_Allies_Clan_Uesugi_Here_Adequate_03	text_rejected	0	FACTION_UESUGI
S2_PBS_Allies_Clan_Uesugi_Here_Strong_01	text_rejected	1	FACTION_UESUGI
S2_PBS_Allies_Clan_Uesugi_Here_Strong_02	text_rejected	1	FACTION_UESUGI
S2_PBS_Allies_Clan_Uesugi_Here_Strong_03	text_rejected	1	FACTION_UESUGI
S2_PBS_Allies_Clan_Uesugi_Here_Token_01	text_rejected	2	FACTION_UESUGI
S2_PBS_Allies_Clan_Uesugi_Here_Token_02	text_rejected	2	FACTION_UESUGI
S2_PBS_Allies_Clan_Uesugi_Here_Token_03	text_rejected	2	FACTION_UESUGI
S2_PBS_Allies_Clan_Uesugi_Near_Maybe_01	text_rejected	3	FACTION_UESUGI
S2_PBS_Allies_Clan_Uesugi_Near_Maybe_02	text_rejected	3	FACTION_UESUGI
S2_PBS_Allies_Clan_Uesugi_Near_Maybe_03	text_rejected	3	FACTION_UESUGI
S2_PBS_Allies_Clan_Wee_Faction_Here_Adequate_01	text_rejected	0	FACTION_MINOR_CLAN
S2_PBS_Allies_Clan_Wee_Faction_Here_Adequate_02	text_rejected	0	FACTION_MINOR_CLAN
S2_PBS_Allies_Clan_Wee_Faction_Here_Adequate_03	text_rejected	0	FACTION_MINOR_CLAN
S2_PBS_Allies_Clan_Wee_Faction_Here_Strong_01	text_rejected	1	FACTION_MINOR_CLAN
S2_PBS_Allies_Clan_Wee_Faction_Here_Strong_02	text_rejected	1	FACTION_MINOR_CLAN
S2_PBS_Allies_Clan_Wee_Faction_Here_Strong_03	text_rejected	1	FACTION_MINOR_CLAN
S2_PBS_Allies_Clan_Wee_Faction_Here_Token_01	text_rejected	2	FACTION_MINOR_CLAN
S2_PBS_Allies_Clan_Wee_Faction_Here_Token_02	text_rejected	2	FACTION_MINOR_CLAN
S2_PBS_Allies_Clan_Wee_Faction_Here_Token_03	text_rejected	2	FACTION_MINOR_CLAN
S2_PBS_Allies_Clan_Wee_Faction_Near_Maybe_01	text_rejected	3	FACTION_MINOR_CLAN
S2_PBS_Allies_Clan_Wee_Faction_Near_Maybe_02	text_rejected	3	FACTION_MINOR_CLAN
S2_PBS_Allies_Clan_Wee_Faction_Near_Maybe_03	text_rejected	3	FACTION_MINOR_CLAN
S2_PBS_Allies_Enemy_Ashikaga_Shogunate_Here_Adequate_01	text_rejected	4	FACTION_ASHIKAGA
S2_PBS_Allies_Enemy_Ashikaga_Shogunate_Here_Adequate_02	text_rejected	4	FACTION_ASHIKAGA
S2_PBS_Allies_Enemy_Ashikaga_Shogunate_Here_Adequate_03	text_rejected	4	FACTION_ASHIKAGA
S2_PBS_Allies_Enemy_Ashikaga_Shogunate_Here_Strong_01	text_rejected	5	FACTION_ASHIKAGA
S2_PBS_Allies_Enemy_Ashikaga_Shogunate_Here_Strong_02	text_rejected	5	FACTION_ASHIKAGA
S2_PBS_Allies_Enemy_Ashikaga_Shogunate_Here_Strong_03	text_rejected	5	FACTION_ASHIKAGA
S2_PBS_Allies_Enemy_Ashikaga_Shogunate_Here_Token_01	text_rejected	6	FACTION_ASHIKAGA
S2_PBS_Allies_Enemy_Ashikaga_Shogunate_Here_Token_02	text_rejected	6	FACTION_ASHIKAGA
S2_PBS_Allies_Enemy_Ashikaga_Shogunate_Here_Token_03	text_rejected	6	FACTION_ASHIKAGA
S2_PBS_Allies_Enemy_Ashikaga_Shogunate_Near_Maybe_01	text_rejected	7	FACTION_ASHIKAGA
S2_PBS_Allies_Enemy_Ashikaga_Shogunate_Near_Maybe_02	text_rejected	7	FACTION_ASHIKAGA
S2_PBS_Allies_Enemy_Ashikaga_Shogunate_Near_Maybe_03	text_rejected	7	FACTION_ASHIKAGA
S2_PBS_Allies_Enemy_Chosokabe_Here_Adequate_01	text_rejected	4	FACTION_CHOSOKABE
S2_PBS_Allies_Enemy_Chosokabe_Here_Adequate_02	text_rejected	4	FACTION_CHOSOKABE
S2_PBS_Allies_Enemy_Chosokabe_Here_Adequate_03	text_rejected	4	FACTION_CHOSOKABE
S2_PBS_Allies_Enemy_Chosokabe_Here_Strong_01	text_rejected	5	FACTION_CHOSOKABE
S2_PBS_Allies_Enemy_Chosokabe_Here_Strong_02	text_rejected	5	FACTION_CHOSOKABE
S2_PBS_Allies_Enemy_Chosokabe_Here_Strong_03	text_rejected	5	FACTION_CHOSOKABE
S2_PBS_Allies_Enemy_Chosokabe_Here_Token_01	text_rejected	6	FACTION_CHOSOKABE
S2_PBS_Allies_Enemy_Chosokabe_Here_Token_02	text_rejected	6	FACTION_CHOSOKABE
S2_PBS_Allies_Enemy_Chosokabe_Here_Token_03	text_rejected	6	FACTION_CHOSOKABE
S2_PBS_Allies_Enemy_Chosokabe_Near_Maybe_01	text_rejected	7	FACTION_CHOSOKABE
S2_PBS_Allies_Enemy_Chosokabe_Near_Maybe_02	text_rejected	7	FACTION_CHOSOKABE
S2_PBS_Allies_Enemy_Chosokabe_Near_Maybe_03	text_rejected	7	FACTION_CHOSOKABE
S2_PBS_Allies_Enemy_Date_Here_Adequate_01	text_rejected	4	FACTION_DATE
S2_PBS_Allies_Enemy_Date_Here_Adequate_02	text_rejected	4	FACTION_DATE
S2_PBS_Allies_Enemy_Date_Here_Adequate_03	text_rejected	4	FACTION_DATE
S2_PBS_Allies_Enemy_Date_Here_Strong_01	text_rejected	5	FACTION_DATE
S2_PBS_Allies_Enemy_Date_Here_Strong_02	text_rejected	5	FACTION_DATE
S2_PBS_Allies_Enemy_Date_Here_Strong_03	text_rejected	5	FACTION_DATE
S2_PBS_Allies_Enemy_Date_Here_Token_01	text_rejected	6	FACTION_DATE
S2_PBS_Allies_Enemy_Date_Here_Token_02	text_rejected	6	FACTION_DATE
S2_PBS_Allies_Enemy_Date_Here_Token_03	text_rejected	6	FACTION_DATE
S2_PBS_Allies_Enemy_Date_Near_Maybe_01	text_rejected	7	FACTION_DATE
S2_PBS_Allies_Enemy_Date_Near_Maybe_02	text_rejected	7	FACTION_DATE
S2_PBS_Allies_Enemy_Date_Near_Maybe_03	text_rejected	7	FACTION_DATE
S2_PBS_Allies_Enemy_Hattori_Here_Adequate_01	text_rejected	4	FACTION_HATTORI
S2_PBS_Allies_Enemy_Hattori_Here_Adequate_02	text_rejected	4	FACTION_HATTORI
S2_PBS_Allies_Enemy_Hattori_Here_Adequate_03	text_rejected	4	FACTION_HATTORI
S2_PBS_Allies_Enemy_Hattori_Here_Strong_01	text_rejected	5	FACTION_HATTORI
S2_PBS_Allies_Enemy_Hattori_Here_Strong_02	text_rejected	5	FACTION_HATTORI
S2_PBS_Allies_Enemy_Hattori_Here_Strong_03	text_rejected	5	FACTION_HATTORI
S2_PBS_Allies_Enemy_Hattori_Here_Token_01	text_rejected	6	FACTION_HATTORI
S2_PBS_Allies_Enemy_Hattori_Here_Token_02	text_rejected	6	FACTION_HATTORI
S2_PBS_Allies_Enemy_Hattori_Here_Token_03	text_rejected	6	FACTION_HATTORI
S2_PBS_Allies_Enemy_Hattori_Near_Maybe_01	text_rejected	7	FACTION_HATTORI
S2_PBS_Allies_Enemy_Hattori_Near_Maybe_02	text_rejected	7	FACTION_HATTORI
S2_PBS_Allies_Enemy_Hattori_Near_Maybe_03	text_rejected	7	FACTION_HATTORI
S2_PBS_Allies_Enemy_Hojo_Here_Adequate_01	text_rejected	4	FACTION_HOJO
S2_PBS_Allies_Enemy_Hojo_Here_Adequate_02	text_rejected	4	FACTION_HOJO
S2_PBS_Allies_Enemy_Hojo_Here_Adequate_03	text_rejected	4	FACTION_HOJO
S2_PBS_Allies_Enemy_Hojo_Here_Strong_01	text_rejected	5	FACTION_HOJO
S2_PBS_Allies_Enemy_Hojo_Here_Strong_02	text_rejected	5	FACTION_HOJO
S2_PBS_Allies_Enemy_Hojo_Here_Strong_03	text_rejected	5	FACTION_HOJO
S2_PBS_Allies_Enemy_Hojo_Here_Token_01	text_rejected	6	FACTION_HOJO
S2_PBS_Allies_Enemy_Hojo_Here_Token_02	text_rejected	6	FACTION_HOJO
S2_PBS_Allies_Enemy_Hojo_Here_Token_03	text_rejected	6	FACTION_HOJO
S2_PBS_Allies_Enemy_Hojo_Near_Maybe_01	text_rejected	7	FACTION_HOJO
S2_PBS_Allies_Enemy_Hojo_Near_Maybe_02	text_rejected	7	FACTION_HOJO
S2_PBS_Allies_Enemy_Hojo_Near_Maybe_03	text_rejected	7	FACTION_HOJO
S2_PBS_Allies_Enemy_Ikko-Ikki_Here_Adequate_01	text_rejected	4	FACTION_IKKO_IKKI
S2_PBS_Allies_Enemy_Ikko-Ikki_Here_Adequate_02	text_rejected	4	FACTION_IKKO_IKKI
S2_PBS_Allies_Enemy_Ikko-Ikki_Here_Adequate_03	text_rejected	4	FACTION_IKKO_IKKI
S2_PBS_Allies_Enemy_Ikko-Ikki_Here_Strong_01	text_rejected	5	FACTION_IKKO_IKKI
S2_PBS_Allies_Enemy_Ikko-Ikki_Here_Strong_02	text_rejected	5	FACTION_IKKO_IKKI
S2_PBS_Allies_Enemy_Ikko-Ikki_Here_Strong_03	text_rejected	5	FACTION_IKKO_IKKI
S2_PBS_Allies_Enemy_Ikko-Ikki_Here_Token_01	text_rejected	6	FACTION_IKKO_IKKI
S2_PBS_Allies_Enemy_Ikko-Ikki_Here_Token_02	text_rejected	6	FACTION_IKKO_IKKI
S2_PBS_Allies_Enemy_Ikko-Ikki_Here_Token_03	text_rejected	6	FACTION_IKKO_IKKI
S2_PBS_Allies_Enemy_Ikko-Ikki_Near_Maybe_01	text_rejected	7	FACTION_IKKO_IKKI
S2_PBS_Allies_Enemy_Ikko-Ikki_Near_Maybe_02	text_rejected	7	FACTION_IKKO_IKKI
S2_PBS_Allies_Enemy_Ikko-Ikki_Near_Maybe_03	text_rejected	7	FACTION_IKKO_IKKI
S2_PBS_Allies_Enemy_Mori_Here_Adequate_01	text_rejected	4	FACTION_MORI
S2_PBS_Allies_Enemy_Mori_Here_Adequate_02	text_rejected	4	FACTION_MORI
S2_PBS_Allies_Enemy_Mori_Here_Adequate_03	text_rejected	4	FACTION_MORI
S2_PBS_Allies_Enemy_Mori_Here_Strong_01	text_rejected	5	FACTION_MORI
S2_PBS_Allies_Enemy_Mori_Here_Strong_02	text_rejected	5	FACTION_MORI
S2_PBS_Allies_Enemy_Mori_Here_Strong_03	text_rejected	5	FACTION_MORI
S2_PBS_Allies_Enemy_Mori_Here_Token_01	text_rejected	6	FACTION_MORI
S2_PBS_Allies_Enemy_Mori_Here_Token_02	text_rejected	6	FACTION_MORI
S2_PBS_Allies_Enemy_Mori_Here_Token_03	text_rejected	6	FACTION_MORI
S2_PBS_Allies_Enemy_Mori_Near_Maybe_01	text_rejected	7	FACTION_MORI
S2_PBS_Allies_Enemy_Mori_Near_Maybe_02	text_rejected	7	FACTION_MORI
S2_PBS_Allies_Enemy_Mori_Near_Maybe_03	text_rejected	7	FACTION_MORI
S2_PBS_Allies_Enemy_Oda_Here_Adequate_01	text_rejected	4	FACTION_ODA
S2_PBS_Allies_Enemy_Oda_Here_Adequate_02	text_rejected	4	FACTION_ODA
S2_PBS_Allies_Enemy_Oda_Here_Adequate_03	text_rejected	4	FACTION_ODA
S2_PBS_Allies_Enemy_Oda_Here_Strong_01	text_rejected	5	FACTION_ODA
S2_PBS_Allies_Enemy_Oda_Here_Strong_02	text_rejected	5	FACTION_ODA
S2_PBS_Allies_Enemy_Oda_Here_Strong_03	text_rejected	5	FACTION_ODA
S2_PBS_Allies_Enemy_Oda_Here_Token_01	text_rejected	6	FACTION_ODA
S2_PBS_Allies_Enemy_Oda_Here_Token_02	text_rejected	6	FACTION_ODA
S2_PBS_Allies_Enemy_Oda_Here_Token_03	text_rejected	6	FACTION_ODA
S2_PBS_Allies_Enemy_Oda_Near_Maybe_01	text_rejected	7	FACTION_ODA
S2_PBS_Allies_Enemy_Oda_Near_Maybe_02	text_rejected	7	FACTION_ODA
S2_PBS_Allies_Enemy_Oda_Near_Maybe_03	text_rejected	7	FACTION_ODA
S2_PBS_Allies_Enemy_Shimazu_Here_Adequate_01	text_rejected	4	FACTION_SHIMAZU
S2_PBS_Allies_Enemy_Shimazu_Here_Adequate_02	text_rejected	4	FACTION_SHIMAZU
S2_PBS_Allies_Enemy_Shimazu_Here_Adequate_03	text_rejected	4	FACTION_SHIMAZU
S2_PBS_Allies_Enemy_Shimazu_Here_Strong_01	text_rejected	5	FACTION_SHIMAZU
S2_PBS_Allies_Enemy_Shimazu_Here_Strong_02	text_rejected	5	FACTION_SHIMAZU
S2_PBS_Allies_Enemy_Shimazu_Here_Strong_03	text_rejected	5	FACTION_SHIMAZU
S2_PBS_Allies_Enemy_Shimazu_Here_Token_01	text_rejected	6	FACTION_SHIMAZU
S2_PBS_Allies_Enemy_Shimazu_Here_Token_02	text_rejected	6	FACTION_SHIMAZU
S2_PBS_Allies_Enemy_Shimazu_Here_Token_03	text_rejected	6	FACTION_SHIMAZU
S2_PBS_Allies_Enemy_Shimazu_Near_Maybe_01	text_rejected	7	FACTION_SHIMAZU
S2_PBS_Allies_Enemy_Shimazu_Near_Maybe_02	text_rejected	7	FACTION_SHIMAZU
S2_PBS_Allies_Enemy_Shimazu_Near_Maybe_03	text_rejected	7	FACTION_SHIMAZU
S2_PBS_Allies_Enemy_Takeda_Here_Adequate_01	text_rejected	4	FACTION_TAKEDA
S2_PBS_Allies_Enemy_Takeda_Here_Adequate_02	text_rejected	4	FACTION_TAKEDA
S2_PBS_Allies_Enemy_Takeda_Here_Adequate_03	text_rejected	4	FACTION_TAKEDA
S2_PBS_Allies_Enemy_Takeda_Here_Strong_01	text_rejected	5	FACTION_TAKEDA
S2_PBS_Allies_Enemy_Takeda_Here_Strong_02	text_rejected	5	FACTION_TAKEDA
S2_PBS_Allies_Enemy_Takeda_Here_Strong_03	text_rejected	5	FACTION_TAKEDA
S2_PBS_Allies_Enemy_Takeda_Here_Token_01	text_rejected	6	FACTION_TAKEDA
S2_PBS_Allies_Enemy_Takeda_Here_Token_02	text_rejected	6	FACTION_TAKEDA
S2_PBS_Allies_Enemy_Takeda_Here_Token_03	text_rejected	6	FACTION_TAKEDA
S2_PBS_Allies_Enemy_Takeda_Near_Maybe_01	text_rejected	7	FACTION_TAKEDA
