key	texture_filename_base	category
fort_rome_testv1_gate01_piece09_destruct01_gate_opening	rigidmodels/buildings/textures	animation
fort_rome_testv1_gate02_piece10_destruct01_gate_closing	rigidmodels/buildings/textures	animation
fort_rome_testv1_gate02_piece10_destruct01_gate_opening	rigidmodels/buildings/textures	animation
fort_rome_testv1_gate02_piece11_destruct01_gate_closing	rigidmodels/buildings/textures	animation
fort_rome_testv1_gate02_piece11_destruct01_gate_opening	rigidmodels/buildings/textures	animation
fort_rome_testv2_gate01_piece09_destruct01_gate_closing	rigidmodels/buildings/textures	animation
fort_rome_testv2_gate01_piece09_destruct01_gate_opening	rigidmodels/buildings/textures	animation
oar_L_anim_loop	RigidModels/Naval/Textures	animation
oar_L_anim_lower	RigidModels/Naval/Textures	animation
oar_L_anim_raise	RigidModels/Naval/Textures	animation
oar_R_anim_loop	RigidModels/Naval/Textures	animation
oar_R_anim_lower	RigidModels/Naval/Textures	animation
oar_R_anim_raise	RigidModels/Naval/Textures	animation
positional_oar_L01_anim	RigidModels/Naval/Textures	animation
positional_oar_L02_anim	RigidModels/Naval/Textures	animation
rome_ballista_giant	RigidModels/buildings/textures	animation
rome_ballista_giant_destruction_anim	RigidModels/buildings/textures	animation
rome_ballista_medium	RigidModels/buildings/textures	animation
rome_ballista_medium_destruction_anim	RigidModels/buildings/textures	animation
rome_ballista_medium_ship	RigidModels/buildings/textures	animation
rome_ballista_medium_ship_destruction_anim	RigidModels/buildings/textures	animation
rome_battering_ram_heavy	RigidModels/buildings/textures	animation
rome_battering_ram_light	RigidModels/buildings/textures	animation
rome_battering_ram_medium	RigidModels/buildings/textures	animation
rome_cheiroballistra	RigidModels/buildings/textures	animation
rome_cheiroballistra_destruction_anim	RigidModels/buildings/textures	animation
rome_fireraiser	RigidModels/buildings/textures	animation
rome_harpax	RigidModels/buildings/textures	animation
rome_harpax_destruction_anim	RigidModels/buildings/textures	animation
rome_onager	RigidModels/buildings/textures	animation
rome_onager_destruction_anim	RigidModels/buildings/textures	animation
rome_onager_large	RigidModels/buildings/textures	animation
rome_onager_large_destruction_anim	RigidModels/buildings/textures	animation
rome_onager_ship	RigidModels/buildings/textures	animation
rome_onager_ship_destruction_anim	RigidModels/buildings/textures	animation
rome_polybolos	RigidModels/buildings/textures	animation
rome_polybolos_destruction_anim	RigidModels/buildings/textures	animation
rome_scorpio	RigidModels/buildings/textures	animation
rome_scorpio_destruction_anim	RigidModels/buildings/textures	animation
target_marker	RigidModels/3DIndicators/Textures	animation
trade_camel	RigidModels\CampaignTradeRoutes	campaign_animation
trade_camel_lead	RigidModels\CampaignTradeRoutes	campaign_animation
trade_ox	RigidModels/campaign/trade_models/textures	campaign_animation
trade_ox_cart	RigidModels/campaign/trade_models/textures	campaign_animation
trade_ship_barbarian	RigidModels/campaign/trade_models/textures	campaign_animation
