key	tech_category_tab	tech_category_position	chain_category	in_encyclopedia	building_superchain
3c_east_industry			money	true	Industry
3c_east_iron			military	true	ResourceIron
3c_east_lead			military	true	ResourceLead
3c_east_leather			military	true	ResourceLeather
3c_east_lumber			military	true	ResourceLumber
3c_east_marble			military	true	ResourceMarble
3c_east_military_buff			military	true	MilitaryBuff
3c_east_military_cav			military	true	MilitaryMain
3c_east_military_siege			military	true	MilitarySiege
3c_east_olive			military	true	ResourceOlive
3c_east_port			money	true	Port
3c_east_purple_dye			military	true	ResourceDye
3c_east_resource_dummy			money	false	3c_resource_dummy
3c_east_silk			military	true	ResourceSilk
3c_east_town			military	true	SettlementMinor
3c_east_town_centre			money	true	TownCentre
3c_east_water			happiness	true	Sanitation
3c_east_wine			military	true	ResourceWine
3c_eastern_cults			cult	false	3c_rom_cults
3c_gallicemp_agriculture			money	false	Agriculture
3c_gallicemp_military			military	false	MilitaryMain
3c_gallicemp_religious			temple	false	Temple
3c_palmyra_city_major			military	false	SettlementMajor
3c_palmyra_religious			temple	false	Temple
3c_rom_resource_dummy			money	false	3c_resource_dummy
3c_rome_administration			money	true	3c_rom_administration
3c_rome_agriculture			money	false	Agriculture
3c_rome_amber			military	true	ResourceAmber
3c_rome_city_centre			money	false	CityCentre
3c_rome_city_major			military	true	SettlementMajor
3c_rome_glass			military	true	ResourceGlass
3c_rome_gold			military	true	ResourceGold
3c_rome_grain			military	true	ResourceGrain
3c_rome_horse			military	true	ResourceHorse
3c_rome_industry			money	true	Industry
3c_rome_iron			military	true	ResourceIron
3c_rome_lead			military	true	ResourceLead
3c_rome_leather			military	true	ResourceLeather
3c_rome_lumber			military	true	ResourceLumber
3c_rome_marble			military	true	ResourceMarble
3c_rome_military			military	false	MilitaryMain
3c_rome_military_aux			military	false	MilitarySecondary
3c_rome_military_buff			military	true	MilitaryBuff
3c_rome_military_siege			military	true	MilitarySiege
3c_rome_navalbuff			military	false	NavalBuff
3c_rome_olive			military	true	ResourceOlive
3c_rome_port			money	false	Port
3c_rome_purple_dye			military	true	ResourceDye
3c_rome_religious			temple	true	Temple
3c_rome_sanitation			happiness	false	Sanitation
3c_rome_silk			military	true	ResourceSilk
3c_rome_town			military	true	SettlementMinor
3c_rome_town_centre			money	true	TownCentre
3c_rome_wine			military	true	ResourceWine
3c_sassanid_military			military	false	MilitaryMain
3c_sassanid_navalbuff			military	false	NavalBuff
3c_sassanid_religious			temple	false	Temple
all_mine			money	true	Mine
barb_agriculture			money	true	AgricultureBarb
barb_agriculture_minor			money	true	Agriculture
barb_agriculture_minor_nomad			money	true	Agriculture
barb_agriculture_nomad			money	true	AgricultureBarb
barb_amber			military	true	ResourceAmber
barb_artisan			military	true	MilitaryMain
barb_city			military	true	SettlementMajor
barb_commons			money	true	CityCentre
barb_commons_nomad			money	true	CityCentre
barb_craftsmen			military	true	MilitarySecondary
barb_glass			military	true	ResourceGlass
barb_gold			military	true	ResourceGold
barb_grain			military	true	ResourceGrain
barb_horse			military	true	ResourceHorse
barb_iron			military	true	ResourceIron
barb_lead			military	true	ResourceLead
barb_leather			military	true	ResourceLeather
barb_lumber			military	true	ResourceLumber
barb_marble			military	true	ResourceMarble
barb_military_buff			military	true	MilitaryBuff
barb_olive			military	true	ResourceOlive
barb_port			military	true	Port
barb_purple_dye			military	true	ResourceDye
barb_religious			happiness	true	Temple
barb_religious_briton			happiness	true	Temple
barb_religious_dacian			happiness	true	Temple
barb_religious_gaul			happiness	true	Temple
barb_religious_german			happiness	true	Temple
barb_religious_iberian			happiness	true	Temple
barb_religious_illyrian			happiness	true	Temple
barb_religious_nomad			happiness	true	Temple
barb_religious_thrace			happiness	true	Temple
barb_silk			military	true	ResourceSilk
barb_spice			money	true	ResourceSpice
barb_town			military	true	SettlementMinor
barb_water			happiness	true	SanitationBarb
barb_wine			military	true	ResourceWine
dk_afr_city_centre			money	true	CityCentre
dk_all_city			military	true	SettlementMajor
dk_all_industry			money	true	Industry
dk_all_military_cavalry			military	true	MilitarySecondary
dk_all_military_infantry			military	true	MilitaryMain
dk_all_minor_settlement			military	true	SettlementMinor
dk_ara_city_centre			money	true	CityCentre
dk_ara_town_centre			money	true	TownCentre
dk_gen_sanitation			happiness	true	Sanitation
dk_kush_industry			money	true	Industry
dk_kush_religious			happiness	true	Temple
dk_kush_town_centre			money	true	TownCentre
dk_military_siege			military	true	MilitarySiege
dk_military_training			military	true	MilitaryBuff
dk_minor_amber			military	true	ResourceAmber
dk_minor_glass			military	true	ResourceGlass
dk_minor_gold			military	true	ResourceGold
dk_minor_grain			military	true	ResourceGrain
dk_minor_horse			military	true	ResourceHorse
dk_minor_iron			military	true	ResourceIron
dk_minor_lead			military	true	ResourceLead
dk_minor_leather			military	true	ResourceLeather
dk_minor_lumber			military	true	ResourceLumber
dk_minor_marble			military	true	ResourceMarble
dk_minor_olive			military	true	ResourceOlive
dk_minor_purple_dye			military	true	ResourceDye
dk_minor_silk			military	true	ResourceSilk
dk_minor_spice			money	false	ResourceSpice
dk_minor_wine			military	true	ResourceWine
dk_nabatea_religious			happiness	true	Temple
dk_numidia_religious			happiness	true	Temple
dk_saba_marib_dam			happiness	true	dk_saba_marib_dam
dk_saba_religious			happiness	true	Temple
east_agriculture			money	true	Agriculture
east_amber			military	true	ResourceAmber
east_city			military	true	SettlementMajor
east_city_centre			money	true	CityCentre
east_glass			military	true	ResourceGlass
east_gold			military	true	ResourceGold
east_grain			military	true	ResourceGrain
east_horse			military	true	ResourceHorse
east_industry			money	true	Industry
east_iron			military	true	ResourceIron
east_lead			military	true	ResourceLead
east_leather			military	true	ResourceLeather
east_lumber			military	true	ResourceLumber
east_marble			military	true	ResourceMarble
east_military_buff			military	true	MilitaryBuff
east_military_infantry			military	true	MilitarySecondary
east_military_siege			military	true	MilitarySiege
east_military_stables			military	true	MilitaryMain
east_olive			military	true	ResourceOlive
east_port			money	true	Port
east_purple_dye			military	true	ResourceDye
east_religious			happiness	true	Temple
east_silk			military	true	ResourceSilk
east_spice			money	false	ResourceSpice
east_tax			money	true	Tax
east_town			military	true	SettlementMinor
east_town_centre			money	true	TownCentre
east_water			happiness	true	Sanitation
east_wine			military	true	ResourceWine
greek_agriculture			money	true	Agriculture
greek_amber			military	true	ResourceAmber
greek_city			military	true	SettlementMajor
greek_city_centre			money	true	CityCentre
greek_glass			military	true	ResourceGlass
greek_gold			military	true	ResourceGold
greek_grain			military	true	ResourceGrain
greek_horse			military	true	ResourceHorse
greek_industrial			money	true	Industry
greek_iron			military	true	ResourceIron
greek_lead			military	true	ResourceLead
greek_leather			military	true	ResourceLeather
greek_lumber			military	true	ResourceLumber
greek_marble			military	true	ResourceMarble
greek_military			military	true	MilitaryMain
greek_military_buff			military	true	MilitaryBuff
greek_military_siege			military	true	MilitarySiege
greek_olive			military	true	ResourceOlive
greek_port			money	true	Port
greek_purple_dye			military	true	ResourceDye
greek_religious			happiness	true	Temple
greek_religious_egypt			happiness	true	Temple
greek_religious_punic			happiness	true	Temple
greek_silk			military	true	ResourceSilk
greek_spice			money	false	ResourceSpice
greek_town			military	true	SettlementMinor
greek_town_centre			money	true	TownCentre
greek_water			happiness	true	Sanitation
greek_wine			military	true	ResourceWine
inv_all_capitoline_hill			military	true	inv_etr_main_city
inv_all_carthago			military	true	inv_etr_main_port
inv_barb_amber			military	true	ResourceAmber
inv_barb_gold			military	true	ResourceGold
inv_barb_grain			military	true	ResourceGrain
inv_barb_horse			military	true	ResourceHorse
inv_barb_iron			military	true	ResourceIron
inv_barb_lead			military	true	ResourceLead
inv_barb_leather			military	true	ResourceLeather
inv_barb_lumber			military	true	ResourceLumber
inv_barb_marble			military	true	ResourceMarble
inv_barb_olive			military	true	ResourceOlive
inv_barb_purple_dye			military	true	ResourceDye
inv_barb_salt			military	true	ResourceSalt
inv_barb_wine			military	true	ResourceWine
inv_car_agriculture			money	true	Agriculture
inv_car_amber			military	true	ResourceAmber
inv_car_city			military	true	SettlementMajor
inv_car_city_centre			money	true	CityCentre
inv_car_glass			military	true	ResourceGlass
inv_car_gold			military	true	ResourceGold
inv_car_grain			military	true	ResourceGrain
inv_car_horse			military	true	ResourceHorse
inv_car_industrial			money	true	Industry
inv_car_iron			military	true	ResourceIron
inv_car_lead			military	true	ResourceLead
inv_car_leather			military	true	ResourceLeather
inv_car_lumber			military	true	ResourceLumber
inv_car_marble			military	true	ResourceMarble
inv_car_military			military	true	MilitaryMain
inv_car_military_buff			military	true	MilitaryBuff
inv_car_military_siege			military	true	MilitarySiege
inv_car_olive			military	true	ResourceOlive
inv_car_port			money	true	Port
inv_car_purple_dye			military	true	ResourceDye
inv_car_religious			happiness	true	Temple
inv_car_silk			military	true	ResourceSilk
inv_car_spice			money	false	ResourceSalt
inv_car_town			military	true	SettlementMinor
inv_car_water			happiness	true	Sanitation
inv_gre_agriculture			money	false	Agriculture
inv_gre_city_centre			money	false	CityCentre
inv_gre_city_centre_taranto			money	false	CityCentre
inv_gre_industry_major			money	false	Industry
inv_gre_industry_minor			money	false	Mine
inv_gre_major_town			military	false	SettlementMajor
inv_gre_military_buff			military	false	MilitaryBuff
inv_gre_military_recruitment			military	false	MilitaryMain
inv_gre_minor_town			military	false	SettlementMinor
inv_gre_minor_town_centre			money	false	TownCentre
inv_gre_port			money	false	Port
inv_gre_religious			happiness	false	Temple
inv_gre_sanitation			happiness	false	Sanitation
inv_greek_amber			military	true	ResourceAmber
inv_greek_gold			military	true	ResourceGold
inv_greek_grain			military	true	ResourceGrain
inv_greek_horse			military	true	ResourceHorse
inv_greek_iron			military	true	ResourceIron
inv_greek_lead			military	true	ResourceLead
inv_greek_leather			military	true	ResourceLeather
inv_greek_lumber			military	true	ResourceLumber
inv_greek_marble			military	true	ResourceMarble
inv_greek_olive			military	true	ResourceOlive
inv_greek_purple_dye			military	true	ResourceDye
inv_greek_salt			military	true	ResourceSalt
inv_greek_wine			military	true	ResourceWine
inv_ita_agriculture			money	false	Agriculture
inv_ita_industry_major			money	false	Industry
inv_ita_industry_minor			money	false	Mine
inv_ita_major_city			military	false	SettlementMajor
inv_ita_major_city_centre			money	false	CityCentre
inv_ita_military_buff			military	false	MilitaryBuff
inv_ita_military_recruitment			military	false	MilitaryMain
inv_ita_minor_town			military	false	SettlementMinor
inv_ita_minor_town_centre			money	false	TownCentre
inv_ita_port			money	false	Port
inv_ita_religious			happiness	false	Temple
inv_ita_sanitation			happiness	false	Sanitation
inv_new_barb_agriculture			money	false	AgricultureBarb
inv_new_barb_agriculture_minor			money	false	Agriculture
inv_new_barb_city			military	false	SettlementMajor
inv_new_barb_city_centre			money	false	CityCentre
inv_new_barb_industry			money	false	Industry
inv_new_barb_military_buff			military	false	MilitaryBuff
inv_new_barb_military_recruitment			military	false	MilitaryMain
inv_new_barb_minor_industry			money	false	Mine
inv_new_barb_minor_town			military	false	SettlementMinor
inv_new_barb_port			money	false	Port
inv_new_barb_religious			happiness	false	Temple
inv_new_barb_water			happiness	false	SanitationBarb
inv_new_etr_amber			military	true	ResourceAmber
inv_new_etr_gold			military	true	ResourceGold
inv_new_etr_grain			military	true	ResourceGrain
inv_new_etr_horse			military	true	ResourceHorse
inv_new_etr_iron			military	true	ResourceIron
inv_new_etr_lead			military	true	ResourceLead
inv_new_etr_leather			military	true	ResourceLeather
inv_new_etr_lumber			military	true	ResourceLumber
inv_new_etr_main_administration			happiness	true	inv_etr_main_administration
inv_new_etr_main_agriculture			money	true	inv_etr_main_agriculture
inv_new_etr_main_city			military	true	SettlementMajor
inv_new_etr_main_industry			money	false	Industry
inv_new_etr_main_military			military	true	inv_etr_main_military
inv_new_etr_main_religion			happiness	true	inv_etr_main_religion
inv_new_etr_marble			military	true	ResourceMarble
inv_new_etr_minor_agriculture			money	true	inv_etr_minor_agriculture
inv_new_etr_minor_industry			money	false	inv_etr_minor_industry
inv_new_etr_minor_military			military	true	inv_etr_minor_military
inv_new_etr_minor_religion			happiness	true	inv_etr_minor_religious
inv_new_etr_minor_town			military	true	SettlementMinor
inv_new_etr_olive			military	true	ResourceOlive
inv_new_etr_port			money	true	Port
inv_new_etr_purple_dye			military	true	ResourceDye
inv_new_etr_salt			military	true	ResourceSalt
inv_new_etr_wine			military	true	ResourceWine
inv_nur_agriculture			money	false	Agriculture
inv_nur_industry_major			money	false	Industry
inv_nur_major_city			military	false	SettlementMajor
inv_nur_major_city_centre			money	false	CityCentre
inv_nur_military			military	false	MilitaryMain
inv_nur_minor_town			military	false	SettlementMinor
inv_nur_port			money	false	Port
inv_nur_religious			happiness	false	Temple
inv_nur_sanitation			happiness	false	SanitationBarb
inv_rom_agriculture			money	true	Agriculture
inv_rom_amber			military	true	ResourceAmber
inv_rom_capital			military	true	SettlementMajor
inv_rom_city_centre			money	true	CityCentre
inv_rom_gold			military	true	ResourceGold
inv_rom_grain			military	true	ResourceGrain
inv_rom_horse			military	true	ResourceHorse
inv_rom_industry_major			money	true	Industry
inv_rom_iron			military	true	ResourceIron
inv_rom_lead			military	true	ResourceLead
inv_rom_leather			military	true	ResourceLeather
inv_rom_lumber			military	true	ResourceLumber
inv_rom_marble			military	true	ResourceMarble
inv_rom_military_buff			military	true	MilitaryBuff
inv_rom_military_recruitment			military	true	MilitaryMain
inv_rom_minor_town			military	true	SettlementMinor
inv_rom_olive			military	true	ResourceOlive
inv_rom_port			money	true	Port
inv_rom_purple_dye			military	true	ResourceDye
inv_rom_religious			happiness	true	Temple
inv_rom_salt			military	true	ResourceSalt
inv_rom_sanitation			happiness	true	Sanitation
inv_rom_town_centre			money	true	TownCentre
inv_rom_wine			military	true	ResourceWine
inv_rome_resource_building_dummy			money	false	inv_resource_building_dummy
inv_ven_agriculture			money	false	Agriculture
inv_ven_city_centre			money	false	CityCentre
inv_ven_industry			money	false	Industry
inv_ven_major_town			military	false	SettlementMajor
inv_ven_military_industry			military	false	MilitarySecondary
inv_ven_military_recruitment			military	false	MilitaryMain
inv_ven_minor_town			military	false	SettlementMinor
inv_ven_port			money	false	Port
inv_ven_religious			happiness	false	Temple
inv_ven_sanitation			happiness	false	SanitationBarb
pel_agriculture			money	true	Agriculture
pel_agriculture_barb			money	true	Agriculture
pel_agriculture_east			money	true	Agriculture
pel_barb_artisan			military	true	MilitaryMain
pel_barb_commons			money	true	CityCentre
pel_barb_port			military	true	Port
pel_barb_town			military	true	SettlementMinor
pel_barb_water			happiness	true	SanitationBarb
pel_buff			military	true	MilitaryBuff
pel_city			military	true	SettlementMajor
pel_city_centre			money	true	CityCentre
pel_east_city_centre			money	true	CityCentre
pel_east_port			money	true	Port
pel_east_water			happiness	true	Sanitation
pel_industry			money	true	Industry
pel_military			military	true	MilitaryMain
pel_port			money	true	Port
pel_religious			happiness	true	Temple
pel_religious_barb			happiness	true	Temple
pel_religious_east			happiness	true	Temple
pel_town			military	true	SettlementMinor
pel_town_bronze			military	true	ResourceIron
pel_town_centre			money	true	TownCentre
pel_town_glass			military	true	ResourceGlass
pel_town_gold			military	true	ResourceGold
pel_town_grain			military	true	ResourceGrain
pel_town_grain_barb			military	true	ResourceGrain
pel_town_grain_east			military	true	ResourceGrain
pel_town_horse			military	true	ResourceHorse
pel_town_horse_barb			military	true	ResourceHorse
pel_town_horse_east			military	true	ResourceHorse
pel_town_lead			military	true	ResourceLead
pel_town_marble			military	true	ResourceMarble
pel_town_olive			military	true	ResourceOlive
pel_town_olive_barb			military	true	ResourceOlive
pel_town_olive_east			military	true	ResourceOlive
pel_town_timber			military	true	ResourceLumber
pel_town_wine			military	true	ResourceWine
pel_water			happiness	true	Sanitation
pro_ROMAN_city_major			military	true	rom_SettlementMajor
pro_ROMAN_military_equipment			military	true	rom_MilitaryEquipment
pun_ROMAN_military_main			military	true	rom_MilitaryMainMajor
pun_greek_town_centre			money	true	TownCentre
pun_rome_town_centre			money	true	TownCentre
rom_ALL_industry_minor			money	true	rom_IndustryMinor
rom_BARBARIAN_artisans_major			money	true	rom_MilitaryMainMajor
rom_BARBARIAN_city_major			military	true	rom_SettlementMajor
rom_BARBARIAN_city_minor_fish			military	true	rom_GENERIC_city_minor_fish
rom_BARBARIAN_city_minor_glass			military	true	rom_GENERIC_city_minor_glass
rom_BARBARIAN_city_minor_gold			military	true	rom_GENERIC_city_minor_gold
rom_BARBARIAN_city_minor_grain			military	true	rom_GENERIC_city_minor_grain
rom_BARBARIAN_city_minor_hides			military	true	rom_GENERIC_city_minor_hides
rom_BARBARIAN_city_minor_iron			military	true	rom_GENERIC_city_minor_iron
rom_BARBARIAN_city_minor_limestone			military	true	rom_GENERIC_city_minor_limestone
rom_BARBARIAN_city_minor_marble			military	true	rom_GENERIC_city_minor_marble
rom_BARBARIAN_city_minor_olives			military	true	rom_GENERIC_city_minor_olives
rom_BARBARIAN_city_minor_purple_dye			military	true	rom_GENERIC_city_minor_purple_dye
rom_BARBARIAN_city_minor_silk			military	true	rom_GENERIC_city_minor_silk
rom_BARBARIAN_city_minor_silver			military	true	rom_GENERIC_city_minor_silver
rom_BARBARIAN_city_minor_timber			military	true	rom_GENERIC_city_minor_timber
rom_BARBARIAN_city_minor_township			military	true	rom_GENERIC_city_minor_township
rom_BARBARIAN_city_minor_wine			military	true	rom_GENERIC_city_minor_wine
rom_BARBARIAN_commons			money	true	rom_CityLotMajor
rom_BARBARIAN_enclosure			money	true	rom_EconomicSecondaryMajor
rom_BARBARIAN_enclosure_minor			money	true	rom_EconomicSecondaryMinor
rom_BARBARIAN_port_major			military	true	rom_PortMajor
rom_BARBARIAN_port_minor			military	true	rom_PortMinor
rom_BARBARIAN_religious_celtic			happiness	true	rom_TempleMajor
rom_BARBARIAN_religious_celtic_minor			happiness	true	rom_TempleMinor
rom_BARBARIAN_religious_dacian			happiness	true	rom_TempleMajor
rom_BARBARIAN_religious_dacian_minor			happiness	true	rom_TempleMinor
rom_BARBARIAN_religious_germanic			happiness	true	rom_TempleMajor
rom_BARBARIAN_religious_germanic_minor			happiness	true	rom_TempleMinor
rom_BARBARIAN_religious_iberian			happiness	true	rom_TempleMajor
rom_BARBARIAN_religious_iberian_minor			happiness	true	rom_TempleMinor
rom_BARBARIAN_religious_illyrian			happiness	true	rom_TempleMajor
rom_BARBARIAN_religious_illyrian_minor			happiness	true	rom_TempleMinor
rom_BARBARIAN_religious_nomad			happiness	true	rom_TempleMajor
rom_BARBARIAN_religious_nomad_minor			happiness	true	rom_TempleMinor
rom_BARBARIAN_religious_thracian			happiness	true	rom_TempleMajor
rom_BARBARIAN_religious_thracian_minor			happiness	true	rom_TempleMinor
rom_EASTERN_buff			military	true	rom_MilitaryEquipment
rom_EASTERN_city_major			military	true	rom_SettlementMajor
rom_EASTERN_city_minor_fish			military	true	rom_GENERIC_city_minor_fish
rom_EASTERN_city_minor_glass			military	true	rom_GENERIC_city_minor_glass
rom_EASTERN_city_minor_gold			military	true	rom_GENERIC_city_minor_gold
rom_EASTERN_city_minor_grain			military	true	rom_GENERIC_city_minor_grain
rom_EASTERN_city_minor_hides			military	true	rom_GENERIC_city_minor_hides
rom_EASTERN_city_minor_iron			military	true	rom_GENERIC_city_minor_iron
rom_EASTERN_city_minor_limestone			military	true	rom_GENERIC_city_minor_limestone
rom_EASTERN_city_minor_marble			military	true	rom_GENERIC_city_minor_marble
rom_EASTERN_city_minor_olives			military	true	rom_GENERIC_city_minor_olives
rom_EASTERN_city_minor_purple_dye			military	true	rom_GENERIC_city_minor_purple_dye
rom_EASTERN_city_minor_silk			military	true	rom_GENERIC_city_minor_silk
rom_EASTERN_city_minor_silver			military	true	rom_GENERIC_city_minor_silver
rom_EASTERN_city_minor_timber			military	true	rom_GENERIC_city_minor_timber
rom_EASTERN_city_minor_township			military	true	rom_GENERIC_city_minor_township
rom_EASTERN_city_minor_wine			military	true	rom_GENERIC_city_minor_wine
rom_EASTERN_city_slot			money	true	rom_CityLotMajor
rom_EASTERN_levy			military	true	rom_MilitaryMainMajor
rom_EASTERN_local_temple			happiness	true	rom_TempleMajor
rom_EASTERN_local_temple_minor			happiness	true	rom_TempleMinor
rom_EASTERN_outskirts			money	true	rom_EconomicSecondaryMajor
rom_EASTERN_outskirts_minor			money	true	rom_EconomicSecondaryMinor
rom_EASTERN_port_major			money	true	rom_PortMajor
rom_EASTERN_port_minor			military	true	rom_PortMinor
rom_EASTERN_stables			military	true	rom_MilitaryAnimals
rom_HELLENIC_city_major			military	true	rom_SettlementMajor
rom_HELLENIC_city_minor_fish			military	true	rom_GENERIC_city_minor_fish
rom_HELLENIC_city_minor_glass			military	true	rom_GENERIC_city_minor_glass
rom_HELLENIC_city_minor_gold			military	true	rom_GENERIC_city_minor_gold
rom_HELLENIC_city_minor_grain			military	true	rom_GENERIC_city_minor_grain
rom_HELLENIC_city_minor_hides			military	true	rom_GENERIC_city_minor_hides
rom_HELLENIC_city_minor_iron			military	true	rom_GENERIC_city_minor_iron
rom_HELLENIC_city_minor_limestone			military	true	rom_GENERIC_city_minor_limestone
rom_HELLENIC_city_minor_marble			military	true	rom_GENERIC_city_minor_marble
rom_HELLENIC_city_minor_military_tradition			military	true	rom_GENERIC_city_minor_military_tradition
rom_HELLENIC_city_minor_olives			military	true	rom_GENERIC_city_minor_olives
rom_HELLENIC_city_minor_purple_dye			military	true	rom_GENERIC_city_minor_purple_dye
rom_HELLENIC_city_minor_silk			military	true	rom_GENERIC_city_minor_silk
rom_HELLENIC_city_minor_silver			military	true	rom_GENERIC_city_minor_silver
rom_HELLENIC_city_minor_timber			military	true	rom_GENERIC_city_minor_timber
rom_HELLENIC_city_minor_township			military	true	rom_GENERIC_city_minor_township
rom_HELLENIC_city_minor_wine			military	true	rom_GENERIC_city_minor_wine
rom_HELLENIC_city_slot			money	true	rom_CityLotMajor
rom_HELLENIC_military_buff			military	true	rom_MilitaryBuffMajor
rom_HELLENIC_military_equipment			military	true	rom_MilitaryEquipment
rom_HELLENIC_military_main			military	true	rom_MilitaryMainMajor
rom_HELLENIC_military_main_PUNIC			military	true	rom_MilitaryMainMajor
rom_HELLENIC_outskirts			money	true	rom_EconomicSecondaryMajor
rom_HELLENIC_outskirts_minor			money	true	rom_EconomicSecondaryMinor
rom_HELLENIC_outskirts_minor_MACEDON			money	true	rom_EconomicSecondaryMinor
rom_HELLENIC_port_major			money	true	rom_PortMajor
rom_HELLENIC_port_minor			money	true	rom_PortMinor
rom_HELLENIC_sanitation			happiness	true	rom_Sanitation
rom_HELLENIC_sanitation_PUNIC			happiness	true	rom_Sanitation
rom_HELLENIC_temple			happiness	true	rom_TempleMajor
rom_HELLENIC_temple_PTOLEMAIC			happiness	true	rom_TempleMajor
rom_HELLENIC_temple_PUNIC			happiness	true	rom_TempleMajor
rom_HELLENIC_temple_minor			happiness	true	rom_TempleMinor
rom_HELLENIC_temple_minor_PTOLEMAIC			happiness	true	rom_TempleMinor
rom_HELLENIC_temple_minor_PUNIC			happiness	true	rom_TempleMinor
rom_ROMAN_city_major			military	true	rom_SettlementMajor
rom_ROMAN_city_minor_fish			military	true	rom_GENERIC_city_minor_fish
rom_ROMAN_city_minor_glass			military	true	rom_GENERIC_city_minor_glass
rom_ROMAN_city_minor_gold			military	true	rom_GENERIC_city_minor_gold
rom_ROMAN_city_minor_grain			military	true	rom_GENERIC_city_minor_grain
rom_ROMAN_city_minor_hides			military	true	rom_GENERIC_city_minor_hides
rom_ROMAN_city_minor_iron			military	true	rom_GENERIC_city_minor_iron
rom_ROMAN_city_minor_limestone			military	true	rom_GENERIC_city_minor_limestone
rom_ROMAN_city_minor_marble			military	true	rom_GENERIC_city_minor_marble
rom_ROMAN_city_minor_olives			military	true	rom_GENERIC_city_minor_olives
rom_ROMAN_city_minor_purple_dye			military	true	rom_GENERIC_city_minor_purple_dye
rom_ROMAN_city_minor_silk			military	true	rom_GENERIC_city_minor_silk
rom_ROMAN_city_minor_silver			military	true	rom_GENERIC_city_minor_silver
rom_ROMAN_city_minor_timber			military	true	rom_GENERIC_city_minor_timber
rom_ROMAN_city_minor_township			military	true	rom_GENERIC_city_minor_township
rom_ROMAN_city_minor_wine			military	true	rom_GENERIC_city_minor_wine
rom_ROMAN_city_slot			money	true	rom_CityLotMajor
rom_ROMAN_military_buff			military	true	rom_MilitaryBuffMajor
rom_ROMAN_military_equipment			military	true	rom_MilitaryEquipment
rom_ROMAN_military_main			military	true	rom_MilitaryMainMajor
rom_ROMAN_outskirts			money	true	rom_EconomicSecondaryMajor
rom_ROMAN_outskirts_minor			money	true	rom_EconomicSecondaryMinor
rom_ROMAN_port_major			money	true	rom_PortMajor
rom_ROMAN_port_minor			money	true	rom_PortMinor
rom_ROMAN_sanitation			happiness	true	rom_Sanitation
rom_ROMAN_temple			happiness	true	rom_TempleMajor
rom_ROMAN_temple_minor			happiness	true	rom_TempleMinor
rom_Slum			slum	false	rom_Slum
rome_agriculture			money	true	Agriculture
rome_amber			military	true	ResourceAmber
rome_city			military	true	SettlementMajor
rome_city_centre			money	true	CityCentre
rome_glass			military	true	ResourceGlass
rome_gold			military	true	ResourceGold
rome_grain			military	true	ResourceGrain
rome_horse			military	true	ResourceHorse
rome_industry			money	true	Industry
rome_iron			military	true	ResourceIron
rome_lead			military	true	ResourceLead
rome_leather			military	true	ResourceLeather
rome_lumber			military	true	ResourceLumber
rome_marble			military	true	ResourceMarble
rome_military			military	true	MilitaryMain
rome_military_buff			military	true	MilitaryBuff
rome_military_pun			military	true	MilitaryMain
rome_military_siege			military	true	MilitarySiege
rome_olive			military	true	ResourceOlive
rome_port			money	true	Port
rome_purple_dye			military	true	ResourceDye
rome_religious			happiness	true	Temple
rome_silk			military	true	ResourceSilk
rome_spice			money	true	ResourceSpice
rome_town			military	true	SettlementMinor
rome_town_centre			money	true	TownCentre
rome_water			happiness	true	Sanitation
rome_wine			military	true	ResourceWine
