building	culture	subculture	faction	battlefield_building	artpiece	artpiece_animated	description	icon	disables	short_description	flavour	display_tooltip
3c_barb_agriculture_nomad_camp_2		sc_rom_barb_east			campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_enclosure_nomadic_2	false	twr2_rome_dlc_nomadic_Nomad_Camp_short	twr2_rome_dlc_nomadic_Nomad_Camp_flavour	true
3c_barb_agriculture_nomad_camp_3		sc_rom_barb_east			campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_enclosure_nomadic_3	false	twr2_rome_dlc_nomadic_Wagon_Camp_short	twr2_rome_dlc_nomadic_Nomad_Camp_flavour	true
3c_barb_agriculture_nomad_camp_4		sc_rom_barb_east			campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_enclosure_nomadic_4	false	twr2_rome_dlc_nomadic_Royal_Camp_short	twr2_rome_dlc_nomadic_Nomad_Camp_flavour	true
3c_barb_agriculture_nomad_herd_2		sc_rom_barb_east			campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_enclosure_stables_3	false	twr2_rome_dlc_nomadic_Wild_Horses_short	twr2_rome_dlc_nomadic_Wild_Horses_flavour	true
3c_barb_agriculture_nomad_herd_3		sc_rom_barb_east			campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_enclosure_stables_4	false	twr2_rome_dlc_nomadic_Large_Herd_short	twr2_rome_dlc_nomadic_Wild_Horses_flavour	true
3c_barb_agriculture_nomad_herd_4		sc_rom_barb_east			campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_enclosure_stables_5	false	twr2_rome_dlc_nomadic_Royal_Herd_short	twr2_rome_dlc_nomadic_Wild_Horses_flavour	true
3c_barb_agriculture_nomad_weaver_2		sc_rom_barb_east			campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_enclosure_food_sheep_2	false	twr2_rome_dlc_nomadic_Flock_of_Sheep_short	twr2_rome_dlc_nomadic_Flock_of_Sheep_flavour	true
3c_barb_agriculture_nomad_weaver_3		sc_rom_barb_east			campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_enclosure_food_sheep_3	false	twr2_rome_dlc_nomadic_Weaver_short	twr2_rome_dlc_nomadic_Flock_of_Sheep_flavour	true
3c_barb_agriculture_nomad_weaver_4		sc_rom_barb_east			campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_enclosure_food_sheep_4	false	twr2_rome_dlc_nomadic_Yurt_Maker_short	twr2_rome_dlc_nomadic_Flock_of_Sheep_flavour	true
3c_barb_amber_1	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_commerce_amber_1	false	amber_collector	amber_chain	true
3c_barb_amber_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_commerce_amber_2	false	amber_road	amber_chain	true
3c_barb_amber_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_commerce_amber_3	false	amber_shore	amber_chain	true
3c_barb_amber_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_commerce_amber_4	false	amber_trader	amber_chain	true
3c_barb_artisan_1	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_bar_art_1	false	twr2_rome_barbarian_Artisans_lodgings_short	twr2_rome_barbarian_Artisans_lodgings_flavour	true
3c_barb_artisan_bronze_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_artisans_major_bronze_3	false	twr2_rome_barbarian_Bronze_workshop_short	twr2_rome_barbarian_Bronze_workshop_flavour	true
3c_barb_artisan_bronze_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_artisans_major_bronze_4	false	twr2_rome_barbarian_Bronze_forge_short	twr2_rome_barbarian_Bronze_workshop_flavour	true
3c_barb_artisan_bronze_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_artisans_major_bronze_5	false	twr2_rome_barbarian_Bronze_furnace_short	twr2_rome_barbarian_Bronze_workshop_flavour	true
3c_barb_artisan_coin_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_bar_mint_2	false	barb_coin_maker	barb_coin_maker	true
3c_barb_artisan_coin_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_bar_mint_3	false	barb_coin_mint	barb_coin_maker	true
3c_barb_artisan_coin_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_bar_mint_4	false	barb_coin_hoard	barb_coin_maker	true
3c_barb_artisan_maker_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_bar_horn_2	false	barb_horn_maker	barb_trumpet_maker	true
3c_barb_artisan_maker_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_bar_horn_3	false	barb_trumpet_maker	barb_trumpet_maker	true
3c_barb_artisan_maker_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_bar_horn_4	false	barb_carnyx_maker	barb_trumpet_maker	true
3c_barb_city_1	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_city_major_3	false	twr2_rome_barbarian_City_short	twr2_rome_barbarian_City_flavour	true
3c_barb_city_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_city_major_4	false	twr2_rome_barbarian_Fortified_city_short	twr2_rome_barbarian_City_flavour	true
3c_barb_city_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_city_major_5	false	twr2_rome_barbarian_Hundred_short	twr2_rome_barbarian_City_flavour	true
3c_barb_city_industry_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_bar_ind_opp	false	twr2_rome_barbarian_Oppidium_short	twr2_rome_barbarian_City_flavour	true
3c_barb_city_trade_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_bar_trade_opp	false	twr2_rome_barbarian_Oppidium_short	twr2_rome_barbarian_City_flavour	true
3c_barb_city_tribal_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_bar_tribe_opp	false	twr2_rome_barbarian_Oppidium_short	twr2_rome_barbarian_City_flavour	true
3c_barb_commons_1	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_commons	false	twr2_rome_barbarian_Commons_short	twr2_rome_barbarian_Commons_flavour	true
3c_barb_commons_chieftan_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_commons__administration_3	false	twr2_rome_barbarian_Chieftains_hold_short	twr2_rome_barbarian_Chieftains_hold_flavour	true
3c_barb_commons_chieftan_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_commons__administration_4	false	twr2_rome_barbarian_Warlords_hold_short	twr2_rome_barbarian_Chieftains_hold_flavour	true
3c_barb_commons_chieftan_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_commons__administration_5	false	twr2_rome_barbarian_Great_hall_short	twr2_rome_barbarian_Chieftains_hold_flavour	true
3c_barb_commons_chieftan_5	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	pir_getae_highkingshold_v	false	pirates_dacian_high_kings_hold	twr2_rome_barbarian_Chieftains_hold_flavour	true
3c_barb_commons_chieftan_5	rom_Barbarian		3c_gothi		campaign_sho_castle_1_fort		rom_PLACEHOLDER	pir_getae_highkingshold_v	false	3c_barb_commons_HoldoftheReiks	3c_barb_commons_gothi_unique	true
3c_barb_commons_lore_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_loremasters_hut_2	false	twr2_rome_barbarian_Loremasters_hut_short	twr2_rome_barbarian_Loremasters_hut_flavour	true
3c_barb_commons_lore_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_loremasters_hut_3	false	twr2_rome_barbarian_Bards_grove_short	twr2_rome_barbarian_Loremasters_hut_flavour	true
3c_barb_commons_lore_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_loremasters_hut_4	false	twr2_rome_barbarian_Bardic_circle_short	twr2_rome_barbarian_Loremasters_hut_flavour	true
3c_barb_commons_market_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_commons_trade_3	false	twr2_rome_barbarian_Farmers_market_short	twr2_rome_barbarian_Farmers_market_flavour	true
3c_barb_commons_market_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_commons_trade_4	false	twr2_rome_barbarian_Public_market_short	twr2_rome_barbarian_Farmers_market_flavour	true
3c_barb_commons_market_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_commons_trade_5	false	twr2_rome_barbarian_Great_fair_short	twr2_rome_barbarian_Farmers_market_flavour	true
3c_barb_commons_nomad_1	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_commons	false	twr2_rome_barbarian_Commons_short	twr2_rome_barbarian_Commons_flavour	true
3c_barb_commons_nomad_chieftan_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_commons__administration_3	false	twr2_rome_barbarian_Chieftains_hold_short	twr2_rome_barbarian_Chieftains_hold_flavour	true
3c_barb_commons_nomad_chieftan_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_commons__administration_4	false	twr2_rome_barbarian_Warlords_hold_short	twr2_rome_barbarian_Chieftains_hold_flavour	true
3c_barb_commons_nomad_chieftan_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_commons__administration_5	false	twr2_rome_barbarian_Great_hall_short	twr2_rome_barbarian_Chieftains_hold_flavour	true
3c_barb_commons_nomad_lore_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_loremasters_hut_2	false	twr2_rome_dlc_nomadic_Enaree_Tent_short	twr2_rome_dlc_nomadic_Enaree_Tent_flavour	true
3c_barb_commons_nomad_lore_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_loremasters_hut_3	false	twr2_rome_dlc_nomadic_Enaree_Conclave_short	twr2_rome_dlc_nomadic_Enaree_Tent_flavour	true
3c_barb_commons_nomad_lore_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_loremasters_hut_4	false	twr2_rome_dlc_nomadic_Royal_Enarees_short	twr2_rome_dlc_nomadic_Enaree_Tent_flavour	true
3c_barb_commons_nomad_market_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_commons_trade_3	false	twr2_rome_barbarian_Farmers_market_short	twr2_rome_barbarian_Farmers_market_flavour	true
3c_barb_commons_nomad_market_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_commons_trade_4	false	twr2_rome_barbarian_Public_market_short	twr2_rome_barbarian_Farmers_market_flavour	true
3c_barb_commons_nomad_market_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_commons_trade_5	false	twr2_rome_barbarian_Great_fair_short	twr2_rome_barbarian_Farmers_market_flavour	true
3c_barb_commons_nomad_slave_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_ROMAN_forum_slave_3	false	twr2_rome_barbarian_Slave_trader_short	twr2_rome_barbarian_Slave_trader_flavour	true
3c_barb_commons_nomad_slave_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_ROMAN_forum_slave_4	false	twr2_rome_barbarian_Slave_market_short	twr2_rome_barbarian_Slave_trader_flavour	true
3c_barb_commons_nomad_storage_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_commons_major_storage_3	false	twr2_rome_barbarian_Storage_pit_short	twr2_rome_barbarian_Storage_pit_flavour	true
3c_barb_commons_nomad_storage_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_commons_major_storage_4	false	twr2_rome_barbarian_Souterrain_short	twr2_rome_barbarian_Storage_pit_flavour	true
3c_barb_commons_nomad_storage_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_commons_major_storage_5	false	twr2_rome_barbarian_Smoke_house_short	twr2_rome_barbarian_Storage_pit_flavour	true
3c_barb_commons_slave_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_ROMAN_forum_slave_3	false	twr2_rome_barbarian_Slave_trader_short	twr2_rome_barbarian_Slave_trader_flavour	true
3c_barb_commons_slave_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_ROMAN_forum_slave_4	false	twr2_rome_barbarian_Slave_market_short	twr2_rome_barbarian_Slave_trader_flavour	true
3c_barb_commons_storage_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_commons_major_storage_3	false	twr2_rome_barbarian_Storage_pit_short	twr2_rome_barbarian_Storage_pit_flavour	true
3c_barb_commons_storage_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_commons_major_storage_4	false	twr2_rome_barbarian_Souterrain_short	twr2_rome_barbarian_Storage_pit_flavour	true
3c_barb_commons_storage_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_commons_major_storage_5	false	twr2_rome_barbarian_Smoke_house_short	twr2_rome_barbarian_Storage_pit_flavour	true
3c_barb_craftsmen_1	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_bar_craft_1	false	barb_craftsmen	barb_craftsmen	true
3c_barb_craftsmen_pot_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_clay_pit_2	false	twr2_rome_barbarian_Clay_pit_short	twr2_rome_barbarian_Clay_pit_flavour	true
3c_barb_craftsmen_pot_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_clay_pit_3	false	twr2_rome_barbarian_Potter_short	twr2_rome_barbarian_Clay_pit_flavour	true
3c_barb_craftsmen_pot_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_clay_pit_4	false	twr2_rome_barbarian_Potters_workshop_short	twr2_rome_barbarian_Clay_pit_flavour	true
3c_barb_craftsmen_salt_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_artisans_major_salt_3	false	twr2_rome_barbarian_Brine_distiller_short	twr2_rome_barbarian_Brine_distiller_flavour	true
3c_barb_craftsmen_salt_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_artisans_major_salt_4	false	twr2_rome_barbarian_Salt_kiln_short	twr2_rome_barbarian_Brine_distiller_flavour	true
3c_barb_craftsmen_salt_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_artisans_major_salt_5	false	twr2_rome_barbarian_Salt_workshop_short	twr2_rome_barbarian_Brine_distiller_flavour	true
3c_barb_craftsmen_wood_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_artisans_major_wood_3	false	twr2_rome_barbarian_Woodworker_short	twr2_rome_barbarian_Woodworker_flavour	true
3c_barb_craftsmen_wood_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_artisans_major_wood_4	false	twr2_rome_barbarian_Carpenter_short	twr2_rome_barbarian_Woodworker_flavour	true
3c_barb_craftsmen_wood_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_artisans_major_wood_5	false	twr2_rome_barbarian_Builders_hall_short	twr2_rome_barbarian_Woodworker_flavour	true
3c_barb_glass_1	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_commerce_glass_1	false	glassware	glass_chain	true
3c_barb_glass_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_commerce_glass_2	false	glass_blower	glass_chain	true
3c_barb_glass_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_commerce_glass_3	false	glass_maker	glass_chain	true
3c_barb_glass_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_commerce_glass_4	false	glass_maker_master	glass_chain	true
3c_barb_gold_1	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_gold_1	false	gold_mine	gold_chain	true
3c_barb_gold_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_gold_2	false	gold_trench_mine	gold_chain	true
3c_barb_gold_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_gold_3	false	gold_shaft_mine	gold_chain	true
3c_barb_gold_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_gold_4	false	gold_sluiced_mine	gold_chain	true
3c_barb_grain_1	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_grain_1	false	grain_field	grain_chain	true
3c_barb_grain_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_grain_2	false	grain_farm	grain_chain	true
3c_barb_grain_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_grain_3	false	grain_irrigated_farm	grain_chain	true
3c_barb_grain_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_grain_4	false	grain_estate	grain_chain	true
3c_barb_horse_1	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_all_horse_1	false	horse_trainer	horse_chain	true
3c_barb_horse_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_all_horse_2	false	horse_breeder	horse_chain	true
3c_barb_horse_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_all_horse_3	false	horse_breeder_master	horse_chain	true
3c_barb_iron_1	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_ROMAN_military_equipment_weapon_2	false	iron_workshop	iron_chain	true
3c_barb_iron_armour_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_HELLENIC_military_equipment_armour_3	false	iron_shieldmaker	iron_chain	true
3c_barb_iron_armour_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_HELLENIC_military_equipment_armour_4	false	iron_weaponsmith	iron_chain	true
3c_barb_iron_weapon_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_EASTERN_buff_sword_3	false	twr2_rome_barbarian_Blacksmith_short	iron_chain	true
3c_barb_iron_weapon_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_EASTERN_buff_sword_4	false	iron_weaponsmith	iron_chain	true
3c_barb_lead_1	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_lead_1	false	lead_mine	lead_chain	true
3c_barb_lead_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_lead_2	false	lead_trench_mine	lead_chain	true
3c_barb_lead_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_lead_3	false	lead_shaft_mine	lead_chain	true
3c_barb_lead_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_lead_4	false	lead_sluiced_mine	lead_chain	true
3c_barb_leather_1	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_leather_1	false	leather_tannery	leather_chain	true
3c_barb_leather_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_leather_2	false	leather_open_air_tannery	leather_chain	true
3c_barb_leather_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_leather_3	false	leather_workshop	leather_chain	true
3c_barb_leather_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_leather_4	false	leather_workshop_master	leather_chain	true
3c_barb_lumber_1	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_lumber_1	false	lumber_loggers	lumber_chain	true
3c_barb_lumber_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_lumber_2	false	lumber_logging_camp	lumber_chain	true
3c_barb_lumber_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_lumber_3	false	lumber_timber_trader	lumber_chain	true
3c_barb_lumber_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_lumber_4	false	lumber_timber_trader	lumber_chain	true
3c_barb_marble_1	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_marble_1	false	marble_pit	marble_chain	true
3c_barb_marble_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_marble_2	false	marble_quarry	marble_chain	true
3c_barb_marble_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_marble_3	false	marble_cutter	marble_chain	true
3c_barb_marble_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_resource_marble_4	false	marble_architecht	marble_chain	true
3c_barb_military_buff_1	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_bar_warrior_lodge	false	barb_warrior_lodge	barb_warrior_lodge	true
3c_barb_military_buff_gold_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_artisans_major_gold_2	false	barb_jeweller	barb_jeweller	true
3c_barb_military_buff_gold_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_artisans_major_gold_3	false	barb_enameller	barb_jeweller	true
3c_barb_military_buff_gold_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_artisans_major_gold_4	false	twr2_rome_barbarian_Goldsmith_short	twr2_rome_barbarian_Goldsmith_flavour	true
3c_barb_military_buff_grounds_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_bar_ground_2	false	barb_meeting_ground	barb_meeting_ground	true
3c_barb_military_buff_grounds_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_bar_ground_3	false	barb_proving_ground	barb_meeting_ground	true
3c_barb_military_buff_grounds_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_bar_ground_4	false	barb_hall_of_champions	barb_meeting_ground	true
3c_barb_military_buff_tavern_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	emp_bar_hall_2	false	twr2_rome_barbarian_Meeting_hall_short	twr2_rome_barbarian_Meeting_hall_flavour	true
