id	trigger	trait	value	chance
2714	r2_sp_trait_barbarian_sober	r2_sp_trait_barbarian_sober	1	1
2724	r2_sp_trait_barbarian_sweary	r2_sp_trait_barbarian_sweary	1	3
2733	r2_sp_trait_barbarian_warlord	r2_sp_trait_barbarian_warlord	1	5
2741	r2_sp_trait_ch_carthage	r2_sp_trait_ch_carthage	1	-1
2748	r2_sp_trait_ch_celtic	r2_sp_trait_ch_celtic	1	-1
2758	r2_sp_trait_ch_east_A	r2_sp_trait_ch_east_A	1	-1
2760	r2_sp_trait_ch_east_B	r2_sp_trait_ch_east_B	1	-1
2769	r2_sp_trait_ch_german	r2_sp_trait_ch_german	1	-1
2775	r2_sp_trait_ch_hellenic_athens	r2_sp_trait_ch_hellenic_athens	1	-1
2780	r2_sp_trait_ch_hellenic	r2_sp_trait_ch_hellenic	1	-1
2786	r2_sp_trait_ch_hellenic_sparta	r2_sp_trait_ch_hellenic_sparta	1	-1
2795	r2_sp_trait_ch_ptolemaic	r2_sp_trait_ch_ptolemaic	1	-1
2800	r2_sp_trait_ch_roman_variant_1	r2_sp_trait_ch_roman_variant_1	1	-1
2808	r2_sp_trait_ch_roman	r2_sp_trait_ch_roman	1	-1
2811	r2_sp_trait_civilised_blood_feud	r2_sp_trait_civilised_blood_feud	1	-1
2813	r2_sp_trait_civilised_disciplinarian_bad	r2_sp_trait_civilised_disciplinarian_bad	1	5
2817	r2_sp_trait_civilised_high_casualties	r2_sp_trait_civilised_high_casualties	1	5
2819	r2_sp_trait_all_personal_cowardice	r2_sp_trait_all_personal_cowardice	1	-1
2825	r2_sp_trait_civilised_politician	r2_sp_trait_civilised_politician	1	-1
2831	r2_sp_trait_civilised_sweary	r2_sp_trait_civilised_sweary	1	2
2833	r2_sp_trait_civilized_adulterer	r2_sp_trait_civilized_adulterer	1	2
2843	r2_sp_trait_civilized_arse	r2_sp_trait_civilized_arse	1	0
2849	r2_sp_trait_civilized_atheist	r2_sp_trait_civilized_atheist	1	1
2857	r2_sp_trait_civilized_drink	r2_sp_trait_civilized_drink	1	2
2862	r2_sp_trait_civilized_girls	r2_sp_trait_civilized_girls	1	-1
2866	r2_sp_trait_civilized_murderer	r2_sp_trait_civilized_murderer	1	-1
2867	r2_sp_trait_civilized_persecutor	r2_sp_trait_civilized_persecutor	1	3
2876	r2_sp_trait_civilized_religious	r2_sp_trait_civilized_religious	1	2
2883	r2_sp_trait_civilized_sober	r2_sp_trait_civilized_sober	1	1
2889	r2_sp_trait_civilized_xenophile	r2_sp_trait_civilized_xenophile	1	2
2891	r2_sp_trait_civilized_xenophobe	r2_sp_trait_civilized_xenophobe	1	1
2893	r2_sp_trait_eastern_leader_great_king	r2_sp_trait_eastern_leader_great_king	1	5
2954	r2_sp_trait_female_all_background_beautiful	r2_sp_trait_female_all_background_beautiful	1	4
2959	r2_sp_trait_female_all_background_bright	r2_sp_trait_female_all_background_bright	1	4
2966	r2_sp_trait_female_all_background_command	r2_sp_trait_female_all_background_command	1	4
2973	r2_sp_trait_female_all_background_slave	r2_sp_trait_female_all_background_slave	1	4
2983	r2_sp_trait_female_all_background_spy	r2_sp_trait_female_all_background_spy	1	4
2985	r2_sp_trait_female_all_feck	r2_sp_trait_female_all_feck	1	2
2995	r2_sp_trait_female_all_healthy	r2_sp_trait_female_all_healthy	1	5
3005	r2_sp_trait_female_all_personal_survival	r2_sp_trait_female_all_personal_survival	1	5
3019	r2_sp_trait_female_all_unhealthy	r2_sp_trait_female_all_unhealthy	1	5
3036	r2_sp_trait_female_barbarian_blokes	r2_sp_trait_female_barbarian_blokes	1	-1
3041	r2_sp_trait_female_barbarian_drink	r2_sp_trait_female_barbarian_drink	1	2
3051	r2_sp_trait_female_barbarian_sober	r2_sp_trait_female_barbarian_sober	1	1
3064	r2_sp_trait_female_civilized_adulterer	r2_sp_trait_female_civilized_adulterer	1	1
3070	r2_sp_trait_female_civilized_blokes	r2_sp_trait_female_civilized_blokes	1	-1
3073	r2_sp_trait_female_civilized_drink	r2_sp_trait_female_civilized_drink	1	2
3082	r2_sp_trait_female_civilized_murderer	r2_sp_trait_female_civilized_murderer	1	-1
3090	r2_sp_trait_female_civilized_persecutor	r2_sp_trait_female_civilized_persecutor	1	3
3096	r2_sp_trait_female_civilized_sober	r2_sp_trait_female_civilized_sober	1	1
3100	r2_sp_trait_female_greco_roman_humors_phlegm	r2_sp_trait_female_greco_roman_humors_phlegm	1	4
3106	r2_sp_trait_female_greco_roman_humors_yellow_bile	r2_sp_trait_female_greco_roman_humors_yellow_bile	1	4
3111	r2_sp_trait_female_roman_background_fighter	r2_sp_trait_female_roman_background_fighter	1	4
3120	r2_sp_trait_female_roman_dishonest	r2_sp_trait_female_roman_dishonest	1	5
3130	r2_sp_trait_female_roman_drink	r2_sp_trait_female_roman_drink	1	2
3137	r2_sp_trait_female_roman_games_obsessive	r2_sp_trait_female_roman_games_obsessive	1	5
3141	r2_sp_trait_female_roman_good_roman	r2_sp_trait_female_roman_good_roman	1	1
3143	r2_sp_trait_female_roman_races_obsessive	r2_sp_trait_female_roman_races_obsessive	1	5
3146	r2_sp_trait_female_roman_unroman	r2_sp_trait_female_roman_unroman	1	0
3156	r2_sp_trait_female_roman_virtues_personal_dignity	r2_sp_trait_female_roman_virtues_personal_dignity	0	-1
3164	r2_sp_trait_female_roman_virtues_personal_dutifulness	r2_sp_trait_female_roman_virtues_personal_dutifulness	0	-1
3168	r2_sp_trait_female_roman_virtues_public_forethought	r2_sp_trait_female_roman_virtues_public_forethought	0	-1
3175	r2_sp_trait_female_roman_virtues_public_freedom	r2_sp_trait_female_roman_virtues_public_freedom	0	-1
3180	r2_sp_trait_female_roman_virtues_personal_frugality	r2_sp_trait_female_roman_virtues_personal_frugality	0	-1
3183	r2_sp_trait_female_roman_virtues_public_giving	r2_sp_trait_female_roman_virtues_public_giving	0	-1
3186	r2_sp_trait_female_roman_virtues_personal_gravity	r2_sp_trait_female_roman_virtues_personal_gravity	0	-1
3187	r2_sp_trait_female_roman_virtues_personal_humanity	r2_sp_trait_female_roman_virtues_personal_humanity	0	-1
3193	r2_sp_trait_female_roman_virtues_personal_industriousness	r2_sp_trait_female_roman_virtues_personal_industriousness	0	-1
3196	r2_sp_trait_female_roman_virtues_public_modesty	r2_sp_trait_female_roman_virtues_public_modesty	0	-1
3206	r2_sp_trait_female_roman_virtues_personal_humour	r2_sp_trait_female_roman_virtues_personal_humour	0	-1
3208	r2_sp_trait_female_roman_virtues_personal_mercy	r2_sp_trait_female_roman_virtues_personal_mercy	0	-1
3210	r2_sp_trait_female_roman_virtues_personal_prudence	r2_sp_trait_female_roman_virtues_personal_prudence	0	-1
3212	r2_sp_trait_female_roman_virtues_public_dutifulness	r2_sp_trait_female_roman_virtues_public_dutifulness	0	-1
3218	r2_sp_trait_female_roman_virtues_personal_tenacity	r2_sp_trait_female_roman_virtues_personal_tenacity	0	-1
3221	r2_sp_trait_female_roman_virtues_personal_truthfulness	r2_sp_trait_female_roman_virtues_personal_truthfulness	0	-1
3224	r2_sp_trait_female_roman_virtues_personal_wholesomeness	r2_sp_trait_female_roman_virtues_personal_wholesomeness	0	-1
3230	r2_sp_trait_greco_roman_humors_black_bile	r2_sp_trait_greco_roman_humors_black_bile	1	4
3234	r2_sp_trait_greco_roman_humors_blood	r2_sp_trait_greco_roman_humors_blood	1	4
3238	r2_sp_trait_greco_roman_humors_phlegm	r2_sp_trait_greco_roman_humors_phlegm	1	4
3247	r2_sp_trait_greco_roman_humors_yellow_bile	r2_sp_trait_greco_roman_humors_yellow_bile	1	4
3250	r2_sp_trait_all_background_adept	r2_sp_trait_all_background_adept	1	4
3251	r2_sp_trait_non_roman_background_fighter	r2_sp_trait_non_roman_background_fighter	1	4
3255	r2_sp_trait_non_roman_background_mascot	r2_sp_trait_non_roman_background_mascot	1	4
3259	r2_sp_trait_non_roman_background_poor	r2_sp_trait_non_roman_background_poor	1	4
3260	r2_sp_trait_non_roman_background_wealthy	r2_sp_trait_non_roman_background_wealthy	1	4
3265	r2_sp_trait_non_roman_dishonest	r2_sp_trait_non_roman_dishonest	1	5
3270	r2_sp_trait_non_roman_eagle_won	r2_sp_trait_non_roman_eagle_won	1	-1
3275	r2_sp_trait_roman_background_fighter	r2_sp_trait_roman_background_fighter	1	4
3285	r2_sp_trait_roman_background_mascot	r2_sp_trait_roman_background_mascot	1	4
3287	r2_sp_trait_roman_background_poor	r2_sp_trait_roman_background_poor	1	4
3294	r2_sp_trait_roman_background_wealthy	r2_sp_trait_roman_background_wealthy	1	4
3298	r2_sp_trait_roman_blood_feud	r2_sp_trait_roman_blood_feud	1	-1
3307	r2_sp_trait_roman_dishonest	r2_sp_trait_roman_dishonest	1	5
3308	r2_sp_trait_roman_drink	r2_sp_trait_roman_drink	1	1
3316	r2_sp_trait_roman_eagle_found	r2_sp_trait_roman_eagle_found	1	-1
3317	r2_sp_trait_roman_eagle_lost	r2_sp_trait_roman_eagle_lost	1	-1
3321	r2_sp_trait_roman_games_obsessive	r2_sp_trait_roman_games_obsessive	1	5
3328	r2_sp_trait_roman_gladiator_obsessive_mermillo	r2_sp_trait_roman_gladiator_obsessive_mermillo	1	5
3335	r2_sp_trait_roman_gladiator_obsessive_samnite	r2_sp_trait_roman_gladiator_obsessive_samnite	1	5
3336	r2_sp_trait_roman_good_roman	r2_sp_trait_roman_good_roman	1	1
3339	r2_sp_trait_roman_proscriptor	r2_sp_trait_roman_proscriptor	1	4
3349	r2_sp_trait_roman_races_obsessive	r2_sp_trait_roman_races_obsessive	1	5
3359	r2_sp_trait_roman_unroman	r2_sp_trait_roman_unroman	1	0
3371	r2_sp_trait_roman_virtues_personal_dignity	r2_sp_trait_roman_virtues_personal_dignity	0	-1
3373	r2_sp_trait_roman_virtues_personal_dutifulness	r2_sp_trait_roman_virtues_personal_dutifulness	0	-1
3381	r2_sp_trait_roman_virtues_personal_fortitude	r2_sp_trait_roman_virtues_personal_fortitude	0	-1
3388	r2_sp_trait_roman_virtues_personal_frugality	r2_sp_trait_roman_virtues_personal_frugality	0	-1
3394	r2_sp_trait_roman_virtues_personal_gravity	r2_sp_trait_roman_virtues_personal_gravity	0	-1
3395	r2_sp_trait_roman_virtues_personal_humanity	r2_sp_trait_roman_virtues_personal_humanity	0	-1
3398	r2_sp_trait_roman_virtues_personal_humour	r2_sp_trait_roman_virtues_personal_humour	0	-1
3405	r2_sp_trait_roman_virtues_personal_industriousness	r2_sp_trait_roman_virtues_personal_industriousness	0	-1
3413	r2_sp_trait_roman_virtues_personal_mercy	r2_sp_trait_roman_virtues_personal_mercy	0	-1
3421	r2_sp_trait_roman_virtues_personal_morale_courage	r2_sp_trait_roman_virtues_personal_morale_courage	0	-1
3424	r2_sp_trait_roman_virtues_personal_prudence	r2_sp_trait_roman_virtues_personal_prudence	0	-1
3433	r2_sp_trait_roman_virtues_personal_respectability	r2_sp_trait_roman_virtues_personal_respectability	0	-1
3436	r2_sp_trait_roman_virtues_personal_spiritual_authority	r2_sp_trait_roman_virtues_personal_spiritual_authority	0	-1
3443	r2_sp_trait_roman_virtues_personal_sternness	r2_sp_trait_roman_virtues_personal_sternness	0	-1
3444	r2_sp_trait_roman_virtues_personal_tenacity	r2_sp_trait_roman_virtues_personal_tenacity	0	-1
3445	r2_sp_trait_roman_virtues_personal_truthfulness	r2_sp_trait_roman_virtues_personal_truthfulness	0	-1
3452	r2_sp_trait_roman_virtues_personal_wholesomeness	r2_sp_trait_roman_virtues_personal_wholesomeness	0	-1
3454	r2_sp_trait_roman_virtues_public_clemency	r2_sp_trait_roman_virtues_public_clemency	0	-1
3457	r2_sp_trait_roman_virtues_public_confidence	r2_sp_trait_roman_virtues_public_confidence	0	-1
3462	r2_sp_trait_roman_virtues_public_dutifulness	r2_sp_trait_roman_virtues_public_dutifulness	0	-1
3464	r2_sp_trait_roman_virtues_public_endurance	r2_sp_trait_roman_virtues_public_endurance	0	-1
3474	r2_sp_trait_roman_virtues_public_fair	r2_sp_trait_roman_virtues_public_fair	0	-1
3484	r2_sp_trait_roman_virtues_public_faith	r2_sp_trait_roman_virtues_public_faith	0	-1
3493	r2_sp_trait_roman_virtues_public_fertile_agriculture	r2_sp_trait_roman_virtues_public_fertile_agriculture	0	-1
3502	r2_sp_trait_roman_virtues_public_forethought	r2_sp_trait_roman_virtues_public_forethought	0	-1
3503	r2_sp_trait_roman_virtues_public_fortune	r2_sp_trait_roman_virtues_public_fortune	0	-1
3515	r2_sp_trait_roman_virtues_public_giving	r2_sp_trait_roman_virtues_public_giving	0	-1
3520	r2_sp_trait_roman_virtues_public_harmony	r2_sp_trait_roman_virtues_public_harmony	0	-1
3525	r2_sp_trait_roman_virtues_public_hope	r2_sp_trait_roman_virtues_public_hope	0	-1
3528	r2_sp_trait_roman_virtues_public_joy	r2_sp_trait_roman_virtues_public_joy	0	-1
3531	r2_sp_trait_roman_virtues_public_justice	r2_sp_trait_roman_virtues_public_justice	0	-1
3539	r2_sp_trait_roman_virtues_public_lucky	r2_sp_trait_roman_virtues_public_lucky	0	-1
3543	r2_sp_trait_roman_virtues_public_mirth	r2_sp_trait_roman_virtues_public_mirth	0	-1
3550	r2_sp_trait_roman_virtues_public_modesty	r2_sp_trait_roman_virtues_public_modesty	0	-1
3553	r2_sp_trait_roman_virtues_public_nobility	r2_sp_trait_roman_virtues_public_nobility	0	-1
3554	r2_sp_trait_roman_virtues_public_peace	r2_sp_trait_roman_virtues_public_peace	0	-1
3560	r2_sp_trait_roman_virtues_public_plenty	r2_sp_trait_roman_virtues_public_plenty	0	-1
3566	r2_sp_trait_roman_virtues_public_prosperity	r2_sp_trait_roman_virtues_public_prosperity	0	-1
3569	r2_sp_trait_roman_virtues_public_public_health	r2_sp_trait_roman_virtues_public_public_health	0	-1
3579	r2_sp_trait_roman_virtues_public_roman_spirit	r2_sp_trait_roman_virtues_public_roman_spirit	0	-1
3587	r2_sp_trait_roman_virtues_public_wealth	r2_sp_trait_roman_virtues_public_wealth	0	-1
3590	r2_sp_trait_rome_mad	r2_sp_trait_rome_mad	1	0
3640	r2_cig_trait_arverni_vercingetorix_trigger	r2_cig_trait_arverni_vercingetorix	1	100
3641	r2_cig_trait_caesar_trigger	r2_cig_trait_caesar	1	100
3642	r2_cig_trait_nervii_boduognatus_trigger	r2_cig_trait_nervii_boduognatus	1	100
3651	r2_cig_trait_suebi_ariovistus_trigger	r2_cig_trait_suebi_ariovistus	1	100
3661	emp_lepidus_trigger	emp_lepidus	1	100
3666	emp_antony_trigger	emp_antony	1	100
3675	emp_octavian_trigger	emp_octavian	1	100
3685	emp_pompey_trigger	emp_pompey	1	100
3725	pel_ch_sparta	pel_ch_sparta	1	-1
3730	pel_ch_korinthos	pel_ch_korinthos	1	-1
3739	pel_ch_boiotia	pel_ch_boiotia	1	-1
3742	pel_ch_athenai	pel_ch_athenai	1	-1
3748	games_isthmian_victor	games_isthmian_victor	1	-1
3756	games_nemean_victor	games_nemean_victor	1	-1
3764	games_olympic_victor	games_olympic_victor	1	-1
3765	games_pythian_victor	games_pythian_victor	1	-1
3773	pel_perikles	pel_perikles	1	-1
3775	pel_kleon	pel_kleon	1	-1
3777	pel_nikias	pel_nikias	1	-1
3781	pel_thukydides	pel_thukydides	1	-1
3791	pel_alkibiades	pel_alkibiades	1	-1
3799	pel_lysander	pel_lysander	1	-1
3800	pel_sokrates	pel_sokrates	1	-1
3806	r2_sp_trait_roman_victor	pel_disgrace	1	-1
3810	r2_sp_trait_roman_victor	pel_hero_army	1	-1
3818	r2_sp_trait_roman_victor	pel_hero_city	1	-1
3819	inv_sp_trait_non_roman_virtues_public_dutifulness	inv_sp_trait_non_roman_virtues_public_dutifulness	1	-1
3827	inv_sp_trait_female_non_roman_virtues_public_dutifulness	inv_sp_trait_female_non_roman_virtues_public_dutifulness	1	-1
3833	inv_sp_trait_non_roman_virtues_personal_gravity	inv_sp_trait_non_roman_virtues_personal_gravity	1	-1
3835	inv_sp_trait_female_non_roman_virtues_personal_gravity	inv_sp_trait_female_non_roman_virtues_personal_gravity	1	-1
3840	inv_sp_trait_non_roman_virtues_personal_wholesomeness	inv_sp_trait_non_roman_virtues_personal_wholesomeness	1	-1
3846	inv_sp_trait_female_non_roman_virtues_personal_wholesomeness	inv_sp_trait_female_non_roman_virtues_personal_wholesomeness	1	-1
3848	inv_sp_trait_non_roman_virtues_public_forethought	inv_sp_trait_non_roman_virtues_public_forethought	1	-1
3854	inv_sp_trait_female_non_roman_virtues_public_forethought	inv_sp_trait_female_non_roman_virtues_public_forethought	1	-1
3858	inv_sp_trait_non_roman_virtues_personal_dignity	inv_sp_trait_non_roman_virtues_personal_dignity	1	-1
3861	inv_sp_trait_female_non_roman_virtues_personal_dignity	inv_sp_trait_female_non_roman_virtues_personal_dignity	1	-1
3866	inv_sp_trait_greco_non_roman_humors_yellow_bile	inv_sp_trait_greco_non_roman_humors_yellow_bile	1	-1
3876	inv_sp_trait_female_greco_non_roman_humors_yellow_bile	inv_sp_trait_female_greco_non_roman_humors_yellow_bile	1	-1
3883	inv_sp_trait_non_roman_virtues_public_modesty	inv_sp_trait_non_roman_virtues_public_modesty	1	-1
3886	inv_sp_trait_female_non_roman_virtues_public_modesty	inv_sp_trait_female_non_roman_virtues_public_modesty	1	-1
3893	inv_sp_trait_non_roman_virtues_personal_prudence	inv_sp_trait_non_roman_virtues_personal_prudence	1	-1
3896	inv_sp_trait_female_non_roman_virtues_personal_prudence	inv_sp_trait_female_non_roman_virtues_personal_prudence	1	-1
3900	inv_sp_trait_non_roman_virtues_personal_tenacity	inv_sp_trait_non_roman_virtues_personal_tenacity	1	-1
3904	inv_sp_trait_female_non_roman_virtues_personal_tenacity	inv_sp_trait_female_non_roman_virtues_personal_tenacity	1	-1
3912	inv_sp_trait_non_roman_virtues_personal_humour	inv_sp_trait_non_roman_virtues_personal_humour	1	-1
3914	inv_sp_trait_female_non_roman_virtues_personal_humour	inv_sp_trait_female_non_roman_virtues_personal_humour	1	-1
3919	inv_sp_trait_non_roman_virtues_personal_frugality	inv_sp_trait_non_roman_virtues_personal_frugality	1	-1
3929	inv_sp_trait_female_non_roman_virtues_personal_frugality	inv_sp_trait_female_non_roman_virtues_personal_frugality	1	-1
3939	inv_sp_trait_non_roman_virtues_personal_humanity	inv_sp_trait_non_roman_virtues_personal_humanity	1	-1
3944	inv_sp_trait_female_non_roman_virtues_personal_humanity	inv_sp_trait_female_non_roman_virtues_personal_humanity	1	-1
3953	inv_sp_trait_non_roman_virtues_public_freedom	inv_sp_trait_non_roman_virtues_public_freedom	1	-1
3961	inv_sp_trait_female_non_roman_virtues_public_freedom	inv_sp_trait_female_non_roman_virtues_public_freedom	1	-1
3969	inv_sp_trait_non_roman_virtues_personal_truthfulness	inv_sp_trait_non_roman_virtues_personal_truthfulness	1	-1
3979	inv_sp_trait_female_non_roman_virtues_personal_truthfulness	inv_sp_trait_female_non_roman_virtues_personal_truthfulness	1	-1
3985	inv_sp_trait_non_roman_humors_phlegm	inv_sp_trait_non_roman_humors_phlegm	1	-1
3995	inv_sp_trait_female_non_roman_humors_phlegm	inv_sp_trait_female_non_roman_humors_phlegm	1	-1
4002	inv_sp_trait_non_roman_virtues_personal_mercy	inv_sp_trait_non_roman_virtues_personal_mercy	1	-1
4012	inv_sp_trait_female_non_roman_virtues_personal_mercy	inv_sp_trait_female_non_roman_virtues_personal_mercy	1	-1
4022	inv_sp_trait_non_roman_virtues_public_giving	inv_sp_trait_non_roman_virtues_public_giving	1	-1
4031	inv_sp_trait_female_non_roman_virtues_public_giving	inv_sp_trait_female_non_roman_virtues_public_giving	1	-1
4032	inv_sp_trait_non_roman_background_fighter	inv_sp_trait_non_roman_background_fighter	1	-1
