faction_key	faction_group_key
3c_numidia	3c_faction_group_rome
3c_palmyra	3c_faction_group_rome
3c_palmyra_civil_war	3c_faction_group_rome
3c_palmyra_secession	3c_faction_group_rome
3c_quadi	3c_faction_group_germanic
3c_roman_pretender	3c_faction_group_rome
3c_roman_secession	3c_faction_group_rome
3c_rome	3c_faction_group_rome
3c_roxolani	3c_faction_group_nomadic
3c_rugii	3c_faction_group_germanic
3c_saba	3c_faction_group_arabian
3c_sakastan	3c_faction_group_eastern
3c_sassanid	3c_faction_group_eastern
3c_sassanid_civil_war	3c_faction_group_eastern
3c_sassanid_secession	3c_faction_group_eastern
3c_saxoni	3c_faction_group_germanic
3c_saxoni_civil_war	3c_faction_group_germanic
3c_saxoni_secession	3c_faction_group_germanic
3c_semnones	3c_faction_group_germanic
3c_vandali	3c_faction_group_germanic
3c_varini	3c_faction_group_germanic
emp_alani	emp_faction_group_nomadic
emp_antony	emp_faction_group_rome
emp_antony_civil_war	emp_faction_group_rome
emp_antony_secession	emp_faction_group_rome
emp_aorsoi	emp_faction_group_nomadic
emp_ardhan	emp_faction_group_eastern
emp_arii	emp_faction_group_germanic
emp_armenia	emp_faction_group_eastern
emp_armenia_civil_war	emp_faction_group_eastern
emp_armenia_secession	emp_faction_group_eastern
emp_axum	emp_faction_group_african
emp_bastarnae	emp_faction_group_daco_thracian
emp_belgae	emp_faction_group_gallic
emp_blemmyes	emp_faction_group_african
emp_boii	emp_faction_group_gallic
emp_breuci	emp_faction_group_daco_thracian
emp_brigantes	emp_faction_group_britannic
emp_buri	emp_faction_group_nomadic
emp_caledones	emp_faction_group_britannic
emp_cantabri	emp_faction_group_celtiberian
emp_cappadocia	emp_faction_group_eastern
emp_characene	emp_faction_group_eastern
emp_cherusci	emp_faction_group_germanic
emp_cimbri	emp_faction_group_germanic
emp_corieltauvi	emp_faction_group_britannic
emp_dacia	emp_faction_group_daco_thracian
emp_dacia_civil_war	emp_faction_group_daco_thracian
emp_dacia_secession	emp_faction_group_daco_thracian
emp_dahae	emp_faction_group_nomadic
emp_demetae	emp_faction_group_britannic
emp_drangiana	emp_faction_group_eastern
emp_dumonii	emp_faction_group_britannic
emp_ebdani	emp_faction_group_britannic
emp_egypt	emp_faction_group_successors
emp_egypt_civil_war	emp_faction_group_successors
emp_egypt_secession	emp_faction_group_successors
emp_frisii	emp_faction_group_germanic
emp_gaetuli	emp_faction_group_african
emp_galatia	emp_faction_group_gallic
emp_garamantia	emp_faction_group_african
emp_gaul	emp_faction_group_gallic
emp_gerrhea	emp_faction_group_arabian
emp_gutones	emp_faction_group_germanic
emp_helisii	emp_faction_group_germanic
emp_helveconae	emp_faction_group_germanic
emp_helvetii	emp_faction_group_gallic
emp_himyar	emp_faction_group_arabian
emp_iastae	emp_faction_group_nomadic
emp_iberia	emp_faction_group_celtiberian
emp_iceni	emp_faction_group_britannic
emp_iceni_civil_war	emp_faction_group_britannic
emp_iceni_secession	emp_faction_group_britannic
emp_judea	emp_faction_group_eastern
emp_kartli	emp_faction_group_eastern
emp_lazyges	emp_faction_group_daco_thracian
emp_lepidus	emp_faction_group_rome
emp_lepidus_civil_war	emp_faction_group_rome
emp_lepidus_secession	emp_faction_group_rome
emp_ma_in	emp_faction_group_arabian
emp_marcomanni	emp_faction_group_germanic
emp_marcomanni_civil_war	emp_faction_group_germanic
emp_marcomanni_secession	emp_faction_group_germanic
emp_mascat	emp_faction_group_arabian
emp_mauri	emp_faction_group_african
emp_media_atropatene	emp_faction_group_eastern
emp_meroe	emp_faction_group_african
emp_nabatea	emp_faction_group_african
emp_nahanarvali	emp_faction_group_nomadic
emp_nasamones	emp_faction_group_african
emp_nori	emp_faction_group_celtic
emp_numidia	emp_faction_group_african
emp_octavian	emp_faction_group_rome
emp_octavian_civil_war	emp_faction_group_rome
emp_octavian_secession	emp_faction_group_rome
emp_palmyra	emp_faction_group_eastern
emp_paradene	emp_faction_group_eastern
emp_parthia	emp_faction_group_eastern
emp_parthia_civil_war	emp_faction_group_eastern
emp_parthia_secession	emp_faction_group_eastern
emp_persia	emp_faction_group_eastern
emp_pompey	emp_faction_group_rome
emp_pompey_civil_war	emp_faction_group_rome
emp_pompey_secession	emp_faction_group_rome
emp_pontus	emp_faction_group_eastern
emp_qidri	emp_faction_group_arabian
emp_quadi	emp_faction_group_germanic
emp_raeti	emp_faction_group_celtic
emp_roxolani	emp_faction_group_nomadic
emp_rugii	emp_faction_group_germanic
emp_saba	emp_faction_group_arabian
emp_scordisci	emp_faction_group_celtic
emp_semnones	emp_faction_group_germanic
emp_siraces	emp_faction_group_nomadic
emp_thrace	emp_faction_group_daco_thracian
emp_vindelici	emp_faction_group_gallic
gaul_aedui	gaul_faction_group_gallic_friend_rome
gaul_allobroges	gaul_faction_group_gallic
gaul_arverni	gaul_faction_group_arverni
gaul_atrebates	gaul_faction_group_belgic
gaul_ausci	gaul_faction_group_gallic
gaul_belgae	gaul_faction_group_belgic
gaul_bellovaci	gaul_faction_group_belgic
gaul_bituriges	gaul_faction_group_gallic
gaul_cadurci	gaul_faction_group_gallic
gaul_cantiaci	gaul_faction_group_britannic
gaul_carnutes	gaul_faction_group_gallic_friend_rome
gaul_cenomani	gaul_faction_group_gallic
gaul_dumnonii	gaul_faction_group_britannic
gaul_eburones	gaul_faction_group_belgic
gaul_helvetii	gaul_faction_group_gallic
gaul_lemovices	gaul_faction_group_gallic
gaul_lexovii	gaul_faction_group_gallic
gaul_mandubii	gaul_faction_group_gallic
gaul_massilia	gaul_faction_group_massilia
gaul_mediomatrici	gaul_faction_group_belgic
gaul_morini	gaul_faction_group_belgic
gaul_namnetes	gaul_faction_group_gallic
gaul_nemetes	gaul_faction_group_germanic
gaul_nervii	gaul_faction_group_nervii
gaul_osismii	gaul_faction_group_gallic
gaul_parisii	gaul_faction_group_belgic
gaul_pictones	gaul_faction_group_gallic_friend_rome
gaul_raurici	gaul_faction_group_gallic
gaul_rebel_briton	gaul_faction_group_britannic
gaul_rebel_celt	gaul_faction_group_gallic
gaul_rebel_gaul	gaul_faction_group_gallic
gaul_rebel_german	gaul_faction_group_germanic
gaul_rebel_latin	gaul_faction_group_rome
gaul_redones	gaul_faction_group_gallic
gaul_remi	gaul_faction_group_belgic_friend_rome
gaul_rome	gaul_faction_group_rome
gaul_ruteni	gaul_faction_group_gallic
gaul_santones	gaul_faction_group_gallic
gaul_senones	gaul_faction_group_gallic_friend_rome
gaul_sequani	gaul_faction_group_gallic_friend_rome
gaul_sotiates	gaul_faction_group_gallic_friend_rome
gaul_suebi	gaul_faction_group_suebi
gaul_suessiones	gaul_faction_group_belgic
gaul_tarbelli	gaul_faction_group_gallic_friend_rome
gaul_treverii	gaul_faction_group_belgic_friend_rome
gaul_tulingi	gaul_faction_group_gallic
gaul_turones	gaul_faction_group_gallic_friend_rome
gaul_unelli	gaul_faction_group_gallic
gaul_vangiones	gaul_faction_group_germanic
gaul_veneti	gaul_faction_group_gallic
gaul_vivisci	gaul_faction_group_gallic
gaul_vocontii	gaul_faction_group_gallic_friend_rome
gaul_volcae	gaul_faction_group_gallic
inv_aequi	inv_faction_group_italian_tribes
inv_agrigento	inv_faction_group_greek_tribes
inv_agyrion	inv_faction_group_greek_tribes
inv_aleria	inv_faction_group_italian_civilizations
inv_aritim	inv_faction_group_italian_civilizations
inv_balari	inv_faction_group_nuragic_tribes
inv_bituriges	inv_faction_group_italian_civilizations
inv_boii	inv_faction_group_gallic_tribes
inv_bruttii	inv_faction_group_italian_tribes
inv_carni	inv_faction_group_gallic_tribes
inv_carnutes	inv_faction_group_gallic_tribes
inv_carthage	inv_faction_group_iapygian
inv_cenomani	inv_faction_group_gallic_tribes
inv_corsi	inv_faction_group_nuragic_tribes
inv_croton	inv_faction_group_greek_tribes
inv_daunians	inv_faction_group_iapygian
inv_felathri	inv_faction_group_italian_civilizations
inv_frentani	inv_faction_group_italian_tribes
inv_hernici	inv_faction_group_italian_tribes
inv_insubres	inv_faction_group_gallic_tribes
inv_insubres_civil_war	inv_faction_group_gallic_tribes
inv_insubres_secession	inv_faction_group_gallic_tribes
inv_iolei	inv_faction_group_nuragic_tribes
inv_iolei_civil_war	inv_faction_group_nuragic_tribes
inv_iolei_secession	inv_faction_group_nuragic_tribes
inv_lepontii	inv_faction_group_gallic_tribes
inv_ligures	inv_faction_group_gallic_tribes
inv_lucani	inv_faction_group_italian_tribes
inv_marrucini	inv_faction_group_italian_tribes
inv_messapians	inv_faction_group_iapygian
inv_neapolis	inv_faction_group_greek_tribes
inv_paeligni	inv_faction_group_italian_tribes
inv_peucetians	inv_faction_group_iapygian
inv_picentes	inv_faction_group_italian_tribes
inv_raeti	inv_faction_group_italian_civilizations
inv_rebel_carthage	inv_faction_group_greek_tribes
inv_rebel_etruscan	inv_faction_group_italian_civilizations
inv_rebel_gaul	inv_faction_group_gallic_tribes
inv_rebel_greek	inv_faction_group_greek_tribes
inv_rebel_iapygian	inv_faction_group_iapygian
inv_rebel_italic	inv_faction_group_italian_tribes
inv_rebel_nuragic	inv_faction_group_nuragic_tribes
inv_rhegion	inv_faction_group_greek_tribes
inv_rome	inv_faction_group_italian_civilizations
inv_rome_civil_war	inv_faction_group_italian_civilizations
inv_rome_secession	inv_faction_group_italian_civilizations
inv_sabines	inv_faction_group_italian_tribes
inv_samnites	inv_faction_group_italian_tribes
inv_samnites_civil_war	inv_faction_group_italian_tribes
inv_samnites_secession	inv_faction_group_italian_tribes
inv_senones	inv_faction_group_gallic_tribes
inv_senones_civil_war	inv_faction_group_gallic_tribes
inv_senones_secession	inv_faction_group_gallic_tribes
inv_syracuse	inv_faction_group_greek_tribes
inv_syracuse_civil_war	inv_faction_group_greek_tribes
inv_syracuse_secession	inv_faction_group_greek_tribes
inv_taranto	inv_faction_group_greek_tribes
inv_taranto_civil_war	inv_faction_group_greek_tribes
inv_taranto_secession	inv_faction_group_greek_tribes
inv_tarchuna	inv_faction_group_italian_civilizations
inv_tarchuna_civil_war	inv_faction_group_italian_civilizations
inv_tarchuna_secession	inv_faction_group_italian_civilizations
inv_umbri	inv_faction_group_italian_tribes
inv_veii	inv_faction_group_italian_civilizations
inv_veneti	inv_faction_group_italian_tribes
inv_veneti_civil_war	inv_faction_group_italian_tribes
inv_veneti_secession	inv_faction_group_italian_tribes
inv_viesul	inv_faction_group_italian_civilizations
inv_volsci	inv_faction_group_italian_tribes
pel_aitolian	pel_faction_group_greek
pel_akaian	pel_faction_group_greek
pel_argos	pel_faction_group_greek
pel_athenai	pel_faction_group_athenai
pel_athenai_civil_war	pel_faction_group_athenai
pel_athenai_secession	pel_faction_group_athenai
pel_boiotia	pel_faction_group_boiotian
pel_boiotia_civil_war	pel_faction_group_boiotian
pel_boiotia_secession	pel_faction_group_boiotian
pel_byzantion	pel_faction_group_greek
pel_elis	pel_faction_group_greek
pel_epeiros	pel_faction_group_greek
pel_gortyn	pel_faction_group_greek
pel_ionian	pel_faction_group_greek
pel_knossos	pel_faction_group_greek
pel_korinthos	pel_faction_group_korinthos
pel_korinthos_civil_war	pel_faction_group_korinthos
pel_korinthos_secession	pel_faction_group_korinthos
pel_korkyra	pel_faction_group_greek
pel_kydonia	pel_faction_group_greek
pel_makedon	pel_faction_group_greek
pel_melos	pel_faction_group_greek
pel_persia	pel_faction_group_persian
pel_rebels_aiolian	pel_faction_group_greek
pel_rebels_akaian	pel_faction_group_greek
pel_rebels_barbarian	pel_faction_group_barbarian
pel_rebels_dorian	pel_faction_group_greek
pel_rebels_ionian	pel_faction_group_greek
pel_rebels_makedonian	pel_faction_group_greek
pel_rebels_other_greeks	pel_faction_group_greek
pel_rebels_persian	pel_faction_group_persian
pel_rodos	pel_faction_group_greek
pel_sparta	pel_faction_group_sparta
pel_sparta_civil_war	pel_faction_group_sparta
pel_sparta_secession	pel_faction_group_sparta
pel_thessaly	pel_faction_group_greek
pel_thraike	pel_faction_group_barbarian
pro_gaul	rom_faction_group_celtic
pro_greek_cities	rom_faction_group_greek
pro_lucanian	rom_faction_group_rome
pro_rome	rom_faction_group_rome
pro_samnites	rom_faction_group_rome
pun_allobroges	pun_faction_group_celtic
pun_arevaci	pun_faction_group_arevaci
pun_astures	pun_faction_group_iberian
pun_boii	pun_faction_group_celtic
pun_cantrabri	pun_faction_group_iberian
pun_carpetani	pun_faction_group_iberian
pun_carthage	pun_faction_group_carthage
pun_celtici	pun_faction_group_iberian
pun_cessetani	pun_faction_group_iberian
pun_emporion	pun_faction_group_greek
pun_etruscan	pun_faction_group_italian
pun_gaetuli	pun_faction_group_african
pun_galleaci	pun_faction_group_iberian
pun_garamantia	pun_faction_group_african
pun_illercavones	pun_faction_group_iberian
pun_illergetes	pun_faction_group_iberian
pun_insubres	pun_faction_group_celtic
pun_libya	pun_faction_group_african
pun_liguria	pun_faction_group_celtic
pun_lusitani	pun_faction_group_lusitani
pun_masaesyli	pun_faction_group_african
pun_massilia	pun_faction_group_greek
pun_massyli	pun_faction_group_african
pun_mauri	pun_faction_group_african
pun_oretani	pun_faction_group_iberian
pun_rebel_african	pun_faction_group_african
pun_rebel_celt	pun_faction_group_celtic
pun_rebel_celtiberian	pun_faction_group_iberian
pun_rebel_hellenic	pun_faction_group_greek
pun_rebel_latin	pun_faction_group_italian
pun_rebel_punic	pun_faction_group_african
pun_rome	pun_faction_group_rome
pun_samnites	pun_faction_group_italian
pun_syracuse	pun_faction_group_syracuse
pun_tarbelli	pun_faction_group_celtic
pun_turdetani	pun_faction_group_iberian
pun_vaccaei	pun_faction_group_iberian
pun_vascones	pun_faction_group_iberian
pun_veneti	pun_faction_group_celtic
pun_vettones	pun_faction_group_iberian
pun_volcae	pun_faction_group_celtic
rom_aedui	rom_faction_group_gallic
rom_aestii	rom_faction_group_germanic
rom_anartes	rom_faction_group_germanic
rom_arachosia	rom_faction_group_eastern
rom_ardhan	rom_faction_group_eastern
rom_ardiaei	rom_faction_group_daco_thracian
rom_ardiaei_civil_war	rom_faction_group_daco_thracian
rom_ardiaei_secession	rom_faction_group_daco_thracian
rom_arevaci	rom_faction_group_celtiberian
rom_arevaci_civil_war	rom_faction_group_celtiberian
rom_arevaci_secession	rom_faction_group_celtiberian
rom_aria	rom_faction_group_eastern
rom_armenia	rom_faction_group_eastern
rom_armenia_civil_war	rom_faction_group_eastern
rom_armenia_secession	rom_faction_group_eastern
rom_artebartes	rom_faction_group_gallic
rom_arverni	rom_faction_group_gallic
rom_arverni_civil_war	rom_faction_group_gallic
rom_arverni_secession	rom_faction_group_gallic
rom_athens	rom_faction_group_greek
rom_athens_civil_war	rom_faction_group_greek
rom_athens_secession	rom_faction_group_greek
rom_axum	rom_faction_group_african
rom_baktria	rom_faction_group_successors
rom_baktria_civil_war	rom_faction_group_successors
rom_baktria_secession	rom_faction_group_successors
rom_bastarnae	rom_faction_group_daco_thracian
rom_biephi	rom_faction_group_daco_thracian
rom_bithynia	rom_faction_group_eastern
rom_blemmyes	rom_faction_group_african
rom_boii	rom_faction_group_gallic
rom_boii_civil_war	rom_faction_group_gallic
rom_boii_secession	rom_faction_group_gallic
rom_breuci	rom_faction_group_daco_thracian
rom_brigantes	rom_faction_group_britannic
rom_budini	rom_faction_group_germanic
rom_caledones	rom_faction_group_britannic
rom_cantabri	rom_faction_group_celtiberian
rom_cappadocia	rom_faction_group_eastern
rom_carnutes	rom_faction_group_gallic
rom_carthage	rom_faction_group_carthage
rom_carthage_civil_war	rom_faction_group_carthage
rom_carthage_secession	rom_faction_group_carthage
rom_celtici	rom_faction_group_celtiberian
rom_cessetani	rom_faction_group_celtiberian
rom_cherusci	rom_faction_group_germanic
rom_cimbri	rom_faction_group_germanic
rom_cimmeria	rom_faction_group_black_sea
rom_colchis	rom_faction_group_black_sea
rom_cyprus	rom_faction_group_greek
rom_cyrenaica	rom_faction_group_greek
rom_daorsi	rom_faction_group_daco_thracian
rom_delmatae	rom_faction_group_daco_thracian
rom_demetae	rom_faction_group_britannic
rom_drangiana	rom_faction_group_eastern
rom_dumnonii	rom_faction_group_britannic
rom_ebdani	rom_faction_group_britannic
rom_edetani	rom_faction_group_celtiberian
rom_epirus	rom_faction_group_greek
rom_epirus_civil_war	rom_faction_group_greek
rom_epirus_secession	rom_faction_group_greek
rom_eravisci	rom_faction_group_celtic
rom_etruscan	rom_faction_group_etruscan
rom_frisii	rom_faction_group_germanic
rom_gaetuli	rom_faction_group_african
rom_galatia	rom_faction_group_gallic
rom_galatia_civil_war	rom_faction_group_gallic
rom_galatia_secession	rom_faction_group_gallic
rom_galleaci	rom_faction_group_celtiberian
rom_garamantia	rom_faction_group_african
rom_gerrhaea	rom_faction_group_arabian
rom_getae	rom_faction_group_daco_thracian
rom_getae_civil_war	rom_faction_group_daco_thracian
rom_getae_secession	rom_faction_group_daco_thracian
rom_gutones	rom_faction_group_germanic
rom_helvetii	rom_faction_group_gallic
rom_himyar	rom_faction_group_arabian
rom_iceni	rom_faction_group_britannic
rom_iceni_civil_war	rom_faction_group_britannic
rom_iceni_secession	rom_faction_group_britannic
rom_insubres	rom_faction_group_celtic
rom_kartli	rom_faction_group_eastern
rom_khorasmii	rom_faction_group_eastern
rom_knossos	rom_faction_group_greek
rom_kush	rom_faction_group_desert
rom_libya	rom_faction_group_african
rom_liguria	rom_faction_group_celtic
rom_lugii	rom_faction_group_germanic
rom_lusitani	rom_faction_group_celtiberian
rom_lusitani_civil_war	rom_faction_group_celtiberian
rom_lusitani_secession	rom_faction_group_celtiberian
rom_ma_in	rom_faction_group_arabian
rom_macedon	rom_faction_group_successors
rom_macedon_civil_war	rom_faction_group_successors
rom_macedon_secession	rom_faction_group_successors
rom_marcomanni	rom_faction_group_germanic
rom_masaesyli	rom_faction_group_desert
rom_mascat	rom_faction_group_arabian
rom_massagetae	rom_faction_group_nomadic
rom_massagetae_civil_war	rom_faction_group_nomadic
rom_massagetae_secession	rom_faction_group_nomadic
rom_massilia	rom_faction_group_greek
rom_media	rom_faction_group_eastern
rom_media_atropatene	rom_faction_group_eastern
rom_meroe	rom_faction_group_desert
rom_nabatea	rom_faction_group_desert
rom_namnetes	rom_faction_group_gallic
rom_nasamones	rom_faction_group_african
rom_nervii	rom_faction_group_gallic
rom_nervii_civil_war	rom_faction_group_gallic
rom_nervii_secession	rom_faction_group_gallic
rom_nori	rom_faction_group_celtic
rom_nova_carthago	rom_faction_group_punic
rom_odryssia	rom_faction_group_daco_thracian
rom_odryssia_civil_war	rom_faction_group_daco_thracian
rom_odryssia_secession	rom_faction_group_daco_thracian
rom_parthava	rom_faction_group_eastern
rom_parthia	rom_faction_group_eastern
rom_parthia_civil_war	rom_faction_group_eastern
rom_parthia_secession	rom_faction_group_eastern
rom_pergamon	rom_faction_group_black_sea
rom_persia	rom_faction_group_eastern
rom_pictones	rom_faction_group_gallic
rom_pontus	rom_faction_group_eastern
rom_pontus_civil_war	rom_faction_group_eastern
rom_pontus_secession	rom_faction_group_eastern
rom_ptolemaics	rom_faction_group_successors
rom_ptolemaics_civil_war	rom_faction_group_successors
rom_ptolemaics_secession	rom_faction_group_successors
rom_qidri	rom_faction_group_arabian
rom_raeti	rom_faction_group_celtic
rom_rome	rom_faction_group_rome
rom_rome_civil_war	rom_faction_group_rome
rom_rome_secession	rom_faction_group_rome
rom_roxolani	rom_faction_group_nomadic
rom_roxolani_civil_war	rom_faction_group_nomadic
rom_roxolani_secession	rom_faction_group_nomadic
rom_rugii	rom_faction_group_germanic
rom_saba	rom_faction_group_desert
rom_sagartia	rom_faction_group_eastern
rom_sardes	rom_faction_group_greek
rom_scordisci	rom_faction_group_celtic
rom_scythia	rom_faction_group_nomadic
rom_scythia_civil_war	rom_faction_group_nomadic
rom_scythia_secession	rom_faction_group_nomadic
rom_seleucid	rom_faction_group_successors
rom_seleucid_civil_war	rom_faction_group_successors
rom_seleucid_secession	rom_faction_group_successors
rom_sequani	rom_faction_group_gallic
rom_sparta	rom_faction_group_greek
rom_sparta_civil_war	rom_faction_group_greek
rom_sparta_secession	rom_faction_group_greek
rom_suebi	rom_faction_group_germanic
rom_suebi_civil_war	rom_faction_group_germanic
rom_suebi_secession	rom_faction_group_germanic
rom_syracuse	rom_faction_group_greek
rom_syracuse_civil_war	rom_faction_group_greek
rom_syracuse_secession	rom_faction_group_greek
rom_trapezos	rom_faction_group_greek
rom_treverii	rom_faction_group_gallic
rom_triballi	rom_faction_group_celtic
rom_turdetani	rom_faction_group_celtiberian
rom_tylis	rom_faction_group_daco_thracian
rom_tylis_civil_war	rom_faction_group_daco_thracian
rom_tylis_secession	rom_faction_group_daco_thracian
rom_veneti	rom_faction_group_celtic
rom_vivisci	rom_faction_group_gallic
rom_volcae	rom_faction_group_gallic
