agent_record	attribute_level	attribute_record	culture_record	effect_record	effect_scope	faction_record	subculture_record	campaign_record	effect_value
dignitary	1	authority		rom_agent_action_cost_mod	this_agent				10.0000
dignitary	20	authority		rom_agent_action_cost_mod	this_agent				-34.0000
dignitary	2	authority		rom_agent_action_cost_mod	this_agent				5.0000
dignitary	4	authority		rom_agent_action_cost_mod	this_agent				-2.0000
dignitary	5	authority		rom_agent_action_cost_mod	this_agent				-4.0000
dignitary	6	authority		rom_agent_action_cost_mod	this_agent				-6.0000
dignitary	7	authority		rom_agent_action_cost_mod	this_agent				-8.0000
dignitary	8	authority		rom_agent_action_cost_mod	this_agent				-10.0000
dignitary	9	authority		rom_agent_action_cost_mod	this_agent				-12.0000
dignitary	10	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				14.0000
dignitary	11	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				16.0000
dignitary	12	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				18.0000
dignitary	13	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				20.0000
dignitary	14	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				22.0000
dignitary	15	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				24.0000
dignitary	16	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				26.0000
dignitary	17	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				28.0000
dignitary	18	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				30.0000
dignitary	19	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				32.0000
dignitary	1	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				-20.0000
dignitary	20	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				34.0000
dignitary	2	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				-10.0000
dignitary	4	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				2.0000
dignitary	5	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				4.0000
dignitary	6	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				6.0000
dignitary	7	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				8.0000
dignitary	8	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				10.0000
dignitary	9	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				12.0000
dignitary	10	zeal		rom_agent_defence_wound_chance_mod	this_agent				14.0000
dignitary	11	zeal		rom_agent_defence_wound_chance_mod	this_agent				16.0000
dignitary	12	zeal		rom_agent_defence_wound_chance_mod	this_agent				18.0000
dignitary	13	zeal		rom_agent_defence_wound_chance_mod	this_agent				20.0000
dignitary	14	zeal		rom_agent_defence_wound_chance_mod	this_agent				22.0000
dignitary	15	zeal		rom_agent_defence_wound_chance_mod	this_agent				24.0000
dignitary	16	zeal		rom_agent_defence_wound_chance_mod	this_agent				26.0000
dignitary	17	zeal		rom_agent_defence_wound_chance_mod	this_agent				28.0000
dignitary	18	zeal		rom_agent_defence_wound_chance_mod	this_agent				30.0000
dignitary	19	zeal		rom_agent_defence_wound_chance_mod	this_agent				32.0000
dignitary	1	zeal		rom_agent_defence_wound_chance_mod	this_agent				-20.0000
dignitary	20	zeal		rom_agent_defence_wound_chance_mod	this_agent				34.0000
dignitary	2	zeal		rom_agent_defence_wound_chance_mod	this_agent				-10.0000
dignitary	4	zeal		rom_agent_defence_wound_chance_mod	this_agent				2.0000
dignitary	5	zeal		rom_agent_defence_wound_chance_mod	this_agent				4.0000
dignitary	6	zeal		rom_agent_defence_wound_chance_mod	this_agent				6.0000
dignitary	7	zeal		rom_agent_defence_wound_chance_mod	this_agent				8.0000
dignitary	8	zeal		rom_agent_defence_wound_chance_mod	this_agent				10.0000
dignitary	9	zeal		rom_agent_defence_wound_chance_mod	this_agent				12.0000
general	100	authority		rom_general_ability_enable_inspire	this_general				1.0000
general	100	authority		rom_general_ability_enable_rally_and_inspire	this_general				1.0000
general	100	authority		rom_general_ability_enable_rally	this_general				1.0000
general	100	authority		rom_general_ability_enable_rally	this_general	pro_rome			1.0000
general	101	authority		rom_general_ability_enable_inspire	this_general				1.0000
general	101	authority		rom_general_ability_enable_rally_and_inspire	this_general				1.0000
general	101	authority		rom_general_ability_enable_rally	this_general				1.0000
general	101	authority		rom_general_ability_enable_rally	this_general	pro_rome			1.0000
general	102	authority		rom_general_ability_enable_inspire	this_general				1.0000
general	102	authority		rom_general_ability_enable_rally_and_inspire	this_general				1.0000
general	102	authority		rom_general_ability_enable_rally	this_general				1.0000
general	103	authority		rom_general_ability_enable_inspire	this_general				1.0000
general	103	authority		rom_general_ability_enable_raise_banner	this_general				1.0000
general	103	authority		rom_general_ability_enable_rally_and_inspire	this_general				1.0000
general	103	authority		rom_general_ability_enable_rally	this_general				1.0000
general	104	authority		rom_general_ability_enable_inspire	this_general				1.0000
general	104	authority		rom_general_ability_enable_raise_banner	this_general				1.0000
general	104	authority		rom_general_ability_enable_rally_and_inspire	this_general				1.0000
general	104	authority		rom_general_ability_enable_rally	this_general				1.0000
general	105	authority		rom_general_ability_enable_inspire	this_general				1.0000
general	105	authority		rom_general_ability_enable_raise_banner	this_general				1.0000
general	105	authority		rom_general_ability_enable_rally_and_inspire	this_general				1.0000
general	105	authority		rom_general_ability_enable_rally	this_general				1.0000
general	106	authority		rom_general_ability_enable_inspire_group	this_general				1.0000
general	106	authority		rom_general_ability_enable_inspire	this_general				1.0000
general	106	authority		rom_general_ability_enable_raise_banner	this_general				1.0000
general	106	authority		rom_general_ability_enable_rally_and_inspire	this_general				1.0000
general	106	authority		rom_general_ability_enable_rally	this_general				1.0000
general	107	authority		rom_general_ability_enable_inspire_group	this_general				1.0000
general	107	authority		rom_general_ability_enable_inspire	this_general				1.0000
general	107	authority		rom_general_ability_enable_raise_banner	this_general				1.0000
general	107	authority		rom_general_ability_enable_rally_and_inspire	this_general				1.0000
general	107	authority		rom_general_ability_enable_rally	this_general				1.0000
general	108	authority		rom_general_ability_enable_inspire_group	this_general				1.0000
general	108	authority		rom_general_ability_enable_inspire	this_general				1.0000
general	108	authority		rom_general_ability_enable_raise_banner	this_general				1.0000
general	108	authority		rom_general_ability_enable_rally_and_inspire	this_general				1.0000
general	108	authority		rom_general_ability_enable_rally	this_general				1.0000
general	109	authority		rom_general_ability_enable_inspire_group	this_general				1.0000
general	109	authority		rom_general_ability_enable_inspire	this_general				1.0000
general	109	authority		rom_general_ability_enable_inspire	this_general	pro_rome			1.0000
general	109	authority		rom_general_ability_enable_raise_banner	this_general				1.0000
general	109	authority		rom_general_ability_enable_rally_and_inspire	this_general				1.0000
general	109	authority		rom_general_ability_enable_rally	this_general				1.0000
general	109	authority		rom_general_ability_enable_rally	this_general	pro_rome			1.0000
general	10	authority		rom_agent_defence_wound_chance_mod	this_agent				14.0000
general	10	authority		rom_general_mod_personal_aura_size	this_general				35.0000
general	110	authority		rom_general_ability_enable_inspire	this_general	pro_rome			1.0000
general	110	authority		rom_general_ability_enable_rally_and_inspire	this_general				1.0000
general	110	authority		rom_general_ability_enable_rally	this_general				1.0000
general	110	authority		rom_general_ability_enable_rally	this_general	pro_rome			1.0000
general	111	authority		rom_general_ability_enable_inspire	this_general				1.0000
general	111	authority		rom_general_ability_enable_inspire	this_general	pro_rome			1.0000
general	111	authority		rom_general_ability_enable_rally	this_general	pro_rome			1.0000
general	112	authority		rom_general_ability_enable_inspire	this_general				1.0000
general	112	authority		rom_general_ability_enable_rally	this_general	pro_rome			1.0000
general	113	authority		rom_general_ability_enable_inspire	this_general				1.0000
general	113	authority		rom_general_ability_enable_rally	this_general				1.0000
general	114	authority		rom_general_ability_enable_inspire	this_general				1.0000
general	114	authority		rom_general_ability_enable_rally	this_general				1.0000
general	115	authority		rom_general_ability_enable_inspire	this_general				1.0000
general	116	authority		rom_general_ability_enable_inspire	this_general				1.0000
general	11	authority		rom_agent_defence_wound_chance_mod	this_agent				16.0000
general	11	authority		rom_general_mod_personal_aura_size	this_general				40.0000
general	12	authority		rom_agent_defence_wound_chance_mod	this_agent				18.0000
general	12	authority		rom_general_mod_personal_aura_size	this_general				45.0000
general	13	authority		rom_agent_defence_wound_chance_mod	this_agent				20.0000
general	13	authority		rom_general_mod_personal_aura_size	this_general				50.0000
general	14	authority		rom_agent_defence_wound_chance_mod	this_agent				22.0000
general	14	authority		rom_general_mod_personal_aura_size	this_general				55.0000
general	15	authority		rom_agent_defence_wound_chance_mod	this_agent				24.0000
general	15	authority		rom_general_mod_personal_aura_size	this_general				60.0000
general	16	authority		rom_agent_defence_wound_chance_mod	this_agent				26.0000
general	16	authority		rom_general_mod_personal_aura_size	this_general				65.0000
general	17	authority		rom_agent_defence_wound_chance_mod	this_agent				28.0000
general	17	authority		rom_general_mod_personal_aura_size	this_general				70.0000
general	18	authority		rom_agent_defence_wound_chance_mod	this_agent				30.0000
general	18	authority		rom_general_mod_personal_aura_size	this_general				75.0000
general	19	authority		rom_agent_defence_wound_chance_mod	this_agent				32.0000
general	19	authority		rom_general_mod_personal_aura_size	this_general				80.0000
general	1	authority		rom_general_mod_personal_aura_size	this_general				-50.0000
general	20	authority		rom_agent_defence_wound_chance_mod	this_agent				34.0000
general	20	authority		rom_general_mod_personal_aura_size	this_general				85.0000
general	2	authority		rom_general_mod_personal_aura_size	this_general				-25.0000
general	4	authority		rom_agent_defence_wound_chance_mod	this_agent				2.0000
general	4	authority		rom_general_mod_personal_aura_size	this_general				5.0000
general	5	authority		rom_agent_defence_wound_chance_mod	this_agent				4.0000
general	5	authority		rom_general_mod_personal_aura_size	this_general				10.0000
general	6	authority		rom_agent_defence_wound_chance_mod	this_agent				6.0000
general	6	authority		rom_general_mod_personal_aura_size	this_general				15.0000
general	7	authority		rom_agent_defence_wound_chance_mod	this_agent				8.0000
general	7	authority		rom_general_mod_personal_aura_size	this_general				20.0000
general	8	authority		rom_agent_defence_wound_chance_mod	this_agent				10.0000
general	8	authority		rom_general_mod_personal_aura_size	this_general				25.0000
general	99	authority		rom_general_ability_enable_inspire_group	this_general				1.0000
general	99	authority		rom_general_ability_enable_inspire	this_general				1.0000
general	99	authority		rom_general_ability_enable_raise_banner	this_general				1.0000
general	99	authority		rom_general_ability_enable_rally	this_general				1.0000
general	99	authority		rom_general_ability_enable_rally	this_general	pro_rome			1.0000
general	9	authority		rom_agent_defence_wound_chance_mod	this_agent				12.0000
general	9	authority		rom_general_mod_personal_aura_size	this_general				30.0000
general	100	subterfuge		rom_general_ability_enable_battle_rhythm	this_general				1.0000
general	100	subterfuge		rom_general_ability_enable_brace	this_general				1.0000
general	100	subterfuge		rom_general_ability_enable_push	this_general				1.0000
general	100	subterfuge		rom_general_ability_enable_second_wind	this_general				1.0000
general	101	subterfuge		rom_general_ability_enable_battle_rhythm	this_general				1.0000
general	101	subterfuge		rom_general_ability_enable_brace	this_general				1.0000
general	101	subterfuge		rom_general_ability_enable_push	this_general				1.0000
general	101	subterfuge		rom_general_ability_enable_second_wind	this_general				1.0000
general	102	subterfuge		rom_general_ability_enable_battle_rhythm	this_general				1.0000
general	102	subterfuge		rom_general_ability_enable_brace	this_general				1.0000
general	102	subterfuge		rom_general_ability_enable_push	this_general				1.0000
general	102	subterfuge		rom_general_ability_enable_second_wind	this_general				1.0000
general	103	subterfuge		rom_general_ability_enable_battle_rhythm	this_general				1.0000
general	103	subterfuge		rom_general_ability_enable_brace	this_general				1.0000
general	103	subterfuge		rom_general_ability_enable_push	this_general				1.0000
general	103	subterfuge		rom_general_ability_enable_second_wind	this_general				1.0000
general	104	subterfuge		rom_general_ability_enable_battle_rhythm	this_general				1.0000
general	104	subterfuge		rom_general_ability_enable_brace	this_general				1.0000
general	104	subterfuge		rom_general_ability_enable_push	this_general				1.0000
general	104	subterfuge		rom_general_ability_enable_second_wind_group	this_general				1.0000
general	104	subterfuge		rom_general_ability_enable_second_wind	this_general				1.0000
general	105	subterfuge		rom_general_ability_enable_battle_rhythm	this_general				1.0000
general	105	subterfuge		rom_general_ability_enable_brace	this_general				1.0000
general	105	subterfuge		rom_general_ability_enable_push	this_general				1.0000
general	105	subterfuge		rom_general_ability_enable_second_wind_group	this_general				1.0000
general	105	subterfuge		rom_general_ability_enable_second_wind	this_general				1.0000
general	106	subterfuge		rom_general_ability_enable_battle_rhythm	this_general				1.0000
general	106	subterfuge		rom_general_ability_enable_brace	this_general				1.0000
general	106	subterfuge		rom_general_ability_enable_push	this_general				1.0000
general	106	subterfuge		rom_general_ability_enable_second_wind_group	this_general				1.0000
general	106	subterfuge		rom_general_ability_enable_second_wind	this_general				1.0000
general	107	subterfuge		rom_general_ability_enable_battle_rhythm	this_general				1.0000
general	107	subterfuge		rom_general_ability_enable_brace	this_general				1.0000
general	107	subterfuge		rom_general_ability_enable_second_wind_group	this_general				1.0000
general	107	subterfuge		rom_general_ability_enable_second_wind	this_general				1.0000
general	108	subterfuge		rom_general_ability_enable_battle_rhythm	this_general				1.0000
general	108	subterfuge		rom_general_ability_enable_second_wind	this_general				1.0000
general	109	subterfuge		rom_general_ability_enable_battle_rhythm	this_general				1.0000
general	109	subterfuge		rom_general_ability_enable_second_wind	this_general				1.0000
general	10	subterfuge		rom_agent_defence_wound_chance_mod	this_agent				14.0000
general	10	subterfuge		rom_general_mod_cooldown_rate	this_general_force				-14.0000
general	110	subterfuge		rom_general_ability_enable_battle_rhythm	this_general				1.0000
general	110	subterfuge		rom_general_ability_enable_second_wind	this_general				1.0000
general	111	subterfuge		rom_general_ability_enable_battle_rhythm	this_general				1.0000
general	111	subterfuge		rom_general_ability_enable_brace	this_general				1.0000
general	111	subterfuge		rom_general_ability_enable_second_wind	this_general				1.0000
general	112	subterfuge		rom_general_ability_enable_battle_rhythm	this_general				1.0000
general	112	subterfuge		rom_general_ability_enable_brace	this_general				1.0000
general	112	subterfuge		rom_general_ability_enable_second_wind_group	this_general				1.0000
general	115	subterfuge		rom_general_ability_enable_second_wind	this_general				1.0000
general	11	subterfuge		rom_agent_defence_wound_chance_mod	this_agent				16.0000
general	11	subterfuge		rom_general_mod_cooldown_rate	this_general_force				-16.0000
general	122	subterfuge		rom_general_ability_enable_second_wind	this_general				1.0000
general	12	subterfuge		rom_agent_defence_wound_chance_mod	this_agent				18.0000
general	12	subterfuge		rom_general_mod_cooldown_rate	this_general_force				-18.0000
general	133	subterfuge		rom_general_ability_enable_second_wind	this_general				1.0000
general	13	subterfuge		rom_agent_defence_wound_chance_mod	this_agent				20.0000
general	13	subterfuge		rom_general_mod_cooldown_rate	this_general_force				-20.0000
general	144	subterfuge		rom_general_ability_enable_second_wind	this_general				1.0000
general	14	subterfuge		rom_agent_defence_wound_chance_mod	this_agent				22.0000
general	14	subterfuge		rom_general_mod_cooldown_rate	this_general_force				-22.0000
general	15	subterfuge		rom_agent_defence_wound_chance_mod	this_agent				24.0000
general	15	subterfuge		rom_general_mod_cooldown_rate	this_general_force				-24.0000
general	16	subterfuge		rom_agent_defence_wound_chance_mod	this_agent				26.0000
general	16	subterfuge		rom_general_mod_cooldown_rate	this_general_force				-26.0000
general	17	subterfuge		rom_agent_defence_wound_chance_mod	this_agent				28.0000
general	17	subterfuge		rom_general_mod_cooldown_rate	this_general_force				-28.0000
general	18	subterfuge		rom_agent_defence_wound_chance_mod	this_agent				30.0000
general	18	subterfuge		rom_general_mod_cooldown_rate	this_general_force				-30.0000
general	19	subterfuge		rom_agent_defence_wound_chance_mod	this_agent				32.0000
general	19	subterfuge		rom_general_mod_cooldown_rate	this_general_force				-32.0000
general	1	subterfuge		rom_general_mod_cooldown_rate	this_general_force				20.0000
general	20	subterfuge		rom_agent_defence_wound_chance_mod	this_agent				34.0000
general	20	subterfuge		rom_general_mod_cooldown_rate	this_general_force				-34.0000
general	2	subterfuge		rom_general_mod_cooldown_rate	this_general_force				10.0000
general	4	subterfuge		rom_agent_defence_wound_chance_mod	this_agent				2.0000
general	4	subterfuge		rom_general_mod_cooldown_rate	this_general_force				-2.0000
general	5	subterfuge		rom_agent_defence_wound_chance_mod	this_agent				4.0000
general	5	subterfuge		rom_general_mod_cooldown_rate	this_general_force				-4.0000
general	6	subterfuge		rom_agent_defence_wound_chance_mod	this_agent				6.0000
general	6	subterfuge		rom_general_mod_cooldown_rate	this_general_force				-6.0000
general	7	subterfuge		rom_agent_defence_wound_chance_mod	this_agent				8.0000
general	7	subterfuge		rom_general_mod_cooldown_rate	this_general_force				-8.0000
general	8	subterfuge		rom_agent_defence_wound_chance_mod	this_agent				10.0000
general	8	subterfuge		rom_general_mod_cooldown_rate	this_general_force				-10.0000
general	99	subterfuge		rom_general_ability_enable_battle_rhythm	this_general				1.0000
general	99	subterfuge		rom_general_ability_enable_brace	this_general				1.0000
general	99	subterfuge		rom_general_ability_enable_push	this_general				1.0000
general	99	subterfuge		rom_general_ability_enable_second_wind	this_general				1.0000
general	9	subterfuge		rom_agent_defence_wound_chance_mod	this_agent				12.0000
general	9	subterfuge		rom_general_mod_cooldown_rate	this_general_force				-12.0000
general	100	zeal		rom_general_ability_enable_fear_group	this_general				1.0000
general	100	zeal		rom_general_ability_enable_fear	this_general				1.0000
general	100	zeal		rom_general_ability_enable_into_the_breach	this_general				1.0000
general	100	zeal		rom_general_ability_enable_war_cry_group	this_general				1.0000
general	100	zeal		rom_general_ability_enable_war_cry	this_general				1.0000
general	101	zeal		rom_general_ability_enable_fear_group	this_general				1.0000
general	101	zeal		rom_general_ability_enable_fear	this_general				1.0000
general	101	zeal		rom_general_ability_enable_into_the_breach	this_general				1.0000
general	101	zeal		rom_general_ability_enable_war_cry_group	this_general				1.0000
general	101	zeal		rom_general_ability_enable_war_cry	this_general				1.0000
general	102	zeal		rom_general_ability_enable_fear_group	this_general				1.0000
general	102	zeal		rom_general_ability_enable_fear	this_general				1.0000
general	102	zeal		rom_general_ability_enable_into_the_breach	this_general				1.0000
general	102	zeal		rom_general_ability_enable_war_cry_group	this_general				1.0000
general	102	zeal		rom_general_ability_enable_war_cry	this_general				1.0000
general	103	zeal		rom_general_ability_enable_fear_group	this_general				1.0000
general	103	zeal		rom_general_ability_enable_fear	this_general				1.0000
general	103	zeal		rom_general_ability_enable_into_the_breach	this_general				1.0000
general	103	zeal		rom_general_ability_enable_war_cry_group	this_general				1.0000
general	103	zeal		rom_general_ability_enable_war_cry	this_general				1.0000
general	104	zeal		rom_general_ability_enable_fear_group	this_general				1.0000
general	104	zeal		rom_general_ability_enable_fear	this_general				1.0000
general	104	zeal		rom_general_ability_enable_into_the_breach	this_general				1.0000
general	104	zeal		rom_general_ability_enable_war_cry_group	this_general				1.0000
general	104	zeal		rom_general_ability_enable_war_cry	this_general				1.0000
general	105	zeal		rom_general_ability_enable_fear_group	this_general				1.0000
general	105	zeal		rom_general_ability_enable_fear	this_general				1.0000
general	105	zeal		rom_general_ability_enable_into_the_breach	this_general				1.0000
general	105	zeal		rom_general_ability_enable_war_cry	this_general				1.0000
general	106	zeal		rom_general_ability_enable_fear_group	this_general				1.0000
general	106	zeal		rom_general_ability_enable_fear	this_general				1.0000
general	106	zeal		rom_general_ability_enable_into_the_breach	this_general				1.0000
general	106	zeal		rom_general_ability_enable_war_cry	this_general				1.0000
general	107	zeal		rom_general_ability_enable_fear_group	this_general				1.0000
general	107	zeal		rom_general_ability_enable_fear	this_general				1.0000
general	107	zeal		rom_general_ability_enable_war_cry	this_general				1.0000
general	108	zeal		rom_general_ability_enable_fear_group	this_general				1.0000
general	108	zeal		rom_general_ability_enable_fear	this_general				1.0000
general	108	zeal		rom_general_ability_enable_war_cry	this_general				1.0000
general	109	zeal		rom_general_ability_enable_fear_group	this_general				1.0000
general	109	zeal		rom_general_ability_enable_fear	this_general				1.0000
general	109	zeal		rom_general_ability_enable_war_cry	this_general				1.0000
general	10	zeal		rom_agent_defence_wound_chance_mod	this_agent				14.0000
general	10	zeal		rom_general_personal_mod_melee_damage	this_general				35.0000
general	10	zeal		rom_general_personal_mod_missile_damage	this_general				35.0000
general	110	zeal		rom_general_ability_enable_fear_group	this_general				1.0000
general	110	zeal		rom_general_ability_enable_war_cry	this_general				1.0000
general	111	zeal		rom_general_ability_enable_fear_group	this_general				1.0000
general	111	zeal		rom_general_ability_enable_war_cry	this_general				1.0000
general	112	zeal		rom_general_ability_enable_fear_group	this_general				1.0000
general	112	zeal		rom_general_ability_enable_war_cry	this_general				1.0000
general	114	zeal		rom_general_ability_enable_war_cry	this_general				1.0000
general	116	zeal		rom_general_ability_enable_war_cry	this_general				1.0000
general	118	zeal		rom_general_ability_enable_war_cry	this_general				1.0000
general	11	zeal		rom_agent_defence_wound_chance_mod	this_agent				16.0000
general	11	zeal		rom_general_personal_mod_melee_damage	this_general				40.0000
general	11	zeal		rom_general_personal_mod_missile_damage	this_general				40.0000
general	12	zeal		rom_agent_defence_wound_chance_mod	this_agent				18.0000
general	12	zeal		rom_general_personal_mod_melee_damage	this_general				45.0000
general	12	zeal		rom_general_personal_mod_missile_damage	this_general				45.0000
general	13	zeal		rom_agent_defence_wound_chance_mod	this_agent				20.0000
general	13	zeal		rom_general_personal_mod_melee_damage	this_general				50.0000
general	13	zeal		rom_general_personal_mod_missile_damage	this_general				50.0000
general	14	zeal		rom_agent_defence_wound_chance_mod	this_agent				22.0000
general	14	zeal		rom_general_personal_mod_melee_damage	this_general				55.0000
general	14	zeal		rom_general_personal_mod_missile_damage	this_general				55.0000
general	15	zeal		rom_agent_defence_wound_chance_mod	this_agent				24.0000
general	15	zeal		rom_general_personal_mod_melee_damage	this_general				60.0000
general	15	zeal		rom_general_personal_mod_missile_damage	this_general				60.0000
general	16	zeal		rom_agent_defence_wound_chance_mod	this_agent				26.0000
general	16	zeal		rom_general_personal_mod_melee_damage	this_general				65.0000
general	16	zeal		rom_general_personal_mod_missile_damage	this_general				65.0000
general	17	zeal		rom_agent_defence_wound_chance_mod	this_agent				28.0000
general	17	zeal		rom_general_personal_mod_melee_damage	this_general				70.0000
general	17	zeal		rom_general_personal_mod_missile_damage	this_general				70.0000
general	18	zeal		rom_agent_defence_wound_chance_mod	this_agent				30.0000
general	18	zeal		rom_general_personal_mod_melee_damage	this_general				75.0000
general	18	zeal		rom_general_personal_mod_missile_damage	this_general				75.0000
general	19	zeal		rom_agent_defence_wound_chance_mod	this_agent				32.0000
general	19	zeal		rom_general_personal_mod_melee_damage	this_general				80.0000
general	19	zeal		rom_general_personal_mod_missile_damage	this_general				80.0000
general	1	zeal		rom_general_personal_mod_melee_damage	this_general				-50.0000
general	1	zeal		rom_general_personal_mod_missile_damage	this_general				-50.0000
general	20	zeal		rom_agent_defence_wound_chance_mod	this_agent				34.0000
general	20	zeal		rom_general_personal_mod_melee_damage	this_general				85.0000
general	20	zeal		rom_general_personal_mod_missile_damage	this_general				85.0000
general	2	zeal		rom_general_personal_mod_melee_damage	this_general				-25.0000
