group_key	camera_heading	camera_position_x	camera_position_y	camera_zoom	round
roman_legacy_specific_alpina	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_aquitanica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_arabica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_armeniaca	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_asiana	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_bactriana	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_belgica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_britannica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_campaniana	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_caspia	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_caucasia	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_cispadana	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_corsicana	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_cyrenaica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_dacica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_etrusca	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_gallica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_germanica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_graeca	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_hispana	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_illyrica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_indica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_italica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_latina	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_libyca	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_lucaniana	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_macedonica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_mauretanica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_moesica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_montana	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_noricorum	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_pannonica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_parthica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_persica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_pontica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_sardiniana	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_sarmatica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_scythica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_seleucena	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_siciliana	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_syriaca	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_thracica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_transpadana	0.0000	0.0000	0.0000	0.0000	0
