effect_bundle	political_party_key	power_level
political_support_min	3c_politics_saxones_ruler	0
political_support_very_high	3c_politics_saxones_ruler	80
political_support_very_low	3c_politics_saxones_ruler	15
political_support_average	emp_politics_rome_antony_ruler	45
political_support_best	emp_politics_rome_antony_ruler	60
political_support_high	emp_politics_rome_antony_ruler	70
political_support_low	emp_politics_rome_antony_ruler	30
political_support_max	emp_politics_rome_antony_ruler	90
political_support_min	emp_politics_rome_antony_ruler	0
political_support_very_high	emp_politics_rome_antony_ruler	80
political_support_very_low	emp_politics_rome_antony_ruler	15
political_support_average	emp_politics_rome_armenia_ruler	45
political_support_best	emp_politics_rome_armenia_ruler	60
political_support_high	emp_politics_rome_armenia_ruler	70
political_support_low	emp_politics_rome_armenia_ruler	30
political_support_max	emp_politics_rome_armenia_ruler	90
political_support_min	emp_politics_rome_armenia_ruler	0
political_support_very_high	emp_politics_rome_armenia_ruler	80
political_support_very_low	emp_politics_rome_armenia_ruler	15
political_support_average	emp_politics_rome_dacia_ruler	45
political_support_best	emp_politics_rome_dacia_ruler	60
political_support_high	emp_politics_rome_dacia_ruler	70
political_support_low	emp_politics_rome_dacia_ruler	30
political_support_max	emp_politics_rome_dacia_ruler	90
political_support_min	emp_politics_rome_dacia_ruler	0
political_support_very_high	emp_politics_rome_dacia_ruler	80
political_support_very_low	emp_politics_rome_dacia_ruler	15
political_support_average	emp_politics_rome_egypt_ruler	45
political_support_best	emp_politics_rome_egypt_ruler	60
political_support_high	emp_politics_rome_egypt_ruler	70
political_support_low	emp_politics_rome_egypt_ruler	30
political_support_max	emp_politics_rome_egypt_ruler	90
political_support_min	emp_politics_rome_egypt_ruler	0
political_support_very_high	emp_politics_rome_egypt_ruler	80
political_support_very_low	emp_politics_rome_egypt_ruler	15
political_support_average	emp_politics_rome_iceni_ruler	45
political_support_best	emp_politics_rome_iceni_ruler	60
political_support_high	emp_politics_rome_iceni_ruler	70
political_support_low	emp_politics_rome_iceni_ruler	30
political_support_max	emp_politics_rome_iceni_ruler	90
political_support_min	emp_politics_rome_iceni_ruler	0
political_support_very_high	emp_politics_rome_iceni_ruler	80
political_support_very_low	emp_politics_rome_iceni_ruler	15
political_support_average	emp_politics_rome_lepidus_ruler	45
political_support_best	emp_politics_rome_lepidus_ruler	60
political_support_high	emp_politics_rome_lepidus_ruler	70
political_support_low	emp_politics_rome_lepidus_ruler	30
political_support_max	emp_politics_rome_lepidus_ruler	90
political_support_min	emp_politics_rome_lepidus_ruler	0
political_support_very_high	emp_politics_rome_lepidus_ruler	80
political_support_very_low	emp_politics_rome_lepidus_ruler	15
political_support_average	emp_politics_rome_marcomanni_ruler	45
political_support_best	emp_politics_rome_marcomanni_ruler	60
political_support_high	emp_politics_rome_marcomanni_ruler	70
political_support_low	emp_politics_rome_marcomanni_ruler	30
political_support_max	emp_politics_rome_marcomanni_ruler	90
political_support_min	emp_politics_rome_marcomanni_ruler	0
political_support_very_high	emp_politics_rome_marcomanni_ruler	80
political_support_very_low	emp_politics_rome_marcomanni_ruler	15
political_support_average	emp_politics_rome_octavian_ruler	45
political_support_best	emp_politics_rome_octavian_ruler	60
political_support_high	emp_politics_rome_octavian_ruler	70
political_support_low	emp_politics_rome_octavian_ruler	30
political_support_max	emp_politics_rome_octavian_ruler	90
political_support_min	emp_politics_rome_octavian_ruler	0
political_support_very_high	emp_politics_rome_octavian_ruler	80
political_support_very_low	emp_politics_rome_octavian_ruler	15
political_support_average	emp_politics_rome_parthia_ruler	45
political_support_best	emp_politics_rome_parthia_ruler	60
political_support_high	emp_politics_rome_parthia_ruler	70
political_support_low	emp_politics_rome_parthia_ruler	30
political_support_max	emp_politics_rome_parthia_ruler	90
political_support_min	emp_politics_rome_parthia_ruler	0
political_support_very_high	emp_politics_rome_parthia_ruler	80
political_support_very_low	emp_politics_rome_parthia_ruler	15
political_support_average	emp_politics_rome_pompey_ruler	45
political_support_best	emp_politics_rome_pompey_ruler	60
political_support_high	emp_politics_rome_pompey_ruler	70
political_support_low	emp_politics_rome_pompey_ruler	30
political_support_max	emp_politics_rome_pompey_ruler	90
political_support_min	emp_politics_rome_pompey_ruler	0
political_support_very_high	emp_politics_rome_pompey_ruler	80
political_support_very_low	emp_politics_rome_pompey_ruler	15
political_support_average	gaul_politics_arverni_ruler	45
political_support_best	gaul_politics_arverni_ruler	60
political_support_high	gaul_politics_arverni_ruler	70
political_support_low	gaul_politics_arverni_ruler	30
political_support_max	gaul_politics_arverni_ruler	90
political_support_min	gaul_politics_arverni_ruler	0
political_support_very_high	gaul_politics_arverni_ruler	80
political_support_very_low	gaul_politics_arverni_ruler	15
political_support_average	gaul_politics_nervii_ruler	45
political_support_best	gaul_politics_nervii_ruler	60
political_support_high	gaul_politics_nervii_ruler	70
political_support_low	gaul_politics_nervii_ruler	30
political_support_max	gaul_politics_nervii_ruler	90
political_support_min	gaul_politics_nervii_ruler	0
political_support_very_high	gaul_politics_nervii_ruler	80
political_support_very_low	gaul_politics_nervii_ruler	15
political_support_average	gaul_politics_rome_caesar	45
political_support_best	gaul_politics_rome_caesar	60
political_support_high	gaul_politics_rome_caesar	70
political_support_low	gaul_politics_rome_caesar	30
political_support_max	gaul_politics_rome_caesar	90
political_support_min	gaul_politics_rome_caesar	0
political_support_very_high	gaul_politics_rome_caesar	80
political_support_very_low	gaul_politics_rome_caesar	15
political_support_average	gaul_politics_suebi_ruler	45
political_support_best	gaul_politics_suebi_ruler	60
political_support_high	gaul_politics_suebi_ruler	70
political_support_low	gaul_politics_suebi_ruler	30
political_support_max	gaul_politics_suebi_ruler	90
political_support_min	gaul_politics_suebi_ruler	0
political_support_very_high	gaul_politics_suebi_ruler	80
political_support_very_low	gaul_politics_suebi_ruler	15
political_support_average	inv_politics_insubres_ruler	45
political_support_best	inv_politics_insubres_ruler	60
political_support_high	inv_politics_insubres_ruler	70
political_support_low	inv_politics_insubres_ruler	30
political_support_max	inv_politics_insubres_ruler	90
political_support_min	inv_politics_insubres_ruler	0
political_support_very_high	inv_politics_insubres_ruler	80
political_support_very_low	inv_politics_insubres_ruler	15
political_support_average	inv_politics_iolei_ruler	45
political_support_best	inv_politics_iolei_ruler	60
political_support_high	inv_politics_iolei_ruler	70
political_support_low	inv_politics_iolei_ruler	30
political_support_max	inv_politics_iolei_ruler	90
political_support_min	inv_politics_iolei_ruler	0
political_support_very_high	inv_politics_iolei_ruler	80
political_support_very_low	inv_politics_iolei_ruler	15
political_support_average	inv_politics_rome_ruler	45
political_support_best	inv_politics_rome_ruler	60
political_support_high	inv_politics_rome_ruler	70
political_support_low	inv_politics_rome_ruler	30
political_support_max	inv_politics_rome_ruler	90
political_support_min	inv_politics_rome_ruler	0
political_support_very_high	inv_politics_rome_ruler	80
political_support_very_low	inv_politics_rome_ruler	15
political_support_average	inv_politics_samnites_ruler	45
political_support_best	inv_politics_samnites_ruler	60
political_support_high	inv_politics_samnites_ruler	70
political_support_low	inv_politics_samnites_ruler	30
political_support_max	inv_politics_samnites_ruler	90
political_support_min	inv_politics_samnites_ruler	0
political_support_very_high	inv_politics_samnites_ruler	80
political_support_very_low	inv_politics_samnites_ruler	15
political_support_average	inv_politics_senones_ruler	45
political_support_best	inv_politics_senones_ruler	60
political_support_high	inv_politics_senones_ruler	70
political_support_low	inv_politics_senones_ruler	30
political_support_max	inv_politics_senones_ruler	90
political_support_min	inv_politics_senones_ruler	0
political_support_very_high	inv_politics_senones_ruler	80
political_support_very_low	inv_politics_senones_ruler	15
political_support_average	inv_politics_syracuse_ruler	45
political_support_best	inv_politics_syracuse_ruler	60
political_support_high	inv_politics_syracuse_ruler	70
political_support_low	inv_politics_syracuse_ruler	30
political_support_max	inv_politics_syracuse_ruler	90
political_support_min	inv_politics_syracuse_ruler	0
political_support_very_high	inv_politics_syracuse_ruler	80
political_support_very_low	inv_politics_syracuse_ruler	15
political_support_average	inv_politics_taranto_ruler	45
political_support_best	inv_politics_taranto_ruler	60
political_support_high	inv_politics_taranto_ruler	70
political_support_low	inv_politics_taranto_ruler	30
political_support_max	inv_politics_taranto_ruler	90
political_support_min	inv_politics_taranto_ruler	0
political_support_very_high	inv_politics_taranto_ruler	80
political_support_very_low	inv_politics_taranto_ruler	15
political_support_average	inv_politics_tarchuna_ruler	45
political_support_best	inv_politics_tarchuna_ruler	60
political_support_high	inv_politics_tarchuna_ruler	70
political_support_low	inv_politics_tarchuna_ruler	30
political_support_max	inv_politics_tarchuna_ruler	90
political_support_min	inv_politics_tarchuna_ruler	0
political_support_very_high	inv_politics_tarchuna_ruler	80
political_support_very_low	inv_politics_tarchuna_ruler	15
political_support_average	inv_politics_veneti_ruler	45
political_support_best	inv_politics_veneti_ruler	60
political_support_high	inv_politics_veneti_ruler	70
political_support_low	inv_politics_veneti_ruler	30
political_support_max	inv_politics_veneti_ruler	90
political_support_min	inv_politics_veneti_ruler	0
political_support_very_high	inv_politics_veneti_ruler	80
political_support_very_low	inv_politics_veneti_ruler	15
political_support_average	pel_politics_athenai_alkmaionid	30
political_support_best	pel_politics_athenai_alkmaionid	40
political_support_high	pel_politics_athenai_alkmaionid	50
political_support_low	pel_politics_athenai_alkmaionid	20
political_support_max	pel_politics_athenai_alkmaionid	70
political_support_min	pel_politics_athenai_alkmaionid	0
political_support_very_high	pel_politics_athenai_alkmaionid	60
political_support_very_low	pel_politics_athenai_alkmaionid	10
political_support_average	pel_politics_boiotia_thebai	30
political_support_best	pel_politics_boiotia_thebai	40
political_support_high	pel_politics_boiotia_thebai	50
political_support_low	pel_politics_boiotia_thebai	20
political_support_max	pel_politics_boiotia_thebai	70
political_support_min	pel_politics_boiotia_thebai	0
political_support_very_high	pel_politics_boiotia_thebai	60
political_support_very_low	pel_politics_boiotia_thebai	10
political_support_average	pel_politics_korinthos_conservative	30
political_support_best	pel_politics_korinthos_conservative	40
political_support_high	pel_politics_korinthos_conservative	50
political_support_low	pel_politics_korinthos_conservative	20
political_support_max	pel_politics_korinthos_conservative	70
political_support_min	pel_politics_korinthos_conservative	0
political_support_very_high	pel_politics_korinthos_conservative	60
political_support_very_low	pel_politics_korinthos_conservative	10
political_support_average	pel_politics_sparta_agiad	45
political_support_best	pel_politics_sparta_agiad	60
political_support_high	pel_politics_sparta_agiad	70
political_support_low	pel_politics_sparta_agiad	30
political_support_max	pel_politics_sparta_agiad	90
political_support_min	pel_politics_sparta_agiad	0
political_support_very_high	pel_politics_sparta_agiad	80
political_support_very_low	pel_politics_sparta_agiad	15
political_support_average	pro_politics_rome_council	45
political_support_best	pro_politics_rome_council	60
political_support_high	pro_politics_rome_council	70
political_support_low	pro_politics_rome_council	30
political_support_max	pro_politics_rome_council	90
political_support_min	pro_politics_rome_council	0
political_support_very_high	pro_politics_rome_council	80
political_support_average	pun_politics_arevaci_ruler	45
political_support_best	pun_politics_arevaci_ruler	60
political_support_high	pun_politics_arevaci_ruler	70
political_support_low	pun_politics_arevaci_ruler	30
political_support_max	pun_politics_arevaci_ruler	90
political_support_min	pun_politics_arevaci_ruler	0
political_support_very_high	pun_politics_arevaci_ruler	80
political_support_very_low	pun_politics_arevaci_ruler	15
political_support_average	pun_politics_carthage_barcid	45
political_support_best	pun_politics_carthage_barcid	60
political_support_high	pun_politics_carthage_barcid	70
political_support_low	pun_politics_carthage_barcid	30
political_support_max	pun_politics_carthage_barcid	90
political_support_min	pun_politics_carthage_barcid	0
political_support_very_high	pun_politics_carthage_barcid	80
political_support_very_low	pun_politics_carthage_barcid	15
political_support_average	pun_politics_lusitani_ruler	45
political_support_best	pun_politics_lusitani_ruler	60
political_support_high	pun_politics_lusitani_ruler	70
political_support_low	pun_politics_lusitani_ruler	30
political_support_max	pun_politics_lusitani_ruler	90
political_support_min	pun_politics_lusitani_ruler	0
political_support_very_high	pun_politics_lusitani_ruler	80
political_support_very_low	pun_politics_lusitani_ruler	15
political_support_average	pun_politics_rome_cornelia	45
political_support_best	pun_politics_rome_cornelia	60
political_support_high	pun_politics_rome_cornelia	70
political_support_low	pun_politics_rome_cornelia	30
political_support_max	pun_politics_rome_cornelia	90
political_support_min	pun_politics_rome_cornelia	0
political_support_very_high	pun_politics_rome_cornelia	80
political_support_very_low	pun_politics_rome_cornelia	15
political_support_average	pun_politics_syracuse_ruler	45
political_support_best	pun_politics_syracuse_ruler	60
political_support_high	pun_politics_syracuse_ruler	70
political_support_low	pun_politics_syracuse_ruler	30
political_support_max	pun_politics_syracuse_ruler	90
political_support_min	pun_politics_syracuse_ruler	0
political_support_very_high	pun_politics_syracuse_ruler	80
political_support_very_low	pun_politics_syracuse_ruler	15
political_support_average	rom_politics_ardiaei_ruler	45
political_support_best	rom_politics_ardiaei_ruler	60
political_support_high	rom_politics_ardiaei_ruler	70
political_support_low	rom_politics_ardiaei_ruler	30
political_support_max	rom_politics_ardiaei_ruler	90
political_support_min	rom_politics_ardiaei_ruler	0
political_support_very_high	rom_politics_ardiaei_ruler	80
political_support_very_low	rom_politics_ardiaei_ruler	15
political_support_average	rom_politics_arevaci_ruler	45
political_support_best	rom_politics_arevaci_ruler	60
political_support_high	rom_politics_arevaci_ruler	70
political_support_low	rom_politics_arevaci_ruler	30
political_support_max	rom_politics_arevaci_ruler	90
political_support_min	rom_politics_arevaci_ruler	0
political_support_very_high	rom_politics_arevaci_ruler	80
political_support_very_low	rom_politics_arevaci_ruler	15
political_support_average	rom_politics_armenia_ruler	45
political_support_best	rom_politics_armenia_ruler	60
political_support_high	rom_politics_armenia_ruler	70
political_support_low	rom_politics_armenia_ruler	30
political_support_max	rom_politics_armenia_ruler	90
political_support_min	rom_politics_armenia_ruler	0
political_support_very_high	rom_politics_armenia_ruler	80
political_support_very_low	rom_politics_armenia_ruler	15
political_support_average	rom_politics_arverni_ruler	45
political_support_best	rom_politics_arverni_ruler	60
political_support_high	rom_politics_arverni_ruler	70
political_support_low	rom_politics_arverni_ruler	30
political_support_max	rom_politics_arverni_ruler	90
political_support_min	rom_politics_arverni_ruler	0
political_support_very_high	rom_politics_arverni_ruler	80
political_support_very_low	rom_politics_arverni_ruler	15
political_support_average	rom_politics_athens_ruler	45
political_support_best	rom_politics_athens_ruler	60
political_support_high	rom_politics_athens_ruler	70
political_support_low	rom_politics_athens_ruler	30
political_support_max	rom_politics_athens_ruler	90
political_support_min	rom_politics_athens_ruler	0
political_support_very_high	rom_politics_athens_ruler	80
political_support_very_low	rom_politics_athens_ruler	15
political_support_average	rom_politics_baktria_ruler	45
political_support_best	rom_politics_baktria_ruler	60
political_support_high	rom_politics_baktria_ruler	70
political_support_low	rom_politics_baktria_ruler	30
political_support_max	rom_politics_baktria_ruler	90
political_support_min	rom_politics_baktria_ruler	0
political_support_very_high	rom_politics_baktria_ruler	80
political_support_very_low	rom_politics_baktria_ruler	15
political_support_average	rom_politics_boii_ruler	45
political_support_best	rom_politics_boii_ruler	60
political_support_high	rom_politics_boii_ruler	70
political_support_low	rom_politics_boii_ruler	30
political_support_max	rom_politics_boii_ruler	90
political_support_min	rom_politics_boii_ruler	0
political_support_very_high	rom_politics_boii_ruler	80
political_support_very_low	rom_politics_boii_ruler	15
political_support_average	rom_politics_carthage_barcid	30
political_support_best	rom_politics_carthage_barcid	40
political_support_high	rom_politics_carthage_barcid	50
political_support_low	rom_politics_carthage_barcid	20
political_support_max	rom_politics_carthage_barcid	70
political_support_min	rom_politics_carthage_barcid	0
political_support_very_high	rom_politics_carthage_barcid	60
political_support_very_low	rom_politics_carthage_barcid	10
political_support_average	rom_politics_carthage_hannonid	30
political_support_best	rom_politics_carthage_hannonid	40
political_support_high	rom_politics_carthage_hannonid	50
political_support_low	rom_politics_carthage_hannonid	20
political_support_max	rom_politics_carthage_hannonid	70
political_support_min	rom_politics_carthage_hannonid	0
political_support_very_high	rom_politics_carthage_hannonid	60
political_support_very_low	rom_politics_carthage_hannonid	10
political_support_average	rom_politics_carthage_magonid	30
political_support_best	rom_politics_carthage_magonid	40
political_support_high	rom_politics_carthage_magonid	50
political_support_low	rom_politics_carthage_magonid	20
political_support_max	rom_politics_carthage_magonid	70
political_support_min	rom_politics_carthage_magonid	0
political_support_very_high	rom_politics_carthage_magonid	60
political_support_very_low	rom_politics_carthage_magonid	10
political_support_average	rom_politics_cimmeria_ruler	45
political_support_best	rom_politics_cimmeria_ruler	60
political_support_high	rom_politics_cimmeria_ruler	70
political_support_low	rom_politics_cimmeria_ruler	30
political_support_max	rom_politics_cimmeria_ruler	90
political_support_min	rom_politics_cimmeria_ruler	0
political_support_very_high	rom_politics_cimmeria_ruler	80
political_support_very_low	rom_politics_cimmeria_ruler	15
political_support_average	rom_politics_colchis_ruler	45
political_support_best	rom_politics_colchis_ruler	60
political_support_high	rom_politics_colchis_ruler	70
political_support_low	rom_politics_colchis_ruler	30
political_support_max	rom_politics_colchis_ruler	90
political_support_min	rom_politics_colchis_ruler	0
political_support_very_high	rom_politics_colchis_ruler	80
political_support_very_low	rom_politics_colchis_ruler	15
political_support_average	rom_politics_egypt_ptolemaic	45
political_support_best	rom_politics_egypt_ptolemaic	60
political_support_high	rom_politics_egypt_ptolemaic	70
political_support_low	rom_politics_egypt_ptolemaic	30
political_support_max	rom_politics_egypt_ptolemaic	90
political_support_min	rom_politics_egypt_ptolemaic	0
political_support_very_high	rom_politics_egypt_ptolemaic	80
political_support_very_low	rom_politics_egypt_ptolemaic	15
political_support_average	rom_politics_epirus_ruler	45
political_support_best	rom_politics_epirus_ruler	60
political_support_high	rom_politics_epirus_ruler	70
political_support_low	rom_politics_epirus_ruler	30
political_support_max	rom_politics_epirus_ruler	90
political_support_min	rom_politics_epirus_ruler	0
political_support_very_high	rom_politics_epirus_ruler	80
political_support_very_low	rom_politics_epirus_ruler	15
political_support_average	rom_politics_galatia_ruler	45
political_support_best	rom_politics_galatia_ruler	60
political_support_high	rom_politics_galatia_ruler	70
political_support_low	rom_politics_galatia_ruler	30
political_support_max	rom_politics_galatia_ruler	90
political_support_min	rom_politics_galatia_ruler	0
political_support_very_high	rom_politics_galatia_ruler	80
political_support_very_low	rom_politics_galatia_ruler	15
political_support_average	rom_politics_getae_ruler	45
political_support_best	rom_politics_getae_ruler	60
political_support_high	rom_politics_getae_ruler	70
political_support_low	rom_politics_getae_ruler	30
political_support_max	rom_politics_getae_ruler	90
political_support_min	rom_politics_getae_ruler	0
political_support_very_high	rom_politics_getae_ruler	80
political_support_very_low	rom_politics_getae_ruler	15
political_support_average	rom_politics_iceni_ruler	45
political_support_best	rom_politics_iceni_ruler	60
political_support_high	rom_politics_iceni_ruler	70
political_support_low	rom_politics_iceni_ruler	30
political_support_max	rom_politics_iceni_ruler	90
political_support_min	rom_politics_iceni_ruler	0
political_support_very_high	rom_politics_iceni_ruler	80
political_support_very_low	rom_politics_iceni_ruler	15
political_support_average	rom_politics_kush_ruler	45
political_support_best	rom_politics_kush_ruler	60
political_support_high	rom_politics_kush_ruler	70
political_support_low	rom_politics_kush_ruler	30
political_support_max	rom_politics_kush_ruler	90
political_support_min	rom_politics_kush_ruler	0
political_support_very_high	rom_politics_kush_ruler	80
political_support_very_low	rom_politics_kush_ruler	15
political_support_average	rom_politics_lusitani_ruler	45
political_support_best	rom_politics_lusitani_ruler	60
political_support_high	rom_politics_lusitani_ruler	70
political_support_low	rom_politics_lusitani_ruler	30
political_support_max	rom_politics_lusitani_ruler	90
political_support_min	rom_politics_lusitani_ruler	0
political_support_very_high	rom_politics_lusitani_ruler	80
political_support_very_low	rom_politics_lusitani_ruler	15
political_support_average	rom_politics_macedon_antigonid	45
political_support_best	rom_politics_macedon_antigonid	60
political_support_high	rom_politics_macedon_antigonid	70
political_support_low	rom_politics_macedon_antigonid	30
political_support_max	rom_politics_macedon_antigonid	90
political_support_min	rom_politics_macedon_antigonid	0
political_support_very_high	rom_politics_macedon_antigonid	80
political_support_very_low	rom_politics_macedon_antigonid	15
political_support_average	rom_politics_masaesyli_ruler	45
political_support_best	rom_politics_masaesyli_ruler	60
political_support_high	rom_politics_masaesyli_ruler	70
political_support_low	rom_politics_masaesyli_ruler	30
political_support_max	rom_politics_masaesyli_ruler	90
political_support_min	rom_politics_masaesyli_ruler	0
political_support_very_high	rom_politics_masaesyli_ruler	80
political_support_very_low	rom_politics_masaesyli_ruler	15
political_support_average	rom_politics_massagetae_ruler	45
political_support_best	rom_politics_massagetae_ruler	60
political_support_high	rom_politics_massagetae_ruler	70
political_support_low	rom_politics_massagetae_ruler	30
political_support_max	rom_politics_massagetae_ruler	90
political_support_min	rom_politics_massagetae_ruler	0
political_support_very_high	rom_politics_massagetae_ruler	80
political_support_very_low	rom_politics_massagetae_ruler	15
political_support_average	rom_politics_massalia_ruler	45
political_support_best	rom_politics_massalia_ruler	60
political_support_high	rom_politics_massalia_ruler	70
political_support_low	rom_politics_massalia_ruler	30
political_support_max	rom_politics_massalia_ruler	90
political_support_min	rom_politics_massalia_ruler	0
political_support_very_high	rom_politics_massalia_ruler	80
political_support_very_low	rom_politics_massalia_ruler	15
political_support_average	rom_politics_nabatea_ruler	45
political_support_best	rom_politics_nabatea_ruler	60
political_support_high	rom_politics_nabatea_ruler	70
political_support_low	rom_politics_nabatea_ruler	30
political_support_max	rom_politics_nabatea_ruler	90
political_support_min	rom_politics_nabatea_ruler	0
political_support_very_high	rom_politics_nabatea_ruler	80
political_support_very_low	rom_politics_nabatea_ruler	15
political_support_average	rom_politics_nervii_ruler	45
political_support_best	rom_politics_nervii_ruler	60
political_support_high	rom_politics_nervii_ruler	70
political_support_low	rom_politics_nervii_ruler	30
political_support_max	rom_politics_nervii_ruler	90
political_support_min	rom_politics_nervii_ruler	0
political_support_very_high	rom_politics_nervii_ruler	80
political_support_very_low	rom_politics_nervii_ruler	15
political_support_average	rom_politics_odrysia_ruler	45
political_support_best	rom_politics_odrysia_ruler	60
political_support_high	rom_politics_odrysia_ruler	70
political_support_low	rom_politics_odrysia_ruler	30
political_support_max	rom_politics_odrysia_ruler	90
political_support_min	rom_politics_odrysia_ruler	0
political_support_very_high	rom_politics_odrysia_ruler	80
political_support_very_low	rom_politics_odrysia_ruler	15
political_support_average	rom_politics_parthia_arsacid	45
political_support_best	rom_politics_parthia_arsacid	60
political_support_high	rom_politics_parthia_arsacid	70
political_support_low	rom_politics_parthia_arsacid	30
political_support_max	rom_politics_parthia_arsacid	90
political_support_min	rom_politics_parthia_arsacid	0
political_support_very_high	rom_politics_parthia_arsacid	80
political_support_very_low	rom_politics_parthia_arsacid	15
political_support_average	rom_politics_pergammon_ruler	45
political_support_best	rom_politics_pergammon_ruler	60
political_support_high	rom_politics_pergammon_ruler	70
political_support_low	rom_politics_pergammon_ruler	30
political_support_max	rom_politics_pergammon_ruler	90
political_support_min	rom_politics_pergammon_ruler	0
political_support_very_high	rom_politics_pergammon_ruler	80
political_support_very_low	rom_politics_pergammon_ruler	15
political_support_average	rom_politics_pontus_mithridatic	45
political_support_best	rom_politics_pontus_mithridatic	60
political_support_high	rom_politics_pontus_mithridatic	70
political_support_low	rom_politics_pontus_mithridatic	30
political_support_max	rom_politics_pontus_mithridatic	90
political_support_min	rom_politics_pontus_mithridatic	0
political_support_very_high	rom_politics_pontus_mithridatic	80
political_support_very_low	rom_politics_pontus_mithridatic	15
political_support_average	rom_politics_rome_cornelia	30
political_support_best	rom_politics_rome_cornelia	40
political_support_high	rom_politics_rome_cornelia	50
political_support_low	rom_politics_rome_cornelia	20
political_support_max	rom_politics_rome_cornelia	70
political_support_min	rom_politics_rome_cornelia	0
political_support_very_high	rom_politics_rome_cornelia	60
political_support_very_low	rom_politics_rome_cornelia	10
political_support_average	rom_politics_rome_julia	30
political_support_best	rom_politics_rome_julia	40
political_support_high	rom_politics_rome_julia	50
political_support_low	rom_politics_rome_julia	20
political_support_max	rom_politics_rome_julia	70
political_support_min	rom_politics_rome_julia	0
political_support_very_high	rom_politics_rome_julia	60
political_support_very_low	rom_politics_rome_julia	10
political_support_average	rom_politics_rome_junia	30
political_support_best	rom_politics_rome_junia	40
political_support_high	rom_politics_rome_junia	50
political_support_low	rom_politics_rome_junia	20
political_support_max	rom_politics_rome_junia	70
political_support_min	rom_politics_rome_junia	0
