block_key	class	image	image_class	order	page_key
enc_text_manual_actions_campaign_construction_infrastructure_farms	textblock		left	6	0044_enc_page_campaign_play_province_construction
enc_text_manual_actions_campaign_construction_infrastructure_ports	textblock		left	7	0044_enc_page_campaign_play_province_construction
enc_text_manual_actions_campaign_construction_legendary	textblock		left	10	0044_enc_page_campaign_play_province_construction
enc_text_manual_actions_campaign_construction_repair	textblock		left	3	0044_enc_page_campaign_play_province_construction
enc_text_manual_actions_campaign_construction_resources	textblock		left	8	0044_enc_page_campaign_play_province_construction
enc_text_manual_actions_campaign_construction_speciality	textblock		left	9	0044_enc_page_campaign_play_province_construction
enc_text_manual_actions_campaign_quick_save_load	textblock		left	1	0066_enc_page_campaign_play_interface_save_load
enc_text_manual_actions_campaign_recruitment	textblock		left	1	0017_enc_page_campaign_play_military_recruit
enc_text_manual_actions_campaign_recruitment_upkeep	textblock		left	2	0017_enc_page_campaign_play_military_recruit
enc_text_manual_actions_campaign_stances	textblock		left	1	0018_enc_page_campaign_play_military_stances
enc_text_manual_actions_campaign_stances_besiege	textblock		left	9	0018_enc_page_campaign_play_military_stances
enc_text_manual_actions_campaign_stances_camp	textblock		left	6	0018_enc_page_campaign_play_military_stances
enc_text_manual_actions_campaign_stances_default	textblock		left	2	0018_enc_page_campaign_play_military_stances
enc_text_manual_actions_campaign_stances_garrison	textblock		left	8	0018_enc_page_campaign_play_military_stances
enc_text_manual_actions_campaign_stances_hide	textblock		left	4	0018_enc_page_campaign_play_military_stances
enc_text_manual_actions_campaign_stances_march	textblock		left	3	0018_enc_page_campaign_play_military_stances
enc_text_manual_actions_campaign_stances_muster	textblock		left	7	0018_enc_page_campaign_play_military_stances
enc_text_manual_actions_campaign_stances_raid	textblock		left	5	0018_enc_page_campaign_play_military_stances
enc_text_manual_agents_subterfuge	textblock		left	2	0047_enc_page_campaign_play_characters
enc_text_manual_army_attack	textblock		left	1	0020_enc_page_campaign_play_military_attack
enc_text_manual_army_attack_ambush	textblock		left	1	0022_enc_page_campaign_play_military_ambush
enc_text_manual_army_attack_reinforcements	textblock		left	1	0024_enc_page_campaign_play_military_reinforcements
enc_text_manual_army_attack_resistance	textblock		left	4	0021_enc_page_campaign_play_military_sieges
enc_text_manual_army_attack_siege	textblock		left	1	0021_enc_page_campaign_play_military_sieges
enc_text_manual_army_attack_siege_capture	textblock		left	3	0021_enc_page_campaign_play_military_sieges
enc_text_manual_army_attack_siege_defence	textblock		left	2	0021_enc_page_campaign_play_military_sieges
enc_text_manual_army_attack_siege_looting	textblock		left	5	0021_enc_page_campaign_play_military_sieges
enc_text_manual_army_attrition	textblock		left	1	0025_enc_page_campaign_play_military_attrition
enc_text_manual_army_command_stars	textblock		left	3	0047_enc_page_campaign_play_characters
enc_text_manual_army_experience	textblock		left	1	0028_enc_page_campaign_play_military_experience
enc_text_manual_army_experience_sea	textblock		left	11	0028_enc_page_campaign_play_military_experience
enc_text_manual_army_experience_sea_stats_1	textblock		left	12	0028_enc_page_campaign_play_military_experience
enc_text_manual_army_experience_sea_stats_2	textblock		left	13	0028_enc_page_campaign_play_military_experience
enc_text_manual_army_experience_sea_stats_3	textblock		left	14	0028_enc_page_campaign_play_military_experience
enc_text_manual_army_experience_sea_stats_4	textblock		left	15	0028_enc_page_campaign_play_military_experience
enc_text_manual_army_experience_sea_stats_5	textblock		left	16	0028_enc_page_campaign_play_military_experience
enc_text_manual_army_experience_sea_stats_6	textblock		left	17	0028_enc_page_campaign_play_military_experience
enc_text_manual_army_experience_sea_stats_7	textblock		left	18	0028_enc_page_campaign_play_military_experience
enc_text_manual_army_experience_sea_stats_8	textblock		left	19	0028_enc_page_campaign_play_military_experience
enc_text_manual_army_experience_sea_stats_9	textblock		left	20	0028_enc_page_campaign_play_military_experience
enc_text_manual_army_experience_stats_1	textblock		left	2	0028_enc_page_campaign_play_military_experience
enc_text_manual_army_experience_stats_2	textblock		left	3	0028_enc_page_campaign_play_military_experience
enc_text_manual_army_experience_stats_3	textblock		left	4	0028_enc_page_campaign_play_military_experience
enc_text_manual_army_experience_stats_4	textblock		left	5	0028_enc_page_campaign_play_military_experience
enc_text_manual_army_experience_stats_5	textblock		left	6	0028_enc_page_campaign_play_military_experience
enc_text_manual_army_experience_stats_6	textblock		left	7	0028_enc_page_campaign_play_military_experience
enc_text_manual_army_experience_stats_7	textblock		left	8	0028_enc_page_campaign_play_military_experience
enc_text_manual_army_experience_stats_8	textblock		left	9	0028_enc_page_campaign_play_military_experience
enc_text_manual_army_experience_stats_9	textblock		left	10	0028_enc_page_campaign_play_military_experience
enc_text_manual_army_fragments_merge	textblock		left	1	0027_enc_page_campaign_play_military_merge
enc_text_manual_army_fragments_replenish	textblock		left	1	0026_enc_page_campaign_play_military_replenish
enc_text_manual_army_generals	textblock		left	1	0047_enc_page_campaign_play_characters
enc_text_manual_army_moves	textblock		left	1	0019_enc_page_campaign_play_military_movement
enc_text_manual_army_moves_blocked	textblock		left	2	0019_enc_page_campaign_play_military_movement
enc_text_manual_battle_conflict	textblock		left	1	0078_enc_page_battle_play_phase_conflict
enc_text_manual_battle_conflict_abilities	textblock		left	1	0085_enc_page_battle_play_phase_conflict_abilities
enc_text_manual_battle_conflict_attributes	textblock		left	1	0086_enc_page_battle_play_phase_conflict_attributes
enc_text_manual_battle_conflict_attributes_attrition	textblock		left	2	0086_enc_page_battle_play_phase_conflict_attributes
enc_text_manual_battle_conflict_attributes_disciplined	textblock		left	3	0086_enc_page_battle_play_phase_conflict_attributes
enc_text_manual_battle_conflict_attributes_dismount	textblock		left	4	0086_enc_page_battle_play_phase_conflict_attributes
enc_text_manual_battle_conflict_attributes_fatigue	textblock		left	5	0086_enc_page_battle_play_phase_conflict_attributes
enc_text_manual_battle_conflict_attributes_grass	textblock		left	6	0086_enc_page_battle_play_phase_conflict_attributes
enc_text_manual_battle_conflict_attributes_inspire	textblock		left	7	0086_enc_page_battle_play_phase_conflict_attributes
enc_text_manual_battle_conflict_attributes_scrub	textblock		left	8	0086_enc_page_battle_play_phase_conflict_attributes
enc_text_manual_battle_conflict_attributes_stalk	textblock		left	9	0086_enc_page_battle_play_phase_conflict_attributes
enc_text_manual_battle_conflict_attributes_woods	textblock		left	10	0086_enc_page_battle_play_phase_conflict_attributes
enc_text_manual_battle_conflict_banners	textblock		left	1	0079_enc_page_battle_play_phase_conflict_banners
enc_text_manual_battle_conflict_capture	textblock		left	3	0084_enc_page_battle_play_phase_conflict_sieges
enc_text_manual_battle_conflict_controls_balance	textblock		left	3	0092_enc_page_battle_play_interface
enc_text_manual_battle_conflict_controls_compass	textblock		left	5	0092_enc_page_battle_play_interface
enc_text_manual_battle_conflict_controls_radar	textblock		left	2	0092_enc_page_battle_play_interface
enc_text_manual_battle_conflict_controls_speed	textblock		left	6	0092_enc_page_battle_play_interface
enc_text_manual_battle_conflict_controls_timer	textblock		left	4	0092_enc_page_battle_play_interface
enc_text_manual_battle_conflict_crossings_attack	textblock		left	2	0089_enc_page_battle_play_phase_conflict_terrain
enc_text_manual_battle_conflict_crossings_bridges	textblock		left	1	0089_enc_page_battle_play_phase_conflict_terrain
enc_text_manual_battle_conflict_crossings_defence	textblock		left	3	0089_enc_page_battle_play_phase_conflict_terrain
enc_text_manual_battle_conflict_fatigue	textblock		left	1	0088_enc_page_battle_play_phase_conflict_fatigue
enc_text_manual_battle_conflict_forests	textblock		left	4	0089_enc_page_battle_play_phase_conflict_terrain
enc_text_manual_battle_conflict_formations_land	textblock		left	1	0081_enc_page_battle_play_phase_conflict_army_formations
enc_text_manual_battle_conflict_formations_naval	textblock		left	2	0081_enc_page_battle_play_phase_conflict_army_formations
enc_text_manual_battle_conflict_group_formations	textblock		left	2	0082_enc_page_battle_play_phase_conflict_groups
enc_text_manual_battle_conflict_groups	textblock		left	1	0082_enc_page_battle_play_phase_conflict_groups
enc_text_manual_battle_conflict_groups_controlled	textblock		left	4	0082_enc_page_battle_play_phase_conflict_groups
enc_text_manual_battle_conflict_groups_selection	textblock		left	3	0082_enc_page_battle_play_phase_conflict_groups
enc_text_manual_battle_conflict_modes_fire	textblock		left	9	0092_enc_page_battle_play_interface
enc_text_manual_battle_conflict_modes_guard	textblock		left	12	0092_enc_page_battle_play_interface
enc_text_manual_battle_conflict_modes_halt	textblock		left	8	0092_enc_page_battle_play_interface
enc_text_manual_battle_conflict_modes_loose	textblock		left	13	0092_enc_page_battle_play_interface
enc_text_manual_battle_conflict_modes_melee	textblock		left	10	0092_enc_page_battle_play_interface
enc_text_manual_battle_conflict_modes_rallying	textblock		left	3	0087_enc_page_battle_play_phase_conflict_morale
enc_text_manual_battle_conflict_modes_routing	textblock		left	2	0087_enc_page_battle_play_phase_conflict_morale
enc_text_manual_battle_conflict_modes_run	textblock		left	7	0092_enc_page_battle_play_interface
enc_text_manual_battle_conflict_modes_skirmish	textblock		left	11	0092_enc_page_battle_play_interface
enc_text_manual_battle_conflict_modes_wedge	textblock		left	14	0092_enc_page_battle_play_interface
enc_text_manual_battle_conflict_modes_withdraw	textblock		left	15	0092_enc_page_battle_play_interface
enc_text_manual_battle_conflict_morale	textblock		left	1	0087_enc_page_battle_play_phase_conflict_morale
enc_text_manual_battle_conflict_naval_battles	textblock		left	1	0090_enc_page_battle_play_phase_conflict_sea_battles
enc_text_manual_battle_conflict_port_battles	textblock		left	4	0090_enc_page_battle_play_phase_conflict_sea_battles
enc_text_manual_battle_conflict_review	textblock		left	1	0092_enc_page_battle_play_interface
enc_text_manual_battle_conflict_sieges	textblock		left	1	0084_enc_page_battle_play_phase_conflict_sieges
enc_text_manual_battle_conflict_sieges_defence	textblock		left	2	0084_enc_page_battle_play_phase_conflict_sieges
enc_text_manual_battle_conflict_towers_3rd	textblock		left	1	0091_enc_page_battle_play_phase_conflict_3rd
enc_text_manual_battle_deployment_defences	textblock		left	3	0077_enc_page_battle_play_phase_deployment
enc_text_manual_battle_deployment_phase	textblock		left	1	0077_enc_page_battle_play_phase_deployment
enc_text_manual_battle_deployment_speeches	textblock		left	4	0077_enc_page_battle_play_phase_deployment
enc_text_manual_battle_deployment_weather	textblock		left	1	0076_enc_page_battle_play_phase_delay
enc_text_manual_battle_deployment_zones	textblock		left	2	0077_enc_page_battle_play_phase_deployment
enc_text_manual_battle_naval_boarding	textblock		left	2	0090_enc_page_battle_play_phase_conflict_sea_battles
enc_text_manual_battle_naval_capture	textblock		left	3	0090_enc_page_battle_play_phase_conflict_sea_battles
enc_text_manual_battle_naval_topography_land	textblock		left	5	0089_enc_page_battle_play_phase_conflict_terrain
enc_text_manual_battle_naval_topography_shallows	textblock		left	6	0089_enc_page_battle_play_phase_conflict_terrain
enc_text_manual_battle_tactics_beasts	textblock		left	6	0083_enc_page_battle_play_phase_conflict_tactics
enc_text_manual_battle_tactics_charge	textblock		left	1	0083_enc_page_battle_play_phase_conflict_tactics
enc_text_manual_battle_tactics_flank	textblock		left	2	0083_enc_page_battle_play_phase_conflict_tactics
enc_text_manual_battle_tactics_melee	textblock		left	3	0083_enc_page_battle_play_phase_conflict_tactics
enc_text_manual_battle_tactics_missiles	textblock		left	4	0083_enc_page_battle_play_phase_conflict_tactics
enc_text_manual_battle_tactics_siege	textblock		left	5	0083_enc_page_battle_play_phase_conflict_tactics
enc_text_manual_battlefield_play	textblock		left	1	0075_enc_page_battle_play
enc_text_manual_faction_effects	textblock		left	1	0042_enc_page_campaign_play_faction_effects
enc_text_manual_faction_traits	textblock		left	1	0041_enc_page_campaign_play_faction_traits_faction
enc_text_manual_fleet_access_off	textblock		left	2	0030_enc_page_campaign_play_military_transport
enc_text_manual_fleet_access_on	textblock		left	1	0030_enc_page_campaign_play_military_transport
enc_text_manual_fleet_assaults	textblock		left	1	0034_enc_page_campaign_play_military_coastal_assaults
enc_text_manual_fleet_attack	textblock		left	2	0020_enc_page_campaign_play_military_attack
enc_text_manual_fleet_blockades	textblock		left	1	0032_enc_page_campaign_play_military_blockades
enc_text_manual_fleet_fragments_merge	textblock		left	2	0027_enc_page_campaign_play_military_merge
enc_text_manual_fleet_fragments_repairs	textblock		left	2	0026_enc_page_campaign_play_military_replenish
enc_text_manual_fleet_moves	textblock		left	1	0019_enc_page_campaign_play_military_movement
enc_text_manual_fleet_moves_blocked	textblock		left	2	0019_enc_page_campaign_play_military_movement
enc_text_manual_fleet_raiding_trade_routes	textblock		left	1	0031_enc_page_campaign_play_military_raiding_trade
enc_text_manual_fleet_reveal	textblock		left	1	0035_enc_page_campaign_play_military_map_reveal
enc_text_manual_hud_arts	textblock		left	1	0059_enc_page_campaign_play_interface_tech_tree
enc_text_manual_hud_boshin_tech_goals	textblock		left	2	0039_enc_page_campaign_play_faction_technology
enc_text_manual_hud_diplomacy_factions	textblock		left	2	0014_enc_page_campaign_play_faction_select
enc_text_manual_hud_diplomacy_mechanics	textblock		left	1	0038_enc_page_campaign_play_faction_diplomacy
enc_text_manual_hud_diplomacy_options_access	textblock		left	7	0038_enc_page_campaign_play_faction_diplomacy
enc_text_manual_hud_diplomacy_options_aggro	textblock		left	9	0038_enc_page_campaign_play_faction_diplomacy
enc_text_manual_hud_diplomacy_options_alliance	textblock		left	4	0038_enc_page_campaign_play_faction_diplomacy
enc_text_manual_hud_diplomacy_options_alliance_defensive	textblock		left	5	0038_enc_page_campaign_play_faction_diplomacy
enc_text_manual_hud_diplomacy_options_confederation	textblock		left	11	0038_enc_page_campaign_play_faction_diplomacy
enc_text_manual_hud_diplomacy_options_counteroffer	textblock		left	14	0038_enc_page_campaign_play_faction_diplomacy
enc_text_manual_hud_diplomacy_options_demand_break	textblock		left	13	0038_enc_page_campaign_play_faction_diplomacy
enc_text_manual_hud_diplomacy_options_money	textblock		left	10	0038_enc_page_campaign_play_faction_diplomacy
enc_text_manual_hud_diplomacy_options_peace	textblock		left	15	0038_enc_page_campaign_play_faction_diplomacy
enc_text_manual_hud_diplomacy_options_trade_agreement	textblock		left	3	0038_enc_page_campaign_play_faction_diplomacy
enc_text_manual_hud_diplomacy_options_trade_embargo	textblock		left	16	0038_enc_page_campaign_play_faction_diplomacy
enc_text_manual_hud_diplomacy_options_vassals	textblock		left	6	0038_enc_page_campaign_play_faction_diplomacy
enc_text_manual_hud_diplomacy_options_war_declare	textblock		left	7	0038_enc_page_campaign_play_faction_diplomacy
enc_text_manual_hud_diplomacy_options_war_join	textblock		left	12	0038_enc_page_campaign_play_faction_diplomacy
enc_text_manual_hud_diplomacy_relations	textblock		left	2	0038_enc_page_campaign_play_faction_diplomacy
enc_text_manual_hud_end_turn	textblock		left	1	0063_enc_page_campaign_play_interface_end
enc_text_manual_hud_events	textblock		left	1	0061_enc_page_campaign_play_interface_lists
enc_text_manual_hud_events_dilemmas	textblock		left	1	0040_enc_page_campaign_play_faction_missions
enc_text_manual_hud_events_missions	textblock		left	3	0013_enc_page_campaign_play_objectives
enc_text_manual_hud_events_victory	textblock		left	1	0013_enc_page_campaign_play_objectives
enc_text_manual_hud_factions	textblock		left	4	0061_enc_page_campaign_play_interface_lists
enc_text_manual_hud_finance_management	textblock		left	2	0045_enc_page_campaign_play_province_trade
enc_text_manual_hud_finances	textblock		left	1	0045_enc_page_campaign_play_province_trade
enc_text_manual_hud_forces	textblock		left	2	0061_enc_page_campaign_play_interface_lists
enc_text_manual_hud_management	textblock		left	1	0055_enc_page_campaign_play_interface_faction
enc_text_manual_hud_management_family	textblock		left	3	0055_enc_page_campaign_play_interface_faction
enc_text_manual_hud_management_records	textblock		left	4	0055_enc_page_campaign_play_interface_faction
enc_text_manual_hud_management_summary	textblock		left	2	0055_enc_page_campaign_play_interface_faction
enc_text_manual_hud_provinces	textblock		left	3	0061_enc_page_campaign_play_interface_lists
enc_text_manual_hud_radar	textblock		left	1	0062_enc_page_campaign_play_interface_radar
enc_text_manual_hud_tech	textblock		left	1	0039_enc_page_campaign_play_faction_technology
enc_text_manual_hud_treasury	textblock		left	1	0065_enc_page_campaign_play_interface_treasury
enc_text_manual_hud_ui_diplomacy_negotiation	textblock		left	1	0060_enc_page_campaign_play_interface_diplomacy
enc_text_manual_intro	textblock		left	1	0013_enc_page_campaign_play_objectives
enc_text_manual_intro_controls	textblock		left	3	0013_enc_page_campaign_play_objectives
enc_text_manual_multiplayer_co_op_campaign	textblock		left	1	dummy_page
enc_text_manual_multiplayer_co_op_unit_sharing	textblock		left	2	dummy_page
enc_text_manual_multiplayer_unit_gifting	textblock		left	3	dummy_page
enc_text_manual_public_order	textblock		left	1	0046_enc_page_campaign_play_province_order
enc_text_manual_public_order_happiness	textblock		left	2	0046_enc_page_campaign_play_province_order
enc_text_manual_public_order_rebellions	textblock		left	5	0046_enc_page_campaign_play_province_order
enc_text_manual_public_order_repression	textblock		left	3	0046_enc_page_campaign_play_province_order
enc_text_manual_public_order_riots	textblock		left	4	0046_enc_page_campaign_play_province_order
enc_text_manual_retainers	textblock		left	1	0053_enc_page_campaign_play_characters_ancillaries
enc_text_manual_skill_tree	textblock		left	1	0070_enc_page_campaign_play_interface_skill_tree
enc_text_manual_skills	textblock		left	1	0051_enc_page_campaign_play_characters_skills
enc_text_manual_start	textblock		left	1	0014_enc_page_campaign_play_faction_select
enc_text_manual_trade	textblock		left	1	0045_enc_page_campaign_play_province_trade
enc_text_manual_traits	textblock		left	1	0052_enc_page_campaign_play_characters_traits
enc_text_manual_ui_battle	textblock		left	1	0067_enc_page_campaign_play_interface_battle_pre
enc_text_manual_ui_battle_3d	textblock		left	3	0067_enc_page_campaign_play_interface_battle_pre
enc_text_manual_ui_battle_3d_night	textblock		left	1	0023_enc_page_campaign_play_military_night
enc_text_manual_ui_battle_auto	textblock		left	2	0067_enc_page_campaign_play_interface_battle_pre
enc_text_manual_ui_battle_losing_generals	textblock		left	3	0026_enc_page_campaign_play_military_replenish
enc_text_manual_ui_battle_post	textblock		left	1	0068_enc_page_campaign_play_interface_battle_post
enc_text_manual_ui_battle_post_markers	textblock		left	2	0068_enc_page_campaign_play_interface_battle_post
enc_text_manual_ui_battle_quick_save	textblock		left	6	0067_enc_page_campaign_play_interface_battle_pre
enc_text_manual_ui_battle_replays	textblock		left	5	0067_enc_page_campaign_play_interface_battle_pre
enc_text_manual_ui_battle_retreat	textblock		left	4	0067_enc_page_campaign_play_interface_battle_pre
enc_text_manual_ui_building	textblock		left	1	0072_enc_page_campaign_play_interface_building
enc_text_manual_ui_general	textblock		left	1	0069_enc_page_campaign_play_interface_character
enc_text_manual_ui_province	textblock		left	1	0074_enc_page_campaign_play_interface_province
enc_text_manual_ui_units	textblock		left	1	0071_enc_page_campaign_play_interface_unit
enc_text_politics_ambition	textblock		left	4	0037_enc_page_campaign_play_faction_politics
enc_text_politics_civil_war	textblock		left	7	0037_enc_page_campaign_play_faction_politics
enc_text_politics_gravitas	textblock		left	3	0037_enc_page_campaign_play_faction_politics
enc_text_politics_imperium	textblock		left	6	0037_enc_page_campaign_play_faction_politics
enc_text_politics_intro	textblock		left	1	0037_enc_page_campaign_play_faction_politics
enc_text_politics_offices	textblock		left	8	0037_enc_page_campaign_play_faction_politics
enc_text_politics_parties	textblock		left	2	0037_enc_page_campaign_play_faction_politics
enc_text_politics_power	textblock		left	5	0037_enc_page_campaign_play_faction_politics
enc_text_tut_help_battle_basic	textblock		left	3	0003_enc_page_help_tut
enc_text_tut_help_campaign	textblock		left	2	0003_enc_page_help_tut
enc_text_tut_help_intro	textblock		left	1	0003_enc_page_help_tut
enc_text_ui_frontend_cont	textblock		left	5	0007_enc_page_frontend_main_menu_campaign
enc_text_ui_frontend_custom	textblock		left	2	0008_enc_page_frontend_main_menu_battle
enc_text_ui_frontend_enc	textblock		left	1	0010_enc_page_frontend_main_menu_enc
enc_text_ui_frontend_faction_select	textblock		left	1	dummy_page
enc_text_ui_frontend_grand	textblock		left	2	0007_enc_page_frontend_main_menu_campaign
enc_text_ui_frontend_grand_clan_battle_realism	textblock		left	2	0015_enc_page_campaign_play_advanced_settings
enc_text_ui_frontend_grand_clan_difficulty	textblock		left	1	0015_enc_page_campaign_play_advanced_settings
enc_text_ui_frontend_hist	textblock		left	1	0008_enc_page_frontend_main_menu_battle
enc_text_ui_frontend_load	textblock		left	3	0007_enc_page_frontend_main_menu_campaign
enc_text_ui_frontend_main	textblock		left	1	0006_enc_page_frontend_main_menu
enc_text_ui_frontend_mp_battles	textblock		left	3	0008_enc_page_frontend_main_menu_battle
enc_text_ui_frontend_mp_campaign	textblock		left	4	0007_enc_page_frontend_main_menu_campaign
enc_text_ui_frontend_options	textblock		left	1	0009_enc_page_frontend_main_menu_options
enc_text_ui_frontend_options_controls	textblock		left	3	0009_enc_page_frontend_main_menu_options
enc_text_ui_frontend_options_controls_keys	textblock		left	1	0005_enc_page_help_keyboard_shortcuts
enc_text_ui_frontend_options_controls_keys_battle	textblock		left	5	0005_enc_page_help_keyboard_shortcuts
enc_text_ui_frontend_options_controls_keys_camera	textblock		left	3	0005_enc_page_help_keyboard_shortcuts
enc_text_ui_frontend_options_controls_keys_campaign	textblock		left	4	0005_enc_page_help_keyboard_shortcuts
enc_text_ui_frontend_options_controls_keys_miscellaneous	textblock		left	2	0005_enc_page_help_keyboard_shortcuts
enc_text_ui_frontend_options_credits	textblock		left	6	0009_enc_page_frontend_main_menu_options
enc_text_ui_frontend_options_graphics	textblock		left	1	0009_enc_page_frontend_main_menu_options
enc_text_ui_frontend_options_graphics_gamma	textblock		left	5	0009_enc_page_frontend_main_menu_options
enc_text_ui_frontend_options_sound	textblock		left	2	0009_enc_page_frontend_main_menu_options
enc_text_ui_frontend_options_ui	textblock		left	4	dummy_page
enc_text_ui_frontend_quit	textblock		left	1	0011_enc_page_frontend_main_menu_quit
enc_text_ui_frontend_replays	textblock		left	4	0008_enc_page_frontend_main_menu_battle
enc_text_ui_frontend_tut	textblock		left	1	0007_enc_page_frontend_main_menu_campaign
enc_text_ui_ingame_load	textblock		left	4	dummy_page
enc_text_ui_ingame_menu	textblock		left	1	dummy_page
enc_text_ui_ingame_options	textblock		left	5	dummy_page
enc_text_ui_ingame_options_controls	textblock		left	4	dummy_page
enc_text_ui_ingame_options_exit_main	textblock		left	6	dummy_page
enc_text_ui_ingame_options_exit_windows	textblock		left	7	dummy_page
enc_text_ui_ingame_options_gamma	textblock		left	6	dummy_page
enc_text_ui_ingame_options_graphics	textblock		left	2	dummy_page
enc_text_ui_ingame_options_settings	textblock		left	1	dummy_page
enc_text_ui_ingame_options_sound	textblock		left	3	dummy_page
enc_text_ui_ingame_options_ui	textblock		left	5	dummy_page
enc_text_ui_ingame_resume	textblock		left	2	dummy_page
enc_text_ui_ingame_save	textblock		left	3	dummy_page
