key	filename	range	rigid
-1406692490	RigidModels\BattleFieldProps\woodenfence_piece01_destruct01_lod01.rigid_model	20	woodenfence_piece01_destruct01
-142112015	RigidModels\BattleFieldProps\hedge_small_4_piece01_destruct01_lod03.rigid_model	0	hedge_winter_small_4_piece01_destruct01
-1427606662	RigidModels\BattleFieldProps\hedge_small_8_piece01_destruct01_lod03.rigid_model	0	hedge_small_8_piece01_destruct01
-1441917751	RigidModels\WarscapeFrame\ai_hints\suitable_ground_bombardment.rigid_model	1_1	suitable_ground_bombardment_marker
-1481379336	RigidModels\Buildings\indian_large_fort_hq\trash_d02_lod03.rigid_model	3_2	trash_d02
-1510786908	RigidModels\Buildings\fallen_rotting_log\tree_stump_piece01_destruct01_lod01.rigid_model	20	tree_stump_piece01_destruct01
-1515659514	RigidModels\outfield\terrain\models\plains_d.rigid_model	0	plains_d
-1643770233	RigidModels\BattleFieldProps\hedge_small_8_piece01_destruct01_lod03.rigid_model	0	hedge_winter_small_8_piece01_destruct01
-1645530001	RigidModels\Buildings\indian_large_fort_hq\trash_lod03.rigid_model	3_2	trash
-1648244158	RigidModels\outfield\terrain\models\hills03_d.rigid_model	0	hills03_d
-1656235621	RigidModels\outfield\terrain\models\islands01_a.rigid_model	0	islands01_a
-1679401773	RigidModels\outfield\terrain\models\plains_a.rigid_model	0	plains_a
-1709325088	RigidModels\Buildings\fallen_rotting_log\rock_3_dry_piece01_destruct01_lod01.rigid_model	20	rock_3_dry_piece01_destruct01
-1727761053	RigidModels\outfield\terrain\models\hills02_a.rigid_model	0	hills02_a
-184576905	RigidModels\Buildings\fallen_rotting_log\rock_3_wet_piece01_destruct01_lod05.rigid_model	0	rock_3_wet_piece01_destruct01
-1862298520	RigidModels\outfield\terrain\models\hills02_b.rigid_model	0	hills02_b
-1868582569	RigidModels\outfield\terrain\models\mountains_a.rigid_model	0	mountains_a
-1872347818	RigidModels\WarscapeFrame\ai_hints\town_cluster.rigid_model	1_1	town_cluster_marker
-1942946859	RigidModels\city_buildings\euro\out_build_02.rigid_model	1_1	city_euro_building_02
-1965883421	RigidModels\WarscapeFrame\ai_hints\redoubt.rigid_model	1_1	redoubt_marker
-1979085427	RigidModels\Buildings\fallen_rotting_log\tree_stump_and_log_dry_piece01_destruct01_lod05.rigid_model	0	tree_stump_and_log_dry_piece01_destruct01
-1996084111	RigidModels\Buildings\fallen_rotting_log\medium_log_dry_piece01_destruct01_lod05.rigid_model	0	medium_log_dry_piece01_destruct01
-2126127090	RigidModels\city_buildings\east\out_build_05.rigid_model	1_1	city_east_building_05
-23453028	RigidModels\outfield\terrain\models\hills01_b.rigid_model	0	hills01_b
-289840909	RigidModels\WarscapeFrame\ai_hints\suitable_deployable_item.rigid_model	1_1	suitable_deployable_item_earthworks_marker
-377654500	RigidModels\WarscapeFrame\ai_hints\defensive_line.rigid_model	1_1	defensive_line_marker
-489265855	RigidModels\outfield\terrain\models\islands01_c.rigid_model	0	islands01_c
-521080897	RigidModels\BattleFieldProps\woodenfenceend_piece01_destruct01_lod01.rigid_model	150	woodenfenceend_piece01_destruct01
-53396523	RigidModels\BattleFieldProps\hedge_small_2_piece01_destruct01_lod01.rigid_model	150	hedge_small_2_piece01_destruct01
-551819149	RigidModels\BattleFieldProps\woodenfence_1_piece01_destruct01_lod05.rigid_model	0	woodenfence_1_piece01_destruct01
-646585592	RigidModels\Buildings\fallen_rotting_log\rock_1_dry_piece01_destruct01_lod01.rigid_model	20	rock_1_dry_piece01_destruct01
-682099230	RigidModels\city_buildings\east\out_build_01.rigid_model	1_1	city_east_building_01
-684704403	RigidModels\outfield\terrain\models\hills01_c.rigid_model	0	hills01_c
-718695577	RigidModels\WarscapeFrame\ai_hints\dead_ground.rigid_model	1_1	dead_ground_marker
-737955341	RigidModels\Buildings\fallen_rotting_log\rock_4_wet_piece01_destruct01_lod05.rigid_model	0	rock_4_wet_piece01_destruct01
-756907456	RigidModels\outfield\terrain\models\islands01_b.rigid_model	0	islands01_b
-75996179	RigidModels\WarscapeFrame\ai_hints\good_cavalry_ground.rigid_model	1_1	good_cavalry_ground_marker
-85775942	RigidModels\BattleFieldProps\wall_asia_end_lod01.rigid_model	50	Wall_Asia_End_piece01_destruct01
-871999335	RigidModels\Buildings\indian_large_fort_hq\trash_d02_lod05.rigid_model	3_3	trash_d02
-879284010	RigidModels\outfield\terrain\models\hills02_d.rigid_model	0	hills02_d
-908182292	RigidModels\city_buildings\east\out_church.rigid_model	1_1	city_east_church
-937011636	RigidModels\outfield\terrain\models\mountains_b.rigid_model	0	mountains_b
-967126278	RigidModels\Buildings\fallen_rotting_log\rock_4_wet_piece01_destruct01_lod01.rigid_model	20	rock_4_wet_piece01_destruct01
-976437891	RigidModels\city_buildings\east\out_townhall.rigid_model	1_1	city_east_townhall
1068379151	RigidModels\Buildings\fallen_rotting_log\tree_stump_and_log_piece01_destruct01_lod01.rigid_model	20	tree_stump_and_log_piece01_destruct01
1097882808	RigidModels\WarscapeFrame\ai_hints\suitable_deployable_item.rigid_model	1_1	suitable_deployable_item_fougasse_marker
1110832357	RigidModels\outfield\terrain\models\hills03_c.rigid_model	0	hills03_c
1121401649	RigidModels\city_buildings\euro\out_build_06.rigid_model	1_1	city_euro_building_06
1122425163	RigidModels\Buildings\fallen_rotting_log\large_log_dry_piece01_destruct01_lod05.rigid_model	0	large_log_dry_piece01_destruct01
1144254852	RigidModels\Buildings\indian_large_fort_hq\trash_lod05.rigid_model	3_3	trash
1166906416	RigidModels\Buildings\fallen_rotting_log\medium_log_dry_piece01_destruct01_lod01.rigid_model	20	medium_log_dry_piece01_destruct01
1191933510	RigidModels\Buildings\fallen_rotting_log\medium_log_piece01_destruct01_lod05.rigid_model	0	medium_log_piece01_destruct01
1197885825	VariantMeshes/_VariantModels/man/weapons/roman_arrow.rigid_model_v2	0	projectiles_arrow_roman
1212155438	RigidModels/Projectile/grapple.rigid_model_v2	0	grapple
1213970281	RigidModels\BattleFieldProps\wall01_End.rigid_model	0	wall_end_piece01_destruct01
1218102003	RigidModels\UI\infantry_proxy.rigid_model_v2	0	infantry_proxy
1218124901	RigidModels\BattleFieldProps\hedge_small_end_piece01_destruct01_lod01.rigid_model	1_1	hedge_small_piece01_destruct01
1218448079	RigidModels\BattleFieldProps\woodenfence_piece01_destruct01_lod05_alphatest.rigid_model	0	woodenfence_piece01_destruct01
1218714189	RigidModels/DeployableItems/Fougasse/fougasse_piece01_destruct01_lod01.rigid_model	1_3	deployable_item_fougasse
1221214798	RigidModels\UI\facing_proxy.rigid_model_v2	0	facing_arrow_proxy
1223893265	RigidModels\Buildings\fmv_cross1\fmv_cross1_piece01_destruct01_lod01.rigid_model	1_1	fmv_cross1_piece01_destruct01
1227016752	RigidModels/VerletItems/siege_prop_flagpole_piece01_destruct01_lod01.rigid_model	2_1	siege_prop_flagpole
1227785278	RigidModels\Flags\strat_selector.rigid_model_v2	0	strat_selector
1228147371	RigidModels\WarscapeFrame\ai_hints\ambush_building.rigid_model	1_1	ambush_buildings_marker
1228215573	RigidModels\WarscapeFrame\sound_emitters\river_marker.rigid_model	1_1	river_sound_emitter_marker
1229149662	RigidModels\Buildings\fallen_rotting_log\small_log_dry_piece01_destruct01_lod01.rigid_model	20	small_log_dry_piece01_destruct01
1229350318	RigidModels\3DIndicators\no_moves_ring.rigid_model	0	no_moves_ring
1229692410	RigidModels\WarscapeFrame\ai_hints\suitable_deployable_item.rigid_model	1_1	suitable_deployable_item_chevaux_de_frise_marker
1230897688	RigidModels\BattleFieldProps\woodenfence_1_piece01_destruct01_lod01.rigid_model	20	woodenfence_1_piece01_destruct01
1231151863	RigidModels\BattleFieldProps\hedge_small_1_piece01_destruct01_lod03.rigid_model	0	hedge_small_1_piece01_destruct01
1232381720	RigidModels\Buildings\fallen_rotting_log\large_log_piece01_destruct01_lod01.rigid_model	20	large_log_piece01_destruct01
1232536484	RigidModels\city_buildings\euro\out_build_01.rigid_model	1_1	city_euro_building_01
1232549753	RigidModels\Buildings\fallen_rotting_log\large_log_piece01_destruct01_lod05.rigid_model	0	large_log_piece01_destruct01
1232727827	RigidModels/DeployableItems/Fougasse/fougasse_piece01_destruct01_lod03.rigid_model	3_2	deployable_item_fougasse
1239954030	RigidModels\outfield\terrain\models\islands01_d.rigid_model	0	islands01_d
1250156130	RigidModels\BattleFieldProps\observation_balloon_alphatest.rigid_model	0	observation_balloon
1252667623	RigidModels\outfield\terrain\models\hills01_a.rigid_model	0	hills01_a
1254924588	RigidModels\Flags\ping_marker.rigid_model_v2	0	campaign_map_marker01
1257164950	RigidModels\BattleFieldProps\wall_asia_end_lod05.rigid_model	0	Wall_Asia_End_piece01_destruct01
1260977764	RigidModels\BattleFieldProps\hedge_small_1_piece01_destruct01_lod01.rigid_model	150	hedge_winter_small_1_piece01_destruct01
1289124665	RigidModels\outfield\terrain\models\plains_c.rigid_model	0	plains_c
1521317893	RigidModels\BattleFieldProps\woodenstile_piece01_destruct01_lod01.rigid_model	20	woodenstile_piece01_destruct01
1631971132	RigidModels\Buildings\fallen_rotting_log\tree_stump_and_log_dry_piece01_destruct01_lod01.rigid_model	20	tree_stump_and_log_dry_piece01_destruct01
1662702938	RigidModels\outfield\terrain\models\mountains_d.rigid_model	0	mountains_d
1668320125	RigidModels\Buildings\fallen_rotting_log\rock_4_dry_piece01_destruct01_lod05.rigid_model	0	rock_4_dry_piece01_destruct01
1669208989	RigidModels/Projectile/projectile_fragment.rigid_model_v2	0	projectile_fragment01
1702599930	RigidModels\city_buildings\east\out_build_06.rigid_model	1_1	city_east_building_06
1768418873	RigidModels\BattleFieldProps\woodenfence_2_piece01_destruct01_lod01.rigid_model	20	woodenfence_2_piece01_destruct01
1841683645	RigidModels\Flags\ping_marker.rigid_model_v2	0	campaign_map_marker02
1853037362	RigidModels\BattleFieldProps\hedge_small_2_piece01_destruct01_lod01.rigid_model	150	hedge_winter_small_2_piece01_destruct01
1854242301	RigidModels\BattleFieldProps\hedge_small_4_piece01_destruct01_lod03.rigid_model	0	hedge_small_4_piece01_destruct01
1876310215	RigidModels\city_buildings\euro\out_church.rigid_model	1_1	city_euro_church
1900824981	RigidModels\BattleFieldProps\woodengate_piece01_destruct01_lod05_alphatest.rigid_model	0	woodengate_piece01_destruct01
191064763	RigidModels\Buildings\fallen_rotting_log\rock_2_wet_piece01_destruct01_lod05.rigid_model	0	rock_2_wet_piece01_destruct01
1988083348	RigidModels\BattleFieldProps\woodengate_piece01_destruct01_lod01.rigid_model	20	woodengate_piece01_destruct01
1989664868	RigidModels\BattleFieldProps\woodenfenceend_piece01_destruct01_lod05_alphatest.rigid_model	0	woodenfenceend_piece01_destruct01
1994250172	RigidModels\BattleFieldProps\hedge_small_end_piece01_destruct01_lod01.rigid_model	1_1	hedge_winter_small_piece01_destruct01
1997581499	RigidModels\city_buildings\east\out_build_02.rigid_model	1_1	city_east_building_02
2016444074	RigidModels\WarscapeFrame\ai_hints\impassable.rigid_model	1_1	impassible_marker
203069112	RigidModels\UI\cavalry_proxy.rigid_model_v2	0	cavalry_proxy
2046232806	RigidModels\Buildings\indian_large_fort_hq\trash_lod01.rigid_model	3_1	trash
2065832692	RigidModels\outfield\terrain\models\hills03_b.rigid_model	0	hills03_b
2076834992	RigidModels\BattleFieldProps\hedge_small_4_piece01_destruct01_lod01.rigid_model	150	hedge_winter_small_4_piece01_destruct01
2093395535	RigidModels\Buildings\fallen_rotting_log\small_log_piece01_destruct01_lod05.rigid_model	0	small_log_piece01_destruct01
2124937739	RigidModels\city_buildings\euro\out_build_04.rigid_model	1_1	city_euro_building_04
212587315	RigidModels\Buildings\indian_large_fort_hq\trash_d02_lod01.rigid_model	3_1	trash_d02
2146845700	RigidModels/DeployableItems/BambooWall/BamBooWall_piece01_destruct01_lod01.rigid_model_v2	1_1	bamboowall_piece01_destruct01_lod01
2146845706	RigidModels/DeployableItems/OodateShield/OodateShield_piece01_destruct01_lod01.rigid_model_v2	1_1	oodateshield_piece01_destruct01_lod01
2146845992	RigidModels/Flags/agent_icon.rigid_model_v2	0	sho_agent_icon_ninja
2146845998	RigidModels/Flags/agent_icon.rigid_model_v2	0	sho_agent_icon_monk
2146846008	RigidModels/Flags/agent_icon.rigid_model_v2	0	sho_agent_icon_missionary
2146846010	RigidModels/Flags/agent_icon.rigid_model_v2	0	sho_agent_icon_metsuke
2146846012	RigidModels/Flags/agent_icon.rigid_model_v2	0	sho_agent_icon_geisha
2146846779	RigidModels/Flags/icon_trading.rigid_model_v2	0	icon_trading
2146846782	RigidModels/Flags/icon_raiding.rigid_model_v2	0	icon_raiding
2146846787	RigidModels/Flags/icon_can_construct.rigid_model_v2	0	icon_can_construct
2146847262	RigidModels/Flags/sho_char_general_star.rigid_model_v2	0	sho_char_general_star
2146847272	RigidModels/Flags/sho_char_flagpole.rigid_model_v2	0	sho_char_flagpole
2146852782	RigidModels\Buildings\wood_stack\wood_stack_piece01_destruct01.rigid_model_v2	1_1	wood_stack_piece01_destruct01
2146852784	RigidModels\Buildings\wood_stack\wood_stack_piece01_destruct02.rigid_model_v2	1_1	wood_stack_piece01_destruct02
2146853670	RigidModels\CampaignBuildings\SHO_Yari_4_Legendary_School\campaign_sho_yari_4_legendary_school.rigid_model_v2	0	campaign_sho_yari_4_legendary_school
2146853680	RigidModels\CampaignBuildings\SHO_Yari_3_Master_Dojo\campaign_sho_yari_3_master_dojo.rigid_model_v2	0	campaign_sho_yari_3_master_dojo
2146853685	RigidModels\CampaignBuildings\SHO_Yari_2_Naginata_Dojo\campaign_sho_yari_2_naginata_dojo.rigid_model_v2	0	campaign_sho_yari_2_naginata_dojo
2146853693	RigidModels\CampaignBuildings\SHO_Yari_1_Drill_Yard\campaign_sho_yari_1_drill_yard.rigid_model_v2	0	campaign_sho_yari_1_drill_yard
2146853699	RigidModels\CampaignBuildings\SHO_Sword_4_Legendary_Dojo\campaign_sho_sword_4_legendary_dojo.rigid_model_v2	0	campaign_sho_sword_4_legendary_dojo
2146853709	RigidModels\CampaignBuildings\SHO_Sword_3_Master_Dojo\campaign_sho_sword_3_master_dojo.rigid_model_v2	0	campaign_sho_sword_3_master_dojo
2146853718	RigidModels\CampaignBuildings\SHO_Sword_2_Nodachi\campaign_sho_sword_2_nodachi.rigid_model_v2	0	campaign_sho_sword_2_nodachi
2146853728	RigidModels\CampaignBuildings\SHO_Sword_1_Sword_School\campaign_sho_sword_1_sword_school.rigid_model_v2	0	campaign_sho_sword_1_sword_school
2146853737	RigidModels\CampaignBuildings\SHO_Stealth_4_Mizu_Shobai\campaign_sho_stealth_4_mizu_shobai.rigid_model_v2	0	campaign_sho_stealth_4_mizu_shobai
2146853747	RigidModels\CampaignBuildings\SHO_Stealth_3_Criminal_Syndicate\campaign_sho_stealth_3_criminal_syndicate.rigid_model_v2	0	campaign_sho_stealth_3_criminal_syndicate
2146853756	RigidModels\CampaignBuildings\SHO_Stealth_2_Gambling_Hall\campaign_sho_stealth_2_gambling_hall.rigid_model_v2	0	campaign_sho_stealth_2_gambling_hall
2146853762	RigidModels\CampaignBuildings\SHO_Stealth_1_Sake_Den\campaign_sho_stealth_1_sake_den.rigid_model_v2	0	campaign_sho_stealth_1_sake_den
2146853765	RigidModels\CampaignBuildings\SHO_Siege_4_Arsenal\campaign_sho_siege_4_arsenal.rigid_model_v2	0	campaign_sho_siege_4_arsenal
2146853775	RigidModels\CampaignBuildings\SHO_Siege_3_Gunsmith\campaign_sho_siege_3_gunsmith.rigid_model_v2	0	campaign_sho_siege_3_gunsmith
2146853781	RigidModels\CampaignBuildings\SHO_Siege_2_Powder_Maker\campaign_sho_siege_2_powder_maker.rigid_model_v2	0	campaign_sho_siege_2_powder_maker
2146853784	RigidModels\CampaignBuildings\SHO_Siege_1_Workshop\campaign_sho_siege_1_workshop.rigid_model_v2	0	campaign_sho_siege_1_workshop
2146854080	RigidModels\CampaignBuildings\SHO_Infrastructure_3_Imperial_Roads\campaign_sho_infrastructure_3_imperial_roads.rigid_model_v2	0	campaign_sho_infrastructure_3_imperial_roads
2146854085	RigidModels\CampaignBuildings\SHO_Infrastructure_2_Post_Stations\campaign_sho_infrastructure_2_post_stations.rigid_model_v2	0	campaign_sho_infrastructure_2_post_stations
2146854091	RigidModels\CampaignBuildings\SHO_Infrastructure_1_Roads\campaign_sho_infrastructure_1_roads.rigid_model_v2	0	campaign_sho_infrastructure_1_roads
2146854100	RigidModels\CampaignBuildings\SHO_Infrastructure_0_Trails\campaign_sho_infrastructure_0_trails.rigid_model_v2	0	campaign_sho_infrastructure_0_trails
2146854129	RigidModels\CampaignBuildings\SHO_Crafts_4_Kanabukama\campaign_sho_crafts_4_kanabukama.rigid_model_v2	0	campaign_sho_crafts_4_kanabukama
2146854134	RigidModels\CampaignBuildings\SHO_Crafts_3_Merchant_Guild\campaign_sho_crafts_3_merchant_guild.rigid_model_v2	0	campaign_sho_crafts_3_merchant_guild
2146854144	RigidModels\CampaignBuildings\SHO_Crafts_2_Rice_Exchange\campaign_sho_crafts_2_rice_exchange.rigid_model_v2	0	campaign_sho_crafts_2_rice_exchange
2146854150	RigidModels\CampaignBuildings\SHO_Crafts_1_Market\campaign_sho_crafts_1_market.rigid_model_v2	0	campaign_sho_crafts_1_market
2146854156	RigidModels\CampaignBuildings\SHO_Christian_4_Cathedral\campaign_sho_christian_4_cathedral.rigid_model_v2	0	campaign_sho_christian_4_cathedral
2146854161	RigidModels\CampaignBuildings\SHO_Christian_3_Church\campaign_sho_christian_3_church.rigid_model_v2	0	campaign_sho_christian_3_church
2146854166	RigidModels\CampaignBuildings\SHO_Christian_2_Mission\campaign_sho_christian_2_mission.rigid_model_v2	0	campaign_sho_christian_2_mission
2146854168	RigidModels\CampaignBuildings\SHO_Christian_1_Chapel\campaign_sho_christian_1_chapel.rigid_model_v2	0	campaign_sho_christian_1_chapel
2146854178	RigidModels\CampaignBuildings\SHO_Cavalry_4_Legendary_Bajutsu_Dojo\campaign_sho_cavalry_4_legendary_bajutsu_dojo.rigid_model_v2	0	campaign_sho_cavalry_4_legendary_bajutsu_dojo
2146854186	RigidModels\CampaignBuildings\SHO_Cavalry_3_Bajutsu_Master\campaign_sho_cavalry_3_bajutsu_master.rigid_model_v2	0	campaign_sho_cavalry_3_bajutsu_master
2146854191	RigidModels\CampaignBuildings\SHO_Cavalry_2_Warhorse_Stables\campaign_sho_cavalry_2_warhorse_stables.rigid_model_v2	0	campaign_sho_cavalry_2_warhorse_stables
2146854198	RigidModels\CampaignBuildings\SHO_Cavalry_1_Stables\campaign_sho_cavalry_1_stables.rigid_model_v2	0	campaign_sho_cavalry_1_stables
2146854231	RigidModels\CampaignBuildings\SHO_Buff_2_Proving_Grounds\campaign_sho_buff_2_proving_grounds.rigid_model_v2	0	campaign_sho_buff_2_proving_grounds
2146854237	RigidModels\CampaignBuildings\SHO_Buff_2_Jiujutsu_Dojo\campaign_sho_buff_2_jiujutsu_dojo.rigid_model_v2	0	campaign_sho_buff_2_jiujutsu_dojo
2146854241	RigidModels\CampaignBuildings\SHO_Buff_2_Hunting_Lodge\campaign_sho_buff_2_hunting_lodge.rigid_model_v2	0	campaign_sho_buff_2_hunting_lodge
2146854242	RigidModels\CampaignBuildings\SHO_Buff_2_Barracks\campaign_sho_buff_2_barracks.rigid_model_v2	0	campaign_sho_buff_2_barracks
2146854247	RigidModels\CampaignBuildings\SHO_Buff_2_Armoury\campaign_sho_buff_2_armoury.rigid_model_v2	0	campaign_sho_buff_2_armoury
2146854249	RigidModels\CampaignBuildings\SHO_Buff_1_Encampment\campaign_sho_buff_1_encampment.rigid_model_v2	0	campaign_sho_buff_1_encampment
2146854253	RigidModels\CampaignBuildings\SHO_Buddhist_4_Legendary_Temple\campaign_sho_buddhist_4_legendary_temple.rigid_model_v2	0	campaign_sho_buddhist_4_legendary_temple
2146854261	RigidModels\CampaignBuildings\SHO_Buddhist_3_Temple_Complex\campaign_sho_buddhist_3_temple_complex.rigid_model_v2	0	campaign_sho_buddhist_3_temple_complex
2146854269	RigidModels\CampaignBuildings\SHO_Buddhist_2_Monastery\campaign_sho_buddhist_2_monastery.rigid_model_v2	0	campaign_sho_buddhist_2_monastery
2146854273	RigidModels\CampaignBuildings\SHO_Buddhist_1_Temple\campaign_sho_buddhist_1_temple.rigid_model_v2	0	campaign_sho_buddhist_1_temple
2146854278	RigidModels\CampaignBuildings\SHO_Archery_4_Legendary_Dojo\campaign_sho_archery_4_legendary_dojo.rigid_model_v2	0	campaign_sho_archery_4_legendary_dojo
2146854285	RigidModels\CampaignBuildings\SHO_Archery_3_Bow_Master_Dojo\campaign_sho_archery_3_bow_master_dojo.rigid_model_v2	0	campaign_sho_archery_3_bow_master_dojo
2146854287	RigidModels\CampaignBuildings\SHO_Archery_2_Foot_Archery\campaign_sho_archery_2_foot_archery.rigid_model_v2	0	campaign_sho_archery_2_foot_archery
2146854294	RigidModels\CampaignBuildings\SHO_Archery_1_Archery_Dojo\campaign_sho_archery_1_archery_dojo.rigid_model_v2	0	campaign_sho_archery_1_archery_dojo
2146855403	RigidModels\Buildings\wood_pile_a\wood_pile_A_piece01_destruct01.rigid_model_v2	1_1	wood_pile_a_piece01_destruct01
2146855410	RigidModels\Buildings\wood_pile_a\wood_pile_A_piece01_destruct02.rigid_model_v2	1_1	wood_pile_a_piece01_destruct02
2146855453	RigidModels\Buildings\wood_pile_b\wood_pile_B_piece01_destruct01.rigid_model_v2	1_1	wood_pile_b_piece01_destruct01
2146855459	RigidModels\Buildings\wood_pile_b\wood_pile_B_piece01_destruct02.rigid_model_v2	1_1	wood_pile_b_piece01_destruct02
2146856341	RigidModels\Buildings\wood_stack_large\wood_stack_large_piece01_destruct01.rigid_model_v2	1_1	wood_stack_large_piece01_destruct01
2146856345	RigidModels\Buildings\wood_stack_large\wood_stack_large_piece01_destruct02.rigid_model_v2	1_1	wood_stack_large_piece01_destruct02
2146856425	RigidModels\Buildings\wood_pile_b_large\wood_pile_b_large_piece01_destruct01.rigid_model_v2	1_1	wood_pile_b_large_piece01_destruct01
2146856432	RigidModels\Buildings\wood_pile_b_large\wood_pile_b_large_piece01_destruct02.rigid_model_v2	1_1	wood_pile_b_large_piece01_destruct02
2146856455	RigidModels\Buildings\wood_pile_a_large\wood_pile_a_large_piece01_destruct01.rigid_model_v2	1_1	wood_pile_a_large_piece01_destruct01
2146856465	RigidModels\Buildings\wood_pile_a_large\wood_pile_a_large_piece01_destruct02.rigid_model_v2	1_1	wood_pile_a_large_piece01_destruct02
2146856699	RigidModels\CampaignBuildings\building_damage_smoke.rigid_model_v2	0	campaign_building_damage_smoke
2146857426	RigidModels/Projectile/projectile_Mangonel.rigid_model_v2	0	projectile_mangonel
2146857437	VariantMeshes/_VariantModels/man/weapons/torch_a.rigid_model_v2	0	projectile_torch
2146857443	RigidModels/artillery/mangonel/mangonel_destroyed_model.rigid_model_v2	0	mangonel_destruction_model
2146858289	RigidModels\Flags\agent_ID.rigid_model_v2	0	agent_ID
2146858294	RigidModels/Flags/sho_char_flag_naval.rigid_model_v2	0	sho_char_flag_navy
2146858433	RigidModels\Buildings\cinematics_camp_fire\cinematics_camp_fire_piece01_destruct01.rigid_model_v2	1_1	cinematics_camp_fire_piece01_destruct01
2146858438	RigidModels\Flags\sho_char_flag_date.rigid_model_v2	0	sho_char_flag_date
2146858443	RigidModels\Flags\sho_char_flag_generic1.rigid_model_v2	0	sho_char_flag_generic1
2146858445	RigidModels\Flags\sho_char_flag_generic2.rigid_model_v2	0	sho_char_flag_generic2
2146858447	RigidModels\Flags\sho_char_flag_hojo.rigid_model_v2	0	sho_char_flag_hojo
2146858455	RigidModels\Flags\sho_char_flag_mori.rigid_model_v2	0	sho_char_flag_mori
2146858465	RigidModels\Flags\sho_char_flag_oda.rigid_model_v2	0	sho_char_flag_oda
2146858468	RigidModels\Flags\sho_char_flag_shimazu.rigid_model_v2	0	sho_char_flag_shimazu
2146858470	RigidModels\Flags\sho_char_flag_takeda.rigid_model_v2	0	sho_char_flag_takeda
2146858475	RigidModels\Flags\sho_char_flag_tokugawa.rigid_model_v2	0	sho_char_flag_tokugawa
2146858476	RigidModels\Flags\sho_char_flag_uesugi.rigid_model_v2	0	sho_char_flag_uesugi
2146858485	RigidModels\Flags\sho_char_flag_family_decorator.rigid_model_v2	0	sho_char_flag_decorator_family
2146858488	RigidModels\Flags\sho_char_flag_daimyo_decorator.rigid_model_v2	0	sho_char_flag_decorator_faction_leader
2146858490	RigidModels\Flags\sho_char_flag_ikko_ikki.rigid_model_v2	0	sho_char_flag_ikko_ikki
2146858494	RigidModels\Flags\sho_char_flag_iga_ninja.rigid_model_v2	0	sho_char_flag_iga_ninja
2146858808	RigidModels\Flags\sho_char_flag_chosokabe.rigid_model_v2	0	sho_char_flag_chosokabe
2146858818	RigidModels\CampaignBuildings\Building_Siegeicon\icon_port_blockade.rigid_model_v2	0	campaign_building_blockade
2146858827	RigidModels\CampaignBuildings\building_construction\sho_reigion_small_construction.rigid_model_v2	0	campaign_sho_region_small_construction
