key	battle_type	coord_x	coord_y	tile_upgrade	is_unique_settlement	campaign_map
gaul_coastal_battle_1	coastal_battle	0.2030	0.2120		false	1564135533
gaul_coastal_battle_2	coastal_battle	0.6720	0.8530		false	1564135533
gaul_land_ambush_1	land_ambush	0.5840	0.4310		false	1564135533
gaul_land_ambush_2	land_ambush	0.8500	0.6180		false	1564135533
gaul_land_normal_1	land_normal	0.3830	0.3220		false	1564135533
gaul_land_normal_2	land_normal	0.6830	0.3340		false	1564135533
gaul_land_normal_3	land_normal	0.8500	0.6400		false	1564135533
gaul_land_normal_4	land_normal	0.4500	0.5640		false	1564135533
gaul_land_normal_5	land_normal	0.3250	0.6410		false	1564135533
gaul_naval_normal_1	naval_normal	0.2300	0.1260		false	1564135533
gaul_naval_normal_2	naval_normal	0.6580	0.8660		false	1564135533
gaul_river_crossing_1	land_bridge	0.5240	0.3050		false	1564135533
gaul_river_crossing_2	land_bridge	0.6280	0.5390		false	1564135533
gaul_roman_city_a	settlement_standard	0.8830	0.6270		false	1564135533
gaul_roman_minor_city_a	settlement_unfortified	0.7610	0.7110		false	1564135533
gaul_roman_minor_city_b	settlement_unfortified	0.8020	0.6440		false	1564135533
gaul_roman_minor_port_b	settlement_unfortified	0.5480	0.8630		false	1564135533
gaul_roman_minor_port_b_assault	unfortified_port	0.5480	0.8630		false	1564135533
gaul_roman_port_a	settlement_standard	0.6610	0.8550		false	1564135533
gaul_roman_port_a_assault	port_assault	0.6610	0.8550		false	1564135533
greek_athens	settlement_standard	0.4510	0.5560		true	1564135515
greek_athens_port_assault	port_assault	0.4510	0.5560		false	1564135515
greek_carthage	settlement_standard	0.2770	0.6140		true	1564135515
greek_carthage_port_assault	port_assault	0.2770	0.6140		false	1564135515
greek_city_a	settlement_standard	0.5990	0.5690		false	1564135515
greek_city_b	settlement_standard	0.4730	0.4590		false	1564135515
greek_city_c	settlement_standard	0.3880	0.4340		false	1564135515
greek_city_d	settlement_standard	0.8880	0.4610		false	1564135515
greek_minor_city_a	settlement_unfortified	0.4300	0.5720		false	1564135515
greek_minor_city_b	settlement_unfortified	0.4300	0.5250		false	1564135515
greek_minor_port_a	unfortified_port	0.0670	0.6190		false	1564135515
greek_minor_port_b	unfortified_port	0.1490	0.5550		false	1564135515
greek_port_a	settlement_standard	0.6090	0.5860		false	1564135515
greek_port_a_assault	port_assault	0.6090	0.5860		false	1564135515
greek_port_b	settlement_standard	0.4420	0.4980		false	1564135515
greek_port_b_assault	port_assault	0.4420	0.4980		false	1564135515
iska	land_normal	0.1290	0.2160		false	1564135515
land_normal_1	land_normal	0.6980	0.4810		false	1564135515
land_normal_10	land_normal	0.4150	0.4860		false	1564135515
land_normal_12	land_normal	0.1900	0.2460		false	1564135515
land_normal_2	land_normal	0.6560	0.8070		false	1564135515
land_normal_3	land_normal	0.0710	0.6890		false	1564135515
land_normal_4	land_normal	0.4190	0.3410		false	1564135515
land_normal_5	land_normal	0.2610	0.3580		false	1564135515
land_normal_6	land_normal	0.2720	0.6170		false	1564135515
land_normal_7	land_normal	0.5320	0.7120		false	1564135515
land_normal_8	land_normal	0.1290	0.5270		false	1564135515
land_normal_9	land_normal	0.4390	0.5370		false	1564135515
mausoleum_at_halicarnassus	land_normal	0.5070	0.5660		false	1564135515
medhlan	land_normal	0.2780	0.3830		false	1564135515
mons_regius	land_normal	0.4140	0.1310		false	1564135515
naval_normal_1	naval_normal	0.3180	0.6890		false	1564135515
naval_normal_2	naval_normal	0.1730	0.5710		false	1564135515
naval_normal_3	naval_normal	0.3000	0.4840		false	1564135515
naval_normal_4	naval_normal	0.5400	0.6990		false	1564135515
naval_normal_5	naval_normal	0.4060	0.5550		false	1564135515
persian_city_a	settlement_standard	0.8090	0.6960		false	1564135515
persian_city_b	settlement_standard	0.9290	0.6800		false	1564135515
persian_city_c	settlement_standard	0.7220	0.6560		false	1564135515
persian_city_d	settlement_standard	0.8220	0.6110		false	1564135515
persian_minor_city_a	settlement_unfortified	0.7980	0.7290		false	1564135515
persian_minor_port_a	unfortified_port	0.7660	0.7110		false	1564135515
persian_port_a	settlement_standard	0.7630	0.7800		false	1564135515
persian_port_a_assault	port_assault	0.7630	0.7800		false	1564135515
petrodava	land_normal	0.5000	0.3830		false	1564135515
pun_barbarian_city_a	settlement_standard	0.2180	0.5600		false	1564135537
pun_barbarian_city_b	settlement_standard	0.3040	0.3320		false	1564135537
pun_barbarian_city_c	settlement_standard	0.2880	0.3860		false	1564135537
pun_barbarian_city_d	settlement_standard	0.1860	0.3530		false	1564135537
pun_barbarian_minor_city_a	settlement_unfortified	0.1900	0.4250		false	1564135537
pun_barbarian_minor_city_b	settlement_unfortified	0.2290	0.3650		false	1564135537
pun_barbarian_minor_city_c	settlement_unfortified	0.1360	0.3240		false	1564135537
pun_barbarian_minor_port_a	settlement_unfortified	0.2610	0.3020		false	1564135537
pun_barbarian_minor_port_a_assault	unfortified_port	0.2610	0.3020		false	1564135537
pun_barbarian_minor_port_b	settlement_unfortified	0.1740	0.6330		false	1564135537
pun_barbarian_minor_port_b_assault	unfortified_port	0.1740	0.6330		false	1564135537
pun_barbarian_port_a	settlement_standard	0.0800	0.5250		false	1564135537
pun_barbarian_port_a_assault	port_assault	0.0800	0.5250		false	1564135537
pun_carthage	settlement_standard	0.6570	0.6100		true	1564135537
pun_carthage_assault	port_assault	0.6570	0.6100		true	1564135537
pun_coastal_battle_1	coastal_battle	0.6590	0.6180		false	1564135537
pun_coastal_battle_2	coastal_battle	0.4010	0.4120		false	1564135537
pun_egyptian_city_b	settlement_standard	0.5480	0.6420		false	1564135537
pun_egyptian_minor_city_a	settlement_unfortified	0.1920	0.2830		false	1564135537
pun_egyptian_minor_city_b	settlement_unfortified	0.5130	0.6500		false	1564135537
pun_egyptian_minor_city_c	settlement_unfortified	0.6040	0.7280		false	1564135537
pun_egyptian_minor_port_a	settlement_unfortified	0.1080	0.7740		false	1564135537
pun_egyptian_minor_port_a_assault	unfortified_port	0.1080	0.7740		false	1564135537
pun_egyptian_minor_port_c	settlement_unfortified	0.3130	0.6820		false	1564135537
pun_egyptian_minor_port_c_assault	unfortified_port	0.3130	0.6820		false	1564135537
pun_greek_minor_port_a	settlement_unfortified	0.3510	0.4850		false	1564135537
pun_greek_minor_port_a_assault	unfortified_port	0.3510	0.4850		false	1564135537
pun_greek_minor_port_b	settlement_unfortified	0.3920	0.5230		false	1564135537
pun_greek_minor_port_b_assault	unfortified_port	0.3920	0.5230		false	1564135537
pun_greek_port_a	settlement_standard	0.7980	0.6030		false	1564135537
pun_greek_port_a_assault	port_assault	0.7980	0.6030		false	1564135537
pun_greek_port_b	settlement_standard	0.3270	0.5820		false	1564135537
pun_greek_port_b_assault	port_assault	0.3270	0.5820		false	1564135537
pun_land_ambush_1	land_ambush	0.6160	0.4590		false	1564135537
pun_land_ambush_2	land_ambush	0.2780	0.4340		false	1564135537
pun_land_normal_1	land_normal	0.3650	0.3740		false	1564135537
pun_naval_normal_1	naval_normal	0.8060	0.5780		false	1564135537
pun_naval_normal_2	naval_normal	0.2110	0.6520		false	1564135537
pun_river_crossing_1	land_bridge	0.7480	0.3830		false	1564135537
pun_river_crossing_2	land_bridge	0.4360	0.6600		false	1564135537
pun_roman_city_b	settlement_standard	0.6980	0.3550		false	1564135537
pun_roman_city_c	settlement_standard	0.7590	0.3620		false	1564135537
pun_roman_minor_city_a	settlement_unfortified	0.6590	0.2830		false	1564135537
pun_roman_minor_city_b	settlement_unfortified	0.7680	0.4190		false	1564135537
pun_roman_minor_city_c	settlement_unfortified	0.7250	0.3310		false	1564135537
pun_roman_minor_port_a	settlement_unfortified	0.6320	0.3710		false	1564135537
pun_roman_minor_port_a_assault	unfortified_port	0.6320	0.3710		false	1564135537
pun_roman_minor_port_b	settlement_unfortified	0.6350	0.4250		false	1564135537
pun_roman_minor_port_b_assault	unfortified_port	0.6350	0.4250		false	1564135537
pun_roman_port_a	settlement_standard	0.8570	0.4470		false	1564135537
pun_roman_port_a_assault	port_assault	0.8570	0.4470		false	1564135537
pun_roman_port_b	settlement_standard	0.6250	0.5070		false	1564135537
pun_roman_port_b_assault	port_assault	0.6250	0.5070		false	1564135537
pun_rome	settlement_standard	0.7180	0.3740		true	1564135537
pyramids	land_normal	0.5300	0.7470		false	1564135515
rhougion	land_normal	0.3350	0.1880		false	1564135515
river_crossing_1	land_bridge	0.1890	0.3010		false	1564135515
river_crossing_2	land_bridge	0.4400	0.4910		false	1564135515
river_crossing_3	land_bridge	0.3020	0.3980		false	1564135515
river_crossing_4	land_bridge	0.4060	0.3340		false	1564135515
river_crossing_5	land_bridge	0.6730	0.6230		false	1564135515
roman_city_a	settlement_standard	0.3410	0.2610		false	1564135515
roman_city_b	settlement_standard	0.3370	0.2210		false	1564135515
roman_city_c	settlement_standard	0.4480	0.3630		false	1564135515
roman_city_rome400bc_a	settlement_standard	0.4670	0.4970		false	1564135551
roman_city_rome400bc_b	settlement_standard	0.4810	0.4820		false	1564135551
roman_minor_city_a	settlement_unfortified	0.3440	0.5410		false	1564135515
roman_minor_city_b	settlement_unfortified	0.2950	0.4370		false	1564135515
roman_minor_city_c	settlement_unfortified	0.3060	0.3900		false	1564135515
roman_minor_port_a	unfortified_port	0.2640	0.4150		false	1564135515
roman_minor_port_b	unfortified_port	0.3210	0.4980		false	1564135515
roman_port_a	settlement_standard	0.3670	0.5080		false	1564135515
roman_port_a_assault	port_assault	0.3670	0.5080		false	1564135515
roman_port_b	settlement_standard	0.2220	0.4530		false	1564135515
roman_port_b_assault	port_assault	0.2220	0.4530		false	1564135515
roman_rome	settlement_standard	0.3080	0.4740		true	1564135515
seleucia	land_normal	0.6990	0.6380		false	1564135515
statue_of_zeus_at_olympia	land_normal	0.4220	0.5660		false	1564135515
stonehenge	land_normal	0.1370	0.2370		false	1564135515
teutoberg_forest	land_ambush	0.2660	0.1960		false	1564135515
tur	land_normal	0.5030	0.2600		false	1564135515
uburzis	land_normal	0.2750	0.2750		false	1564135515
