key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	crawl_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	fire_arc_loose	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	tracking_threshold	min_turning_speed	display_model_offset_z
barbarian_transport	ship	1.5000	1.5000	0.1500	0.8000	3.1000	1.5000	75.6000	75.6000	75.6000	16.0000	capsule	0.2600	75600.0000	3.0000	360.0000	360.0000	5.0000	390	true	true	1.1000	0.0000	0.0000
barbarian_transport_small	ship	1.7500	1.7500	0.1500	0.9000	3.1000	1.7500	57.4000	57.4000	57.4000	12.0000	capsule	0.2800	57400.0000	3.5000	360.0000	360.0000	8.0000	303	true	true	1.1000	0.0000	0.0000
battering_ram	artillery	1.7000	1.8000	1.0000	3.0000	1.8000	0.7000	30.0000	20.0000	20.0000	4.5000	capsule	0.5000	2000.0000	8.0000	0.0000	0.0000	5.0000	150	true	true	1.4500	1.2000	0.0000
battering_ram_dylan	artillery	1.5000	2.8000	2.0000	4.0000	4.0000	0.7000	30.0000	20.0000	20.0000	4.5000	capsule	0.5000	2000.0000	8.0000	0.0000	0.0000	9.0000	150	true	true	1.4500	1.2000	0.0000
egyptian_eight	ship	3.9000	3.9000	0.7000	1.9000	4.7000	3.9000	116.8000	116.8000	116.8000	24.5000	capsule	0.2500	116800.0000	4.0000	360.0000	360.0000	7.0000	2051	true	true	1.1000	0.5000	0.0000
egyptian_five	ship	5.6000	5.6000	0.8000	2.8000	6.8000	5.6000	90.0000	90.0000	90.0000	19.0000	capsule	0.2400	90000.0000	4.0000	360.0000	360.0000	11.0000	1020	true	true	1.1000	0.5000	0.0000
egyptian_five_art	ship	5.6000	5.6000	0.8000	2.8000	6.8000	5.6000	90.0000	90.0000	90.0000	19.0000	capsule	0.2400	90000.0000	4.0000	30.0000	30.0000	11.0000	1020	true	true	1.1000	0.5000	0.0000
egyptian_one_halfer	ship	6.6000	6.6000	1.1000	3.3000	7.9000	6.6000	54.4000	54.4000	54.4000	10.7500	capsule	0.2800	54400.0000	3.0000	360.0000	360.0000	14.0000	402	true	true	1.1000	0.5000	0.0000
egyptian_six	ship	4.8000	4.8000	0.7000	2.4000	5.7000	4.8000	95.4000	95.4000	95.4000	20.0000	capsule	0.2600	95400.0000	3.5000	360.0000	360.0000	8.0000	1206	true	true	1.1000	0.5000	0.0000
egyptian_three	ship	6.1000	6.1000	1.2000	3.1000	7.4000	6.1000	70.0000	70.0000	70.0000	14.0000	capsule	0.2350	70000.0000	3.5000	360.0000	360.0000	12.0000	693	true	true	1.1000	0.5000	0.0000
egyptian_transport	ship	3.0000	3.0000	0.4000	1.9000	3.5000	3.8000	90.0000	90.0000	90.0000	19.0000	capsule	0.2400	90000.0000	4.0000	360.0000	360.0000	11.0000	359	true	true	1.1000	0.5000	0.0000
egyptian_transport_small	ship	3.0000	3.0000	0.4000	2.0000	3.5000	4.0000	60.0000	60.0000	60.0000	12.0000	capsule	0.2800	60000.0000	3.5000	360.0000	360.0000	14.0000	216	true	true	1.1000	0.5000	0.0000
egyptian_two	ship	6.3000	6.3000	1.1000	3.1000	7.5000	6.3000	60.0000	60.0000	60.0000	12.0000	capsule	0.2800	60000.0000	3.5000	360.0000	360.0000	14.0000	501	true	true	1.1000	0.5000	0.0000
egyptian_two_halfer	ship	7.1000	7.1000	1.2000	3.5000	8.5000	7.1000	63.0000	63.0000	63.0000	15.0000	capsule	0.2250	63000.0000	3.7500	360.0000	360.0000	13.0000	585	true	true	1.1000	0.5000	0.0000
elephant	elephant	1.4000	5.5000	3.0000	4.0000	7.5000	1.0000	40.0000	30.0000	30.0000	2.7500	ellipse	0.5000	3100.0000	3.5000	178.0000	178.0000	30.0000	850	true	true	1.4500	2.5000	0.0000
greek_five	ship	5.0000	5.0000	0.8000	2.8000	6.8000	5.0000	90.0000	90.0000	90.0000	19.0000	capsule	0.2400	90000.0000	4.0000	360.0000	360.0000	11.0000	1020	true	true	1.1000	0.5000	0.0000
greek_five_art	ship	5.0000	5.0000	0.8000	2.8000	6.8000	5.0000	90.0000	90.0000	90.0000	19.0000	capsule	0.2400	90000.0000	4.0000	30.0000	30.0000	11.0000	1020	true	true	1.1000	0.5000	0.0000
greek_four	ship	5.2000	5.2000	1.2000	2.9000	6.9000	5.2000	80.8000	80.8000	80.8000	16.5000	capsule	0.2250	80800.0000	3.0000	360.0000	360.0000	12.0000	825	true	true	1.1000	0.5000	0.0000
greek_one_halfer	ship	6.0000	6.0000	1.1000	3.3000	7.9000	6.0000	54.4000	54.4000	54.4000	10.7500	capsule	0.2800	54400.0000	3.0000	360.0000	360.0000	14.0000	402	true	true	1.1000	0.5000	0.0000
greek_seven	ship	4.2000	4.2000	0.7000	2.2000	5.4000	4.2000	107.2000	107.2000	107.2000	23.0000	capsule	0.2250	107200.0000	4.0000	360.0000	360.0000	8.0000	1617	true	true	1.1000	0.5000	0.0000
greek_six	ship	4.5000	4.5000	0.7000	2.4000	5.7000	4.5000	95.4000	95.4000	95.4000	20.0000	capsule	0.2600	95400.0000	3.5000	360.0000	360.0000	8.0000	1046	true	true	1.1000	0.5000	0.0000
greek_three	ship	5.5000	5.5000	1.2000	3.1000	7.4000	5.5000	70.0000	70.0000	70.0000	14.0000	capsule	0.2350	70000.0000	3.5000	360.0000	360.0000	12.0000	693	true	true	1.1000	0.5000	0.0000
greek_transport	ship	3.0000	3.0000	0.4000	1.9000	3.5000	3.0000	90.0000	90.0000	90.0000	19.0000	capsule	0.2400	90000.0000	4.0000	360.0000	360.0000	11.0000	359	true	true	1.1000	0.5000	0.0000
greek_transport_small	ship	3.0000	3.0000	0.4000	2.0000	3.5000	3.5000	60.0000	60.0000	60.0000	12.0000	capsule	0.2800	60000.0000	3.5000	360.0000	360.0000	14.0000	216	true	true	1.1000	0.5000	0.0000
greek_two	ship	5.7000	5.7000	1.1000	3.1000	7.5000	5.7000	60.0000	60.0000	60.0000	12.0000	capsule	0.2800	60000.0000	3.5000	360.0000	360.0000	14.0000	501	true	true	1.1000	0.5000	0.0000
greek_two_halfer	ship	6.2000	6.2000	1.2000	3.5000	8.5000	6.2000	63.0000	63.0000	63.0000	15.0000	capsule	0.2250	63000.0000	3.7500	360.0000	360.0000	13.0000	585	true	true	1.1000	0.5000	0.0000
gun_train_2_horse	gun_train_2	1.8000	1.8000	2.0000	2.0000	5.8500	1.0000	20.0000	20.0000	20.0000	2.0000	dynamic_ellipse	0.2500	700.0000	2.3000	30.0000	45.0000	45.0000	50	true	true	1.4500	0.0000	0.0000
gun_train_6_horse	gun_train_6	2.7000	9.0000	1.5000	1.5000	5.2200	1.0000	20.0000	20.0000	20.0000	2.0000	dynamic_ellipse	0.2500	900.0000	2.5000	30.0000	45.0000	45.0000	50	true	true	1.4500	0.0000	0.0000
indian_armoured_elephant	elephant	1.4000	5.5000	3.0000	4.0000	7.5000	1.0000	40.0000	30.0000	30.0000	2.7500	ellipse	0.5000	3350.0000	3.5000	178.0000	178.0000	30.0000	1150	true	true	1.4500	2.5000	0.0000
indian_elephant	elephant	1.4000	5.5000	3.0000	4.0000	7.5000	1.0000	40.0000	30.0000	30.0000	2.7500	ellipse	0.5000	3100.0000	3.5000	178.0000	178.0000	30.0000	950	true	true	1.4500	2.5000	0.0000
korinthos_three	ship	5.5000	5.5000	1.2000	3.1000	8.0000	5.5000	70.0000	70.0000	70.0000	14.0000	capsule	0.2350	70000.0000	3.5000	360.0000	360.0000	12.0000	693	true	true	1.1000	0.5000	0.0000
persian_five	ship	5.0000	5.0000	0.8000	2.8000	6.8000	5.0000	90.0000	90.0000	90.0000	19.0000	capsule	0.2400	90000.0000	4.0000	360.0000	360.0000	11.0000	1090	true	true	1.1000	0.5000	0.0000
persian_five_art	ship	5.0000	5.0000	0.8000	2.8000	6.8000	5.0000	90.0000	90.0000	90.0000	19.0000	capsule	0.2400	90000.0000	4.0000	30.0000	30.0000	11.0000	1090	true	true	1.1000	0.5000	0.0000
persian_four	ship	5.2000	5.2000	1.2000	2.9000	6.9000	5.2000	80.8000	80.8000	80.8000	16.5000	capsule	0.2250	80800.0000	3.0000	360.0000	360.0000	12.0000	890	true	true	1.1000	0.5000	0.0000
persian_one_halfer	ship	6.0000	6.0000	1.1000	3.3000	7.9000	6.0000	54.4000	54.4000	54.4000	10.7500	capsule	0.2800	54400.0000	3.0000	360.0000	360.0000	14.0000	467	true	true	1.1000	0.5000	0.0000
persian_six	ship	4.2000	4.2000	0.7000	2.4000	5.7000	4.2000	95.4000	95.4000	95.4000	20.0000	capsule	0.2600	95400.0000	3.5000	360.0000	360.0000	8.0000	1281	true	true	1.1000	0.5000	0.0000
persian_three	ship	5.5000	5.5000	1.2000	3.1000	7.4000	5.5000	70.0000	70.0000	70.0000	14.0000	capsule	0.2350	70000.0000	3.5000	360.0000	360.0000	12.0000	758	true	true	1.1000	0.5000	0.0000
persian_transport	ship	3.0000	3.0000	0.4000	1.9000	3.5000	3.0000	90.0000	90.0000	90.0000	19.0000	capsule	0.2400	90000.0000	4.0000	360.0000	360.0000	11.0000	379	true	true	1.1000	0.5000	0.0000
persian_transport_small	ship	3.0000	3.0000	0.4000	2.0000	3.5000	3.5000	60.0000	60.0000	60.0000	12.0000	capsule	0.2800	60000.0000	3.5000	360.0000	360.0000	14.0000	236	true	true	1.1000	0.5000	0.0000
persian_two	ship	5.7000	5.7000	1.1000	3.1000	7.5000	5.7000	60.0000	60.0000	60.0000	12.0000	capsule	0.2800	60000.0000	3.5000	360.0000	360.0000	14.0000	566	true	true	1.1000	0.5000	0.0000
persian_two_halfer	ship	6.2000	6.2000	1.2000	3.5000	8.5000	6.2000	63.0000	63.0000	63.0000	15.0000	capsule	0.2250	63000.0000	3.7500	360.0000	360.0000	13.0000	650	true	true	1.1000	0.5000	0.0000
roman_five	ship	5.0000	5.0000	0.8000	2.8000	6.8000	5.0000	90.0000	90.0000	90.0000	19.0000	capsule	0.2400	90000.0000	4.0000	360.0000	360.0000	11.0000	1020	true	true	1.1000	0.5000	0.0000
roman_five_art	ship	5.0000	5.0000	0.8000	2.8000	6.8000	5.0000	90.0000	90.0000	90.0000	19.0000	capsule	0.2400	90000.0000	4.0000	30.0000	30.0000	11.0000	1020	true	true	1.1000	0.5000	0.0000
roman_four	ship	5.2000	5.2000	1.2000	2.9000	6.9000	5.2000	80.8000	80.8000	80.8000	16.5000	capsule	0.2250	80800.0000	3.0000	360.0000	360.0000	12.0000	825	true	true	1.1000	0.5000	0.0000
roman_harpax_six	ship	4.0000	4.0000	0.7000	2.4000	5.7000	4.0000	95.4000	95.4000	95.4000	20.0000	capsule	0.2600	95400.0000	3.0000	360.0000	360.0000	8.0000	1206	true	true	1.1000	0.5000	0.0000
roman_one_halfer	ship	6.0000	6.0000	1.1000	3.3000	7.9000	6.0000	54.4000	54.4000	54.4000	10.7500	capsule	0.2800	54400.0000	3.5000	360.0000	360.0000	14.0000	402	true	true	1.1000	0.5000	0.0000
roman_six	ship	4.2000	4.2000	0.7000	2.4000	5.7000	4.2000	95.4000	95.4000	95.4000	20.0000	capsule	0.2600	95400.0000	3.0000	360.0000	360.0000	8.0000	1206	true	true	1.1000	0.5000	0.0000
roman_three	ship	5.5000	5.5000	1.2000	3.1000	7.4000	5.5000	70.0000	70.0000	70.0000	14.0000	capsule	0.2350	70000.0000	3.5000	360.0000	360.0000	12.0000	693	true	true	1.1000	0.5000	0.0000
roman_transport	ship	3.0000	3.0000	0.4000	1.9000	3.5000	3.0000	90.0000	90.0000	90.0000	19.0000	capsule	0.2400	90000.0000	4.0000	360.0000	360.0000	11.0000	359	true	true	1.1000	0.5000	0.0000
roman_transport_small	ship	3.0000	3.0000	0.4000	2.0000	3.5000	3.5000	60.0000	60.0000	60.0000	12.0000	capsule	0.2800	60000.0000	3.5000	360.0000	360.0000	14.0000	216	true	true	1.1000	0.5000	0.0000
roman_two	ship	5.6000	5.6000	1.1000	3.1000	7.5000	5.6000	60.0000	60.0000	60.0000	12.0000	capsule	0.2800	60000.0000	3.5000	360.0000	360.0000	14.0000	501	true	true	1.1000	0.5000	0.0000
roman_two_halfer	ship	6.2000	6.2000	1.2000	3.5000	8.5000	6.2000	63.0000	63.0000	63.0000	15.0000	capsule	0.2250	63000.0000	3.7500	360.0000	360.0000	13.0000	585	true	true	1.1000	0.5000	0.0000
rome_animal_boar	fauna_boar	1.7500	4.0000	4.0000	6.0000	9.0000	1.0000	40.0000	30.0000	30.0000	1.3000	ellipse	0.3500	90.0000	1.0000	90.0000	90.0000	80.0000	30	true	true	1.4500	0.0000	0.0000
rome_animal_molossian_dog	fauna_dog	2.6000	8.0000	4.0000	6.0000	10.0000	1.0000	40.0000	30.0000	30.0000	0.9000	ellipse	0.3500	40.0000	1.0000	90.0000	90.0000	80.0000	20	true	true	1.4500	0.0000	0.0000
rome_animal_wardog	fauna_dog	2.6000	9.0000	4.0000	6.0000	12.5000	1.0000	40.0000	30.0000	30.0000	0.9000	ellipse	0.3500	40.0000	1.0000	90.0000	90.0000	80.0000	20	true	true	1.4500	0.0000	0.0000
rome_camel	camel	1.8500	7.2500	3.5000	6.0000	12.0000	3.0000	45.0000	35.0000	35.0000	1.3000	ellipse	0.3500	450.0000	1.8000	90.0000	90.0000	60.0000	40	true	true	1.4500	2.5000	0.0000
rome_camel_cataphract	camel	1.6500	6.5000	3.5000	6.0000	11.0000	3.0000	45.0000	40.0000	40.0000	1.3000	ellipse	0.3500	750.0000	1.8000	90.0000	90.0000	60.0000	55	true	true	1.4500	2.5000	0.0000
rome_chariot_celtic	artillery	1.7000	8.0000	4.0000	6.0000	10.0000	3.0000	40.0000	30.0000	30.0000	2.3000	ellipse	0.3000	1500.0000	2.0000	360.0000	360.0000	80.0000	150	true	true	1.4500	1.0000	-1.5000
rome_chariot_generic	artillery	2.2000	7.5000	4.0000	6.0000	11.0000	3.0000	40.0000	30.0000	30.0000	2.3000	ellipse	0.3500	2000.0000	2.0000	360.0000	360.0000	80.0000	200	true	true	1.4500	1.0000	-1.4000
rome_chariot_scythed	artillery	1.6500	7.0000	4.0000	6.0000	10.0000	3.0000	40.0000	30.0000	30.0000	2.3000	ellipse	0.7000	2500.0000	2.0000	360.0000	360.0000	80.0000	250	true	true	1.4500	1.0000	-1.8000
rome_horse_heavy	horse	1.5000	8.0000	4.0000	6.0000	11.0000	3.0000	45.0000	35.0000	35.0000	1.3000	ellipse	0.3500	600.0000	1.8000	90.0000	90.0000	60.0000	35	true	true	1.4500	2.4000	0.0000
rome_horse_heavy_missile	horse	1.5000	8.0000	4.0000	6.0000	11.0000	3.0000	45.0000	35.0000	35.0000	1.3000	ellipse	0.3500	600.0000	1.8000	90.0000	90.0000	60.0000	30	true	true	1.4500	2.4000	0.0000
rome_horse_heavy_shock	horse	1.5000	8.0000	4.0000	6.0000	11.0000	3.0000	45.0000	35.0000	35.0000	1.3000	ellipse	0.3500	700.0000	1.8000	90.0000	90.0000	60.0000	30	true	true	1.4500	2.4000	0.0000
rome_horse_light	horse	1.8000	10.0000	6.0000	6.0000	12.0000	3.0000	45.0000	35.0000	35.0000	1.3000	ellipse	0.3500	200.0000	1.8000	90.0000	90.0000	60.0000	25	true	true	1.4500	2.6000	0.0000
rome_horse_light_missile	horse	1.8000	9.0000	6.0000	6.0000	12.0000	3.0000	45.0000	35.0000	35.0000	1.3000	ellipse	0.3500	200.0000	1.8000	90.0000	90.0000	60.0000	20	true	true	1.4500	2.6000	0.0000
rome_horse_light_shock	horse	1.8000	10.0000	6.0000	6.0000	12.0000	3.0000	45.0000	35.0000	35.0000	1.3000	ellipse	0.3500	300.0000	1.8000	90.0000	90.0000	60.0000	20	true	true	1.4500	2.6000	0.0000
rome_horse_medium	horse	1.6500	9.0000	4.5000	6.0000	11.0000	3.0000	45.0000	35.0000	35.0000	1.3000	ellipse	0.3500	400.0000	1.8000	90.0000	90.0000	60.0000	25	true	true	1.4500	2.5000	0.0000
rome_horse_medium_missile	horse	1.6500	9.0000	4.5000	6.0000	11.0000	3.0000	45.0000	35.0000	35.0000	1.3000	ellipse	0.3500	400.0000	1.8000	90.0000	90.0000	60.0000	20	true	true	1.4500	2.5000	0.0000
rome_horse_medium_shock	horse	1.6500	9.0000	4.5000	6.0000	11.0000	3.0000	45.0000	35.0000	35.0000	1.3000	ellipse	0.3500	500.0000	1.8000	90.0000	90.0000	60.0000	20	true	true	1.4500	2.5000	0.0000
rome_horse_numidian_heavy	horse	1.7000	8.5000	4.0000	6.0000	11.0000	3.0000	45.0000	35.0000	35.0000	1.3000	ellipse	0.3500	600.0000	1.8000	90.0000	90.0000	60.0000	35	true	true	1.4500	2.4000	0.0000
rome_horse_numidian_heavy_shock	horse	1.7000	8.5000	4.0000	6.0000	11.0000	3.0000	45.0000	35.0000	35.0000	1.3000	ellipse	0.3500	700.0000	1.8000	90.0000	90.0000	60.0000	35	true	true	1.4500	2.4000	0.0000
rome_horse_numidian_light	horse	2.0000	12.5000	6.0000	6.0000	13.0000	3.0000	45.0000	35.0000	35.0000	1.3000	ellipse	0.3500	150.0000	1.8000	90.0000	90.0000	60.0000	20	true	true	1.4500	2.7000	0.0000
rome_horse_numidian_medium	horse	1.8000	10.0000	5.0000	6.0000	11.0000	3.0000	45.0000	35.0000	35.0000	1.3000	ellipse	0.3500	400.0000	1.8000	90.0000	90.0000	60.0000	25	true	true	1.4500	2.5000	0.0000
rome_horse_numidian_medium_shock	horse	1.8000	10.0000	5.0000	6.0000	11.0000	3.0000	45.0000	35.0000	35.0000	1.3000	ellipse	0.3500	500.0000	1.8000	90.0000	90.0000	60.0000	25	true	true	1.4500	2.5000	0.0000
rome_horse_super_heavy	horse	1.2000	6.0000	2.0000	6.0000	10.0000	3.0000	50.0000	42.0000	42.0000	1.3000	ellipse	0.3500	1100.0000	1.8000	90.0000	90.0000	30.0000	55	true	true	1.4500	2.3000	0.0000
rome_horse_venetian_heavy	horse	2.0000	10.0000	4.0000	6.0000	11.0000	3.0000	55.0000	35.0000	35.0000	1.3000	ellipse	0.3500	600.0000	1.8000	90.0000	90.0000	60.0000	65	true	true	1.4500	2.7000	0.0000
rome_horse_venetian_light	horse	2.2000	14.0000	7.0000	7.0000	15.0000	3.0000	55.0000	35.0000	35.0000	1.3000	ellipse	0.3500	150.0000	1.8000	90.0000	90.0000	60.0000	40	true	true	1.4500	2.7000	0.0000
rome_horse_very_heavy	horse	1.3500	7.0000	3.0000	6.0000	11.0000	3.0000	50.0000	42.0000	42.0000	1.3000	ellipse	0.3500	700.0000	1.8000	90.0000	90.0000	60.0000	40	true	true	1.4500	2.2000	0.0000
rome_horse_very_heavy_missile	horse	1.3500	7.0000	3.0000	6.0000	11.0000	3.0000	50.0000	42.0000	42.0000	1.3000	ellipse	0.3500	700.0000	1.8000	90.0000	90.0000	60.0000	35	true	true	1.4500	2.2000	0.0000
rome_horse_very_heavy_shock	horse	1.3500	7.0000	3.0000	6.0000	11.0000	3.0000	50.0000	42.0000	42.0000	1.3000	ellipse	0.3500	800.0000	1.8000	90.0000	90.0000	60.0000	35	true	true	1.4500	2.2000	0.0000
rome_horse_very_light	horse	1.9500	12.0000	6.0000	6.0000	12.0000	3.0000	45.0000	35.0000	35.0000	1.3000	ellipse	0.3500	150.0000	1.8000	90.0000	90.0000	60.0000	20	true	true	1.4500	2.7000	0.0000
rome_horse_very_light_missile	horse	1.9500	10.0000	6.0000	6.0000	12.0000	3.0000	45.0000	35.0000	35.0000	1.3000	ellipse	0.3500	150.0000	1.8000	90.0000	90.0000	60.0000	20	true	true	1.4500	2.7000	0.0000
rome_horse_very_light_shock	horse	1.9500	12.0000	6.0000	6.0000	12.0000	3.0000	45.0000	35.0000	35.0000	1.3000	ellipse	0.3500	250.0000	1.8000	90.0000	90.0000	60.0000	20	true	true	1.4500	2.7000	0.0000
rome_infantry_berserker	man	1.4000	3.2000	2.0000	3.0000	4.5000	0.8000	40.0000	35.0000	35.0000	0.4000	circle	1.0000	130.0000	1.7000	120.0000	120.0000	90.0000	60	true	true	1.4500	0.0000	0.0000
rome_infantry_heavy	man	1.2000	3.0000	2.0000	3.0000	4.0000	0.8000	35.0000	35.0000	35.0000	0.4000	circle	1.0000	130.0000	1.7000	120.0000	120.0000	90.0000	40	true	true	1.4500	0.0000	0.0000
rome_infantry_heavy_fast	man	1.4000	3.2000	2.0000	3.0000	4.5000	0.8000	35.0000	35.0000	35.0000	0.4000	circle	1.0000	130.0000	1.7000	120.0000	120.0000	120.0000	40	true	true	1.4500	0.0000	0.0000
rome_infantry_heavy_pike	man	1.2000	3.2000	2.0000	3.0000	4.0000	0.8000	35.0000	35.0000	35.0000	0.3500	circle	1.0000	130.0000	1.7000	120.0000	120.0000	90.0000	40	true	true	1.4500	0.0000	0.0000
rome_infantry_hoplite	man	1.2000	2.8000	2.0000	3.0000	3.5000	0.8000	35.0000	35.0000	35.0000	0.4000	circle	1.0000	160.0000	1.7000	120.0000	120.0000	90.0000	45	true	true	1.4500	0.0000	0.0000
rome_infantry_light	man	1.8000	3.6000	2.0000	3.0000	5.0000	0.8000	35.0000	35.0000	35.0000	0.4000	circle	1.0000	70.0000	1.7000	120.0000	120.0000	90.0000	40	true	true	1.4500	0.0000	0.0000
rome_infantry_light_fast	man	2.0000	3.8000	2.0000	3.0000	5.5000	0.8000	35.0000	35.0000	35.0000	0.4000	circle	1.0000	70.0000	1.7000	120.0000	120.0000	120.0000	40	true	true	1.4500	0.0000	0.0000
rome_infantry_light_fast_barb	man	2.0000	3.8000	2.0000	3.0000	5.5000	0.8000	35.0000	35.0000	35.0000	0.4000	circle	1.0000	100.0000	1.7000	120.0000	120.0000	120.0000	45	true	true	1.4500	0.0000	0.0000
rome_infantry_medium	man	1.4000	3.2000	2.0000	3.0000	4.5000	0.8000	35.0000	35.0000	35.0000	0.4000	circle	1.0000	100.0000	1.7000	120.0000	120.0000	90.0000	40	true	true	1.4500	0.0000	0.0000
rome_infantry_medium_fast	man	1.6000	3.4000	2.0000	3.0000	5.0000	0.8000	35.0000	35.0000	35.0000	0.4000	circle	1.0000	100.0000	1.7000	120.0000	120.0000	120.0000	40	true	true	1.4500	0.0000	0.0000
