campaign	id	region	slot_template	slot_type
main_3c	11659	emp_narbonensis_narbo	minor_primary	primary
main_3c	11665	emp_narbonensis_massilia	port	port
main_3c	11673	emp_narbonensis_massilia	3c_major_navalbuff	secondary
main_3c	11678	emp_narbonensis_massilia	major_primary	primary
main_3c	11686	emp_nabataea_petra	3c_major_navalbuff	secondary
main_3c	11693	emp_nabataea_petra	major_primary	primary
main_3c	11694	emp_nabataea_hegra	minor_secondary	secondary
main_3c	11695	emp_nabataea_hegra	minor_primary	primary
main_rome	1169	rom_belgica_arduenna_silva	minor_secondary	secondary
main_3c	11703	emp_nabataea_charmuthas	port	port
main_3c	11709	emp_nabataea_charmuthas	minor_secondary	secondary
main_3c	11711	emp_nabataea_charmuthas	minor_primary	primary
main_3c	11719	emp_mesopotamia_hatra	minor_secondary	secondary
main_rome	1171	rom_corsica_et_sardinia_corsica	minor_primary	primary
main_3c	11727	emp_mesopotamia_hatra	minor_primary	primary
main_3c	11729	emp_mesopotamia_edessa	minor_secondary	secondary
main_rome	1172	rom_corsica_et_sardinia_corsica	port	port
main_3c	11732	emp_mesopotamia_edessa	minor_primary	primary
main_3c	11740	emp_mesopotamia_ctesiphon	3c_major_navalbuff	secondary
main_3c	11743	emp_mesopotamia_ctesiphon	major_primary	primary
main_3c	11744	emp_mesopotamia_charax	port	port
main_3c	11745	emp_mesopotamia_charax	minor_secondary	secondary
main_3c	11746	emp_mesopotamia_charax	minor_primary	primary
main_3c	11747	emp_media_magna_phraaspa	minor_secondary	secondary
main_3c	11750	emp_media_magna_phraaspa	minor_primary	primary
main_3c	11752	emp_media_magna_gazaca	minor_secondary	secondary
main_3c	11756	emp_media_magna_gazaca	minor_primary	primary
main_3c	11757	emp_media_magna_ekbatana	major_secondary	secondary
main_rome	1175	rom_corsica_et_sardinia_corsica	minor_secondary	secondary
main_3c	11761	emp_media_magna_ekbatana	major_primary	primary
main_3c	11771	emp_media_magna_arsakia	minor_secondary	secondary
main_3c	11774	emp_media_magna_arsakia	minor_primary	primary
main_3c	11775	emp_mauretania_tingis	port	port
main_3c	11778	emp_mauretania_tingis	3c_major_navalbuff	secondary
main_3c	11784	emp_mauretania_tingis	major_primary	primary
main_3c	11785	emp_mauretania_siga	port	port
main_rome	1178	rom_corsica_et_sardinia_sardinia	major_primary	primary
main_3c	11793	emp_mauretania_siga	minor_secondary	secondary
main_3c	11795	emp_mauretania_siga	minor_primary	primary
main_3c	11804	emp_mauretania_rutubis	port	port
main_3c	11806	emp_mauretania_rutubis	minor_secondary	secondary
main_3c	11813	emp_mauretania_rutubis	minor_primary	primary
main_3c	11816	emp_magna_germania_tulifurdum	3c_major_navalbuff	secondary
main_3c	11822	emp_magna_germania_tulifurdum	major_primary	primary
main_3c	11828	emp_magna_germania_treva	minor_secondary	secondary
main_3c	11831	emp_magna_germania_treva	minor_primary	primary
main_3c	11837	emp_magna_germania_flevium	port	port
main_3c	11846	emp_magna_germania_flevium	minor_secondary	secondary
main_3c	11855	emp_magna_germania_flevium	minor_primary	primary
main_3c	11858	emp_macedonia_thessalonica	port	port
main_3c	11868	emp_macedonia_thessalonica	3c_major_navalbuff	secondary
main_rome	1186	rom_corsica_et_sardinia_sardinia	port	port
main_3c	11875	emp_macedonia_thessalonica	major_primary	primary
main_3c	11882	emp_macedonia_pharsalus	minor_secondary	secondary
main_3c	11889	emp_macedonia_pharsalus	minor_primary	primary
main_3c	11897	emp_macedonia_apollonia	port	port
main_rome	118	rom_cisalpina_venetia	minor_primary	primary
main_3c	11902	emp_macedonia_apollonia	minor_secondary	secondary
main_3c	11912	emp_macedonia_apollonia	minor_primary	primary
main_3c	11914	emp_lusitania_olisipo	port	port
main_3c	11916	emp_lusitania_olisipo	3c_major_navalbuff	secondary
main_3c	11924	emp_lusitania_olisipo	major_primary	primary
main_3c	11934	emp_lusitania_ebora	minor_secondary	secondary
main_3c	11938	emp_lusitania_ebora	minor_primary	primary
main_rome	1193	rom_corsica_et_sardinia_sardinia	major_secondary	secondary
main_3c	11941	emp_lugii_oblin	minor_secondary	secondary
main_3c	11944	emp_lugii_oblin	minor_primary	primary
main_3c	11949	emp_lugii_grinev	minor_secondary	secondary
main_3c	11954	emp_lugii_grinev	minor_primary	primary
main_rome	1195	rom_germania_minor_germania_inferior	minor_primary	primary
main_3c	11963	emp_lugii_carrodunum	minor_secondary	secondary
main_3c	11968	emp_lugii_carrodunum	minor_primary	primary
main_3c	11977	emp_lugii_arsenium	major_secondary	secondary
main_3c	11985	emp_lugii_arsenium	major_primary	primary
main_3c	11988	emp_libya_paraitonion	port	port
main_rome	1198	rom_germania_minor_germania_inferior	minor_secondary	secondary
main_3c	11992	emp_libya_paraitonion	minor_secondary	secondary
main_3c	11994	emp_libya_paraitonion	minor_primary	primary
main_3c	11999	emp_libya_cyrene	port	port
main_3c	12006	emp_libya_cyrene	3c_major_navalbuff	secondary
main_3c	12012	emp_libya_cyrene	major_primary	primary
main_3c	12017	emp_libya_augila	minor_secondary	secondary
main_3c	12019	emp_libya_augila	minor_primary	primary
main_3c	12029	emp_libya_ammonium	minor_secondary	secondary
main_3c	12038	emp_libya_ammonium	minor_primary	primary
main_3c	12046	emp_latium_roma	3c_major_navalbuff	secondary
main_3c	12049	emp_latium_roma	major_primary	primary
main_3c	12058	emp_latium_asculum	port	port
main_3c	12066	emp_latium_asculum	minor_secondary	secondary
main_3c	12075	emp_latium_asculum	minor_primary	primary
main_3c	12078	emp_latium_arretium	minor_secondary	secondary
main_rome	1207	rom_germania_minor_germania_superior	major_primary	primary
main_3c	12087	emp_latium_arretium	minor_primary	primary
main_3c	12093	emp_latium_ariminium	port	port
main_3c	12098	emp_latium_ariminium	minor_secondary	secondary
main_3c	12101	emp_latium_ariminium	minor_primary	primary
main_3c	12104	emp_judea_tyros	port	port
main_3c	12111	emp_judea_tyros	minor_secondary	secondary
main_3c	12112	emp_judea_tyros	minor_primary	primary
main_3c	12117	emp_judea_salamis	port	port
main_3c	12125	emp_judea_salamis	minor_secondary	secondary
main_3c	12129	emp_judea_salamis	minor_primary	primary
main_3c	12131	emp_judea_jerusalem	3c_major_navalbuff	secondary
main_3c	12139	emp_judea_jerusalem	major_primary	primary
main_3c	12144	emp_italia_cosentia	minor_secondary	secondary
main_3c	12150	emp_italia_cosentia	minor_primary	primary
main_3c	12159	emp_italia_brundisium	port	port
main_rome	1215	rom_germania_minor_germania_superior	major_secondary	secondary
main_3c	12160	emp_italia_brundisium	3c_major_navalbuff	secondary
main_3c	12163	emp_italia_brundisium	major_primary	primary
main_3c	12169	emp_italia_beneventum	minor_secondary	secondary
main_3c	12179	emp_italia_beneventum	minor_primary	primary
main_3c	12181	emp_illyricum_salona	port	port
main_3c	12189	emp_illyricum_salona	minor_secondary	secondary
main_3c	12195	emp_illyricum_salona	minor_primary	primary
main_3c	12204	emp_illyricum_narona	3c_major_navalbuff	secondary
main_3c	12205	emp_illyricum_narona	major_primary	primary
main_3c	12209	emp_illyricum_dyrrachium	port	port
main_3c	12216	emp_illyricum_dyrrachium	minor_secondary	secondary
main_rome	1221	rom_magna_germania_frisia	minor_primary	primary
main_3c	12225	emp_illyricum_dyrrachium	minor_primary	primary
main_3c	12231	emp_hispania_saguntum	port	port
main_3c	12240	emp_hispania_saguntum	minor_secondary	secondary
main_3c	12249	emp_hispania_saguntum	minor_primary	primary
main_rome	1224	rom_magna_germania_frisia	port	port
main_3c	12253	emp_hispania_numantia	minor_secondary	secondary
main_3c	12262	emp_hispania_numantia	minor_primary	primary
main_3c	12263	emp_hispania_nova_carthago	port	port
main_3c	12265	emp_hispania_nova_carthago	3c_major_navalbuff	secondary
main_3c	12274	emp_hispania_nova_carthago	major_primary	primary
main_3c	12283	emp_hispania_ibossim	port	port
main_3c	12293	emp_hispania_ibossim	minor_secondary	secondary
main_3c	12294	emp_hispania_ibossim	minor_primary	primary
main_3c	12295	emp_hercynia_istros	minor_secondary	secondary
main_3c	12304	emp_hercynia_istros	minor_primary	primary
main_3c	12307	emp_hercynia_budorgis	major_secondary	secondary
main_3c	12311	emp_hercynia_budorgis	major_primary	primary
main_3c	12312	emp_hercynia_bergium	minor_secondary	secondary
main_3c	12318	emp_hercynia_bergium	minor_primary	primary
main_rome	1231	rom_magna_germania_frisia	minor_secondary	secondary
main_3c	12327	emp_germania_minor_vesonto	major_secondary	secondary
main_rome	1232	rom_magna_germania_silva_bacenis	major_primary	primary
main_3c	12331	emp_germania_minor_vesonto	major_primary	primary
main_3c	12341	emp_germania_minor_bavay	minor_secondary	secondary
main_3c	12347	emp_germania_minor_bavay	minor_primary	primary
main_3c	12352	emp_gedrosia_pura	3c_major_navalbuff	secondary
main_3c	12356	emp_gedrosia_pura	major_primary	primary
main_rome	1235	rom_magna_germania_silva_bacenis	major_secondary	secondary
main_3c	12361	emp_gedrosia_phrada	minor_secondary	secondary
main_3c	12362	emp_gedrosia_phrada	minor_primary	primary
main_3c	12365	emp_gedrosia_oraea	port	port
main_3c	12372	emp_gedrosia_oraea	minor_secondary	secondary
main_3c	12374	emp_gedrosia_oraea	minor_primary	primary
main_3c	12384	emp_gallia_iuliobana	port	port
main_rome	1238	rom_magna_germania_silva_nigra	minor_primary	primary
main_3c	12393	emp_gallia_iuliobana	minor_secondary	secondary
main_3c	12397	emp_gallia_iuliobana	minor_primary	primary
main_3c	12407	emp_gallia_darioritum	port	port
main_3c	12417	emp_gallia_darioritum	minor_secondary	secondary
main_3c	12424	emp_gallia_darioritum	minor_primary	primary
main_3c	12432	emp_gallia_cenabum	minor_secondary	secondary
main_3c	12438	emp_gallia_cenabum	minor_primary	primary
main_3c	12448	emp_gallia_bibracte	3c_major_navalbuff	secondary
main_3c	12456	emp_gallia_bibracte	major_primary	primary
main_3c	12463	emp_galatia_et_cappadocia_side	port	port
main_3c	12464	emp_galatia_et_cappadocia_side	minor_secondary	secondary
main_3c	12472	emp_galatia_et_cappadocia_side	minor_primary	primary
main_3c	12476	emp_galatia_et_cappadocia_mazaca	minor_secondary	secondary
main_3c	12482	emp_galatia_et_cappadocia_mazaca	minor_primary	primary
main_3c	12486	emp_galatia_et_cappadocia_iconium	minor_secondary	secondary
main_3c	12489	emp_galatia_et_cappadocia_iconium	minor_primary	primary
main_rome	1248	rom_magna_germania_silva_nigra	minor_secondary	secondary
main_3c	12494	emp_galatia_et_cappadocia_ancyra	3c_major_navalbuff	secondary
main_3c	12499	emp_galatia_et_cappadocia_ancyra	major_primary	primary
main_3c	12500	emp_dacia_zarmizegetusa	major_secondary	secondary
main_3c	12508	emp_dacia_zarmizegetusa	major_primary	primary
main_3c	12518	emp_dacia_piscul	minor_secondary	secondary
main_rome	1251	rom_raetia_et_noricum_helvetia	minor_primary	primary
main_3c	12526	emp_dacia_piscul	minor_primary	primary
main_3c	12535	emp_dacia_petrodava	minor_secondary	secondary
main_3c	12536	emp_dacia_petrodava	minor_primary	primary
main_3c	12538	emp_dacia_pelendava	minor_secondary	secondary
main_3c	12547	emp_dacia_pelendava	minor_primary	primary
main_3c	12551	emp_corsica_et_sardinia_caralis	port	port
main_3c	12554	emp_corsica_et_sardinia_caralis	3c_major_navalbuff	secondary
main_3c	12563	emp_corsica_et_sardinia_caralis	major_primary	primary
main_3c	12564	emp_corsica_et_sardinia_aleria	port	port
main_3c	12565	emp_corsica_et_sardinia_aleria	minor_secondary	secondary
main_3c	12572	emp_corsica_et_sardinia_aleria	minor_primary	primary
main_3c	12581	emp_cisalpina_patavium	minor_secondary	secondary
main_3c	12590	emp_cisalpina_patavium	minor_primary	primary
main_3c	12594	emp_cisalpina_mediolanium	3c_major_navalbuff	secondary
main_3c	12598	emp_cisalpina_mediolanium	major_primary	primary
main_rome	1259	rom_raetia_et_noricum_helvetia	minor_secondary	secondary
main_3c	12600	emp_cisalpina_genua	port	port
main_3c	12603	emp_cisalpina_genua	minor_secondary	secondary
main_3c	12613	emp_cisalpina_genua	minor_primary	primary
main_3c	12616	emp_chorasmia_aktau	minor_secondary	secondary
main_3c	12621	emp_chorasmia_aktau	minor_primary	primary
main_3c	12625	emp_chorasmia_akhur	major_secondary	secondary
main_3c	12630	emp_chorasmia_akhur	major_primary	primary
main_3c	12637	emp_caucasia_phasis	port	port
main_3c	12645	emp_caucasia_phasis	minor_secondary	secondary
main_3c	12646	emp_caucasia_phasis	minor_primary	primary
main_3c	12652	emp_caucasia_mtskheta	3c_major_navalbuff	secondary
main_3c	12654	emp_caucasia_mtskheta	major_primary	primary
main_rome	1265	rom_raetia_et_noricum_raetia	minor_primary	primary
main_3c	12661	emp_caucasia_gabata	minor_secondary	secondary
main_3c	12665	emp_caucasia_gabata	minor_primary	primary
main_3c	12667	emp_carmania_harmozia	port	port
main_3c	12669	emp_carmania_harmozia	3c_major_navalbuff	secondary
main_rome	1266	rom_raetia_et_noricum_raetia	minor_secondary	secondary
main_3c	12674	emp_carmania_harmozia	major_primary	primary
main_3c	12681	emp_carmania_bam	minor_secondary	secondary
main_3c	12689	emp_carmania_bam	minor_primary	primary
main_3c	12695	emp_britannia_sleaford	minor_secondary	secondary
main_3c	12699	emp_britannia_sleaford	minor_primary	primary
main_3c	12704	emp_britannia_mordiunon	port	port
main_3c	12714	emp_britannia_mordiunon	minor_secondary	secondary
main_3c	12716	emp_britannia_mordiunon	minor_primary	primary
main_3c	12718	emp_britannia_iska	port	port
main_3c	12720	emp_britannia_iska	minor_secondary	secondary
main_3c	12721	emp_britannia_iska	minor_primary	primary
main_3c	12723	emp_britannia_camulodunum	port	port
main_3c	12725	emp_britannia_camulodunum	3c_major_navalbuff	secondary
main_3c	12735	emp_britannia_camulodunum	major_primary	primary
main_3c	12739	emp_bosporus_tanais	port	port
main_3c	12745	emp_bosporus_tanais	minor_secondary	secondary
main_rome	1274	rom_raetia_et_noricum_noricum	major_primary	primary
main_3c	12755	emp_bosporus_tanais	minor_primary	primary
main_3c	12762	emp_bosporus_phanagoria	port	port
main_3c	12763	emp_bosporus_phanagoria	minor_secondary	secondary
main_3c	12766	emp_bosporus_phanagoria	minor_primary	primary
main_rome	1276	rom_raetia_et_noricum_noricum	major_secondary	secondary
main_3c	12770	emp_bosporus_panticapaeum	port	port
main_3c	12773	emp_bosporus_panticapaeum	3c_major_navalbuff	secondary
main_3c	12776	emp_bosporus_panticapaeum	major_primary	primary
main_3c	12778	emp_bithynia_et_pontus_trapezos	port	port
main_3c	12779	emp_bithynia_et_pontus_trapezos	minor_secondary	secondary
main_3c	12787	emp_bithynia_et_pontus_trapezos	minor_primary	primary
main_rome	1278	rom_suebia_cimbria	minor_primary	primary
main_3c	12793	emp_bithynia_et_pontus_sinope	port	port
main_3c	12797	emp_bithynia_et_pontus_sinope	minor_secondary	secondary
main_3c	12799	emp_bithynia_et_pontus_sinope	minor_primary	primary
main_rome	127	rom_magna_graecia_bruttium	minor_secondary	secondary
main_3c	12806	emp_bithynia_et_pontus_nicomedia	port	port
main_rome	1280	rom_suebia_cimbria	port	port
main_3c	12814	emp_bithynia_et_pontus_nicomedia	3c_major_navalbuff	secondary
main_3c	12821	emp_bithynia_et_pontus_nicomedia	major_primary	primary
main_3c	12831	emp_bithynia_et_pontus_amaseia	minor_secondary	secondary
main_3c	12837	emp_bithynia_et_pontus_amaseia	minor_primary	primary
main_3c	12845	emp_belgica_treverorum	minor_secondary	secondary
main_3c	12852	emp_belgica_treverorum	minor_primary	primary
main_3c	12855	emp_belgica_nemecatum	major_secondary	secondary
main_3c	12863	emp_belgica_nemecatum	major_primary	primary
main_3c	12868	emp_baetica_toletum	minor_secondary	secondary
main_3c	12876	emp_baetica_toletum	minor_primary	primary
main_3c	12882	emp_baetica_gades	port	port
main_3c	12891	emp_baetica_gades	minor_secondary	secondary
main_3c	12893	emp_baetica_gades	minor_primary	primary
main_3c	12895	emp_baetica_corduba	3c_major_navalbuff	secondary
main_3c	12896	emp_baetica_corduba	major_primary	primary
main_3c	12898	emp_bactria_kapisene	minor_secondary	secondary
main_rome	1289	rom_suebia_cimbria	minor_secondary	secondary
main_3c	12906	emp_bactria_kapisene	minor_primary	primary
main_3c	12910	emp_bactria_eucratides	minor_secondary	secondary
main_3c	12917	emp_bactria_eucratides	minor_primary	primary
main_rome	1291	rom_suebia_rugia	minor_primary	primary
main_3c	12922	emp_bactria_baktria	major_secondary	secondary
main_3c	12930	emp_bactria_baktria	major_primary	primary
main_3c	12938	emp_asia_rhodos	port	port
main_3c	12948	emp_asia_rhodos	minor_secondary	secondary
main_3c	12950	emp_asia_rhodos	minor_primary	primary
main_3c	12955	emp_asia_pessinus	minor_secondary	secondary
main_3c	12957	emp_asia_pessinus	minor_primary	primary
main_3c	12959	emp_asia_pergamum	3c_major_navalbuff	secondary
main_3c	12969	emp_asia_pergamum	major_primary	primary
main_3c	12971	emp_asia_ephesus	port	port
main_3c	12974	emp_asia_ephesus	minor_secondary	secondary
main_3c	12976	emp_asia_ephesus	minor_primary	primary
main_rome	1297	rom_suebia_rugia	port	port
main_3c	12985	emp_armenia_tigranocerta	major_secondary	secondary
main_3c	12994	emp_armenia_tigranocerta	major_primary	primary
main_3c	12997	emp_armenia_carana	minor_secondary	secondary
main_3c	12998	emp_armenia_carana	minor_primary	primary
main_3c	12999	emp_armenia_artaxa	minor_secondary	secondary
main_rome	1299	rom_suebia_rugia	minor_secondary	secondary
main_3c	13003	emp_armenia_artaxa	minor_primary	primary
main_3c	13010	emp_armenia_arsamosata	minor_secondary	secondary
main_3c	13016	emp_armenia_arsamosata	minor_primary	primary
main_3c	13024	emp_aria_merv	minor_secondary	secondary
main_3c	13027	emp_aria_merv	minor_primary	primary
main_3c	13033	emp_aria_artacoana	major_secondary	secondary
main_3c	13039	emp_aria_artacoana	major_primary	primary
main_3c	13042	emp_aria_amul	minor_secondary	secondary
main_3c	13046	emp_aria_amul	minor_primary	primary
main_3c	13054	emp_arabia_magna_yathrib	minor_secondary	secondary
main_3c	13058	emp_arabia_magna_yathrib	minor_primary	primary
main_3c	13064	emp_arabia_magna_gerrha	port	port
main_3c	13073	emp_arabia_magna_gerrha	3c_major_navalbuff	secondary
main_3c	13081	emp_arabia_magna_gerrha	major_primary	primary
main_rome	1308	rom_suebia_bomeranorum	minor_primary	primary
main_3c	13090	emp_arabia_magna_adummatu	minor_secondary	secondary
main_3c	13093	emp_arabia_magna_adummatu	minor_primary	primary
