bonus_value_id	building_set	effect
add_public_order	inv_etr_minor_agriculture	inv_building_public_order_from_pera
mod_resource_production	inv_barb_amber_buildings	inv_building_resource_amber_production
mod_resource_production	inv_barb_lead_buildings	inv_building_resource_lead_production
mod_resource_production	inv_barb_leather_buildings	inv_building_resource_leather_production
mod_resource_production	inv_building_set_all_wine	inv_building_resource_wine_production
mod_conversion_cost	inv_all_buildings	inv_dismantle_cost_ai
mod_demolish_cost	inv_all_buildings	inv_dismantle_cost_ai
mod_cost	inv_etr_major_all	inv_etr_main_building_reduction_for_AI
add_food	inv_barb_set_farms	inv_tech_agriculture_food_from_farms_only
add_food	inv_all_farms	inv_tech_agriculture_food_from_farms
add_food	inv_nur_set_farms	inv_tech_agriculture_food_from_farms
add_food	rom_building_set_agriculture	inv_tech_agriculture_food_from_farms
add_build_time	inv_insubres_all_buildings	inv_tech_civil_build_time_mod_all_insubres
add_build_time	inv_senones_all_buildings	inv_tech_civil_build_time_mod_all_senones
add_build_time	inv_all_buildings	inv_tech_civil_build_time_mod_all
add_build_time	inv_nur_minor_settlement	inv_tech_civil_minor_settlements_main_chain_build_time_mod
add_build_time	rom_building_set_religion	inv_tech_civil_temple_build_time_mod
mod_cost	pel_building_set_theatres	pel_building_cost_mod_buildings_theatres
add_build_time	dk_building_set_all	rom_agent_action_target_settlement_construction_time
mod_cost	rom_building_set_agriculture	rom_building_cost_mod_buildings_agriculture
mod_cost	rom_building_set_city_centre	rom_building_cost_mod_buildings_city_centre
mod_cost	rom_building_set_industry	rom_building_cost_mod_buildings_industry
mod_cost	rom_building_set_military	rom_building_cost_mod_buildings_military
mod_cost	rom_building_set_city_minor	rom_building_cost_mod_buildings_minor_settlement
mod_cost	rom_building_set_city_major	rom_building_cost_mod_buildings_province_capital
mod_cost	rom_building_set_religion	rom_building_cost_mod_buildings_religious
mod_cost	rom_building_set_sanitation	rom_building_cost_mod_buildings_sanitation
mod_conversion_cost	rom_building_set_city_major	rom_faction_trait_desert_nabatea_builders
mod_conversion_cost	rom_building_set_city_minor	rom_faction_trait_desert_nabatea_builders
mod_cost	rom_building_set_capital	rom_faction_trait_desert_nabatea_builders
mod_cost	rom_building_set_city_major	rom_faction_trait_desert_nabatea_builders
mod_cost	rom_building_set_city_minor	rom_faction_trait_desert_nabatea_builders
mod_gdp	rom_building_set_city_minor	rom_faction_trait_greek_epirus_village_confederation
mod_conversion_cost	rom_building_set_agriculture	rom_tech_civil_economy_agriculture_building_cost_mod
mod_cost	rom_building_set_agriculture	rom_tech_civil_economy_agriculture_building_cost_mod
mod_conversion_cost	rom_building_set_agriculture	rom_tech_civil_economy_farm_cost_mod
mod_cost	rom_building_set_agriculture	rom_tech_civil_economy_farm_cost_mod
mod_conversion_cost	rom_building_set_capital	rom_tech_engineering_construction_castle_cost_mod
mod_conversion_cost	rom_building_set_city_major	rom_tech_engineering_construction_castle_cost_mod
mod_conversion_cost	rom_building_set_city_minor	rom_tech_engineering_construction_castle_cost_mod
mod_cost	rom_building_set_capital	rom_tech_engineering_construction_castle_cost_mod
mod_cost	rom_building_set_city_major	rom_tech_engineering_construction_castle_cost_mod
mod_cost	rom_building_set_city_minor	rom_tech_engineering_construction_castle_cost_mod
add_build_time	rom_building_set_capital	rom_tech_engineering_construction_castle_time_mod
add_build_time	rom_building_set_city_major	rom_tech_engineering_construction_castle_time_mod
add_build_time	rom_building_set_city_minor	rom_tech_engineering_construction_castle_time_mod
add_conversion_time	rom_building_set_capital	rom_tech_engineering_construction_castle_time_mod
add_conversion_time	rom_building_set_city_major	rom_tech_engineering_construction_castle_time_mod
add_conversion_time	rom_building_set_city_minor	rom_tech_engineering_construction_castle_time_mod
mod_conversion_cost	rom_building_set_agriculture	rom_tech_engineering_construction_farm_cost_mod
mod_cost	rom_building_set_agriculture	rom_tech_engineering_construction_farm_cost_mod
mod_conversion_cost	rom_building_set_port	rom_tech_engineering_construction_port_cost_mod
mod_cost	rom_building_set_port	rom_tech_engineering_construction_port_cost_mod
mod_conversion_cost	rom_building_set_religion	rom_tech_engineering_construction_temple_cost_mod
mod_cost	rom_building_set_religion	rom_tech_engineering_construction_temple_cost_mod
