antitrait	trait
r2_sp_trait_all_agent_character_kill_marksmanship	r2_sp_trait_all_agent_character_kill_slaughter
r2_sp_trait_all_agent_character_kill_marksmanship	r2_sp_trait_female_all_agent_character_kill_single_combat
r2_sp_trait_all_agent_character_kill_poison	r2_sp_trait_all_agent_character_kill_concealed_blade
r2_sp_trait_all_agent_character_kill_poison	r2_sp_trait_all_agent_character_kill_solicit_traitor
r2_sp_trait_all_agent_character_kill_provocation	r2_sp_trait_all_agent_character_kill_betrayal
r2_sp_trait_all_agent_character_kill_provocation	r2_sp_trait_all_agent_character_kill_hire_assassins
r2_sp_trait_all_agent_character_kill_single_combat	r2_sp_trait_all_agent_character_kill_marksmanship
r2_sp_trait_all_agent_character_kill_single_combat	r2_sp_trait_all_agent_character_kill_slaughter
r2_sp_trait_all_agent_character_kill_slaughter	r2_sp_trait_all_agent_character_kill_marksmanship
r2_sp_trait_all_agent_character_kill_slaughter	r2_sp_trait_all_agent_character_kill_single_combat
r2_sp_trait_all_agent_character_kill_slaughter	r2_sp_trait_female_all_agent_character_kill_single_combat
r2_sp_trait_all_agent_character_kill_solicit_traitor	r2_sp_trait_all_agent_character_kill_concealed_blade
r2_sp_trait_all_agent_character_kill_solicit_traitor	r2_sp_trait_all_agent_character_kill_poison
r2_sp_trait_all_agent_character_kill_solicit_traitor	r2_sp_trait_female_all_agent_character_kill_poison
r2_sp_trait_all_agent_character_seduce_persuasion	r2_sp_trait_all_agent_character_seduce_temptation
r2_sp_trait_all_agent_character_seduce_persuasion	r2_sp_trait_all_agent_seduce_coercion_1
r2_sp_trait_all_agent_character_seduce_temptation	r2_sp_trait_all_agent_character_seduce_persuasion
r2_sp_trait_all_agent_character_seduce_temptation	r2_sp_trait_all_agent_seduce_coercion_1
r2_sp_trait_all_agent_seduce_coercion_1	r2_sp_trait_all_agent_character_seduce_persuasion
r2_sp_trait_all_agent_seduce_coercion_1	r2_sp_trait_all_agent_character_seduce_temptation
r2_sp_trait_all_agent_settle_assault_garrison	r2_sp_trait_all_agent_settle_raid
r2_sp_trait_all_agent_settle_assault_garrison	r2_sp_trait_all_agent_settle_rally_slaves
r2_sp_trait_all_agent_settle_assault_garrison	r2_sp_trait_female_all_agent_settle_rally_slaves
r2_sp_trait_all_agent_settle_buy_off	r2_sp_trait_all_agent_settle_cultural_propaganda
r2_sp_trait_all_agent_settle_buy_off	r2_sp_trait_all_agent_settle_incite_unrest
r2_sp_trait_all_agent_settle_buy_off	r2_sp_trait_female_all_agent_settle_incite_unrest
r2_sp_trait_all_agent_settle_commit_arson	r2_sp_trait_all_agent_settle_poison_well
r2_sp_trait_all_agent_settle_commit_arson	r2_sp_trait_all_agent_settle_promote_disorder
r2_sp_trait_all_agent_settle_commit_arson	r2_sp_trait_female_all_agent_settle_promote_disorder
r2_sp_trait_all_agent_settle_cultural_propaganda	r2_sp_trait_all_agent_settle_buy_off
r2_sp_trait_all_agent_settle_cultural_propaganda	r2_sp_trait_all_agent_settle_incite_unrest
r2_sp_trait_all_agent_settle_cultural_propaganda	r2_sp_trait_female_all_agent_settle_incite_unrest
r2_sp_trait_all_agent_settle_incite_unrest	r2_sp_trait_all_agent_settle_buy_off
r2_sp_trait_all_agent_settle_incite_unrest	r2_sp_trait_all_agent_settle_cultural_propaganda
r2_sp_trait_all_agent_settle_poison_well	r2_sp_trait_all_agent_settle_commit_arson
r2_sp_trait_all_agent_settle_poison_well	r2_sp_trait_all_agent_settle_promote_disorder
r2_sp_trait_all_agent_settle_poison_well	r2_sp_trait_female_all_agent_settle_promote_disorder
r2_sp_trait_all_agent_settle_promote_disorder	r2_sp_trait_all_agent_settle_commit_arson
r2_sp_trait_all_agent_settle_promote_disorder	r2_sp_trait_all_agent_settle_poison_well
r2_sp_trait_all_agent_settle_raid	r2_sp_trait_all_agent_settle_assault_garrison
r2_sp_trait_all_agent_settle_raid	r2_sp_trait_all_agent_settle_rally_slaves
r2_sp_trait_all_agent_settle_raid	r2_sp_trait_female_all_agent_settle_rally_slaves
r2_sp_trait_all_agent_settle_rally_slaves	r2_sp_trait_all_agent_settle_assault_garrison
r2_sp_trait_all_agent_settle_rally_slaves	r2_sp_trait_all_agent_settle_raid
r2_sp_trait_all_ambusher_bad	r2_sp_trait_all_ambusher_good
r2_sp_trait_all_ambusher_bad	r2_sp_trait_all_background_command
r2_sp_trait_all_ambusher_good	r2_sp_trait_all_ambusher_bad
r2_sp_trait_all_attacker_bad	r2_sp_trait_all_attacker_good
r2_sp_trait_all_attacker_bad	r2_sp_trait_all_background_command
r2_sp_trait_all_attacker_good	r2_sp_trait_all_attacker_bad
r2_sp_trait_all_attacker_good	r2_sp_trait_all_personal_cowardice
r2_sp_trait_all_attacker_sea_bad	r2_sp_trait_all_attacker_sea_good
r2_sp_trait_all_attacker_sea_bad	r2_sp_trait_all_background_command
r2_sp_trait_all_attacker_sea_good	r2_sp_trait_all_attacker_sea_bad
r2_sp_trait_all_attacker_sea_good	r2_sp_trait_all_personal_cowardice
r2_sp_trait_all_background_abandoned	r2_sp_trait_all_disinherited
r2_sp_trait_all_background_abandoned	r2_sp_trait_non_roman_background_wealthy
r2_sp_trait_all_background_beautiful	r2_sp_trait_all_background_ugly
r2_sp_trait_all_background_beautiful	r2_sp_trait_all_battle_scarred
r2_sp_trait_all_background_command	r2_sp_trait_all_ambusher_bad
r2_sp_trait_all_background_command	r2_sp_trait_all_attacker_bad
r2_sp_trait_all_background_command	r2_sp_trait_all_attacker_sea_bad
r2_sp_trait_all_background_command	r2_sp_trait_all_besieger_bad
r2_sp_trait_all_background_command	r2_sp_trait_all_defender_bad
r2_sp_trait_all_background_command	r2_sp_trait_all_defender_sea_bad
r2_sp_trait_all_background_command	r2_sp_trait_all_personal_cowardice
r2_sp_trait_all_background_command	r2_sp_trait_civilised_disciplinarian_bad
r2_sp_trait_all_background_inbred	r2_sp_trait_all_background_very_inbred
r2_sp_trait_all_background_inbred	r2_sp_trait_all_background_very_very_inbred
r2_sp_trait_all_background_scientist	r2_sp_trait_all_honest
r2_sp_trait_all_background_scientist	r2_sp_trait_roman_virtues_personal_truthfulness
r2_sp_trait_all_background_ugly	r2_sp_trait_all_background_beautiful
r2_sp_trait_all_background_very_inbred	r2_sp_trait_all_background_inbred
r2_sp_trait_all_background_very_inbred	r2_sp_trait_all_background_very_very_inbred
r2_sp_trait_all_background_very_inbred	r2_sp_trait_all_healthy
r2_sp_trait_all_background_very_inbred	r2_sp_trait_roman_virtues_personal_wholesomeness
r2_sp_trait_all_background_very_very_inbred	r2_sp_trait_all_admin_good
r2_sp_trait_all_background_very_very_inbred	r2_sp_trait_all_background_inbred
r2_sp_trait_all_background_very_very_inbred	r2_sp_trait_all_background_very_inbred
r2_sp_trait_all_background_very_very_inbred	r2_sp_trait_all_healthy
r2_sp_trait_all_battle_scarred	r2_sp_trait_all_background_beautiful
r2_sp_trait_all_besieger_bad	r2_sp_trait_all_background_command
r2_sp_trait_all_besieger_bad	r2_sp_trait_all_besieger_good
r2_sp_trait_all_besieger_good	r2_sp_trait_all_besieger_bad
r2_sp_trait_all_defender_bad	r2_sp_trait_all_background_command
r2_sp_trait_all_defender_bad	r2_sp_trait_all_defender_good
r2_sp_trait_all_defender_good	r2_sp_trait_all_defender_good
r2_sp_trait_all_defender_sea_bad	r2_sp_trait_all_background_command
r2_sp_trait_all_defender_sea_bad	r2_sp_trait_all_defender_sea_good
r2_sp_trait_all_defender_sea_good	r2_sp_trait_all_defender_sea_bad
r2_sp_trait_all_disinherited	r2_sp_trait_all_background_abandoned
r2_sp_trait_all_energetic	r2_sp_trait_all_lazy
r2_sp_trait_all_fears_barbarians	r2_sp_trait_all_likes_barbarians
r2_sp_trait_all_fears_barbarians	r2_sp_trait_civilized_xenophile
r2_sp_trait_all_fears_carthage	r2_sp_trait_all_likes_carthage
r2_sp_trait_all_fears_carthage	r2_sp_trait_civilized_xenophile
r2_sp_trait_all_fears_easterners	r2_sp_trait_all_likes_easterners
r2_sp_trait_all_fears_easterners	r2_sp_trait_civilized_xenophile
r2_sp_trait_all_fears_egyptians	r2_sp_trait_all_fears_egyptians
r2_sp_trait_all_fears_egyptians	r2_sp_trait_civilized_xenophile
r2_sp_trait_all_fears_greeks	r2_sp_trait_all_likes_greeks
r2_sp_trait_all_fears_greeks	r2_sp_trait_civilized_xenophile
r2_sp_trait_all_fears_romans	r2_sp_trait_all_likes_romans
r2_sp_trait_all_fears_romans	r2_sp_trait_civilized_xenophile
r2_sp_trait_all_fears_successors	r2_sp_trait_all_likes_successors
r2_sp_trait_all_fears_successors	r2_sp_trait_civilized_xenophile
r2_sp_trait_all_fertile	r2_sp_trait_all_infertile
r2_sp_trait_all_fervour	r2_sp_trait_all_lazy
r2_sp_trait_all_gambling	r2_sp_trait_all_admin_good
r2_sp_trait_all_gambling	r2_sp_trait_roman_virtues_personal_frugality
r2_sp_trait_all_gambling	r2_sp_trait_roman_virtues_personal_prudence
r2_sp_trait_all_hates_barbarians	r2_sp_trait_all_likes_barbarians
r2_sp_trait_all_hates_barbarians	r2_sp_trait_civilized_xenophile
r2_sp_trait_all_hates_carthage	r2_sp_trait_all_likes_carthage
r2_sp_trait_all_hates_carthage	r2_sp_trait_civilized_xenophile
r2_sp_trait_all_hates_easterners	r2_sp_trait_all_likes_easterners
r2_sp_trait_all_hates_easterners	r2_sp_trait_civilized_xenophile
r2_sp_trait_all_hates_egyptians	r2_sp_trait_all_likes_egyptians
r2_sp_trait_all_hates_egyptians	r2_sp_trait_all_personal_cowardice
r2_sp_trait_all_hates_greeks	r2_sp_trait_all_likes_greeks
r2_sp_trait_all_hates_greeks	r2_sp_trait_civilized_xenophile
r2_sp_trait_all_hates_romans	r2_sp_trait_all_likes_romans
r2_sp_trait_all_hates_romans	r2_sp_trait_civilized_xenophile
r2_sp_trait_all_hates_successors	r2_sp_trait_all_likes_successors
r2_sp_trait_all_hates_successors	r2_sp_trait_civilized_xenophile
r2_sp_trait_all_healthy	r2_sp_trait_female_greco_roman_humors_yellow_bile
r2_sp_trait_all_healthy	r2_sp_trait_female_roman_virtues_personal_dutifulness
r2_sp_trait_all_healthy	r2_sp_trait_greco_roman_humors_black_bile
r2_sp_trait_all_healthy	r2_sp_trait_greco_roman_humors_blood
r2_sp_trait_all_healthy	r2_sp_trait_greco_roman_humors_phlegm
r2_sp_trait_all_honest	r2_sp_trait_non_roman_dishonest
r2_sp_trait_all_honest	r2_sp_trait_roman_dishonest
r2_sp_trait_all_infertile	r2_sp_trait_all_fertile
r2_sp_trait_all_lazy	r2_sp_trait_all_admin_good
r2_sp_trait_all_lazy	r2_sp_trait_all_energetic
r2_sp_trait_all_lazy	r2_sp_trait_all_fervour
r2_sp_trait_all_lazy	r2_sp_trait_roman_virtues_personal_industriousness
r2_sp_trait_all_lazy	r2_sp_trait_roman_virtues_personal_tenacity
r2_sp_trait_all_lazy	r2_sp_trait_roman_virtues_public_endurance
r2_sp_trait_all_leader_kind	r2_sp_trait_civilised_leader_harsh
r2_sp_trait_all_leader_mad	r2_sp_trait_all_background_command
r2_sp_trait_all_leader_mad	r2_sp_trait_ch_east_B
r2_sp_trait_all_leader_miser	r2_sp_trait_all_leader_spender
r2_sp_trait_all_leader_miser	r2_sp_trait_roman_virtues_public_fortune
r2_sp_trait_all_leader_miser	r2_sp_trait_roman_virtues_public_giving
r2_sp_trait_all_leader_paranoid	r2_sp_trait_all_admin_good
r2_sp_trait_all_leader_paranoid	r2_sp_trait_all_personal_bravery
r2_sp_trait_all_leader_paranoid	r2_sp_trait_roman_virtues_personal_morale_courage
r2_sp_trait_all_leader_spender	r2_sp_trait_all_leader_miser
r2_sp_trait_all_leader_taxman	r2_sp_trait_roman_virtues_public_giving
r2_sp_trait_all_leader_taxman	r2_sp_trait_roman_virtues_public_wealth
r2_sp_trait_all_leader_unjust	r2_sp_trait_all_leader_kind
r2_sp_trait_all_leader_unjust	r2_sp_trait_eastern_leader_great_king
r2_sp_trait_all_leader_unjust	r2_sp_trait_roman_virtues_personal_dutifulness
r2_sp_trait_all_leader_unjust	r2_sp_trait_roman_virtues_personal_mercy
r2_sp_trait_all_leader_unjust	r2_sp_trait_roman_virtues_public_joy
r2_sp_trait_all_leader_unjust	r2_sp_trait_roman_virtues_public_justice
r2_sp_trait_all_likes_barbarians	r2_sp_trait_all_fears_barbarians
r2_sp_trait_all_likes_barbarians	r2_sp_trait_all_hates_barbarians
r2_sp_trait_all_likes_barbarians	r2_sp_trait_civilized_xenophobe
r2_sp_trait_all_likes_carthage	r2_sp_trait_all_fears_carthage
r2_sp_trait_all_likes_carthage	r2_sp_trait_all_hates_carthage
r2_sp_trait_all_likes_carthage	r2_sp_trait_civilized_xenophobe
r2_sp_trait_all_likes_easterners	r2_sp_trait_all_fears_easterners
r2_sp_trait_all_likes_easterners	r2_sp_trait_all_hates_easterners
r2_sp_trait_all_likes_easterners	r2_sp_trait_civilized_xenophobe
r2_sp_trait_all_likes_egyptians	r2_sp_trait_all_fears_egyptians
r2_sp_trait_all_likes_egyptians	r2_sp_trait_all_hates_egyptians
r2_sp_trait_all_likes_egyptians	r2_sp_trait_civilized_xenophobe
r2_sp_trait_all_likes_greeks	r2_sp_trait_all_fears_greeks
r2_sp_trait_all_likes_greeks	r2_sp_trait_all_hates_greeks
r2_sp_trait_all_likes_greeks	r2_sp_trait_civilized_xenophobe
r2_sp_trait_all_likes_romans	r2_sp_trait_all_fears_romans
r2_sp_trait_all_likes_romans	r2_sp_trait_all_hates_romans
r2_sp_trait_all_likes_romans	r2_sp_trait_civilized_xenophobe
r2_sp_trait_all_likes_successors	r2_sp_trait_all_fears_successors
r2_sp_trait_all_likes_successors	r2_sp_trait_all_hates_successors
r2_sp_trait_all_likes_successors	r2_sp_trait_civilized_xenophobe
r2_sp_trait_all_looter	r2_sp_trait_all_admin_good
r2_sp_trait_all_looter	r2_sp_trait_roman_virtues_public_clemency
r2_sp_trait_all_mad	r2_sp_trait_all_admin_good
r2_sp_trait_all_mad	r2_sp_trait_all_background_command
r2_sp_trait_all_noctophilia	r2_sp_trait_all_noctophobia
r2_sp_trait_all_noctophobia	r2_sp_trait_all_noctophilia
r2_sp_trait_all_personal_bravery	r2_sp_trait_all_leader_paranoid
r2_sp_trait_all_personal_bravery	r2_sp_trait_all_personal_cowardice
r2_sp_trait_all_personal_cowardice	r2_sp_trait_all_personal_bravery
r2_sp_trait_all_personal_cowardice	r2_sp_trait_barbarian_berserker
r2_sp_trait_all_personal_cowardice	r2_sp_trait_barbarian_warlord
r2_sp_trait_all_personal_cowardice	r2_sp_trait_roman_virtues_personal_morale_courage
r2_sp_trait_all_personal_cowardice	r2_sp_trait_roman_virtues_public_confidence
r2_sp_trait_all_siege_defender_bad	r2_sp_trait_all_admin_good
r2_sp_trait_all_siege_defender_bad	r2_sp_trait_all_background_command
r2_sp_trait_all_strategist	r2_sp_trait_barbarian_berserker
r2_sp_trait_all_tactician	r2_sp_trait_barbarian_berserker
r2_sp_trait_all_unhealthy	r2_sp_trait_all_agent_deployed_foreign_infiltrate
r2_sp_trait_all_unhealthy	r2_sp_trait_all_energetic
r2_sp_trait_all_unhealthy	r2_sp_trait_all_healthy
r2_sp_trait_all_unhealthy	r2_sp_trait_roman_virtues_public_public_health
r2_sp_trait_barbarian_berserker	r2_sp_trait_all_strategist
r2_sp_trait_barbarian_berserker	r2_sp_trait_all_tactician
r2_sp_trait_barbarian_berserker	r2_sp_trait_roman_virtues_public_forethought
r2_sp_trait_barbarian_drink	r2_sp_trait_all_admin_good
r2_sp_trait_barbarian_drink	r2_sp_trait_barbarian_sober
r2_sp_trait_barbarian_sober	r2_sp_trait_barbarian_drink
r2_sp_trait_barbarian_warlord	r2_sp_trait_all_personal_cowardice
r2_sp_trait_civilised_disciplinarian_bad	r2_sp_trait_all_background_command
r2_sp_trait_civilised_leader_harsh	r2_sp_trait_all_leader_kind
r2_sp_trait_civilised_leader_harsh	r2_sp_trait_roman_virtues_personal_mercy
r2_sp_trait_civilised_leader_harsh	r2_sp_trait_roman_virtues_public_joy
r2_sp_trait_civilised_leader_harsh	r2_sp_trait_roman_virtues_public_mirth
r2_sp_trait_civilized_adulterer	r2_sp_trait_roman_virtues_personal_dignity
r2_sp_trait_civilized_adulterer	r2_sp_trait_roman_virtues_personal_truthfulness
r2_sp_trait_civilized_adulterer	r2_sp_trait_roman_virtues_public_harmony
r2_sp_trait_civilized_atheist	r2_sp_trait_all_fears_barbarians
r2_sp_trait_civilized_atheist	r2_sp_trait_civilized_religious
r2_sp_trait_civilized_atheist	r2_sp_trait_roman_virtues_public_faith
r2_sp_trait_civilized_drink	r2_sp_trait_all_admin_good
r2_sp_trait_civilized_drink	r2_sp_trait_civilized_sober
r2_sp_trait_civilized_murderer	r2_sp_trait_roman_virtues_personal_dutifulness
r2_sp_trait_civilized_murderer	r2_sp_trait_roman_virtues_personal_respectability
r2_sp_trait_civilized_murderer	r2_sp_trait_roman_virtues_public_harmony
r2_sp_trait_civilized_persecutor	r2_sp_trait_roman_virtues_personal_dutifulness
r2_sp_trait_civilized_persecutor	r2_sp_trait_roman_virtues_public_harmony
r2_sp_trait_civilized_religious	r2_sp_trait_civilized_atheist
r2_sp_trait_civilized_sober	r2_sp_trait_civilized_drink
r2_sp_trait_civilized_xenophile	r2_sp_trait_all_fears_barbarians
r2_sp_trait_civilized_xenophile	r2_sp_trait_all_fears_carthage
r2_sp_trait_civilized_xenophile	r2_sp_trait_all_fears_easterners
r2_sp_trait_civilized_xenophile	r2_sp_trait_all_fears_egyptians
r2_sp_trait_civilized_xenophile	r2_sp_trait_all_fears_greeks
r2_sp_trait_civilized_xenophile	r2_sp_trait_all_fears_romans
r2_sp_trait_civilized_xenophile	r2_sp_trait_all_fears_successors
r2_sp_trait_civilized_xenophile	r2_sp_trait_all_hates_barbarians
r2_sp_trait_civilized_xenophile	r2_sp_trait_all_hates_carthage
r2_sp_trait_civilized_xenophile	r2_sp_trait_all_hates_easterners
r2_sp_trait_civilized_xenophile	r2_sp_trait_all_hates_egyptians
r2_sp_trait_civilized_xenophile	r2_sp_trait_all_hates_greeks
r2_sp_trait_civilized_xenophile	r2_sp_trait_all_hates_romans
r2_sp_trait_civilized_xenophile	r2_sp_trait_all_hates_successors
r2_sp_trait_civilized_xenophile	r2_sp_trait_civilized_xenophobe
r2_sp_trait_civilized_xenophobe	r2_sp_trait_all_likes_barbarians
r2_sp_trait_civilized_xenophobe	r2_sp_trait_all_likes_carthage
r2_sp_trait_civilized_xenophobe	r2_sp_trait_all_likes_easterners
r2_sp_trait_civilized_xenophobe	r2_sp_trait_all_likes_egyptians
r2_sp_trait_civilized_xenophobe	r2_sp_trait_all_likes_greeks
r2_sp_trait_civilized_xenophobe	r2_sp_trait_all_likes_romans
r2_sp_trait_civilized_xenophobe	r2_sp_trait_all_likes_successors
r2_sp_trait_civilized_xenophobe	r2_sp_trait_civilized_xenophile
r2_sp_trait_female_all_agent_army_show_force	r2_sp_trait_all_agent_army_assault_unit
r2_sp_trait_female_all_agent_character_kill_poison	r2_sp_trait_all_agent_character_kill_concealed_blade
r2_sp_trait_female_all_agent_character_kill_poison	r2_sp_trait_all_agent_character_kill_solicit_traitor
r2_sp_trait_female_all_agent_character_kill_single_combat	r2_sp_trait_all_agent_character_kill_marksmanship
r2_sp_trait_female_all_agent_character_kill_single_combat	r2_sp_trait_all_agent_character_kill_slaughter
r2_sp_trait_female_all_agent_settle_incite_unrest	r2_sp_trait_all_agent_settle_buy_off
r2_sp_trait_female_all_agent_settle_incite_unrest	r2_sp_trait_all_agent_settle_cultural_propaganda
r2_sp_trait_female_all_agent_settle_promote_disorder	r2_sp_trait_all_agent_settle_commit_arson
r2_sp_trait_female_all_agent_settle_promote_disorder	r2_sp_trait_all_agent_settle_poison_well
r2_sp_trait_female_all_agent_settle_rally_slaves	r2_sp_trait_all_agent_settle_assault_garrison
r2_sp_trait_female_all_agent_settle_rally_slaves	r2_sp_trait_all_agent_settle_raid
r2_sp_trait_greco_roman_humors_black_bile	r2_sp_trait_all_leader_kind
r2_sp_trait_greco_roman_humors_black_bile	r2_sp_trait_roman_virtues_public_joy
r2_sp_trait_greco_roman_humors_blood	r2_sp_trait_all_personal_cowardice
r2_sp_trait_greco_roman_humors_phlegm	r2_sp_trait_all_leader_kind
r2_sp_trait_greco_roman_humors_phlegm	r2_sp_trait_female_roman_virtues_personal_humour
r2_sp_trait_greco_roman_humors_phlegm	r2_sp_trait_roman_virtues_public_joy
r2_sp_trait_greco_roman_humors_phlegm	r2_sp_trait_roman_virtues_public_mirth
r2_sp_trait_greco_roman_humors_yellow_bile	r2_sp_trait_all_background_diplomacy
r2_sp_trait_greco_roman_humors_yellow_bile	r2_sp_trait_roman_virtues_personal_mercy
r2_sp_trait_greco_roman_humors_yellow_bile	r2_sp_trait_roman_virtues_public_clemency
r2_sp_trait_non_roman_background_poor	r2_sp_trait_non_roman_background_wealthy
r2_sp_trait_non_roman_background_wealthy	r2_sp_trait_roman_background_poor
r2_sp_trait_non_roman_dishonest	r2_sp_trait_all_honest
r2_sp_trait_roman_background_poor	r2_sp_trait_roman_background_wealthy
r2_sp_trait_roman_background_wealthy	r2_sp_trait_roman_background_poor
r2_sp_trait_roman_dishonest	r2_sp_trait_all_honest
r2_sp_trait_roman_dishonest	r2_sp_trait_roman_virtues_personal_truthfulness
r2_sp_trait_roman_drink	r2_sp_trait_civilized_sober
r2_sp_trait_roman_proscriptor	r2_sp_trait_roman_virtues_public_harmony
r2_sp_trait_roman_victor	r2_sp_trait_roman_unroman
r2_sp_trait_rome_mad	r2_sp_trait_all_admin_good
r2_sp_trait_rome_mad	r2_sp_trait_roman_virtues_public_forethought
