key	agent_distribution_profile_key	agent_recruitment_profile_key	budget_policy_key	character_skill_tree_manager_key	military_aggressiveness_policy	military_behaviour_policy	reliability_policy_key	religious_conversion_policy	technology_manager_key	allowed_for_random_selection	diplomatic_component	strategic_component	cultural_component	deal_evaluation_component	deal_generation_component	construction_system_policy	task_management_system_task_generation_profile	negotiation_component	income_allocation_policy	occupation_decision_component
inv_balanced	cai_adp_standard	cai_arp_standard	militaristic	default	cai_pmap_default	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	inv_militaristic	false	default	default	default	default	default	default_construction_system_policy	default_task_generator_profile	default	default	default
inv_balanced_cautious	cai_adp_standard	cai_arp_standard	militaristic	default	cai_pmap_low	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	inv_militaristic	false	default	default	default	default	default	default_construction_system_policy	default_task_generator_profile	default	default	default
inv_balanced_loyal	cai_adp_standard	cai_arp_standard	militaristic	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_very_high	cai_prcp_evasive	inv_militaristic	false	default	default	default	default	default	default_construction_system_policy	default_task_generator_profile	default	default	default
inv_balanced_treacherous	cai_adp_standard	cai_arp_standard	militaristic	parent_army	cai_pmap_medium	cai_pmbp_balanced	cai_prp_very_low	cai_prcp_evasive	inv_militaristic	false	default	default	default	default	default	default_construction_system_policy	default_task_generator_profile	default	default	default
inv_diplomatic_aggressive	cai_adp_standard	cai_arp_standard	balanced_diplomatic	default	cai_pmap_high	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	inv_militaristic	false	diplomat	default	default	money_driven	default	economist_construction_system_policy	default_task_generator_profile	default	default	default
inv_diplomatic_cautious	cai_adp_standard	cai_arp_standard	balanced_diplomatic	default	cai_pmap_low	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	inv_militaristic	false	diplomat	default	default	money_driven	default	economist_construction_system_policy	default_task_generator_profile	default	default	default
inv_diplomatic_passive	cai_adp_standard	cai_arp_standard	balanced_diplomatic	default	cai_pmap_very_low	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	inv_militaristic	false	diplomat	default	default	money_driven	default	economist_construction_system_policy	default_task_generator_profile	default	default	default
inv_diplomatic_warlike	cai_adp_standard	cai_arp_standard	balanced_diplomatic	default	cai_pmap_very_high	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	inv_militaristic	false	diplomat	default	default	money_driven	default	economist_construction_system_policy	default_task_generator_profile	default	default	default
inv_gauls_diplomatic	cai_adp_standard	cai_arp_standard	balanced_diplomatic	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	inv_militaristic	false	diplomat	self_centered	default	opportunistic	default	militarist_construction_system_policy	default_task_generator_profile	default	default	default
inv_gauls_diplomatic_aggressive	cai_adp_standard	cai_arp_standard	balanced_diplomatic	default	cai_pmap_very_high	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	inv_militaristic	false	diplomat	self_centered	default	opportunistic	default	militarist_construction_system_policy	default_task_generator_profile	default	default	default
inv_gauls_diplomatic_cautious	cai_adp_standard	cai_arp_standard	balanced_diplomatic	default	cai_pmap_low	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	inv_militaristic	false	diplomat	self_centered	default	opportunistic	default	militarist_construction_system_policy	default_task_generator_profile	default	default	default
inv_gauls_diplomatic_passive	cai_adp_standard	cai_arp_standard	balanced_diplomatic	default	cai_pmap_very_low	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	inv_militaristic	false	diplomat	self_centered	default	opportunistic	default	militarist_construction_system_policy	default_task_generator_profile	default	default	default
inv_gauls_warlike	cai_adp_standard	cai_arp_standard	militaristic_extra_research	default	cai_pmap_high	cai_pmbp_balanced	cai_prp_very_low	cai_prcp_evasive	inv_militaristic	false	default	reckless	default	warlike	default	militarist_construction_system_policy	default_task_generator_profile	default	default	default
inv_gauls_warlike_aggressive	cai_adp_standard	cai_arp_standard	militaristic_extra_research	default	cai_pmap_very_high	cai_pmbp_balanced	cai_prp_very_low	cai_prcp_evasive	inv_militaristic	false	default	reckless	default	warlike	default	militarist_construction_system_policy	default_task_generator_profile	default	default	default
inv_gauls_warlike_confident	cai_adp_standard	cai_arp_standard	militaristic_extra_research	default	cai_pmap_medium_to_high	cai_pmbp_balanced	cai_prp_very_low	cai_prcp_evasive	inv_militaristic	false	default	reckless	default	warlike	default	militarist_construction_system_policy	default_task_generator_profile	default	default	default
inv_gauls_warlike_passive	cai_adp_standard	cai_arp_standard	militaristic_extra_research	default	cai_pmap_low	cai_pmbp_balanced	cai_prp_very_low	cai_prcp_evasive	inv_militaristic	false	default	reckless	default	warlike	default	militarist_construction_system_policy	default_task_generator_profile	default	default	default
minor_afroarabian	cai_adp_standard	cai_arp_standard	builder	default	cai_pmap_very_low	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	civilian	false	default	default	default	trader	default	economist_construction_system_policy	default_task_generator_profile	haggler	default	default
minor_afroarabian_alternative	cai_adp_standard	cai_arp_standard	builder	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_very_low	cai_prcp_evasive	civilian	false	default	reckless	default	trader	default	economist_construction_system_policy	default_task_generator_profile	haggler	default	default
minor_celtic	cai_adp_standard	cai_arp_standard	default_budget_policy	default	cai_pmap_medium_to_high	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	military_land	false	default	self_centered	default	money_driven	default	default_construction_system_policy	default_task_generator_profile	hot_headed	default	default
minor_celtic_alternative	cai_adp_standard	cai_arp_standard	default_budget_policy	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	military_land	false	default	reckless	default	money_hater	default	default_construction_system_policy	default_task_generator_profile	hot_headed	default	default
minor_eastern	cai_adp_standard	cai_arp_standard	default_budget_policy	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_very_low	cai_prcp_evasive	balanced	false	default	strategic_opportunist	default	opportunistic	default	default_construction_system_policy	default_task_generator_profile	haggler	default	default
minor_eastern_alternative	cai_adp_standard	cai_arp_standard	default_budget_policy	default	cai_pmap_medium_to_high	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	balanced	false	historian	strategic_opportunist	default	trader	default	default_construction_system_policy	default_task_generator_profile	haggler	default	default
minor_germanic	cai_adp_standard	cai_arp_standard	militaristic	default	cai_pmap_very_high	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	military_land	false	default	default	default	warlike	default	anarchist_construction_system_policy	default_task_generator_profile	straightforward	default	default
minor_germanic_alternative	cai_adp_standard	cai_arp_standard	militaristic	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	military_land	false	historian	reckless	default	stance_driven	default	anarchist_construction_system_policy	default_task_generator_profile	straightforward	default	default
minor_hellenic	cai_adp_standard	cai_arp_standard	balanced_diplomatic	default	cai_pmap_medium_to_high	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	balanced	false	historian	strategic_opportunist	default	strength_driven	default	default_construction_system_policy	default_task_generator_profile	balanced	default	default
minor_hellenic_alternative	cai_adp_standard	cai_arp_standard	balanced_diplomatic	default	cai_pmap_low	cai_pmbp_balanced	cai_prp_very_high	cai_prcp_evasive	balanced	false	diplomat	strategist	default	friendly	default	default_construction_system_policy	default_task_generator_profile	balanced	default	default
minor_hellenic_eastern	cai_adp_standard	cai_arp_standard	militaristic	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_very_low	cai_prcp_evasive	military_land	false	historian	strategic_opportunist	default	strength_driven	default	militarist_construction_system_policy	default_task_generator_profile	hot_headed	default	default
minor_hellenic_eastern_alternative	cai_adp_standard	cai_arp_standard	militaristic	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	military_land	false	historian	reckless	default	friendly	default	militarist_construction_system_policy	default_task_generator_profile	hot_headed	default	default
minor_latin	cai_adp_standard	cai_arp_standard	default_budget_policy	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	military_land	false	dynamic	resource_hoarder	default	warlike	default	default_construction_system_policy	default_task_generator_profile	balanced	default	default
minor_nomadic	cai_adp_standard	cai_arp_standard	militaristic	default	cai_pmap_high	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	military_land	false	default	default	default	warlike	default	anarchist_construction_system_policy	default_task_generator_profile	determined	default	default
minor_nomadic_alternative	cai_adp_standard	cai_arp_standard	militaristic	default	cai_pmap_very_high	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	military_land	false	default	reckless	default	stance_driven	default	anarchist_construction_system_policy	default_task_generator_profile	determined	default	default
minor_punic	cai_adp_standard	cai_arp_standard	militaristic_naval	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	military_navy	false	default	default	default	trader	default	economist_construction_system_policy	default_task_generator_profile	haggler	default	default
playable_british	cai_adp_standard	cai_arp_standard	builder	default	cai_pmap_low	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	balanced	false	default	default	default	loyal	default	militarist_construction_system_policy	default_task_generator_profile	straightforward	default	default
playable_carthaginian	cai_adp_standard	cai_arp_standard	militaristic_naval	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	military_navy	false	default	strategist	default	trader	default	economist_construction_system_policy	default_task_generator_profile	haggler	default	default
playable_celtic	cai_adp_standard	cai_arp_standard	militaristic	default	cai_pmap_high	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	military_land	false	default	default	default	warlike	default	militarist_construction_system_policy	default_task_generator_profile	hot_headed	default	default
playable_egyptian	cai_adp_standard	cai_arp_standard	militaristic_naval	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	military_navy	false	historian	strategic_opportunist	default	unfriendly	default	default_construction_system_policy	default_task_generator_profile	haggler	default	default
playable_germanic	cai_adp_standard	cai_arp_standard	militaristic	default	cai_pmap_very_high	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	military_land	false	default	strategist	default	default	default	militarist_construction_system_policy	default_task_generator_profile	straightforward	default	default
playable_greek	cai_adp_standard	cai_arp_standard	default_budget_policy	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	balanced	false	diplomat	strategist	default	default	default	default_construction_system_policy	default_task_generator_profile	balanced	default	default
playable_pathian	cai_adp_standard	cai_arp_standard	militaristic	default	cai_pmap_high	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	military_land	false	default	default	default	stance_driven	default	militarist_construction_system_policy	default_task_generator_profile	haggler	default	default
playable_pel_greek	cai_adp_standard	cai_arp_standard	default_budget_policy	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	balanced	false	diplomat	strategist	default	pel_greek	default	default_construction_system_policy	default_task_generator_profile	balanced	default	default
playable_pel_league	cai_adp_standard	cai_arp_standard	default_budget_policy	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	balanced	false	diplomat	strategist	default	pel_tricky_allies	default	default_construction_system_policy	default_task_generator_profile	balanced	default	default
playable_pel_naval_state	cai_adp_standard	cai_arp_standard	pel_naval_state_policy	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	military_navy	false	diplomat	strategist	default	pel_greek	default	default_construction_system_policy	default_task_generator_profile	balanced	default	default
playable_pel_spartan	cai_adp_standard	cai_arp_standard	default_budget_policy	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_very_high	cai_prcp_evasive	military_land	false	default	default	default	pel_greek	default	default_construction_system_policy	default_task_generator_profile	determined	default	default
playable_pel_spartan_tricky	cai_adp_standard	cai_arp_standard	default_budget_policy	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	military_land	false	default	default	default	pel_tricky_allies	default	default_construction_system_policy	default_task_generator_profile	determined	default	default
playable_pontic	cai_adp_standard	cai_arp_standard	default_budget_policy	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	balanced	false	diplomat	reckless	default	friendly	default	default_construction_system_policy	default_task_generator_profile	balanced	default	default
playable_roman	cai_adp_standard	cai_arp_standard	default_budget_policy	default	cai_pmap_high	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	balanced	false	diplomat	strategist	default	warlike	default	default_construction_system_policy	default_task_generator_profile	balanced	default	default
playable_seleucid	cai_adp_standard	cai_arp_standard	default_budget_policy	default	cai_pmap_low	cai_pmbp_balanced	cai_prp_very_low	cai_prcp_evasive	civilian	false	default	strategic_opportunist	default	default	default	default_construction_system_policy	default_task_generator_profile	hot_headed	default	default
playable_spartan	cai_adp_standard	cai_arp_standard	default_budget_policy	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_very_high	cai_prcp_evasive	military_land	false	default	default	default	default	default	default_construction_system_policy	default_task_generator_profile	determined	default	default
pro_passive	cai_adp_standard	cai_arp_standard	balanced	default	cai_pmap_default	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	balanced	false	dynamic	default	default	pro_passive	default	default_construction_system_policy	default_task_generator_profile	default	default	default
pun_rome	cai_adp_standard	cai_arp_standard	militaristic_naval	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	military_navy	false	default	strategist	default	trader	default	economist_construction_system_policy	pun_expansive_task_generator_profile	haggler	default	default
random	cai_adp_standard	cai_arp_standard	default_budget_policy	default	cai_pmap_default	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	false	diplomat	default	default	default	default	default_construction_system_policy	default_task_generator_profile	default	default	default
