key	arrival_message	campaign_subject_key	departure_message	effect_bundle_key	flavour_text	max_turns	min_turns	weighting
rom_banning_corrupt		rom_banning_corrupt	rom_banning_corrupt_leave	rom_subject_infamy	rom_banning_corrupt	10	5	1.0000
rom_hostile_dispute		rom_hostile_dispute	civ_hostile_dispute_leave	rom_subject_infamy	civ_hostile_dispute	10	5	1.0000
rom_hostile_governor		rom_hostile_governor	civ_hostile_governor_leave	rom_subject_infamy	civ_hostile_governor	10	5	1.0000
rom_secret_meetings		rom_secret_meetings	civ_secret_meetings_leave	rom_subject_infamy	civ_secret_meetings	10	5	1.0000
rom_subject_barb_britons_sacred_sword		rom_subject_barb_britons_sacred_sword	rom_subject_barb_britons_sacred_sword_leave	rom_subject_infamy	rom_subject_barb_britons_sacred_sword_flavour	4	2	1.0000
rom_subject_barb_creature_1_white_faun		rom_subject_barb_creature_1_white_faun	rom_subject_barb_creature_1_white_faun_leave	rom_subject_glory	rom_subject_barb_creature_1_white_faun_flavour	6	3	1.0000
rom_subject_barb_family_member_1_brotherly_love		rom_subject_barb_family_member_1_brotherly_love	rom_subject_barb_family_member_1_brotherly_love_leave	rom_subject_disgrace	rom_subject_barb_family_member_1_brotherly_love_flavour	4	2	1.0000
rom_subject_barb_family_member_2_younger_son		rom_subject_barb_family_member_2_younger_son	rom_subject_barb_family_member_2_younger_son_leave	rom_subject_infamy	rom_subject_barb_family_member_2_younger_son_flavour	4	2	1.0000
rom_subject_barb_family_member_3_kidnapped		rom_subject_barb_family_member_3_kidnapped	rom_subject_barb_family_member_3_kidnapped_leave	rom_subject_disgrace	rom_subject_barb_family_member_3_kidnapped_flavour	4	2	1.0000
rom_subject_barb_family_member_4_dead		rom_subject_barb_family_member_4_dead	rom_subject_barb_family_member_4_dead_leave	rom_subject_fame	rom_subject_barb_family_member_4_dead_flavour	4	2	1.0000
rom_subject_barb_family_member_5_long_lost_flavour		rom_subject_barb_family_member_5_long_lost_flavour	rom_subject_barb_family_member_5_long_lost_flavour_leave	rom_subject_infamy	rom_subject_barb_family_member_5_long_lost_flavour	4	2	1.0000
rom_subject_barb_family_member_6_unfaithful_woman		rom_subject_barb_family_member_6_unfaithful_woman	rom_subject_barb_family_member_6_unfaithful_woman_leave	rom_subject_infamy	rom_subject_barb_family_member_6_unfaithful_woman_flavour	4	2	1.0000
rom_subject_barb_family_member_7_hares		rom_subject_barb_family_member_7_hares	rom_subject_barb_family_member_7_hares_leave	rom_subject_bad_omen	rom_subject_barb_family_member_7_hares_flavour	4	2	1.0000
rom_subject_barb_gaul_family_member_blessed_by_the_gods_1		rom_subject_barb_gaul_family_member_blessed_by_the_gods_1	rom_subject_barb_gaul_family_member_blessed_by_the_gods_1_leave	rom_subject_fame	rom_subject_barb_gaul_family_member_blessed_by_the_gods_flavour	4	2	1.0000
rom_subject_barb_profession_1_chariot		rom_subject_barb_profession_1_chariot	rom_subject_barb_profession_1_chariot_leave	rom_subject_fame	rom_subject_barb_profession_1_chariot_flavour	4	2	1.0000
rom_subject_barb_religious_1_looters		rom_subject_barb_religious_1_looters	rom_subject_barb_religious_1_looters_leave	rom_subject_bad_omen	rom_subject_barb_religious_1_looters_flavour	6	4	1.0000
rom_subject_barb_religious_2_talking_head		rom_subject_barb_religious_2_talking_head	rom_subject_barb_religious_2_talking_head_leave	rom_subject_bad_omen	rom_subject_barb_religious_2_talking_head_flavour	6	4	1.0000
rom_subject_barb_religious_3_drought		rom_subject_barb_religious_3_drought	rom_subject_barb_religious_3_drought_leave	rom_subject_wrath_of_gods	rom_subject_barb_religious_3_drought_flavour	6	4	1.0000
rom_subject_barb_religious_4_hag		rom_subject_barb_religious_4_hag	rom_subject_barb_religious_4_hag_leave	rom_subject_bad_omen	rom_subject_barb_religious_4_hag_flavour	6	4	1.0000
rom_subject_barb_religious_5_the_hunt		rom_subject_barb_religious_5_the_hunt	rom_subject_barb_religious_5_the_hunt_leave	rom_subject_favoured_by_gods	rom_subject_barb_religious_5_the_hunt_flavour	4	2	1.0000
rom_subject_barb_the_hunt		rom_subject_barb_the_hunt	rom_subject_barb_the_hunt_leave	rom_subject_bad_omen	rom_subject_barb_the_hunt_flavour	4	2	1.0000
rom_subject_barb_trade_1_Silk		rom_subject_barb_trade_1_Silk	rom_subject_barb_trade_1_Silk_leave	rom_subject_foreign_trade	rom_subject_barb_trade_1_Silk_flavour	4	2	1.0000
rom_subject_barb_trade_2_Spices		rom_subject_barb_trade_2_Spices	rom_subject_barb_trade_2_Spices_leave	rom_subject_foreign_trade	rom_subject_barb_trade_2_Spices_flavour	4	2	1.0000
rom_subject_barb_trade_3_Nisean		rom_subject_barb_trade_3_Nisean	rom_subject_barb_trade_3_Nisean_leave	rom_subject_foreign_trade	rom_subject_barb_trade_3_Nisean_flavour	4	2	1.0000
rom_subject_barb_trade_4_Wine		rom_subject_barb_trade_4_Wine	rom_subject_barb_trade_4_Wine_leave	rom_subject_foreign_trade	rom_subject_barb_trade_4_Wine_flavour	4	2	1.0000
rom_subject_barb_trade_5_tyrian_purple		rom_subject_barb_trade_5_tyrian_purple	rom_subject_barb_trade_5_tyrian_purple_leave	rom_subject_foreign_trade	rom_subject_barb_trade_5_tyrian_purple_flavour	4	2	1.0000
rom_subject_barb_vanquished_leader		rom_subject_barb_vanquished_leader	rom_subject_barb_vanquished_leader_leave	rom_subject_infamy	rom_subject_barb_vanquished_leader_flavour	4	2	1.0000
rom_subject_barb_witchcraft		rom_subject_barb_witchcraft	rom_subject_barb_witchcraft_leave	rom_subject_bad_omen	rom_subject_barb_witchcraft_flavour	6	3	1.0000
rom_subject_eastern_archon_1_death		rom_subject_eastern_archon_1_death	rom_subject_eastern_archon_1_death_leave	rom_payload_tribute_local	rom_subject_eastern_archon_1_death_flavour	10	5	1.0000
rom_subject_eastern_archon_2_plenty_slaves		rom_subject_eastern_archon_2_plenty_slaves	rom_subject_eastern_archon_2_plenty_slaves_leave	rom_payload_slave_unhappiness	rom_subject_eastern_archon_2_plenty_slaves_flavour	10	5	1.0000
rom_subject_eastern_archon_3_lack_slaves		rom_subject_eastern_archon_3_lack_slaves	rom_subject_eastern_archon_3_lack_slaves_leave	rom_payload_slave_unhappiness	rom_subject_eastern_archon_3_lack_slaves_flavour	10	5	1.0000
rom_subject_eastern_archon_4_evil_eye		rom_subject_eastern_archon_4_evil_eye	rom_subject_eastern_archon_4_evil_eye_leave	rom_subject_bad_omen	rom_subject_eastern_archon_4_evil_eye_flavour	10	5	1.0000
rom_subject_eastern_archon_5_Barren_land		rom_subject_eastern_archon_5_Barren_land	rom_subject_eastern_archon_5_Barren_land_leave	rom_payload_agriculture_gdp_mod_negative	rom_subject_eastern_archon_5_Barren_land_flavour	10	5	1.0000
rom_subject_eastern_concubine_1_foreign_beauty		rom_subject_eastern_concubine_1_foreign_beauty	rom_subject_eastern_concubine_1_foreign_beauty_leave	rom_subject_glory	rom_subject_eastern_concubine_1_foreign_beauty_flavour	10	5	1.0000
rom_subject_eastern_concubine_2_killer_queen		rom_subject_eastern_concubine_2_killer_queen	rom_subject_eastern_concubine_2_killer_queen_leave	rom_subject_disgrace	rom_subject_eastern_concubine_2_killer_queen_flavour	10	5	1.0000
rom_subject_eastern_concubine_3_plots		rom_subject_eastern_concubine_3_plots	rom_subject_eastern_concubine_3_plots_leave	rom_subject_disgrace	rom_subject_eastern_concubine_3_plots_flavour	10	5	1.0000
rom_subject_eastern_creature_1_griffin		rom_subject_eastern_creature_1_griffin	rom_subject_eastern_creature_1_griffin_leave	rom_subject_glory	rom_subject_eastern_creature_1_griffin_flavour	10	5	1.0000
rom_subject_eastern_creature_2_djinn		rom_subject_eastern_creature_2_djinn	rom_subject_eastern_creature_2_djinn_leave	rom_subject_glory	rom_subject_eastern_creature_2_djinn_flavour	10	5	1.0000
rom_subject_eastern_family_member_1_revenge		rom_subject_eastern_family_member_1_revenge	rom_subject_eastern_family_member_1_revenge_leave	rom_subject_infamy	rom_subject_eastern_family_member_1_revenge_flavour	10	5	1.0000
rom_subject_eastern_family_member_2_debauched		rom_subject_eastern_family_member_2_debauched	rom_subject_eastern_family_member_2_debauched_leave	rom_subject_disgrace	rom_subject_eastern_family_member_2_debauched_flavour	10	5	1.0000
rom_subject_eastern_family_member_3_greek_lover		rom_subject_eastern_family_member_3_greek_lover	rom_subject_eastern_family_member_3_greek_lover_leave	rom_subject_disgrace	rom_subject_eastern_family_member_3_greek_lover_flavour	10	5	1.0000
rom_subject_eastern_family_member_4_kidnapped		rom_subject_eastern_family_member_4_kidnapped	rom_subject_eastern_family_member_4_kidnapped_leave	rom_subject_disgrace	rom_subject_eastern_family_member_4_kidnapped_flavour	10	5	1.0000
rom_subject_eastern_profession_1_Goldsmith		rom_subject_eastern_profession_1_Goldsmith	rom_subject_eastern_profession_1_Goldsmith_leave	rom_payload_prosperity_local	rom_subject_eastern_profession_1_Goldsmith_flavour	10	5	1.0000
rom_subject_eastern_profession_2_rhyton		rom_subject_eastern_profession_2_rhyton	rom_subject_eastern_profession_2_rhyton_leave	rom_payload_prosperity_local	rom_subject_eastern_profession_2_rhyton_flavour	10	5	1.0000
rom_subject_eastern_profession_3_caravans		rom_subject_eastern_profession_3_caravans	rom_subject_eastern_profession_3_caravans_leave	rom_subject_local_trade	rom_subject_eastern_profession_3_caravans_flavour	10	5	1.0000
rom_subject_eastern_profession_3_gosan		rom_subject_eastern_profession_3_gosan	rom_subject_eastern_profession_3_gosan_leave	rom_payload_disaffection_local	rom_subject_eastern_profession_3_gosan_flavour	10	5	1.0000
rom_subject_eastern_religious_1_star_flood		rom_subject_eastern_religious_1_star_flood	rom_subject_eastern_religious_1_star_flood_leave	rom_subject_bad_omen	rom_subject_eastern_religious_1_star_flood_flavour	10	5	1.0000
rom_subject_eastern_religious_2_dark_dreams		rom_subject_eastern_religious_2_dark_dreams	rom_subject_eastern_religious_2_dark_dreams_leave	rom_subject_bad_omen	rom_subject_eastern_religious_2_dark_dreams_flavour	10	5	1.0000
rom_subject_eastern_religious_3_star_prosperity		rom_subject_eastern_religious_3_star_prosperity	rom_subject_eastern_religious_3_star_prosperity_leave	rom_subject_favoured_by_gods	rom_subject_eastern_religious_3_star_prosperity_flavour	10	5	1.0000
rom_subject_eastern_religious_4_star_baby		rom_subject_eastern_religious_4_star_baby	rom_subject_eastern_religious_4_star_baby_leave	rom_subject_bad_omen	rom_subject_eastern_religious_4_star_baby_flavour	10	5	1.0000
rom_subject_eastern_trade_1_Silk		rom_subject_eastern_trade_1_Silk	rom_subject_eastern_trade_1_Silk_leave	rom_subject_foreign_trade	rom_subject_eastern_trade_1_Silk_flavour	4	2	1.0000
rom_subject_eastern_trade_2_Nisean		rom_subject_eastern_trade_2_Nisean	rom_subject_eastern_trade_2_Nisean_leave	rom_subject_foreign_trade	rom_subject_eastern_trade_2_Nisean_flavour	4	2	1.0000
rom_subject_hellenic_family_member_1_debt		rom_subject_hellenic_family_member_1_debt	rom_subject_hellenic_family_member_1_debt_leave	rom_subject_infamy	rom_subject_hellenic_family_member_1_debt_flavour	10	5	1.0000
rom_subject_hellenic_family_member_2_debt_own		rom_subject_hellenic_family_member_2_debt_own	rom_subject_hellenic_family_member_2_debt_own_leave	rom_subject_infamy	rom_subject_hellenic_family_member_2_debt_own_flavour	10	5	1.0000
rom_subject_hellenic_family_member_3_promising		rom_subject_hellenic_family_member_3_promising	rom_subject_hellenic_family_member_3_promising_leave	rom_subject_fame	rom_subject_hellenic_family_member_3_promising_flavour	10	5	1.0000
rom_subject_hellenic_family_member_4_Agamemnon		rom_subject_hellenic_family_member_4_Agamemnon	rom_subject_hellenic_family_member_4_Agamemnon_leave	rom_subject_disgrace	rom_subject_hellenic_family_member_4_Agamemnon_flavour	10	5	1.0000
rom_subject_hellenic_hetaira_1		rom_subject_hellenic_hetaira_1	rom_subject_hellenic_hetaira_1_leave	rom_subject_disgrace	rom_subject_hellenic_hetaira_1_flavour	10	5	1.0000
rom_subject_hellenic_hetaira_2		rom_subject_hellenic_hetaira_2	rom_subject_hellenic_hetaira_2_leave	rom_subject_wrath_of_gods	rom_subject_hellenic_hetaira_2_flavour	10	5	1.0000
rom_subject_hellenic_hetaira_3		rom_subject_hellenic_hetaira_3	rom_subject_hellenic_hetaira_3_leave	rom_subject_disgrace	rom_subject_hellenic_hetaira_3_flavour	10	5	1.0000
rom_subject_hellenic_hetaira_4		rom_subject_hellenic_hetaira_4	rom_subject_hellenic_hetaira_4_leave	rom_subject_wrath_of_gods	rom_subject_hellenic_hetaira_4_flavour	10	5	1.0000
rom_subject_hellenic_magistrate_1_Barren_land		rom_subject_hellenic_magistrate_1_Barren_land	rom_subject_hellenic_magistrate_1_Barren_land_leave	rom_payload_agriculture_gdp_mod_negative	rom_subject_hellenic_magistrate_1_Barren_land_flavour	10	5	1.0000
rom_subject_hellenic_magistrate_2_Wine		rom_subject_hellenic_magistrate_2_Wine	rom_subject_hellenic_magistrate_2_Wine_leave	rom_payload_unhappy_populace	rom_subject_hellenic_magistrate_2_Wine_flavour	10	5	1.0000
rom_subject_hellenic_magistrate_3_lack_slaves		rom_subject_hellenic_magistrate_3_lack_slaves	rom_subject_hellenic_magistrate_3_lack_slaves_leave	rom_payload_slave_unhappiness	rom_subject_hellenic_magistrate_3_lack_slaves_flavour	10	5	1.0000
rom_subject_hellenic_magistrate_4_plenty_slaves		rom_subject_hellenic_magistrate_4_plenty_slaves	rom_subject_hellenic_magistrate_4_plenty_slaves_leave	rom_payload_slave_unhappiness	rom_subject_hellenic_magistrate_4_plenty_slaves_flavour	10	5	1.0000
rom_subject_hellenic_magistrate_5_bad_wife		rom_subject_hellenic_magistrate_5_bad_wife	rom_subject_hellenic_magistrate_5_bad_wife_leave	rom_subject_bad_omen_troubled_populace	rom_subject_hellenic_magistrate_5_bad_wife_flavour	10	5	1.0000
rom_subject_hellenic_profession_1_Goldsmith		rom_subject_hellenic_profession_1_Goldsmith	rom_subject_hellenic_profession_1_Goldsmith_leave	rom_payload_prosperity_local	rom_subject_hellenic_profession_1_Goldsmith_flavour	10	5	1.0000
rom_subject_hellenic_profession_2_Blacksmith		rom_subject_hellenic_profession_2_Blacksmith	rom_subject_hellenic_profession_2_Blacksmith_leave	rom_payload_prosperity_local	rom_subject_hellenic_profession_2_Blacksmith_flavour	10	5	1.0000
rom_subject_hellenic_profession_4_Priestess		rom_subject_hellenic_profession_4_Priestess	rom_subject_hellenic_profession_4_Priestess_leave	rom_subject_bad_omen	rom_subject_hellenic_profession_4_Priestess_flavour	10	5	1.0000
rom_subject_hellenic_profession_5_Librarian		rom_subject_hellenic_profession_5_Librarian	rom_subject_hellenic_profession_5_Librarian_leave	rom_payload_research	rom_subject_hellenic_profession_5_Librarian_flavour	10	5	1.0000
rom_subject_hellenic_profession_6_Slaver		rom_subject_hellenic_profession_6_Slaver	rom_subject_hellenic_profession_6_Slaver_leave	rom_payload_slave_unhappiness	rom_subject_hellenic_profession_6_Slaver_flavour	10	5	1.0000
rom_subject_hellenic_profession_7_Miner		rom_subject_hellenic_profession_7_Miner	rom_subject_hellenic_profession_7_Miner_leave	rom_payload_prosperity_local	rom_subject_hellenic_profession_7_Miner_flavour	10	5	1.0000
rom_subject_hellenic_religions_1_Dodona		rom_subject_hellenic_religions_1_Dodona	rom_subject_hellenic_religions_1_Dodona_leave	rom_subject_bad_omen	rom_subject_hellenic_religious_1_Dodona_flavour	10	5	1.0000
rom_subject_hellenic_religious_2_Dodona		rom_subject_hellenic_religious_2_Dodona	rom_subject_hellenic_religious_2_Dodona_leave	rom_subject_good_omen	rom_subject_hellenic_religious_2_Dodona_flavour	10	5	1.0000
rom_subject_hellenic_religious_3_Chalcon		rom_subject_hellenic_religious_3_Chalcon	rom_subject_hellenic_religious_3_Chalcon_leave	rom_subject_bad_omen	rom_subject_hellenic_religious_3_Chalcon_flavour	10	5	1.0000
rom_subject_hellenic_religious_4_Delphoi		rom_subject_hellenic_religious_4_Delphoi	rom_subject_hellenic_religious_4_Delphoi_leave	rom_subject_bad_omen	rom_subject_hellenic_religious_4_Delphoi_flavour	10	5	1.0000
rom_subject_hellenic_religious_5_Epidaurus		rom_subject_hellenic_religious_5_Epidaurus	rom_subject_hellenic_religious_5_Epidaurus_leave	rom_subject_bad_omen	rom_subject_hellenic_religious_5_Epidaurus_flavour	10	5	1.0000
rom_subject_hellenic_religious_6_hedonistic		rom_subject_hellenic_religious_6_hedonistic	rom_subject_hellenic_religious_6_hedonistic_leave	rom_subject_bad_omen	rom_subject_hellenic_religious_6_hedonistic_flavour	10	5	1.0000
rom_subject_hellenic_religious_7_Bura		rom_subject_hellenic_religious_7_Bura	rom_subject_hellenic_religious_7_Bura_leave	rom_subject_good_omen	rom_subject_hellenic_religious_7_Bura_flavour	10	5	1.0000
rom_subject_hellenic_slaves_1_secrets		rom_subject_hellenic_slaves_1_secrets	rom_subject_hellenic_slaves_1_secrets_leave	rom_subject_fame	rom_subject_hellenic_slaves_1_secrets_flavour	10	5	1.0000
rom_subject_hellenic_slaves_2_Thracian		rom_subject_hellenic_slaves_2_Thracian	rom_subject_hellenic_slaves_2_Thracian_leave	rom_subject_infamy	rom_subject_hellenic_slaves_2_Thracian_flavour	10	5	1.0000
rom_subject_hellenic_slaves_3_slavedriver		rom_subject_hellenic_slaves_3_slavedriver	rom_subject_hellenic_slaves_3_slavedriver_leave	rom_payload_slave_unhappiness	rom_subject_hellenic_slaves_3_slavedriver_flavour	10	5	1.0000
rom_subject_hellenic_trade_1_Silk		rom_subject_hellenic_trade_1_Silk	rom_subject_hellenic_trade_1_Silk_leave	rom_subject_foreign_trade	rom_subject_hellenic_trade_1_Silk_flavour	4	2	1.0000
rom_subject_hellenic_trade_2_Spices		rom_subject_hellenic_trade_2_Spices	rom_subject_hellenic_trade_2_Spices_leave	rom_subject_foreign_trade	rom_subject_hellenic_trade_2_Spices_flavour	4	2	1.0000
rom_subject_hellenic_trade_3_Nisean		rom_subject_hellenic_trade_3_Nisean	rom_subject_hellenic_trade_3_Nisean_leave	rom_subject_foreign_trade	rom_subject_hellenic_trade_3_Nisean_flavour	4	2	1.0000
rom_subject_roman_creature_dolphin		rom_subject_roman_creature_dolphin	rom_subject_roman_creature_dolphin_leave	rom_subject_local_trade	rom_subject_roman_creature_dolphin_flavour	10	5	1.0000
rom_subject_roman_creature_white_faun_1		rom_subject_roman_creature_white_faun_1	rom_subject_roman_creature_white_faun_1_leave	rom_subject_glory	rom_subject_roman_creature_white_faun_1_flavour	10	5	1.0000
rom_subject_roman_cult_1		rom_subject_roman_cult_1	rom_subject_roman_cult_1_leave	rom_subject_bad_omen	rom_subject_roman_cult_1_flavour	10	5	1.0000
rom_subject_roman_family_member_1_blessed		rom_subject_roman_family_member_1_blessed	rom_subject_roman_family_member_1_blessed_leave	rom_subject_fame	rom_subject_roman_family_member_1_blessed_flavour	10	5	1.0000
rom_subject_roman_family_member_2_harlot		rom_subject_roman_family_member_2_harlot	rom_subject_roman_family_member_2_harlot_leave	rom_subject_infamy	rom_subject_roman_family_member_2_harlot_flavour	10	5	1.0000
rom_subject_roman_family_member_3_long_lost		rom_subject_roman_family_member_3_long_lost	rom_subject_roman_family_member_3_long_lost_leave	rom_subject_infamy	rom_subject_roman_family_member_3_long_lost_flavour	10	5	1.0000
rom_subject_roman_family_member_5_Child_mars		rom_subject_roman_family_member_5_Child_mars	rom_subject_roman_family_member_5_Child_mars_leave	rom_subject_fame	rom_subject_roman_family_member_5_Child_mars_flavour	10	5	1.0000
rom_subject_roman_family_member_6_pirates		rom_subject_roman_family_member_6_pirates	rom_subject_roman_family_member_6_pirates_leave	rom_subject_infamy	rom_subject_roman_family_member_6_pirates_flavour	10	5	1.0000
rom_subject_roman_family_member_6_surgeon		rom_subject_roman_family_member_6_surgeon	rom_subject_roman_family_member_6_surgeon_leave	rom_subject_infamy	rom_subject_roman_family_member_6_surgeon_flavour	10	5	1.0000
rom_subject_roman_family_member_vicious_wife_1		rom_subject_roman_family_member_vicious_wife_1	rom_subject_roman_family_member_vicious_wife_1_leave	rom_subject_infamy	rom_subject_roman_family_member_4_Vicious_words_flavour	10	5	1.0000
rom_subject_roman_general_cloaka_maxima		rom_subject_roman_general_cloaka_maxima	rom_subject_roman_general_cloaka_maxima_leave	rom_subject_disgrace	rom_subject_roman_general_cloaka_maxima_flavour	10	5	1.0000
rom_subject_roman_guardian_1		rom_subject_roman_guardian_1	rom_subject_roman_guardian_1_leave	rom_subject_infamy	rom_subject_roman_guardian_1_flavour	10	5	1.0000
rom_subject_roman_legate_1_Poisoner		rom_subject_roman_legate_1_Poisoner	rom_subject_roman_legate_1_Poisoner_leave	rom_subject_infamy	rom_subject_roman_legate_1_Poisoner_flavour	10	5	1.0000
rom_subject_roman_legate_2_Horned		rom_subject_roman_legate_2_Horned	rom_subject_roman_legate_2_Horned_leave	rom_subject_infamy	rom_subject_roman_legate_2_Horned_flavour	10	5	1.0000
rom_subject_roman_legate_3_Lack_slaves		rom_subject_roman_legate_3_Lack_slaves	rom_subject_roman_legate_3_Lack_slaves_leave	rom_payload_slave_unhappiness	rom_subject_roman_legate_3_Lack_slaves_flavour	10	5	1.0000
rom_subject_roman_legate_4_Plenty_slaves		rom_subject_roman_legate_4_Plenty_slaves	rom_subject_roman_legate_4_Plenty_slaves_leave	rom_payload_slave_unhappiness	rom_subject_roman_legate_4_Plenty_slaves_flavour	10	5	1.0000
rom_subject_roman_profession_1_Stranger		rom_subject_roman_profession_1_Stranger	rom_subject_roman_profession_1_Stranger_leave	rom_subject_fame	rom_subject_roman_profession_1_Stranger_flavour	10	5	1.0000
rom_subject_roman_profession_2_Lanista		rom_subject_roman_profession_2_Lanista	rom_subject_roman_profession_2_Lanista_leave	rom_payload_slave_unhappiness	rom_subject_roman_profession_2_Lanista_flavour	10	5	1.0000
rom_subject_roman_profession_3_Gladiator		rom_subject_roman_profession_3_Gladiator	rom_subject_roman_profession_3_Gladiator_leave	rom_payload_local_happiness	rom_subject_roman_profession_3_Gladiator_flavour	10	5	1.0000
rom_subject_roman_profession_4_Charioteer		rom_subject_roman_profession_4_Charioteer	rom_subject_roman_profession_4_Charioteer_leave	rom_payload_unhappy_populace	rom_subject_roman_profession_4_Charioteer_flavour	10	5	1.0000
rom_subject_roman_profession_5_Captain		rom_subject_roman_profession_5_Captain	rom_subject_roman_profession_5_Captain_leave	rom_subject_fame	rom_subject_roman_profession_5_Captain_flavour	10	5	1.0000
rom_subject_roman_religious_1_haruspay		rom_subject_roman_religious_1_haruspay	rom_subject_roman_religious_1_haruspay_leave	rom_subject_bad_omen	rom_subject_roman_religious_1_haruspay_flavour	10	5	1.0000
rom_subject_roman_religious_2_chickens		rom_subject_roman_religious_2_chickens	rom_subject_roman_religious_2_chickens_leave	rom_subject_good_omen	rom_subject_roman_religious_2_chickens_flavour	10	5	1.0000
rom_subject_roman_religious_3_augres		rom_subject_roman_religious_3_augres	rom_subject_roman_religious_3_augres_leave	rom_subject_bad_omen	rom_subject_roman_religious_3_augres_flavour	10	5	1.0000
rom_subject_roman_religious_4_vestal		rom_subject_roman_religious_4_vestal	rom_subject_roman_religious_4_vestal_leave	rom_subject_bad_omen	rom_subject_roman_religious_4_vestal_flavour	10	5	1.0000
rom_subject_roman_trade_aventine_gang		rom_subject_roman_trade_aventine_gang	rom_subject_roman_trade_aventine_gang_leave	rom_subject_payload_aventine	rom_subject_roman_trade_aventine_gang_1_flavour	6	4	1.0000
rom_subject_roman_wrecking		rom_subject_roman_wrecking	rom_subject_roman_wrecking_leave	rom_subject_local_trade_negative	rom_subject_roman_wrecking_flavour	10	5	1.0000
rom_temple_sacrilege		rom_temple_sacrilege	civ_temple_sacriledge_leave	rom_subject_infamy	civ_temple_sacriledge	10	5	1.0000
rom_young_challenger		rom_young_challenger	civ_young_challenger_leave	rom_subject_infamy	civ_young_challenger	10	5	1.0000
