key	no_going_back_level	hidden	precedence	icon	pre_battle_speech_parameter
inv_sp_trait_non_roman_background_fighter	1	false	1	good	
inv_sp_trait_non_roman_humors_phlegm	1	false	1	good	
inv_sp_trait_non_roman_virtues_personal_dignity	1	false	1	good	
inv_sp_trait_non_roman_virtues_personal_frugality	1	false	1	good	
inv_sp_trait_non_roman_virtues_personal_gravity	1	false	1	good	
inv_sp_trait_non_roman_virtues_personal_humanity	1	false	1	good	
inv_sp_trait_non_roman_virtues_personal_humour	1	false	1	good	
inv_sp_trait_non_roman_virtues_personal_industriousness	1	false	1	good	
inv_sp_trait_non_roman_virtues_personal_mercy	1	false	1	good	
inv_sp_trait_non_roman_virtues_personal_prudence	1	false	1	good	
inv_sp_trait_non_roman_virtues_personal_tenacity	1	false	1	good	
inv_sp_trait_non_roman_virtues_personal_truthfulness	1	false	1	good	
inv_sp_trait_non_roman_virtues_personal_wholesomeness	1	false	1	good	
inv_sp_trait_non_roman_virtues_public_dutifulness	1	false	1	good	
inv_sp_trait_non_roman_virtues_public_forethought	1	false	1	good	
inv_sp_trait_non_roman_virtues_public_freedom	1	false	1	good	
inv_sp_trait_non_roman_virtues_public_giving	1	false	1	good	
inv_sp_trait_non_roman_virtues_public_modesty	1	false	1	good	
inv_tribune	1	false	5	office	
pel_alkibiades	1	false	1	good	
pel_ch_athenai	1	false	5	office	
pel_ch_boiotia	1	false	5	office	
pel_ch_korinthos	1	false	5	office	
pel_ch_sparta	1	false	5	office	
pel_disgrace	1	false	100	bad	
pel_hero_army	1	false	100	good	
pel_hero_city	1	false	100	good	
pel_kleon	1	false	1	good	
pel_lysander	1	false	1	good	
pel_nikias	1	false	1	good	
pel_perikles	1	false	1	good	
pel_sokrates	1	false	1	good	
pel_thukydides	1	false	1	good	
r2_cig_trait_arverni_vercingetorix	1	false	100	gaul_vercingetorix	
r2_cig_trait_caesar	1	false	100	gaul_caesar	
r2_cig_trait_ch_roman	1	false	15	office	
r2_cig_trait_nervii_boduognatus	1	false	100	gaul_boduognatos	
r2_cig_trait_suebi_ariovistus	1	false	100	gaul_ariovistos	
r2_faction_leader_empire_default	1	false	100	faction_leader	
r2_faction_leader_empire_empress	1	false	100	faction_leader	
r2_faction_leader_empire_megas_basileus	1	false	100	faction_leader	
r2_faction_leader_empire_pharaoh	1	false	100	faction_leader	
r2_faction_leader_empire_proconsulate	1	false	100	faction_leader	
r2_faction_leader_empire_shahanshah	1	false	100	faction_leader	
r2_faction_leader_inv_etruscans_zilath	1	false	100	faction_leader	
r2_faction_leader_inv_gauls_chief	1	false	100	faction_leader	
r2_faction_leader_inv_nuragic_chief	1	false	100	faction_leader	
r2_faction_leader_inv_rome_consular_tribune	1	false	100	faction_leader	
r2_faction_leader_inv_samnites_medix_tuticus	1	false	100	faction_leader	
r2_faction_leader_inv_syracuse_tyrant	1	false	100	faction_leader	
r2_faction_leader_inv_taras_archon	1	false	100	faction_leader	
r2_faction_leader_inv_veneti_chief	1	false	100	faction_leader	
r2_faction_leader_kingdom_agellid	1	false	100	faction_leader	
r2_faction_leader_kingdom_basileus	1	false	100	faction_leader	
r2_faction_leader_kingdom_default	1	false	100	faction_leader	
r2_faction_leader_kingdom_governess	1	false	100	faction_leader	
r2_faction_leader_kingdom_governor	1	false	100	faction_leader	
r2_faction_leader_kingdom_kandake	1	false	100	faction_leader	
r2_faction_leader_kingdom_malik	1	false	100	faction_leader	
r2_faction_leader_kingdom_nigiste_negestatt	1	false	100	faction_leader	
r2_faction_leader_kingdom_nigusa_nagast	1	false	100	faction_leader	
r2_faction_leader_kingdom_qore	1	false	100	faction_leader	
r2_faction_leader_kingdom_queen	1	false	100	faction_leader	
r2_faction_leader_kingdom_queen_mother	1	false	100	faction_leader	
r2_faction_leader_kingdom_reiks	1	false	100	faction_leader	
r2_faction_leader_kingdom_rex	1	false	100	faction_leader	
r2_faction_leader_kingdom_shah	1	false	100	faction_leader	
r2_faction_leader_republic_archon	1	false	100	faction_leader	
r2_faction_leader_republic_commanding_general	1	false	100	faction_leader	
r2_faction_leader_republic_consul_perpetuo	1	false	100	faction_leader	
r2_faction_leader_republic_default	1	false	100	faction_leader	
r2_faction_leader_republic_shophet	1	false	100	faction_leader	
r2_faction_leader_union_default	1	false	100	faction_leader	
r2_faction_leader_union_hegemon	1	false	100	faction_leader	
r2_faction_leader_union_high_queen	1	false	100	faction_leader	
r2_faction_leader_union_kindins	1	false	100	faction_leader	
r2_family_heir	1	false	1	office	
r2_family_leader	1	false	1	office	
r2_sp_trait_all_admin_good	1	false	1	good	
r2_sp_trait_all_agent_army_assault_unit	1	false	1	agent_background_champion_brute	
r2_sp_trait_all_agent_army_foreign_harass_guerrilla	1	false	1	agent_background_champion_martial_artist	
r2_sp_trait_all_agent_army_friendly_reconaissance	1	false	1	agent_spy_subterfuge_1_spy	
r2_sp_trait_all_agent_army_instructor	1	false	1	agent_background_spy_courier	
r2_sp_trait_all_agent_army_intercept_orders	1	false	1	agent_background_dignitary_overseer	
r2_sp_trait_all_agent_army_mislead_command	1	false	1	bad	
r2_sp_trait_all_agent_army_poison_provisions	1	false	1	agent_background_spy_criminal	
r2_sp_trait_all_agent_army_show_force	1	false	1	agent_champion_zeal_3_audacity	
r2_sp_trait_all_agent_army_threaten	1	false	1	agent_dignitary_zeal_2_doom	
r2_sp_trait_all_agent_army_undermine_authority	1	false	1	agent_dignitary_subterfuge_2_treachery	
r2_sp_trait_all_agent_army_wreck_supplies	1	false	1	agent_spy_zeal_2_sabotage	
r2_sp_trait_all_agent_character_assassin	1	false	1	good	
r2_sp_trait_all_agent_character_kill_betrayal	1	false	1	mad	
r2_sp_trait_all_agent_character_kill_concealed_blade	1	false	1	agent_background_dignitary_sacrificer	
r2_sp_trait_all_agent_character_kill_hire_assassins	1	false	1	good	
r2_sp_trait_all_agent_character_kill_marksmanship	1	false	1	good	
r2_sp_trait_all_agent_character_kill_poison	1	false	1	good	
r2_sp_trait_all_agent_character_kill_provocation	1	false	1	agent_dignitary_background_orator	
r2_sp_trait_all_agent_character_kill_single_combat	1	false	1	agent_background_champion_warhero	
r2_sp_trait_all_agent_character_kill_slaughter	1	false	1	mad	
r2_sp_trait_all_agent_character_kill_solicit_traitor	1	false	1	agent_champion_zeal_1_champion	
r2_sp_trait_all_agent_character_seduce_persuasion	1	false	1	agent_background_dignitary_orator	
r2_sp_trait_all_agent_character_seduce_temptation	1	false	1	good	
r2_sp_trait_all_agent_deployed_foreign_corrupt	1	false	1	agent_spy_authority_2_collaboration	
r2_sp_trait_all_agent_deployed_foreign_infiltrate	1	false	1	agent_background_spy_actor	
r2_sp_trait_all_agent_deployed_friendly_counterspy	1	false	1	agent_background_champion_guard	
r2_sp_trait_all_agent_passive_adventurer	1	false	1	agent_background_champion_raider	
r2_sp_trait_all_agent_passive_cultural_proponent	1	false	1	agent_background_dignitary_courtesan	
r2_sp_trait_all_agent_passive_spy	1	false	1	good	
r2_sp_trait_all_agent_seduce_coercion_1	1	false	1	agent_dignitary_zeal_2_propaganda	
r2_sp_trait_all_agent_settle_assault_garrison	1	false	1	agent_background_champion_warhero	
r2_sp_trait_all_agent_settle_buy_off	1	false	1	agent_background_dignitary_taxman	
r2_sp_trait_all_agent_settle_commit_arson	1	false	1	agent_spy_zeal_2_sabotage	
r2_sp_trait_all_agent_settle_cultural_propaganda	1	false	1	agent_background_champion_raider	
r2_sp_trait_all_agent_settle_incite_unrest	1	false	1	agent_dignitary_authority_3_demagogy	
r2_sp_trait_all_agent_settle_poison_well	1	false	1	mad	
r2_sp_trait_all_agent_settle_promote_disorder	1	false	1	mad	
r2_sp_trait_all_agent_settle_raid	1	false	1	agent_spy_zeal_2_murder	
r2_sp_trait_all_agent_settle_rally_slaves	1	false	1	agent_background_champion_contender	
r2_sp_trait_all_ambusher_bad	1	false	1	bad	
r2_sp_trait_all_ambusher_good	1	false	1	good	
r2_sp_trait_all_attacker_bad	1	false	1	bad	
r2_sp_trait_all_attacker_good	1	false	1	good	
r2_sp_trait_all_attacker_sea_bad	1	false	1	bad	
r2_sp_trait_all_attacker_sea_good	1	false	1	good	
r2_sp_trait_all_background_abandoned	1	false	1	mad	
r2_sp_trait_all_background_adept	1	false	1	good	
r2_sp_trait_all_background_assassin	1	false	1	mad	
r2_sp_trait_all_background_beautiful	1	false	1	good	
r2_sp_trait_all_background_bright	1	false	1	good	
r2_sp_trait_all_background_command	1	false	1	good	
r2_sp_trait_all_background_diplomacy	1	false	1	good	
r2_sp_trait_all_background_inbred	1	false	1	bad	
r2_sp_trait_all_background_philosopher	1	false	1	good	
r2_sp_trait_all_background_scientist	1	false	1	good	
r2_sp_trait_all_background_slave	1	false	1	bad	
r2_sp_trait_all_background_spy	1	false	1	mad	
r2_sp_trait_all_background_ugly	1	false	1	bad	
r2_sp_trait_all_background_very_inbred	1	false	1	bad	
r2_sp_trait_all_background_very_very_inbred	1	false	1	bad	
r2_sp_trait_all_battle_scarred	1	false	1	bad	
r2_sp_trait_all_besieger_bad	1	false	1	bad	
r2_sp_trait_all_besieger_good	1	false	1	good	
r2_sp_trait_all_defender_bad	1	false	1	bad	
r2_sp_trait_all_defender_good	1	false	1	good	
r2_sp_trait_all_defender_sea_bad	1	false	1	bad	
r2_sp_trait_all_defender_sea_good	1	false	1	good	
r2_sp_trait_all_disinherited	1	false	1	bad	
r2_sp_trait_all_energetic	1	false	1	good	
r2_sp_trait_all_fears_barbarians	1	false	1	bad	
r2_sp_trait_all_fears_carthage	1	false	1	bad	
r2_sp_trait_all_fears_easterners	1	false	1	bad	
r2_sp_trait_all_fears_egyptians	1	false	1	bad	
r2_sp_trait_all_fears_greeks	1	false	1	bad	
r2_sp_trait_all_fears_romans	1	false	1	bad	
r2_sp_trait_all_fears_successors	1	false	1	bad	
r2_sp_trait_all_feck	1	false	1	bad	
r2_sp_trait_all_fertile	1	false	1	good	
r2_sp_trait_all_fervour	1	false	1	mad	
r2_sp_trait_all_gambling	1	false	1	mad	
r2_sp_trait_all_hates_barbarians	1	false	1	mad	
r2_sp_trait_all_hates_carthage	1	false	1	mad	
r2_sp_trait_all_hates_easterners	1	false	1	mad	
r2_sp_trait_all_hates_egyptians	1	false	1	mad	
r2_sp_trait_all_hates_greeks	1	false	1	mad	
r2_sp_trait_all_hates_romans	1	false	1	mad	
r2_sp_trait_all_hates_successors	1	false	1	mad	
r2_sp_trait_all_healthy	1	false	1	good	
r2_sp_trait_all_honest	1	false	1	good	
r2_sp_trait_all_infertile	1	false	1	bad	
r2_sp_trait_all_lazy	1	false	1	bad	
r2_sp_trait_all_leader_architect	1	false	1	good	
r2_sp_trait_all_leader_farmer	1	false	1	good	
r2_sp_trait_all_leader_kind	1	false	1	good	
r2_sp_trait_all_leader_lewd	1	false	1	bad	
r2_sp_trait_all_leader_mad	1	false	1	mad	
r2_sp_trait_all_leader_miner	1	false	1	good	
r2_sp_trait_all_leader_miser	1	false	1	bad	
r2_sp_trait_all_leader_paranoid	1	false	1	bad	
r2_sp_trait_all_leader_spender	1	false	1	bad	
r2_sp_trait_all_leader_spymaster	1	false	1	good	
r2_sp_trait_all_leader_taxman	1	false	1	good	
r2_sp_trait_all_leader_trader	1	false	1	good	
r2_sp_trait_all_leader_unjust	1	false	1	bad	
r2_sp_trait_all_likes_barbarians	1	false	1	good	
r2_sp_trait_all_likes_carthage	1	false	1	good	
r2_sp_trait_all_likes_easterners	1	false	1	good	
r2_sp_trait_all_likes_egyptians	1	false	1	good	
r2_sp_trait_all_likes_greeks	1	false	1	good	
r2_sp_trait_all_likes_romans	1	false	1	good	
r2_sp_trait_all_likes_successors	1	false	1	good	
r2_sp_trait_all_looter	1	false	1	mad	
r2_sp_trait_all_mad	1	false	1	mad	
r2_sp_trait_all_negotiator	1	false	1	good	
r2_sp_trait_all_noctophilia	1	false	1	good	
r2_sp_trait_all_noctophobia	1	false	1	bad	
r2_sp_trait_all_non_roman_agent_army_friendly_military_admin	1	false	1	agent_background_spy_attendant	
r2_sp_trait_all_non_roman_agent_deployed_friendly_civil_admin	1	false	1	agent_background_spy_attendant	
r2_sp_trait_all_personal_bravery	1	false	1	good	
r2_sp_trait_all_personal_cowardice	1	false	1	bad	
r2_sp_trait_all_personal_survival	1	false	1	good	
r2_sp_trait_all_roman_agent_admin	1	false	1	good	
r2_sp_trait_all_siege_defender_bad	1	false	1	bad	
r2_sp_trait_all_strategist	1	false	1	good	
r2_sp_trait_all_tactician	1	false	1	good	
r2_sp_trait_all_unhealthy	1	false	1	bad	
r2_sp_trait_barbarian_agent_zeal	1	false	1	good	
r2_sp_trait_barbarian_berserker	1	false	1	mad	
r2_sp_trait_barbarian_blood_feud	1	false	1	mad	
r2_sp_trait_barbarian_drink	1	false	1	bad	
r2_sp_trait_barbarian_girls	1	false	1	good	
r2_sp_trait_barbarian_high_casualties	1	false	1	mad	
r2_sp_trait_barbarian_mad	1	false	1	mad	
r2_sp_trait_barbarian_religious	1	false	1	good	
r2_sp_trait_barbarian_sober	1	false	1	good	
r2_sp_trait_barbarian_sweary	1	false	1	bad	
r2_sp_trait_barbarian_warlord	1	false	1	good	
r2_sp_trait_ch_carthage	1	false	5	office	
r2_sp_trait_ch_celtic	1	false	5	office	
r2_sp_trait_ch_east_A	1	false	5	office	
r2_sp_trait_ch_east_B	1	false	5	office	
r2_sp_trait_ch_german	1	false	5	office	
r2_sp_trait_ch_hellenic	1	false	5	office	
r2_sp_trait_ch_hellenic_athens	1	false	5	office	
r2_sp_trait_ch_hellenic_sparta	1	false	5	office	
r2_sp_trait_ch_nomadic	1	false	5	office	
r2_sp_trait_ch_ptolemaic	1	false	5	office	
r2_sp_trait_ch_roman	1	false	5	office	
r2_sp_trait_ch_roman_variant_1	1	false	5	office	
r2_sp_trait_civilised_agent_zeal	1	false	1	good	
r2_sp_trait_civilised_blood_feud	1	false	1	bad	
r2_sp_trait_civilised_disciplinarian_bad	1	false	1	bad	
r2_sp_trait_civilised_high_casualties	1	false	1	mad	
r2_sp_trait_civilised_leader_harsh	1	false	1	bad	
r2_sp_trait_civilised_politician	1	false	1	good	
r2_sp_trait_civilised_sweary	1	false	1	bad	
r2_sp_trait_civilized_adulterer	1	false	1	bad	
r2_sp_trait_civilized_arse	1	false	1	bad	
r2_sp_trait_civilized_atheist	1	false	1	bad	
r2_sp_trait_civilized_drink	1	false	1	bad	
r2_sp_trait_civilized_girls	1	false	1	good	
r2_sp_trait_civilized_murderer	1	false	1	bad	
r2_sp_trait_civilized_persecutor	1	false	1	good	
r2_sp_trait_civilized_religious	1	false	1	good	
r2_sp_trait_civilized_sober	1	false	1	good	
r2_sp_trait_civilized_xenophile	1	false	1	good	
r2_sp_trait_civilized_xenophobe	1	false	1	bad	
r2_sp_trait_eastern_leader_great_king	1	false	1	good	
r2_sp_trait_female_agriculture	1	false	1	good	
r2_sp_trait_female_all_agent_army_show_force	1	false	1	good	
r2_sp_trait_female_all_agent_character_assassin	1	false	1	good	
r2_sp_trait_female_all_agent_character_kill_poison	1	false	1	good	
r2_sp_trait_female_all_agent_character_kill_single_combat	1	false	1	good	
r2_sp_trait_female_all_agent_deployed_foreign_corrupt	1	false	1	bad	
r2_sp_trait_female_all_agent_deployed_friendly_counterspy	1	false	1	good	
r2_sp_trait_female_all_agent_passive_spy	1	false	1	good	
r2_sp_trait_female_all_agent_settle_incite_unrest	1	false	1	good	
r2_sp_trait_female_all_agent_settle_promote_disorder	1	false	1	mad	
r2_sp_trait_female_all_agent_settle_rally_slaves	1	false	1	good	
r2_sp_trait_female_all_background_beautiful	1	false	1	good	
r2_sp_trait_female_all_background_bright	1	false	1	good	
r2_sp_trait_female_all_background_command	1	false	1	good	
r2_sp_trait_female_all_background_slave	1	false	1	bad	
r2_sp_trait_female_all_background_spy	1	false	1	mad	
r2_sp_trait_female_all_feck	1	false	1	bad	
r2_sp_trait_female_all_healthy	1	false	1	good	
r2_sp_trait_female_all_personal_survival	1	false	1	good	
r2_sp_trait_female_all_unhealthy	1	false	1	bad	
r2_sp_trait_female_barbarian_agent_zeal	1	false	1	good	
r2_sp_trait_female_barbarian_blokes	1	false	1	bad	
r2_sp_trait_female_barbarian_drink	1	false	1	bad	
r2_sp_trait_female_barbarian_sober	1	false	1	good	
r2_sp_trait_female_cavalry	1	false	1	good	
r2_sp_trait_female_civilised_agent_zeal	1	false	1	good	
r2_sp_trait_female_civilized_adulterer	1	false	1	bad	
r2_sp_trait_female_civilized_blokes	1	false	1	bad	
r2_sp_trait_female_civilized_drink	1	false	1	bad	
r2_sp_trait_female_civilized_murderer	1	false	1	bad	
r2_sp_trait_female_civilized_persecutor	1	false	1	good	
r2_sp_trait_female_civilized_sober	1	false	1	good	
r2_sp_trait_female_daughter	1	false	1	good	
r2_sp_trait_female_diplomat	1	false	1	good	
r2_sp_trait_female_fleet	1	false	1	good	
r2_sp_trait_female_greco_roman_humors_phlegm	1	false	1	bad	
r2_sp_trait_female_greco_roman_humors_yellow_bile	1	false	1	bad	
r2_sp_trait_female_roman_background_fighter	1	false	1	bad	
r2_sp_trait_female_roman_dishonest	1	false	1	bad	
r2_sp_trait_female_roman_drink	1	false	1	bad	
r2_sp_trait_female_roman_games_obsessive	1	false	1	bad	
r2_sp_trait_female_roman_good_roman	1	false	1	good	
r2_sp_trait_female_roman_races_obsessive	1	false	1	bad	
r2_sp_trait_female_roman_unroman	1	false	1	bad	
r2_sp_trait_female_roman_virtues_personal_dignity	1	false	1	good	
r2_sp_trait_female_roman_virtues_personal_dutifulness	1	false	1	good	
r2_sp_trait_female_roman_virtues_personal_frugality	1	false	1	good	
r2_sp_trait_female_roman_virtues_personal_gravity	1	false	1	good	
r2_sp_trait_female_roman_virtues_personal_humanity	1	false	1	good	
r2_sp_trait_female_roman_virtues_personal_humour	1	false	1	good	
r2_sp_trait_female_roman_virtues_personal_industriousness	1	false	1	good	
r2_sp_trait_female_roman_virtues_personal_mercy	1	false	1	good	
r2_sp_trait_female_roman_virtues_personal_prudence	1	false	1	good	
r2_sp_trait_female_roman_virtues_personal_tenacity	1	false	1	good	
r2_sp_trait_female_roman_virtues_personal_truthfulness	1	false	1	good	
r2_sp_trait_female_roman_virtues_personal_wholesomeness	1	false	1	good	
r2_sp_trait_female_roman_virtues_public_dutifulness	1	false	1	good	
r2_sp_trait_female_roman_virtues_public_forethought	1	false	1	good	
r2_sp_trait_female_roman_virtues_public_freedom	1	false	1	good	
r2_sp_trait_female_roman_virtues_public_giving	1	false	1	good	
r2_sp_trait_female_roman_virtues_public_modesty	1	false	1	good	
r2_sp_trait_female_scholar	1	false	1	good	
r2_sp_trait_female_trader	1	false	1	good	
r2_sp_trait_female_warrior	1	false	1	good	
r2_sp_trait_greco_roman_humors_black_bile	1	false	1	bad	
r2_sp_trait_greco_roman_humors_blood	1	false	1	mad	
r2_sp_trait_greco_roman_humors_phlegm	1	false	1	bad	
r2_sp_trait_greco_roman_humors_yellow_bile	1	false	1	bad	
r2_sp_trait_non_roman_background_fighter	1	false	1	good	
r2_sp_trait_non_roman_background_mascot	1	false	1	good	
r2_sp_trait_non_roman_background_poor	1	false	1	bad	
r2_sp_trait_non_roman_background_wealthy	1	false	1	good	
r2_sp_trait_non_roman_dishonest	1	false	1	bad	
r2_sp_trait_non_roman_eagle_won	1	false	1	good	
r2_sp_trait_roman_background_fighter	1	false	1	good	
r2_sp_trait_roman_background_mascot	1	false	1	good	
r2_sp_trait_roman_background_poor	1	false	1	bad	
r2_sp_trait_roman_background_wealthy	1	false	1	good	
r2_sp_trait_roman_blood_feud	1	false	1	bad	
r2_sp_trait_roman_dishonest	1	false	1	bad	
r2_sp_trait_roman_drink	1	false	1	bad	
r2_sp_trait_roman_eagle_found	1	false	1	good	
r2_sp_trait_roman_eagle_lost	1	false	1	bad	
r2_sp_trait_roman_games_obsessive	1	false	1	bad	
r2_sp_trait_roman_gladiator_obsessive_mermillo	1	false	1	bad	
r2_sp_trait_roman_gladiator_obsessive_samnite	1	false	1	bad	
r2_sp_trait_roman_good_roman	1	false	1	good	
r2_sp_trait_roman_proscriptor	1	false	1	mad	
r2_sp_trait_roman_races_obsessive	1	false	1	bad	
r2_sp_trait_roman_unroman	1	false	1	bad	
r2_sp_trait_roman_victor	1	false	100	good	
r2_sp_trait_roman_virtues_personal_dignity	1	false	1	good	
r2_sp_trait_roman_virtues_personal_dutifulness	1	false	1	good	
r2_sp_trait_roman_virtues_personal_fortitude	1	false	1	good	
r2_sp_trait_roman_virtues_personal_frugality	1	false	1	good	
r2_sp_trait_roman_virtues_personal_gravity	1	false	1	good	
r2_sp_trait_roman_virtues_personal_humanity	1	false	1	good	
r2_sp_trait_roman_virtues_personal_humour	1	false	1	good	
r2_sp_trait_roman_virtues_personal_industriousness	1	false	1	good	
r2_sp_trait_roman_virtues_personal_mercy	1	false	1	good	
r2_sp_trait_roman_virtues_personal_morale_courage	1	false	1	good	
r2_sp_trait_roman_virtues_personal_prudence	1	false	1	good	
r2_sp_trait_roman_virtues_personal_respectability	1	false	1	good	
r2_sp_trait_roman_virtues_personal_spiritual_authority	1	false	1	good	
r2_sp_trait_roman_virtues_personal_sternness	1	false	1	good	
r2_sp_trait_roman_virtues_personal_tenacity	1	false	1	good	
r2_sp_trait_roman_virtues_personal_truthfulness	1	false	1	good	
r2_sp_trait_roman_virtues_personal_wholesomeness	1	false	1	good	
r2_sp_trait_roman_virtues_public_clemency	1	false	1	good	
r2_sp_trait_roman_virtues_public_confidence	1	false	1	good	
r2_sp_trait_roman_virtues_public_dutifulness	1	false	1	good	
r2_sp_trait_roman_virtues_public_endurance	1	false	1	good	
r2_sp_trait_roman_virtues_public_fair	1	false	1	good	
r2_sp_trait_roman_virtues_public_faith	1	false	1	good	
r2_sp_trait_roman_virtues_public_fertile_agriculture	1	false	1	good	
r2_sp_trait_roman_virtues_public_forethought	1	false	1	good	
r2_sp_trait_roman_virtues_public_fortune	1	false	1	good	
r2_sp_trait_roman_virtues_public_freedom	1	false	1	good	
r2_sp_trait_roman_virtues_public_giving	1	false	1	good	
r2_sp_trait_roman_virtues_public_harmony	1	false	1	good	
r2_sp_trait_roman_virtues_public_hope	1	false	1	good	
r2_sp_trait_roman_virtues_public_joy	1	false	1	good	
r2_sp_trait_roman_virtues_public_justice	1	false	1	good	
r2_sp_trait_roman_virtues_public_lucky	1	false	1	good	
r2_sp_trait_roman_virtues_public_mirth	1	false	1	good	
r2_sp_trait_roman_virtues_public_modesty	1	false	1	good	
r2_sp_trait_roman_virtues_public_nobility	1	false	1	good	
r2_sp_trait_roman_virtues_public_peace	1	false	1	good	
r2_sp_trait_roman_virtues_public_plenty	1	false	1	good	
r2_sp_trait_roman_virtues_public_prosperity	1	false	1	good	
r2_sp_trait_roman_virtues_public_public_health	1	false	1	good	
r2_sp_trait_roman_virtues_public_roman_spirit	1	false	1	good	
r2_sp_trait_roman_virtues_public_wealth	1	false	1	good	
r2_sp_trait_rome_eunuch	1	false	1	bad	
r2_sp_trait_rome_mad	1	false	1	mad	
