event	culture	movie	id
faction_win_rom_kush	rom_Eastern	RomeII/faction_win_dk_kush.bik	1097
faction_win_rom_masaesyli	rom_Eastern	RomeII/faction_win_dk_nab_sab_mas.bik	1114
faction_win_rom_nabatea	rom_Eastern	RomeII/faction_win_dk_nab_sab_mas.bik	1102
faction_win_rom_saba	rom_Eastern	RomeII/faction_win_dk_nab_sab_mas.bik	1105
faction_win_rome	rom_Roman	RomeII/faction_win_rome.bik	760
gaul_gallic_uprising_barb	rom_Barbarian	RomeII/caesar_in_gaul_gallic_uprising.bik	981
gaul_gallic_uprising_rome	rom_Roman	RomeII/caesar_in_gaul_gallic_uprising.bik	964
gaul_roman_intervention_barb	rom_Barbarian	RomeII/caesar_in_gaul_roman_intervention.bik	928
gaul_roman_intervention_east	rom_Eastern	RomeII/caesar_in_gaul_roman_intervention.bik	942
gaul_roman_intervention_hellen	rom_Hellenistic	RomeII/caesar_in_gaul_roman_intervention.bik	947
general_death_barb_fem	rom_Barbarian	RomeII/general_death_barb_fem.bik	1068
general_death_barb	rom_Barbarian	RomeII/general_death_barb.bik	778
general_death_east_fem	rom_Eastern	RomeII/general_death_east_fem.bik	1077
general_death_east	rom_Eastern	RomeII/general_death_east.bik	791
general_death_hellen_egypt_fem	rom_Hellenistic	RomeII/general_death_egypt_fem.bik	1084
general_death_hellen_egypt	rom_Hellenistic	RomeII/general_death_egypt.bik	800
general_death_hellen_fem	rom_Hellenistic	RomeII/general_death_hellen_fem.bik	1079
general_death_hellen	rom_Hellenistic	RomeII/general_death_hellen.bik	792
general_death_rom_kush_fem	rom_Eastern	RomeII/general_death_africa_fem.bik	1119
general_death_rom_kush	rom_Eastern	RomeII/general_death_east.bik	1124
general_death_rome_fem	rom_Roman	RomeII/general_death_rome_fem.bik	1088
general_death_rome	rom_Roman	RomeII/general_death_rome.bik	787
rome_captured_barb	rom_Barbarian	RomeII/rome_captured_barb.bik	807
rome_captured_east	rom_Eastern	RomeII/rome_captured_east.bik	811
rome_captured_hellen_egypt	rom_Hellenistic	RomeII/rome_captured_egypt.bik	821
rome_captured_hellen	rom_Hellenistic	RomeII/rome_captured_hellen.bik	826
rome_captured_rome_attacker	rom_Roman	RomeII/rome_captured_rome_attacker.bik	835
rome_captured_rome_defender	rom_Roman	RomeII/rome_captured_rome_defender.bik	843
rome_triumph_1	rom_Roman	RomeII/triumph_1.bik	904
rome_triumph_2	rom_Roman	RomeII/triumph_2.bik	913
rome_triumph_3	rom_Roman	RomeII/triumph_3.bik	922
slave_uprising_begin_barb	rom_Barbarian	RomeII/slave_uprising_begin_barb.bik	848
slave_uprising_begin_east	rom_Eastern	RomeII/slave_uprising_begin_east_egypt.bik	853
slave_uprising_begin_hellen_egypt	rom_Hellenistic	RomeII/slave_uprising_begin_east_egypt.bik	855
slave_uprising_begin_hellen	rom_Hellenistic	RomeII/slave_uprising_begin_rome_hellen.bik	861
slave_uprising_begin_rome	rom_Roman	RomeII/slave_uprising_begin_rome_hellen.bik	866
slave_uprising_end_barb	rom_Barbarian	RomeII/slave_uprising_end_barb.bik	868
slave_uprising_end_east	rom_Eastern	RomeII/slave_uprising_end_east_egypt.bik	876
slave_uprising_end_hellen_egypt	rom_Hellenistic	RomeII/slave_uprising_end_east_egypt.bik	885
slave_uprising_end_hellen	rom_Hellenistic	RomeII/slave_uprising_end_rome_hellen.bik	888
slave_uprising_end_rome	rom_Roman	RomeII/slave_uprising_end_rome_hellen.bik	895
