key	filename	range	animated
2146654967	RigidModels\CampaignBuildings\Building_Siegeicon\icon_under_siege_anim.rigid_model_v2	0.0000	campaign_building_siege
2146654983	RigidModels/CampaignBuildings//campaign_building_placeholder1_anim.rigid_model_v2	0.0000	campaign_building_placeholder1_anim
2146655014	RigidModels/CampaignBuildings/SHO_Region_Specialty_Stone_3_Stoneworls/campaign_sho_region_specialty_stone_3_stoneworls_anim.rigid_model_v2	0.0000	campaign_sho_region_specialty_stone_3_stoneworls
2146655020	RigidModels/CampaignBuildings/SHO_Region_Specialty_Stone_2_Quarry/campaign_sho_region_specialty_stone_2_quarry_anim.rigid_model_v2	0.0000	campaign_sho_region_specialty_stone_2_quarry
2146655024	RigidModels/CampaignBuildings/SHO_Region_Specialty_Stone_1_Stonemason/campaign_sho_region_specialty_stone_1_stonemason_anim.rigid_model_v2	0.0000	campaign_sho_region_specialty_stone_1_stonemason
2146655108	RigidModels\CampaignBuildings\Building_Siegeicon\kyoto_under_siege_lvl4_anim.rigid_model_v2	0.0000	campaign_sho_castle_siege_lvl5:sho_custom_kyoto
2146655110	RigidModels\CampaignBuildings\Building_Siegeicon\kyoto_under_siege_lvl4_anim.rigid_model_v2	0.0000	campaign_sho_castle_siege_lvl4:sho_custom_kyoto
2146655115	RigidModels\CampaignBuildings\Building_Siegeicon\kyoto_under_siege_lvl2_anim.rigid_model_v2	0.0000	campaign_sho_castle_siege_lvl3:sho_custom_kyoto
2146655119	RigidModels\CampaignBuildings\Building_Siegeicon\kyoto_under_siege_lvl2_anim.rigid_model_v2	0.0000	campaign_sho_castle_siege_lvl2:sho_custom_kyoto
2146655123	RigidModels\CampaignBuildings\Building_Siegeicon\castle_under_siege_lvl5_anim.rigid_model_v2	0.0000	campaign_sho_castle_siege_lvl5
2146655133	RigidModels\CampaignBuildings\Building_Siegeicon\castle_under_siege_lvl4_anim.rigid_model_v2	0.0000	campaign_sho_castle_siege_lvl4
2146655136	RigidModels\CampaignBuildings\Building_Siegeicon\castle_under_siege_lvl3_anim.rigid_model_v2	0.0000	campaign_sho_castle_siege_lvl3
2146655142	RigidModels\CampaignBuildings\Building_Siegeicon\castle_under_siege_lvl1_anim.rigid_model_v2	0.0000	campaign_sho_castle_siege_lvl2
2146655147	RigidModels\CampaignBuildings\Building_Siegeicon\castle_under_siege_lvl1_anim.rigid_model_v2	0.0000	campaign_sho_castle_siege_lvl1
2146655305	RigidModels/CampaignBuildings/SHO_Region_Specialty_Gold_Mining_3_Mining_Complex/campaign_sho_region_specialty_gold_mining_3_mining_complex_anim.rigid_model_v2	0.0000	campaign_sho_region_specialty_gold_mining_3_mining_complex_anim
2146655308	RigidModels/CampaignBuildings/SHO_Region_Specialty_Horses_1_Pastures/campaign_sho_region_specialty_horses_1_pastures_anim.rigid_model_v2	0.0000	campaign_sho_region_specialty_horses_1_pastures_anim
2146655311	RigidModels/CampaignBuildings/SHO_Region_Specialty_Horses_2_Breeders/campaign_sho_region_specialty_horses_2_breeders_anim.rigid_model_v2	0.0000	campaign_sho_region_specialty_horses_2_breeders_anim
2146655312	RigidModels/CampaignBuildings/SHO_Region_Specialty_Horses_3_Warhorse_Breeders/campaign_sho_region_specialty_horses_3_warhorse_breeders_anim.rigid_model_v2	0.0000	campaign_sho_region_specialty_horses_3_warhorse_breeders_anim
2146655318	RigidModels/CampaignBuildings/SHO_Region_Specialty_Iron_Mining_3_Mining_Complex/campaign_sho_region_specialty_iron_mining_3_mining_complex_anim.rigid_model_v2	0.0000	campaign_sho_region_specialty_iron_mining_3_mining_complex_anim
2146655323	RigidModels/CampaignBuildings/SHO_Region_Specialty_Stone_1_Stonemason/campaign_sho_region_specialty_stone_1_stonemason_anim.rigid_model_v2	0.0000	campaign_sho_region_specialty_stone_1_stonemason_anim
2146655326	RigidModels/CampaignBuildings/SHO_Region_Specialty_Stone_2_Quarry/campaign_sho_region_specialty_stone_2_quarry_anim.rigid_model_v2	0.0000	campaign_sho_region_specialty_stone_2_quarry_anim
2146655336	RigidModels/CampaignBuildings/SHO_Region_Specialty_Stone_3_Stoneworls/campaign_sho_region_specialty_stone_3_stoneworls_anim.rigid_model_v2	0.0000	campaign_sho_region_specialty_stone_3_stoneworls_anim
2146655425	RigidModels/artillery_and_siege/ballista30d_50p/ballista30d_50p.rigid_model_v2	0.0000	rome_ballista_medium
2146655435	RigidModels/artillery_and_siege/onager/onager.rigid_model_v2	0.0000	rome_onager
2146655441	RigidModels\Buildings\fort_rome_testv1_gate01\fort_rome_testv1_gate01_piece09_destruct01_gate_opening_anim.rigid_model_animation	0.0000	fort_rome_testv1_gate01_piece09_destruct01_gate_opening
2146655449	RigidModels\Buildings\fort_rome_testv1_gate01\fort_rome_testv1_gate01_piece09_destruct01_gate_closing_anim.rigid_model_animation	0.0000	fort_rome_testv1_gate01_piece09_destruct01_gate_closing
2146655450	RigidModels\Buildings\fort_rome_testv1_gate02\fort_rome_testv1_gate02_piece10_destruct01_gate_opening_anim.rigid_model_animation	0.0000	fort_rome_testv1_gate02_piece10_destruct01_gate_opening
2146655456	RigidModels\Buildings\fort_rome_testv1_gate02\fort_rome_testv1_gate02_piece10_destruct01_gate_closing_anim.rigid_model_animation	0.0000	fort_rome_testv1_gate02_piece10_destruct01_gate_closing
2146655460	RigidModels\Buildings\fort_rome_testv1_gate02\fort_rome_testv1_gate02_piece11_destruct01_gate_opening_anim.rigid_model_animation	0.0000	fort_rome_testv1_gate02_piece11_destruct01_gate_opening
2146655461	RigidModels\Buildings\fort_rome_testv1_gate02\fort_rome_testv1_gate02_piece11_destruct01_gate_closing_anim.rigid_model_animation	0.0000	fort_rome_testv1_gate02_piece11_destruct01_gate_closing
2146655463	RigidModels\Buildings\fort_rome_testv2_gate01\fort_rome_testv2_gate01_piece09_destruct01_gate_opening_anim.rigid_model_animation	0.0000	fort_rome_testv2_gate01_piece09_destruct01_gate_opening
2146655472	RigidModels\Buildings\fort_rome_testv2_gate01\fort_rome_testv2_gate01_piece09_destruct01_gate_closing_anim.rigid_model_animation	0.0000	fort_rome_testv2_gate01_piece09_destruct01_gate_closing
2146655477	RigidModels/artillery_and_siege/ballista30d_100p/ballista30d_100p.rigid_model_v2	0.0000	rome_ballista_giant
2146655484	RigidModels/artillery_and_siege/polybolos/polybolos.rigid_model_v2	0.0000	rome_polybolos
2146655488	RigidModels/artillery_and_siege/scorpio/scorpio.rigid_model_v2	0.0000	rome_scorpio
2146655492	RigidModels/artillery_and_siege/fire_raiser/fire_raiser.rigid_model_v2	0.0000	rome_fireraiser
2146655493	RigidModels/artillery_and_siege/battering_ram_heavy/battering_ram_heavy.rigid_model_v2	0.0000	rome_battering_ram_heavy
2146655500	RigidModels/artillery_and_siege/battering_ram_light/battering_ram_light.rigid_model_v2	0.0000	rome_battering_ram_light
2146655503	RigidModels/artillery_and_siege/battering_ram_medium/battering_ram_medium.rigid_model_v2	0.0000	rome_battering_ram_medium
2146655507	RigidModels/artillery_and_siege/ballista30d_50p/ballista30d_50p_destruction_anim.rigid_model_v2	0.0000	rome_ballista_medium_destruction_anim
2146655512	RigidModels/artillery_and_siege/ballista30d_50p_ship/ballista30d_50p_ship.rigid_model_v2	0.0000	rome_ballista_medium_ship
2146655516	RigidModels/artillery_and_siege/ballista30d_50p_ship/ballista30d_50p_ship_destruction_anim.rigid_model_v2	0.0000	rome_ballista_medium_ship_destruction_anim
2146655519	RigidModels/artillery_and_siege/onager/onager_destruction_anim.rigid_model_v2	0.0000	rome_onager_destruction_anim
2146655528	RigidModels/artillery_and_siege/onager_ship/onager_ship.rigid_model_v2	0.0000	rome_onager_ship
2146655537	RigidModels/artillery_and_siege/onager_ship/onager_ship_destruction_anim.rigid_model_v2	0.0000	rome_onager_ship_destruction_anim
2146655546	RigidModels/artillery_and_siege/scorpio/scorpio_destruction_anim.rigid_model_v2	0.0000	rome_scorpio_destruction_anim
2146655550	RigidModels/artillery_and_siege/polybolos/polybolos_destruction_anim.rigid_model_v2	0.0000	rome_polybolos_destruction_anim
2146655554	RigidModels/artillery_and_siege/cherioballistra/cherioballistra.rigid_model_v2	0.0000	rome_cheiroballistra
2146655555	RigidModels/artillery_and_siege/cherioballistra/cherioballistra_destruction_anim.rigid_model_v2	0.0000	rome_cheiroballistra_destruction_anim
2146655556	RigidModels/artillery_and_siege/ballista30d_100p/ballista30d_100p_destruction_anim.rigid_model_v2	0.0000	rome_ballista_giant_destruction_anim
2146655559	RigidModels\artillery_and_siege\onager_large\onager_large.rigid_model_v2	0.0000	rome_onager_large
2146655564	RigidModels\artillery_and_siege\onager_large\onager_large_destruction_anim.rigid_model_v2	0.0000	rome_onager_large_destruction_anim
2146655574	RigidModels\artillery_and_siege\chariot_generic\chariot_generic.rigid_model_v2	0.0000	chariot_generic
2146655581	RigidModels\artillery_and_siege\chariot_celtic\chariot_celtic.rigid_model_v2	0.0000	chariot_celtic
2146655583	RigidModels\artillery_and_siege\chariot_romanbox\chariot_romanbox.rigid_model_v2	0.0000	chariot_roman
2146655585	RigidModels\artillery_and_siege\harpax\harpax.rigid_model_v2	0.0000	rome_harpax
2146655587	RigidModels\artillery_and_siege\harpax\harpax_destruction_anim.rigid_model_v2	0.0000	rome_harpax_destruction_anim
2146655591	RigidModels\artillery_and_siege\chariot_generic\chariot_generic_destruction_anim.rigid_model_v2	0.0000	chariot_generic_destruction_anim
2146655597	RigidModels\artillery_and_siege\chariot_celtic\chariot_celtic_destruction_anim.rigid_model_v2	0.0000	chariot_celtic_destruction_anim
2146655603	RigidModels\artillery_and_siege\chariot_romanbox\chariot_romanbox_destruction_anim.rigid_model_v2	0.0000	chariot_roman_destruction_anim
2146655609	RigidModels\artillery_and_siege\chariot_egyptian\chariot_egyptian.rigid_model_v2	0.0000	chariot_egyptian
2146655612	RigidModels\artillery_and_siege\chariot_egyptian\chariot_egyptian_destruction_anim.rigid_model_v2	0.0000	chariot_egyptian_destruction_anim
2146655631	RigidModels\campaign\trade_models\barbarian_trade_anim.rigid_model_v2	0.0000	trade_ship_barbarian
2146655641	RigidModels\campaign\trade_models\ox_trader_anim.rigid_model_v2	0.0000	trade_ox
2146655649	RigidModels\campaign\trade_models\ox_cart_anim.rigid_model_v2	0.0000	trade_ox_cart
2146655654	RigidModels\artillery_and_siege\chariot_celtic_armoured\3c_chariot_celtic_armoured_01.rigid_model_v2	0.0000	chariot_celtic_armoured
280	RigidModels/Naval/Variant/positional_oar_L01_anim.rigid_model_animation	0.0000	positional_oar_L01_anim
281	RigidModels/Naval/Variant/positional_oar_L02_anim.rigid_model_animation	0.0000	positional_oar_L02_anim
8	RigidModels/CampaignPieces/campaign_ship_model.animatable_rigid_model	0.0000	campaign_ship
