key	critical_failure	critical_success	failure	oportune_failure	success
champion_theirs_female_hinder_settlement_authority	battlemap_enemy_general_wounded	agent_their_champion_anti_settlement_authority_success	agent_their_champion_anti_settlement_fail	agent_their_champion_anti_settlement_fail	agent_their_champion_anti_settlement_authority_success
champion_theirs_female_hinder_settlement_subterfuge	battlemap_enemy_general_wounded	agent_their_champion_anti_settlement_subterfuge_success	agent_their_champion_anti_settlement_fail	agent_their_champion_anti_settlement_fail	agent_their_champion_anti_settlement_subterfuge_success
champion_theirs_female_hinder_settlement_zeal	battlemap_enemy_general_wounded	agent_their_champion_anti_settlement_zeal_success	agent_their_champion_anti_settlement_fail	agent_their_champion_anti_settlement_fail	agent_their_champion_anti_settlement_zeal_success
champion_theirs_female_passive_ability_zeal	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
champion_theirs_male_assist_army_zeal	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
champion_theirs_male_assist_province_zeal	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
champion_theirs_male_hinder_agent_authority	agent_wounded_theirs	agent_their_champion_steal_character_authority_success	agent_their_any_steal_character_fail	agent_their_any_steal_character_fail	agent_their_champion_steal_character_authority_stop
champion_theirs_male_hinder_agent_subterfuge	agent_wounded_theirs	agent_their_champion_steal_character_subterfuge_success	age_agent_theirs_trap_fail	age_agent_theirs_trap_fail	agent_their_champion_steal_character_subterfuge_success
champion_theirs_male_hinder_agent_zeal	agent_wounded_theirs	agent_their_champion_steal_character_zeal_success	agent_their_any_steal_character_fail	agent_their_any_steal_character_fail	agent_their_champion_steal_character_subterfuge_stop
champion_theirs_male_hinder_army_authority	agent_wounded_theirs	agent_their_champion_anti_army_authority_success	agent_their_champion_anti_army_fail	agent_their_champion_anti_army_fail	agent_their_champion_anti_army_authority_success
champion_theirs_male_hinder_army_subterfuge	agent_wounded_theirs	agent_their_champion_anti_army_subterfuge_success	agent_their_champion_anti_army_fail	agent_their_champion_anti_army_fail	agent_their_champion_anti_army_subterfuge_success
champion_theirs_male_hinder_army_zeal	agent_wounded_theirs	agent_their_champion_anti_army_zeal_success	agent_their_champion_anti_army_fail	agent_their_champion_anti_army_fail	agent_their_champion_anti_army_zeal_success
champion_theirs_male_hinder_character_authority	agent_wounded_theirs	agent_their_champion_kill_character_authority_success	agent_their_any_kill_character_fail	agent_their_any_kill_character_fail	agent_their_champion_kill_character_authority_wound
champion_theirs_male_hinder_character_subterfuge	agent_wounded_theirs	agent_their_champion_kill_character_subterfuge_success	agent_their_any_kill_character_fail	agent_their_any_kill_character_fail	agent_their_champion_kill_character_subterfuge_wound
champion_theirs_male_hinder_character_zeal	agent_wounded_theirs	agent_their_champion_kill_character_zeal_success	agent_their_any_kill_character_fail	agent_their_any_kill_character_fail	agent_their_champion_kill_character_zeal_wound
champion_theirs_male_hinder_province_zeal	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
champion_theirs_male_hinder_settlement_authority	agent_wounded_theirs	agent_their_champion_anti_settlement_authority_success	agent_their_champion_anti_settlement_fail	agent_their_champion_anti_settlement_fail	agent_their_champion_anti_settlement_authority_success
champion_theirs_male_hinder_settlement_subterfuge	agent_wounded_theirs	agent_their_champion_anti_settlement_subterfuge_success	agent_their_champion_anti_settlement_fail	agent_their_champion_anti_settlement_fail	agent_their_champion_anti_settlement_subterfuge_success
champion_theirs_male_hinder_settlement_zeal	agent_wounded_theirs	agent_their_champion_anti_settlement_zeal_success	agent_their_champion_anti_settlement_fail	agent_their_champion_anti_settlement_fail	agent_their_champion_anti_settlement_zeal_success
champion_theirs_male_passive_ability_zeal	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
champion_yours_female_assist_army_zeal	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
champion_yours_female_assist_province_zeal	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
champion_yours_female_hinder_agent_authority	agent_wounded_female	agent_your_champion_steal_character_authority_success	agent_your_any_steal_character_fail	battlemap_reinforcements_arrive	agent_your_champion_steal_character_authority_stop
champion_yours_female_hinder_agent_subterfuge	agent_wounded_female	agent_your_champion_steal_character_subterfuge_success	age_agent_your_trap_fail	battlemap_reinforcements_arrive	agent_your_champion_steal_character_subterfuge_success
champion_yours_female_hinder_agent_zeal	agent_wounded_female	agent_your_champion_steal_character_zeal_success	agent_your_any_steal_character_fail	battlemap_reinforcements_arrive	agent_your_champion_steal_character_zeal_stop
champion_yours_female_hinder_army_authority	agent_wounded_female	agent_your_champion_anti_army_authority_success	agent_your_champion_anti_army_fail	battlemap_reinforcements_arrive	agent_your_champion_anti_army_authority_success
champion_yours_female_hinder_army_subterfuge	agent_wounded_female	agent_your_champion_anti_army_subterfuge_success	agent_your_champion_anti_army_fail	battlemap_reinforcements_arrive	agent_your_champion_anti_army_subterfuge_success
champion_yours_female_hinder_army_zeal	agent_wounded_female	agent_your_champion_anti_army_zeal_success	agent_your_champion_anti_army_fail	battlemap_reinforcements_arrive	agent_your_champion_anti_army_zeal_success
champion_yours_female_hinder_character_authority	agent_wounded_female	agent_your_champion_kill_character_authority_success	agent_your_any_kill_character_fail	battlemap_reinforcements_arrive	agent_your_champion_kill_character_authority_wound
champion_yours_female_hinder_character_subterfuge	agent_wounded_female	agent_your_champion_kill_character_subterfuge_success	agent_your_any_kill_character_fail	battlemap_reinforcements_arrive	agent_your_champion_kill_character_subterfuge_wound
champion_yours_female_hinder_character_zeal	agent_wounded_female	agent_your_champion_kill_character_zeal_success	agent_your_any_kill_character_fail	battlemap_reinforcements_arrive	agent_your_champion_kill_character_zeal_wound
champion_yours_female_hinder_province_zeal	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
champion_yours_female_hinder_settlement_authority	agent_wounded_female	agent_your_champion_anti_settlement_authority_success	agent_your_champion_anti_settlement_fail	battlemap_reinforcements_arrive	agent_your_champion_anti_settlement_authority_success
champion_yours_female_hinder_settlement_subterfuge	agent_wounded_female	agent_your_champion_anti_settlement_subterfuge_success	agent_your_champion_anti_settlement_fail	battlemap_reinforcements_arrive	agent_your_champion_anti_settlement_subterfuge_success
champion_yours_female_hinder_settlement_zeal	agent_wounded_female	agent_your_champion_anti_settlement_zeal_success	agent_your_champion_anti_settlement_fail	battlemap_reinforcements_arrive	agent_your_champion_anti_settlement_zeal_success
champion_yours_female_passive_ability_zeal	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
champion_yours_male_assist_army_zeal	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
champion_yours_male_assist_province_zeal	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
champion_yours_male_hinder_agent_authority	agent_wounded	agent_your_champion_steal_character_authority_success	agent_your_any_steal_character_fail	battlemap_reinforcements_arrive	agent_your_champion_steal_character_authority_stop
champion_yours_male_hinder_agent_subterfuge	agent_wounded	agent_your_champion_steal_character_subterfuge_success	age_agent_your_trap_fail	battlemap_reinforcements_arrive	agent_your_champion_steal_character_subterfuge_success
champion_yours_male_hinder_agent_zeal	agent_wounded	agent_your_champion_steal_character_zeal_success	agent_your_any_steal_character_fail	battlemap_reinforcements_arrive	agent_your_champion_steal_character_zeal_stop
champion_yours_male_hinder_army_authority	agent_wounded	agent_your_champion_anti_army_authority_success	agent_your_champion_anti_army_fail	battlemap_reinforcements_arrive	agent_your_champion_anti_army_authority_success
champion_yours_male_hinder_army_subterfuge	agent_wounded	agent_your_champion_anti_army_subterfuge_success	agent_your_champion_anti_army_fail	battlemap_reinforcements_arrive	agent_your_champion_anti_army_subterfuge_success
champion_yours_male_hinder_army_zeal	agent_wounded	agent_your_champion_anti_army_zeal_success	agent_your_champion_anti_army_fail	battlemap_reinforcements_arrive	agent_your_champion_anti_army_zeal_success
champion_yours_male_hinder_character_authority	agent_wounded	agent_your_champion_kill_character_authority_success	agent_your_any_kill_character_fail	battlemap_reinforcements_arrive	agent_your_champion_kill_character_authority_wound
champion_yours_male_hinder_character_subterfuge	agent_wounded	agent_your_champion_kill_character_subterfuge_success	agent_your_any_kill_character_fail	battlemap_reinforcements_arrive	agent_your_champion_kill_character_subterfuge_wound
champion_yours_male_hinder_character_zeal	agent_wounded	agent_your_champion_kill_character_zeal_success	agent_your_any_kill_character_fail	battlemap_reinforcements_arrive	agent_your_champion_kill_character_zeal_wound
champion_yours_male_hinder_province_zeal	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
champion_yours_male_hinder_settlement_authority	agent_wounded	agent_your_champion_anti_settlement_authority_success	agent_your_champion_anti_settlement_fail	battlemap_reinforcements_arrive	agent_your_champion_anti_settlement_authority_success
champion_yours_male_hinder_settlement_subterfuge	agent_wounded	agent_your_champion_anti_settlement_subterfuge_success	agent_your_champion_anti_settlement_fail	battlemap_reinforcements_arrive	agent_your_champion_anti_settlement_subterfuge_success
champion_yours_male_hinder_settlement_zeal	agent_wounded	agent_your_champion_anti_settlement_zeal_success	agent_your_champion_anti_settlement_fail	battlemap_reinforcements_arrive	agent_your_champion_anti_settlement_zeal_success
champion_yours_male_passive_ability_zeal	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
dignitary_theirs_female_assist_army_authority	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
dignitary_theirs_female_assist_province_authority	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
dignitary_theirs_female_hinder_agent_authority	battlemap_enemy_general_wounded	agent_their_dignitary_steal_character_authority_success	agent_their_any_steal_character_fail	agent_their_any_steal_character_fail	agent_their_dignitary_steal_character_authority_stop
dignitary_theirs_female_hinder_agent_subterfuge	battlemap_enemy_general_wounded	agent_their_dignitary_steal_character_subterfuge_success	agent_their_any_steal_character_fail	agent_their_any_steal_character_fail	agent_their_dignitary_steal_character_subterfuge_stop
dignitary_theirs_female_hinder_agent_zeal	battlemap_enemy_general_wounded	agent_their_dignitary_steal_character_zeal_success	agent_their_any_steal_character_fail	agent_their_any_steal_character_fail	agent_their_dignitary_steal_character_zeal_stop
dignitary_theirs_female_hinder_army_authority	battlemap_enemy_general_wounded	agent_their_dignitary_anti_army_authority_success_critical	agent_their_dignitary_anti_army_bribery_fail	agent_their_dignitary_anti_army_bribery_fail	agent_their_dignitary_anti_army_authority_success
dignitary_theirs_female_hinder_army_subterfuge	battlemap_enemy_general_wounded	agent_their_dignitary_anti_army_zeal_success	agent_their_dignitary_anti_army_fail	agent_their_dignitary_anti_army_fail	agent_their_dignitary_anti_army_zeal_success
dignitary_theirs_female_hinder_army_zeal	battlemap_enemy_general_wounded	agent_their_dignitary_anti_army_zeal_success	agent_their_dignitary_anti_army_bribery_fail	agent_their_dignitary_anti_army_bribery_fail	agent_their_dignitary_anti_army_zeal_success
dignitary_theirs_female_hinder_character_authority	battlemap_enemy_general_wounded	agent_their_champion_kill_character_authority_success	agent_their_any_kill_character_fail	agent_their_any_kill_character_fail	agent_their_champion_kill_character_authority_wound
dignitary_theirs_female_hinder_character_subterfuge	battlemap_enemy_general_wounded	agent_their_dignitary_kill_character_subterfuge_success	agent_their_any_kill_character_fail	agent_their_any_kill_character_fail	agent_their_dignitary_kill_character_subterfuge_wound
dignitary_theirs_female_hinder_character_zeal	battlemap_enemy_general_wounded	agent_their_dignitary_discredit_character_zeal	agent_their_dignitary_discredit_fail	agent_their_dignitary_discredit_fail	agent_their_dignitary_discredit_character_zeal
dignitary_theirs_female_hinder_province_authority	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
dignitary_theirs_female_hinder_settlement_authority	battlemap_enemy_general_wounded	agent_their_dignitary_anti_settlement_authority_success	agent_their_dignitary_anti_settlement_fail	agent_their_dignitary_anti_settlement_fail	agent_their_dignitary_anti_settlement_authority_success
dignitary_theirs_female_hinder_settlement_subterfuge	battlemap_enemy_general_wounded	agent_their_dignitary_anti_settlement_subterfuge_success	agent_their_dignitary_anti_settlement_fail	agent_their_dignitary_anti_settlement_fail	agent_their_dignitary_anti_settlement_subterfuge_success
dignitary_theirs_female_hinder_settlement_zeal	battlemap_enemy_general_wounded	agent_their_dignitary_anti_settlement_zeal_success	agent_their_dignitary_anti_settlement_fail	agent_their_dignitary_anti_settlement_fail	agent_their_dignitary_anti_settlement_zeal_success
dignitary_theirs_female_passive_ability_authority	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
dignitary_theirs_male_assist_army_authority	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
dignitary_theirs_male_assist_province_authority	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
dignitary_theirs_male_hinder_agent_authority	agent_wounded_theirs	agent_their_dignitary_steal_character_authority_success	agent_their_any_steal_character_fail	agent_their_any_steal_character_fail	agent_their_dignitary_steal_character_authority_stop
dignitary_theirs_male_hinder_agent_subterfuge	agent_wounded_theirs	agent_their_dignitary_steal_character_subterfuge_success	agent_their_any_steal_character_fail	agent_their_any_steal_character_fail	agent_their_dignitary_steal_character_subterfuge_stop
dignitary_theirs_male_hinder_agent_zeal	agent_wounded_theirs	agent_their_dignitary_steal_character_zeal_success	agent_their_any_steal_character_fail	agent_their_any_steal_character_fail	agent_their_dignitary_steal_character_zeal_stop
dignitary_theirs_male_hinder_army_authority	agent_wounded_theirs	agent_their_dignitary_anti_army_authority_success_critical	agent_their_dignitary_anti_army_bribery_fail	agent_their_dignitary_anti_army_bribery_fail	agent_their_dignitary_anti_army_authority_success
dignitary_theirs_male_hinder_army_subterfuge	agent_wounded_theirs	agent_their_dignitary_anti_army_zeal_success	agent_their_dignitary_anti_army_fail	agent_their_dignitary_anti_army_fail	agent_their_dignitary_anti_army_zeal_success
dignitary_theirs_male_hinder_army_zeal	agent_wounded_theirs	agent_their_dignitary_anti_army_zeal_success	agent_their_dignitary_anti_army_bribery_fail	agent_their_dignitary_anti_army_bribery_fail	agent_their_dignitary_anti_army_zeal_success
dignitary_theirs_male_hinder_character_authority	agent_wounded_theirs	agent_their_champion_kill_character_authority_success	agent_their_any_kill_character_fail	agent_their_any_kill_character_fail	agent_their_champion_kill_character_authority_wound
dignitary_theirs_male_hinder_character_subterfuge	agent_wounded_theirs	agent_their_dignitary_kill_character_subterfuge_success	agent_their_any_kill_character_fail	agent_their_any_kill_character_fail	agent_their_dignitary_kill_character_subterfuge_wound
dignitary_theirs_male_hinder_character_zeal	agent_wounded_theirs	agent_their_dignitary_discredit_character_zeal	agent_their_dignitary_discredit_fail	agent_their_dignitary_discredit_fail	agent_their_dignitary_discredit_character_zeal
dignitary_theirs_male_hinder_province_authority	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
dignitary_theirs_male_hinder_settlement_authority	agent_wounded_theirs	agent_their_dignitary_anti_settlement_authority_success	agent_their_dignitary_anti_settlement_fail	agent_their_dignitary_anti_settlement_fail	agent_their_dignitary_anti_settlement_authority_success
dignitary_theirs_male_hinder_settlement_subterfuge	agent_wounded_theirs	agent_their_dignitary_anti_settlement_subterfuge_success	agent_their_dignitary_anti_settlement_fail	agent_their_dignitary_anti_settlement_fail	agent_their_dignitary_anti_settlement_subterfuge_success
dignitary_theirs_male_hinder_settlement_zeal	agent_wounded_theirs	agent_their_dignitary_anti_settlement_zeal_success	agent_their_dignitary_anti_settlement_fail	agent_their_dignitary_anti_settlement_fail	agent_their_dignitary_anti_settlement_zeal_success
dignitary_theirs_male_passive_ability_authority	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
dignitary_yours_female_assist_army_authority	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
dignitary_yours_female_assist_province_authority	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
dignitary_yours_female_hinder_agent_authority	agent_wounded_female	agent_your_dignitary_steal_character_authority_success	agent_your_any_steal_character_fail	battlemap_reinforcements_arrive	agent_your_dignitary_steal_character_authority_stop
dignitary_yours_female_hinder_agent_subterfuge	agent_wounded_female	agent_your_dignitary_steal_character_subterfuge_success	agent_your_any_steal_character_fail	battlemap_reinforcements_arrive	agent_your_dignitary_steal_character_subterfuge_stop
dignitary_yours_female_hinder_agent_zeal	agent_wounded_female	agent_your_dignitary_steal_character_zeal_success	agent_your_any_steal_character_fail	battlemap_reinforcements_arrive	agent_your_dignitary_steal_character_zeal_stop
dignitary_yours_female_hinder_army_authority	agent_wounded_female	agent_your_dignitary_anti_army_authority_success_critical	agent_your_dignitary_anti_army_bribery_fail	battlemap_reinforcements_arrive	agent_your_dignitary_anti_army_authority_success
dignitary_yours_female_hinder_army_subterfuge	agent_wounded_female	agent_your_dignitary_anti_army_subterfuge_success	agent_your_dignitary_anti_army_fail	battlemap_reinforcements_arrive	agent_your_dignitary_anti_army_subterfuge_success
dignitary_yours_female_hinder_army_zeal	agent_wounded_female	agent_your_dignitary_anti_army_zeal_success	agent_your_dignitary_anti_army_bribery_fail	battlemap_reinforcements_arrive	agent_your_dignitary_anti_army_zeal_success
dignitary_yours_female_hinder_character_authority	agent_wounded_female	agent_your_dignitary_kill_character_authority_success	agent_your_any_kill_character_fail	battlemap_reinforcements_arrive	agent_your_dignitary_kill_character_authority_wound
dignitary_yours_female_hinder_character_subterfuge	agent_wounded_female	agent_your_dignitary_kill_character_subterfuge_success	agent_your_any_kill_character_fail	battlemap_reinforcements_arrive	agent_your_dignitary_kill_character_subterfuge_wound
dignitary_yours_female_hinder_character_zeal	agent_wounded_female	agent_your_dignitary_kill_character_zeal_success	agent_your_dignitary_discredit_fail	battlemap_reinforcements_arrive	agent_your_dignitary_kill_character_zeal_wound
dignitary_yours_female_hinder_province_authority	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
dignitary_yours_female_hinder_settlement_authority	agent_wounded_female	agent_your_dignitary_anti_settlement_authority_success	agent_your_dignitary_anti_settlement_fail	battlemap_reinforcements_arrive	agent_your_dignitary_anti_settlement_authority_success
dignitary_yours_female_hinder_settlement_subterfuge	agent_wounded_female	agent_your_dignitary_anti_settlement_subterfuge_success	agent_your_dignitary_anti_settlement_fail	battlemap_reinforcements_arrive	agent_your_dignitary_anti_settlement_subterfuge_success
dignitary_yours_female_hinder_settlement_zeal	agent_wounded_female	agent_your_dignitary_anti_settlement_zeal_success	agent_your_dignitary_anti_settlement_fail	battlemap_reinforcements_arrive	agent_your_dignitary_anti_settlement_zeal_success
dignitary_yours_female_passive_ability_authority	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
dignitary_yours_male_assist_army_authority	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
dignitary_yours_male_assist_province_authority	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
dignitary_yours_male_hinder_agent_authority	agent_wounded	agent_your_dignitary_steal_character_authority_success	agent_your_any_steal_character_fail	battlemap_reinforcements_arrive	agent_your_dignitary_steal_character_authority_stop
dignitary_yours_male_hinder_agent_subterfuge	agent_wounded	agent_your_dignitary_steal_character_subterfuge_success	agent_your_any_steal_character_fail	battlemap_reinforcements_arrive	agent_your_dignitary_steal_character_subterfuge_stop
dignitary_yours_male_hinder_agent_zeal	agent_wounded	agent_your_dignitary_steal_character_zeal_success	agent_your_any_steal_character_fail	battlemap_reinforcements_arrive	agent_your_dignitary_steal_character_zeal_stop
dignitary_yours_male_hinder_army_authority	agent_wounded	agent_your_dignitary_anti_army_authority_success_critical	agent_your_dignitary_anti_army_bribery_fail	battlemap_reinforcements_arrive	agent_your_dignitary_anti_army_authority_success
dignitary_yours_male_hinder_army_subterfuge	agent_wounded	agent_your_dignitary_anti_army_subterfuge_success	agent_your_dignitary_anti_army_fail	battlemap_reinforcements_arrive	agent_your_dignitary_anti_army_subterfuge_success
dignitary_yours_male_hinder_army_zeal	agent_wounded	agent_your_dignitary_anti_army_zeal_success	agent_your_dignitary_anti_army_bribery_fail	battlemap_reinforcements_arrive	agent_your_dignitary_anti_army_zeal_success
dignitary_yours_male_hinder_character_authority	agent_wounded	agent_your_dignitary_kill_character_authority_success	agent_your_any_kill_character_fail	battlemap_reinforcements_arrive	agent_your_dignitary_kill_character_authority_wound
dignitary_yours_male_hinder_character_subterfuge	agent_wounded	agent_your_dignitary_kill_character_subterfuge_success	agent_your_any_kill_character_fail	battlemap_reinforcements_arrive	agent_your_dignitary_kill_character_subterfuge_wound
dignitary_yours_male_hinder_character_zeal	agent_wounded	agent_your_dignitary_kill_character_zeal_success	agent_your_dignitary_discredit_fail	battlemap_reinforcements_arrive	agent_your_dignitary_kill_character_zeal_wound
dignitary_yours_male_hinder_province_authority	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
dignitary_yours_male_hinder_settlement_authority	agent_wounded	agent_your_dignitary_anti_settlement_authority_success	agent_your_dignitary_anti_settlement_fail	battlemap_reinforcements_arrive	agent_your_dignitary_anti_settlement_authority_success
dignitary_yours_male_hinder_settlement_subterfuge	agent_wounded	agent_your_dignitary_anti_settlement_subterfuge_success	agent_your_dignitary_anti_settlement_fail	battlemap_reinforcements_arrive	agent_your_dignitary_anti_settlement_subterfuge_success
dignitary_yours_male_hinder_settlement_zeal	agent_wounded	agent_your_dignitary_anti_settlement_zeal_success	agent_your_dignitary_anti_settlement_fail	battlemap_reinforcements_arrive	agent_your_dignitary_anti_settlement_zeal_success
dignitary_yours_male_passive_ability_authority	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
spy_theirs_female_assist_army_subterfuge	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
spy_theirs_female_assist_province_subterfuge	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
spy_theirs_female_hinder_agent_authority	battlemap_enemy_general_wounded	agent_their_spy_steal_character_authority_success	agent_their_any_steal_character_fail	agent_their_any_steal_character_fail	agent_their_spy_steal_character_authority_stop
spy_theirs_female_hinder_agent_subterfuge	battlemap_enemy_general_wounded	agent_theirs_spy_steal_character_success	agent_theirs_spy_steal_character_fail	agent_theirs_spy_steal_character_fail	agent_theirs_spy_steal_character_success
spy_theirs_female_hinder_agent_zeal	battlemap_enemy_general_wounded	agent_their_spy_slow_character_zeal_critical_success	agent_their_spy_slow_character_fail	agent_their_spy_slow_character_fail	agent_their_spy_slow_character_zeal_success
spy_theirs_female_hinder_army_authority	battlemap_enemy_general_wounded	agent_their_spy_anti_army_authority_success	agent_their_spy_anti_army_fail	agent_their_spy_anti_army_fail	agent_their_spy_anti_army_authority_success
spy_theirs_female_hinder_army_subterfuge	battlemap_enemy_general_wounded	agent_their_spy_anti_army_subterfuge_success	agent_their_spy_anti_army_fail	agent_their_spy_anti_army_fail	agent_their_spy_anti_army_subterfuge_success
spy_theirs_female_hinder_army_zeal	battlemap_enemy_general_wounded	agent_their_spy_anti_army_zeal_success	agent_their_spy_anti_army_fail	agent_their_spy_anti_army_fail	agent_their_spy_anti_army_zeal_success
spy_theirs_female_hinder_character_authority	battlemap_enemy_general_wounded	agent_their_spy_kill_character_authority_success	agent_their_any_kill_character_fail	agent_their_any_kill_character_fail	agent_their_spy_kill_character_authority_wound
spy_theirs_female_hinder_character_subterfuge	battlemap_enemy_general_wounded	agent_their_spy_kill_character_subterfuge_success	agent_their_any_kill_character_fail	agent_their_any_kill_character_fail	agent_their_spy_kill_character_subterfuge_wound
spy_theirs_female_hinder_character_zeal	battlemap_enemy_general_wounded	agent_their_spy_kill_character_zeal_success	agent_their_any_kill_character_fail	agent_their_any_kill_character_fail	agent_their_spy_kill_character_zeal_wound
spy_theirs_female_hinder_province_subterfuge	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
spy_theirs_female_hinder_settlement_authority	battlemap_enemy_general_wounded	agent_their_spy_anti_settlement_authority_success	agent_their_spy_anti_settlement_fail	agent_their_spy_anti_settlement_fail	agent_their_spy_anti_settlement_authority_success
