building_chain	building_level	building_set	exclude
inv_car_religious		dk_building_set_all	false
inv_car_silk		dk_building_set_all	false
inv_car_spice		dk_building_set_all	false
inv_car_town		dk_building_set_all	false
inv_car_water		dk_building_set_all	false
inv_gre_agriculture		dk_building_set_all	false
inv_gre_city_centre		dk_building_set_all	false
inv_gre_city_centre_taranto		dk_building_set_all	false
inv_gre_industry_major		dk_building_set_all	false
inv_gre_industry_minor		dk_building_set_all	false
inv_gre_major_town		dk_building_set_all	false
inv_gre_military_buff		dk_building_set_all	false
inv_gre_military_recruitment		dk_building_set_all	false
inv_gre_minor_town		dk_building_set_all	false
inv_gre_minor_town_centre		dk_building_set_all	false
inv_gre_port		dk_building_set_all	false
inv_gre_religious		dk_building_set_all	false
inv_gre_sanitation		dk_building_set_all	false
inv_greek_amber		dk_building_set_all	false
inv_greek_gold		dk_building_set_all	false
inv_greek_grain		dk_building_set_all	false
inv_greek_horse		dk_building_set_all	false
inv_greek_iron		dk_building_set_all	false
inv_greek_lead		dk_building_set_all	false
inv_greek_leather		dk_building_set_all	false
inv_greek_lumber		dk_building_set_all	false
inv_greek_marble		dk_building_set_all	false
inv_greek_olive		dk_building_set_all	false
inv_greek_purple_dye		dk_building_set_all	false
inv_greek_salt		dk_building_set_all	false
inv_greek_wine		dk_building_set_all	false
inv_ita_agriculture		dk_building_set_all	false
inv_ita_industry_major		dk_building_set_all	false
inv_ita_industry_minor		dk_building_set_all	false
inv_ita_major_city		dk_building_set_all	false
inv_ita_major_city_centre		dk_building_set_all	false
inv_ita_military_buff		dk_building_set_all	false
inv_ita_military_recruitment		dk_building_set_all	false
inv_ita_minor_town		dk_building_set_all	false
inv_ita_minor_town_centre		dk_building_set_all	false
inv_ita_port		dk_building_set_all	false
inv_ita_religious		dk_building_set_all	false
inv_ita_sanitation		dk_building_set_all	false
inv_new_etr_amber		dk_building_set_all	false
inv_new_etr_gold		dk_building_set_all	false
inv_new_etr_grain		dk_building_set_all	false
inv_new_etr_horse		dk_building_set_all	false
inv_new_etr_iron		dk_building_set_all	false
inv_new_etr_lead		dk_building_set_all	false
inv_new_etr_leather		dk_building_set_all	false
inv_new_etr_lumber		dk_building_set_all	false
inv_new_etr_main_administration		dk_building_set_all	false
inv_new_etr_main_agriculture		dk_building_set_all	false
inv_new_etr_main_city		dk_building_set_all	false
inv_new_etr_main_military		dk_building_set_all	false
inv_new_etr_main_religion		dk_building_set_all	false
inv_new_etr_marble		dk_building_set_all	false
inv_new_etr_minor_agriculture		dk_building_set_all	false
inv_new_etr_minor_military		dk_building_set_all	false
inv_new_etr_minor_religion		dk_building_set_all	false
inv_new_etr_minor_town		dk_building_set_all	false
inv_new_etr_olive		dk_building_set_all	false
inv_new_etr_port		dk_building_set_all	false
inv_new_etr_purple_dye		dk_building_set_all	false
inv_new_etr_salt		dk_building_set_all	false
inv_new_etr_wine		dk_building_set_all	false
inv_nur_agriculture		dk_building_set_all	false
inv_nur_industry_major		dk_building_set_all	false
inv_nur_major_city		dk_building_set_all	false
inv_nur_major_city_centre		dk_building_set_all	false
inv_nur_military		dk_building_set_all	false
inv_nur_minor_town		dk_building_set_all	false
inv_nur_port		dk_building_set_all	false
inv_nur_religious		dk_building_set_all	false
inv_nur_sanitation		dk_building_set_all	false
inv_rom_agriculture		dk_building_set_all	false
inv_rom_amber		dk_building_set_all	false
inv_rom_capital		dk_building_set_all	false
inv_rom_city_centre		dk_building_set_all	false
inv_rom_gold		dk_building_set_all	false
inv_rom_grain		dk_building_set_all	false
inv_rom_horse		dk_building_set_all	false
inv_rom_industry_major		dk_building_set_all	false
inv_rom_iron		dk_building_set_all	false
inv_rom_lead		dk_building_set_all	false
inv_rom_leather		dk_building_set_all	false
inv_rom_lumber		dk_building_set_all	false
inv_rom_marble		dk_building_set_all	false
inv_rom_military_buff		dk_building_set_all	false
inv_rom_military_recruitment		dk_building_set_all	false
inv_rom_minor_town		dk_building_set_all	false
inv_rom_olive		dk_building_set_all	false
inv_rom_port		dk_building_set_all	false
inv_rom_purple_dye		dk_building_set_all	false
inv_rom_religious		dk_building_set_all	false
inv_rom_salt		dk_building_set_all	false
inv_rom_sanitation		dk_building_set_all	false
inv_rom_town_centre		dk_building_set_all	false
inv_rom_wine		dk_building_set_all	false
inv_rome_resource_building_dummy		dk_building_set_all	false
inv_ven_agriculture		dk_building_set_all	false
inv_ven_city_centre		dk_building_set_all	false
inv_ven_industry		dk_building_set_all	false
inv_ven_major_town		dk_building_set_all	false
inv_ven_military_industry		dk_building_set_all	false
inv_ven_military_recruitment		dk_building_set_all	false
inv_ven_minor_town		dk_building_set_all	false
inv_ven_port		dk_building_set_all	false
inv_ven_religious		dk_building_set_all	false
inv_ven_sanitation		dk_building_set_all	false
pel_agriculture		dk_building_set_all	false
pel_agriculture_barb		dk_building_set_all	false
pel_agriculture_east		dk_building_set_all	false
pel_barb_artisan		dk_building_set_all	false
pel_barb_commons		dk_building_set_all	false
pel_barb_port		dk_building_set_all	false
pel_barb_town		dk_building_set_all	false
pel_barb_water		dk_building_set_all	false
pel_buff		dk_building_set_all	false
pel_city		dk_building_set_all	false
pel_city_centre		dk_building_set_all	false
pel_east_city_centre		dk_building_set_all	false
pel_east_port		dk_building_set_all	false
pel_east_water		dk_building_set_all	false
pel_industry		dk_building_set_all	false
pel_military		dk_building_set_all	false
pel_port		dk_building_set_all	false
pel_religious		dk_building_set_all	false
pel_religious_barb		dk_building_set_all	false
pel_religious_east		dk_building_set_all	false
pel_town		dk_building_set_all	false
pel_town_bronze		dk_building_set_all	false
pel_town_centre		dk_building_set_all	false
pel_town_glass		dk_building_set_all	false
pel_town_gold		dk_building_set_all	false
pel_town_grain		dk_building_set_all	false
pel_town_grain_barb		dk_building_set_all	false
pel_town_grain_east		dk_building_set_all	false
pel_town_horse		dk_building_set_all	false
pel_town_horse_barb		dk_building_set_all	false
pel_town_horse_east		dk_building_set_all	false
pel_town_lead		dk_building_set_all	false
pel_town_marble		dk_building_set_all	false
pel_town_olive		dk_building_set_all	false
pel_town_olive_barb		dk_building_set_all	false
pel_town_olive_east		dk_building_set_all	false
pel_town_timber		dk_building_set_all	false
pel_town_wine		dk_building_set_all	false
pel_water		dk_building_set_all	false
pro_ROMAN_city_major		dk_building_set_all	false
pro_ROMAN_military_equipment		dk_building_set_all	false
pun_ROMAN_military_main		dk_building_set_all	false
rom_ALL_industry_minor		dk_building_set_all	false
rom_BARBARIAN_artisans_major		dk_building_set_all	false
rom_BARBARIAN_city_major		dk_building_set_all	false
rom_BARBARIAN_city_minor_fish		dk_building_set_all	false
rom_BARBARIAN_city_minor_glass		dk_building_set_all	false
rom_BARBARIAN_city_minor_gold		dk_building_set_all	false
rom_BARBARIAN_city_minor_grain		dk_building_set_all	false
rom_BARBARIAN_city_minor_hides		dk_building_set_all	false
rom_BARBARIAN_city_minor_iron		dk_building_set_all	false
rom_BARBARIAN_city_minor_limestone		dk_building_set_all	false
rom_BARBARIAN_city_minor_marble		dk_building_set_all	false
rom_BARBARIAN_city_minor_olives		dk_building_set_all	false
rom_BARBARIAN_city_minor_purple_dye		dk_building_set_all	false
rom_BARBARIAN_city_minor_silk		dk_building_set_all	false
rom_BARBARIAN_city_minor_silver		dk_building_set_all	false
rom_BARBARIAN_city_minor_timber		dk_building_set_all	false
rom_BARBARIAN_city_minor_township		dk_building_set_all	false
rom_BARBARIAN_city_minor_wine		dk_building_set_all	false
rom_BARBARIAN_commons		dk_building_set_all	false
rom_BARBARIAN_enclosure		dk_building_set_all	false
rom_BARBARIAN_enclosure_minor		dk_building_set_all	false
rom_BARBARIAN_port_major		dk_building_set_all	false
rom_BARBARIAN_port_minor		dk_building_set_all	false
rom_BARBARIAN_religious_celtic		dk_building_set_all	false
rom_BARBARIAN_religious_celtic_minor		dk_building_set_all	false
rom_BARBARIAN_religious_dacian		dk_building_set_all	false
rom_BARBARIAN_religious_dacian_minor		dk_building_set_all	false
rom_BARBARIAN_religious_germanic		dk_building_set_all	false
rom_BARBARIAN_religious_germanic_minor		dk_building_set_all	false
rom_BARBARIAN_religious_iberian		dk_building_set_all	false
rom_BARBARIAN_religious_iberian_minor		dk_building_set_all	false
rom_BARBARIAN_religious_illyrian		dk_building_set_all	false
rom_BARBARIAN_religious_illyrian_minor		dk_building_set_all	false
rom_BARBARIAN_religious_nomad		dk_building_set_all	false
rom_BARBARIAN_religious_nomad_minor		dk_building_set_all	false
rom_BARBARIAN_religious_thracian		dk_building_set_all	false
rom_BARBARIAN_religious_thracian_minor		dk_building_set_all	false
rom_EASTERN_buff		dk_building_set_all	false
rom_EASTERN_city_major		dk_building_set_all	false
rom_EASTERN_city_minor_fish		dk_building_set_all	false
rom_EASTERN_city_minor_glass		dk_building_set_all	false
rom_EASTERN_city_minor_gold		dk_building_set_all	false
rom_EASTERN_city_minor_grain		dk_building_set_all	false
rom_EASTERN_city_minor_hides		dk_building_set_all	false
rom_EASTERN_city_minor_iron		dk_building_set_all	false
rom_EASTERN_city_minor_limestone		dk_building_set_all	false
rom_EASTERN_city_minor_marble		dk_building_set_all	false
rom_EASTERN_city_minor_olives		dk_building_set_all	false
rom_EASTERN_city_minor_purple_dye		dk_building_set_all	false
rom_EASTERN_city_minor_silk		dk_building_set_all	false
rom_EASTERN_city_minor_silver		dk_building_set_all	false
rom_EASTERN_city_minor_timber		dk_building_set_all	false
rom_EASTERN_city_minor_township		dk_building_set_all	false
rom_EASTERN_city_minor_wine		dk_building_set_all	false
rom_EASTERN_city_slot		dk_building_set_all	false
rom_EASTERN_levy		dk_building_set_all	false
rom_EASTERN_local_temple		dk_building_set_all	false
rom_EASTERN_local_temple_minor		dk_building_set_all	false
rom_EASTERN_outskirts		dk_building_set_all	false
rom_EASTERN_outskirts_minor		dk_building_set_all	false
rom_EASTERN_port_major		dk_building_set_all	false
rom_EASTERN_port_minor		dk_building_set_all	false
rom_EASTERN_stables		dk_building_set_all	false
rom_HELLENIC_city_major		dk_building_set_all	false
rom_HELLENIC_city_minor_fish		dk_building_set_all	false
rom_HELLENIC_city_minor_glass		dk_building_set_all	false
rom_HELLENIC_city_minor_gold		dk_building_set_all	false
rom_HELLENIC_city_minor_grain		dk_building_set_all	false
rom_HELLENIC_city_minor_hides		dk_building_set_all	false
rom_HELLENIC_city_minor_iron		dk_building_set_all	false
rom_HELLENIC_city_minor_limestone		dk_building_set_all	false
rom_HELLENIC_city_minor_marble		dk_building_set_all	false
rom_HELLENIC_city_minor_military_tradition		dk_building_set_all	false
rom_HELLENIC_city_minor_olives		dk_building_set_all	false
rom_HELLENIC_city_minor_purple_dye		dk_building_set_all	false
rom_HELLENIC_city_minor_silk		dk_building_set_all	false
rom_HELLENIC_city_minor_silver		dk_building_set_all	false
rom_HELLENIC_city_minor_timber		dk_building_set_all	false
rom_HELLENIC_city_minor_township		dk_building_set_all	false
rom_HELLENIC_city_minor_wine		dk_building_set_all	false
rom_HELLENIC_city_slot		dk_building_set_all	false
rom_HELLENIC_military_buff		dk_building_set_all	false
rom_HELLENIC_military_equipment		dk_building_set_all	false
rom_HELLENIC_military_main		dk_building_set_all	false
rom_HELLENIC_military_main_PUNIC		dk_building_set_all	false
rom_HELLENIC_outskirts		dk_building_set_all	false
rom_HELLENIC_outskirts_minor		dk_building_set_all	false
rom_HELLENIC_outskirts_minor_MACEDON		dk_building_set_all	false
rom_HELLENIC_port_major		dk_building_set_all	false
rom_HELLENIC_port_minor		dk_building_set_all	false
rom_HELLENIC_sanitation		dk_building_set_all	false
rom_HELLENIC_sanitation_PUNIC		dk_building_set_all	false
rom_HELLENIC_temple		dk_building_set_all	false
rom_HELLENIC_temple_PTOLEMAIC		dk_building_set_all	false
rom_HELLENIC_temple_PUNIC		dk_building_set_all	false
rom_HELLENIC_temple_minor		dk_building_set_all	false
rom_HELLENIC_temple_minor_PTOLEMAIC		dk_building_set_all	false
rom_HELLENIC_temple_minor_PUNIC		dk_building_set_all	false
rom_ROMAN_city_major		dk_building_set_all	false
rom_ROMAN_city_minor_fish		dk_building_set_all	false
rom_ROMAN_city_minor_glass		dk_building_set_all	false
rom_ROMAN_city_minor_gold		dk_building_set_all	false
rom_ROMAN_city_minor_grain		dk_building_set_all	false
rom_ROMAN_city_minor_hides		dk_building_set_all	false
rom_ROMAN_city_minor_iron		dk_building_set_all	false
rom_ROMAN_city_minor_limestone		dk_building_set_all	false
rom_ROMAN_city_minor_marble		dk_building_set_all	false
rom_ROMAN_city_minor_olives		dk_building_set_all	false
rom_ROMAN_city_minor_purple_dye		dk_building_set_all	false
rom_ROMAN_city_minor_silk		dk_building_set_all	false
rom_ROMAN_city_minor_silver		dk_building_set_all	false
rom_ROMAN_city_minor_timber		dk_building_set_all	false
rom_ROMAN_city_minor_township		dk_building_set_all	false
rom_ROMAN_city_minor_wine		dk_building_set_all	false
rom_ROMAN_city_slot		dk_building_set_all	false
rom_ROMAN_military_buff		dk_building_set_all	false
rom_ROMAN_military_equipment		dk_building_set_all	false
rom_ROMAN_military_main		dk_building_set_all	false
rom_ROMAN_outskirts		dk_building_set_all	false
rom_ROMAN_outskirts_minor		dk_building_set_all	false
rom_ROMAN_port_major		dk_building_set_all	false
rom_ROMAN_port_minor		dk_building_set_all	false
rom_ROMAN_sanitation		dk_building_set_all	false
rom_ROMAN_temple		dk_building_set_all	false
rom_ROMAN_temple_minor		dk_building_set_all	false
rom_Slum		dk_building_set_all	false
rome_agriculture		dk_building_set_all	false
rome_amber		dk_building_set_all	false
rome_city		dk_building_set_all	false
rome_city_centre		dk_building_set_all	false
rome_glass		dk_building_set_all	false
rome_gold		dk_building_set_all	false
rome_grain		dk_building_set_all	false
rome_horse		dk_building_set_all	false
