mountable_artillery	faction	cap	probability
Cel_Onager_Bastion	rom_boii	2	50
Cel_Onager_Bastion	rom_galatia	2	50
Cel_Onager_Bastion	rom_nervii	2	50
Cel_Onager_Bastion	rom_tylis	2	50
Cel_Scorpion_Bastion	gaul_arverni	4	150
Cel_Scorpion_Bastion	gaul_nervii	4	150
Cel_Scorpion_Bastion	rom_arverni	4	150
Cel_Scorpion_Bastion	rom_boii	4	150
Cel_Scorpion_Bastion	rom_galatia	4	150
Cel_Scorpion_Bastion	rom_nervii	4	150
Cel_Scorpion_Bastion	rom_tylis	4	150
CiG_Rom_Ballista_Bastion	gaul_rome	2	100
CiG_Rom_Onager_Bastion	gaul_rome	2	50
CiG_Rom_Polybolos_Bastion	gaul_rome	2	100
CiG_Rom_Scorpion_Bastion	gaul_rome	4	150
Dac_Ballista_Bastion	emp_dacia	2	100
Dac_Ballista_Bastion	rom_getae	2	100
Dac_Ballista_Bastion	rom_odryssia	2	100
Dac_Ballista_Bastion	test_westerners	2	100
Dac_Onager_Bastion	emp_dacia	2	50
Dac_Onager_Bastion	rom_getae	2	50
Dac_Onager_Bastion	rom_odryssia	2	50
Dac_Onager_Bastion	test_westerners	2	50
Dac_Scorpion_Bastion	emp_dacia	4	150
Dac_Scorpion_Bastion	rom_getae	4	150
Dac_Scorpion_Bastion	rom_odryssia	4	150
Dac_Scorpion_Bastion	test_westerners	4	150
Eas_Ballista_Bastion	emp_armenia	2	100
Eas_Ballista_Bastion	emp_parthia	2	100
Eas_Ballista_Bastion	rom_armenia	2	100
Eas_Ballista_Bastion	rom_nabatea	2	100
Eas_Ballista_Bastion	rom_parthia	2	100
Eas_Ballista_Bastion	rom_pontus	2	100
Eas_Ballista_Bastion	rom_saba	2	100
Eas_Onager_Bastion	emp_armenia	2	50
Eas_Onager_Bastion	emp_parthia	2	50
Eas_Onager_Bastion	rom_armenia	2	50
Eas_Onager_Bastion	rom_nabatea	2	50
Eas_Onager_Bastion	rom_parthia	2	50
Eas_Onager_Bastion	rom_pontus	2	50
Eas_Onager_Bastion	rom_saba	2	50
Eas_Scorpion_Bastion	emp_armenia	4	150
Eas_Scorpion_Bastion	emp_parthia	4	150
Eas_Scorpion_Bastion	rom_armenia	4	150
Eas_Scorpion_Bastion	rom_nabatea	4	150
Eas_Scorpion_Bastion	rom_parthia	4	150
Eas_Scorpion_Bastion	rom_pontus	4	150
Eas_Scorpion_Bastion	rom_saba	4	150
Ger_Ballista_Bastion	emp_marcomanni	2	100
Ger_Ballista_Bastion	gaul_suebi	2	100
Ger_Ballista_Bastion	rom_suebi	2	100
Ger_Onager_Bastion	emp_marcomanni	2	50
Ger_Onager_Bastion	gaul_suebi	2	50
Ger_Onager_Bastion	rom_suebi	2	50
Ger_Scorpion_Bastion	emp_marcomanni	4	150
Ger_Scorpion_Bastion	gaul_suebi	4	150
Ger_Scorpion_Bastion	rom_suebi	4	150
Gre_Ballista_Bastion	emp_egypt	2	100
Gre_Ballista_Bastion	pun_syracuse	2	100
Gre_Ballista_Bastion	rom_ardiaei	2	100
Gre_Ballista_Bastion	rom_athens	2	100
Gre_Ballista_Bastion	rom_baktria	2	100
Gre_Ballista_Bastion	rom_cimmeria	2	100
Gre_Ballista_Bastion	rom_colchis	2	100
Gre_Ballista_Bastion	rom_epirus	2	100
Gre_Ballista_Bastion	rom_macedon	2	100
Gre_Ballista_Bastion	rom_massilia	2	100
Gre_Ballista_Bastion	rom_pergamon	2	100
Gre_Ballista_Bastion	rom_ptolemaics	2	100
Gre_Ballista_Bastion	rom_seleucid	2	100
Gre_Ballista_Bastion	rom_sparta	2	100
Gre_Ballista_Bastion	rom_syracuse	2	100
Gre_Onager_Bastion	emp_egypt	2	50
Gre_Onager_Bastion	pun_syracuse	2	50
Gre_Onager_Bastion	rom_ardiaei	2	50
Gre_Onager_Bastion	rom_athens	2	50
Gre_Onager_Bastion	rom_baktria	2	50
Gre_Onager_Bastion	rom_cimmeria	2	50
Gre_Onager_Bastion	rom_colchis	2	50
Gre_Onager_Bastion	rom_epirus	2	50
Gre_Onager_Bastion	rom_macedon	2	50
Gre_Onager_Bastion	rom_massilia	2	50
Gre_Onager_Bastion	rom_pergamon	2	50
Gre_Onager_Bastion	rom_ptolemaics	2	50
Gre_Onager_Bastion	rom_seleucid	2	50
Gre_Onager_Bastion	rom_sparta	2	50
Gre_Onager_Bastion	rom_syracuse	2	50
Gre_Polybolos_Bastion	rom_athens	2	100
Gre_Polybolos_Bastion	rom_baktria	2	100
Gre_Polybolos_Bastion	rom_cimmeria	2	100
Gre_Polybolos_Bastion	rom_colchis	2	100
Gre_Polybolos_Bastion	rom_epirus	2	100
Gre_Polybolos_Bastion	rom_macedon	2	100
Gre_Polybolos_Bastion	rom_massilia	2	100
Gre_Polybolos_Bastion	rom_pergamon	2	100
Gre_Polybolos_Bastion	rom_ptolemaics	2	100
Gre_Polybolos_Bastion	rom_seleucid	2	100
Gre_Polybolos_Bastion	rom_sparta	2	100
Gre_Polybolos_Bastion	rom_syracuse	2	100
Gre_Scorpion_Bastion	emp_egypt	4	150
Gre_Scorpion_Bastion	pun_syracuse	4	150
Gre_Scorpion_Bastion	rom_ardiaei	4	150
Gre_Scorpion_Bastion	rom_athens	4	150
Gre_Scorpion_Bastion	rom_baktria	4	150
Gre_Scorpion_Bastion	rom_cimmeria	4	150
Gre_Scorpion_Bastion	rom_colchis	4	150
Gre_Scorpion_Bastion	rom_epirus	4	150
Gre_Scorpion_Bastion	rom_macedon	4	150
Gre_Scorpion_Bastion	rom_massilia	4	150
Gre_Scorpion_Bastion	rom_pergamon	4	150
Gre_Scorpion_Bastion	rom_ptolemaics	4	150
Gre_Scorpion_Bastion	rom_seleucid	4	150
Gre_Scorpion_Bastion	rom_sparta	4	150
Gre_Scorpion_Bastion	rom_syracuse	4	150
Ibe_Ballista_Bastion	pun_arevaci	2	100
Ibe_Ballista_Bastion	pun_lusitani	2	100
Ibe_Ballista_Bastion	rom_arevaci	2	100
Ibe_Ballista_Bastion	rom_lusitani	2	100
Ibe_Ballista_Bastion	test_westerners	2	100
Ibe_Onager_Bastion	pun_arevaci	2	50
Ibe_Onager_Bastion	pun_lusitani	2	50
Ibe_Onager_Bastion	rom_arevaci	2	50
Ibe_Onager_Bastion	rom_lusitani	2	50
Ibe_Onager_Bastion	test_westerners	2	50
Ibe_Scorpion_Bastion	pun_arevaci	4	150
Ibe_Scorpion_Bastion	pun_lusitani	4	150
Ibe_Scorpion_Bastion	rom_arevaci	4	150
Ibe_Scorpion_Bastion	rom_lusitani	4	150
Ibe_Scorpion_Bastion	test_westerners	4	150
Rom_Ballista_Bastion	emp_antony	2	100
Rom_Ballista_Bastion	emp_lepidus	2	100
Rom_Ballista_Bastion	emp_octavian	2	100
Rom_Ballista_Bastion	emp_pompey	2	100
Rom_Ballista_Bastion	pun_rome	2	100
Rom_Ballista_Bastion	rom_rome	2	100
Rom_Onager_Bastion	emp_antony	2	50
Rom_Onager_Bastion	emp_lepidus	2	50
Rom_Onager_Bastion	emp_octavian	2	50
Rom_Onager_Bastion	emp_pompey	2	50
Rom_Onager_Bastion	pun_rome	2	50
Rom_Onager_Bastion	rom_rome	2	50
Rom_Polybolos_Bastion	rom_rome	2	100
Rom_Scorpion_Bastion	emp_antony	4	150
Rom_Scorpion_Bastion	emp_lepidus	4	150
Rom_Scorpion_Bastion	emp_octavian	4	150
Rom_Scorpion_Bastion	emp_pompey	4	150
Rom_Scorpion_Bastion	pun_rome	4	150
Rom_Scorpion_Bastion	rom_rome	4	150
Ste_Ballista_Bastion	rom_massagetae	4	150
Ste_Ballista_Bastion	rom_roxolani	4	150
Ste_Ballista_Bastion	rom_scythia	4	150
Ste_Ballista_Bastion	test_westerners	2	100
