component_id	event_id	falloff	value
historian	CLIENT_STATE_BROKEN	55	-35.0000
historian	DEFENSIVE_ALLIANCE	55	15.0000
historian	DEFENSIVE_ALLIANCE_BROKEN	55	-40.0000
historian	DEFENSIVE_ALLIANCE_PAST	55	20.0000
historian	DIPLOMATIC_MARRIAGE	55	30.0000
historian	DIPLOMAT_CRITICAL_FAILURE	35	-20.0000
historian	DIPLOMAT_CRITICAL_SUCCESS	35	30.0000
historian	DIPLOMAT_FAILURE	35	-5.0000
historian	DIPLOMAT_SUCCESS	35	20.0000
historian	DIVORCE	40	-30.0000
historian	FACTION_KILLED	55	-60.0000
historian	FACTION_LIBERATED	55	100.0000
historian	HOSTILE_AGENT_ACTION	55	-10.0000
historian	JOINED_CONFEDERATION	55	60.0000
historian	MILITARY_ACCESS	55	10.0000
historian	MILITARY_ACCESS_BROKEN	55	-25.0000
historian	MILITARY_ACCESS_DISSOLVED	55	0.0000
historian	MILITARY_ALLIANCE	55	15.0000
historian	MILITARY_ALLIANCE_BROKEN	55	-50.0000
historian	MILITARY_ALLIANCE_PAST	55	30.0000
historian	NON_AGGRESSION_PACT	55	15.0000
historian	NON_AGGRESSION_PACT_BROKEN	55	-30.0000
historian	NON_AGGRESSION_PACT_PAST	55	10.0000
historian	PEACE	55	10.0000
historian	RAIDING	55	-5.0000
historian	STATE_GIFT_ACCEPTED	55	0.0000
historian	STATE_GIFT_LARGE	75	60.0000
historian	STATE_GIFT_MEDIUM	55	40.0000
historian	STATE_GIFT_REFUSED	55	-10.0000
historian	STATE_GIFT_SMALL	35	15.0000
historian	TRADE_AGREEMENT	55	10.0000
historian	TRADE_AGREEMENT_BROKEN	55	-30.0000
historian	TRADE_AGREEMENT_DISSOLVED	55	0.0000
historian	TRADE_AGREEMENT_PAST	55	10.0000
historian	TRESSPASSING	30	-25.0000
historian	TROOPS_ENSLAVED	55	-10.0000
historian	TROOPS_EXECUTED	55	-20.0000
historian	TROOPS_RELEASED	55	5.0000
historian	VASSALAGE	55	10.0000
historian	VASSALAGE_BROKEN	55	-40.0000
historian	VASSALAGE_CANCELLED	55	-20.0000
historian	VASSALAGE_FORCED	55	-10.0000
historian	WAR	55	-30.0000
historian	WAR_PAST	55	-50.0000
