key	image_path	localised_description	localised_name	pre_battle_speech_parameter	unlocked_at_rank	is_background_skill	is_female_only_background_skill	is_male_only_background_skill	background_weighting
3c_army_2_Cavalry_Masters	army_3_cavalry_masters.png	Horsemanship is man and beast as one.	Cavalry Masters		2	false	false	false	0.0000
3c_army_2_Furor_Celtica	army_2_furor_germanicus.png	Celtic fury should not be taken lightly.	Furor Celtica		2	false	false	false	0.0000
3c_army_2_Furor_Germanicus	army_2_furor_germanicus.png	Men have come to fear the forests of Germania.	Furor Germanicus		2	false	false	false	0.0000
3c_army_2_Inexorable_Conquerors	army_2_inexorable_conquerors.png	A swarm of locusts destroys everything in its path.	Inexorable Conquerors		2	false	false	false	0.0000
3c_army_2_Unrelenting_Force	army_2_unrelenting_force.png	When a man no longer fears death, there is no stopping him. 	Unrelenting Force		2	false	false	false	0.0000
3c_army_3_Auxiliary_Corps	army_3_auxiliary_corps.png	The wise commander always considers the consequences of defeat. 	Auxiliary Corps		3	false	false	false	0.0000
3c_army_3_Barbarian_Subjugators	army_3_barbarian_subjugators.png	The might of a barbarian horde is terrifying to behold. 	Barbarian Subjugators		3	false	false	false	0.0000
3c_army_3_Cavalry_Masters	army_3_cavalry_masters.png	Horsemanship is when man and beast are one.	Cavalry Masters		3	false	false	false	0.0000
3c_army_3_Desert_Warriors	Army_3c_desert_warriors.png	The desert's hardships produce tough warriors.	Desert Warriors		3	false	false	false	0.0000
3c_army_3_Dread_Marauders	army_3_dread_marauders.png	The lust for plunder can turn men into monsters.	Dread Marauders		3	false	false	false	0.0000
3c_army_3_Grand_Camp_Following	army_3_camp_following.png	The hustle and bustle of camp attracts many interesting characters.	Grand Camp Following		3	false	false	false	0.0000
3c_army_3_Indomitable_Infantry	army_3_indomitable_infantry.png	The bond between fighting men is unbreakable.	Indomitable Infantry		3	false	false	false	0.0000
3c_army_3_Indomitable_Legionaries	army_3_indomitable_legionaries.png	Men grow strong through rigorous training and the blood of their enemies.	Indomitable Legionaries		3	false	false	false	0.0000
3c_army_3_Light_Cavalry_Masters	army_3_light_cavalry_masters.png	A fleet and agile horse needs a fleet and agile rider.	Light Cavalry Masters		3	false	false	false	0.0000
3c_army_3_Mercenary_Host	army_3_mercenary_host.png	Gold invariably buys many deadly friends.	Mercenary Host		3	false	false	false	0.0000
3c_army_3_Spirit_of_the_Immortals	army_3_immortals.png	Death would never reach them, only their enemies.	Spirit of the Immortals		3	false	false	false	0.0000
3c_army_4_Deadly_Assault_Force	Army_3c_deadly_assault_force.png	The fearsome Germanic hordes crush everything unlucky enough to get in their way.	Deadly Assault Force		4	false	false	false	0.0000
3c_army_4_Dread_Invaders	Army_3c_dread_invaders.png	A wave of death came to the Saxon Shore, as if sent by the gods.	Dread Invaders		4	false	false	false	0.0000
3c_army_4_Nomadic_Horde	army_4_nomads.png	The very echo of their horses' hooves is enough to terrify a man.	Nomadic Horde		4	false	false	false	0.0000
3c_army_4_Peerless_Marksmen	Army_3c_peerless_marksmen.png	Their bows strike as fast as their eyes could spot an enemy.	Peerless Marksmen		4	false	false	false	0.0000
3c_army_4_Sentinels_of_the_North	army_4_andraste_chosen.png	The north can never truly be conquered.	Sentinels of the North		4	false	false	false	0.0000
3c_army_4_Sons_of_Shapur	army_4_pahlavans_of_the_east.png	Shapur's finest soldiers, a terror to the western world.	Sons of Shapur		4	false	false	false	0.0000
3c_army_4_True_Romans	Army_3c_true_romans.png	The hallmark of Roman supremacy.	True Romans		4	false	false	false	0.0000
3c_army_4_Veteran_Army	army_4_veteran_army.png	Only the best soldiers live to become veterans. 	Veteran Army		4	false	false	false	0.0000
3c_army_4_Wolves_of_Teiwaz	army_4_wolves_teiwaz.png	The wolf pack protects its own. 	Wolves of Teiwaz		4	false	false	false	0.0000
3c_army_4_Wrath_of_Sol_Invictus	Army_3c_wrath_of_sol_invictus.png	Carrying the banner of the Unconquered Sun.	Wrath of Sol Invictus		4	false	false	false	0.0000
3c_general_admiral_1_navigator	General_3c_navigator_colourized.png	The sea hides a multitude of paths for those who know how to find them.	Navigator		1	false	false	false	0.0000
3c_general_admiral_2_inspiring_admiral	General_3c_inspiring_admiral_colourized.png	Sometimes a ship is held together only by the will of her crew.	Inspiring Admiral		2	false	false	false	0.0000
3c_general_admiral_2_seasoned_marine	General_3c_seasoned_marine_colourized.png	"Get me close to them, oarsmen! That's all I need!"	Seasoned Marine		2	false	false	false	0.0000
3c_general_admiral_3_maritime_archer	General_3c_maritime_archer_colourized.png	"Riddle their boat with arrows. Arrows on fire!"	Naval Archer		3	false	false	false	0.0000
3c_general_admiral_3_naval_commander	General_3c_naval_commander_colourized.png	A wise admiral understands both his sailors and the sea.	Naval Commander		3	false	false	false	0.0000
3c_general_admiral_4_naval_tactics	General_3c_naval_tactics_colourized.png	Every wave is an ally to the skilled mariner.	Naval Tactics		4	false	false	false	0.0000
3c_general_authority_1_efficient_recruiter	General_3c_efficient_recruiter.png	Proper care of new recruits produces superior veterans.	Efficient Recruiter		1	false	false	false	0.0000
3c_general_authority_1_law_keeper	general_warmonger_3_virtue.png	"There is only one rule – abide by the laws! All the laws!"	Law Keeper		1	false	false	false	0.0000
3c_general_authority_2_infantry_commander	general_commander_3_infantry.png	"On my mark, form shieldwall and advance!"	Infantry Commander		2	false	false	false	0.0000
3c_general_authority_2_master_builder	agent_background_champion_military_engineer.png	A soldier should never stay idle.	Master Builder		2	false	false	false	0.0000
3c_general_authority_2_naval_commander	general_commander_3_naval_assault.png	A wise admiral understands both his sailors and the sea.	Naval Commander		2	false	false	false	0.0000
3c_general_authority_3_cavalry_commander	general_commander_3_cavalry.png	"This is how you do a wedge, boys. And now - again!"	Cavalry Commander		3	false	false	false	0.0000
3c_general_authority_3_economic_administrator	agent_background_spy_craftsman.png	Often it takes an army man to put civil matters right.	Economic Administrator		3	false	false	false	0.0000
3c_general_authority_3_inspiring_admiral	general_commander_2_admiral.png	Sometimes a ship is held together only by the will of her crew.	Inspiring Admiral		3	false	false	false	0.0000
3c_general_authority_3_inspiring_general	general_commander_2_general.png	The mere presence of some men turn their subordinates into lions.	Inspiring General		3	false	false	false	0.0000
3c_general_authority_4_great_leader	general_commander_4_great_leader.png	"As we march into battle, remember this! You are not my soldiers! You are my brothers!"	Great Leader		4	false	false	false	0.0000
3c_general_bureaucrat_1_law_keeper	General_3c_law_keeper_colourized.png	"There is only one rule – abide by the laws! All the laws!"	Law Keeper		1	false	false	false	0.0000
3c_general_bureaucrat_2_agricultural_expert	General_3c_agricultural_expert_colourized.png	Take care of the land and it will take care of you.	Agricultural Expert		2	false	false	false	0.0000
3c_general_bureaucrat_2_talented_architect	General_3c_master_builder_colourized.png	"Columns! Marble ones! Yes, we need more of those!"	Talented Architect		2	false	false	false	0.0000
3c_general_bureaucrat_3_industrial_manager	General_3c_industrial_manager_colourized.png	When every craftsman works hard, profit is guaranteed.	Industrial Manager		3	false	false	false	0.0000
3c_general_bureaucrat_3_patron_of_arts	General_3c_patron_of_arts_colourized.png	"So, a song is it? Let's hear it out."	Patron of Arts		3	false	false	false	0.0000
3c_general_bureaucrat_4_economic_administrator	General_3c_economic_administrator_colourized.png	Often it takes an army man to put civil matters right.	Economic Administrator		4	false	false	false	0.0000
3c_general_cunning_1_navigator	general_strategist_2_navigator.png	The sea hides a multitude of paths for those who know how to find them.	Navigator		1	false	false	false	0.0000
3c_general_cunning_1_strategist	general_strategist_2_tactician.png	A proper general knows when to march and when to rest.	Strategist		1	false	false	false	0.0000
3c_general_cunning_2_artillery_master	general_commander_3_artillery.png	"That's the angle, yes. Poor bastards won't realise what hit them."	Artillery Master		2	false	false	false	0.0000
3c_general_cunning_2_military_administrator	general_strategist_3_administration.png	Dealing with numbers and calculations is a battle in its own right.	Military Administrator		2	false	false	false	0.0000
3c_general_cunning_2_vicious_despoiler	general_warmonger_3_despoil.png	It's simple: brutality brings loot and loot brings power.	Vicious Despoiler		2	false	false	false	0.0000
3c_general_cunning_3_covert_expert	general_strategist_3_covert_action.png	Even the most numerous host can be brought down by trickery.	Covert Expert		3	false	false	false	0.0000
3c_general_cunning_3_mercenary_recruiter	general_strategist_3_mercenary.png	Men whose sole cause is gold are easy to find.	Mercenary Recruiter		3	false	false	false	0.0000
3c_general_cunning_3_siege_master	general_strategist_3_siegecraft.png	"No one leaves this place and no one enters... but us!"	Siege Master		3	false	false	false	0.0000
3c_general_cunning_3_skilled_logistician	general_strategist_3_logistics.png	A sated soldier fights much longer than a starving one.	Skilled Logistician		3	false	false	false	0.0000
3c_general_cunning_4_master_schemer	general_strategist_4_master_tactician.png	"My plans are too deep and complex to explain. You'll have to trust me."	Master Planner		4	false	false	false	0.0000
3c_general_general_1_efficient_recruiter	General_3c_efficient_recruiter_colourized.png	Proper care of new recruits produces superior veterans.	Efficient Recruiter		1	false	false	false	0.0000
3c_general_general_2_infantry_commander	General_3c_infantry_commander_colourized.png	"On my mark, form shieldwall and advance!"	Infantry Commander		2	false	false	false	0.0000
3c_general_general_2_inspiring_general	General_3c_inspiring_general_colourized.png	The mere presence of some men turn their subordinates into lions.	Inspiring General		2	false	false	false	0.0000
3c_general_general_3_cavalry_commander	General_3c_Cavalry Commander_colourized.png	"This is how you do a wedge, boys. And now - again!"	Cavalry Commander		3	false	false	false	0.0000
3c_general_general_3_marching_instructor	General_3c_marching_instructor_colourized.png	"Come on, keep up! There's plenty of time 'til sunset!"	Marching Instructor		3	false	false	false	0.0000
3c_general_general_4_military_administrator	General_3c_military_administrator_colourized.png	Dealing with numbers and calculations is a battle in its own right.	Military Administrator		4	false	false	false	0.0000
3c_general_mastermind_1_strategist	General_3c_strategist_colourized.png	A proper general knows when to march and when to rest.	Strategist		1	false	false	false	0.0000
3c_general_mastermind_2_covert_expert	General_3c_covert_expert_colourized.png	Even the most numerous host can be brought down by trickery.	Covert Expert		2	false	false	false	0.0000
3c_general_mastermind_2_mercenary_recruiter	General_3c_mercenary_recruiter_colourized.png	Men whose sole cause is gold are easy to find.	Mercenary Recruiter		2	false	false	false	0.0000
3c_general_mastermind_3_artillery_master	General_3c_artillery_master_colourized.png	"That's the angle, yes. Poor bastards won't realise what hit them."	Artillery Master		3	false	false	false	0.0000
3c_general_mastermind_3_skilled_logistician	General_3c_skilled_logistician_colourized.png	A sated soldier fights much longer than a starving one.	Skilled Logistician		3	false	false	false	0.0000
3c_general_mastermind_4_siege_master	General_3c_siege_master_colourized.png	"No one exits this place and no one enters. But us!"	Siege Master		4	false	false	false	0.0000
3c_general_soldier_1_master_attacker	General_3c_master_attacker_colourized.png	"Ride with me! Unto flames, madness and war! Ride! Ride!"	Master Attacker		1	false	false	false	0.0000
3c_general_soldier_2_master_defender	General_3c_Master_deffender_colourized.png	"Not a single step back! Here we stand and here we prevail!"	Master Defender		2	false	false	false	0.0000
3c_general_soldier_2_master_of_onslaught	General_3c_master_of_onslaught_colourized.png	"Slaughter the standing, trample the wounded. Then do it again and again!"	Slaughterlord		2	false	false	false	0.0000
3c_general_soldier_3_leader_of_marskmen	General_3c_leader_of_marksmen_colourized.png	What better way to win a battle than by massacring all foes from a distance?	Master Archer		3	false	false	false	0.0000
3c_general_soldier_3_vicious_despoiler	General_3c_vicious_despoiler_colourized.png	It's simple: brutality brings loot and loot brings power.	Vicious Despoiler		3	false	false	false	0.0000
3c_general_soldier_4_incarnation_of_dread	General_3c_incarnation_of_dread_colourized.png	"Yes, they know my name. I can smell their fear."	Incarnation of Dread		4	false	false	false	0.0000
3c_general_zeal_1_master_defender	general_warmonger_3_defence.png	"Not a single step back! Here we stand and here we prevail!"	Master Defender		1	false	false	false	0.0000
3c_general_zeal_1_warrior	general_warmonger_1_warmonger.png	It takes grit and guts to lead from the front.	Warrior		1	false	false	false	0.0000
3c_general_zeal_2_master_attacker	agent_champion_authority_2_valour.png	"Ride with me! Unto flames, madness and war! Ride! Ride!"	Master Attacker		2	false	false	false	0.0000
3c_general_zeal_2_master_of_onslaught	general_warmonger_3_offense.png	"Slaughter the standing, trample the wounded. Then do it again and again!"	Slaughterlord		2	false	false	false	0.0000
3c_general_zeal_2_seasoned_marine	general_warmonger_2_marine.png	"Get me close to them, oarsmen! That's all I need!"	Seasoned Marine		2	false	false	false	0.0000
3c_general_zeal_3_incarnation_of_dread	general_warmonger_3_dread.png	"Yes, they know my name. I can smell their fear."	Incarnation of Dread		3	false	false	false	0.0000
3c_general_zeal_3_leader_of_marskmen	agent_background_champion_warhero.png	What better way to win a battle than by massacring all foes from a distance?	Master Archer		3	false	false	false	0.0000
3c_general_zeal_3_marching_instructor	agent_background_spy_courier.png	"Come on, keep up! There's plenty of time till sunset!"	Marching Instructor		3	false	false	false	0.0000
3c_general_zeal_3_maritime_archer	general_commander_3_naval_support.png	"Riddle their boat with arrows. Arrows on fire!"	Maritime Archer		3	false	false	false	0.0000
3c_general_zeal_4_exemplary_soldier	general_warmonger_4_fearless_warrior.png	"Quickly! Give me a new sword or I'll have at them with my bare fists!"	Exemplary Soldier		4	false	false	false	0.0000
3c_navy_1_Destroyers	navy_1_destroyers.png	Enemy ships will never sail if they are reduced to kindling.	Destroyers		1	false	false	false	0.0000
3c_navy_1_Dread_Pirates	navy_2_dread_pirates.png	A gift for plunder and murder builds a fearsome reputation. 	Dread Pirates		1	false	false	false	0.0000
3c_navy_1_Formidable_Marines	navy_1_formidable_marines.png	The deck of a ship is a tough battle ground.	Formidable Marines		1	false	false	false	0.0000
3c_navy_1_Naval_Marksmen	navy_1_great_marksmen.png	Through howling winds and rolling waves their arrows still fly true.	Naval Marksmen		1	false	false	false	0.0000
3c_navy_2_Blockade_Runners	navy_2_blockade_runners.png	Only the most daring men can run a blockade.	Blockade Runners		2	false	false	false	0.0000
3c_navy_2_Intrepid_Escorts	navy_2_intrepid_escorts.png	Some men live for adventure and the thrill of new tides.	Intrepid Escorts		2	false	false	false	0.0000
3c_navy_2_Ship_Defenders	navy_2_ship_defenders.png	Few men have the strength to stand when all hope seems to be lost.	Ship Defenders		2	false	false	false	0.0000
3c_navy_3_Able_Seamen	navy_3_able_seamen.png	Only the bravest men take the sea as their mistress.	Able Seamen		3	false	false	false	0.0000
3c_navy_3_Master_Shipwrights	navy_3_master_shipwrights.png	Wood whispers, but only the greatest craftsmen hear it.	Master Shipwrights		3	false	false	false	0.0000
3c_navy_3_Pirate_Hunters	navy_3_pirate_hunters.png	"Pirates?! Vile and dissolute creatures, the lot of them."	Pirate Hunters		3	false	false	false	0.0000
3c_navy_4_Masters_of_the_Sea	navy_marines.png	Honour the gods and they will always give you a fair wind. 	Masters of the Sea		4	false	false	false	0.0000
3c_navy_4_Veteran_Fleet	navy_4_veteran_fleet.png	"The sea is in our blood and we are in hers." 	Veteran Fleet		4	false	false	false	0.0000
age_agent_champion_authority_agitator	general_legend.png	"What have the Romans ever done for us?"	Agitator		3	false	false	false	0.0000
age_agent_champion_authority_drill_sergeant	age_agent_officer.png	Victory loves preparation.	Drill Sergeant		1	false	false	false	0.0000
age_agent_champion_authority_drunkard	age_agent_drunkard.png	"Ho! Ho! Ho! To the bottle I go!"	Drunkard		1	false	false	false	0.0000
age_agent_champion_authority_efficient	General_3c_economic_administrator.png	I'm here to raise forces, not to be anyone's friend.	Efficient		5	false	false	false	0.0000
age_agent_champion_authority_evocatus	general_commander_3_infantry_colourized.png	Once a soldier, always a soldier.	Evocatus		5	false	false	false	0.0000
age_agent_champion_authority_explorer	general_scout_2.png	There is more to life than war.	Explorer		1	false	false	false	0.0000
age_agent_champion_authority_festive	general_bard.png	"Bring me wine and send for the girls!"	Festive		1	false	false	false	0.0000
age_agent_champion_authority_guardian	age_agent_guardian.png	"I swear by the gods to protect you with my life!"	Guardian		3	false	false	false	0.0000
age_agent_champion_authority_historian	agent_dignitary_authority_3_martial_philosophy_colourized.png	We must learn from past times, lest we make the same mistakes.	Historian		1	false	false	false	0.0000
age_agent_champion_authority_horsebreeder	general_horse_breeder.png	Champion riders need suitable steeds.	Horsebreeder		1	false	false	false	0.0000
age_agent_champion_authority_inspirational	agent_champion_authority_2_valour_colourized.png	"Our enemies are not gods, for they bleed the same red as any man!"	Inspirational		5	false	false	false	0.0000
age_agent_champion_authority_mentor	agent_dignitary_authority_3_martial_philosophy_colourized.png	"Follow my lead."	Mentor		1	false	false	false	0.0000
age_agent_champion_authority_officer	general_commander_2_general_colourized.png	Serve Rome and you will be rewarded.	Officer		1	false	false	false	0.0000
age_agent_champion_authority_officer_native_units	general_commander_2_general_colourized.png	Serve Roma and you will be rewarded.	Officer		1	false	false	false	0.0000
age_agent_champion_authority_paedotribe	agent_background_champion_athlete_colourized.png	"I'll make warriors of you yet!"	Paedotribe		5	false	false	false	0.0000
age_agent_champion_authority_protector	general_aspbed.png	"Let them come - the more the merrier!"	Protector		3	false	false	false	0.0000
age_agent_champion_authority_renowned	general_aspbed.png	Men dream of my might, women want me to marry their daughters.	Renowned		5	false	false	false	0.0000
age_agent_champion_subterfuge_ageestigator	agent_champion_subterfuge_1_partisan_colourized.png	"I never forget a face."	Investigator		3	false	false	false	0.0000
age_agent_champion_subterfuge_guerilla	agent_champion_subterfuge_1_partisan_colourized.png	The enemy advances, we retreat; the enemy tires, we attack.	Guerilla		5	false	false	false	0.0000
age_agent_champion_subterfuge_harasser	age_agent_harasser.png	They are in for a string of 'unfortunate accidents'...	Harasser		5	false	false	false	0.0000
age_agent_champion_subterfuge_hunter	agent_champion_subterfuge_1_partisan_colourized.png	Be the hunter, not the hunted.	Hunter		3	false	false	false	0.0000
age_agent_champion_subterfuge_interrogator	general_master_merchant.png	"Who do you work for?"	Interrogator		3	false	false	false	0.0000
age_agent_champion_subterfuge_intimidating	age_agent_intimidating.png	The lion does not concern himself with the opinions of the sheep.	Intimidating		1	false	false	false	0.0000
age_agent_champion_subterfuge_murderous	age_agent_murderous.png	"They were dead the moment they saw my face."	Murderous		1	false	false	false	0.0000
age_agent_champion_subterfuge_nocturnal	agent_spy_subterfuge_3_infiltration_colourized.png	No enemy can bear a sight so unexpected and hellish as a ghostly army in the night.	Nocturnal		3	false	false	false	0.0000
age_agent_champion_subterfuge_resourceful	general_strategist_3_mercenary_colourized.png	"All I need is a few good men."	Resourceful		5	false	false	false	0.0000
age_agent_champion_subterfuge_siege_expert	general_strategist_3_siegecraft_colourized.png	"I want ladders on those walls and rams on the doors!"	Siege Expert		1	false	false	false	0.0000
age_agent_champion_subterfuge_tactician	general_strategist_2_tactician_colourized.png	Flank their lines and they will fall like leaves.	Tactician		1	false	false	false	0.0000
age_agent_champion_subterfuge_trapper	age_agent_trapper.png	Curious is the trapmaker's art - his efficacy goes unwitnessed by his own eyes.	Trapper		1	false	false	false	0.0000
age_agent_champion_subterfuge_wicked	agent_champion_subterfuge_2_artifice_colourized.png	"Where you're going, you won't need that arm!"	Wicked		1	false	false	false	0.0000
age_agent_champion_zeal_arsonist	agent_spy_zeal_2_sabotage_colourized.png	Rome wasn't built in a day, but burned in one.	Arsonist		1	false	false	false	0.0000
age_agent_champion_zeal_bloodlust	agent_champion_zeal_1_champion_colourized.png	"Crush your enemies, see them driven before you, and hear the lamentation of their women!"	Bloodlust		5	false	false	false	0.0000
age_agent_champion_zeal_centurion	age_agent_centurion.png	"PULLO! SINGLE FORMATION!"	Centurion		3	false	false	false	0.0000
age_agent_champion_zeal_duelist	general_warmonger_3_offense_colourized.png	You are one, the enemy is one - what is there to fear?	Duelist		5	false	false	false	0.0000
age_agent_champion_zeal_eloquent	general_inspirational.png	"Let me tell you about the time I fought 10 men at once..."	Eloquent		1	false	false	false	0.0000
age_agent_champion_zeal_frenzied	general_warmonger_1_warmonger_colourized.png	Glorious battle is the strongest drug of all!	Frenzied		1	false	false	false	0.0000
age_agent_champion_zeal_heroic	agent_champion_zeal_3_audacity_colourized.png	"I will fight for all that is just or I will die trying!"	Heroic		5	false	false	false	0.0000
age_agent_champion_zeal_hoplite	age_agent_hoplite.png	Each man protects the one to his left, from thigh to neck, with his shield.	Hoplite		1	false	false	false	0.0000
age_agent_champion_zeal_marksman	general_marksman_3.png	An arrow is not afraid of shooting from the bow - only of not reaching the target!	Marksman		1	false	false	false	0.0000
age_agent_champion_zeal_militant	agent_champion_zeal_3_militancy_colourized.png	"Men, our enemies call us cowards - let's prove them wrong!"	Militant		5	false	false	false	0.0000
age_agent_champion_zeal_praefectus	age_agent_praefectus.png	"I serve the Senate and the People of Rome!"	Praefectus		1	false	false	false	0.0000
age_agent_champion_zeal_raider	general_warmonger_3_despoil_colourized.png	Give them nothing, but take from them everything!	Raider		3	false	false	false	0.0000
age_agent_champion_zeal_resilient	agent_champion_zeal_2_strength_colourized.png	"Is that it? I was just beginning to enjoy myself!"	Resilient		3	false	false	false	0.0000
age_agent_champion_zeal_sadistic	general_warmonger_3_dread_colourized.png	"March, you maggots, march until your feet bleed!"	Sadistic		1	false	false	false	0.0000
age_agent_champion_zeal_terrifying	agent_dignitary_zeal_2_doom_colourized.png	"I will feast on your heart!"	Terrifying		3	false	false	false	0.0000
age_agent_dignitary_authority_advocatus	General_3c_economic_administrator.png	"Is there some other form of law?"	Advocatus		1	false	false	false	0.0000
age_agent_dignitary_authority_conservative	agent_champion_authority_1_paragon_colourized.png	"Who are you to question the ways of our elders?"	Conservative		3	false	false	false	0.0000
age_agent_dignitary_authority_diplomatic	age_agent_diplomat.png	"Our leader sends his compliments."	Diplomatic		5	false	false	false	0.0000
age_agent_dignitary_authority_entertainer	General_3c_patron_of_arts.png	"Summon the artists, the festival draws near!"	Entertainer		1	false	false	false	0.0000
age_agent_dignitary_authority_financist	agent_dignitary_authority_2_politics_colourized.png	"Enlist today!"	Economist		1	false	false	false	0.0000
age_agent_dignitary_authority_herder	general_horse_breeder.png	"Sometimes I prefer sheep to people."	Herder		1	false	false	false	0.0000
age_agent_dignitary_authority_lawful	General_3c_law_keeper.png	No man is above the law.	Lawful		1	false	false	false	0.0000
age_agent_dignitary_authority_medicine-man	agent_champion_authority_1_paragon_colourized.png	"Drink this if you want to live."	Medicine-Man		5	false	false	false	0.0000
age_agent_dignitary_authority_officium	age_agent_officium.png	The higher we are placed, the more humbly we should walk.	Officium		5	false	false	false	0.0000
age_agent_dignitary_authority_orator	agent_champion_authority_2_unity_colourized.png	Discard your false beliefs and recognise the true gods!	Orator		3	false	false	false	0.0000
age_agent_dignitary_authority_persuasive	agent_spy_authority_2_collaboration_colourized.png	"Let me make this abundantly clear..."	Persuasive		3	false	false	false	0.0000
age_agent_dignitary_authority_philosopher	agent_dignitary_authority_2_philosophy_colourized.png	"By all means, get married: if you find a good wife, you'll be happy; if not, you'll become a philosopher."	Philosopher		1	false	false	false	0.0000
age_agent_dignitary_authority_political	agent_champion_authority_1_paragon_colourized.png	"There is no reason to question your loyalty, correct?"	Political		1	false	false	false	0.0000
age_agent_dignitary_authority_slaver	General_3c_law_keeper.png	"Where other men see glory, I see gold."	Slaver		3	false	false	false	0.0000
age_agent_dignitary_authority_supplier	General_3c_agricultural_expert.png	"Send for the local farmers, our soldiers need to be fed."	Supplier		3	false	false	false	0.0000
age_agent_dignitary_authority_tutor	agent_dignitary_authority_3_martial_philosophy_colourized.png	"I can teach you a few things..."	Tutor		5	false	false	false	0.0000
age_agent_dignitary_subterfuge_contractor	agent_champion_subterfuge_2_stratagem_colourized.png	"The gold is yours... just sign here... and here."	Contractor		1	false	false	false	0.0000
age_agent_dignitary_subterfuge_dealer	general_strategist_3_mercenary_colourized.png	"I only sell arms, I don't care what happens to them after that."	Dealer		5	false	false	false	0.0000
age_agent_dignitary_subterfuge_embezzler	age_agent_thief.png	"No one will know, I assure you."	Embezzler		3	false	false	false	0.0000
age_agent_dignitary_subterfuge_employer	general_strategist_3_administration_colourized.png	"How many do we need?"	Employer		1	false	false	false	0.0000
age_agent_dignitary_subterfuge_emporos	age_agent_emporos.png	"If you buy a hundred, I'll throw in a few slaves."	Emporos		3	false	false	false	0.0000
age_agent_dignitary_subterfuge_fanatic	age_agent_fanatic.png	You shall make a fine tribute.	Fanatic		3	false	false	false	0.0000
age_agent_dignitary_subterfuge_generous	age_agent_generous.png	"Go home, tend to your wife. We'll speak of the gold next month."	Generous		1	false	false	false	0.0000
age_agent_dignitary_subterfuge_greedy	general_entrepreneur.png	"Fine, yes, do what you like, now show me the gold!"	Greedy		3	false	false	false	0.0000
age_agent_dignitary_subterfuge_imperious	agent_champion_subterfuge_1_partisan_colourized.png	"If they're old enough to hold a sword, they will fight!"	Imperious		3	false	false	false	0.0000
age_agent_dignitary_subterfuge_mi'mar	agent_champion_subterfuge_2_stratagem_colourized.png	"I'll make this city fit for a shah!"	Mi'mar		1	false	false	false	0.0000
age_agent_dignitary_subterfuge_silver_tongue	age_agent_liar.png	"Think about your family... would you let them down?"	Silver Tongue		5	false	false	false	0.0000
age_agent_dignitary_subterfuge_smuggler	general_valorous.png	"Does it really matter *how* I got them?"	Smuggler		5	false	false	false	0.0000
age_agent_dignitary_subterfuge_strict	age_agent_strict.png	In this world, nothing can be said to be certain, except death and taxes.	Strict		1	false	false	false	0.0000
age_agent_dignitary_subterfuge_vower	general_strategist_3_administration_colourized.png	"I promise you, fight for us and you will be rewarded!"	Vower		1	false	false	false	0.0000
