key	text	tooltip
land_units_onscreen_name_Eas_Elite_Persian_Archers	Elite Persian Archers	true
land_units_onscreen_name_Eas_Scorpion_Pot_Ballista	Scorpion Pot Ballista	true
land_units_onscreen_name_inv_rom_veteran_centuriae	Veteran Centuriae	true
land_units_onscreen_name_Rom_War_Dogs	War Dogs	true
land_units_onscreen_name_3c_Aux_Germanic_Swordsmen	Auxiliary Germanic Swordsmen	true
land_units_onscreen_name_inv_car_carthaginian_javelin	Carthaginian Javelinmen	true
land_units_onscreen_name_3c_Aux_Persian_Archers	Auxiliary Persian Archers	true
land_units_onscreen_name_inv_etr_skirmishers	Etruscan Skirmishers	true
land_units_onscreen_name_Aux_Gre_Citizen_Cav	Auxiliary Citizen Cavalry	true
land_units_onscreen_name_Gre_Picked_Hoplites	Picked Hoplites	true
land_units_onscreen_name_inv_sabine_warriors	Native Sabine Warriors	true
land_units_onscreen_name_Gre_Rhodian_Slingers	Rhodian Slingers	true
land_units_onscreen_name_Gre_Spartan_Hoplites	Spartan Hoplites	true
land_units_onscreen_name_3c_Rom_Cheiroballistra	Roman Scorpion	true
land_units_onscreen_name_Bri_Ballista_Bastion	Briton Bastion Ballista	true
land_units_onscreen_name_Bri_Cheiroballistra	Briton Scorpion	true
land_units_onscreen_name_Gre_Cheiroballistra	Greek Scorpion	true
land_units_onscreen_name_Rom_General	General & Bodyguard	true
land_units_onscreen_name_Thr_Tribal_Garrison	Tribal Garrison	true
land_units_onscreen_name_3c_Ger_Germanic_Swordsmen	Germanic Swordsmen	true
land_units_onscreen_name_3c_Pal_Palmyrene_Cataphracts	Palmyrene Cataphracts 	true
land_units_onscreen_name_Gre_Slingers	Slingers	true
land_units_onscreen_name_Ibe_Slingers	Iberian Slingers	true
land_units_onscreen_name_Ste_Armoured_Lancers	Steppe Armoured Lancers	true
land_units_onscreen_name_Rom_Evocati_Cohort	Evocati Cohort	true
land_units_onscreen_name_Aux_Eas_Javelinmen	Auxiliary Eastern Javelinmen	true
land_units_onscreen_name_Mer_Ill_Cav	Mercenary Illyrian Cavalry	true
land_units_onscreen_name_Ill_Marines	Illyrian Marines	true
land_units_onscreen_name_3c_Eas_Eastern_Axe_Warriors	Eastern Axe Warriors	true
land_units_onscreen_name_Eas_Parthian_Foot_Archers	Parthian Foot Archers	true
land_units_onscreen_name_inv_volsci_warriors	Native Volsci Warriors	true
land_units_onscreen_name_inv_volsci_spearmen	Native Volsci Spearmen	true
land_units_onscreen_name_Gre_Militia_Hoplites	Militia Hoplites	true
land_units_onscreen_name_3c_Mer_Celtic_Horsemen	Mercenary Celtic Horsemen	true
land_units_onscreen_name_3c_Cel_Celtic_Horsemen	Celtic Horsemen	true
land_units_onscreen_name_3c_Aux_Thracian_Horse_Skirmishers	Auxiliary Thracian Horse Skirmishers	true
land_units_onscreen_name_Gre_Ballista	Greek Ballista	true
land_units_onscreen_name_Ibe_Ballista	Iberian Ballista	true
land_units_onscreen_name_Ste_Ballista	Steppe Ballista	true
land_units_onscreen_name_Eas_Scorpion_Bastion	Eastern Bastion Scorpion	true
land_units_onscreen_name_Gre_Peltasts	Peltasts	true
land_units_onscreen_name_3c_Ara_Arabian_Javelinmen	Arabian Javelinmen	true
land_units_onscreen_name_3c_Aux_Alae_Cavalry	Alae Cavalry	true
land_units_onscreen_name_Gre_Beehive_Onager	Greek Beehive Onager	true
land_units_onscreen_name_Pel_Hillmen	Hillmen	true
land_units_onscreen_name_Cel_Veteran_Spears	Veteran Spears	true
land_units_onscreen_name_Rom_Rorarii	Rorarii	true
land_units_onscreen_name_Pel_Javelin_Marines	Javelin Marines	true
land_units_onscreen_name_Bri_Veteran_Riders	Veteran Riders	true
land_units_onscreen_name_Pel_Spartan_Youths	Spartan Youths	true
land_units_onscreen_name_inv_local_gallic_horsemen	Native Gallic Horsemen	true
land_units_onscreen_name_Ger_Horse_Runners	Horse Runners	true
land_units_onscreen_name_Rom_Onager_Prologue	Ballista	true
land_units_onscreen_name_3c_Sax_Saxon_Raiders	Saxoni Raiders	true
land_units_onscreen_name_Afr_Scorpion_Bastion	African Bastion Scorpion	true
land_units_onscreen_name_Bri_Chariots	Chariots	true
land_units_onscreen_name_Car_Scorpion_Bastion	Carthaginian Bastion Scorpion	true
land_units_onscreen_name_Ger_Scorpion_Bastion	German Bastion Scorpion	true
land_units_onscreen_name_3c_Aux_Archers	Auxiliary Archers	true
land_units_onscreen_name_3c_Gal_Equites	Equites	true
land_units_onscreen_name_Afr_Archers	Archers	true
land_units_onscreen_name_Mer_Ibe_Cav	Mercenary Iberian Cavalry	true
land_units_onscreen_name_Bri_Druidic_Nobles	Druidic Nobles	true
land_units_onscreen_name_Aux_Ara_Cav	Auxiliary Arabian Cavalry	true
land_units_onscreen_name_Pel_Persian_Archer_Marines	Persian Archer Marines	true
land_units_onscreen_name_3c_Goth_Gothic_Archers_comm	Gothic Archers Bodyguard	true
land_units_onscreen_name_Pel_Light_Cavalry	Light Cavalry	true
land_units_onscreen_name_inv_ven_italian_swordsmen	Italian Swordsmen	true
land_units_onscreen_name_3c_Pal_Palmyrene_Skirmishers	Palmyrene Skirmishers	true
land_units_onscreen_name_3c_Rom_Horse_Archers	Horse Archers	true
land_units_onscreen_name_3c_Aux_Sabean_Spearmen	Auxiliary Sabaean Spearmen	true
land_units_onscreen_name_Eas_Scorpion	Eastern Scorpion (Fixed)	true
land_units_onscreen_name_Gre_Ballista_Bastion	Greek Bastion Ballista	true
land_units_onscreen_name_Ibe_Ballista_Bastion	Iberian Bastion Ballista	true
land_units_onscreen_name_Ste_Ballista_Bastion	Steppe Bastion Ballista	true
land_units_onscreen_name_3c_Mer_Eastern_Pikemen	Mercenary Eastern Pikemen	true
land_units_onscreen_name_Ste_Saka_Cataphracts	Saka Cataphracts	true
land_units_onscreen_name_Egy_Archers	Egyptian Archers	true
land_units_onscreen_name_Ste_Lancers	Steppe Lancers	true
land_units_onscreen_name_Rom_Legionary_Cav	Legionary Cavalry	true
land_units_onscreen_name_Gre_Picked_Peltasts	Picked Peltasts	true
land_units_onscreen_name_Thr_Warriors	Thracian Warriors	true
land_units_onscreen_name_Bri_Slingers	Briton Slingers	true
land_units_onscreen_name_Afr_Scorpion	African Scorpion (Fixed)	true
land_units_onscreen_name_Car_Scorpion	Carthaginian Scorpion (Fixed)	true
land_units_onscreen_name_Ger_Scorpion	German Scorpion (Fixed)	true
land_units_onscreen_name_3c_Rom_Equites	Equites	true
land_units_onscreen_name_Cel_Galatian_Raiders	Galatian Raiders	true
land_units_onscreen_name_Rom_Vet_Legionaries	Veteran Legionaries	true
land_units_onscreen_name_Mer_Eas_Javelinmen	Mercenary Eastern Javelinmen	true
land_units_onscreen_name_Eas_Cappadocian_Cav	Cappadocian Cavalry	true
land_units_onscreen_name_inv_car_sacred_band	Sacred Band	true
land_units_onscreen_name_3c_Mer_Thracian_Horse_Skirmishers	Mercenary Thracian Horse Skirmishers	true
land_units_onscreen_name_Bri_Ballista	Briton Ballista	true
land_units_onscreen_name_3c_Eas_Cheiroballistra	Eastern Scorpion	true
land_units_onscreen_name_Aux_Cel_Axe_Warriors	Auxiliary Axe Warriors	true
land_units_onscreen_name_3c_Eas_Eastern_Javelinmen	Eastern Javelinmen	true
land_units_onscreen_name_Dac_Falxmen	Falxmen	true
land_units_onscreen_name_Car_General	General's Bodyguard	true
land_units_onscreen_name_Ibe_Celtiberian_Cav	Celtiberian Cavalry	true
land_units_onscreen_name_Pel_Archers	Archers	true
land_units_onscreen_name_3c_Goth_Elite_Gothic_Archers	Elite Gothic Archers	true
land_units_onscreen_name_3c_Eas_Scorpion_Pot_Ballista	Scorpion Pot Ballista	true
land_units_onscreen_name_3c_Marc_Wodanaz_Spears	Wodanaz Spears	true
land_units_onscreen_name_3c_Aux_Hillmen	Auxiliary Hillmen	true
land_units_onscreen_name_Gre_Hoplites	Hoplites	true
land_units_onscreen_name_Ger_Longbow_Hunters	Longbow Hunters	true
land_units_onscreen_name_Mer_Afr_Cav	Mercenary Sabean Cavalry	true
land_units_onscreen_name_Ste_Noble_Lancers	Steppe Noble Lancers	true
land_units_onscreen_name_3c_Ste_Steppe_Slingers	Steppe Slingers	true
land_units_onscreen_name_3c_Rom_Praetorian_Cavalry_comm	Praetorian Cavalry Bodyguard	true
land_units_onscreen_name_Cel_Slingers	Celtic Slingers	true
land_units_onscreen_name_Pel_Slingers	Slingers	true
land_units_onscreen_name_3c_Eas_Eastern_Pikemen	Eastern Pikemen	true
land_units_onscreen_name_inv_sam_italian_slingers_ver_sacrum	Ver Sacrum Slingers	true
land_units_onscreen_name_Aux_Num_Javelinmen	Auxiliary Numidian Javelinmen	true
land_units_onscreen_name_Rom_Vigiles	Vigiles	true
land_units_onscreen_name_Aux_Afr_Spr	Auxiliary Sabaean Spearmen	true
land_units_onscreen_name_Gre_Companion_Cav	Companion Cavalry	true
land_units_onscreen_name_inv_ligurian_axe_warriors	Native Ligurian Axe Warriors	true
land_units_onscreen_name_Afr_Tribal_Slingers	Tribal Slingers	true
land_units_onscreen_name_Aux_Bri_Spear_Band	Auxiliary Spear Band	true
land_units_onscreen_name_Gre_Thureos_Hoplites	Thureos Hoplites	true
land_units_onscreen_name_Pel_Spartan_Hoplites	Spartan Hoplites	true
land_units_onscreen_name_inv_sam_linen_legion	Linen Legion	true
land_units_onscreen_name_3c_Afr_Cheiroballistra	African Scorpion	true
land_units_onscreen_name_Mer_Gre_Vet_Hoplites	Mercenary Veteran Hoplites	true
land_units_onscreen_name_3c_Gal_Taifali_Cavalry	Taifali Cavalry	true
land_units_onscreen_name_inv_car_mob	Mob	true
land_units_onscreen_name_dk_num_armoured_numidian_spearmen	Armoured Numidian Spearmen	true
land_units_onscreen_name_3c_Eas_Ballista_Shp	Eastern Ballista (Ship)	true
land_units_onscreen_name_Ibe_Lusitani_Spear	Lusitani Spearmen	true
land_units_onscreen_name_Cel_Raiding_Horsemen	Raiding Horsemen	true
land_units_onscreen_name_3c_Sax_Duguth_Spearmen	Duguth Spearmen	true
land_units_onscreen_name_Rom_Ballista	Roman Ballista	true
land_units_onscreen_name_3c_Ger_Cheiroballistra	German Scorpion	true
land_units_onscreen_name_3c_Aux_Eastern_Javelinmen	Auxiliary Eastern Javelinmen	true
land_units_onscreen_name_inv_etr_axe_infantry	Etruscan Axe Infantry	true
land_units_onscreen_name_Dac_Ballista_Bastion	Dacian Bastion Ballista	true
land_units_onscreen_name_Pel_Baktrian_Cavalry	Baktrian Cavalry	true
land_units_onscreen_name_Aux_Num_Cav	Auxiliary Numidian Cavalry	true
land_units_onscreen_name_Eas_Archers	Eastern Archers	true
land_units_onscreen_name_Pel_Persian_Archers	Persian Archers	true
land_units_onscreen_name_Bri_Farmers	Farmers	true
land_units_onscreen_name_Pel_Marines	Marines	true
land_units_onscreen_name_Mer_Per_Cav	Mercenary Persian Cavalry	true
land_units_onscreen_name_Mer_Ger_Spearwomen	Mercenary Spearwomen	true
land_units_onscreen_name_Pel_Militia_Hoplites	Militia Hoplites	true
land_units_onscreen_name_3c_Marc_Horse_Hewers	Horse Hewers	true
land_units_onscreen_name_dk_num_desert_cohort	Desert Cohort	true
land_units_onscreen_name_3c_Gal_Gallic_Imperial_Guard_comm	Gallic Imperial Bodyguard	true
land_units_onscreen_name_Cel_Ballista	Celtic Ballista	true
land_units_onscreen_name_Mer_Pel_Thr_Peltasts	Mercenary Thraike Peltasts	true
land_units_onscreen_name_inv_mercenary_veneti_raiders	Mercenary Veneti Raiders	true
land_units_onscreen_name_3c_Gal_Veteran_Gallic_Legionaries	Veteran Gallic Legionaries	true
land_units_onscreen_name_3c_Rom_Equites_Promoti	Equites Promoti	true
land_units_onscreen_name_3c_Gal_Heavy_Gallic_Spearmen	Heavy Gallic Spearmen	true
land_units_onscreen_name_Gre_Spartan_Youths	Spartan Youths	true
land_units_onscreen_name_3c_Rom_Ballista_Shp	Roman Ballista (Ship)	true
land_units_onscreen_name_3c_Goth_Gothic_Axe_Warriors	Gothic Axe Warriors	true
land_units_onscreen_name_dk_nab_nabatean_swordsmen	Nabataean Swordsmen	true
land_units_onscreen_name_Eas_Parthian_Horse_Archers	Parthian Horse Archers	true
land_units_onscreen_name_Car_Libyan_Peltasts	Libyan Peltasts	true
land_units_onscreen_name_Mer_Ibe_Lusitani_Swordswomen	Mercenary Lusitani Swordswomen	true
land_units_onscreen_name_3c_Aux_Germanic_Axe_Warriors	Auxiliary Germanic Axe Warriors	true
land_units_onscreen_name_3c_Ger_Germanic_Axe_Warriors	Germanic Axe Warriors	true
land_units_onscreen_name_Eas_Ballista	Eastern Ballista	true
land_units_onscreen_name_Gre_Scorpion_Bastion	Greek Bastion Scorpion	true
land_units_onscreen_name_Ibe_Scorpion_Bastion	Iberian Bastion Scorpion	true
land_units_onscreen_name_3c_Sas_Armoured_Indian_War_Elephants	Armoured Indian War Elephants	true
land_units_onscreen_name_3c_Aux_Persian_Cavalry	Auxiliary Persian Cavalry	true
land_units_onscreen_name_Ill_Raiders	Illyrian Raiders	true
land_units_onscreen_name_Rom_Legatus	Legatus	true
land_units_onscreen_name_Afr_Cheiroballistra	African Scorpion	true
land_units_onscreen_name_Ita_Levy_Slingers	Levy Slingers	true
land_units_onscreen_name_inv_apulian_archers	Native Iapygian Archers	true
land_units_onscreen_name_Rom_Plebs	Plebs	true
land_units_onscreen_name_3c_Ger_Germanic_Horse_Skirmishers	Germanic Horse Skirmishers	true
land_units_onscreen_name_dk_nab_nabatean_axe_warriors	Nabataean Axe Warriors	true
land_units_onscreen_name_Gre_Citizen_Hoplites	Citizen Hoplites	true
land_units_onscreen_name_3c_Cel_Celtic_Spearmen	Celtic Spearmen	true
land_units_onscreen_name_3c_Ala_Alani_Royal_Horses	Alani Royal Horses	true
land_units_onscreen_name_3c_Gal_Gallic_Warriors	Gallic Warriors	true
land_units_onscreen_name_3c_Sax_Saxon_Mounted_Warband	Saxoni Mounted Warband	true
land_units_onscreen_name_Mer_Ibe_Scutarii_Cav	Mercenary Scutarii Cavalry	true
land_units_onscreen_name_Afr_Ballista	African Ballista	true
land_units_onscreen_name_Car_Ballista	Carthaginian Ballista	true
land_units_onscreen_name_Ger_Ballista	German Ballista	true
land_units_onscreen_name_3c_Rom_Vigiles	Vigiles	true
land_units_onscreen_name_Thr_Peltasts	Thracian Peltasts	true
land_units_onscreen_name_3c_Rom_Pikemen	Pikemen	true
land_units_onscreen_name_Cel_Cheiroballistra	Celtic Scorpion	true
land_units_onscreen_name_Rom_Beehive_Onager	Roman Beehive Onager	true
land_units_onscreen_name_Ger_Cheiroballistra	German Scorpion	true
land_units_onscreen_name_Aux_Thr_Cav	Auxiliary Thracian Cavalry	true
land_units_onscreen_name_Ger_Sword_Masters	Sword Masters	true
land_units_onscreen_name_Ste_Spear	Steppe Spearmen	true
land_units_onscreen_name_Ibe_Spear	Iberian Spearmen	true
land_units_onscreen_name_Ill_Spear	Illyrian Spearmen	true
land_units_onscreen_name_Ita_Spear	Italian Spearmen	true
land_units_onscreen_name_Num_Spear	Numidian Spearmen	true
land_units_onscreen_name_Eas_Spear	Eastern Spearmen	true
land_units_onscreen_name_inv_gre_hippotoxotes	Hippotoxotes	true
land_units_onscreen_name_Ita_Samnite_Warriors	Samnite Warriors	true
land_units_onscreen_name_Ger_Slingers	Germanic Slingers	true
land_units_onscreen_name_Thr_Slingers	Thracian Slingers	true
land_units_onscreen_name_Bri_Scorpion	Briton Scorpion (Fixed)	true
land_units_onscreen_name_Mer_Gre_Gorgos_Skirmishers	Mercenary Gorgo's Skirmishers	true
land_units_onscreen_name_Gre_Hippeus_Lancers	Hippeus Lancers	true
land_units_onscreen_name_Pel_Picked_Hoplites	Picked Hoplites	true
land_units_onscreen_name_inv_iol_nuragic_shield_wall	Nuragic Shield Wall	true
land_units_onscreen_name_3c_Marc_Armoured_Germanic_Axe_Warriors	Armoured Germanic Axe Warriors	true
land_units_onscreen_name_Ibe_Painted_Warriors	Painted Warriors	true
land_units_onscreen_name_3c_Sas_Pushtighban_Cataphracts	Pushtigban Cataphracts	true
land_units_onscreen_name_3c_Mer_Persian_Archers	Mercenary Persian Archers	true
land_units_onscreen_name_3c_Per_Persian_Archers	Persian Archers	true
land_units_onscreen_name_3c_Eas_Eastern_Cavalry	Eastern Cavalry	true
land_units_onscreen_name_Eas_Slingers	Eastern Slingers	true
land_units_onscreen_name_3c_Ger_Germanic_Skirmishers	Germanic Skirmishers	true
land_units_onscreen_name_inv_african_cavalry	African Cavalry	true
land_units_onscreen_name_inv_carthaginian_infantry	Native Carthaginian Infantry	true
land_units_onscreen_name_Rom_Hastati	Hastati	true
land_units_onscreen_name_Mer_Gre_Citizen_Cav	Mercenary Citizen Cavalry	true
land_units_onscreen_name_Eas_Garrison_Spear	Eastern Spearmen	true
land_units_onscreen_name_inv_mercenary_naked_warriors	Mercenary Naked Warriors	true
land_units_onscreen_name_3c_Aux_Libyan_Infantry	Auxiliary Libyan Infantry	true
land_units_onscreen_name_Mer_Rom_Gladiatrices	Mercenary Gladiatrices	true
land_units_onscreen_name_inv_iol_sardi_bowmen	Sardi Bowmen	true
land_units_onscreen_name_Aux_Ita_Socii_Equites_Extraordinarii	Socii Equites Extraordinarii	true
land_units_onscreen_name_Gre_Massilian_Thureos_Spears	Massilian Thureos Spears	true
land_units_onscreen_name_3c_Aux_Indian_War_Elephants	Auxiliary Indian War Elephants	true
land_units_onscreen_name_Rom_Equites	Equites	true
land_units_onscreen_name_Ibe_Cheiroballistra	Iberian Scorpion	true
land_units_onscreen_name_Ger_Wolf_Warriors	Wolf Warriors	true
land_units_onscreen_name_inv_iol_nuragic_ambushers	Nuragic Ambushers	true
land_units_onscreen_name_3c_Per_Persian_Levy	Persian Levy	true
land_units_onscreen_name_Cel_Tribal_Warriors	Tribal Warriors	true
land_units_onscreen_name_3c_Ger_Germanic_Nobles_comm	Germanic Nobles Bodyguard	true
land_units_onscreen_name_3c_Ala_Armoured_Axe_Warriors	Armoured Axe Warriors	true
land_units_onscreen_name_3c_Arm_Armoured_Axe_Warriors	Armoured Axe Warriors	true
land_units_onscreen_name_dk_mer_nubian_bowmen	Mercenary Nubian Bowmen	true
land_units_onscreen_name_3c_Sas_Kurdish_Archers	Kurdish Archers	true
land_units_onscreen_name_Gre_Thureos_Spears	Thureos Spears	true
land_units_onscreen_name_Aux_Ill_Cav	Auxiliary Illyrian Cavalry	true
land_units_onscreen_name_Pel_Spartan_Archer_Marines	Spartan Archer Marines	true
land_units_onscreen_name_Dac_Cheiroballistra	Dacian Scorpion	true
land_units_onscreen_name_Car_Cheiroballistra	Carthaginian Scorpion	true
land_units_onscreen_name_Eas_Cheiroballistra	Eastern Scorpion	true
land_units_onscreen_name_inv_mercenary_etr_archers	Mercenary Etruscan Archers	true
land_units_onscreen_name_Ara_Camel_Archers	Camel Archers	true
land_units_onscreen_name_inv_greek_archers	Native Greek Archers	true
land_units_onscreen_name_inv_greek_militia	Native Greek Militia	true
land_units_onscreen_name_Rom_Leves	Leves	true
land_units_onscreen_name_inv_iol_sherden_swordsmen	Sherden Swordsmen	true
land_units_onscreen_name_inv_ita_umbrian_defenders	Umbrian Defenders	true
land_units_onscreen_name_3c_Rom_Armoured_Horse_Skirmishers	Armoured Horse Skirmishers	true
land_units_onscreen_name_Gre_Scythed_Chariots	Scythed Chariots	true
land_units_onscreen_name_3c_Aux_Celtic_Horsemen	Auxiliary Celtic Horsemen	true
land_units_onscreen_name_3c_Aux_Steppe_Warriors	Auxiliary Steppe Warriors	true
land_units_onscreen_name_3c_Pal_Palmyrene_Legionaries	Palmyrene Legionaries 	true
land_units_onscreen_name_Dac_Scorpion_Bastion	Dacian Bastion Scorpion	true
land_units_onscreen_name_Egy_Infantry	Egyptian Infantry	true
land_units_onscreen_name_Rom_Scorpion	Roman Scorpion (Fixed)	true
land_units_onscreen_name_Pel_Hippeus	Hippeus	true
land_units_onscreen_name_3c_Zenobia_Chariots	Zenobia	true
land_units_onscreen_name_Gre_Pergamon_Noble_Cavalry	Pergamenes Noble Cavalry	true
land_units_onscreen_name_Gre_Ptolemaic_Cav	Ptolemaic Cavalry	true
land_units_onscreen_name_3c_Ste_Steppe_Spearmen	Steppe Spearmen	true
land_units_onscreen_name_3c_Sab_Sabean_Armoured_Spearmen_comm	Sabean Armoured Spearmen Bodyguard	true
land_units_onscreen_name_inv_iol_sardi_axemen	Sardi Axemen	true
land_units_onscreen_name_3c_Ste_Steppe_Warriors	Steppe Warriors	true
land_units_onscreen_name_3c_Aux_Iberian_Cavalry	Auxiliary Iberian Cavalry	true
land_units_onscreen_name_Cel_Warriors	Celtic Warriors	true
land_units_onscreen_name_3c_Ara_Arabian_Camel_Archers_comm	Arabian Camel Archers Bodyguard	true
land_units_onscreen_name_3c_Cel_Chariots_comm	Chariots Bodyguard	true
land_units_onscreen_name_Aux_Infantry	Auxiliary Infantry	true
land_units_onscreen_name_Cel_Scorpion	Celtic Scorpion (Fixed)	true
land_units_onscreen_name_Rom_Cheiroballistra	Roman Scorpion	true
land_units_onscreen_name_Eas_Persian_Cavalry	Persian Cavalry	true
land_units_onscreen_name_Afr_Large_Shield_Warriors	Large Shield Warriors	true
land_units_onscreen_name_Mer_Ara_Cav	Mercenary Arabian Cavalry	true
land_units_onscreen_name_Aux_Ibe_Cav	Auxiliary Iberian Cavalry	true
land_units_onscreen_name_Gre_Periokoi_Pike	Perioikoi Pikemen	true
land_units_onscreen_name_Ill_Thureos_Spears	Illyrian Thureos Spears	true
land_units_onscreen_name_Pel_Phyrgian_Spear	Phyrgian Spearmen	true
land_units_onscreen_name_3c_Goth_Gothic_Spearwomen	Gothic Spearwomen	true
land_units_onscreen_name_inv_car_carthaginian_cavalry	Carthaginian Cavalry	true
land_units_onscreen_name_3c_Mer_Sabean_Spearmen	Mercenary Sabean Spearmen	true
land_units_onscreen_name_Rom_Scorpion_Bastion	Roman Bastion Scorpion	true
land_units_onscreen_name_3c_Aux_Eastern_Pikemen	Auxiliary Eastern Pikemen	true
land_units_onscreen_name_Dac_Scorpion	Dacian Scorpion (Fixed)	true
land_units_onscreen_name_3c_Sas_Kurdish_Archers_comm	Kurdish Archers Bodyguard	true
land_units_onscreen_name_Aux_Ara_Spr	Auxiliary Arabian Spearmen	true
land_units_onscreen_name_inv_italian_hillmen	Native Italian Hillmen	true
land_units_onscreen_name_Gre_Thorax_Hoplites	Thorax Hoplites	true
land_units_onscreen_name_3c_Rom_Vigiles_comm	Vigiles Bodyguard	true
land_units_onscreen_name_Ger_Cimbri_Bowwomen	Cimbri Bow-Women	true
land_units_onscreen_name_3c_Goth_Greuthungi_Elite_Spears_comm	Greuthungi Elite Spears Bodyguard	true
land_units_onscreen_name_inv_italian_slingers	Native Italian Slingers	true
land_units_onscreen_name_Cel_Scorpion_Bastion	Celtic Bastion Scorpion	true
land_units_onscreen_name_3c_Bri_Cheiroballistra	Briton Scorpion	true
land_units_onscreen_name_Egy_Slingers	Egyptian Slingers	true
land_units_onscreen_name_3c_Sas_Armoured_Indian_War_Elephants_comm	Armoured Indian War Elephants Bodyguard	true
land_units_onscreen_name_Bac_Scale_Thorax_Hoplites	Scale Thorax Hoplites	true
land_units_onscreen_name_Rom_Triarii	Triarii	true
land_units_onscreen_name_Ste_Archers	Steppe Archers	true
land_units_onscreen_name_Egy_Galatian_Sword	Galatian Swordsmen	true
land_units_onscreen_name_3c_Sas_Royal_Archers	Royal Archers	true
land_units_onscreen_name_3c_Rom_Equites_Catafractarii_comm	Equites Catafractarii Bodyguard	true
land_units_onscreen_name_3c_Pal_Imperial_Pikemen_comm	Imperial Pikemen Bodyguard	true
land_units_onscreen_name_3c_Arm_Azat_Knights	Azat Knights	true
land_units_onscreen_name_Eas_Pontic_Peltasts	Pontic Peltasts	true
land_units_onscreen_name_inv_sardi_hillmen	Native Sardi Hillmen	true
