faction	unit	name	variant	height_variation	height_scale	unit_card
	3c_Ala_Armoured_Steppe_Warriors	3c_Ala_Armoured_Steppe_Warriors	3c_Ala_Armoured_Steppe_Warriors	0.0750	1.0000	3c_Ala_Armoured_Steppe_Warriors
	3c_Ala_Armoured_Steppe_Warriors_comm	3c_Ala_Armoured_Steppe_Warriors_comm	3c_Ala_Armoured_Steppe_Warriors	0.0750	1.0000	3c_Ala_Armoured_Steppe_Warriors
	3c_Ala_Noble_Steppe_Cataphracts	3c_Ala_Noble_Steppe_Cataphracts	3c_Ala_Noble_Steppe_Cataphracts	0.0750	1.0000	3c_Ala_Noble_Steppe_Cataphracts
	3c_Ala_Noble_Steppe_Cataphracts_comm	3c_Ala_Noble_Steppe_Cataphracts_comm	3c_Ala_Noble_Steppe_Cataphracts	0.0750	1.0000	3c_Ala_Noble_Steppe_Cataphracts
	3c_Ala_Noble_Steppe_Lancers	3c_Ala_Noble_Steppe_Lancers	3c_Ala_Noble_Steppe_Lancers	0.0750	1.0000	3c_Ala_Noble_Steppe_Lancers
	3c_Ala_Steppe_Cataphract_Archers	3c_Ala_Steppe_Cataphract_Archers	3c_Ala_Steppe_Cataphract_Archers	0.0750	1.0000	3c_Ala_Steppe_Cataphract_Archers
	3c_Ala_Steppe_Cataphract_Archers_comm	3c_Ala_Steppe_Cataphract_Archers_comm	3c_Ala_Steppe_Cataphract_Archers	0.0750	1.0000	3c_Ala_Steppe_Cataphract_Archers
	3c_Ala_Steppe_Cavalry	3c_Ala_Steppe_Cavalry	3c_Ala_Steppe_Cavalry	0.0750	1.0000	3c_Ala_Steppe_Cavalry
	3c_Ala_Steppe_Horse_Archers	3c_Ala_Steppe_Horse_Archers	3c_Ala_Steppe_Horse_Archers	0.0750	1.0000	3c_Ala_Steppe_Horse_Archers
	3c_Ala_Steppe_Horse_Skirmishers	3c_Ala_Steppe_Horse_Skirmishers	3c_Ala_Steppe_Horse_Skirmishers	0.0750	1.0000	3c_Ala_Steppe_Horse_Skirmishers
	3c_Ala_Steppe_Lancers	3c_Ala_Steppe_Lancers	3c_Ala_Steppe_Lancers	0.0750	1.0000	3c_Ala_Steppe_Lancers
	3c_Ala_Steppe_Warband	3c_Ala_Steppe_Warband	3c_Ala_Steppe_Warband	0.0750	1.0000	3c_Ala_Steppe_Warband
	3c_Ala_Taifali_Cavalry	3c_Ala_Taifali_Cavalry	3c_Ala_Taifali_Cavalry	0.0750	1.0000	3c_Ala_Taifali_Cavalry
	3c_Ara_Arabian_Camel_Archers	3c_Ara_Arabian_Camel_Archers	3c_Ara_Arabian_Archer	0.0750	1.0000	3c_Ara_Arabian_Camel_Archers
	3c_Ara_Arabian_Camel_Archers_comm	3c_Ara_Arabian_Camel_Archers_comm	3c_Ara_Arabian_Archer	0.0750	1.0000	3c_Ara_Arabian_Camel_Archers
	3c_Ara_Arabian_Camel_Spearmen	3c_Ara_Arabian_Camel_Spearmen	3c_Ara_Arabian_Camel_Spearmen	0.0750	1.0000	3c_Ara_Arabian_Camel_Spearmen
	3c_Ara_Arabian_Javelinmen	3c_Ara_Arabian_Javelinmen	3c_Ara_Arabian_Javelinmen	0.0750	1.0000	3c_Ara_Arabian_RH_javelinmen
	3c_Ara_Arabian_Nobles	3c_Ara_Arabian_Nobles	3c_Ara_Arabian_Nobles	0.0750	1.0000	3c_Ara_Arabian_Nobles
	3c_Ara_Arabian_Nobles_comm	3c_Ara_Arabian_Nobles_comm	3c_Ara_Arabian_Nobles	0.0750	1.0000	3c_Ara_Arabian_Nobles
	3c_Ara_Arabian_Slingers	3c_Ara_Arabian_Slingers	3c_Ara_Arabian_Slingers	0.0750	1.0000	3c_Ara_Arabian_RH_slingers
	3c_Ara_Arabian_Spearmen	3c_Ara_Arabian_Spearmen	3c_Ara_Arabian_Spearmen	0.0750	1.0000	3c_Ara_Arabian_RH_spearmen
	3c_Ara_Arabian_Swordsmen	3c_Ara_Arabian_Swordsmen	3c_Ara_Arabian_Swordsmen	0.0750	1.0000	3c_Ara_Arabian_RH_swordsmen
	3c_Ara_Arabian_Swordsmen_comm	3c_Ara_Arabian_Swordsmen_comm	3c_Ara_Arabian_Swordsmen	0.0750	1.0000	3c_Ara_Arabian_RH_swordsmen
	3c_Arm_Armenian_Archers	3c_Arm_Armenian_Archers	3c_Arm_Armenian_Archers	0.0750	1.0000	3c_Arm_Armenian_Archers
	3c_Arm_Armenian_Pikemen	3c_Arm_Armenian_Pikemen	3c_Arm_Armenian_Pikemen	0.0750	1.0000	3c_Arm_Armenian_RH_pikemen
	3c_Arm_Armenian_Slingers	3c_Arm_Armenian_Slingers	3c_Arm_Armenian_Slingers	0.0750	1.0000	3c_Arm_Armenian_RH_slingers
	3c_Arm_Armenian_Spearmen	3c_Arm_Armenian_Spearmen	3c_Arm_Armenian_Spearmen	0.0750	1.0000	3c_Arm_Armenian_RH_spearmen
	3c_Arm_Armoured_Armenian_Archers	3c_Arm_Armoured_Armenian_Archers	3c_Arm_Armoured_Armenian_Archers	0.0750	1.0000	3c_Arm_Armoured_Armenian_Archers
	3c_Arm_Armoured_Armenian_Archers_comm	3c_Arm_Armoured_Armenian_Archers_comm	3c_Arm_Armoured_Armenian_Archers	0.0750	1.0000	3c_Arm_Armoured_Armenian_Archers
	3c_Arm_Armoured_Armenian_Pikemen	3c_Arm_Armoured_Armenian_Pikemen	3c_Arm_Armoured_Armenian_Pikemen	0.0750	1.0000	3c_Arm_Armoured_Armenian_RH_pikemen
	3c_Arm_Armoured_Axe_Warriors	3c_Arm_Armoured_Axe_Warriors	3c_Arm_Armoured_Axe_Warriors	0.0750	1.0000	3c_Arm_Armoured_RH_axe_Warriors
	3c_Arm_Armoured_Horse_Archers	3c_Arm_Armoured_Horse_Archers	3c_Arm_Armoured_Horse_Archers	0.0750	1.0000	3c_Arm_Armoured_Horse_Archers
	3c_Arm_Azat_Guard	3c_Arm_Azat_Guard	3c_Arm_Azat_Guard	0.0750	1.0000	3c_Arm_Azat_Guard
	3c_Arm_Azat_Guard_comm	3c_Arm_Azat_Guard_comm	3c_Arm_Azat_Guard	0.0750	1.0000	3c_Arm_Azat_Guard
	3c_Arm_Azat_Knights	3c_Arm_Azat_Knights	3c_Arm_Azat_Knights	0.0750	1.0000	3c_Arm_Azat_Knights
	3c_Arm_Azat_Knights_comm	3c_Arm_Azat_Knights_comm	3c_Arm_Azat_Knights	0.0750	1.0000	3c_Arm_Azat_Knights
	3c_Arm_Noble_Armenian_Archers	3c_Arm_Noble_Armenian_Archers	3c_Arm_Noble_Armenian_Archers	0.0750	1.0000	3c_Arm_Noble_Armenian_Archers
	3c_Arm_Noble_Armenian_Archers_comm	3c_Arm_Noble_Armenian_Archers_comm	3c_Arm_Noble_Armenian_Archers	0.0750	1.0000	3c_Arm_Noble_Armenian_Archers
	3c_Arm_Noble_Armenian_Cavalry	3c_Arm_Noble_Armenian_Cavalry	3c_Arm_Noble_Armenian_Cavalry	0.0750	1.0000	3c_Arm_Noble_Armenian_Cavalry
	3c_Arm_Noble_Cataphracts	3c_Arm_Noble_Cataphracts	3c_Arm_Noble_Cataphracts	0.0750	1.0000	3c_Arm_Noble_Cataphracts
	3c_Arm_Noble_Cataphracts_comm	3c_Arm_Noble_Cataphracts_comm	3c_Arm_Noble_Cataphracts	0.0750	1.0000	3c_Arm_Noble_Cataphracts
	3c_Arm_Noble_Horse_Archers	3c_Arm_Noble_Horse_Archers	3c_Arm_Noble_Horse_Archers	0.0750	1.0000	3c_Arm_Noble_Horse_Archers
	3c_Arm_Noble_Horse_Archers_comm	3c_Arm_Noble_Horse_Archers_comm	3c_Arm_Noble_Horse_Archers	0.0750	1.0000	3c_Arm_Noble_Horse_Archers
	3c_Arm_Persian_Spearmen	3c_Arm_Persian_Spearmen	3c_Sas_Persian_Spearmen	0.0750	1.0000	3c_Arm_Persian_RH_spearmen
	3c_Aux_African_Elephants	3c_Aux_African_Elephants	3c_Aux_Elephant_Archer	0.0750	1.0000	3c_Mer_African_Elephants
	3c_Aux_Alae_Cavalry	3c_Aux_Alae_Cavalry	3c_Aux_Alae_Cavalry	0.0750	1.0000	3c_Aux_Alae_Cavalry
	3c_Aux_Alae_Clibanarii	3c_Aux_Alae_Clibanarii	3c_Aux_Alae_Clibanarii	0.0750	1.0000	3c_Aux_Alae_Clibanarii
	3c_Aux_Alae_Skirmishers	3c_Aux_Alae_Skirmishers	3c_Aux_Alae_Skirmishers	0.0750	1.0000	3c_Aux_Alae_Skirmishers
	3c_Aux_Arabian_Camel_Archers	3c_Aux_Arabian_Camel_Archers	3c_Ara_Arabian_Archer	0.0750	1.0000	3c_Aux_Arabian_Camel_Archers
	3c_Aux_Arabian_Camel_Spearmen	3c_Aux_Arabian_Camel_Spearmen	3c_Ara_Arabian_Camel_Spearmen	0.0750	1.0000	3c_Ara_Arabian_Camel_Spearmen
	3c_Aux_Arabian_Spearmen	3c_Aux_Arabian_Spearmen	3c_Ara_Arabian_Spearmen	0.0750	1.0000	3c_Aux_Arabian_RH_spearmen
	3c_Aux_Archers	3c_Aux_Archers	3c_Aux_Auxiliary_Archers	0.0750	1.0000	3c_Aux_Archers
	3c_Aux_Armenian_Archers	3c_Aux_Armenian_Archers	3c_Arm_Armoured_Armenian_Archers	0.0750	1.0000	3c_Aux_Armenian_Archers
	3c_Aux_Armoured_Chariots	3c_Aux_Armoured_Chariots	3c_Cal_Armoured_Chariot_Rider	0.0750	1.0000	3c_Cal_Armoured_Chariot
	3c_Aux_Armoured_Gallic_Spearmen	3c_Aux_Armoured_Gallic_Spearmen	3c_Aux_Armoured_Gallic_Spearmen	0.0750	1.0000	3c_Aux_Armoured_Gallic_RH_spearmen
	3c_Aux_Armoured_Pikemen	3c_Aux_Armoured_Pikemen	3c_Aux_Armoured_Pikemen	0.0750	1.0000	3c_Aux_Armoured_RH_pikemen
	3c_Aux_Bactrian_Hillmen	3c_Aux_Bactrian_Hillmen	3c_Aux_Bactrian_Hillmen	0.0750	1.0000	3c_Aux_Bactrian_Hillmen
	3c_Aux_Bactrian_Horse_Archers	3c_Aux_Bactrian_Horse_Archers	3c_Aux_Bactrian_Horse_Archers	0.0750	1.0000	3c_Aux_Bactrian_Horse_Archers
	3c_Aux_Bactrian_Light_Cavalry	3c_Aux_Bactrian_Light_Cavalry	3c_Aux_Bactrian_Light_Cavalry	0.0750	1.0000	3c_Aux_Bactrian_Light_Cavalry
	3c_Aux_Briton_Slingers	3c_Aux_Briton_Slingers	3c_Aux_Briton_Slingers	0.0750	1.0000	3c_Aux_Briton_RH_slingers
	3c_Aux_Camel_Archers	3c_Aux_Camel_Archers	3c_Aux_Camel_Archers.	0.0750	1.0000	3c_Aux_Camel_Archers
	3c_Aux_Camel_Spearmen	3c_Aux_Camel_Spearmen	3c_Aux_Camel_Spearmen	0.0750	1.0000	3c_Aux_Camel_Spearmen
	3c_Aux_Cappadocian_Cavalry	3c_Aux_Cappadocian_Cavalry	3c_Aux_Cappadocian_Cavalry	0.0750	1.0000	3c_Aux_Cappadocian_Cavalry
	3c_Aux_Celtic_Archers	3c_Aux_Celtic_Archers	3c_Cel_Celtic_Archers	0.0750	1.0000	3c_Aux_Celtic_Archers
	3c_Aux_Celtic_Heavy_Cavalry	3c_Aux_Celtic_Heavy_Cavalry	3c_Aux_Celtic_Heavy_Cavalry	0.0750	1.0000	3c_Aux_Celtic_Heavy_Cavalry
	3c_Aux_Celtic_Horsemen	3c_Aux_Celtic_Horsemen	3c_Cel_Celtic_Horsemen	0.0750	1.0000	3c_Aux_Celtic_Horsemen
	3c_Aux_Celtic_Spearmen	3c_Aux_Celtic_Spearmen	3c_Cel_Celtic_Spearmen	0.0750	1.0000	3c_Aux_Celtic_RH_spearmen
	3c_Aux_Celtic_Swordsmen	3c_Aux_Celtic_Swordsmen	3c_Cel_Celtic_Swordsmen	0.0750	1.0000	3c_Aux_Celtic_RH_swordsmen
	3c_Aux_Chariots	3c_Aux_Chariots	3c_Cel_Chariot_Rider	0.0750	1.0000	3c_Celtic_Chariot
	3c_Aux_Cretan_Archers	3c_Aux_Cretan_Archers	3c_Aux_Cretan_Archers	0.0750	1.0000	3c_Aux_Cretan_Archers
	3c_Aux_Desert_Riders	3c_Aux_Desert_Riders	3c_Aux_Desert_Riders	0.0750	1.0000	3c_Aux_Desert_Riders
	3c_Aux_Eastern_Heavy_Cavalry	3c_Aux_Eastern_Heavy_Cavalry	3c_Aux_Eastern_Heavy_Cavalry	0.0750	1.0000	3c_Aux_Eastern_Heavy_Cavalry
	3c_Aux_Eastern_Javelinmen	3c_Aux_Eastern_Javelinmen	3c_Sas_Eastern_Horse_Skirmishers	0.0750	1.0000	3c_Aux_Eastern_RH_javelinmen
	3c_Aux_Eastern_Pikemen	3c_Aux_Eastern_Pikemen	3c_Aux_Eastern_Pikemen	0.0750	1.0000	3c_Mer_Eastern_RH_pikemen
	3c_Aux_Eastern_Spearmen	3c_Aux_Eastern_Spearmen	3c_Arm_Eastern_Spearmen	0.0750	1.0000	3c_Aux_Eastern_RH_spearmen
	3c_Aux_Egyptian_Archers	3c_Aux_Egyptian_Archers	3c_Aux_Egyptian_Archers	0.0750	1.0000	3c_Aux_Egyptian_Archers
	3c_Aux_Egyptian_Infantry	3c_Aux_Egyptian_Infantry	3c_Aux_Egyptian_Infantry	0.0750	1.0000	3c_Aux_Egyptian_Infantry
	3c_Aux_Egyptian_Pikemen	3c_Aux_Egyptian_Pikemen	3c_Aux_Egyptian_Pikemen	0.0750	1.0000	3c_Aux_Egyptian_RH_pikemen
	3c_Aux_Gallic_Bowmen	3c_Aux_Gallic_Bowmen	3c_Cel_Celtic_Archers	0.0750	1.0000	3c_Aux_Gallic_RH_bowmen
	3c_Aux_Gallic_Cavalry	3c_Aux_Gallic_Cavalry	3c_Aux_Gallic_Cavalry	0.0750	1.0000	3c_Aux_Gallic_Cavalry
	3c_Aux_Gallic_Heavy_Infantry	3c_Aux_Gallic_Heavy_Infantry	3c_Cal_Chosen_Sword_Band	0.0750	1.0000	3c_Aux_Gallic_Heavy_Infantry
	3c_Aux_Gallic_Skirmishers	3c_Aux_Gallic_Skirmishers	3c_Cel_Celtic_Skirmishers	0.0750	1.0000	3c_Aux_Gallic_Skirmishers
	3c_Aux_Gallic_Swordsmen	3c_Aux_Gallic_Swordsmen	3c_Cel_Celtic_Swordsmen	0.0750	1.0000	3c_Aux_Gallic_RH_swordsmen
	3c_Aux_Germanic_Axe_Warriors	3c_Aux_Germanic_Axe_Warriors	3c_Ger_Germanic_Axe_Warriors	0.0750	1.0000	3c_Aux_Germanic_RH_axe_Warriors
	3c_Aux_Germanic_Falxmen	3c_Aux_Germanic_Falxmen	3c_Got_Gothic_Falxmen	0.0750	1.0000	3c_Aux_Germanic_RH_falxmen
	3c_Aux_Germanic_Heavy_Infantry	3c_Aux_Germanic_Heavy_Infantry	3c_Ger_Armoured_Germanic_Swordsmen	0.0750	1.0000	3c_Aux_Germanic_Heavy_Infantry
	3c_Aux_Germanic_Hunters	3c_Aux_Germanic_Hunters	3c_Ger_Germanic_Hunters	0.0750	1.0000	3c_Aux_Germanic_Hunters
	3c_Aux_Germanic_Skirmishers	3c_Aux_Germanic_Skirmishers	3c_Ger_Germanic_Skirmishers	0.0750	1.0000	3c_Aux_Germanic_Skirmishers
	3c_Aux_Germanic_Spear_Masters	3c_Aux_Germanic_Spear_Masters	3c_Ger_Germanic_Spear_Masters	0.0750	1.0000	3c_Aux_Germanic_RH_spear_Masters
	3c_Aux_Germanic_Swordsmen	3c_Aux_Germanic_Swordsmen	3c_Ger_Germanic_Swordsmen	0.0750	1.0000	3c_Aux_Germanic_RH_swordsmen
	3c_Aux_Hillmen	3c_Aux_Hillmen	3c_Pal_Hillmen	0.0750	1.0000	3c_Eas_Hillmen
	3c_Aux_Horse_Skirmishers	3c_Aux_Horse_Skirmishers	3c_Aux_Horse_Skirmishers	0.0750	1.0000	3c_Aux_Horse_Skirmishers
	3c_Aux_Iberian_Cavalry	3c_Aux_Iberian_Cavalry	3c_Aux_Iberian_Cavalry	0.0750	1.0000	3c_Aux_Iberian_Cavalry
	3c_Aux_Iberian_Slingers	3c_Aux_Iberian_Slingers	3c_Aux_Iberian_Slingers	0.0750	1.0000	3c_Aux_Iberian_RH_slingers
	3c_Aux_Iberian_Swordsmen	3c_Aux_Iberian_Swordsmen	3c_Aux_Iberian_Swordsmen	0.0750	1.0000	3c_Aux_Iberian_RH_swordsmen
	3c_Aux_Illyrian_Archers	3c_Aux_Illyrian_Archers	3c_Aux_Illyrian_Archers	0.0750	1.0000	3c_Aux_Illyrian_Archers
	3c_Aux_Illyrian_Armoured_Pikemen	3c_Aux_Illyrian_Armoured_Pikemen	3c_Aux_Illyrian_Armoured_Pikemen	0.0750	1.0000	3c_Aux_Illyrian_Armoured_RH_pikemen
	3c_Aux_Illyrian_Cavalry	3c_Aux_Illyrian_Cavalry	3c_Aux_Illyrian_Cavalry	0.0750	1.0000	3c_Aux_Illyrian_Cavalry
	3c_Aux_Illyrian_Raiders	3c_Aux_Illyrian_Raiders	3c_Aux_Illyrian_Raiders	0.0750	1.0000	3c_Aux_Illyrian_Raiders
	3c_Aux_Illyrian_Slingers	3c_Aux_Illyrian_Slingers	3c_Aux_Illyrian_Slingers	0.0750	1.0000	3c_Aux_Illyrian_RH_slingers
	3c_Aux_Illyrian_Swordsmen	3c_Aux_Illyrian_Swordsmen	3c_Aux_Illyrian_Swordsmen	0.0750	1.0000	3c_Aux_Illyrian_RH_swordsmen
	3c_Aux_Indian_War_Elephants	3c_Aux_Indian_War_Elephants	3c_Aux_Elephant_Archer	0.0750	1.0000	3c_Mer_African_Elephants
	3c_Aux_Lanciarii	3c_Aux_Lanciarii	3c_Aux_Lanciarii	0.0750	1.0000	3c_Aux_Lanciarii
	3c_Aux_Libyan_Infantry	3c_Aux_Libyan_Infantry	3c_Aux_Libyan_Infantry	0.0750	1.0000	3c_Aux_Libyan_Infantry
	3c_Aux_Numidian_Cavalry	3c_Aux_Numidian_Cavalry	3c_Num_Numidian_Javelinmen	0.0750	1.0000	3c_Aux_Numidian_Cavalry
	3c_Aux_Numidian_Infantry	3c_Aux_Numidian_Infantry	3c_Num_Numidian_Infantry	0.0750	1.0000	3c_Aux_Numidian_Infantry
	3c_Aux_Numidian_Javelinmen	3c_Aux_Numidian_Javelinmen	3c_Num_Numidian_Javelinmen	0.0750	1.0000	3c_Aux_Numidian_RH_javelinmen
	3c_Aux_Peltasts	3c_Aux_Peltasts	3c_Aux_Peltasts	0.0750	1.0000	3c_Aux_Peltasts
	3c_Aux_Persian_Archers	3c_Aux_Persian_Archers	3c_Aux_Persian_Archers	0.0750	1.0000	3c_Aux_Persian_Archers
	3c_Aux_Persian_Cataphracts	3c_Aux_Persian_Cataphracts	3c_Aux_Persian_Cataphracts	0.0750	1.0000	3c_Aux_Persian_Cataphracts
	3c_Aux_Persian_Cavalry	3c_Aux_Persian_Cavalry	3c_Aux_Persian_Cavalry	0.0750	1.0000	3c_Aux_Persian_Cavalry
	3c_Aux_Persian_Horse_Skirmishers	3c_Aux_Persian_Horse_Skirmishers	3c_Aux_Persian_Horse_Skirmishers	0.0750	1.0000	3c_Aux_Persian_Horse_Skirmishers
	3c_Aux_Persian_Skirmishers	3c_Aux_Persian_Skirmishers	3c_Aux_persian_Skirmishers	0.0750	1.0000	3c_Aux_Persian_Skirmishers
	3c_Aux_Persian_Spearmen	3c_Aux_Persian_Spearmen	3c_Aux_Persian_Spearmen	0.0750	1.0000	3c_Aux_Persian_RH_spearmen
	3c_Aux_Pontic_Cavalry	3c_Aux_Pontic_Cavalry	3c_Aux_Auxiliary_Pontic_Cavalry	0.0750	1.0000	3c_Aux_Pontic_Cavalry
	3c_Aux_Rhodian_Slingers	3c_Aux_Rhodian_Slingers	3c_Aux_Rhodian_Slingers	0.0750	1.0000	3c_Aux_Rhodian_RH_slingers
	3c_Aux_Sabean_Archers	3c_Aux_Sabean_Archers	3c_Sab_Sabaean_Archers	0.0750	1.0000	3c_Aux_Sabean_Archers
	3c_Aux_Sabean_Cavalry	3c_Aux_Sabean_Cavalry	3c_Sab_Sabaean_Cavalry	0.0750	1.0000	3c_Aux_Sabean_Cavalry
	3c_Aux_Sabean_Spearmen	3c_Aux_Sabean_Spearmen	3c_Sab_Sabaean_Spearmen	0.0750	1.0000	3c_Aux_Sabean_RH_spearmen
	3c_Aux_Sarmatian_Horse_Archers	3c_Aux_Sarmatian_Horse_Archers	3c_Ste_Sarmatian_Horse_Archers	0.0750	1.0000	3c_Aux_Sarmatian_Horse_Archers
	3c_Aux_Sarmatian_Light_Cavalry	3c_Aux_Sarmatian_Light_Cavalry	3c_Ala_Sarmatian_Light_Cavalry	0.0750	1.0000	3c_Aux_Sarmatian_Light_Cavalry
	3c_Aux_Scutarii	3c_Aux_Scutarii	3c_Aux_Scutarii	0.0750	1.0000	3c_Aux_Scutarii
	3c_Aux_Scutarii_Cavalry	3c_Aux_Scutarii_Cavalry	3c_Aux_Scutarii_Cavalry	0.0750	1.0000	3c_Aux_Scutarii_Cavalry
	3c_Aux_Scythed_Chariots	3c_Aux_Scythed_Chariots	3c_Pal_Scythed_Chariots	0.0750	1.0000	3c_Celtic_Chariot
	3c_Aux_Spear_Infantry	3c_Aux_Spear_Infantry	3c_Aux_Spear_Infantry	0.0750	1.0000	3c_Mer_RH_spear_Infantry
	3c_Aux_Steppe_Cavalry	3c_Aux_Steppe_Cavalry	3c_Aux_Steppe_Cavalry	0.0750	1.0000	3c_Aux_Steppe_Cavalry
	3c_Aux_Steppe_Warriors	3c_Aux_Steppe_Warriors	3c_Ste_Steppe_Warriors	0.0750	1.0000	3c_Aux_Steppe_Warriors
	3c_Aux_Swordsmen	3c_Aux_Swordsmen	3c_Aux_Auxiliary_Swordsmen	0.0750	1.0000	3c_Aux_RH_swordsmen
	3c_Aux_Swordsmen_comm	3c_Aux_Swordsmen_comm	3c_Aux_Auxiliary_Swordsmen	0.0750	1.0000	3c_Aux_RH_swordsmen
	3c_Aux_Syrian_Archers	3c_Aux_Syrian_Archers	Eas_Syrian_Heavy_Archers	0.0750	1.0000	3c_Aux_Syrian_Archers
	3c_Aux_Thracian_Cavalry	3c_Aux_Thracian_Cavalry	3c_Aux_Thracian_Cavalry	0.0750	1.0000	3c_Aux_Thracian_Cavalry
	3c_Aux_Thracian_Heroic_Riders	3c_Aux_Thracian_Heroic_Riders	3c_Aux_Thracian_Heroic_Riders	0.0750	1.0000	3c_Aux_Thracian_Heroic_Riders
	3c_Aux_Thracian_Horse_Skirmishers	3c_Aux_Thracian_Horse_Skirmishers	3c_Aux_Thracian_Horse_Skirmishers	0.0750	1.0000	3c_Aux_Thracian_Horse_Skirmishers
	3c_Aux_Thracian_Light_Cavalry	3c_Aux_Thracian_Light_Cavalry	3c_Aux_Thracian_Light_Cavalry	0.0750	1.0000	3c_Aux_Thracian_Light_Cavalry
	3c_Aux_Thracian_Slingers	3c_Aux_Thracian_Slingers	3c_Aux_Thracian_Slingers	0.0750	1.0000	3c_Aux_Thracian_RH_slingers
	3c_Aux_Thracian_Warriors	3c_Aux_Thracian_Warriors	3c_Aux_Thracian_Warriors	0.0750	1.0000	3c_Aux_Thracian_Warriors
	3c_Bri_Ballista	3c_Bri_Ballista	Bri_Art_Crew	0.0750	1.0250	3c_Ballista
	3c_Bri_Ballista_Bastion	3c_Bri_Ballista_Bastion	Bri_Art_Crew	0.0750	1.0250	3c_Ballista
	3c_Bri_Cheiroballistra	3c_Bri_Cheiroballistra	Bri_Art_Crew	0.0750	1.0250	3c_Cheiroballistra
	3c_Bri_Giant_Ballista	3c_Bri_Giant_Ballista	Bri_Art_Crew	0.0750	1.0250	3c_Giant_Ballista
	3c_Bri_Large_Onager	3c_Bri_Large_Onager	Bri_Art_Crew	0.0750	1.0250	3c_Large_Onager
	3c_Bri_Onager	3c_Bri_Onager	Bri_Art_Crew	0.0750	1.0250	3c_Onager
	3c_Bri_Onager_Bastion	3c_Bri_Onager_Bastion	Bri_Art_Crew	0.0750	1.0250	3c_Onager
	3c_Bri_Scorpion	3c_Bri_Scorpion	Bri_Art_Crew	0.0750	1.0250	3c_Scorpion
