character	trait
729	r2_sp_trait_female_trader_1
730	r2_sp_trait_female_trader_1
731	r2_sp_trait_female_warrior_1
732	r2_sp_trait_female_warrior_1
733	r2_sp_trait_female_warrior_1
800	dk_highborn_1
800	r2_sp_trait_female_warrior_1
801	dk_highborn_1
801	r2_sp_trait_female_warrior_1
901	dk_highborn_1
902	dk_highborn_1
903	dk_highborn_1
904	dk_highborn_1
905	dk_highborn_1
906	dk_highborn_1
907	dk_highborn_1
908	dk_highborn_1
909	dk_highborn_1
910	dk_highborn_1
911	dk_highborn_1
912	dk_highborn_1
913	dk_highborn_1
914	dk_highborn_1
916	dk_highborn_1
917	dk_highborn_1
918	dk_highborn_1
919	dk_highborn_1
920	dk_highborn_1
921	dk_highborn_1
922	dk_highborn_1
923	dk_highborn_1
924	dk_highborn_1
925	dk_highborn_1
926	dk_highborn_1
