ancillary	effect	effect_scope	value
r2_sp_anc_all_govt_dealer_horse	rom_force_unit_mod_cavalry_morale	this_general_force	5.0000
r2_sp_anc_all_govt_goldsmith	rom_building_trade_tariffs_all	this_character_faction	5.0000
r2_sp_anc_all_govt_merchant_adventurer	rom_building_gdp_mod_trade_all	this_character_local_region_province	5.0000
r2_sp_anc_all_govt_money_treasurer	rom_building_trade_tariffs_all	this_character_faction	5.0000
r2_sp_anc_all_govt_trader_parthia	rom_building_gdp_mod_trade_all	this_character_local_region_province	5.0000
r2_sp_anc_all_govt_translator_polite	rom_building_trade_route_value_mod_global	this_character_faction	10.0000
r2_sp_anc_all_house_bard_gallic	rom_force_unit_mod_morale	this_general_force	2.0000
r2_sp_anc_all_house_healer_quack	rom_general_attribute_mod_authority	this_agent	1.0000
r2_sp_anc_all_house_honest_man	rom_general_attribute_mod_authority	this_agent	1.0000
r2_sp_anc_all_house_old_man_1	rom_character_province_public_order	this_character_local_province	2.0000
r2_sp_anc_all_house_old_man_1	rom_general_attribute_mod_authority	this_agent	1.0000
r2_sp_anc_all_house_old_man_2	rom_building_research_points	this_character_faction	5.0000
r2_sp_anc_all_house_old_man_2	rom_general_attribute_mod_authority	this_agent	1.0000
r2_sp_anc_all_house_tutor_latin	rom_character_gravitas_per_turn_mod	this_agent	-1.0000
r2_sp_anc_all_house_tutor_latin	rom_general_attribute_mod_authority	this_agent	1.0000
r2_sp_anc_all_house_tutor	rom_character_gravitas_per_turn_mod	this_agent	1.0000
r2_sp_anc_all_house_wise_man	rom_building_research_points	this_character_faction	5.0000
r2_sp_anc_all_husband_ambitious	rom_any_corruption_mod_global	this_character_faction	5.0000
r2_sp_anc_all_husband_ambitious	rom_character_gravitas_per_turn_mod	this_general	2.0000
r2_sp_anc_all_husband_arrogant	rom_character_gravitas_per_turn_mod	this_general	-1.0000
r2_sp_anc_all_husband_arrogant	rom_character_province_public_order	this_character_local_province	-2.0000
r2_sp_anc_all_husband_clever	rom_building_research_points	this_character_faction	5.0000
r2_sp_anc_all_husband_clever	rom_general_attribute_mod_authority	this_agent	2.0000
r2_sp_anc_all_husband_drunkard	rom_character_gravitas_per_turn_mod	this_general	-1.0000
r2_sp_anc_all_husband_drunkard	rom_character_province_public_order	this_character_local_province	2.0000
r2_sp_anc_all_husband_dynastic	rom_character_diplomatic_marriage_relations	this_agent	15.0000
r2_sp_anc_all_husband_faithful	rom_fertility_mod	this_agent	10.0000
r2_sp_anc_all_husband_faithful	rom_general_attribute_mod_zeal	this_agent	1.0000
r2_sp_anc_all_husband_gifted	rom_building_gdp_mod_culture_all	this_character_local_region_province	5.0000
r2_sp_anc_all_husband_gifted	rom_fertility_mod	this_agent	20.0000
r2_sp_anc_all_husband_gifted	rom_general_attribute_mod_zeal	this_agent	2.0000
r2_sp_anc_all_husband_miscreant	rom_character_gravitas_per_turn_mod	this_general	-1.0000
r2_sp_anc_all_husband_miscreant	rom_general_attribute_mod_authority	this_agent	-1.0000
r2_sp_anc_all_husband_poisoner	rom_character_province_public_order	this_character_local_province	-2.0000
r2_sp_anc_all_husband_poisoner	rom_general_attribute_mod_subterfuge	this_agent	2.0000
r2_sp_anc_all_husband_pol_ambitious	rom_any_corruption_mod_global	this_character_faction	5.0000
r2_sp_anc_all_husband_pol_ambitious	rom_character_gravitas_per_turn_mod	this_general	2.0000
r2_sp_anc_all_husband_pol_ambitious	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_husband_pol_arrogant	rom_character_gravitas_per_turn_mod	this_general	-1.0000
r2_sp_anc_all_husband_pol_arrogant	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_husband_pol_arrogant	rom_character_province_public_order	this_character_local_province	-2.0000
r2_sp_anc_all_husband_pol_clever	rom_building_research_points	this_character_faction	5.0000
r2_sp_anc_all_husband_pol_clever	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_husband_pol_clever	rom_general_attribute_mod_authority	this_agent	2.0000
r2_sp_anc_all_husband_pol_drunkard	rom_character_gravitas_per_turn_mod	this_general	-1.0000
r2_sp_anc_all_husband_pol_drunkard	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_husband_pol_drunkard	rom_character_province_public_order	this_character_local_province	2.0000
r2_sp_anc_all_husband_pol_faithful	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_husband_pol_faithful	rom_fertility_mod	this_agent	10.0000
r2_sp_anc_all_husband_pol_faithful	rom_general_attribute_mod_zeal	this_agent	1.0000
r2_sp_anc_all_husband_pol_gifted	rom_building_gdp_mod_culture_all	this_character_local_region_province	5.0000
r2_sp_anc_all_husband_pol_gifted	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_husband_pol_gifted	rom_fertility_mod	this_agent	20.0000
r2_sp_anc_all_husband_pol_gifted	rom_general_attribute_mod_zeal	this_agent	2.0000
r2_sp_anc_all_husband_pol_miscreant	rom_character_gravitas_per_turn_mod	this_general	-1.0000
r2_sp_anc_all_husband_pol_miscreant	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_husband_pol_miscreant	rom_general_attribute_mod_authority	this_agent	-1.0000
r2_sp_anc_all_husband_pol_poisoner	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_husband_pol_poisoner	rom_character_province_public_order	this_character_local_province	-2.0000
r2_sp_anc_all_husband_pol_poisoner	rom_general_attribute_mod_subterfuge	this_agent	2.0000
r2_sp_anc_all_husband_pol_prolific	rom_character_gravitas_per_turn_mod	this_general	1.0000
r2_sp_anc_all_husband_pol_prolific	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_husband_pol_prolific	rom_character_province_growth	this_character_local_province	2.0000
r2_sp_anc_all_husband_pol_prolific	rom_fertility_mod	this_agent	30.0000
r2_sp_anc_all_husband_pol_quiet	rom_agent_wound_recovery_time_mod	this_agent	-1.0000
r2_sp_anc_all_husband_pol_quiet	rom_character_gravitas_per_turn_mod	this_general	1.0000
r2_sp_anc_all_husband_pol_quiet	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_husband_pol_religious	rom_building_culture_conversion_to_state_culture	this_character_faction	4.0000
r2_sp_anc_all_husband_pol_religious	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_husband_pol_religious	rom_general_attribute_mod_authority	this_agent	1.0000
r2_sp_anc_all_husband_pol_rowdy	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_husband_pol_rowdy	rom_general_attribute_mod_authority	this_agent	-2.0000
r2_sp_anc_all_husband_pol_rowdy	rom_general_local_mod_repression	this_character_local_province	2.0000
r2_sp_anc_all_husband_prolific	rom_character_gravitas_per_turn_mod	this_general	1.0000
r2_sp_anc_all_husband_prolific	rom_character_province_growth	this_character_local_province	2.0000
r2_sp_anc_all_husband_prolific	rom_fertility_mod	this_agent	30.0000
r2_sp_anc_all_husband_quiet	rom_agent_wound_recovery_time_mod	this_agent	-1.0000
r2_sp_anc_all_husband_quiet	rom_character_gravitas_per_turn_mod	this_general	1.0000
r2_sp_anc_all_husband_religious	rom_building_culture_conversion_to_state_culture	this_character_faction	4.0000
r2_sp_anc_all_husband_religious	rom_general_attribute_mod_authority	this_agent	1.0000
r2_sp_anc_all_husband_rowdy	rom_general_attribute_mod_authority	this_agent	-2.0000
r2_sp_anc_all_husband_rowdy	rom_general_local_mod_repression	this_character_local_province	2.0000
r2_sp_anc_all_immortal_retiree	rom_general_attribute_mod_authority	this_general	1.0000
r2_sp_anc_all_item_armour_cuirass_moon	rom_tech_agent_champion_success_mod	this_agent	5.0000
r2_sp_anc_all_item_army_bow_parthian	rom_general_personal_mod_missile_damage	this_general_force	5.0000
r2_sp_anc_all_item_disguise_leper	rom_agent_action_success_chance_critical_mod	this_agent	10.0000
r2_sp_anc_all_item_disguise_vestal	rom_agent_action_success_chance_critical_mod	this_agent	10.0000
r2_sp_anc_all_item_falx	rom_tech_agent_champion_success_mod	this_agent	10.0000
r2_sp_anc_all_item_glasses	rom_building_research_points	this_character_faction	5.0000
r2_sp_anc_all_item_shield_practice	rom_tech_agent_champion_success_mod	this_agent	5.0000
r2_sp_anc_all_local_bandit	rom_general_attribute_mod_subterfuge	this_agent	1.0000
r2_sp_anc_all_magic_magician	rom_agent_field_line_of_sight_mod	this_agent	1.0000
r2_sp_anc_all_magic_magus_east	rom_agent_field_line_of_sight_mod	this_agent	1.0000
r2_sp_anc_all_magic_soothsayer_1	rom_force_unit_mod_morale	this_general_force	2.0000
r2_sp_anc_all_magic_soothsayer_2	rom_force_unit_mod_morale	this_general_force	2.0000
r2_sp_anc_all_magic_witch_1_medical	rom_agent_wound_recovery_time_mod	this_agent	-1.0000
r2_sp_anc_all_magic_witch_3_advisor	rom_agent_attribute_authority_mod	this_agent	1.0000
r2_sp_anc_all_magic_witch_4_celt	rom_agent_attribute_subterfuge_mod	this_agent	1.0000
r2_sp_anc_all_magic_witch_5_killer	rom_agent_attribute_subterfuge_mod	this_agent	1.0000
r2_sp_anc_all_magic_witch_6_fake	rom_agent_attribute_authority_mod	this_agent	-1.0000
r2_sp_anc_all_magic_witch_6_fake	rom_agent_attribute_subterfuge_mod	this_agent	1.0000
r2_sp_anc_all_master_baiter	rom_force_campaign_mod_ambush_attack_success_chance	this_general_force	10.0000
r2_sp_anc_all_medic_heal_all	rom_agent_wound_recovery_time_mod	this_agent	-1.0000
r2_sp_anc_all_medic_herbalist	rom_agent_wound_recovery_time_mod	this_agent	-1.0000
r2_sp_anc_all_mediocre_prophet	rom_character_province_public_order	this_character_local_province	1.0000
r2_sp_anc_all_misc_who	rom_building_research_points	this_character_faction	10.0000
r2_sp_anc_all_mistress_barbarian	rom_character_gravitas_per_turn_mod	this_general	1.0000
r2_sp_anc_all_mistress_barbarian	rom_fertility_mod	this_agent	5.0000
r2_sp_anc_all_mistress_berber	rom_character_gravitas_per_turn_mod	this_general	1.0000
r2_sp_anc_all_mistress_berber	rom_fertility_mod	this_agent	5.0000
r2_sp_anc_all_mistress_berber	rom_force_unit_mod_morale	this_general_force	2.0000
r2_sp_anc_all_mistress_civilized	rom_character_gravitas_per_turn_mod	this_general	1.0000
r2_sp_anc_all_mistress_civilized	rom_fertility_mod	this_agent	5.0000
r2_sp_anc_all_mistress_dancer	rom_agent_attribute_subterfuge_mod	this_agent	1.0000
r2_sp_anc_all_mistress_floozy	rom_fertility_mod	this_agent	5.0000
r2_sp_anc_all_mistress_floozy	rom_force_unit_mod_morale	this_general_force	2.0000
r2_sp_anc_all_mistress_skilled	rom_agent_attribute_subterfuge_mod	this_agent	2.0000
r2_sp_anc_all_mistress_tart	rom_agent_attribute_subterfuge_mod	this_agent	1.0000
r2_sp_anc_all_myrrh	rom_agent_wound_recovery_time_mod	this_agent	-1.0000
r2_sp_anc_all_navy_fisherman_wise	rom_general_attribute_mod_authority_naval	this_general_when_at_sea	1.0000
r2_sp_anc_all_navy_master_pilot_1	rom_general_attribute_mod_authority_naval	this_general_when_at_sea	2.0000
r2_sp_anc_all_navy_master_pilot	rom_general_attribute_mod_authority_naval	this_general_when_at_sea	2.0000
r2_sp_anc_all_navy_master_seaman	rom_general_attribute_mod_authority_naval	this_general_when_at_sea	1.0000
r2_sp_anc_all_navy_pirate_reformed	rom_general_attribute_mod_authority_naval	this_general_when_at_sea	2.0000
r2_sp_anc_all_navy_pirate	rom_general_attribute_mod_subterfuge_naval	this_general_when_at_sea	2.0000
r2_sp_anc_all_navy_shipwright	rom_province_initiative_festival_base_recruitment_cost_naval_mod	this_general_force	-5.0000
r2_sp_anc_all_obscure_priest	rom_building_cost_mod_buildings_religious	this_character_local_region_province	-10.0000
r2_sp_anc_all_oil_lamp	rom_agent_action_success_chance_critical_mod_enemy_hinder_character	this_agent	-5.0000
r2_sp_anc_all_one_armed_bowman	rom_force_unit_mod_bows_missile_rate	this_general_force	5.0000
r2_sp_anc_all_one_eyed_veteran	rom_force_unit_mod_missile_rate	this_general_force	5.0000
r2_sp_anc_all_pannonian_herder_dog	rom_agent_action_success_chance_critical_mod_enemy_hinder_character	this_agent	-5.0000
r2_sp_anc_all_pet_bear	rom_agent_defence_evade_enemies_mod	this_agent	5.0000
r2_sp_anc_all_pet_monkey_escape	rom_agent_defence_evade_enemies_mod	this_agent	5.0000
r2_sp_anc_all_pet_monkey_thief	rom_agent_attribute_subterfuge_mod	this_agent	1.0000
r2_sp_anc_all_pet_sheep	rom_force_unit_mod_morale	this_general_force	2.0000
r2_sp_anc_all_pet_snake	rom_agent_defence_wound_chance_mod	this_agent	5.0000
r2_sp_anc_all_portable_loom	rom_building_gdp_mod_industry_manufacturing	this_character_local_region_province	5.0000
r2_sp_anc_all_religion_cultist_secret	rom_agent_attribute_authority_mod	this_agent	1.0000
r2_sp_anc_all_religion_cultist_secret	rom_agent_attribute_zeal_mod	this_agent	1.0000
r2_sp_anc_all_religion_prophet_desert_1	rom_force_campaign_mod_line_of_sight	this_general	1.0000
r2_sp_anc_all_religion_prophet_desert_2	rom_agent_attribute_subterfuge_mod	this_agent	1.0000
r2_sp_anc_all_religion_prophet_desert_2	rom_force_campaign_mod_line_of_sight	this_general	1.0000
r2_sp_anc_all_religion_secret_dreadful	rom_agent_attribute_zeal_mod	this_agent	1.0000
r2_sp_anc_all_resourceful_beggar	rom_agent_attribute_subterfuge_mod	this_agent	1.0000
r2_sp_anc_all_slave_exotic	rom_general_attribute_mod_authority	this_agent	1.0000
r2_sp_anc_all_slave_girl_barbarian	rom_general_attribute_mod_authority	this_agent	1.0000
r2_sp_anc_all_spy_mentat_1	rom_agent_attribute_subterfuge_mod	this_agent	2.0000
r2_sp_anc_all_spy_mentat_1	rom_building_research_points	this_character_faction	5.0000
r2_sp_anc_all_spy_mentat_2	rom_agent_attribute_subterfuge_mod	this_agent	2.0000
r2_sp_anc_all_spy_mentat_2	rom_building_research_points	this_character_faction	5.0000
r2_sp_anc_all_spy_poisoner	rom_agent_attribute_subterfuge_mod	this_agent	1.0000
r2_sp_anc_all_thinker_barbarian	rom_building_research_points	this_character_faction	5.0000
r2_sp_anc_all_trade_expert	rom_tech_civil_economy_trade_mod	this_character_faction	10.0000
r2_sp_anc_all_traitor_barbarian_barb_iberian	rom_force_unit_mod_melee_attack_versus_barbarians	this_army	5.0000
r2_sp_anc_all_traitor_barbarian_celt	rom_force_unit_mod_melee_attack_versus_barbarians	this_general_force	5.0000
r2_sp_anc_all_traitor_barbarian_gaul	rom_force_unit_mod_melee_attack_versus_barbarians	this_general_force	5.0000
r2_sp_anc_all_traitor_barbarian_german	rom_force_unit_mod_melee_attack_versus_barbarians	this_general_force	5.0000
r2_sp_anc_all_traitor_briton	rom_force_unit_mod_chariot_missile_rate	this_general_force	5.0000
r2_sp_anc_all_traitor_briton	rom_force_unit_mod_melee_attack_versus_barbarians	this_general_force	5.0000
r2_sp_anc_all_traitor_eastern_generic	rom_force_unit_mod_melee_attack_versus_easterners	this_general_force	5.0000
r2_sp_anc_all_traitor_eastern_parthia	rom_force_unit_mod_bows_missile_rate	this_general_force	5.0000
r2_sp_anc_all_traitor_eastern_parthia	rom_force_unit_mod_melee_attack_versus_easterners	this_general_force	5.0000
r2_sp_anc_all_traitor_egypt	rom_force_unit_mod_melee_attack_versus_egyptians	this_general_force	5.0000
r2_sp_anc_all_traitor_greek_macedonia	rom_force_unit_mod_infantry_spears_melee_attack	this_general_force	5.0000
r2_sp_anc_all_traitor_greek_macedonia	rom_force_unit_mod_melee_attack_versus_hellenics	this_general_force	5.0000
r2_sp_anc_all_traitor_greek	rom_force_unit_mod_melee_attack_versus_hellenics	this_general_force	5.0000
r2_sp_anc_all_traitor_punic	rom_force_campaign_mod_recruitment_cost_mercenary	this_general	-5.0000
r2_sp_anc_all_traitor_punic	rom_force_unit_mod_melee_attack_versus_carthaginians	this_general_force	5.0000
r2_sp_anc_all_traitor_roman_equestrian	rom_force_unit_mod_cavalry_melee_attack	this_general_force	5.0000
r2_sp_anc_all_traitor_roman_exile	rom_agent_attribute_subterfuge_mod	this_agent	1.0000
r2_sp_anc_all_traitor_roman_patrician	rom_agent_attribute_authority_mod	this_agent	1.0000
r2_sp_anc_all_traitor_roman_plebian	rom_force_unit_mod_infantry_melee_attack	this_general_force	5.0000
r2_sp_anc_all_trinket_merchant	rom_building_gdp_mod_trade_all	this_character_local_region_province	5.0000
r2_sp_anc_all_wife_ambitious	rom_any_corruption_mod_global	this_character_faction	5.0000
r2_sp_anc_all_wife_ambitious	rom_character_gravitas_per_turn_mod	this_general	2.0000
r2_sp_anc_all_wife_arrogant	rom_character_gravitas_per_turn_mod	this_general	-1.0000
r2_sp_anc_all_wife_arrogant	rom_character_province_public_order	this_character_local_province	-2.0000
r2_sp_anc_all_wife_clever	rom_building_research_points	this_character_faction	5.0000
r2_sp_anc_all_wife_clever	rom_general_attribute_mod_authority	this_agent	2.0000
r2_sp_anc_all_wife_drunkard	rom_character_gravitas_per_turn_mod	this_general	-1.0000
r2_sp_anc_all_wife_drunkard	rom_character_province_public_order	this_character_local_province	2.0000
r2_sp_anc_all_wife_dynastic	rom_character_diplomatic_marriage_relations	this_agent	15.0000
r2_sp_anc_all_wife_faithful	rom_fertility_mod	this_agent	5.0000
r2_sp_anc_all_wife_faithful	rom_general_attribute_mod_zeal	this_agent	1.0000
r2_sp_anc_all_wife_fertile	rom_character_gravitas_per_turn_mod	this_general	1.0000
r2_sp_anc_all_wife_fertile	rom_character_province_growth	this_character_local_province	2.0000
r2_sp_anc_all_wife_fertile	rom_fertility_mod	this_agent	30.0000
r2_sp_anc_all_wife_great_beauty	rom_building_gdp_mod_culture_all	this_character_local_region_province	5.0000
r2_sp_anc_all_wife_great_beauty	rom_fertility_mod	this_agent	10.0000
r2_sp_anc_all_wife_great_beauty	rom_general_attribute_mod_zeal	this_agent	2.0000
r2_sp_anc_all_wife_harridan_nag	rom_character_gravitas_per_turn_mod	this_general	-1.0000
r2_sp_anc_all_wife_harridan_nag	rom_general_attribute_mod_authority	this_agent	-1.0000
r2_sp_anc_all_wife_poisoner	rom_character_province_public_order	this_character_local_province	-2.0000
r2_sp_anc_all_wife_poisoner	rom_general_attribute_mod_subterfuge	this_agent	2.0000
r2_sp_anc_all_wife_pol_ambitious	rom_any_corruption_mod_global	this_character_faction	5.0000
r2_sp_anc_all_wife_pol_ambitious	rom_character_gravitas_per_turn_mod	this_general	2.0000
r2_sp_anc_all_wife_pol_ambitious	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_wife_pol_arrogant	rom_character_gravitas_per_turn_mod	this_general	-1.0000
r2_sp_anc_all_wife_pol_arrogant	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_wife_pol_arrogant	rom_character_province_public_order	this_character_local_province	-2.0000
r2_sp_anc_all_wife_pol_clever	rom_building_research_points	this_character_faction	5.0000
r2_sp_anc_all_wife_pol_clever	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_wife_pol_clever	rom_general_attribute_mod_authority	this_agent	2.0000
r2_sp_anc_all_wife_pol_drunkard	rom_character_gravitas_per_turn_mod	this_general	-1.0000
r2_sp_anc_all_wife_pol_drunkard	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_wife_pol_drunkard	rom_character_province_public_order	this_character_local_province	2.0000
r2_sp_anc_all_wife_pol_faithful	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_wife_pol_faithful	rom_general_attribute_mod_zeal	this_agent	1.0000
r2_sp_anc_all_wife_pol_fertile	rom_character_gravitas_per_turn_mod	this_general	1.0000
r2_sp_anc_all_wife_pol_fertile	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_wife_pol_fertile	rom_character_province_growth	this_character_local_province	2.0000
r2_sp_anc_all_wife_pol_fertile	rom_fertility_mod	this_agent	30.0000
r2_sp_anc_all_wife_pol_great_beauty	rom_building_gdp_mod_culture_all	this_character_local_region_province	5.0000
r2_sp_anc_all_wife_pol_great_beauty	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_wife_pol_great_beauty	rom_fertility_mod	this_agent	10.0000
r2_sp_anc_all_wife_pol_great_beauty	rom_general_attribute_mod_zeal	this_agent	2.0000
r2_sp_anc_all_wife_pol_harridan_nag	rom_character_gravitas_per_turn_mod	this_general	-1.0000
r2_sp_anc_all_wife_pol_harridan_nag	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_wife_pol_harridan_nag	rom_general_attribute_mod_authority	this_agent	-1.0000
r2_sp_anc_all_wife_pol_poisoner	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_wife_pol_poisoner	rom_character_province_public_order	this_character_local_province	-2.0000
r2_sp_anc_all_wife_pol_poisoner	rom_general_attribute_mod_subterfuge	this_agent	2.0000
r2_sp_anc_all_wife_pol_quiet	rom_agent_wound_recovery_time_mod	this_agent	-1.0000
r2_sp_anc_all_wife_pol_quiet	rom_character_gravitas_per_turn_mod	this_general	1.0000
r2_sp_anc_all_wife_pol_quiet	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_wife_pol_religious	rom_building_culture_conversion_to_state_culture	this_character_faction	4.0000
r2_sp_anc_all_wife_pol_religious	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_wife_pol_religious	rom_general_attribute_mod_authority	this_agent	1.0000
r2_sp_anc_all_wife_pol_shrew	rom_character_political_marriage_loyalty	this_agent	3.0000
r2_sp_anc_all_wife_pol_shrew	rom_general_attribute_mod_authority	this_agent	-2.0000
r2_sp_anc_all_wife_pol_shrew	rom_general_local_mod_repression	this_character_local_province	2.0000
r2_sp_anc_all_wife_quiet	rom_agent_wound_recovery_time_mod	this_agent	-1.0000
