key	index	subculture	category	screen_name	screen_adjective	name_group	skin	ui_skin	is_rebel	mp_available	mp_available_naval	icon_path_units	flags_path	republican_flag_path	same_gov_type_revolution_flag_path	primary_colour_r	primary_colour_g	primary_colour_b	alt_primary_colour_r	alt_primary_colour_g	alt_primary_colour_b	secondary_colour_r	secondary_colour_g	secondary_colour_b	alt_secondary_colour_r	alt_secondary_colour_g	alt_secondary_colour_b	uniform_colour_r	uniform_colour_g	uniform_colour_b	alt_uniform_colour_r	alt_uniform_colour_g	alt_uniform_colour_b	military_group	settler_rebellion_faction	rebel_colour_r	rebel_colour_g	rebel_colour_b	movie_death_event	mp_use_republic_early	mp_use_republic_late	unit_regiment_name_group	ship_name_group	attack_desc	defend_desc	mp_stats_name	pre_battle_speech_parameter	can_be_regionless	card_colour_r	card_colour_g	card_colour_b	diplomacy_culture	senator_total	use_legion_names
3c_caledoni_secession	2041771055	sc_rom_british	playable	Caledonii Secessionists	Caledonii Secessionists	55	barbarian		false	false	false	data\ui\units\icons\france	data\ui\flags\3c_caledoni_secession		data\ui\flags\Rome	43.0000	78.0000	132.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	173.0000	255.0000	255.0000	240.0000	255.0000	255.0000	3c_caledones		240.0000	173.0000	173.0000	0	false	false	55	55	You are attacking Caledonii Secessionists!	You are defending against Caledonii Secessionists!		FACTION_CHOSOKABE	true	43.0000	78.0000	132.0000	rom_Barbarian	0	false
3c_colchis	2041770509	sc_rom_eastern	playable	Colchis	Colchis	64	eastern	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\Colchis		data\ui\flags\Carthage	80.0000	55.0000	35.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_easter		0.0000	0.0000	0.0000	0	false	false	64	64	You are attacking Colchis!	You are defending against Colchis!		FACTION_CHOSOKABE	false	80.0000	55.0000	35.0000	rom_Eastern	0	false
3c_dahae	2041770618	sc_rom_barb_east	playable	Dahae	Dahae	73	barbarian	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\Dahae		data\ui\flags\Carthage	100.0000	150.0000	79.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_steppe		0.0000	0.0000	0.0000	0	false	false	63	63	You are attacking the Dahae!	You are defending against the Dahae!		FACTION_CHOSOKABE	true	100.0000	150.0000	79.0000	rom_Barbarian	0	false
3c_ebdani	2041770440	sc_rom_british	playable	Ebdani	Ebdani	55	barbarian	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\3c_ebdani		data\ui\flags\Rome	84.0000	148.0000	189.0000	6.0000	99.0000	159.0000	255.0000	234.0000	162.0000	248.0000	191.0000	0.0000	84.0000	148.0000	189.0000	6.0000	99.0000	159.0000	3c_celtic		248.0000	39.0000	0.0000	0	false	false	63	63	You are attacking the Ebdani!	You are defending against the Ebdani!		FACTION_CHOSOKABE	false	117.0000	154.0000	178.0000	rom_Barbarian	0	false
3c_egypt	2041770482	sc_rom_roman	playable	Egypt	Egypt	46	default	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\3c_egypt		data\ui\flags\Rome	242.0000	235.0000	155.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_roman		0.0000	0.0000	0.0000	0	false	false	63	63	You are attacking Egypt!	You are defending against Egypt!		FACTION_CHOSOKABE	false	242.0000	235.0000	155.0000	rom_Roman	0	true
3c_franci	2041770682	sc_rom_germanic	playable	Franci	Franci	87	barbarian	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\3c_franci		data\ui\flags\Carthage	77.0000	80.0000	151.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_germanic		0.0000	0.0000	0.0000	0	false	false	87	87	You are attacking the Franci!	You are defending against the Franci!		FACTION_CHOSOKABE	false	77.0000	80.0000	151.0000	rom_Barbarian	0	false
3c_galatia	2041770507	sc_rom_roman	playable	Galatia	Galatia	46	default	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\3c_galatia		data\ui\flags\Rome	61.0000	74.0000	46.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_roman		0.0000	0.0000	0.0000	0	false	false	46	46	You are attacking Galatia!	You are defending against Galatia!		FACTION_CHOSOKABE	false	61.0000	74.0000	46.0000	rom_Roman	0	true
3c_gallicemp	2041770424	sc_rom_roman	playable	Gallic Rome	Gallic Rome	46	default	3c	false	true	true	data\ui\units\icons\france	data\ui\flags\3c_gallic_empire		data\ui\flags\Rome	36.0000	65.0000	45.0000	9.0000	79.0000	150.0000	228.0000	180.0000	9.0000	228.0000	180.0000	9.0000	255.0000	255.0000	240.0000	255.0000	255.0000	240.0000	3c_gallic_empire	date_rebels	173.0000	173.0000	173.0000	0	false	false	46	46	You are attacking Gallic Rome!	You are defending against Gallic Rome!		FACTION_CHOSOKABE	true	36.0000	65.0000	45.0000	rom_Roman	500	true
3c_gallicemp_civil_war	2041770980	sc_rom_roman	playable	Gallic Roman Pretenders	Gallic Roman Pretenders	46	default		false	false	false	data\ui\units\icons\france	data\ui\flags\3c_gallicemp_civil_war		data\ui\flags\Rome	43.0000	78.0000	132.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	173.0000	255.0000	255.0000	240.0000	255.0000	255.0000	3c_gallic_empire		240.0000	173.0000	173.0000	0	false	false	46	46	You are attacking Gallic Roman Pretenders!	You are defending against Gallic Roman Pretenders!		FACTION_CHOSOKABE	true	43.0000	78.0000	132.0000	rom_Roman	0	true
3c_gallicemp_secession	2041771057	sc_rom_roman	playable	Gallic Roman Secessionists	Gallic Roman Secessionists	46	default		false	false	false	data\ui\units\icons\france	data\ui\flags\3c_gallicemp_secession		data\ui\flags\Rome	43.0000	78.0000	132.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	173.0000	255.0000	255.0000	240.0000	255.0000	255.0000	3c_gallic_empire		240.0000	173.0000	173.0000	0	false	false	46	46	You are attacking Gallic Roman Secessionists!	You are defending against Gallic Roman Secessionists!		FACTION_CHOSOKABE	true	43.0000	78.0000	132.0000	rom_Roman	0	true
3c_garamantia	2041770477	sc_rom_african_arabian	playable	Garamantia	Garamantia	63	eastern	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\Garamantia		data\ui\flags\Carthage	166.0000	122.0000	87.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_numidian		0.0000	0.0000	0.0000	0	false	false	63	63	You are attacking Garamantia!	You are defending against Garamantia!		FACTION_CHOSOKABE	false	166.0000	122.0000	87.0000	rom_Eastern	0	false
3c_gerrhea	2041770569	sc_rom_african_arabian	playable	Gerrhea	Gerrhea	170	eastern	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\Gerrhaea		data\ui\flags\Carthage	171.0000	132.0000	75.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_arabian		0.0000	0.0000	0.0000	0	false	false	63	63	You are attacking Gerrhea!	You are defending against Gerrhea!		FACTION_CHOSOKABE	false	171.0000	132.0000	75.0000	rom_Eastern	0	false
3c_gothi	2041770399	sc_rom_germanic	playable	Gothi	Gothi	87	barbarian	3c	false	true	true	data\ui\units\icons\france	data\ui\flags\3c_gothic		data\ui\flags\Carthage	50.0000	53.0000	71.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_gothi	date_rebels	0.0000	0.0000	0.0000	0	false	false	63	63	You are attacking the Gothi!	You are defending against the Gothi!		FACTION_CHOSOKABE	true	50.0000	53.0000	71.0000	rom_Barbarian	500	false
3c_gothi_civil_war	2041771006	sc_rom_germanic	playable	Gothi Pretenders	Gothi Pretenders	87	barbarian		false	false	false	data\ui\units\icons\france	data\ui\flags\3c_gothi_civil_war		data\ui\flags\Rome	43.0000	78.0000	132.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	173.0000	255.0000	255.0000	240.0000	255.0000	255.0000	3c_gothi		240.0000	173.0000	173.0000	0	false	false	87	87	You are attacking Gothi Pretenders!	You are defending against Gothi Pretenders!		FACTION_CHOSOKABE	true	43.0000	78.0000	132.0000	rom_Barbarian	0	false
3c_gothi_secession	2041771060	sc_rom_germanic	playable	Gothi Secessionists	Gothi Secessionists	87	barbarian		false	false	false	data\ui\units\icons\france	data\ui\flags\3c_gothi_secession		data\ui\flags\Rome	43.0000	78.0000	132.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	173.0000	255.0000	255.0000	240.0000	255.0000	255.0000	3c_gothi		240.0000	173.0000	173.0000	0	false	false	87	87	You are attacking Gothi Secessionists!	You are defending against Gothi Secessionists!		FACTION_CHOSOKABE	true	43.0000	78.0000	132.0000	rom_Barbarian	0	false
3c_heruli	2041770609	sc_rom_germanic	playable	Heruli	Heruli	73	barbarian	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\3c_heruli		data\ui\flags\Carthage	221.0000	169.0000	96.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_germanic		0.0000	0.0000	0.0000	0	false	false	63	63	You are attacking the Heruli!	You are defending against the Heruli!		FACTION_CHOSOKABE	true	221.0000	169.0000	96.0000	rom_Barbarian	0	false
3c_himyar	2041770577	sc_rom_african_arabian	playable	Himyar	Himyar	170	eastern	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\Himyar		data\ui\flags\Carthage	133.0000	116.0000	86.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_sabaean		0.0000	0.0000	0.0000	0	false	false	63	63	You are attacking Himyar!	You are defending against Himyar!		FACTION_CHOSOKABE	false	133.0000	116.0000	86.0000	rom_Eastern	0	false
3c_hispania	2041770452	sc_rom_roman	playable	Hispania Citerior	Hispania	46	default	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\3c_hispania		data\ui\flags\Rome	160.0000	180.0000	80.0000	144.0000	161.0000	0.0000	168.0000	75.0000	103.0000	147.0000	0.0000	44.0000	160.0000	180.0000	80.0000	168.0000	75.0000	103.0000	3c_gallicclient		37.0000	6.0000	113.0000	0	false	false	46	46	You are attacking Hispania!	You are defending against Hispania!		FACTION_CHOSOKABE	false	160.0000	180.0000	80.0000	rom_Roman	0	true
3c_iastae	2041770611	sc_rom_barb_east	playable	Iastae	Iastae	73	barbarian	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\Thyssagetae		data\ui\flags\Carthage	184.0000	104.0000	73.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_steppe		0.0000	0.0000	0.0000	0	false	false	63	63	You are attacking the Iastae!	You are defending against the Iastae!		FACTION_CHOSOKABE	true	184.0000	104.0000	73.0000	rom_Barbarian	0	false
3c_kartli	2041770510	sc_rom_eastern	playable	Kartli	Kartli	64	eastern	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\Kartli		data\ui\flags\Carthage	153.0000	106.0000	88.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_easter		0.0000	0.0000	0.0000	0	false	false	64	64	You are attacking Kartli!	You are defending against Kartli!		FACTION_CHOSOKABE	false	153.0000	106.0000	88.0000	rom_Eastern	0	false
3c_kwarezm	2041770620	sc_rom_barb_east	playable	Kwarezm	Kwarezm	73	barbarian	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\3c_kwarezm		data\ui\flags\Carthage	246.0000	210.0000	124.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_steppe		0.0000	0.0000	0.0000	0	false	false	63	63	You are attacking Kwarezm!	You are defending against Kwarezm!		FACTION_CHOSOKABE	true	246.0000	210.0000	124.0000	rom_Barbarian	0	false
3c_lakhmids	2041770542	sc_rom_african_arabian	playable	Lakhmids	Lakhmids	63	eastern	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\3c_lakhmids		data\ui\flags\Carthage	188.0000	192.0000	175.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_arabian		0.0000	0.0000	0.0000	0	false	false	63	63	You are attacking the Lakhmids!	You are defending against the lakhmids!		FACTION_CHOSOKABE	false	188.0000	192.0000	175.0000	rom_Eastern	0	false
3c_langobardi	2041770678	sc_rom_germanic	playable	Langobardi	Langobardi	87	barbarian	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\3c_langobardi		data\ui\flags\Carthage	70.0000	80.0000	120.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_germanic		0.0000	0.0000	0.0000	0	false	false	87	87	You are attacking the Langobardi!	You are defending against the Langobardi!		FACTION_CHOSOKABE	false	70.0000	80.0000	120.0000	rom_Barbarian	0	false
3c_lusitania	2041770446	sc_rom_roman	playable	Lusitania	Lusitania	46	default	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\3c_lusitania		data\ui\flags\Rome	180.0000	190.0000	120.0000	157.0000	182.0000	0.0000	104.0000	80.0000	160.0000	48.0000	11.0000	128.0000	180.0000	190.0000	120.0000	104.0000	80.0000	160.0000	3c_gallicclient		170.0000	0.0000	42.0000	0	false	false	46	46	You are attacking Lusitania!	You are defending against Lusitania!		FACTION_CHOSOKABE	false	180.0000	190.0000	120.0000	rom_Roman	0	true
3c_lydia	2041770504	sc_rom_roman	playable	Lydia	Lydia	46	default	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\3c_lydia		data\ui\flags\Rome	59.0000	118.0000	116.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_roman		0.0000	0.0000	0.0000	0	false	false	46	46	You are attacking Lydia!	You are defending against Lydia!		FACTION_CHOSOKABE	false	38.0000	76.0000	97.0000	rom_Roman	0	true
3c_ma_in	2041770560	sc_rom_african_arabian	playable	Ma'In	Ma'In	170	eastern	3c	false	false	false	data\ui\units\icons\france	data\ui\flags\Ma'in		data\ui\flags\Carthage	130.0000	171.0000	163.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_arabian		0.0000	0.0000	0.0000	0	false	false	63	63	You are attacking Ma'in!	You are defending against Ma'in!		FACTION_CHOSOKABE	false	130.0000	171.0000	163.0000	rom_Eastern	0	false
3c_marcomanni	2041770393	sc_rom_germanic	playable	Marcomanni	Marcomanni	87	barbarian	3c	false	true	true	data\ui\units\icons\france	data\ui\flags\Marcomanni		data\ui\flags\Carthage	77.0000	40.0000	25.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3c_marcomanni	date_rebels	0.0000	0.0000	0.0000	0	false	false	63	63	You are attacking the Marcomanni!	You are defending against the Marcomanni!		FACTION_CHOSOKABE	true	77.0000	40.0000	25.0000	rom_Barbarian	500	false
3c_marcomanni_civil_war	2041771014	sc_rom_germanic	playable	Marcomanni Pretenders	Marcomanni Pretenders	87	barbarian		false	false	false	data\ui\units\icons\france	data\ui\flags\3c_marcomanni_civil_war		data\ui\flags\Rome	43.0000	78.0000	132.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	173.0000	255.0000	255.0000	240.0000	255.0000	255.0000	3c_marcomanni		240.0000	173.0000	173.0000	0	false	false	87	87	You are attacking Marcomanni Pretenders!	You are defending against Marcomanni Pretenders!		FACTION_CHOSOKABE	true	43.0000	78.0000	132.0000	rom_Barbarian	0	false
