uniform_name	filename	battle_filename	campaign_porthole_filename	audio_armour_type	audio_weapon_type	audio_shield_type	campaign_politician_filename
3c_Ala_General_09	3c_Ala_General_9_Campaign	3c_Ala_General_9_Battle	3c_Ala_General_9_Campaign	chainmail	sword	wood	3c_Ala_General_9_Politician
3c_Ala_General_10	3c_Ala_General_10_Campaign	3c_Ala_General_10_Battle	3c_Ala_General_10_Campaign	chainmail	sword	wood	3c_Ala_General_10_Politician
3c_Ala_General_11	3c_Ala_General_11_Campaign	3c_Ala_General_11_Battle	3c_Ala_General_11_Campaign	chainmail	sword	wood	3c_Ala_General_11_Politician
3c_Ala_General_12	3c_Ala_General_12_Campaign	3c_Ala_General_12_Battle	3c_Ala_General_12_Campaign	chainmail	sword	wood	3c_Ala_General_12_Politician
3c_Ala_General_13	3c_Ala_General_13_Campaign	3c_Ala_General_13_Battle	3c_Ala_General_13_Campaign	chainmail	sword	wood	3c_Ala_General_13_Politician
3c_Ala_General_14	3c_Ala_General_14_Campaign	3c_Ala_General_14_Battle	3c_Ala_General_14_Campaign	chainmail	sword	wood	3c_Ala_General_14_Politician
3c_Ala_General_15	3c_Ala_General_15_Campaign	3c_Ala_General_15_Battle	3c_Ala_General_15_Campaign	chainmail	sword	wood	3c_Ala_General_15_Politician
3c_Ala_General_16	3c_Ala_General_16_Campaign	3c_Ala_General_16_Battle	3c_Ala_General_16_Campaign	chainmail	sword	wood	3c_Ala_General_16_Politician
3c_Ala_General_17	3c_Ala_General_17_Campaign	3c_Ala_General_17_Battle	3c_Ala_General_17_Campaign	chainmail	sword	wood	3c_Ala_General_17_Politician
3c_Ala_General_18	3c_Ala_General_18_Campaign	3c_Ala_General_18_Battle	3c_Ala_General_18_Campaign	chainmail	sword	wood	3c_Ala_General_18_Politician
3c_Ala_General_19	3c_Ala_General_19_Campaign	3c_Ala_General_19_Battle	3c_Ala_General_19_Campaign	chainmail	sword	wood	3c_Ala_General_19_Politician
3c_Ala_General_20	3c_Ala_General_20_Campaign	3c_Ala_General_20_Battle	3c_Ala_General_20_Campaign	chainmail	sword	wood	3c_Ala_General_20_Politician
3c_Arm_General_01	3c_Arm_General_1_Campaign	3c_Arm_General_1_Battle	3c_Arm_General_1_Campaign	chainmail	sword	wood	3c_Arm_General_1_Politician
3c_Arm_General_02	3c_Arm_General_2_Campaign	3c_Arm_General_2_Battle	3c_Arm_General_2_Campaign	chainmail	sword	wood	3c_Arm_General_2_Politician
3c_Arm_General_03	3c_Arm_General_3_Campaign	3c_Arm_General_3_Battle	3c_Arm_General_3_Campaign	chainmail	sword	wood	3c_Arm_General_3_Politician
3c_Arm_General_04	3c_Arm_General_4_Campaign	3c_Arm_General_4_Battle	3c_Arm_General_4_Campaign	chainmail	sword	wood	3c_Arm_General_4_Politician
3c_Arm_General_05	3c_Arm_General_5_Campaign	3c_Arm_General_5_Battle	3c_Arm_General_5_Campaign	chainmail	sword	wood	3c_Arm_General_5_Politician
3c_Arm_General_06	3c_Arm_General_6_Campaign	3c_Arm_General_6_Battle	3c_Arm_General_6_Campaign	chainmail	sword	wood	3c_Arm_General_6_Politician
3c_Arm_General_07	3c_Arm_General_7_Campaign	3c_Arm_General_7_Battle	3c_Arm_General_7_Campaign	chainmail	sword	wood	3c_Arm_General_7_Politician
3c_Arm_General_08	3c_Arm_General_8_Campaign	3c_Arm_General_8_Battle	3c_Arm_General_8_Campaign	chainmail	sword	wood	3c_Arm_General_8_Politician
3c_Arm_General_09	3c_Arm_General_9_Campaign	3c_Arm_General_9_Battle	3c_Arm_General_9_Campaign	chainmail	sword	wood	3c_Arm_General_9_Politician
3c_Arm_General_10	3c_Arm_General_10_Campaign	3c_Arm_General_10_Battle	3c_Arm_General_10_Campaign	chainmail	sword	wood	3c_Arm_General_10_Politician
3c_Arm_General_11	3c_Arm_General_11_Campaign	3c_Arm_General_11_Battle	3c_Arm_General_11_Campaign	chainmail	sword	wood	3c_Arm_General_11_Politician
3c_Arm_General_12	3c_Arm_General_12_Campaign	3c_Arm_General_12_Battle	3c_Arm_General_12_Campaign	chainmail	sword	wood	3c_Arm_General_12_Politician
3c_Arm_General_13	3c_Arm_General_13_Campaign	3c_Arm_General_13_Battle	3c_Arm_General_13_Campaign	chainmail	sword	wood	3c_Arm_General_13_Politician
3c_Arm_General_14	3c_Arm_General_14_Campaign	3c_Arm_General_14_Battle	3c_Arm_General_14_Campaign	chainmail	sword	wood	3c_Arm_General_14_Politician
3c_Arm_General_15	3c_Arm_General_15_Campaign	3c_Arm_General_15_Battle	3c_Arm_General_15_Campaign	chainmail	sword	wood	3c_Arm_General_15_Politician
3c_Arm_General_16	3c_Arm_General_16_Campaign	3c_Arm_General_16_Battle	3c_Arm_General_16_Campaign	chainmail	sword	wood	3c_Arm_General_16_Politician
3c_Arm_General_17	3c_Arm_General_17_Campaign	3c_Arm_General_17_Battle	3c_Arm_General_17_Campaign	chainmail	sword	wood	3c_Arm_General_17_Politician
3c_Arm_General_18	3c_Arm_General_18_Campaign	3c_Arm_General_18_Battle	3c_Arm_General_18_Campaign	chainmail	sword	wood	3c_Arm_General_18_Politician
3c_Arm_General_19	3c_Arm_General_19_Campaign	3c_Arm_General_19_Battle	3c_Arm_General_19_Campaign	chainmail	sword	wood	3c_Arm_General_19_Politician
3c_Arm_General_20	3c_Arm_General_20_Campaign	3c_Arm_General_20_Battle	3c_Arm_General_20_Campaign	chainmail	sword	wood	3c_Arm_General_20_Politician
3c_Cal_General_01	3c_Cal_General_1_Campaign	3c_Cal_General_1_Battle	3c_Cal_General_1_Campaign	chainmail	sword	wood	3c_Cal_General_1_Politician
3c_Cal_General_02	3c_Cal_General_2_Campaign	3c_Cal_General_2_Battle	3c_Cal_General_2_Campaign	chainmail	sword	wood	3c_Cal_General_2_Politician
3c_Cal_General_03	3c_Cal_General_3_Campaign	3c_Cal_General_3_Battle	3c_Cal_General_3_Campaign	chainmail	sword	wood	3c_Cal_General_3_Politician
3c_Cal_General_04	3c_Cal_General_4_Campaign	3c_Cal_General_4_Battle	3c_Cal_General_4_Campaign	chainmail	sword	wood	3c_Cal_General_4_Politician
3c_Cal_General_05	3c_Cal_General_5_Campaign	3c_Cal_General_5_Battle	3c_Cal_General_5_Campaign	chainmail	sword	wood	3c_Cal_General_5_Politician
3c_Cal_General_06	3c_Cal_General_6_Campaign	3c_Cal_General_6_Battle	3c_Cal_General_6_Campaign	chainmail	sword	wood	3c_Cal_General_6_Politician
3c_Cal_General_07	3c_Cal_General_7_Campaign	3c_Cal_General_7_Battle	3c_Cal_General_7_Campaign	chainmail	sword	wood	3c_Cal_General_7_Politician
3c_Cal_General_08	3c_Cal_General_8_Campaign	3c_Cal_General_8_Battle	3c_Cal_General_8_Campaign	chainmail	sword	wood	3c_Cal_General_8_Politician
3c_Cal_General_09	3c_Cal_General_9_Campaign	3c_Cal_General_9_Battle	3c_Cal_General_9_Campaign	chainmail	sword	wood	3c_Cal_General_9_Politician
3c_Cal_General_10	3c_Cal_General_10_Campaign	3c_Cal_General_10_Battle	3c_Cal_General_10_Campaign	chainmail	sword	wood	3c_Cal_General_10_Politician
3c_Cal_General_11	3c_Cal_General_11_Campaign	3c_Cal_General_11_Battle	3c_Cal_General_11_Campaign	chainmail	sword	wood	3c_Cal_General_11_Politician
3c_Cal_General_12	3c_Cal_General_12_Campaign	3c_Cal_General_12_Battle	3c_Cal_General_12_Campaign	chainmail	sword	wood	3c_Cal_General_12_Politician
3c_Cal_General_13	3c_Cal_General_13_Campaign	3c_Cal_General_13_Battle	3c_Cal_General_13_Campaign	chainmail	sword	wood	3c_Cal_General_13_Politician
3c_Cal_General_14	3c_Cal_General_14_Campaign	3c_Cal_General_14_Battle	3c_Cal_General_14_Campaign	chainmail	sword	wood	3c_Cal_General_14_Politician
3c_Cal_General_15	3c_Cal_General_15_Campaign	3c_Cal_General_15_Battle	3c_Cal_General_15_Campaign	chainmail	sword	wood	3c_Cal_General_15_Politician
3c_Cal_General_16	3c_Cal_General_16_Campaign	3c_Cal_General_16_Battle	3c_Cal_General_16_Campaign	chainmail	sword	wood	3c_Cal_General_16_Politician
3c_Cal_General_17	3c_Cal_General_17_Campaign	3c_Cal_General_17_Battle	3c_Cal_General_17_Campaign	chainmail	sword	wood	3c_Cal_General_17_Politician
3c_Cal_General_18	3c_Cal_General_18_Campaign	3c_Cal_General_18_Battle	3c_Cal_General_18_Campaign	chainmail	sword	wood	3c_Cal_General_18_Politician
3c_Cal_General_19	3c_Cal_General_19_Campaign	3c_Cal_General_19_Battle	3c_Cal_General_19_Campaign	chainmail	sword	wood	3c_Cal_General_19_Politician
3c_Cal_General_20	3c_Cal_General_20_Campaign	3c_Cal_General_20_Battle	3c_Cal_General_20_Campaign	chainmail	sword	wood	3c_Cal_General_20_Politician
3c_Flavius	advisor_3c_Flavius	advisor_3c_Flavius	advisor_3c_Flavius	bronze	sword	wood	advisor_3c_Flavius
3c_Gal_General_01	3c_Gal_General_1_Campaign	3c_Gal_General_1_Battle	3c_Gal_General_1_Campaign	chainmail	sword	wood	3c_Gal_General_1_Politician
3c_Gal_General_02	3c_Gal_General_2_Campaign	3c_Gal_General_2_Battle	3c_Gal_General_2_Campaign	chainmail	sword	wood	3c_Gal_General_2_Politician
3c_Gal_General_03	3c_Gal_General_3_Campaign	3c_Gal_General_3_Battle	3c_Gal_General_3_Campaign	chainmail	sword	wood	3c_Gal_General_3_Politician
3c_Gal_General_04	3c_Gal_General_4_Campaign	3c_Gal_General_4_Battle	3c_Gal_General_4_Campaign	chainmail	sword	wood	3c_Gal_General_4_Politician
3c_Gal_General_05	3c_Gal_General_5_Campaign	3c_Gal_General_5_Battle	3c_Gal_General_5_Campaign	chainmail	sword	wood	3c_Gal_General_5_Politician
3c_Gal_General_06	3c_Gal_General_6_Campaign	3c_Gal_General_6_Battle	3c_Gal_General_6_Campaign	chainmail	sword	wood	3c_Gal_General_6_Politician
3c_Gal_General_07	3c_Gal_General_7_Campaign	3c_Gal_General_7_Battle	3c_Gal_General_7_Campaign	chainmail	sword	wood	3c_Gal_General_7_Politician
3c_Gal_General_08	3c_Gal_General_8_Campaign	3c_Gal_General_8_Battle	3c_Gal_General_8_Campaign	chainmail	sword	wood	3c_Gal_General_8_Politician
3c_Gal_General_09	3c_Gal_General_9_Campaign	3c_Gal_General_9_Battle	3c_Gal_General_9_Campaign	chainmail	sword	wood	3c_Gal_General_9_Politician
3c_Gal_General_10	3c_Gal_General_10_Campaign	3c_Gal_General_10_Battle	3c_Gal_General_10_Campaign	chainmail	sword	wood	3c_Gal_General_10_Politician
3c_Gal_General_11	3c_Gal_General_11_Campaign	3c_Gal_General_11_Battle	3c_Gal_General_11_Campaign	chainmail	sword	wood	3c_Gal_General_11_Politician
3c_Gal_General_12	3c_Gal_General_12_Campaign	3c_Gal_General_12_Battle	3c_Gal_General_12_Campaign	chainmail	sword	wood	3c_Gal_General_12_Politician
3c_Gal_General_13	3c_Gal_General_13_Campaign	3c_Gal_General_13_Battle	3c_Gal_General_13_Campaign	chainmail	sword	wood	3c_Gal_General_13_Politician
3c_Gal_General_14	3c_Gal_General_14_Campaign	3c_Gal_General_14_Battle	3c_Gal_General_14_Campaign	chainmail	sword	wood	3c_Gal_General_14_Politician
3c_Gal_General_15	3c_Gal_General_15_Campaign	3c_Gal_General_15_Battle	3c_Gal_General_15_Campaign	chainmail	sword	wood	3c_Gal_General_15_Politician
3c_Gal_General_16	3c_Gal_General_16_Campaign	3c_Gal_General_16_Battle	3c_Gal_General_16_Campaign	chainmail	sword	wood	3c_Gal_General_16_Politician
3c_Gal_General_17	3c_Gal_General_17_Campaign	3c_Gal_General_17_Battle	3c_Gal_General_17_Campaign	chainmail	sword	wood	3c_Gal_General_17_Politician
3c_Gal_General_18	3c_Gal_General_18_Campaign	3c_Gal_General_18_Battle	3c_Gal_General_18_Campaign	chainmail	sword	wood	3c_Gal_General_18_Politician
3c_Gal_General_19	3c_Gal_General_19_Campaign	3c_Gal_General_19_Battle	3c_Gal_General_19_Campaign	chainmail	sword	wood	3c_Gal_General_19_Politician
3c_Gal_General_20	3c_Gal_General_20_Campaign	3c_Gal_General_20_Battle	3c_Gal_General_20_Campaign	chainmail	sword	wood	3c_Gal_General_20_Politician
3c_Gal_Tetricus	3c_Gal_Tetricus_Campaign	3c_Gal_Tetricus_Battle	3c_Gal_Tetricus_Campaign	chainmail	sword	wood	3c_Gal_Tetricus_Campaign
3c_Got_Cannabaudes	3c_Got_Cannabaudes_Campaign	3c_Got_Cannabaudes_Battle	3c_Got_Cannabaudes_Campaign	chainmail	sword	wood	3c_Got_Cannabaudes_Campaign
3c_Got_General_01	3c_Got_General_1_Campaign	3c_Got_General_1_Battle	3c_Got_General_1_Campaign	chainmail	sword	wood	3c_Got_General_1_Politician
3c_Got_General_02	3c_Got_General_2_Campaign	3c_Got_General_2_Battle	3c_Got_General_2_Campaign	chainmail	sword	wood	3c_Got_General_2_Politician
3c_Got_General_03	3c_Got_General_3_Campaign	3c_Got_General_3_Battle	3c_Got_General_3_Campaign	chainmail	sword	wood	3c_Got_General_3_Politician
3c_Got_General_04	3c_Got_General_4_Campaign	3c_Got_General_4_Battle	3c_Got_General_4_Campaign	chainmail	sword	wood	3c_Got_General_4_Politician
3c_Got_General_05	3c_Got_General_5_Campaign	3c_Got_General_5_Battle	3c_Got_General_5_Campaign	chainmail	sword	wood	3c_Got_General_5_Politician
3c_Got_General_06	3c_Got_General_6_Campaign	3c_Got_General_6_Battle	3c_Got_General_6_Campaign	chainmail	sword	wood	3c_Got_General_6_Politician
3c_Got_General_07	3c_Got_General_7_Campaign	3c_Got_General_7_Battle	3c_Got_General_7_Campaign	chainmail	sword	wood	3c_Got_General_7_Politician
3c_Got_General_08	3c_Got_General_8_Campaign	3c_Got_General_8_Battle	3c_Got_General_8_Campaign	chainmail	sword	wood	3c_Got_General_8_Politician
3c_Got_General_09	3c_Got_General_9_Campaign	3c_Got_General_9_Battle	3c_Got_General_9_Campaign	chainmail	sword	wood	3c_Got_General_9_Politician
3c_Got_General_10	3c_Got_General_10_Campaign	3c_Got_General_10_Battle	3c_Got_General_10_Campaign	chainmail	sword	wood	3c_Got_General_10_Politician
3c_Got_General_11	3c_Got_General_11_Campaign	3c_Got_General_11_Battle	3c_Got_General_11_Campaign	chainmail	sword	wood	3c_Got_General_11_Politician
3c_Got_General_12	3c_Got_General_12_Campaign	3c_Got_General_12_Battle	3c_Got_General_12_Campaign	chainmail	sword	wood	3c_Got_General_12_Politician
3c_Got_General_13	3c_Got_General_13_Campaign	3c_Got_General_13_Battle	3c_Got_General_13_Campaign	chainmail	sword	wood	3c_Got_General_13_Politician
3c_Got_General_14	3c_Got_General_14_Campaign	3c_Got_General_14_Battle	3c_Got_General_14_Campaign	chainmail	sword	wood	3c_Got_General_14_Politician
3c_Got_General_15	3c_Got_General_15_Campaign	3c_Got_General_15_Battle	3c_Got_General_15_Campaign	chainmail	sword	wood	3c_Got_General_15_Politician
3c_Got_General_16	3c_Got_General_16_Campaign	3c_Got_General_16_Battle	3c_Got_General_16_Campaign	chainmail	sword	wood	3c_Got_General_16_Politician
3c_Got_General_17	3c_Got_General_17_Campaign	3c_Got_General_17_Battle	3c_Got_General_17_Campaign	chainmail	sword	wood	3c_Got_General_17_Politician
3c_Got_General_18	3c_Got_General_18_Campaign	3c_Got_General_18_Battle	3c_Got_General_18_Campaign	chainmail	sword	wood	3c_Got_General_18_Politician
3c_Got_General_19	3c_Got_General_19_Campaign	3c_Got_General_19_Battle	3c_Got_General_19_Campaign	chainmail	sword	wood	3c_Got_General_19_Politician
3c_Got_General_20	3c_Got_General_20_Campaign	3c_Got_General_20_Battle	3c_Got_General_20_Campaign	chainmail	sword	wood	3c_Got_General_20_Politician
3c_Mar_General_01	3c_Mar_General_1_Campaign	3c_Mar_General_1_Battle	3c_Mar_General_1_Campaign	chainmail	sword	wood	3c_Mar_General_1_Politician
3c_Mar_General_02	3c_Mar_General_2_Campaign	3c_Mar_General_2_Battle	3c_Mar_General_2_Campaign	chainmail	sword	wood	3c_Mar_General_2_Politician
3c_Mar_General_03	3c_Mar_General_3_Campaign	3c_Mar_General_3_Battle	3c_Mar_General_3_Campaign	chainmail	sword	wood	3c_Mar_General_3_Politician
3c_Mar_General_04	3c_Mar_General_4_Campaign	3c_Mar_General_4_Battle	3c_Mar_General_4_Campaign	chainmail	sword	wood	3c_Mar_General_4_Politician
3c_Mar_General_05	3c_Mar_General_5_Campaign	3c_Mar_General_5_Battle	3c_Mar_General_5_Campaign	chainmail	sword	wood	3c_Mar_General_5_Politician
3c_Mar_General_06	3c_Mar_General_6_Campaign	3c_Mar_General_6_Battle	3c_Mar_General_6_Campaign	chainmail	sword	wood	3c_Mar_General_6_Politician
3c_Mar_General_07	3c_Mar_General_7_Campaign	3c_Mar_General_7_Battle	3c_Mar_General_7_Campaign	chainmail	sword	wood	3c_Mar_General_7_Politician
3c_Mar_General_08	3c_Mar_General_8_Campaign	3c_Mar_General_8_Battle	3c_Mar_General_8_Campaign	chainmail	sword	wood	3c_Mar_General_8_Politician
3c_Mar_General_09	3c_Mar_General_9_Campaign	3c_Mar_General_9_Battle	3c_Mar_General_9_Campaign	chainmail	sword	wood	3c_Mar_General_9_Politician
3c_Mar_General_10	3c_Mar_General_10_Campaign	3c_Mar_General_10_Battle	3c_Mar_General_10_Campaign	chainmail	sword	wood	3c_Mar_General_10_Politician
3c_Mar_General_11	3c_Mar_General_11_Campaign	3c_Mar_General_11_Battle	3c_Mar_General_11_Campaign	chainmail	sword	wood	3c_Mar_General_11_Politician
3c_Mar_General_12	3c_Mar_General_12_Campaign	3c_Mar_General_12_Battle	3c_Mar_General_12_Campaign	chainmail	sword	wood	3c_Mar_General_12_Politician
3c_Mar_General_13	3c_Mar_General_13_Campaign	3c_Mar_General_13_Battle	3c_Mar_General_13_Campaign	chainmail	sword	wood	3c_Mar_General_13_Politician
3c_Mar_General_14	3c_Mar_General_14_Campaign	3c_Mar_General_14_Battle	3c_Mar_General_14_Campaign	chainmail	sword	wood	3c_Mar_General_14_Politician
3c_Mar_General_15	3c_Mar_General_15_Campaign	3c_Mar_General_15_Battle	3c_Mar_General_15_Campaign	chainmail	sword	wood	3c_Mar_General_15_Politician
3c_Mar_General_16	3c_Mar_General_16_Campaign	3c_Mar_General_16_Battle	3c_Mar_General_16_Campaign	chainmail	sword	wood	3c_Mar_General_16_Politician
3c_Mar_General_17	3c_Mar_General_17_Campaign	3c_Mar_General_17_Battle	3c_Mar_General_17_Campaign	chainmail	sword	wood	3c_Mar_General_17_Politician
3c_Mar_General_18	3c_Mar_General_18_Campaign	3c_Mar_General_18_Battle	3c_Mar_General_18_Campaign	chainmail	sword	wood	3c_Mar_General_18_Politician
3c_Mar_General_19	3c_Mar_General_19_Campaign	3c_Mar_General_19_Battle	3c_Mar_General_19_Campaign	chainmail	sword	wood	3c_Mar_General_19_Politician
3c_Mar_General_20	3c_Mar_General_20_Campaign	3c_Mar_General_20_Battle	3c_Mar_General_20_Campaign	chainmail	sword	wood	3c_Mar_General_20_Politician
3c_Pal_General_01	3c_Pal_General_1_Campaign	3c_Pal_General_1_Battle	3c_Pal_General_1_Campaign	chainmail	sword	wood	3c_Pal_General_1_Politician
3c_Pal_General_02	3c_Pal_General_2_Campaign	3c_Pal_General_2_Battle	3c_Pal_General_2_Campaign	chainmail	sword	wood	3c_Pal_General_2_Politician
3c_Pal_General_03	3c_Pal_General_3_Campaign	3c_Pal_General_3_Battle	3c_Pal_General_3_Campaign	chainmail	sword	wood	3c_Pal_General_3_Politician
3c_Pal_General_04	3c_Pal_General_4_Campaign	3c_Pal_General_4_Battle	3c_Pal_General_4_Campaign	chainmail	sword	wood	3c_Pal_General_4_Politician
3c_Pal_General_05	3c_Pal_General_5_Campaign	3c_Pal_General_5_Battle	3c_Pal_General_5_Campaign	chainmail	sword	wood	3c_Pal_General_5_Politician
3c_Pal_General_06	3c_Pal_General_6_Campaign	3c_Pal_General_6_Battle	3c_Pal_General_6_Campaign	chainmail	sword	wood	3c_Pal_General_6_Politician
3c_Pal_General_07	3c_Pal_General_7_Campaign	3c_Pal_General_7_Battle	3c_Pal_General_7_Campaign	chainmail	sword	wood	3c_Pal_General_7_Politician
3c_Pal_General_08	3c_Pal_General_8_Campaign	3c_Pal_General_8_Battle	3c_Pal_General_8_Campaign	chainmail	sword	wood	3c_Pal_General_8_Politician
3c_Pal_General_09	3c_Pal_General_9_Campaign	3c_Pal_General_9_Battle	3c_Pal_General_9_Campaign	chainmail	sword	wood	3c_Pal_General_9_Politician
3c_Pal_General_10	3c_Pal_General_10_Campaign	3c_Pal_General_10_Battle	3c_Pal_General_10_Campaign	chainmail	sword	wood	3c_Pal_General_10_Politician
3c_Pal_General_11	3c_Pal_General_11_Campaign	3c_Pal_General_11_Battle	3c_Pal_General_11_Campaign	chainmail	sword	wood	3c_Pal_General_11_Politician
3c_Pal_General_12	3c_Pal_General_12_Campaign	3c_Pal_General_12_Battle	3c_Pal_General_12_Campaign	chainmail	sword	wood	3c_Pal_General_12_Politician
3c_Pal_General_13	3c_Pal_General_13_Campaign	3c_Pal_General_13_Battle	3c_Pal_General_13_Campaign	chainmail	sword	wood	3c_Pal_General_13_Politician
3c_Pal_General_14	3c_Pal_General_14_Campaign	3c_Pal_General_14_Battle	3c_Pal_General_14_Campaign	chainmail	sword	wood	3c_Pal_General_14_Politician
3c_Pal_General_15	3c_Pal_General_15_Campaign	3c_Pal_General_15_Battle	3c_Pal_General_15_Campaign	chainmail	sword	wood	3c_Pal_General_15_Politician
3c_Pal_General_16	3c_Pal_General_16_Campaign	3c_Pal_General_16_Battle	3c_Pal_General_16_Campaign	chainmail	sword	wood	3c_Pal_General_16_Politician
3c_Pal_General_17	3c_Pal_General_17_Campaign	3c_Pal_General_17_Battle	3c_Pal_General_17_Campaign	chainmail	sword	wood	3c_Pal_General_17_Politician
3c_Pal_General_18	3c_Pal_General_18_Campaign	3c_Pal_General_18_Battle	3c_Pal_General_18_Campaign	chainmail	sword	wood	3c_Pal_General_18_Politician
3c_Pal_General_19	3c_Pal_General_19_Campaign	3c_Pal_General_19_Battle	3c_Pal_General_19_Campaign	chainmail	sword	wood	3c_Pal_General_19_Politician
3c_Pal_General_20	3c_Pal_General_20_Campaign	3c_Pal_General_20_Battle	3c_Pal_General_20_Campaign	chainmail	sword	wood	3c_Pal_General_20_Politician
3c_Pal_Zenobia	3c_Pal_Zenobia_Campaign	3c_Pal_Zenobia_Battle	3c_Pal_Zenobia_Campaign	chainmail	sword	wood	3c_Pal_Zenobia_Politician
3c_Rom_Aurelian	3c_Rom_Aurelian_Campaign	3c_Rom_Aurelian_Battle	3c_Rom_Aurelian_Campaign	segmented	sword	wood	3c_Rom_Aurelian_Campaign
