campaign	region	religion	religion_zeal
main_3c	emp_galatia_et_cappadocia_side	rom_religion_latin	1
main_3c	emp_gallia_bibracte	rom_religion_latin	3
main_3c	emp_gallia_cenabum	rom_religion_latin	1
main_3c	emp_gallia_darioritum	rom_religion_latin	1
main_3c	emp_gallia_iuliobana	rom_religion_latin	1
main_3c	emp_gedrosia_oraea	rom_religion_eastern	1
main_3c	emp_gedrosia_phrada	rom_religion_eastern	1
main_3c	emp_gedrosia_pura	rom_religion_eastern	1
main_3c	emp_germania_minor_bavay	rom_religion_latin	1
main_3c	emp_germania_minor_vesonto	rom_religion_latin	1
main_3c	emp_hercynia_bergium	rom_religion_germanic	1
main_3c	emp_hercynia_budorgis	rom_religion_germanic	2
main_3c	emp_hercynia_istros	rom_religion_germanic	1
main_3c	emp_hispania_ibossim	rom_religion_latin	3
main_3c	emp_hispania_nova_carthago	rom_religion_latin	1
main_3c	emp_hispania_numantia	rom_religion_latin	1
main_3c	emp_hispania_saguntum	rom_religion_latin	1
main_3c	emp_illyricum_dyrrachium	rom_religion_latin	1
main_3c	emp_illyricum_narona	rom_religion_latin	3
main_3c	emp_illyricum_salona	rom_religion_latin	1
main_3c	emp_italia_beneventum	rom_religion_latin	3
main_3c	emp_italia_brundisium	rom_religion_latin	1
main_3c	emp_italia_cosentia	rom_religion_latin	1
main_3c	emp_judea_jerusalem	rom_religion_latin	2
main_3c	emp_judea_salamis	rom_religion_latin	1
main_3c	emp_judea_tyros	rom_religion_latin	1
main_3c	emp_latium_ariminium	rom_religion_latin	1
main_3c	emp_latium_arretium	rom_religion_latin	3
main_3c	emp_latium_asculum	rom_religion_latin	1
main_3c	emp_latium_roma	rom_religion_latin	3
main_3c	emp_libya_ammonium	rom_religion_latin	1
main_3c	emp_libya_augila	rom_religion_latin	1
main_3c	emp_libya_cyrene	rom_religion_latin	1
main_3c	emp_libya_paraitonion	rom_religion_latin	1
main_3c	emp_lugii_arsenium	rom_religion_germanic	1
main_3c	emp_lugii_carrodunum	rom_religion_germanic	2
main_3c	emp_lugii_grinev	rom_religion_germanic	1
main_3c	emp_lugii_oblin	rom_religion_germanic	1
main_3c	emp_lusitania_ebora	rom_religion_latin	1
main_3c	emp_lusitania_olisipo	rom_religion_latin	1
main_3c	emp_macedonia_apollonia	rom_religion_latin	1
main_3c	emp_macedonia_pharsalus	rom_religion_latin	1
main_3c	emp_macedonia_thessalonica	rom_religion_latin	3
main_3c	emp_magna_germania_flevium	rom_religion_germanic	1
main_3c	emp_magna_germania_treva	rom_religion_germanic	3
main_3c	emp_magna_germania_tulifurdum	rom_religion_germanic	1
main_3c	emp_mauretania_rutubis	rom_religion_african_arabian	2
main_3c	emp_mauretania_siga	rom_religion_african_arabian	1
main_3c	emp_mauretania_tingis	rom_religion_african_arabian	1
main_3c	emp_media_magna_arsakia	rom_religion_eastern	1
main_3c	emp_media_magna_ekbatana	rom_religion_eastern	3
main_3c	emp_media_magna_gazaca	rom_religion_eastern	1
main_3c	emp_media_magna_phraaspa	rom_religion_eastern	1
main_3c	emp_mesopotamia_charax	rom_religion_eastern	1
main_3c	emp_mesopotamia_ctesiphon	rom_religion_eastern	3
main_3c	emp_mesopotamia_edessa	rom_religion_eastern	1
main_3c	emp_mesopotamia_hatra	rom_religion_eastern	1
main_3c	emp_nabataea_charmuthas	rom_religion_african_arabian	1
main_3c	emp_nabataea_hegra	rom_religion_african_arabian	1
main_3c	emp_nabataea_petra	rom_religion_african_arabian	3
main_3c	emp_narbonensis_massilia	rom_religion_latin	2
main_3c	emp_narbonensis_narbo	rom_religion_latin	1
main_3c	emp_narbonensis_tolosa	rom_religion_latin	1
main_3c	emp_numidia_capsa	rom_religion_african_arabian	1
main_3c	emp_numidia_cirta	rom_religion_african_arabian	1
main_3c	emp_numidia_dimmidi	rom_religion_african_arabian	1
main_3c	emp_numidia_iol	rom_religion_african_arabian	1
main_3c	emp_palmyra_dura	rom_religion_eastern	1
main_3c	emp_palmyra_palmyra	rom_religion_eastern	3
main_3c	emp_pannonia_aquincum	rom_religion_latin	1
main_3c	emp_pannonia_segestica	rom_religion_latin	1
main_3c	emp_pannonia_singidun	rom_religion_latin	3
main_3c	emp_parthia_hekatompylos	rom_religion_eastern	1
main_3c	emp_parthia_nisa	rom_religion_eastern	1
main_3c	emp_parthia_susia	rom_religion_eastern	1
main_3c	emp_parthia_zadrakata	rom_religion_eastern	3
main_3c	emp_persis_gor	rom_religion_eastern	1
main_3c	emp_persis_persepolis	rom_religion_eastern	1
main_3c	emp_persis_susa	rom_religion_eastern	1
main_3c	emp_phazania_cydamus	rom_religion_african_arabian	3
main_3c	emp_phazania_garama	rom_religion_african_arabian	3
main_3c	emp_pretanic_isles_eilodon	rom_religion_latin	3
main_3c	emp_pretanic_isles_elbana	rom_religion_latin	1
main_3c	emp_pretanic_isles_stanwick	rom_religion_latin	1
main_3c	emp_raetia_et_noricum_kelheim	rom_religion_latin	1
main_3c	emp_raetia_et_noricum_koria	rom_religion_latin	1
main_3c	emp_raetia_et_noricum_noreia	rom_religion_latin	3
main_3c	emp_raetia_et_noricum_octoduris	rom_religion_latin	1
main_3c	emp_sarmatia_melgunov	rom_religion_nomadic	1
main_3c	emp_sarmatia_olbia	rom_religion_nomadic	1
main_3c	emp_sarmatia_solokha	rom_religion_nomadic	2
main_3c	emp_scythia_gelonus	rom_religion_nomadic	1
main_3c	emp_scythia_samandar	rom_religion_nomadic	3
main_3c	emp_scythia_sarai	rom_religion_nomadic	1
main_3c	emp_scythia_siracena	rom_religion_nomadic	1
main_3c	emp_sicily_agrigentum	rom_religion_latin	1
main_3c	emp_sicily_panormus	rom_religion_latin	1
main_3c	emp_sicily_syracuse	rom_religion_latin	1
main_3c	emp_suebia_calancorum	rom_religion_germanic	3
main_3c	emp_suebia_pelplin	rom_religion_germanic	1
main_3c	emp_suebia_setidava	rom_religion_germanic	1
main_3c	emp_suebia_virunium	rom_religion_germanic	1
main_3c	emp_syria_antioch	rom_religion_latin	1
main_3c	emp_syria_samosata	rom_religion_latin	1
main_3c	emp_syria_tarsus	rom_religion_latin	1
main_3c	emp_syria_thapsacus	rom_religion_latin	1
main_3c	emp_tarraconensis_aracillum	rom_religion_latin	1
main_3c	emp_tarraconensis_brigantium	rom_religion_latin	3
main_3c	emp_tarraconensis_tarraco	rom_religion_latin	1
main_3c	emp_thracia_antheia	rom_religion_latin	1
main_3c	emp_thracia_naissos	rom_religion_latin	1
main_3c	emp_thracia_odessos	rom_religion_latin	1
main_3c	emp_thracia_pulpudeva	rom_religion_latin	3
main_3c	emp_transoxania_bukhara	rom_religion_eastern	1
main_3c	emp_transoxania_maracanda	rom_religion_eastern	1
