effect	bonus_value_id
3c_tech_civil_economy_banditry_reduce_all	banditry_percentage_technology
3c_tech_civil_economy_imperial_treasury	gdp
3c_tech_civil_economy_resource_production	production
3c_tech_civil_economy_silk_road	production_textiles
3c_tech_civil_economy_tax_nobility	gdp
3c_tech_civil_economy_trade_mod_roman_eastern	trade_income_eastern_mod
3c_tech_civil_economy_trade_mod_roman_eastern	trade_income_roman_mod
3c_tech_civil_engineering_building_conversion_mod	building_conversion_cost_mod
3c_tech_civil_governance_happiness_empire	province_public_order_happiness_technology_factor_empire
3c_tech_civil_governance_political_party_loyalty_republic	political_party_loyalty_republic
3c_tech_civil_governance_recruitment_points_hereditary_monarchy	recruitment_points_hereditary_monarchy
3c_tech_civil_governance_slave_penalty_empire	region_slaves_unhappiness_mod_empire
3c_tech_civil_income_own_rome	gdp_rome
3c_tech_civil_trade_tariff_mod_client_states	trade_income_client_state_mod
3c_tech_force_cap_mod	army_cap_bonus
3c_tech_force_cap_mod	navy_cap_bonus
3c_tech_military_desert_attrition_immunity	attrition_immune_to_desert
3c_tech_military_levy_unit_exp_bonus	mercenary_levy_unit_exp_bonus
3c_tech_module_economy_gdp_mod	gdp_mod_animal_husbandry
3c_tech_module_economy_gdp_mod	gdp_mod_farming
3c_tech_module_economy_gdp_mod	gdp_mod_land_trade
3c_tech_module_economy_gdp_mod	gdp_mod_local_trade
3c_tech_module_economy_gdp_mod	gdp_mod_manufacture
3c_tech_module_economy_gdp_mod	gdp_mod_mining
3c_tech_module_economy_gdp_mod	gdp_mod_sea_trade
age_agent_attribute_authority_mod_generals	attribute_authority_mod
age_agent_attribute_subterfuge_mod_generals	attribute_subterfuge_mod
age_agent_attribute_zeal_mod_generals	attribute_zeal_mod
age_agent_commander_unit_melee_attack_mod	commanding_melee_attack_mod
age_agent_commander_unit_melee_defence_mod	commanding_melee_defence_mod
age_agent_diplomacy_local_faction	character_diplomacy_relation_in_region
age_agent_local_province_attribute_mod	attribute_authority_mod
age_agent_local_province_attribute_mod	attribute_subterfuge_mod
age_agent_local_province_attribute_mod	attribute_zeal_mod
age_agent_movement_mod	character_move_points_mod
age_agent_movement_range_parent_army_non_scaling	mod_land_movement_campaign
age_agent_movement_range	character_move_points_mod
age_agent_negative_public_order_mod_hidden	region_resistance_modifier
age_agent_negative_public_order_mod	happiness_mod_religious_unrest
age_agent_negative_public_order_mod	region_slaves_unhappiness_mod
age_agent_rally_slaves_public_order	agent_rally_slaves_in_region
age_agent_reinforcement_range_mod_parent_army	reinforcement_radius_bonus
age_agent_upkeep_cost	character_upkeep
age_agent_upkeep	gdp_subsistence
age_agent_xp_gain_characters_local_province	character_xp_gain
age_agent_xp_gain_characters	character_xp_gain
age_force_unit_mod_morale_enemy	morale
age_province_steal_food	food_consumption_characters
age_recruitment_time_mod_province	recruit_time_mod_land
age_recruitment_time_mod_province	recruit_time_mod_naval
dk_building_gdp_maintenance	gdp
dk_rom_tech_military_navy_upkeep_mod	upkeep_cost_mod_naval_all
edict_cap_bonus	province_initiative_cap_bonus
gaul_faction_trait_gallic_nervii_drawback_austerity	gdp_mod_local_trade
gaul_faction_trait_gallic_nervii_drawback_austerity	gdp_mod_manufacture
gaul_faction_trait_gallic_nervii_drawback_austerity	gdp_mod_mining
gaul_faction_trait_gallic_nervii_drawback_austerity	gdp_mod_sea_trade
gaul_faction_trait_germanic_suebi_cultural_warriors	province_public_order_happiness_per_war_factor
gaul_faction_trait_germanic_suebi_drawback_agriculture	gdp_mod_animal_husbandry
gaul_faction_trait_germanic_suebi_drawback_agriculture	gdp_mod_farming
gaul_faction_trait_rome_julia_drawback_oppressors	happiness_mod_religious_unrest
government_action_cost_mod	government_action_cost
inv_all_commander_general_armour_mod	commanding_armour_mod
inv_all_commander_general_charge_mod	charge_bonus_for_commanding_land_units
inv_all_commander_general_melee_attack	commanding_melee_attack_mod
inv_all_commander_general_melee_defence	commanding_melee_defence_mod
inv_all_commander_general_melee_defence	commanding_shield_defence_mod
inv_all_commander_general_morale_mod	commanding_morale
inv_building_mod_upkeep_cost	upkeep_cost_mod_land_all
inv_event_army_movement_range	mod_land_movement_campaign
inv_event_navy_movement_range	mod_land_movement_campaign
inv_faction_group_gallic_fearsome_gauls	looting_increase
inv_faction_group_gallic_fearsome_gauls	raid_income_mod
inv_faction_group_italian_civilisations_destined_for_greatness	region_resistance_modifier
inv_faction_group_italian_civilisations_written_knowledge	research_points
inv_faction_group_italic_native_strength	province_development_growth_added_other
inv_faction_group_nuragic_defenders_of_the_homeland	recruitment_points_home_region
inv_faction_group_nuragic_seasoned_scouts	passive_detection
inv_faction_order_from_army_presence	province_public_order_happiness_military_activity_factor
inv_faction_trait_less_penalty_for_public_order_in_foreign_lands	happiness_mod_religious_unrest
inv_faction_trait_public_order_from_war	province_public_order_happiness_per_war_factor
inv_fake_effect_family_members_incidents	food_consumption_base_food
inv_force_army_unit_mod_morale	morale
inv_force_campaign_mod_movement_range_all_land	mod_land_movement_campaign
inv_force_iolei_territory_attrition	attrition_faction_territory_added
inv_force_navy_unit_mod_morale	morale
inv_force_unit_mod_experience_mercenaries	mercenary_faction_unit_exp_bonus
inv_force_unit_mod_melee_attack	melee_attack_mod
inv_party_loyalty_from_technology	political_party_loyalty_technology
inv_tech_civil_experience_rate_agents	character_xp_gain
inv_tech_civil_trade_mod_roman	trade_income_roman_subculture_mod
inv_tech_civil_trade_tariff_mod_barbarians	trade_income_barbarian_mod
inv_tech_military_income_mod_booty_after_battle	captives_income_mod
inv_tech_military_income_spoils_of_war	gdp
loyalty_building_cost_mod	building_cost_mod
pel_army_movement_range	mod_land_movement_campaign
pel_faction_athenai_centre_culture	gdp_mod_entertainment
pel_faction_athenai_centre_culture	gdp_mod_learning
pel_faction_athenai_dreams_empire	province_public_order_happiness_faction_factor
pel_faction_athenai_wooden_wall	naval_recruitment_points
pel_faction_boiotia_confederacy	tax_bonus_minister
pel_faction_korinthos_love_aphrodite	province_development_growth_added_faction
pel_faction_korinthos_maritime_heritage	mod_ship_movement_battle
pel_faction_korinthos_shadow_athens	gdp_mod_manufacture
pel_faction_sparta_helot_wealth	tax_bonus_slaves_mod
pel_force_upkeep_cost	upkeep_cost_mod_land_all
pel_group_greek_slave_decline	slave_point_reduction_per_turn_mod
pel_group_greek_slave_unrest	region_slaves_unhappiness_mod
pel_group_greek_slave_unrest	tax_bonus_slaves_mod
pel_navy_movement_range	mod_ship_movement_campaign
pel_slave_gdp_hidden	tax_bonus_slaves_mod
pun_faction_scripted_reduced_upkeep	upkeep_cost_mod_land_all
pun_faction_trait_carthage_strategic_effort	mod_land_movement_campaign
pun_faction_trait_carthage_strategic_effort	mod_ship_movement_campaign
pun_faction_trait_rome_agrarian_backbone	gdp_mod_farming
pun_faction_trait_syracuse_archimedes_eureka	research_points
pun_faction_trait_syracuse_flowering_culture	gdp_mod_entertainment
pun_faction_trait_syracuse_power_struggle	admin_cost_mod
rom_agent_action_deployed_province_admin_cost	tax_bonus_minister
rom_agent_action_deployed_province_authority	attribute_authority_mod
rom_agent_action_deployed_province_subterfuge	attribute_subterfuge_mod
rom_agent_action_deployed_province_zeal	attribute_zeal_mod
rom_agent_action_dummy_hinder_army_no_reinforce	general_start_of_turn_cannot_reinforce
rom_agent_action_parent_army_authority	attribute_authority_mod
rom_agent_action_parent_army_general_xp_gain	character_xp_gain
rom_agent_action_parent_army_subterfuge	attribute_subterfuge_mod
rom_agent_action_parent_army_upkeep	upkeep_cost_mod_land_all
rom_agent_action_parent_army_xp_gain	unit_xp_mod_land
rom_agent_action_parent_army_zeal	attribute_zeal_mod
rom_agent_action_passive_culture_spread	agent_religion_conversion
rom_agent_action_target_agent_ap_nuke	general_start_of_turn_action_point_penalty
rom_agent_action_target_army_ap_half	general_start_of_turn_action_point_penalty
rom_agent_action_target_army_ap_nuke	general_start_of_turn_action_point_penalty
rom_agent_action_target_army_authority	attribute_authority_mod
rom_agent_action_target_army_charge_bonus	charge_bonus_for_land_units
rom_agent_action_target_army_firing_rate	mod_reload_land
rom_agent_action_target_army_melee_attack	melee_attack_mod
rom_agent_action_target_army_melee_defence	melee_defence_mod
rom_agent_action_target_army_melee_defence	shield_defence_mod
rom_agent_action_target_army_morale	morale
rom_agent_action_target_army_subterfuge	attribute_subterfuge_mod
rom_agent_action_target_army_zeal	attribute_zeal_mod
rom_agent_action_target_province_public_order	province_public_order_happiness_character_factor
rom_agent_action_target_settlement_culture_bomb	agent_religion_conversion
rom_agent_action_target_settlement_public_order_disorder	agent_create_disorder_in_region
rom_agent_action_target_settlement_public_order_slaves	region_slaves_unhappiness_mod
rom_agent_action_target_settlement_siege_time	siege_time_mod
rom_agent_attribute_authority_mod_global	attribute_authority_mod
rom_agent_field_line_of_sight_mod	line_of_sight_extension
rom_agent_movement_range_mod	general_admiral_action_point_bonus
rom_agent_wound_recovery_time_mod	recuperation_time_mod
rom_any_corruption_mod_global	admin_cost_mod
rom_backend_tax_public_order	province_public_order_happiness_tax_factor
rom_building_administration_efficiency	admin_cost_mod
rom_building_building_cost_mod	building_conversion_cost_mod
rom_building_building_cost_mod	building_cost_mod
rom_building_defence_artillery_slots	num_wall_mounted_artillery_picks
rom_building_food_consumption	food_consumption_buildings
rom_building_food_farming_animal_husbandry	food_production_buildings
rom_building_food_farming_grain_local_province	food_production_buildings
rom_building_food_farming_grain	food_production_buildings
rom_building_food_fishing	food_production_buildings
rom_building_food_reserves	food_production_buildings
rom_building_food_trade	food_production_buildings
rom_building_gdp_agriculture_animal_husbandry	gdp_animal_husbandry
rom_building_gdp_agriculture_farming	gdp_farming
rom_building_gdp_culture_entertainment	gdp_entertainment
rom_building_gdp_culture_learning	gdp_learning
rom_building_gdp_industry_manufacture	gdp_manufacture
rom_building_gdp_industry_mining	gdp_mining
rom_building_gdp_mod_agriculture_all	gdp_mod_animal_husbandry
rom_building_gdp_mod_agriculture_all	gdp_mod_farming
rom_building_gdp_mod_agriculture_animal_husbandry	gdp_mod_animal_husbandry
rom_building_gdp_mod_agriculture_farming	gdp_mod_farming
rom_building_gdp_mod_all_stop_production	gdp_mod_all
rom_building_gdp_mod_all	gdp_mod_all
rom_building_gdp_mod_culture_all	gdp_mod_entertainment
rom_building_gdp_mod_culture_all	gdp_mod_learning
rom_building_gdp_mod_culture_entertainment	gdp_mod_entertainment
rom_building_gdp_mod_culture_learning	gdp_mod_learning
rom_building_gdp_mod_industry_manufacturing	gdp_mod_manufacture
rom_building_gdp_mod_industry_mining	gdp_mod_mining
rom_building_gdp_mod_industry	gdp_mod_manufacture
rom_building_gdp_mod_industry	gdp_mod_mining
rom_building_gdp_mod_subsistence	gdp_mod_subsistence
rom_building_gdp_mod_trade_all	gdp_mod_land_trade
rom_building_gdp_mod_trade_all	gdp_mod_local_trade
rom_building_gdp_mod_trade_all	gdp_mod_sea_trade
rom_building_gdp_mod_trade_local	gdp_mod_local_trade
rom_building_gdp_mod_trade_sea	gdp_mod_sea_trade
rom_building_gdp_other	gdp_other
rom_building_gdp_subsistence_faction_capital_hidden	gdp_subsistence
rom_building_gdp_subsistence	gdp_subsistence
rom_building_gdp_trade_local	gdp_local_trade
rom_building_gdp_trade_sea	gdp_sea_trade
rom_building_growth_all_global	province_development_growth_added_building
rom_building_growth_all	province_development_growth_added_building
rom_building_growth_mod_all	region_development_growth_mod
rom_building_looting_mod	looting_increase
rom_building_province_attribute_all	attribute_authority_mod
rom_building_province_attribute_all	attribute_subterfuge_mod
rom_building_province_attribute_all	attribute_zeal_mod
rom_building_province_attribute_authority	attribute_authority_mod
rom_building_province_attribute_subterfuge	attribute_subterfuge_mod
rom_building_province_attribute_zeal	attribute_zeal_mod
rom_building_public_order_attitude_squalor_slums	province_public_order_happiness_building_negative_factor
rom_building_public_order_attitude_squalor	province_public_order_happiness_building_negative_factor
rom_building_public_order_happiness_global	province_public_order_happiness_building_positive_factor
rom_building_public_order_happiness_sanitation	province_public_order_happiness_building_positive_factor
rom_building_public_order_happiness	province_public_order_happiness_building_positive_factor
rom_building_public_order_slave_unrest	region_slaves_unhappiness_mod
rom_building_recruitment_cost_mod_land	recruitment_mod_cost_land_all
rom_building_recruitment_cost_mod_provincial_mercenaries	mercenary_cost_mod
rom_building_recruitment_points_naval	naval_recruitment_points
rom_building_recruitment_points	recruitment_points
rom_building_replenishment_all	replenishment_percentage_bonus
rom_building_replenishment_land	replenishment_percentage_bonus
rom_building_replenishment_sea	replenishment_percentage_bonus
rom_building_research_cost_mod	research_cost_mod
rom_building_research_points_mod	research_rate_mod
rom_building_research_points	research_points
rom_building_road	roads
rom_building_sanitation	sanitation_buildings
rom_building_siege_holdout_time	siege_time_mod
rom_building_slave_decrease_mod	slave_point_reduction_per_turn_mod
rom_building_slave_gpd_mod	tax_bonus_slaves_mod
rom_building_slave_happiness_mod	region_slaves_unhappiness_mod
rom_building_squalor	squalor_buildings
rom_building_tax_level	tax_bonus_building
rom_building_trade_route_sea_cap	trade_route_cap_sea
rom_building_trade_route_value_mod_global	trade_income_mod
rom_building_trade_tariffs_all	trade_income_mod
rom_character_diplomatic_marriage_relations	diplomacy_relation_marriage
rom_character_faction_leader_global_gdp_mod_agriculture_farming	gdp_mod_farming
rom_character_faction_leader_global_gdp_mod_all	gdp_mod_all
rom_character_faction_leader_global_gdp_mod_industry	gdp_mod_manufacture
rom_character_faction_leader_global_gdp_mod_industry	gdp_mod_mining
rom_character_faction_leader_global_gdp_mod_trade	gdp_mod_land_trade
rom_character_faction_leader_global_gdp_mod_trade	gdp_mod_local_trade
rom_character_faction_leader_global_gdp_mod_trade	gdp_mod_sea_trade
rom_character_faction_leader_global_morale_mod	morale
rom_character_faction_leader_global_public_order	province_public_order_happiness_character_factor
rom_character_faction_leader_global_recruitment_cost_mod	recruitment_mod_cost_land_all
rom_character_faction_leader_global_recruitment_cost_mod	recruitment_mod_cost_naval_all
rom_character_faction_leader_global_tax_level_mod	tax_bonus_minister
rom_character_faction_leader_looting_mod	looting_increase
rom_character_faction_leader_mod_construction_costs	building_cost_mod
rom_character_factionwide_subterfuge_mod	attribute_subterfuge_mod
rom_character_food	food_production_characters
rom_character_gravitas_per_turn_mod	character_gravitas_per_turn
rom_character_political_marriage_loyalty	political_party_loyalty_political_marriage
rom_character_political_party_loyalty	political_party_loyalty_get_into_position
rom_character_power_to_ruling_party_per_turn	faction_power_for_primary_party_per_turn
rom_character_province_growth	province_development_growth_added_character
rom_character_province_public_order	province_public_order_happiness_character_factor
rom_character_skills_disable	character_skills_disabled
rom_event_political_party_loyalty	political_party_loyalty
rom_faction_mercenary_faction_pool_cap_mod	mercenary_faction_pool_cap_mod
rom_faction_mercenary_faction_unit_exp_bonus	mercenary_levy_unit_exp_bonus
rom_faction_mercenary_levy_unit_cost_mod	mercenary_levy_unit_cost_mod
rom_faction_mercenary_levy_unit_upkeep_mod	mercenary_levy_unit_upkeep_mod
rom_faction_mercenary_levy_units_per_region_mod	mercenary_levy_units_per_region_mod
rom_faction_political_party_loyalty	political_party_loyalty_government_type
rom_faction_province_attribute_authority_unseen	attribute_authority_mod
rom_faction_province_attribute_subterfuge_unseen	attribute_subterfuge_mod
rom_faction_province_attribute_zeal_unseen	attribute_zeal_mod
rom_faction_public_order_difficulty_level	province_public_order_happiness_baseline_factor
rom_faction_public_order_events	province_public_order_happiness_events_factor
rom_faction_public_order_foreign_culture_penalty	happiness_mod_religious_unrest
rom_faction_public_order_hidden	province_public_order_happiness_faction_factor
rom_faction_recruitment_capacity_home_region	recruitment_points_home_region
rom_faction_trait_african_core_agriculture	gdp_mod_animal_husbandry
rom_faction_trait_african_core_agriculture	gdp_mod_farming
rom_faction_trait_arabian_core_trade	gdp_mod_local_trade
rom_faction_trait_arabian_core_trade	gdp_mod_sea_trade
rom_faction_trait_ardiaei_experts_sea	naval_recruitment_points
rom_faction_trait_ardiaei_neglected_land	gdp_mod_animal_husbandry
rom_faction_trait_ardiaei_neglected_land	gdp_mod_farming
rom_faction_trait_ardiaei_pirates	raid_income_mod
rom_faction_trait_black_sea_cimmeria_fertile_lands	gdp_mod_animal_husbandry
rom_faction_trait_black_sea_cimmeria_fertile_lands	gdp_mod_farming
rom_faction_trait_black_sea_cimmeria_multiculturalism	happiness_mod_religious_unrest
rom_faction_trait_black_sea_cimmeria_nomadic_archers	ammo_mod
rom_faction_trait_black_sea_cimmeria_tyrants	admin_cost_mod
rom_faction_trait_black_sea_colchis_trade_crossroads	trade_income_mod
rom_faction_trait_black_sea_core_greek_knowledge	research_points
rom_faction_trait_black_sea_core_rulers_foreign_land	happiness_mod_religious_unrest
rom_faction_trait_black_sea_pergmamon_great_builders	building_cost_mod
rom_faction_trait_black_sea_pergmamon_town_growth	province_development_growth_added_other
rom_faction_trait_britannic_core_warrior_society	province_public_order_happiness_per_war_factor
rom_faction_trait_britannic_iceni_pastoral_ways	gdp_mod_animal_husbandry
rom_faction_trait_britannic_iceni_pastoral_ways	gdp_mod_farming
rom_faction_trait_carthage_barcid_agriculture	gdp_mod_animal_husbandry
rom_faction_trait_carthage_barcid_agriculture	gdp_mod_farming
rom_faction_trait_carthage_core_trade	gdp_mod_local_trade
rom_faction_trait_carthage_core_trade	gdp_mod_sea_trade
rom_faction_trait_carthage_hannonid_administrators	tax_bonus_minister
rom_faction_trait_carthage_hannonid_pioneers	mod_land_movement_campaign
rom_faction_trait_carthage_hannonid_pioneers	mod_ship_movement_campaign
rom_faction_trait_carthage_magonid_corruption	tax_bonus_minister
rom_faction_trait_carthage_magonid_iron_fist	region_resistance_modifier
rom_faction_trait_celtiberian_core_scouts	passive_detection
rom_faction_trait_celtiberian_core_warrior_people	province_public_order_happiness_military_activity_factor
rom_faction_trait_celtiberian_core_warrior_society	province_public_order_happiness_per_war_factor
rom_faction_trait_celtic_core_marauders	looting_increase
rom_faction_trait_celtic_core_marauders	raid_income_mod
rom_faction_trait_celtic_core_warrior_society	province_public_order_happiness_per_war_factor
rom_faction_trait_daco_thracian_core_peregrine_conquest	mercenary_cost_mod
rom_faction_trait_desert_group_agriculture	gdp_mod_animal_husbandry
rom_faction_trait_desert_group_agriculture	gdp_mod_farming
rom_faction_trait_desert_group_traditions	research_rate_mod
rom_faction_trait_desert_kush_disciplined_workforce	gdp_mod_animal_husbandry
rom_faction_trait_desert_kush_disciplined_workforce	gdp_mod_farming
rom_faction_trait_desert_nabatea_traders	trade_income_mod
rom_faction_trait_desert_numidia_ambushers	ambush_chance_of_success_attack_bonus
rom_faction_trait_eastern_core_marksmen	ammo_mod
rom_faction_trait_eastern_core_secret_police	attribute_authority_mod
rom_faction_trait_eastern_core_secret_police	attribute_subterfuge_mod
rom_faction_trait_eastern_core_secret_police	attribute_zeal_mod
rom_faction_trait_eastern_core_trade	gdp_mod_local_trade
rom_faction_trait_eastern_core_trade	gdp_mod_sea_trade
rom_faction_trait_eastern_parthia_multiculturalism	happiness_mod_religious_unrest
rom_faction_trait_eastern_parthia_slave_aversion	region_slaves_unhappiness_mod
rom_faction_trait_etruscan_theocracy	province_public_order_happiness_faction_factor
rom_faction_trait_gallic_arverni_craftmanship	gdp_mod_manufacture
rom_faction_trait_gallic_arverni_craftmanship	gdp_mod_mining
rom_faction_trait_gallic_boii_agrarian	gdp_mod_animal_husbandry
rom_faction_trait_gallic_boii_agrarian	gdp_mod_farming
rom_faction_trait_gallic_boii_migration_new	building_conversion_cost_mod
rom_faction_trait_gallic_core_warrior_society	province_public_order_happiness_per_war_factor
rom_faction_trait_gallic_galatia_plunderers	looting_increase
rom_faction_trait_gallic_galatia_plunderers	raid_income_mod
rom_faction_trait_gallic_nervii_ambushers	ambush_chance_of_success_attack_bonus
rom_faction_trait_gallic_nervii_austerity	gdp_mod_local_trade
rom_faction_trait_gallic_nervii_austerity	gdp_mod_manufacture
rom_faction_trait_gallic_nervii_austerity	gdp_mod_mining
rom_faction_trait_gallic_nervii_austerity	gdp_mod_sea_trade
rom_faction_trait_germanic_core_marauders	looting_increase
rom_faction_trait_germanic_core_marauders	raid_income_mod
rom_faction_trait_germanic_core_terrors_night	can_fight_night_battles
rom_faction_trait_germanic_core_terrors_night	can_fight_night_battles_naval
rom_faction_trait_germanic_core_warrior_society	province_public_order_happiness_per_war_factor
rom_faction_trait_germanic_suebi_foreign_disdain	happiness_mod_religious_unrest
rom_faction_trait_germanic_suebi_venerable_elders	tax_bonus_technology
rom_faction_trait_getae_fierce_independence	melee_defence_mod
rom_faction_trait_getae_fierce_independence	shield_defence_mod
rom_faction_trait_greek_athens_cultural_centre	gdp_mod_entertainment
rom_faction_trait_greek_athens_cultural_centre	gdp_mod_learning
rom_faction_trait_greek_athens_school_hellas	research_points
rom_faction_trait_greek_massilia_great_traders	trade_income_mod
rom_faction_trait_greek_sparta_helot_repression	region_slaves_unhappiness_mod
rom_faction_trait_greek_sparta_laconic_austerity	gdp_mod_local_trade
rom_faction_trait_greek_sparta_laconic_austerity	gdp_mod_manufacture
rom_faction_trait_greek_sparta_laconic_austerity	gdp_mod_mining
rom_faction_trait_greek_sparta_laconic_austerity	gdp_mod_sea_trade
rom_faction_trait_nomadic_core_horde	recruitment_points_home_region
rom_faction_trait_nomadic_core_marauders	looting_increase
rom_faction_trait_nomadic_core_marauders	raid_income_mod
rom_faction_trait_nomadic_massagetae_pastoral_nomads	gdp_mod_animal_husbandry
rom_faction_trait_nomadic_roxolani_traders	gdp_mod_local_trade
rom_faction_trait_nomadic_roxolani_traders	gdp_mod_sea_trade
rom_faction_trait_nomadic_scythian_craftsmanship	gdp_mod_manufacture
rom_faction_trait_nomadic_scythian_craftsmanship	gdp_mod_mining
rom_faction_trait_nomadic_scythian_marksmanship	ammo_mod
rom_faction_trait_odrysia_looters	looting_increase
rom_faction_trait_odrysia_looters	raid_income_mod
rom_faction_trait_odrysia_raiders	raid_income_mod
rom_faction_trait_rome_core_base_legions	recruitment_points
rom_faction_trait_rome_core_bread_circuses	food_production_base_food
rom_faction_trait_rome_core_marching_orders	mod_land_movement_campaign
rom_faction_trait_rome_cornelia_administration	tax_bonus_minister
rom_faction_trait_rome_cornelia_cultural_assimilation	happiness_mod_religious_unrest
rom_faction_trait_rome_julia_cultural_oppressors	happiness_mod_religious_unrest
rom_faction_trait_rome_junia_agriculture	gdp_mod_animal_husbandry
rom_faction_trait_rome_junia_agriculture	gdp_mod_farming
rom_faction_trait_successor_baktria_multiculturalism	happiness_mod_religious_unrest
rom_faction_trait_successor_baktria_prosperity	gdp_mod_local_trade
rom_faction_trait_successor_baktria_prosperity	gdp_mod_manufacture
rom_faction_trait_successor_baktria_prosperity	gdp_mod_mining
rom_faction_trait_successor_baktria_prosperity	gdp_mod_sea_trade
rom_faction_trait_successor_baktria_silk_road	gdp_mod_local_trade
rom_faction_trait_successor_baktria_silk_road	gdp_mod_sea_trade
rom_faction_trait_successor_core_alexander_legacy	region_resistance_modifier
rom_faction_trait_successor_egypt_foreign_dynasty	happiness_mod_religious_unrest
rom_faction_trait_successor_egypt_nile_valley	food_production_buildings
rom_faction_trait_successor_egypt_ptolemaic_enlightenment	research_points
rom_faction_trait_successor_macedon_commercial_leases	gdp_mod_manufacture
rom_faction_trait_successor_macedon_commercial_leases	gdp_mod_mining
rom_faction_trait_successor_seleucid_multiculturalism	happiness_mod_religious_unrest
rom_faction_trait_successor_seleucid_royal_estates	gdp_mod_animal_husbandry
rom_faction_trait_successor_seleucid_royal_estates	gdp_mod_farming
rom_faction_trait_successor_seleucid_satrapies	mercenary_levy_units_per_region_mod
rom_faction_trait_tylis_plunderers_new	looting_increase
rom_faction_trait_tylis_plunderers	raid_income_mod
rom_fertility_eunuch	legitimate_child_chance_mod
rom_fertility_low	legitimate_child_chance_mod
rom_fertility_mod	legitimate_child_chance_mod
rom_fertility_very_high	legitimate_child_chance_mod
rom_fertility_very_low	legitimate_child_chance_mod
rom_food_shortage_development_growth_penalty	province_development_growth_added_food
rom_food_shortage_disable_replenishment	cancel_all_replenishment_in_region
rom_food_shortage_enable_desertion_attrition_for_own_forces	enable_desertion_attrition_for_own_forces_in_region
rom_food_shortage_public_order_happiness	province_public_order_happiness_food_factor
rom_food_shortage_remove_all_growth	province_cancel_all_growth_in_province
rom_food_shortage_replenishment_penalty	replenishment_percentage_bonus
rom_food_surplus_development_growth_benefit	province_development_growth_added_food
rom_food_surplus_replenishment_benefit	replenishment_percentage_bonus
rom_force_attrition	enable_discipline_attrition
rom_force_campaign_enable_disease_attrition	enable_disease_attrition
rom_force_campaign_mod_ambush_attack_success_chance	ambush_chance_of_success_attack_bonus
rom_force_campaign_mod_ambush_defence_success_chance	ambush_chance_of_success_defence_bonus
rom_force_campaign_mod_attrition_siege	attrition_mod_besieged
rom_force_campaign_mod_line_of_sight	line_of_sight_extension
rom_force_campaign_mod_local_piracy	region_gdp_trade_piracy_effect_mod
rom_force_campaign_mod_loot_income	looting_increase
rom_force_campaign_mod_movement_range	mod_land_movement_campaign
rom_force_campaign_mod_movement_range	mod_ship_movement_campaign
rom_force_campaign_mod_raid_income	looting_increase
rom_force_campaign_mod_raid_income	raid_income_mod
rom_force_campaign_mod_recruitment_cost_all	recruitment_mod_cost_land_all
rom_force_campaign_mod_recruitment_cost_all	recruitment_mod_cost_naval_all
