task_generator_group_key	task_generator_key	priority
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_FOOD_PRODUCING_REGIONS	1.0000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_NEIGHBOURING_WAR_REGIONS	1.0000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_SETTLEMENTS_NEAR_OUR_FORCES	0.5000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_COMPLETE_PROVINCE	1.0000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_COMPLETE_SEA_REGION_CONTROL	1.0000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_CONSOLIDATE_BORDERS	1.0000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_DEFEND_ALLIED_TERRITORY	1.0000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_DEFEND_OWNED_REGIONS	1.0000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_DEFEND_REGIONS_AMBIENT	0.5000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_DEFEND_SEA_REGIONS	1.0000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_RAID_UNSTABLE_REGIONS	1.0000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_RECAPTURE_RECENTLY_LOST_TERRITORY	1.0000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_SALLY_OUT_BEFORE_SETTLEMENT_LOSS	0.5000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_WAR_COORDINATION_ATTACK_FORCES	3.0000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_WAR_COORDINATION_ATTACK_REGIONS	3.0000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ACTIVELY_DEFEND_CAPITAL	0.0000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ACTIVELY_DEFEND_RECENTLY_CAPTURED_TERRITORY	1.0000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ACTIVELY_DEFEND_THREATENED_REGIONS	0.9000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_AGENTS_IN_OWNED_REGIONS	1.0000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_FORCES	0.1000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_SETTLEMENTS	0.5000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_LOCAL_AGENTS_LEVEL_SCALED	1.0000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_LOCAL_FORCES_SIZE_SCALED	0.5000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_LOCAL_HUMAN_AGENTS_LEVEL_SCALED	1.0000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_LOCAL_HUMAN_FORCES_SIZE_SCALED	0.5000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_LOCAL_HUMAN_SETTLEMENTS	1.0000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_OUT_CULTURE_CONVERTING_AGENTS_IN_OWNED_TERRITORY	1.0000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_FOOD_PRODUCING_REGIONS	1.0000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_NEIGHBOURING_WAR_REGIONS	1.2000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_SETTLEMENTS_NEAR_OUR_FORCES	0.7500
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_COMPLETE_PROVINCE	1.0000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_COMPLETE_SEA_REGION_CONTROL	1.0000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_CONSOLIDATE_BORDERS	1.0000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_DEFEND_ALLIED_TERRITORY	1.0000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_DEFEND_OWNED_REGIONS	1.0000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_DEFEND_REGIONS_AMBIENT	0.5000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_DEFEND_SEA_REGIONS	1.0000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_RAID_UNSTABLE_REGIONS	1.0000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_RECAPTURE_RECENTLY_LOST_TERRITORY	1.0000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_SALLY_OUT_BEFORE_SETTLEMENT_LOSS	0.5000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_WAR_COORDINATION_ATTACK_FORCES	3.0000
pun_expansive_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_WAR_COORDINATION_ATTACK_REGIONS	3.0000
