unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
			3c_Goth_Greuthungi_Lancers_commander	3c_commander_units	false
			3c_Goth_Greuthungi_Noble_Cavalry_commander	3c_commander_units	false
			3c_Goth_Heavy_Assault_Raider_commander	3c_commander_units	false
			3c_Goth_Medium_Missile_Raider_commander	3c_commander_units	false
			3c_Goth_Tervingi_Oathsworn_commander	3c_commander_units	false
			3c_Marc_Germanic_Noble_Guard_commander	3c_commander_units	false
			3c_Marc_Heavy_Assault_Raider_commander	3c_commander_units	false
			3c_Marc_Medium_Missile_Raider_commander	3c_commander_units	false
			3c_Marc_Wodanaz_Spears_commander	3c_commander_units	false
			3c_Num_Missile_Trieres_commander	3c_commander_units	false
			3c_Num_Numidian_Noble_Cavalry_commander	3c_commander_units	false
			3c_Pal_Assault_Hexeres_commander	3c_commander_units	false
			3c_Pal_Heavy_Tower_Octeres_commander	3c_commander_units	false
			3c_Pal_Imperial_Palmyrene_Cataphracts_commander	3c_commander_units	false
			3c_Pal_Imperial_Pikemen_commander	3c_commander_units	false
			3c_Pal_Missile_Hepteres_commander	3c_commander_units	false
			3c_Pal_Palmyrene_Palace_Guard_commander	3c_commander_units	false
			3c_Pal_Scythed_Chariots_commander	3c_commander_units	false
			3c_Per_Assault_Trieres_commander	3c_commander_units	false
			3c_Per_Persian_Cataphracts_commander	3c_commander_units	false
			3c_Per_Persian_Nobles_commander	3c_commander_units	false
			3c_Rom_Assault_Quadreme_commander	3c_commander_units	false
			3c_Rom_Equites_Catafractarii_commander	3c_commander_units	false
			3c_Rom_Equites_Scutarii_commander	3c_commander_units	false
			3c_Rom_Evocati_Cohort_commander	3c_commander_units	false
			3c_Rom_Missile_Quinquereme_commander	3c_commander_units	false
			3c_Rom_Praetorian_Cavalry_commander	3c_commander_units	false
			3c_Rom_Roman_Legionary_Cavalry_commander	3c_commander_units	false
			3c_Rom_Tower_Hexareme_commander	3c_commander_units	false
			3c_Sab_Assault_Trieres_commander	3c_commander_units	false
			3c_Sab_Sabean_Cavalry_commander	3c_commander_units	false
			3c_Sas_Armoured_Indian_War_Elephants_commander	3c_commander_units	false
			3c_Sas_Assault_Hexeres_commander	3c_commander_units	false
			3c_Sas_Gyan_Avspar_commander	3c_commander_units	false
			3c_Sas_Missile_Penteres_commander	3c_commander_units	false
			3c_Sas_Royal_Sassanian_Archers_commander	3c_commander_units	false
			3c_Sas_Zhayedan_Immortals_commander	3c_commander_units	false
			3c_Sax_Gedriht_Spearmen_commander	3c_commander_units	false
			3c_Sax_Gedriht_Swordsmen_commander	3c_commander_units	false
			3c_Sax_Heavy_Assault_Raider_commander	3c_commander_units	false
			3c_Sax_Medium_Missile_Raider_commander	3c_commander_units	false
			3c_Sax_Noble_Saxon_Cavalry_commander	3c_commander_units	false
			3c_Ste_Missile_Raider_commander	3c_commander_units	false
			3c_Ste_Steppe_Nobles_commander	3c_commander_units	false
			3c_Sas_Eastern_Horse_Archers	3c_east_tier_one	false
			3c_Sas_Eastern_Horse_Skirmishers	3c_east_tier_one	false
			3c_Sas_Eastern_Scouts	3c_east_tier_one	false
			3c_Sas_Hamspah_Infantry	3c_east_tier_one	false
			3c_Sas_Persian_Skirmishers	3c_east_tier_one	false
			3c_Sas_Sassanian_Levy_Spearmen	3c_east_tier_one	false
			3c_Goth_Greuthungi_Elite_Spears	3c_goth_greuthungi	false
			3c_Goth_Greuthungi_Lancers	3c_goth_greuthungi	false
			3c_Goth_Greuthungi_Noble_Cavalry	3c_goth_greuthungi	false
			3c_Goth_Tervingi_Oathsworn	3c_goth_tervingi	false
			3c_Goth_Tervingi_Warriors	3c_goth_tervingi	false
			inv_greek_four_mercenary_carthaginian_hoplites	all_greek_units_mercenary	false
			inv_greek_four_mercenary_etruscan_hoplites	all_greek_units_mercenary	false
			inv_greek_four_mercenary_hoplites	all_greek_units_mercenary	false
			inv_greek_four_mercenary_massilian_hoplites	all_greek_units_mercenary	false
			inv_greek_four_mercenary_sileraioi_hoplites	all_greek_units_mercenary	false
			inv_greek_three_mercenary_balearic_slingers	all_greek_units_mercenary	false
			inv_greek_three_mercenary_carthaginian_peltasts	all_greek_units_mercenary	false
			inv_greek_three_mercenary_etr_archers	all_greek_units_mercenary	false
			inv_greek_three_mercenary_toxotes	all_greek_units_mercenary	false
			inv_greek_two_halfer_mercenary_carthaginian_javelin	all_greek_units_mercenary	false
			inv_greek_two_mercenary_etruscan_axe_infantry	all_greek_units_mercenary	false
			inv_greek_two_mercenary_hoplites	all_greek_units_mercenary	false
			inv_mercenary_ballista	all_greek_units_mercenary	false
			inv_mercenary_cretan_archers	all_greek_units_mercenary	false
			inv_mercenary_hippeus	all_greek_units_mercenary	false
			inv_mercenary_hoplites	all_greek_units_mercenary	false
			inv_mercenary_sileraioi_hoplites	all_greek_units_mercenary	false
			inv_mercenary_spartan_hoplites	all_greek_units_mercenary	false
			inv_mercenary_thessalian_cavalry	all_greek_units_mercenary	false
			inv_mercenary_toxotes	all_greek_units_mercenary	false
			inv_syr_mer_sileraioi_hoplites	all_greek_units_mercenary	false
			inv_syr_mer_spartan_hoplites	all_greek_units_mercenary	false
			inv_syr_mer_thessalian_cavalry	all_greek_units_mercenary	false
		art_fix		all_land_artillery	false
		art_fld		all_land_artillery	false
		art_siege		all_land_artillery	false
	artillery			all_land_units_exluding_artillery	true
	cavalry			all_land_units_exluding_artillery	false
	elephants			all_land_units_exluding_artillery	false
	heavy_ship			all_land_units_exluding_artillery	true
	inf_melee			all_land_units_exluding_artillery	false
	inf_ranged			all_land_units_exluding_artillery	false
	light_ship			all_land_units_exluding_artillery	true
	medium_ship			all_land_units_exluding_artillery	true
	artillery			all_land_units	false
	cavalry			all_land_units	false
	elephants			all_land_units	false
	inf_melee			all_land_units	false
	inf_ranged			all_land_units	false
			inv_ins_gallic_elder_swordsmen	all_units_Gauls	false
			inv_ins_gallic_heavy_spearmen	all_units_Gauls	false
			inv_ins_highland_hunters	all_units_Gauls	false
			inv_ins_longsword_warriors	all_units_Gauls	false
			inv_ins_medium_assault_raider_longsword_warriors	all_units_Gauls	false
			inv_ins_raider_ranged_highland_hunters	all_units_Gauls	false
			inv_mercenary_gallic_axe_cavalry	all_units_Gauls	false
			inv_mercenary_gallic_axemen	all_units_Gauls	false
			inv_mercenary_gallic_horsemen	all_units_Gauls	false
			inv_sen_chariots	all_units_Gauls	false
			inv_sen_gallic_axe_cavalry	all_units_Gauls	false
			inv_sen_gallic_axemen	all_units_Gauls	false
			inv_sen_gallic_horse_skirmishers	all_units_Gauls	false
			inv_sen_gallic_horsemen	all_units_Gauls	false
			inv_sen_gallic_hunters	all_units_Gauls	false
			inv_sen_gallic_skirmishers	all_units_Gauls	false
			inv_sen_gallic_spearmen	all_units_Gauls	false
			inv_sen_medium_assault_raider_naked_warriors	all_units_Gauls	false
			inv_sen_naked_warriors	all_units_Gauls	false
			inv_sen_noble_horsemen	all_units_Gauls	false
			inv_sen_noble_swordsmen	all_units_Gauls	false
			inv_sen_raider_melee_gallic_axemen	all_units_Gauls	false
			inv_sen_raider_melee_tribeless_warriors	all_units_Gauls	false
			inv_sen_raider_ranged_gallic_hunters	all_units_Gauls	false
			inv_sen_tribeless_spearmen	all_units_Gauls	false
			inv_sen_tribeless_warriors	all_units_Gauls	false
			inv_sen_young_swords	all_units_Gauls	false
heavy_aux				all_units_auxiliary	false
			inv_etr_four_assault_greek_italian_swordsmen	all_units_auxiliary	false
			inv_etr_two_assault_greek_italian_swordsmen	all_units_auxiliary	false
			inv_local_aequi_horsemen	all_units_auxiliary	false
			inv_local_aequi_swordsmen	all_units_auxiliary	false
			inv_local_apulian_archers	all_units_auxiliary	false
			inv_local_apulian_javelinmen	all_units_auxiliary	false
			inv_local_brutii_slingers	all_units_auxiliary	false
			inv_local_brutii_tribesmen	all_units_auxiliary	false
			inv_local_campanian_cavalry	all_units_auxiliary	false
			inv_local_carthaginian_infantry	all_units_auxiliary	false
			inv_local_carthaginian_spearmen	all_units_auxiliary	false
			inv_local_etruscan_spearmen	all_units_auxiliary	false
			inv_local_gallic_axemen	all_units_auxiliary	false
			inv_local_gallic_horsemen	all_units_auxiliary	false
			inv_local_gallic_hunters	all_units_auxiliary	false
			inv_local_greek_archers	all_units_auxiliary	false
			inv_local_greek_militia	all_units_auxiliary	false
			inv_local_italian_hillmen	all_units_auxiliary	false
			inv_local_italian_skirmishers	all_units_auxiliary	false
			inv_local_italian_slingers	all_units_auxiliary	false
			inv_local_italian_swordsmen	all_units_auxiliary	false
			inv_local_latin_spearmen	all_units_auxiliary	false
			inv_local_latin_tribesmen	all_units_auxiliary	false
			inv_local_ligurian_axe_warriors	all_units_auxiliary	false
			inv_local_ligurian_horsemen	all_units_auxiliary	false
			inv_local_ligurian_swordsmen	all_units_auxiliary	false
			inv_local_lucanian_ambushers	all_units_auxiliary	false
			inv_local_lucanian_warriors	all_units_auxiliary	false
			inv_local_sabine_skirmishers	all_units_auxiliary	false
			inv_local_sabine_warriors	all_units_auxiliary	false
			inv_local_samnite_infantryman	all_units_auxiliary	false
			inv_local_sardi_bowmen	all_units_auxiliary	false
			inv_local_sardi_hillmen	all_units_auxiliary	false
			inv_local_sicilian_tribesmen	all_units_auxiliary	false
			inv_local_tribeless_warriors	all_units_auxiliary	false
			inv_local_umbrian_hillmen	all_units_auxiliary	false
			inv_local_umbrian_spearmen	all_units_auxiliary	false
			inv_local_veneti_raiders	all_units_auxiliary	false
			inv_local_volsci_spearmen	all_units_auxiliary	false
			inv_local_volsci_warriors	all_units_auxiliary	false
light_aux				all_units_auxiliary	false
medium_aux				all_units_auxiliary	false
			dk_mer_nubian_spearmen	all_units_mercenary	false
heavy_merc				all_units_mercenary	false
			inv_mercenary_aequi_swordsmen	all_units_mercenary	false
			inv_mercenary_african_cavalry	all_units_mercenary	false
			inv_mercenary_african_elephants	all_units_mercenary	false
			inv_mercenary_artas'_chosen	all_units_mercenary	false
			inv_mercenary_balearic_slingers	all_units_mercenary	false
			inv_mercenary_ballista	all_units_mercenary	false
			inv_mercenary_brutti_veterans	all_units_mercenary	false
			inv_mercenary_campanian_cavalry	all_units_mercenary	false
			inv_mercenary_carthaginian_hoplites	all_units_mercenary	false
			inv_mercenary_eques	all_units_mercenary	false
			inv_mercenary_etr_archers	all_units_mercenary	false
			inv_mercenary_etruscan_axe_infantry	all_units_mercenary	false
			inv_mercenary_etruscan_hoplites	all_units_mercenary	false
			inv_mercenary_gallic_axe_cavalry	all_units_mercenary	false
			inv_mercenary_gallic_axemen	all_units_mercenary	false
			inv_mercenary_gallic_horsemen	all_units_mercenary	false
			inv_mercenary_hippeus	all_units_mercenary	false
			inv_mercenary_hoplites	all_units_mercenary	false
			inv_mercenary_iberian_cavalry	all_units_mercenary	false
			inv_mercenary_italian_hillmen	all_units_mercenary	false
			inv_mercenary_italian_swordsmen	all_units_mercenary	false
			inv_mercenary_italic_skirmishers	all_units_mercenary	false
			inv_mercenary_latin_warriors	all_units_mercenary	false
			inv_mercenary_ligurian_axe_warriors	all_units_mercenary	false
			inv_mercenary_ligurian_horsemen	all_units_mercenary	false
			inv_mercenary_ligurian_swordsmen	all_units_mercenary	false
			inv_mercenary_lucanian_veterans	all_units_mercenary	false
			inv_mercenary_naked_warriors	all_units_mercenary	false
			inv_mercenary_nuragic_warriors	all_units_mercenary	false
			inv_mercenary_sabine_skirmishers	all_units_mercenary	false
			inv_mercenary_samnite_veterans	all_units_mercenary	false
			inv_mercenary_sardi_bowmen	all_units_mercenary	false
			inv_mercenary_sicilian_slingers	all_units_mercenary	false
			inv_mercenary_sicilian_tribesmen	all_units_mercenary	false
			inv_mercenary_sileraioi_hoplites	all_units_mercenary	false
			inv_mercenary_spartan_hoplites	all_units_mercenary	false
			inv_mercenary_thessalian_cavalry	all_units_mercenary	false
			inv_mercenary_toxotes	all_units_mercenary	false
			inv_mercenary_umbrian_defenders	all_units_mercenary	false
			inv_mercenary_velites	all_units_mercenary	false
			inv_mercenary_veneti_axemen	all_units_mercenary	false
light_merc				all_units_mercenary	false
medium_merc				all_units_mercenary	false
heavy				all_units_regulars	false
light				all_units_regulars	false
medium				all_units_regulars	false
heavy				all_units	false
heavy_aux				all_units	false
heavy_merc				all_units	false
light				all_units	false
light_aux				all_units	false
light_merc				all_units	false
medium				all_units	false
medium_aux				all_units	false
medium_merc				all_units	false
	artillery			artillery_units	false
		shp_art		artillery_units	false
			3c_Ala_Heavy_Assault_Raider	bodyguard_units_admirals	false
			3c_Ala_Medium_Missile_Raider	bodyguard_units_admirals	false
			3c_Ara_Assault_Trieres	bodyguard_units_admirals	false
			3c_Arm_Assault_Tetreres	bodyguard_units_admirals	false
			3c_Arm_Tower_Penteres	bodyguard_units_admirals	false
			3c_Cal_Heavy_Assault_Raider	bodyguard_units_admirals	false
			3c_Cal_Medium_Assault_Raider	bodyguard_units_admirals	false
			3c_Cel_Heavy_Assault_Raider	bodyguard_units_admirals	false
			3c_Eas_Assault_Trieres	bodyguard_units_admirals	false
			3c_Gal_Assault_Quadreme	bodyguard_units_admirals	false
			3c_Ger_Heavy_Assault_Raider	bodyguard_units_admirals	false
			3c_Goth_Heavy_Assault_Raider	bodyguard_units_admirals	false
			3c_Goth_Medium_Missile_Raider	bodyguard_units_admirals	false
			3c_Marc_Heavy_Assault_Raider	bodyguard_units_admirals	false
			3c_Marc_Medium_Missile_Raider	bodyguard_units_admirals	false
			3c_Num_Missile_Trieres	bodyguard_units_admirals	false
			3c_Pal_Assault_Hexeres	bodyguard_units_admirals	false
			3c_Pal_Heavy_Tower_Octeres	bodyguard_units_admirals	false
			3c_Pal_Missile_Hepteres	bodyguard_units_admirals	false
			3c_Per_Assault_Trieres	bodyguard_units_admirals	false
			3c_Rom_Assault_Quadreme	bodyguard_units_admirals	false
			3c_Rom_Missile_Quinquereme	bodyguard_units_admirals	false
			3c_Rom_Tower_Hexareme	bodyguard_units_admirals	false
			3c_Sab_Assault_Trieres	bodyguard_units_admirals	false
			3c_Sas_Assault_Hexeres	bodyguard_units_admirals	false
			3c_Sas_Missile_Penteres	bodyguard_units_admirals	false
			3c_Sax_Heavy_Assault_Raider	bodyguard_units_admirals	false
			3c_Sax_Medium_Missile_Raider	bodyguard_units_admirals	false
			3c_Ste_Missile_Raider	bodyguard_units_admirals	false
			Aet_Sword_Six	bodyguard_units_admirals	false
			Afr_Archers_Five	bodyguard_units_admirals	false
			Afr_Slingers_Three_Scorpio	bodyguard_units_admirals	false
			Afr_Warriors_Six	bodyguard_units_admirals	false
			Bac_Hillmen_Four	bodyguard_units_admirals	false
			Bri_Painted_Heavy_Raider	bodyguard_units_admirals	false
			Bri_Slingers_Medium_Raider	bodyguard_units_admirals	false
			Car_Hoplites_Four	bodyguard_units_admirals	false
			Car_Javelin_Five_Lft_Bow	bodyguard_units_admirals	false
			Car_Javelin_Seven_Scorpio_Hft	bodyguard_units_admirals	false
			Car_Late_Hoplites_Four	bodyguard_units_admirals	false
			Cel_Bowmen_Medium_Raider	bodyguard_units_admirals	false
			Cel_Galatian_Heavy_Raider	bodyguard_units_admirals	false
			Cel_Galatian_Swords_Six	bodyguard_units_admirals	false
			Cel_Oathsworn_Heavy_Raider	bodyguard_units_admirals	false
			Cel_Slingers_Five	bodyguard_units_admirals	false
			Cel_Slingers_Five_Lft_Bow	bodyguard_units_admirals	false
			Cel_Slingers_Medium_Raider	bodyguard_units_admirals	false
			Cel_Slingers_Three_Scorpio	bodyguard_units_admirals	false
			Dac_Bowmen_Five	bodyguard_units_admirals	false
			Dac_Falxmen_Raider	bodyguard_units_admirals	false
			Eas_Archers_Five_Dbl_Scorpio	bodyguard_units_admirals	false
			Eas_Archers_Five_Lft_Bow	bodyguard_units_admirals	false
			Eas_Ballista_Five	bodyguard_units_admirals	false
			Eas_Elite_Archers_Six_Lft_Aft	bodyguard_units_admirals	false
			Eas_Per_Archers_Five_Dbl_Scorpio	bodyguard_units_admirals	false
			Eas_Per_Archers_Five_Lft_Bow	bodyguard_units_admirals	false
			Egy_Archers_Five_Lft_Bow	bodyguard_units_admirals	false
			Egy_Infantry_Eight_Dbl_Hft	bodyguard_units_admirals	false
			Egy_Karian_Six	bodyguard_units_admirals	false
			Emp_Rom_Vet_Legionaries_Lft_Aft	bodyguard_units_admirals	false
			Ger_Longbow_Medium_Raider	bodyguard_units_admirals	false
			Ger_Sword_Heavy_Raider	bodyguard_units_admirals	false
			Gre_Archers_Five_Dbl_Scorpio	bodyguard_units_admirals	false
			Gre_Archers_Five_Lft_Bow	bodyguard_units_admirals	false
			Gre_Archers_Seven_Scorpio_Hft	bodyguard_units_admirals	false
			Gre_Axemen_Six	bodyguard_units_admirals	false
			Gre_Cimmerian_Archers_Seven	bodyguard_units_admirals	false
			Gre_Hel_Slingers_Three_Scorpio	bodyguard_units_admirals	false
			Gre_Hoplites_Four	bodyguard_units_admirals	false
			Gre_Royal_Pel_Six	bodyguard_units_admirals	false
			Gre_Scythian_Hoplites_Six	bodyguard_units_admirals	false
			Gre_Slingers_Three_Scorpio	bodyguard_units_admirals	false
			Gre_Spartan_Six	bodyguard_units_admirals	false
			Gre_Thorax_Six	bodyguard_units_admirals	false
			Gre_Thureos_Four	bodyguard_units_admirals	false
			Ibe_Lusitani_Nobles_Raider	bodyguard_units_admirals	false
			Ibe_Noble_Fighters_Raider	bodyguard_units_admirals	false
			Ibe_Skirm_Medium_Raider	bodyguard_units_admirals	false
			Ibe_Sword_Medium_Raider	bodyguard_units_admirals	false
			Ill_Slingers_Three_Scorpio	bodyguard_units_admirals	false
			Ill_Thureos_Six	bodyguard_units_admirals	false
			Ita_Levy_Three_Scorpio	bodyguard_units_admirals	false
			Ita_Sword_Six	bodyguard_units_admirals	false
			Num_Noble_Six	bodyguard_units_admirals	false
			Rom_Ballista_Five	bodyguard_units_admirals	false
			Rom_Evocati_Six_Lft_Aft	bodyguard_units_admirals	false
			Rom_Legionaries_Four	bodyguard_units_admirals	false
			Rom_Legionary_Cohort_Four	bodyguard_units_admirals	false
			Rom_Principes_Four	bodyguard_units_admirals	false
			Rom_Triarii_Six	bodyguard_units_admirals	false
			Rom_Triarii_Six_Lft_Aft	bodyguard_units_admirals	false
			Rom_Vet_Legionaries_Lft_Aft	bodyguard_units_admirals	false
			Rom_Vet_Legionaries_Six	bodyguard_units_admirals	false
			Ste_Archers_Medium_Raider	bodyguard_units_admirals	false
			Ste_Spear_Heavy_Raider	bodyguard_units_admirals	false
			Thr_Bowmen_Five	bodyguard_units_admirals	false
			Thr_Nobles_Heavy_Raider	bodyguard_units_admirals	false
			Thr_Slingers_Medium_Raider	bodyguard_units_admirals	false
			Thr_Warriors_Raider	bodyguard_units_admirals	false
			inv_app_greek_two_app_hoplites	bodyguard_units_admirals	false
			inv_car_greek_four_sacred_band	bodyguard_units_admirals	false
			inv_etr_four_assault_greek_etruscan_heavy_hoplites	bodyguard_units_admirals	false
			inv_etr_gre_five_etruscan_archers	bodyguard_units_admirals	false
			inv_gre_Ballista_greek_onager_five	bodyguard_units_admirals	false
			inv_gre_five_tarantine_peltasts	bodyguard_units_admirals	false
			inv_gre_four_assault_greek_hoplites	bodyguard_units_admirals	false
			inv_ill_barbarian_raider_melee_nobles	bodyguard_units_admirals	false
			inv_iol_medium_assault_raider_sherden_swordsmen	bodyguard_units_admirals	false
			inv_iol_medium_missile_raider_noble_sardi_archers	bodyguard_units_admirals	false
			inv_ita_medium_raider_veteran_swordsmen	bodyguard_units_admirals	false
			inv_rom_medium_assault_raider_triarii	bodyguard_units_admirals	false
			inv_rom_medium_assault_raider_veteran_centuriae	bodyguard_units_admirals	false
			inv_sam_medium_assault_raider_silver_infantryman	bodyguard_units_admirals	false
			inv_sen_medium_assault_raider_gallic_elder_swordsmen	bodyguard_units_admirals	false
			inv_sen_medium_assault_raider_noble_swordsmen	bodyguard_units_admirals	false
			inv_syr_four_assault_greek_elite_hoplites	bodyguard_units_admirals	false
			inv_tar_four_assault_greek_tarantine_hoplites	bodyguard_units_admirals	false
			inv_ven_medium_assault_raider_noble_veneti_swordsmen	bodyguard_units_admirals	false
			3c_Ala_Alani_Royal_Horses	bodyguard_units_generals	false
			3c_Ala_Noble_Steppe_Cataphracts	bodyguard_units_generals	false
			3c_Ala_Steppe_Cataphract_Archers	bodyguard_units_generals	false
			3c_Ara_Arabian_Camel_Archers	bodyguard_units_generals	false
			3c_Ara_Arabian_Nobles	bodyguard_units_generals	false
			3c_Arm_Azat_Guard	bodyguard_units_generals	false
			3c_Arm_Azat_Knights	bodyguard_units_generals	false
			3c_Arm_Noble_Armenian_Archers	bodyguard_units_generals	false
			3c_Arm_Noble_Cataphracts	bodyguard_units_generals	false
			3c_Arm_Noble_Horse_Archers	bodyguard_units_generals	false
			3c_Cal_Armoured_Chariots	bodyguard_units_generals	false
			3c_Cal_Caledonian_Heroic_Riders	bodyguard_units_generals	false
			3c_Cal_Caledonian_Oathsworn	bodyguard_units_generals	false
			3c_Cel_Celtic_Nobles	bodyguard_units_generals	false
			3c_Cel_Chariots	bodyguard_units_generals	false
			3c_Eas_Eastern_Cataphracts	bodyguard_units_generals	false
			3c_Eas_Eastern_Nobles	bodyguard_units_generals	false
			3c_Gal_Armoured_Chariots	bodyguard_units_generals	false
			3c_Gal_Gallic_Imperial_Guard	bodyguard_units_generals	false
			3c_Ger_Armoured_Germanic_Swordsmen	bodyguard_units_generals	false
			3c_Ger_Germanic_Nobles	bodyguard_units_generals	false
			3c_Goth_Greuthungi_Elite_Spears	bodyguard_units_generals	false
			3c_Goth_Greuthungi_Lancers	bodyguard_units_generals	false
			3c_Goth_Greuthungi_Noble_Cavalry	bodyguard_units_generals	false
			3c_Goth_Tervingi_Oathsworn	bodyguard_units_generals	false
			3c_Marc_Germanic_Noble_Guard	bodyguard_units_generals	false
			3c_Marc_Wodanaz_Spears	bodyguard_units_generals	false
			3c_Num_Numidian_Noble_Cavalry	bodyguard_units_generals	false
			3c_Pal_Imperial_Palmyrene_Cataphracts	bodyguard_units_generals	false
			3c_Pal_Imperial_Pikemen	bodyguard_units_generals	false
			3c_Pal_Palmyrene_Palace_Guard	bodyguard_units_generals	false
			3c_Pal_Scythed_Chariots	bodyguard_units_generals	false
			3c_Per_Persian_Cataphracts	bodyguard_units_generals	false
			3c_Per_Persian_Nobles	bodyguard_units_generals	false
			3c_Rom_Equites_Catafractarii	bodyguard_units_generals	false
			3c_Rom_Equites_Scutarii	bodyguard_units_generals	false
			3c_Rom_Evocati_Cohort	bodyguard_units_generals	false
			3c_Rom_Praetorian_Cavalry	bodyguard_units_generals	false
			3c_Rom_Roman_Legionary_Cavalry	bodyguard_units_generals	false
			3c_Sab_Sabean_Cavalry	bodyguard_units_generals	false
			3c_Sas_Armoured_Indian_War_Elephants	bodyguard_units_generals	false
			3c_Sas_Gyan_Avspar	bodyguard_units_generals	false
			Aet_Cav	bodyguard_units_generals	false
			Aet_Sword	bodyguard_units_generals	false
			Afr_Chariot_Raiders	bodyguard_units_generals	false
			Afr_Elephants	bodyguard_units_generals	false
			Afr_Large_Shield_Warriors	bodyguard_units_generals	false
			Afr_Numidian_Noble_Cav	bodyguard_units_generals	false
			Afr_War_Elephants	bodyguard_units_generals	false
			Ara_Noble_Sword	bodyguard_units_generals	false
			Bac_Horse_Archers	bodyguard_units_generals	false
			Bac_Royal_Cav	bodyguard_units_generals	false
			Bac_Royal_Guard	bodyguard_units_generals	false
			Bri_Chariots	bodyguard_units_generals	false
			Bri_Heroic_Nobles	bodyguard_units_generals	false
			Bri_Heroic_Riders	bodyguard_units_generals	false
			Car_General	bodyguard_units_generals	false
			Cel_Galatian_Noblemen	bodyguard_units_generals	false
			Cel_Noble_Horse	bodyguard_units_generals	false
			Cel_Oathsworn	bodyguard_units_generals	false
			Cel_Spear_Nobles	bodyguard_units_generals	false
			Dac_Noble_Horsemen	bodyguard_units_generals	false
			Dac_Noble_Spears	bodyguard_units_generals	false
			Dac_Noble_Swords	bodyguard_units_generals	false
			Eas_Axemen	bodyguard_units_generals	false
			Eas_Bithynian_Infantry	bodyguard_units_generals	false
			Eas_Cappadocian_Cav	bodyguard_units_generals	false
			Eas_Elite_Persian_Archers	bodyguard_units_generals	false
			Eas_Kartli_Axemen	bodyguard_units_generals	false
			Eas_Median_Cav	bodyguard_units_generals	false
			Eas_Noble_Blood_Cav	bodyguard_units_generals	false
			Eas_Noble_Horse_Archers	bodyguard_units_generals	false
			Eas_Noble_Spear	bodyguard_units_generals	false
			Eas_Persian_Cavalry	bodyguard_units_generals	false
			Eas_Pontic_Sword	bodyguard_units_generals	false
			Eas_Royal_Cataphracts	bodyguard_units_generals	false
			Egy_Cav	bodyguard_units_generals	false
			Egy_Galatian_Royal_Guard	bodyguard_units_generals	false
			Egy_Pike	bodyguard_units_generals	false
			Ger_Noble_Riders	bodyguard_units_generals	false
			Ger_Sword_Masters	bodyguard_units_generals	false
			Ger_Wodanaz_Spears	bodyguard_units_generals	false
			Gre_Agema_Cav	bodyguard_units_generals	false
			Gre_Agema_Spears	bodyguard_units_generals	false
			Gre_Bronze_Shield_Pike	bodyguard_units_generals	false
			Gre_Cimmerian_Noble_Infantry	bodyguard_units_generals	false
			Gre_Citizen_Cav	bodyguard_units_generals	false
			Gre_Colchian_Nobles	bodyguard_units_generals	false
			Gre_Companion_Cav	bodyguard_units_generals	false
			Gre_Foot_Companions	bodyguard_units_generals	false
			Gre_Hellenic_Cataphracts	bodyguard_units_generals	false
