religion_a	religion_b	relations_modifier	religious_unhappiness_modifier
3c_mithraic	rom_religion_makedonian	0	0.0500
3c_mithraic	rom_religion_nomadic	0	0.0500
3c_mithraic	rom_religion_other_greek	0	0.0500
3c_mithraic	rom_religion_persian	0	0.0500
3c_mithraic	rom_religion_punic	0	0.0500
rom_religion_african_arabian	rom_religion_african_arabian	0	0.0000
rom_religion_african_arabian	rom_religion_aiolian	0	0.0500
rom_religion_african_arabian	rom_religion_akaian	0	0.0500
rom_religion_african_arabian	rom_religion_balkan	0	0.2000
rom_religion_african_arabian	rom_religion_barbarian	0	0.0500
rom_religion_african_arabian	rom_religion_celtic	0	0.2000
rom_religion_african_arabian	rom_religion_dorian	0	0.0500
rom_religion_african_arabian	rom_religion_eastern	0	0.2000
rom_religion_african_arabian	rom_religion_etruscan	0	0.0500
rom_religion_african_arabian	rom_religion_germanic	0	0.2000
rom_religion_african_arabian	rom_religion_hellenic	0	0.2000
rom_religion_african_arabian	rom_religion_iapygian	0	0.0500
rom_religion_african_arabian	rom_religion_iberian	0	0.2000
rom_religion_african_arabian	rom_religion_ionian	0	0.0500
rom_religion_african_arabian	rom_religion_italian	0	0.2000
rom_religion_african_arabian	rom_religion_latin	0	0.2000
rom_religion_african_arabian	rom_religion_makedonian	0	0.0500
rom_religion_african_arabian	rom_religion_nomadic	0	0.2000
rom_religion_african_arabian	rom_religion_nuragic	0	0.1000
rom_religion_african_arabian	rom_religion_other_greek	0	0.0500
rom_religion_african_arabian	rom_religion_persian	0	0.0500
rom_religion_african_arabian	rom_religion_punic	0	0.2000
rom_religion_aiolian	rom_religion_african_arabian	0	0.0500
rom_religion_aiolian	rom_religion_aiolian	20	0.0000
rom_religion_aiolian	rom_religion_akaian	0	0.0500
rom_religion_aiolian	rom_religion_balkan	0	0.0500
rom_religion_aiolian	rom_religion_barbarian	0	0.2000
rom_religion_aiolian	rom_religion_celtic	0	0.0500
rom_religion_aiolian	rom_religion_dorian	0	0.0500
rom_religion_aiolian	rom_religion_eastern	0	0.0500
rom_religion_aiolian	rom_religion_etruscan	0	0.0500
rom_religion_aiolian	rom_religion_germanic	0	0.0500
rom_religion_aiolian	rom_religion_hellenic	0	0.0500
rom_religion_aiolian	rom_religion_iapygian	0	0.0500
rom_religion_aiolian	rom_religion_iberian	0	0.0500
rom_religion_aiolian	rom_religion_ionian	0	0.0500
rom_religion_aiolian	rom_religion_italian	0	0.0500
rom_religion_aiolian	rom_religion_latin	0	0.0500
rom_religion_aiolian	rom_religion_makedonian	0	0.0500
rom_religion_aiolian	rom_religion_nomadic	0	0.0500
rom_religion_aiolian	rom_religion_nuragic	0	0.1000
rom_religion_aiolian	rom_religion_other_greek	0	0.0500
rom_religion_aiolian	rom_religion_persian	0	0.2000
rom_religion_aiolian	rom_religion_punic	0	0.0500
rom_religion_akaian	rom_religion_african_arabian	0	0.0500
rom_religion_akaian	rom_religion_aiolian	0	0.0500
rom_religion_akaian	rom_religion_akaian	20	0.0000
rom_religion_akaian	rom_religion_balkan	0	0.0500
rom_religion_akaian	rom_religion_barbarian	0	0.2000
rom_religion_akaian	rom_religion_celtic	0	0.0500
rom_religion_akaian	rom_religion_dorian	0	0.0500
rom_religion_akaian	rom_religion_eastern	0	0.0500
rom_religion_akaian	rom_religion_etruscan	0	0.0500
rom_religion_akaian	rom_religion_germanic	0	0.0500
rom_religion_akaian	rom_religion_hellenic	0	0.0500
rom_religion_akaian	rom_religion_iapygian	0	0.0500
rom_religion_akaian	rom_religion_iberian	0	0.0500
rom_religion_akaian	rom_religion_ionian	0	0.0500
rom_religion_akaian	rom_religion_italian	0	0.0500
rom_religion_akaian	rom_religion_latin	0	0.0500
rom_religion_akaian	rom_religion_makedonian	0	0.0500
rom_religion_akaian	rom_religion_nomadic	0	0.0500
rom_religion_akaian	rom_religion_nuragic	0	0.1000
rom_religion_akaian	rom_religion_other_greek	0	0.0500
rom_religion_akaian	rom_religion_persian	0	0.2000
rom_religion_akaian	rom_religion_punic	0	0.0500
rom_religion_balkan	rom_religion_african_arabian	0	0.2000
rom_religion_balkan	rom_religion_aiolian	0	0.0500
rom_religion_balkan	rom_religion_akaian	0	0.0500
rom_religion_balkan	rom_religion_balkan	0	0.0000
rom_religion_balkan	rom_religion_barbarian	0	0.0500
rom_religion_balkan	rom_religion_celtic	0	0.2000
rom_religion_balkan	rom_religion_dorian	0	0.0500
rom_religion_balkan	rom_religion_eastern	0	0.2000
rom_religion_balkan	rom_religion_etruscan	0	0.0500
rom_religion_balkan	rom_religion_germanic	0	0.2000
rom_religion_balkan	rom_religion_hellenic	0	0.2000
rom_religion_balkan	rom_religion_iapygian	0	0.0500
rom_religion_balkan	rom_religion_iberian	0	0.2000
rom_religion_balkan	rom_religion_ionian	0	0.0500
rom_religion_balkan	rom_religion_italian	0	0.2000
rom_religion_balkan	rom_religion_latin	0	0.2000
rom_religion_balkan	rom_religion_makedonian	0	0.0500
rom_religion_balkan	rom_religion_nomadic	0	0.2000
rom_religion_balkan	rom_religion_nuragic	0	0.1000
rom_religion_balkan	rom_religion_other_greek	0	0.0500
rom_religion_balkan	rom_religion_persian	0	0.0500
rom_religion_balkan	rom_religion_punic	0	0.2000
rom_religion_barbarian	rom_religion_african_arabian	0	0.0500
rom_religion_barbarian	rom_religion_aiolian	0	0.2000
rom_religion_barbarian	rom_religion_akaian	0	0.2000
rom_religion_barbarian	rom_religion_balkan	0	0.0500
rom_religion_barbarian	rom_religion_barbarian	20	0.0000
rom_religion_barbarian	rom_religion_celtic	0	0.0500
rom_religion_barbarian	rom_religion_dorian	0	0.2000
rom_religion_barbarian	rom_religion_eastern	0	0.0500
rom_religion_barbarian	rom_religion_etruscan	0	0.0500
rom_religion_barbarian	rom_religion_germanic	0	0.0500
rom_religion_barbarian	rom_religion_hellenic	0	0.0500
rom_religion_barbarian	rom_religion_iapygian	0	0.0500
rom_religion_barbarian	rom_religion_iberian	0	0.0500
rom_religion_barbarian	rom_religion_ionian	0	0.2000
rom_religion_barbarian	rom_religion_italian	0	0.0500
rom_religion_barbarian	rom_religion_latin	0	0.0500
rom_religion_barbarian	rom_religion_makedonian	0	0.2000
rom_religion_barbarian	rom_religion_nomadic	0	0.0500
rom_religion_barbarian	rom_religion_nuragic	0	0.1000
rom_religion_barbarian	rom_religion_other_greek	0	0.2000
rom_religion_barbarian	rom_religion_persian	0	0.2000
rom_religion_barbarian	rom_religion_punic	0	0.0500
rom_religion_celtic	rom_religion_african_arabian	0	0.2000
rom_religion_celtic	rom_religion_aiolian	0	0.0500
rom_religion_celtic	rom_religion_akaian	0	0.0500
rom_religion_celtic	rom_religion_balkan	0	0.2000
rom_religion_celtic	rom_religion_barbarian	0	0.0500
rom_religion_celtic	rom_religion_celtic	0	0.0000
rom_religion_celtic	rom_religion_dorian	0	0.0500
rom_religion_celtic	rom_religion_eastern	0	0.2000
rom_religion_celtic	rom_religion_etruscan	0	0.1000
rom_religion_celtic	rom_religion_germanic	0	0.2000
rom_religion_celtic	rom_religion_hellenic	0	0.2000
rom_religion_celtic	rom_religion_iapygian	0	0.0500
rom_religion_celtic	rom_religion_iberian	0	0.2000
rom_religion_celtic	rom_religion_ionian	0	0.0500
rom_religion_celtic	rom_religion_italian	0	0.1000
rom_religion_celtic	rom_religion_latin	0	0.2000
rom_religion_celtic	rom_religion_makedonian	0	0.0500
rom_religion_celtic	rom_religion_nomadic	0	0.2000
rom_religion_celtic	rom_religion_nuragic	0	0.1000
rom_religion_celtic	rom_religion_other_greek	0	0.0500
rom_religion_celtic	rom_religion_persian	0	0.0500
rom_religion_celtic	rom_religion_punic	0	0.2000
rom_religion_dorian	rom_religion_african_arabian	0	0.0500
rom_religion_dorian	rom_religion_aiolian	0	0.0500
rom_religion_dorian	rom_religion_akaian	0	0.0500
rom_religion_dorian	rom_religion_balkan	0	0.0500
rom_religion_dorian	rom_religion_barbarian	0	0.2000
rom_religion_dorian	rom_religion_celtic	0	0.0500
rom_religion_dorian	rom_religion_dorian	20	0.0000
rom_religion_dorian	rom_religion_eastern	0	0.0500
rom_religion_dorian	rom_religion_etruscan	0	0.0500
rom_religion_dorian	rom_religion_germanic	0	0.0500
rom_religion_dorian	rom_religion_hellenic	0	0.0500
rom_religion_dorian	rom_religion_iapygian	0	0.0500
rom_religion_dorian	rom_religion_iberian	0	0.0500
rom_religion_dorian	rom_religion_ionian	0	0.0500
rom_religion_dorian	rom_religion_italian	0	0.0500
rom_religion_dorian	rom_religion_latin	0	0.0500
rom_religion_dorian	rom_religion_makedonian	0	0.0500
rom_religion_dorian	rom_religion_nomadic	0	0.0500
rom_religion_dorian	rom_religion_nuragic	0	0.1000
rom_religion_dorian	rom_religion_other_greek	0	0.0500
rom_religion_dorian	rom_religion_persian	0	0.2000
rom_religion_dorian	rom_religion_punic	0	0.0500
rom_religion_eastern	rom_religion_african_arabian	0	0.2000
rom_religion_eastern	rom_religion_aiolian	0	0.0500
rom_religion_eastern	rom_religion_akaian	0	0.0500
rom_religion_eastern	rom_religion_balkan	0	0.2000
rom_religion_eastern	rom_religion_barbarian	0	0.0500
rom_religion_eastern	rom_religion_celtic	0	0.2000
rom_religion_eastern	rom_religion_dorian	0	0.0500
rom_religion_eastern	rom_religion_eastern	0	0.0000
rom_religion_eastern	rom_religion_etruscan	0	0.0500
rom_religion_eastern	rom_religion_germanic	0	0.2000
rom_religion_eastern	rom_religion_hellenic	0	0.2000
rom_religion_eastern	rom_religion_iapygian	0	0.0500
rom_religion_eastern	rom_religion_iberian	0	0.2000
rom_religion_eastern	rom_religion_ionian	0	0.0500
rom_religion_eastern	rom_religion_italian	0	0.2000
rom_religion_eastern	rom_religion_latin	0	0.2000
rom_religion_eastern	rom_religion_makedonian	0	0.0500
rom_religion_eastern	rom_religion_nomadic	0	0.2000
rom_religion_eastern	rom_religion_nuragic	0	0.1000
rom_religion_eastern	rom_religion_other_greek	0	0.0500
rom_religion_eastern	rom_religion_persian	0	0.0500
rom_religion_eastern	rom_religion_punic	0	0.2000
rom_religion_etruscan	rom_religion_african_arabian	0	0.0500
rom_religion_etruscan	rom_religion_aiolian	0	0.0500
rom_religion_etruscan	rom_religion_akaian	0	0.0500
rom_religion_etruscan	rom_religion_balkan	0	0.0500
rom_religion_etruscan	rom_religion_barbarian	0	0.0500
rom_religion_etruscan	rom_religion_celtic	0	0.1000
rom_religion_etruscan	rom_religion_dorian	0	0.0500
rom_religion_etruscan	rom_religion_eastern	0	0.0500
rom_religion_etruscan	rom_religion_etruscan	0	0.0000
rom_religion_etruscan	rom_religion_germanic	0	0.0500
rom_religion_etruscan	rom_religion_hellenic	0	0.0500
rom_religion_etruscan	rom_religion_iapygian	0	0.0500
rom_religion_etruscan	rom_religion_iberian	0	0.0500
rom_religion_etruscan	rom_religion_ionian	0	0.0500
rom_religion_etruscan	rom_religion_italian	0	0.0500
rom_religion_etruscan	rom_religion_latin	0	0.0500
rom_religion_etruscan	rom_religion_makedonian	0	0.0500
rom_religion_etruscan	rom_religion_nomadic	0	0.0500
rom_religion_etruscan	rom_religion_nuragic	0	0.1000
rom_religion_etruscan	rom_religion_other_greek	0	0.0500
rom_religion_etruscan	rom_religion_persian	0	0.0500
rom_religion_etruscan	rom_religion_punic	0	0.0500
rom_religion_germanic	rom_religion_african_arabian	0	0.2000
rom_religion_germanic	rom_religion_aiolian	0	0.0500
rom_religion_germanic	rom_religion_akaian	0	0.0500
rom_religion_germanic	rom_religion_balkan	0	0.2000
rom_religion_germanic	rom_religion_barbarian	0	0.0500
rom_religion_germanic	rom_religion_celtic	0	0.2000
rom_religion_germanic	rom_religion_dorian	0	0.0500
rom_religion_germanic	rom_religion_eastern	0	0.2000
rom_religion_germanic	rom_religion_etruscan	0	0.0500
rom_religion_germanic	rom_religion_germanic	0	0.0000
rom_religion_germanic	rom_religion_hellenic	0	0.2000
rom_religion_germanic	rom_religion_iapygian	0	0.0500
rom_religion_germanic	rom_religion_iberian	0	0.2000
rom_religion_germanic	rom_religion_ionian	0	0.0500
rom_religion_germanic	rom_religion_italian	0	0.2000
rom_religion_germanic	rom_religion_latin	0	0.2000
rom_religion_germanic	rom_religion_makedonian	0	0.0500
rom_religion_germanic	rom_religion_nomadic	0	0.2000
rom_religion_germanic	rom_religion_nuragic	0	0.1000
rom_religion_germanic	rom_religion_other_greek	0	0.0500
rom_religion_germanic	rom_religion_persian	0	0.0500
rom_religion_germanic	rom_religion_punic	0	0.2000
rom_religion_hellenic	rom_religion_african_arabian	0	0.2000
rom_religion_hellenic	rom_religion_aiolian	0	0.0500
rom_religion_hellenic	rom_religion_akaian	0	0.0500
rom_religion_hellenic	rom_religion_balkan	0	0.2000
rom_religion_hellenic	rom_religion_barbarian	0	0.0500
rom_religion_hellenic	rom_religion_celtic	0	0.2000
rom_religion_hellenic	rom_religion_dorian	0	0.0500
rom_religion_hellenic	rom_religion_eastern	0	0.2000
rom_religion_hellenic	rom_religion_etruscan	0	0.0500
rom_religion_hellenic	rom_religion_germanic	0	0.2000
rom_religion_hellenic	rom_religion_hellenic	0	0.0000
rom_religion_hellenic	rom_religion_iapygian	0	0.0500
rom_religion_hellenic	rom_religion_iberian	0	0.2000
rom_religion_hellenic	rom_religion_ionian	0	0.0500
rom_religion_hellenic	rom_religion_italian	0	0.2000
rom_religion_hellenic	rom_religion_latin	0	0.2000
rom_religion_hellenic	rom_religion_makedonian	0	0.0500
rom_religion_hellenic	rom_religion_nomadic	0	0.2000
rom_religion_hellenic	rom_religion_nuragic	0	0.1000
rom_religion_hellenic	rom_religion_other_greek	0	0.0500
rom_religion_hellenic	rom_religion_persian	0	0.0500
rom_religion_hellenic	rom_religion_punic	0	0.2000
rom_religion_iapygian	rom_religion_african_arabian	0	0.0500
rom_religion_iapygian	rom_religion_aiolian	0	0.0500
rom_religion_iapygian	rom_religion_akaian	0	0.0500
rom_religion_iapygian	rom_religion_balkan	0	0.0500
rom_religion_iapygian	rom_religion_barbarian	0	0.0500
rom_religion_iapygian	rom_religion_celtic	0	0.0500
rom_religion_iapygian	rom_religion_dorian	0	0.0500
rom_religion_iapygian	rom_religion_eastern	0	0.0500
rom_religion_iapygian	rom_religion_etruscan	0	0.0500
rom_religion_iapygian	rom_religion_germanic	0	0.0500
rom_religion_iapygian	rom_religion_hellenic	0	0.2000
rom_religion_iapygian	rom_religion_iapygian	0	0.0000
rom_religion_iapygian	rom_religion_iberian	0	0.0500
rom_religion_iapygian	rom_religion_ionian	0	0.0500
rom_religion_iapygian	rom_religion_italian	0	0.0500
rom_religion_iapygian	rom_religion_latin	0	0.0500
rom_religion_iapygian	rom_religion_makedonian	0	0.0500
rom_religion_iapygian	rom_religion_nomadic	0	0.0500
rom_religion_iapygian	rom_religion_nuragic	0	0.1000
rom_religion_iapygian	rom_religion_other_greek	0	0.0500
rom_religion_iapygian	rom_religion_persian	0	0.0500
rom_religion_iapygian	rom_religion_punic	0	0.2000
rom_religion_iberian	rom_religion_african_arabian	0	0.2000
rom_religion_iberian	rom_religion_aiolian	0	0.0500
rom_religion_iberian	rom_religion_akaian	0	0.0500
rom_religion_iberian	rom_religion_balkan	0	0.2000
rom_religion_iberian	rom_religion_barbarian	0	0.0500
rom_religion_iberian	rom_religion_celtic	0	0.2000
rom_religion_iberian	rom_religion_dorian	0	0.0500
rom_religion_iberian	rom_religion_eastern	0	0.2000
rom_religion_iberian	rom_religion_etruscan	0	0.0500
rom_religion_iberian	rom_religion_germanic	0	0.2000
rom_religion_iberian	rom_religion_hellenic	0	0.2000
rom_religion_iberian	rom_religion_iapygian	0	0.0500
rom_religion_iberian	rom_religion_iberian	0	0.0000
rom_religion_iberian	rom_religion_ionian	0	0.0500
rom_religion_iberian	rom_religion_italian	0	0.2000
rom_religion_iberian	rom_religion_latin	0	0.2000
rom_religion_iberian	rom_religion_makedonian	0	0.0500
rom_religion_iberian	rom_religion_nomadic	0	0.2000
rom_religion_iberian	rom_religion_nuragic	0	0.1000
rom_religion_iberian	rom_religion_other_greek	0	0.0500
rom_religion_iberian	rom_religion_persian	0	0.0500
rom_religion_iberian	rom_religion_punic	0	0.2000
rom_religion_ionian	rom_religion_african_arabian	0	0.0500
rom_religion_ionian	rom_religion_aiolian	0	0.0500
rom_religion_ionian	rom_religion_akaian	0	0.0500
rom_religion_ionian	rom_religion_balkan	0	0.0500
rom_religion_ionian	rom_religion_barbarian	0	0.2000
rom_religion_ionian	rom_religion_celtic	0	0.0500
rom_religion_ionian	rom_religion_dorian	0	0.0500
rom_religion_ionian	rom_religion_eastern	0	0.0500
rom_religion_ionian	rom_religion_etruscan	0	0.0500
rom_religion_ionian	rom_religion_germanic	0	0.0500
rom_religion_ionian	rom_religion_hellenic	0	0.0500
rom_religion_ionian	rom_religion_iapygian	0	0.0500
rom_religion_ionian	rom_religion_iberian	0	0.0500
rom_religion_ionian	rom_religion_ionian	20	0.0000
rom_religion_ionian	rom_religion_italian	0	0.0500
rom_religion_ionian	rom_religion_latin	0	0.0500
rom_religion_ionian	rom_religion_makedonian	0	0.0500
rom_religion_ionian	rom_religion_nomadic	0	0.0500
rom_religion_ionian	rom_religion_nuragic	0	0.1000
rom_religion_ionian	rom_religion_other_greek	0	0.0500
rom_religion_ionian	rom_religion_persian	0	0.2000
rom_religion_ionian	rom_religion_punic	0	0.0500
rom_religion_italian	rom_religion_african_arabian	0	0.2000
rom_religion_italian	rom_religion_aiolian	0	0.0500
rom_religion_italian	rom_religion_akaian	0	0.0500
rom_religion_italian	rom_religion_balkan	0	0.2000
rom_religion_italian	rom_religion_barbarian	0	0.0500
rom_religion_italian	rom_religion_celtic	0	0.1000
rom_religion_italian	rom_religion_dorian	0	0.0500
rom_religion_italian	rom_religion_eastern	0	0.2000
rom_religion_italian	rom_religion_etruscan	0	0.0500
rom_religion_italian	rom_religion_germanic	0	0.2000
rom_religion_italian	rom_religion_hellenic	0	0.2000
rom_religion_italian	rom_religion_iapygian	0	0.0500
rom_religion_italian	rom_religion_iberian	0	0.2000
rom_religion_italian	rom_religion_ionian	0	0.0500
rom_religion_italian	rom_religion_italian	0	0.0000
rom_religion_italian	rom_religion_latin	0	0.2000
rom_religion_italian	rom_religion_makedonian	0	0.0500
rom_religion_italian	rom_religion_nomadic	0	0.2000
rom_religion_italian	rom_religion_nuragic	0	0.1000
rom_religion_italian	rom_religion_other_greek	0	0.0500
rom_religion_italian	rom_religion_persian	0	0.0500
rom_religion_italian	rom_religion_punic	0	0.2000
rom_religion_latin	rom_religion_african_arabian	0	0.2000
rom_religion_latin	rom_religion_aiolian	0	0.0500
rom_religion_latin	rom_religion_akaian	0	0.0500
rom_religion_latin	rom_religion_balkan	0	0.2000
rom_religion_latin	rom_religion_barbarian	0	0.0500
rom_religion_latin	rom_religion_celtic	0	0.2000
rom_religion_latin	rom_religion_dorian	0	0.0500
rom_religion_latin	rom_religion_eastern	0	0.2000
rom_religion_latin	rom_religion_etruscan	0	0.0500
rom_religion_latin	rom_religion_germanic	0	0.2000
rom_religion_latin	rom_religion_hellenic	0	0.2000
rom_religion_latin	rom_religion_iapygian	0	0.0500
rom_religion_latin	rom_religion_iberian	0	0.2000
rom_religion_latin	rom_religion_ionian	0	0.0500
rom_religion_latin	rom_religion_italian	0	0.2000
rom_religion_latin	rom_religion_latin	0	0.0000
rom_religion_latin	rom_religion_makedonian	0	0.0500
rom_religion_latin	rom_religion_nomadic	0	0.2000
rom_religion_latin	rom_religion_nuragic	0	0.1000
rom_religion_latin	rom_religion_other_greek	0	0.0500
rom_religion_latin	rom_religion_persian	0	0.0500
rom_religion_latin	rom_religion_punic	0	0.2000
rom_religion_makedonian	rom_religion_african_arabian	0	0.0500
rom_religion_makedonian	rom_religion_aiolian	0	0.0500
rom_religion_makedonian	rom_religion_akaian	0	0.0500
rom_religion_makedonian	rom_religion_balkan	0	0.0500
rom_religion_makedonian	rom_religion_barbarian	0	0.2000
rom_religion_makedonian	rom_religion_celtic	0	0.0500
rom_religion_makedonian	rom_religion_dorian	0	0.0500
rom_religion_makedonian	rom_religion_eastern	0	0.0500
rom_religion_makedonian	rom_religion_etruscan	0	0.0500
rom_religion_makedonian	rom_religion_germanic	0	0.0500
rom_religion_makedonian	rom_religion_hellenic	0	0.0500
rom_religion_makedonian	rom_religion_iapygian	0	0.0500
rom_religion_makedonian	rom_religion_iberian	0	0.0500
rom_religion_makedonian	rom_religion_ionian	0	0.0500
rom_religion_makedonian	rom_religion_italian	0	0.0500
rom_religion_makedonian	rom_religion_latin	0	0.0500
rom_religion_makedonian	rom_religion_makedonian	20	0.0000
rom_religion_makedonian	rom_religion_nomadic	0	0.0500
rom_religion_makedonian	rom_religion_nuragic	0	0.1000
rom_religion_makedonian	rom_religion_other_greek	0	0.0500
rom_religion_makedonian	rom_religion_persian	0	0.2000
rom_religion_makedonian	rom_religion_punic	0	0.0500
rom_religion_nomadic	rom_religion_african_arabian	0	0.2000
rom_religion_nomadic	rom_religion_aiolian	0	0.0500
rom_religion_nomadic	rom_religion_akaian	0	0.0500
rom_religion_nomadic	rom_religion_balkan	0	0.2000
rom_religion_nomadic	rom_religion_barbarian	0	0.0500
rom_religion_nomadic	rom_religion_celtic	0	0.2000
rom_religion_nomadic	rom_religion_dorian	0	0.0500
rom_religion_nomadic	rom_religion_eastern	0	0.2000
rom_religion_nomadic	rom_religion_etruscan	0	0.0500
rom_religion_nomadic	rom_religion_germanic	0	0.2000
rom_religion_nomadic	rom_religion_hellenic	0	0.2000
rom_religion_nomadic	rom_religion_iapygian	0	0.0500
rom_religion_nomadic	rom_religion_iberian	0	0.2000
rom_religion_nomadic	rom_religion_ionian	0	0.0500
rom_religion_nomadic	rom_religion_italian	0	0.2000
rom_religion_nomadic	rom_religion_latin	0	0.2000
rom_religion_nomadic	rom_religion_makedonian	0	0.0500
rom_religion_nomadic	rom_religion_nomadic	0	0.0000
rom_religion_nomadic	rom_religion_nuragic	0	0.1000
rom_religion_nomadic	rom_religion_other_greek	0	0.0500
rom_religion_nomadic	rom_religion_persian	0	0.0500
rom_religion_nomadic	rom_religion_punic	0	0.2000
rom_religion_nuragic	rom_religion_african_arabian	0	0.1000
rom_religion_nuragic	rom_religion_aiolian	0	0.1000
rom_religion_nuragic	rom_religion_akaian	0	0.1000
rom_religion_nuragic	rom_religion_balkan	0	0.1000
rom_religion_nuragic	rom_religion_barbarian	0	0.1000
rom_religion_nuragic	rom_religion_celtic	0	0.1000
rom_religion_nuragic	rom_religion_dorian	0	0.1000
rom_religion_nuragic	rom_religion_eastern	0	0.1000
rom_religion_nuragic	rom_religion_etruscan	0	0.1000
rom_religion_nuragic	rom_religion_germanic	0	0.1000
rom_religion_nuragic	rom_religion_hellenic	0	0.1000
rom_religion_nuragic	rom_religion_iapygian	0	0.1000
rom_religion_nuragic	rom_religion_iberian	0	0.1000
rom_religion_nuragic	rom_religion_ionian	0	0.1000
rom_religion_nuragic	rom_religion_italian	0	0.1000
rom_religion_nuragic	rom_religion_latin	0	0.1000
rom_religion_nuragic	rom_religion_makedonian	0	0.1000
rom_religion_nuragic	rom_religion_nomadic	0	0.1000
rom_religion_nuragic	rom_religion_nuragic	0	0.0000
rom_religion_nuragic	rom_religion_other_greek	0	0.1000
rom_religion_nuragic	rom_religion_persian	0	0.1000
rom_religion_nuragic	rom_religion_punic	0	0.2000
rom_religion_other_greek	rom_religion_african_arabian	0	0.0500
rom_religion_other_greek	rom_religion_aiolian	0	0.0500
rom_religion_other_greek	rom_religion_akaian	0	0.0500
rom_religion_other_greek	rom_religion_balkan	0	0.0500
rom_religion_other_greek	rom_religion_barbarian	0	0.2000
rom_religion_other_greek	rom_religion_celtic	0	0.0500
rom_religion_other_greek	rom_religion_dorian	0	0.0500
rom_religion_other_greek	rom_religion_eastern	0	0.0500
rom_religion_other_greek	rom_religion_etruscan	0	0.0500
rom_religion_other_greek	rom_religion_germanic	0	0.0500
rom_religion_other_greek	rom_religion_hellenic	0	0.0500
rom_religion_other_greek	rom_religion_iapygian	0	0.0500
rom_religion_other_greek	rom_religion_iberian	0	0.0500
rom_religion_other_greek	rom_religion_ionian	0	0.0500
rom_religion_other_greek	rom_religion_italian	0	0.0500
rom_religion_other_greek	rom_religion_latin	0	0.0500
rom_religion_other_greek	rom_religion_makedonian	0	0.0500
rom_religion_other_greek	rom_religion_nomadic	0	0.0500
rom_religion_other_greek	rom_religion_nuragic	0	0.1000
rom_religion_other_greek	rom_religion_other_greek	20	0.0000
rom_religion_other_greek	rom_religion_persian	0	0.2000
rom_religion_other_greek	rom_religion_punic	0	0.0500
rom_religion_persian	rom_religion_african_arabian	0	0.0500
rom_religion_persian	rom_religion_aiolian	0	0.2000
