region	region_group
rom_aegyptos_ta_mehu	roman_legacy_specific_aegypta
rom_aegyptos_ta_shemau	roman_legacy_specific_aegypta
emp_aethiopia_aksum	roman_legacy_specific_aethiopica
emp_aethiopia_meroe	roman_legacy_specific_aethiopica
emp_aethiopia_ptolemais_theron	roman_legacy_specific_aethiopica
rom_aithiops_ityopya	roman_legacy_specific_aethiopica
rom_aithiops_kush	roman_legacy_specific_aethiopica
rom_aithiops_medjay	roman_legacy_specific_aethiopica
emp_africa_carthago	roman_legacy_specific_africana
emp_africa_hadrumentum	roman_legacy_specific_africana
emp_africa_leptis_magna	roman_legacy_specific_africana
emp_africa_macomades	roman_legacy_specific_africana
rom_africa_byzacium	roman_legacy_specific_africana
rom_africa_syrtis	roman_legacy_specific_africana
rom_africa_tripolis	roman_legacy_specific_africana
rom_africa_zeugitana	roman_legacy_specific_africana
rom_phazania_tidamensi	roman_legacy_specific_africana
rom_phazania_zinchecra	roman_legacy_specific_africana
emp_raetia_et_noricum_kelheim	roman_legacy_specific_alpina
emp_raetia_et_noricum_koria	roman_legacy_specific_alpina
emp_raetia_et_noricum_noreia	roman_legacy_specific_alpina
emp_raetia_et_noricum_octoduris	roman_legacy_specific_alpina
gaul_helvetia_octoduron	roman_legacy_specific_alpina
gaul_helvetia_turicum	roman_legacy_specific_alpina
gaul_insubria_medhlan	roman_legacy_specific_alpina
gaul_insubria_vercelum	roman_legacy_specific_alpina
gaul_transalpina_massalia	roman_legacy_specific_alpina
gaul_transalpina_vasio	roman_legacy_specific_alpina
inv_lepontii_clavenna	roman_legacy_specific_alpina
inv_lepontii_comum	roman_legacy_specific_alpina
inv_lepontii_oscela	roman_legacy_specific_alpina
inv_raetia_bergamum	roman_legacy_specific_alpina
inv_raetia_feltria	roman_legacy_specific_alpina
inv_raetia_sebatum	roman_legacy_specific_alpina
inv_raetia_tridentum	roman_legacy_specific_alpina
rom_cisalpina_insubria	roman_legacy_specific_alpina
rom_cisalpina_liguria	roman_legacy_specific_alpina
rom_cisalpina_venetia	roman_legacy_specific_alpina
rom_raetia_et_noricum_helvetia	roman_legacy_specific_alpina
rom_raetia_et_noricum_noricum	roman_legacy_specific_alpina
rom_raetia_et_noricum_raetia	roman_legacy_specific_alpina
gaul_aquitania_aquae_tarbellicae	roman_legacy_specific_aquitanica
gaul_aquitania_burdigala	roman_legacy_specific_aquitanica
gaul_aquitania_elimberris	roman_legacy_specific_aquitanica
gaul_aquitania_sotium	roman_legacy_specific_aquitanica
gaul_aremorica_namnetum	roman_legacy_specific_aquitanica
rom_aquitania_aquitania	roman_legacy_specific_aquitanica
emp_arabia_felix_eudaemon	roman_legacy_specific_arabica
emp_arabia_felix_maas_gat	roman_legacy_specific_arabica
emp_arabia_felix_marib	roman_legacy_specific_arabica
emp_arabia_magna_adummatu	roman_legacy_specific_arabica
emp_arabia_magna_gerrha	roman_legacy_specific_arabica
emp_arabia_magna_yathrib	roman_legacy_specific_arabica
rom_arabia_felix_himyar	roman_legacy_specific_arabica
rom_arabia_felix_maka	roman_legacy_specific_arabica
rom_arabia_felix_saba	roman_legacy_specific_arabica
rom_arabia_magna_dilmun	roman_legacy_specific_arabica
rom_arabia_magna_kedar	roman_legacy_specific_arabica
rom_arabia_magna_lathrippa	roman_legacy_specific_arabica
emp_armenia_arsamosata	roman_legacy_specific_armeniaca
emp_armenia_artaxa	roman_legacy_specific_armeniaca
emp_armenia_carana	roman_legacy_specific_armeniaca
emp_armenia_tigranocerta	roman_legacy_specific_armeniaca
rom_armenia_armenia	roman_legacy_specific_armeniaca
rom_armenia_corduene	roman_legacy_specific_armeniaca
rom_armenia_sophene	roman_legacy_specific_armeniaca
emp_asia_ephesus	roman_legacy_specific_asiana
emp_asia_pergamum	roman_legacy_specific_asiana
emp_asia_pessinus	roman_legacy_specific_asiana
emp_asia_rhodos	roman_legacy_specific_asiana
rom_asia_lydia	roman_legacy_specific_asiana
rom_asia_mysia	roman_legacy_specific_asiana
rom_asia_phrygia	roman_legacy_specific_asiana
rom_bithynia_et_pontus_bythynia	roman_legacy_specific_asiana
rom_bithynia_et_pontus_paphlagonia	roman_legacy_specific_asiana
rom_bithynia_et_pontus_pontos	roman_legacy_specific_asiana
rom_bithynia_et_pontus_riza	roman_legacy_specific_asiana
rom_cilicia_cilicia	roman_legacy_specific_asiana
rom_cilicia_cyprus	roman_legacy_specific_asiana
rom_cilicia_pamphylia	roman_legacy_specific_asiana
rom_galatia_et_cappadocia_cappadocia	roman_legacy_specific_asiana
rom_galatia_et_cappadocia_commagene	roman_legacy_specific_asiana
rom_galatia_et_cappadocia_galatia	roman_legacy_specific_asiana
rom_galatia_et_cappadocia_lycaonia	roman_legacy_specific_asiana
emp_bactria_baktria	roman_legacy_specific_bactriana
emp_bactria_eucratides	roman_legacy_specific_bactriana
emp_bactria_kapisene	roman_legacy_specific_bactriana
rom_arachosia_arachosia	roman_legacy_specific_bactriana
rom_arachosia_paropamisadae	roman_legacy_specific_bactriana
rom_bactria_baktria	roman_legacy_specific_bactriana
rom_bactria_tocharia	roman_legacy_specific_bactriana
rom_transoxania_kangju	roman_legacy_specific_bactriana
rom_transoxania_sodgiana	roman_legacy_specific_bactriana
emp_belgica_nemecatum	roman_legacy_specific_belgica
emp_belgica_treverorum	roman_legacy_specific_belgica
gaul_arduenna_silva_divoduron	roman_legacy_specific_belgica
gaul_arduenna_silva_durocorteron	roman_legacy_specific_belgica
gaul_arduenna_silva_noviodunon	roman_legacy_specific_belgica
gaul_arduenna_silva_treverorum	roman_legacy_specific_belgica
gaul_germania_inferior_atuatuca	roman_legacy_specific_belgica
gaul_germania_inferior_bagacum	roman_legacy_specific_belgica
gaul_senonia_agedineum	roman_legacy_specific_belgica
gaul_senonia_alesia	roman_legacy_specific_belgica
gaul_senonia_lutetia	roman_legacy_specific_belgica
gaul_silva_carbonaria_bratuspantion	roman_legacy_specific_belgica
gaul_silva_carbonaria_gesoriacum	roman_legacy_specific_belgica
gaul_silva_carbonaria_nemetocenna	roman_legacy_specific_belgica
rom_belgica_arduenna_silva	roman_legacy_specific_belgica
rom_belgica_silva_carbonaria	roman_legacy_specific_belgica
rom_germania_minor_germania_inferior	roman_legacy_specific_belgica
emp_britannia_camulodunum	roman_legacy_specific_britannica
emp_britannia_iska	roman_legacy_specific_britannica
emp_britannia_mordiunon	roman_legacy_specific_britannica
emp_britannia_sleaford	roman_legacy_specific_britannica
emp_pretanic_isles_eilodon	roman_legacy_specific_britannica
emp_pretanic_isles_elbana	roman_legacy_specific_britannica
emp_pretanic_isles_stanwick	roman_legacy_specific_britannica
gaul_britannia_durovernon	roman_legacy_specific_britannica
gaul_britannia_iska	roman_legacy_specific_britannica
gaul_britannia_venta_belgarum	roman_legacy_specific_britannica
rom_britannia_brigantia	roman_legacy_specific_britannica
rom_britannia_britannia	roman_legacy_specific_britannica
rom_britannia_demetia	roman_legacy_specific_britannica
rom_britannia_dumnonia	roman_legacy_specific_britannica
rom_caledonia_et_hibernia_caledonia	roman_legacy_specific_britannica
rom_caledonia_et_hibernia_hibernia	roman_legacy_specific_britannica
inv_campania_capua	roman_legacy_specific_campaniana
inv_campania_neapolis	roman_legacy_specific_campaniana
inv_campania_pithecusae	roman_legacy_specific_campaniana
inv_campania_poseidonia	roman_legacy_specific_campaniana
emp_chorasmia_akhur	roman_legacy_specific_caspia
emp_chorasmia_aktau	roman_legacy_specific_caspia
rom_caucasia_albania	roman_legacy_specific_caspia
rom_chorasmia_transcaspia	roman_legacy_specific_caspia
rom_media_magna_atropatene	roman_legacy_specific_caspia
rom_parthia_astauene	roman_legacy_specific_caspia
rom_parthia_hyrcania	roman_legacy_specific_caspia
rom_ponto_caspia_didoya	roman_legacy_specific_caspia
rom_scythia_scythia	roman_legacy_specific_caspia
rom_scythia_turan	roman_legacy_specific_caspia
rom_scythia_usturt	roman_legacy_specific_caspia
emp_caucasia_gabata	roman_legacy_specific_caucasia
emp_caucasia_mtskheta	roman_legacy_specific_caucasia
emp_caucasia_phasis	roman_legacy_specific_caucasia
rom_caucasia_albania	roman_legacy_specific_caucasia
rom_caucasia_colchis	roman_legacy_specific_caucasia
rom_caucasia_iberia	roman_legacy_specific_caucasia
inv_gallia_cispadana_felsina	roman_legacy_specific_cispadana
inv_gallia_cispadana_parma	roman_legacy_specific_cispadana
inv_gallia_cispadana_placentia	roman_legacy_specific_cispadana
inv_gallia_cispadana_ravenna	roman_legacy_specific_cispadana
inv_corsica_aethalia	roman_legacy_specific_corsicana
inv_corsica_aleria	roman_legacy_specific_corsicana
inv_corsica_mantinorum	roman_legacy_specific_corsicana
inv_corsica_pallas	roman_legacy_specific_corsicana
emp_libya_cyrene	roman_legacy_specific_cyrenaica
rom_africa_syrtis	roman_legacy_specific_cyrenaica
rom_libue_cyrenaica	roman_legacy_specific_cyrenaica
rom_libue_marmarica	roman_legacy_specific_cyrenaica
emp_dacia_pelendava	roman_legacy_specific_dacica
emp_dacia_petrodava	roman_legacy_specific_dacica
emp_dacia_piscul	roman_legacy_specific_dacica
emp_dacia_zarmizegetusa	roman_legacy_specific_dacica
rom_dacia_bastarnia	roman_legacy_specific_dacica
rom_dacia_dacia_inferior	roman_legacy_specific_dacica
rom_dacia_dacia_superior	roman_legacy_specific_dacica
inv_etruria_luna	roman_legacy_specific_etrusca
inv_etruria_pisa	roman_legacy_specific_etrusca
inv_etruria_sarsina	roman_legacy_specific_etrusca
inv_etruria_viesul	roman_legacy_specific_etrusca
inv_tarchuna_fufluna	roman_legacy_specific_etrusca
inv_tarchuna_tarchuna	roman_legacy_specific_etrusca
inv_tarchuna_vatluna	roman_legacy_specific_etrusca
inv_tarchuna_velusna	roman_legacy_specific_etrusca
inv_tuscia_aritim	roman_legacy_specific_etrusca
inv_tuscia_clevsin	roman_legacy_specific_etrusca
inv_tuscia_felathri	roman_legacy_specific_etrusca
inv_tuscia_siena	roman_legacy_specific_etrusca
inv_vei_caere	roman_legacy_specific_etrusca
inv_vei_vei	roman_legacy_specific_etrusca
emp_gallia_bibracte	roman_legacy_specific_gallica
emp_gallia_cenabum	roman_legacy_specific_gallica
emp_gallia_darioritum	roman_legacy_specific_gallica
emp_gallia_iuliobana	roman_legacy_specific_gallica
gaul_aquitania_aquae_tarbellicae	roman_legacy_specific_gallica
gaul_aquitania_burdigala	roman_legacy_specific_gallica
gaul_aquitania_elimberris	roman_legacy_specific_gallica
gaul_aquitania_sotium	roman_legacy_specific_gallica
gaul_arduenna_silva_divoduron	roman_legacy_specific_gallica
gaul_arduenna_silva_durocorteron	roman_legacy_specific_gallica
gaul_arduenna_silva_noviodunon	roman_legacy_specific_gallica
gaul_arduenna_silva_treverorum	roman_legacy_specific_gallica
gaul_aremorica_condate	roman_legacy_specific_gallica
gaul_aremorica_darioritum	roman_legacy_specific_gallica
gaul_aremorica_namnetum	roman_legacy_specific_gallica
gaul_aremorica_vorgion	roman_legacy_specific_gallica
gaul_gergovia_avaricon	roman_legacy_specific_gallica
gaul_gergovia_durotincon	roman_legacy_specific_gallica
gaul_gergovia_nemossos	roman_legacy_specific_gallica
gaul_germania_inferior_atuatuca	roman_legacy_specific_gallica
gaul_germania_inferior_bagacum	roman_legacy_specific_gallica
gaul_lugdunensis_bibracte	roman_legacy_specific_gallica
gaul_lugdunensis_vienna	roman_legacy_specific_gallica
gaul_lutetia_cenabum	roman_legacy_specific_gallica
gaul_lutetia_crociatonum	roman_legacy_specific_gallica
gaul_lutetia_lexovion	roman_legacy_specific_gallica
gaul_lutetia_suindinum	roman_legacy_specific_gallica
gaul_maxima_sequanorum_rauricon	roman_legacy_specific_gallica
gaul_maxima_sequanorum_vesontio	roman_legacy_specific_gallica
gaul_narbonensis_divona	roman_legacy_specific_gallica
gaul_narbonensis_narbo_martius	roman_legacy_specific_gallica
gaul_narbonensis_segodunum	roman_legacy_specific_gallica
gaul_narbonensis_tolosa	roman_legacy_specific_gallica
gaul_pictavis_ambatia	roman_legacy_specific_gallica
gaul_pictavis_lemonum	roman_legacy_specific_gallica
gaul_pictavis_mediolanum_santonum	roman_legacy_specific_gallica
gaul_senonia_agedineum	roman_legacy_specific_gallica
gaul_senonia_alesia	roman_legacy_specific_gallica
gaul_senonia_lutetia	roman_legacy_specific_gallica
gaul_silva_carbonaria_bratuspantion	roman_legacy_specific_gallica
gaul_silva_carbonaria_gesoriacum	roman_legacy_specific_gallica
gaul_silva_carbonaria_nemetocenna	roman_legacy_specific_gallica
gaul_transalpina_massalia	roman_legacy_specific_gallica
gaul_transalpina_vasio	roman_legacy_specific_gallica
inv_senonia_ariminum	roman_legacy_specific_gallica
inv_senonia_caesena	roman_legacy_specific_gallica
inv_senonia_sena	roman_legacy_specific_gallica
rom_aquitania_aquitania	roman_legacy_specific_gallica
rom_aquitania_gergovia	roman_legacy_specific_gallica
rom_aquitania_pictavis	roman_legacy_specific_gallica
rom_belgica_arduenna_silva	roman_legacy_specific_gallica
rom_belgica_silva_carbonaria	roman_legacy_specific_gallica
rom_celtica_aremorica	roman_legacy_specific_gallica
rom_celtica_lugdunensis	roman_legacy_specific_gallica
rom_celtica_lutetia	roman_legacy_specific_gallica
rom_germania_minor_germania_inferior	roman_legacy_specific_gallica
rom_germania_minor_germania_superior	roman_legacy_specific_gallica
rom_provincia_narbonensis	roman_legacy_specific_gallica
rom_provincia_transalpina	roman_legacy_specific_gallica
rom_raetia_et_noricum_helvetia	roman_legacy_specific_gallica
emp_germania_minor_bavay	roman_legacy_specific_germanica
emp_germania_minor_vesonto	roman_legacy_specific_germanica
emp_magna_germania_flevium	roman_legacy_specific_germanica
emp_magna_germania_treva	roman_legacy_specific_germanica
emp_magna_germania_tulifurdum	roman_legacy_specific_germanica
gaul_silva_nigra_argentorate	roman_legacy_specific_germanica
gaul_silva_nigra_noviiomagos	roman_legacy_specific_germanica
gaul_silva_nigra_uburzis	roman_legacy_specific_germanica
rom_germania_minor_germania_inferior	roman_legacy_specific_germanica
rom_germania_minor_germania_superior	roman_legacy_specific_germanica
rom_hercynia_hercynia_silva	roman_legacy_specific_germanica
rom_hercynia_luna_silva	roman_legacy_specific_germanica
rom_magna_germania_frisia	roman_legacy_specific_germanica
rom_magna_germania_silva_bacenis	roman_legacy_specific_germanica
rom_magna_germania_silva_nigra	roman_legacy_specific_germanica
rom_silesia_leda	roman_legacy_specific_germanica
rom_silesia_silesia	roman_legacy_specific_germanica
rom_suebia_bomeranorum	roman_legacy_specific_germanica
rom_suebia_cimbria	roman_legacy_specific_germanica
rom_suebia_lusatia	roman_legacy_specific_germanica
emp_achaia_athenae	roman_legacy_specific_graeca
emp_achaia_gortyna	roman_legacy_specific_graeca
emp_achaia_sparta	roman_legacy_specific_graeca
inv_bruttium_consentia	roman_legacy_specific_graeca
inv_bruttium_croton	roman_legacy_specific_graeca
inv_bruttium_terina	roman_legacy_specific_graeca
inv_bruttium_thurii	roman_legacy_specific_graeca
inv_calabria_brentesion	roman_legacy_specific_graeca
inv_calabria_hydrus	roman_legacy_specific_graeca
inv_calabria_manduria	roman_legacy_specific_graeca
inv_calabria_taranto	roman_legacy_specific_graeca
inv_italia_hipponion	roman_legacy_specific_graeca
inv_italia_locri	roman_legacy_specific_graeca
inv_italia_rhegion	roman_legacy_specific_graeca
inv_italia_skyllition	roman_legacy_specific_graeca
rom_hellas_attiki	roman_legacy_specific_graeca
rom_hellas_creta	roman_legacy_specific_graeca
rom_hellas_peloponnesos	roman_legacy_specific_graeca
rom_macedonia_thessalia	roman_legacy_specific_graeca
emp_hispania_ibossim	roman_legacy_specific_hispana
emp_hispania_nova_carthago	roman_legacy_specific_hispana
emp_hispania_numantia	roman_legacy_specific_hispana
emp_hispania_saguntum	roman_legacy_specific_hispana
rom_baetica_baeturia	roman_legacy_specific_hispana
rom_baetica_turdetania	roman_legacy_specific_hispana
rom_cartaginensis_baleareis	roman_legacy_specific_hispana
rom_cartaginensis_bastetania	roman_legacy_specific_hispana
rom_cartaginensis_celtiberia	roman_legacy_specific_hispana
rom_cartaginensis_edetania	roman_legacy_specific_hispana
rom_lusitania_celtica	roman_legacy_specific_hispana
rom_lusitania_lusitania	roman_legacy_specific_hispana
rom_tarraconensis_callaecia	roman_legacy_specific_hispana
rom_tarraconensis_cantabria	roman_legacy_specific_hispana
rom_tarraconensis_tarraconensis	roman_legacy_specific_hispana
emp_illyricum_dyrrachium	roman_legacy_specific_illyrica
emp_illyricum_narona	roman_legacy_specific_illyrica
emp_illyricum_salona	roman_legacy_specific_illyrica
rom_illyria_dalmatia	roman_legacy_specific_illyrica
rom_illyria_illyria	roman_legacy_specific_illyrica
rom_illyria_liburnia	roman_legacy_specific_illyrica
emp_bactria_baktria	roman_legacy_specific_indica
emp_bactria_eucratides	roman_legacy_specific_indica
emp_bactria_kapisene	roman_legacy_specific_indica
emp_gedrosia_oraea	roman_legacy_specific_indica
emp_gedrosia_phrada	roman_legacy_specific_indica
emp_gedrosia_pura	roman_legacy_specific_indica
rom_arachosia_arachosia	roman_legacy_specific_indica
rom_arachosia_paropamisadae	roman_legacy_specific_indica
rom_bactria_baktria	roman_legacy_specific_indica
rom_bactria_tocharia	roman_legacy_specific_indica
rom_gedrosia_gedrosia	roman_legacy_specific_indica
rom_gedrosia_rhambacia	roman_legacy_specific_indica
emp_italia_beneventum	roman_legacy_specific_italica
emp_italia_brundisium	roman_legacy_specific_italica
emp_italia_cosentia	roman_legacy_specific_italica
gaul_insubria_medhlan	roman_legacy_specific_italica
gaul_insubria_vercelum	roman_legacy_specific_italica
gaul_liguria_genua	roman_legacy_specific_italica
gaul_liguria_pollentia	roman_legacy_specific_italica
pro_campania_campania	roman_legacy_specific_italica
pro_campania_cilento	roman_legacy_specific_italica
pro_latium_latium	roman_legacy_specific_italica
pro_latium_volsci	roman_legacy_specific_italica
pro_magna_grecia_calabria	roman_legacy_specific_italica
pro_magna_grecia_italia	roman_legacy_specific_italica
pro_magna_grecia_lucania	roman_legacy_specific_italica
pro_samnium_apulia	roman_legacy_specific_italica
pro_samnium_irpinia	roman_legacy_specific_italica
pro_samnium_pentria	roman_legacy_specific_italica
pro_samnium_umbria	roman_legacy_specific_italica
rom_cisalpina_insubria	roman_legacy_specific_italica
rom_cisalpina_liguria	roman_legacy_specific_italica
rom_cisalpina_venetia	roman_legacy_specific_italica
rom_corsica_et_sardinia_corsica	roman_legacy_specific_italica
rom_corsica_et_sardinia_sardinia	roman_legacy_specific_italica
rom_italia_etruria	roman_legacy_specific_italica
rom_italia_latium	roman_legacy_specific_italica
rom_italia_picenum	roman_legacy_specific_italica
rom_italia_samnium	roman_legacy_specific_italica
rom_magna_graecia_bruttium	roman_legacy_specific_italica
rom_magna_graecia_calabria	roman_legacy_specific_italica
inv_latium_anagni	roman_legacy_specific_latina
inv_latium_antium	roman_legacy_specific_latina
inv_latium_casinum	roman_legacy_specific_latina
inv_latium_fregellae	roman_legacy_specific_latina
emp_libya_ammonium	roman_legacy_specific_libyca
emp_libya_augila	roman_legacy_specific_libyca
emp_libya_paraitonion	roman_legacy_specific_libyca
emp_phazania_cydamus	roman_legacy_specific_libyca
emp_phazania_garama	roman_legacy_specific_libyca
rom_libue_cyrenaica	roman_legacy_specific_libyca
rom_libue_marmarica	roman_legacy_specific_libyca
rom_libue_oases	roman_legacy_specific_libyca
rom_libue_siwa	roman_legacy_specific_libyca
inv_lucania_aceruntia	roman_legacy_specific_lucaniana
inv_lucania_elea	roman_legacy_specific_lucaniana
inv_lucania_herakleia	roman_legacy_specific_lucaniana
inv_lucania_potentia	roman_legacy_specific_lucaniana
emp_macedonia_apollonia	roman_legacy_specific_macedonica
emp_macedonia_pharsalus	roman_legacy_specific_macedonica
emp_macedonia_thessalonica	roman_legacy_specific_macedonica
rom_illyria_illyria	roman_legacy_specific_macedonica
rom_macedonia_epeiros	roman_legacy_specific_macedonica
rom_macedonia_makedonia	roman_legacy_specific_macedonica
rom_macedonia_thessalia	roman_legacy_specific_macedonica
rom_thracia_dardania	roman_legacy_specific_macedonica
rom_thracia_thracia	roman_legacy_specific_macedonica
emp_mauretania_rutubis	roman_legacy_specific_mauretanica
emp_mauretania_siga	roman_legacy_specific_mauretanica
emp_mauretania_tingis	roman_legacy_specific_mauretanica
rom_mauretania_atlas	roman_legacy_specific_mauretanica
rom_mauretania_gaetulia	roman_legacy_specific_mauretanica
rom_mauretania_numidia	roman_legacy_specific_mauretanica
rom_mauretania_tingitana	roman_legacy_specific_mauretanica
rom_dacia_dacia_inferior	roman_legacy_specific_moesica
rom_thracia_byzantion	roman_legacy_specific_moesica
rom_thracia_dardania	roman_legacy_specific_moesica
rom_thracia_moesia	roman_legacy_specific_moesica
rom_thracia_thracia	roman_legacy_specific_moesica
inv_sabinium_alba_fucens	roman_legacy_specific_montana
inv_sabinium_cures	roman_legacy_specific_montana
inv_sabinium_nursia	roman_legacy_specific_montana
inv_sabinium_reate	roman_legacy_specific_montana
inv_samnium_bovianum	roman_legacy_specific_montana
inv_samnium_compsa	roman_legacy_specific_montana
inv_samnium_corfinium	roman_legacy_specific_montana
inv_samnium_terventum	roman_legacy_specific_montana
inv_umbria_iguvium	roman_legacy_specific_montana
inv_umbria_perusia	roman_legacy_specific_montana
inv_umbria_sestinum	roman_legacy_specific_montana
inv_umbria_spolettium	roman_legacy_specific_montana
rom_pannonia_pannonia_superior	roman_legacy_specific_noricorum
rom_pannonia_transdanubia	roman_legacy_specific_noricorum
rom_raetia_et_noricum_noricum	roman_legacy_specific_noricorum
rom_raetia_et_noricum_raetia	roman_legacy_specific_noricorum
emp_pannonia_aquincum	roman_legacy_specific_pannonica
emp_pannonia_segestica	roman_legacy_specific_pannonica
emp_pannonia_singidun	roman_legacy_specific_pannonica
rom_pannonia_pannonia_inferior	roman_legacy_specific_pannonica
rom_pannonia_pannonia_superior	roman_legacy_specific_pannonica
rom_pannonia_transdanubia	roman_legacy_specific_pannonica
emp_parthia_hekatompylos	roman_legacy_specific_parthica
emp_parthia_nisa	roman_legacy_specific_parthica
emp_parthia_susia	roman_legacy_specific_parthica
emp_parthia_zadrakata	roman_legacy_specific_parthica
rom_aria_aria	roman_legacy_specific_parthica
rom_aria_margiana	roman_legacy_specific_parthica
rom_carmania_eremos_karmania	roman_legacy_specific_parthica
rom_media_magna_atropatene	roman_legacy_specific_parthica
rom_media_magna_media	roman_legacy_specific_parthica
rom_media_magna_rhagau	roman_legacy_specific_parthica
rom_parthia_astauene	roman_legacy_specific_parthica
rom_parthia_hyrcania	roman_legacy_specific_parthica
rom_parthia_parthia	roman_legacy_specific_parthica
rom_parthia_traxiane	roman_legacy_specific_parthica
emp_persis_gor	roman_legacy_specific_persica
emp_persis_persepolis	roman_legacy_specific_persica
emp_persis_susa	roman_legacy_specific_persica
rom_carmania_karmania	roman_legacy_specific_persica
rom_persis_elam	roman_legacy_specific_persica
rom_persis_lyan	roman_legacy_specific_persica
rom_persis_parsa	roman_legacy_specific_persica
emp_bithynia_et_pontus_amaseia	roman_legacy_specific_pontica
emp_bithynia_et_pontus_nicomedia	roman_legacy_specific_pontica
emp_bithynia_et_pontus_sinope	roman_legacy_specific_pontica
emp_bithynia_et_pontus_trapezos	roman_legacy_specific_pontica
rom_bithynia_et_pontus_bythynia	roman_legacy_specific_pontica
rom_bithynia_et_pontus_paphlagonia	roman_legacy_specific_pontica
rom_bithynia_et_pontus_pontos	roman_legacy_specific_pontica
rom_bithynia_et_pontus_riza	roman_legacy_specific_pontica
rom_bosporus_maeotia	roman_legacy_specific_pontica
rom_bosporus_sindica	roman_legacy_specific_pontica
rom_bosporus_taurica	roman_legacy_specific_pontica
rom_caucasia_colchis	roman_legacy_specific_pontica
rom_ponto_caspia_cimmeria	roman_legacy_specific_pontica
rom_ponto_caspia_oium	roman_legacy_specific_pontica
