key	generate	localised_description	localised_title	mission_type	ui_icon	ui_image	prioritised
3c_saxones_victory_mission_military_victory	false	Military Victory	Military Victory	CAPTURE_REGIONS	rom_event_mission.png	agent_combat.png	false
3c_senate_bar_research_military_army	true	"We are a warrior people. As such, we must develop our recruitment capabilities, so that we may conquer enemy cities and protect our own."	Troop Organisation	RESEARCH_TECHNOLOGY	rom_event_mission.png	barb_land_victory.png	false
3c_senate_eas_research_military_army	true	"Master, your military understanding is unquestionable. Might I suggest, however, that we focus efforts on developing your recruitment capabilities?"	Recruitment Reforms	RESEARCH_TECHNOLOGY	rom_event_mission.png	east_land_victory.png	false
3c_senate_nom_research_military_army	true	"We are a warrior people. As such, we must develop our recruitment capabilities, so that we may conquer enemy cities and protect our own."	Troop Organisation	RESEARCH_TECHNOLOGY	rom_event_mission.png	nomad_faction.png	true
3c_senate_rom_research_military_army	true	"The Senate lauds your efforts to advance Rome's military potential, but feels that we would benefit from the further development of our recruitment capabilities."	Recruitment Reforms	RESEARCH_TECHNOLOGY	rom_event_mission.png	rom_land_victory.png	false
chain_car_gold_tolosa_1	false	"Mercenaries whisper of Tolosa's great riches, treasures plundered by the Volcae as they travelled through Greece. Carthage and our dynasty need this wealth!"	The Gold of Tolosa	CAPTURE_REGIONS	rom_event_mission.png	east_diplomacy.png	false
chain_cel_gold_tolosa_1	false	"Our brothers, the Volcae, once travelled eastward, plundering all before them. Misfortune forced them back to Tolosa where, it is said, they cast their loot into lakes as offerings to the gods. Perhaps this is more than a Gallic folktale?"	The Gold of Tolosa	CAPTURE_REGIONS	rom_event_mission.png	barb_diplomacy.png	false
chain_eas_gold_tolosa_1	false	"It is said that Greek treasures lie in the lakes near Tolosa, stolen by the Volcae and then cast into the waters as offerings to the gods. The realm could use such riches, my lord!"	The Gold of Tolosa	CAPTURE_REGIONS	rom_event_mission.png	east_generic.png	false
chain_ger_gold_tolosa_1	false	"Gold makes men fools. The greedy Volcae tribe plundered great riches from Greece. Then, fearing some curse, they cast it into the waters near Tolosa, as offerings to their gods. Our gods think it wise to take this wealth for the tribe!"	The Gold of Tolosa	CAPTURE_REGIONS	rom_event_mission.png	barb_diplomacy.png	false
chain_hel_gold_tolosa_1	false	"Have you ever heard the legend of the Gold of Tolosa? The Volcae tribe murdered and plundered their way across the lands of our kinsmen. The loot went to Tolosa, where it remains hidden to this day. That treasure is rightfully Greek!"	The Gold of Tolosa	CAPTURE_REGIONS	rom_event_mission.png	greek_faction.png	false
chain_rom_gold_tolosa_1	false	"Many speak of a golden hoard in the vicinity of Tolosa, stolen by the Volcae as they ransacked Greece and the Hellespont. Such wealth would be useful to Rome, or to our honourable house…"	The Gold of Tolosa	CAPTURE_REGIONS	rom_event_mission.png	rom_generic.png	false
chain_suc_heir_of_zeus_1	false	"After conquering the east, Alexander the Great sought proof of his divine purpose from the Oracle of Zeus Ammon. Should you not also seek the wisdom of the Oracle, my lord?"	The Oracle of Zeus Ammon	CAPTURE_REGIONS	rom_event_mission.png	greek_faction.png	false
diplomatic_all_liberation	false	"Noble friend, long have my people have suffered under the despotic rule of invaders. I implore you, liberate my people from their oppression and you will have our unwavering support!"	Liberation	CAPTURE_REGIONS	rom_event_mission.png	rom_generic.png	false
diplomatic_bar_attack_army_1	true	"So, friend, when do you march against this army? Ha! Your warriors could surely use the exercise!"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_attack_army_2	true	"You must crush this enemy army: the lamentation of their widows will please the gods!"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_attack_army_3	true	"This army is filled with false warriors deserving only death: their weapons are nothing without the spirit to wield them!"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_attack_in_defence_army_1	true	"War drinks blood, but it also eats gold. Can you help us, before our war becomes famished?"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_attack_in_defence_army_2	true	"We are a warrior folk, but we need help to defend the people from wolves in human form. Can you do this?"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_attack_in_defence_army_3	true	"Our warriors are proud, not foolish. If you could aid them they would remember, and drink to your eternal honour!"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_attack_in_defence_army_4	true	"Our people are in dire need of aid. We remember those who help, and offer sacrifices in the groves for their wellbeing."	Allied Request	ENGAGE_FORCE	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_attack_in_defence_navy_1	true	"I will sacrifice, to oak and stone and sword, if that is what is needed, if you help defend our ports."	Allied Request	ENGAGE_FORCE	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_attack_in_defence_navy_2	true	"There is little to say but this: our ports need help. You, my good friend, are surely generous…"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_attack_navy_1	true	"The spirits of our ancestors have spoken! This fleet must be attacked! When do you move against it?"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_attack_navy_2	true	"My people rightly respect the gods of the sea. Can you find ships, then, to attack this fleet for us?"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_attack_settlement_landlocked_1	true	"You must attack here! Hunt our enemies in these lands! The gods of war demand it!"	Allied Request	CAPTURE_REGIONS	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_attack_settlement_landlocked_2	true	"I am sure that you see the glory that could be yours in attacking these lands!"	Allied Request	CAPTURE_REGIONS	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_attack_settlement_landlocked_3	true	"The gods favour you, friend. If you meet our enemies in battle here, they will be watching."	Allied Request	CAPTURE_REGIONS	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_attack_settlement_port_1	true	"They may look like innocent fisherfolk, but they have called your people cowards, pirates, and worse! Will you punish them?"	Allied Request	CAPTURE_REGIONS	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_attack_settlement_port_2	true	"My people honour the sea gods, but know little of their harsh realm. Perhaps, then, you shall profit more by taking this enemy port?"	Allied Request	CAPTURE_REGIONS	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_attack_trade_route_raider_1	true	"The enemy deigns to interrupt the flow of goods into our lands. Will you dispose of them for us?"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_attack_trade_route_raider_2	true	"The pigs grow fat with riches plundered from our trade caravans. You must destroy those responsible!"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_kill_character_female_1	true	"It goes ill to ask this, but can you kill this woman? She is a shrew and a harridan in our enemy's pay!"	Allied Request	ASSASSINATE_CHARACTER	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_kill_character_female_2	true	"This she-wolf, unnatural bitch that she is, needs to feel the knife! When can you do it?"	Allied Request	ASSASSINATE_CHARACTER	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_kill_character_male_1	true	"This wolf, this dog... No, less than a dog... needs the whip, or the blade! When can you kill him?"	Allied Request	ASSASSINATE_CHARACTER	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_kill_character_male_2	true	"There is a wolf in the fold, and wolves should be hunted down. Will you please see that this human wolf is skinned?"	Allied Request	ASSASSINATE_CHARACTER	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_raid_trade_route_faction_1	true	"The spoils reaped by our enemies give them the means to make us suffer. Will you not maraud their trade routes?"	Allied Request	RAID_REGION	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_raid_trade_route_faction_2	true	"The gods have declared the enemy unworthy of the riches they hoard through trade. You must deprive them of their wealth!"	Allied Request	RAID_REGION	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_raid_trade_route_province_1	true	"Our enemies profit, and their hands drip with golden rings! Can you attack here, and put an end to their greed?"	Allied Request	RAID_REGION	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_bar_raid_trade_route_province_2	true	"The elders have decreed that you sever enemy trade in this province, along with the heads of any who dare stand in your way!"	Allied Request	RAID_REGION	rom_event_mission.png	barb_diplomacy.png	false
diplomatic_eas_attack_army_1	true	"This army offends my master. Can you attack it soon?"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_army_2	true	"Are your generals willing to send men to attack this army? Such a fine stratagem would aid our joint cause immensely!"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_army_3	true	"This enemy army occupies vital ground. Is there not one of your generals brave enough to destroy it?"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_in_defence_army_1	true	"My lord, lacking strength in this matter, requests that you send troops to destroy this army."	Allied Request	ENGAGE_FORCE	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_in_defence_army_2	true	"Our lands are vulnerable, cut off, in danger. I beg you, for the lives of our people, to go to their aid!	Allied Request	ENGAGE_FORCE	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_in_defence_army_3	true	"I will speak truth. Our lands are not securely held. Any help that you could send would bring honour to your name."	Allied Request	ENGAGE_FORCE	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_in_defence_army_4	true	"Our people are in dire need of aid. My master expects to hear of your forces moving in support as soon as this conversation is ended!"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_in_defence_army_5	true	"Solemn oaths were given, and now my lord expects you to live up to your word. Our lands must be defended!"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_in_defence_navy_1	true	"This fleet is a threat, but my master lacks the strength to destroy it on his own. Can you attack?"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_in_defence_navy_2	true	"Our ports are in need of support. With your command of the oceans, can you not help friends in need?"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_in_defence_navy_3	true	"Our ports may be attacked. Surely you can spare a few sailors or soldiers to aid in their defence?"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_in_defence_navy_4	true	"The safety of our ports and fleets is an illusion. When can we expect to hear that your admirals are in action to offer support?"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_in_defence_navy_5	true	"I expect that you have already seen that our ports are in dire need of defenders. When can your forces be on the move?"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_navy_1	true	"This fleet offends the sea gods, my master and surely even the fish. When can you attack?"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_navy_2	true	"Will your admirals lead their ships against this fleet? Our cause would profit from its destruction."	Allied Request	ENGAGE_FORCE	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_settlement_landlocked_1	true	"Can you attack these lands? The people are insolent folk, and need the firm rule that you could bring to them!"	Allied Request	CAPTURE_REGIONS	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_settlement_landlocked_2	true	"My master sees that this land and its people are ripe fruit, ready to be plucked. When can you attack... and pluck away?"	Allied Request	CAPTURE_REGIONS	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_settlement_landlocked_3	true	"Would you deny your men a chance of glory and plunder? Order an attack here, my friend, here!"	Allied Request	CAPTURE_REGIONS	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_settlement_port_1	true	"In the name of my master, I ask that you attack this port. Denied it, the enemy are weakened, and we all profit!"	Allied Request	CAPTURE_REGIONS	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_settlement_port_2	true	"Ports have a worth beyond fish, I think. You would profit greatly by seizing this one."	Allied Request	CAPTURE_REGIONS	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_settlement_port_3	true	"This simple fishing port, home to simple sea-faring people… When can you attack it in full force?"	Allied Request	CAPTURE_REGIONS	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_settlement_port_4	true	"Surely, my friend, you can see wisdom, military necessity and even a little glory in attacking this port?"	Allied Request	CAPTURE_REGIONS	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_trade_route_raider_1	true	"Without trade, our people starve! We ask for your help in protecting our trade route, before all is lost!"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_attack_trade_route_raider_2	true	"Without profit, armies go hungry. Therefore my master expects your troops to aid in liberating our trade route."	Allied Request	ENGAGE_FORCE	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_kill_character_female_1	true	"My master wonders if you could find the time to send this woman to her not-very-honoured ancestors?"	Allied Request	ASSASSINATE_CHARACTER	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_kill_character_female_2	true	"My lord would like this woman killed. Send him some part of her as a token that it is done."	Allied Request	ASSASSINATE_CHARACTER	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_kill_character_female_3	true	"My master has reports that this witch plots against our joint interests. Will you not have her killed, my friend?"	Allied Request	ASSASSINATE_CHARACTER	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_kill_character_male_1	true	"In the name of my master, I ask you to end the life of this beetle, this vulture, before the carrion beast does more mischief!"	Allied Request	ASSASSINATE_CHARACTER	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_kill_character_male_2	true	"It is said there are many problems buried in the desert. Can you not see to it that this problem is swiftly buried?"	Allied Request	ASSASSINATE_CHARACTER	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_kill_character_male_3	true	"This creature, this scorpion of the desert must feel our displeasure. Would you be so kind as to crush it beneath your sandal?"	Allied Request	ASSASSINATE_CHARACTER	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_raid_trade_route_faction_1	true	"Our foes profit at our expense. I humbly suggest that hurting their merchants would be a sound move."	Allied Request	RAID_REGION	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_raid_trade_route_faction_2	true	"There is justice in taking from our enemies that which is ours by right. Deprive them of their ill-gotten goods!"	Allied Request	RAID_REGION	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_raid_trade_route_province_1	true	"My lord sees no need to let the enemy profit in any way. When can he expect to see an attack on the trade routes here?"	Allied Request	RAID_REGION	rom_event_mission.png	east_diplomacy.png	false
diplomatic_eas_raid_trade_route_province_2	true	Why should our enemies' purses grow fat? Will you not order your men to attack their trade here?"	Allied Request	RAID_REGION	rom_event_mission.png	east_diplomacy.png	false
diplomatic_egy_attack_army_1	true	"The Pharaoh, the All-Seeing, has looked upon this army and found it hateful. Will you please Him by removing it?"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_army_2	true	"I, a humble slave at Pharaoh's feet, all praise be His, suggest that attacking this army could have benefits…"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_army_3	true	"This army is a danger, and Pharaoh, may His sword remain sharp, wishes it destroyed!"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_army_4	true	"Surely you can see my lord Pharaoh's heaven-sent wisdom and strategic genius? An attack on this army would bring great benefits!"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_in_defence_army_1	true	"The Pharaoh, strength be unto Him, would remember with divine affection those who defend this land and its people."	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_in_defence_army_2	true	"Mighty Pharaoh, Lord of the Two Egypts, expects you to defend His lands. And one does not argue with a god! "	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_in_defence_army_3	true	"Pharaoh, whose heart is lighter than the Feather of Truth, asks that you send warriors to defend His land and its people."	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_in_defence_army_4	true	"Will you send aid to Egypt? Pharaoh, the great architect of victory, will not forget his friends and their aid!"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_in_defence_navy_1	true	"The Pharaoh, all strength and health be His, would wish me to suggest a stratagem. Perhaps you might send your fleets to provide support?"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_in_defence_navy_2	true	"All the sea is the domain of the great seafarer, Pharaoh, but he would be appreciative of any defence against invaders."	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_in_defence_navy_3	true	"My lord Pharaoh, who speaks in the voice of Osiris Risen, orders the protection of his fleets and his servants!"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_in_defence_navy_4	true	"The heir to Horus demands and insists that his ports must be defended! So speaks Pharaoh, beloved master of all!"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_navy_1	true	"The Pharaoh, health unto Him, wishes these ships sunk, and thinks this brave deed is worthy of your esteemed admirals!"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_navy_2	true	"My master, the all-wise Pharaoh, having been advised by His worthy admirals and His divine ancestors, wishes you to attack this fleet."	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_navy_3	true	"Pharaoh, steersman to all the world, orders me to request an attack on this navy. Will you now oblige Him?"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_settlement_landlocked_1	true	"In the name of Pharaoh, the sky and land of His people, I humbly suggest that you attack these lands."	Allied Request	CAPTURE_REGIONS	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_settlement_landlocked_2	true	"Pharaoh, all praise to His wisdom, suggests that your wits would indeed be lacking if you did not attack these lands."	Allied Request	CAPTURE_REGIONS	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_settlement_landlocked_3	true	"Pharaoh, the beacon of Egyptian souls, asks that you attack these lands, and subdue them, and bring their people into bondage."	Allied Request	CAPTURE_REGIONS	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_settlement_port_1	true	"My master will offer His mighty prayers for your good fortune if you can find troops to attack this port!"	Allied Request	CAPTURE_REGIONS	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_settlement_port_2	true	"My master, the heroic and worthy warlord Pharaoh, considers that your efforts would be best used in attacking this port."	Allied Request	CAPTURE_REGIONS	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_settlement_port_3	true	"My lord Pharaoh, the heart of truth, suggests in His wisdom, that an attack on this port would be a sensible measure."	Allied Request	CAPTURE_REGIONS	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_trade_route_raider_1	true	"Pharaoh's merchants, may He further enrich them, are worthy of protection, and He looks to you! Do not disappoint Him!"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_attack_trade_route_raider_2	true	"Egypt's trade must be defended! In this I speak with the voice of Pharaoh, the Lord of the Flood! Will you do this?"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_kill_character_female_1	true	"My lord Pharaoh, whose virility astonishes the world, would have me ask for this woman's death…"	Allied Request	ASSASSINATE_CHARACTER	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_kill_character_female_2	true	"Pharaoh, all mercy is His, wishes this woman dead. She is a jackal. See to this affair quickly and quietly."	Allied Request	ASSASSINATE_CHARACTER	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_kill_character_female_3	true	"Pharaoh, whose eye sees all, knows that this woman works against our cause. Will you see that she dies for this insolence?"	Allied Request	ASSASSINATE_CHARACTER	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_kill_character_male_1	true	"This scorpion, this viper, poisons the sight of Pharaoh, the all-powerful. Have you time to hound and destroy this vermin?"	Allied Request	ASSASSINATE_CHARACTER	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_kill_character_male_2	true	"This man has offended the dignity of Pharaoh, mighty is His arm, and endangered His servants. Be so kind as to remove him!"	Allied Request	ASSASSINATE_CHARACTER	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_kill_character_male_3	true	"This man, this creature, has offended the eye of the Pharaoh, all strength to Him. Remove the beast, and earn gratitude!"	Allied Request	ASSASSINATE_CHARACTER	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_raid_trade_route_faction_1	true	"In the name of Pharaoh, the well-beloved of Isis, I respectfully suggest it would be wise to deprive our enemies of their riches…"	Allied Request	RAID_REGION	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_raid_trade_route_faction_2	true	"While gold is beneath the notice of Pharaoh, the blessing of Ra to mortal men, He knows that wealth is coveted by His enemies."	Allied Request	RAID_REGION	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_raid_trade_route_province_1	true	"While banditry is normally beneath Pharaoh, the merciful lawgiver, he has noticed that you might be well suited to practicing it here."	Allied Request	RAID_REGION	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_egy_raid_trade_route_province_2	true	"Pharaoh, lord of lords, wishes the enemy inconvenienced. You are able to stop their trade here, and He requests that you do so."	Allied Request	RAID_REGION	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_hel_attack_army_1	true	"Ares himself would surely grant you glorious victory if you crushed this enemy army!"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_hel_attack_army_2	true	"This army is undoubtedly a threat to us all. When will you be marching against them?"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_hel_attack_army_3	true	"This army is a danger. The Assembly wishes it destroyed for the good of all!"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_hel_attack_army_4	true	"Mount Olympus has willed that this army must be crushed! When do you move against it?"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_hel_attack_army_5	true	"It would please the Assembly if you would send a force to attack this army."	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_hel_attack_army_6	true	"Our wisest strategoi have decided that an attack on this army would bring great benefits to us all. Can you do this?"	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_hel_attack_in_defence_army_1	true	"Our lands are important. Your aid in defending them is expected, and will be remembered."	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_hel_attack_in_defence_army_2	true	"The Assembly sees risks to our lands. We would remember friends who marched and fought in our defence."	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
diplomatic_hel_attack_in_defence_army_3	true	"Our lands are at risk. It is imperative that you send an army to provide support."	Allied Request	ENGAGE_FORCE	rom_event_mission.png	greek_diplomacy.png	false
