variable_key	campaign_name	optional_difficulty_level	optional_campaign_type	value
prestige_region_value_short_normal	main_gaul			2.0000
prestige_region_value_short_normal	prologue_01			2.0000
prestige_region_value_short_normal	prologue_02			2.0000
prestige_region_value_short_normal	prologue_03			2.0000
region_sanitation_plague_chance_modifier	main_3c			7.0000
reinforcement_radius	prologue_03			1.0000
religion_drift	main_greek			0.0000
replenishment_base_land	main_gaul			3.0000
replenishment_base_sea	main_gaul			3.0000
replenishment_base_sea	main_greek			12.0000
replenishment_bonus_land_can_recruit_unit_owned_region	main_gaul			2.0000
replenishment_bonus_land_garrisoned_in_owned_province	main_gaul			2.0000
replenishment_bonus_land_garrisoned_in_shared_province	main_gaul			1.0000
replenishment_bonus_land_owned_region	main_gaul			1.0000
replenishment_bonus_sea_can_recruit_unit_owned_sea_region	main_gaul			2.0000
replenishment_bonus_sea_can_recruit_unit_owned_sea_region	main_greek			8.0000
replenishment_bonus_sea_garrisoned_in_owned_sea_region	main_gaul			2.0000
replenishment_bonus_sea_garrisoned_in_owned_sea_region	main_greek			2.0000
replenishment_bonus_sea_garrisoned_in_shared_sea_region	main_gaul			1.0000
replenishment_bonus_sea_garrisoned_in_shared_sea_region	main_greek			8.0000
replenishment_bonus_sea_owned_sea_region	main_gaul			1.0000
replenishment_bonus_sea_owned_sea_region	main_greek			2.0000
settlement_development_point_cost_secondary_slot_1_province_capital	main_gaul			1.0000
settlement_development_point_cost_secondary_slot_1	main_gaul			1.0000
settlement_development_point_cost_secondary_slot_2_province_capital	main_gaul			3.0000
settlement_development_point_cost_secondary_slot_2	main_gaul			4.0000
settlement_development_point_cost_secondary_slot_3_province_capital	main_gaul			7.0000
settlement_development_point_cost_secondary_slot_3	main_gaul			8.0000
settlement_development_point_cost_secondary_slot_4_province_capital	main_gaul			9.0000
settlement_development_point_cost_secondary_slot_4	main_gaul			10.0000
tax_efficiency_province_capital_score	main_gaul			1.0000
tax_efficiency_regions_maximum	main_gaul			50.0000
tax_efficiency_regions_maximum	main_greek			55.0000
tax_efficiency_regions_middle	main_gaul			25.0000
tax_efficiency_regions_middle	main_greek			20.0000
tax_efficiency_regions_minimum	main_gaul			5.0000
tax_efficiency_regions_minimum	main_greek			1.0000
tax_efficiency_result_maximum_reduction	main_gaul			80.0000
tax_efficiency_result_maximum_reduction	main_greek			95.0000
tax_efficiency_result_middle_reduction	main_gaul			40.0000
tax_efficiency_result_middle_reduction	main_greek			45.0000
tax_efficiency_result_minimum_reduction	main_gaul			1.0000
tax_efficiency_result_minimum_reduction	main_greek			5.0000
zone_of_control_land_radius	prologue_03			4.0000
zone_of_control_naval_radius	prologue_03			4.0000
