key	advice_thread	advice_thread_level	points_needed	game_area	category	sub_category	max_repeat_count	repeat_interval	pause_battle	priority_level	high_verbosity_only	locatable	parameter	on_display_script	on_click_script	suppressible	uninhibitable	audio_clip	advisor_name	for_loading_screen	movie_link
-1516645363	0044_Battle_Tip_Encircle_The_Enemy_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-152525085	1183_Campaign_Advice_Research_Halted_Thread	1	20	Campaign	Warnings	Research	0	3	false	1	false	false	none			false	false	n	campaign_advisor	false	
-1528505088	1048_Campaign_Advice_UI_Construction_Tab_Thread	1	1	Campaign	UI	Construction	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	
-1567524386	0014_Battle_Tip_Expendable_Troops_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-1581561178	1167_Campaign_Advice_Warning_Ally_Betrayal_Thread	2	6	Campaign	Warnings	Diplomacy	0	1	false	1	true	false	none			false	false	n	campaign_advisor	false	
-1594313916	1065_Campaign_Advice_General_Selected_Thread	6	25	Campaign	Characters	Commanders	1	0	false	2	true	false	none			false	false	n	campaign_advisor	true	
-1666667854	0010_Battle_Tip_Draw_Their_Fire_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-1701749777	0065_Battle_Tip_Cavalry_Charges_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-1744509802	0031_Battle_Tip_Defence_Against_Cavalry_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-1755835367	0106_Battle_Advice_Radar_Map_Thread	1	1	Battle	UI	HUD	1	0	false	1	true	false	none			false	false	n	battle_advisor	true	
-1805368716	0076_Battle_Tip_Camera_Controls_Thread	1	1	Battle	UI	Camera	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-1808504559	1058_Campaign_Advice_Farm_Selected_Thread	1	6	Campaign	Buildings	Slots	1	0	false	1	true	false	none			false	false	n	campaign_advisor	true	
-1871866990	1081_Campaign_Advice_Province_Button_Thread	3	9	Campaign	UI	Regions	1	0	false	1	false	false	none			false	false	n	campaign_advisor	true	
-1875830202	0007_Battle_Tip_Missile_Superiority_Thread	1	1	Battle	Units	Tactics	1	0	false	3	false	false	none			false	false	n	not applicable	true	
-1890476358	0062_Battle_Tip_Crossing_Attack_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-1899489232	0012_Battle_Tip_Fight_To_The_Death_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	false	
-1901858416	1014e_Campaign_Advice_UI_Diplomacy_Panel_Thread	1	1	Campaign	UI	Buttons	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	/tutorial/r2_videos_diplomacy_war
-1906180227	0025_Battle_Tip_Defending_With_Cavalry_Thread	1	1	Battle	Units	Tactics	1	0	false	3	false	false	none			false	false	n	not applicable	true	
-1961571108	1095_Campaign_Advice_Trade_Agreement_Thread	1	1	Campaign	Features	Trade	1	0	false	2	false	false	none			false	false	n	campaign_advisor	false	
-1961998855	0035_Battle_Tip_Driving_Off_Skirmishers_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-1969897884	0029_Battle_Tip_Cavalry_Against_Points_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-1995657968	1024_Campaign_Advice_UI_Lists_Panel_Thread	1	1	Campaign	UI	Lists	1	0	false	1	true	false	none			false	false	n	campaign_advisor	false	
-1999396619	1078_Campaign_Advice_Agent_Right_Click_Thread	1	1	Campaign	UI	Agents	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	
-2004663178	0019_Battle_Tip_Find_Weak_Spots_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-2014914668	0020_Battle_Tip_Avoid_Flanking_Thread	2	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-2017583094	1032_Campaign_Advice_UI_Technology_Panel_Thread	1	1	Campaign	UI	Technology	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	/tutorial/r2_videos_technology_research
-2023390722	0066_Battle_Tip_Defences_Stakes_Thread	1	1	Battle	Units	Tactics	1	0	false	3	false	false	none			false	false	n	not applicable	true	
-2039862233	1040_Campaign_Advice_UI_Postbattle_Panel_Thread	1	1	Campaign	UI	Battle	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	
-2134517828	0043_Battle_Tip_Enrage_The_Enemy_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-234487411	0017_Battle_Tip_Outflanking_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-237447599	1014f_Campaign_Advice_UI_Diplomacy_Panel_Thread	1	1	Campaign	UI	Buttons	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	
-245662021	0022_Battle_Tip_Wavy_Line_Formation_Thread	1	1	Battle	Units	Formations	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-245999870	1107_Campaign_Advice_Unexploited_Resources_Thread	1	5	Campaign	Warnings	Construction	0	5	false	2	true	true	region			false	false	n	campaign_advisor	false	
-325593809	1125_Campaign_Advice_Warning_Bankrupt_Thread	1	1	Campaign	Warnings	Bankruptcy	0	2	false	2	false	false	none			false	false	n	campaign_advisor	false	
-339955577	0082_Battle_Tip_Rallying_Thread	1	1	Battle	Features	General	1	0	false	3	false	false	none			false	false	n	not applicable	true	
-388492343	1185_Campaign_Advice_Warning_Infrastructure_Thread	1	5	Campaign	Warnings	Infrastructure	0	15	false	2	false	false	none			false	false	n	campaign_advisor	false	
-393224185	0015_Battle_Tip_Go_For_The_Throat_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-426685576	0064_Battle_Tip_Ambush_Attack_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-474106108	1079_Campaign_Advice_NPC_Right_Click_Thread	1	1	Campaign	UI	NPC	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	
-509629283	1084_Campaign_Advice_Tech_Right_Click_Thread	1	1	Campaign	UI	Panels	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	/tutorial/r2_videos_technology_research
-512693646	0054_Battle_Tip_Fight_Downhill_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-519238000	0080_Battle_Tip_Deployment_Order_Thread	1	1	Battle	Phases	Deployment	1	0	false	3	false	false	none			false	false	n	not applicable	false	
-537894077	0104_Battle_Advice_Group_Formations_Button_Thread	1	1	Battle	UI	Buttons	1	0	false	1	false	false	none			false	false	n	battle_advisor	false	/tutorial/r2_videos_controls_battleadvanced
-550746044	1051_Campaign_Advice_Merging_Armies_Thread	1	1	Campaign	Features	Armies	1	0	false	1	true	false	none			false	false	n	campaign_advisor	false	
-594453008	0124_Battle_Advice_Skirmish_Mode_Button_Thread	1	1	Battle	UI	Buttons	1	0	false	2	false	false	none			false	false	n	battle_advisor	true	
-595875202	1039_Campaign_Advice_UI_Prebattle_Panel_Thread	1	1	Campaign	UI	Battle	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	
-600261031	2195_Campaign_Advice_Passive_Spying_Thread	1	1	Campaign	Characters	Agents	1	0	false	2	false	false	none			false	false	n	campaign_advisor	true	
-722605174	0105_Battle_Advice_Group_Button_Thread	1	1	Battle	UI	Buttons	1	0	false	1	false	false	none			false	false	n	battle_advisor	false	
-729505557	0108_Battle_Advice_Killometer_Thread	1	1	Battle	UI	HUD	1	0	false	1	true	false	none			false	false	n	battle_advisor	true	
-737235711	1050_Campaign_Advice_UI_Exchange_Panel_Thread	1	1	Campaign	UI	Merging	1	0	false	1	true	false	none			false	false	n	campaign_advisor	false	
-757350914	1059_Campaign_Advice_Mine_Selected_Thread	1	1	Campaign	Buildings	Slots	1	0	false	1	true	false	none			false	false	n	campaign_advisor	false	
-758254518	0045_Battle_Tip_Outnumbered_By_The_Enemy_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-788769149	0018_Battle_Tip_Outflanking_With_Cavalry_Thread	2	1	Battle	Units	Tactics	1	0	false	2	true	false	none			true	false	n	not applicable	true	
-795357910	1119_Campaign_Advice_Warning_Rebellion_Thread	2	2	Campaign	Warnings	Rebellions	0	1	false	2	true	true	region			false	false	n	campaign_advisor	false	
-825618887	1143_Campaign_Advice_Trade_Route_Raided_Thread	1	1	Campaign	Features	Trade	0	1	false	1	false	true	faction_sea_trade_raided			false	false	n	campaign_advisor	false	
-854614115	0004_Battle_Tip_Player_Defending_Hill_Thread	1	1	Battle	Units	Tactics	1	4	false	3	true	false	none			false	false	n	not applicable	true	
-855205336	1065_Campaign_Advice_General_Selected_Thread	1	1	Campaign	Characters	Commanders	1	0	false	2	false	false	none			false	false	n	campaign_advisor	true	
-865899355	1112_Campaign_Advice_Resources_Thread	1	1	Campaign	Features	Resources	1	0	false	2	false	false	none			false	false	n	campaign_advisor	true	
-878278296	1065_Campaign_Advice_General_Selected_Thread	7	30	Campaign	Characters	Commanders	1	0	false	1	false	false	none			false	false	n	campaign_advisor	true	
-895189344	0057_Battle_Tip_Rallying_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-925500629	1014n_Campaign_Advice_UI_Diplomacy_Panel_Thread	1	12	Campaign	UI	Buttons	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	
-939651342	1101_Campaign_Advice_Sieges_Thread	1	1	Campaign	Features	Sieges	1	0	false	1	false	false	none			false	false	n	campaign_advisor	true	/tutorial/r2_videos_armystances_siegestance
-97375295	0072_Battle_Tip_Hiding_At_Sea_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-981340853	0011_Battle_Tip_Counter_Charge_Thread	1	1	Battle	Units	Tactics	1	0	false	2	true	false	none			false	false	n	not applicable	true	
1000206666	1114_Campaign_Advice_Keyboard_Shortcuts_Thread	3	4	Campaign	UI	Keyboard	1	0	false	2	true	false	none			false	false	n	campaign_advisor	true	
1019079545	0006_Battle_Tip_Enemy_Sitting_Targets_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
1020531268	0079_Battle_Tip_Generals_Influence_Thread	1	1	Battle	Features	Tactics	1	0	false	3	false	false	none			false	false	n	not applicable	true	
1041566911	0020_Battle_Tip_Avoid_Flanking_Thread	1	1	Battle	Units	Tactics	1	0	false	2	true	false	none			true	false	n	not applicable	true	
1060240560	0039_Battle_Tip_Offer_Ambush_Bait_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
1085557272	0049_Battle_Tip_High_Ground_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
1093841867	0038_Battle_Tip_Stay_In_Cover_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
1110538712	1092_Campaign_Advice_Region_Capital_Thread	2	16	Campaign	Regions	Settlements	1	0	false	1	false	false	none			false	false	n	campaign_advisor	true	
111349601	0004_Battle_Tip_Player_Defending_Hill_Thread	2	2	Battle	Units	Tactics	1	4	false	3	true	false	none			false	false	n	not applicable	true	
1119796260	1029e_Campaign_Advice_UI_Finance_Panel_Thread	1	2	Campaign	UI	Finance	1	0	false	1	false	false	none			false	false	n	campaign_advisor	true	
1129360188	0016_Battle_Tip_Fixing_Killing_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
113649401	1039_Campaign_Advice_UI_Prebattle_Panel_Thread	2	2	Campaign	UI	Battle	1	0	false	1	false	false	none			false	false	n	campaign_advisor	true	
1170317847	0032_Battle_Tip_Good_Target_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
1198010380	1077_Campaign_Advice_NPC_Selected_Thread	1	1	Campaign	Characters	NPC	1	0	false	2	true	false	none			false	false	n	campaign_advisor	false	
1212482652	0026_Battle_Tip_Cavalry_In_Reserve_Thread	1	1	Battle	Units	Tactics	1	0	false	3	false	false	none			false	false	n	not applicable	true	
1212661715	0048_Battle_Tip_Overcommitment_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
1213169590	0123_Battle_Advice_Review_Panel_Thread	1	1	Battle	UI	HUD	1	0	false	1	true	false	none			false	false	n	battle_advisor	true	
1213263346	0127_Battle_Advice_Siege_Assault_Thread	1	1	Battle	Siege	Attack	1	0	false	1	false	false	none			false	false	n	battle_advisor	false	
1216301252	1090_Campaign_Advice_Multi_Turn_Moves_Thread	1	1	Campaign	Character	Movement	1	0	false	2	true	false	none			false	false	n	campaign_advisor	false	
1217512772	1014a_Campaign_Advice_UI_Diplomacy_Panel_Thread	1	1	Campaign	UI	Buttons	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	/tutorial/r2_videos_diplomacy_Tradeagreements
1217586072	1029c_Campaign_Advice_UI_Finance_Panel_Thread	1	3	Campaign	UI	Finance	1	0	false	1	false	false	none			false	false	n	campaign_advisor	true	
1217604599	1108_Campaign_Advice_Bookmarks_Thread	1	1	Campaign	Features	Camera	1	0	false	2	true	false	none			false	false	n	campaign_advisor	true	
1217921189	1065_Campaign_Advice_General_Selected_Thread	4	15	Campaign	Characters	Commanders	1	0	false	2	false	false	none			false	false	n	campaign_advisor	true	
1218788185	1123_Campaign_Advice_Warning_Upkeep_Thread	1	1	Campaign	Warnings	Upkeep	0	2	false	2	false	false	none			false	false	n	campaign_advisor	false	
1219328082	1116_Campaign_Advice_UI_Help_Buttons_Thread	1	1	Campaign	UI	Help	1	0	false	1	false	false	none			false	false	n	campaign_advisor	true	
1220977758	1122_Campaign_Advice_Warning_Bankrupt_Thread	1	1	Campaign	Warnings	Bankrupt	0	2	false	2	false	false	none			false	false	n	campaign_advisor	false	
1223289843	1048_Campaign_Advice_UI_Construction_Tab_Thread	2	9	Campaign	UI	Panels	1	0	false	1	false	false	none			false	false	n	campaign_advisor	true	
1224585565	0027_Battle_Tip_Cavalry_Cycle_Thread	2	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
1227695361	1213_Campaign_Advice_Digging_In_Thread	1	1	Campaign	Features	Defences	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	
1229686133	1081_Campaign_Advice_Province_Button_Thread	2	6	Campaign	UI	Regions	1	0	false	1	false	false	none			false	false	n	campaign_advisor	true	
1232708197	1216_Campaign_Advice_Zones_Of_Control_Thread	1	3	Campaign	Features	Movement	1	0	false	1	false	false	none			false	false	n	campaign_advisor	true	
1242280643	1031_Campaign_Advice_UI_Technology_Panel_Thread	1	1	Campaign	UI	Technology	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	/tutorial/r2_videos_technology_research
1242837398	1110_Campaign_Advice_Trade_Routes_Thread	1	4	Campaign	Features	Trade	1	0	false	1	false	false	none			false	false	n	campaign_advisor	true	/tutorial/r2_videos_economy_trade
124410149	0002_Battle_Tip_Enemy_Forming_Up_Thread	1	1	Battle	Units	Tactics	1	4	false	3	true	false	none			false	false	n	not applicable	true	
1245539238	0078_Battle_Tip_Extreme_Weather_Thread	1	1	Battle	Units	Tactics	1	0	false	3	false	false	none			false	false	n	not applicable	true	
1247116376	0005_Battle_Tip_Preserve_Skirmishers_Thread	1	1	Battle	Units	Tactics	2	2	false	3	true	false	none			false	false	n	not applicable	true	
1247479159	1039_Campaign_Advice_UI_Prebattle_Panel_Thread	3	4	Campaign	UI	Battle	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	
1255005425	0081_Battle_Tip_Generals_Inspiration_Thread	1	1	Battle	Features	General	1	0	false	3	false	false	none			false	false	n	not applicable	true	/tutorial/r2_videos_abilities_generals
1259146729	2213_Campaign_Advice_New_Protectorate_Thread	1	1	Campaign	Features	Protectorates	1	0	false	1	false	false	faction			false	false	n	campaign_advisor	false	
1264671506	1127_Campaign_Advice_Warning_Trade_Thread	1	1	Campaign	Warnings	Trade	0	15	false	2	true	false	none			false	false	n	campaign_advisor	false	
1273390037	0053_Battle_Tip_Mountain_Passes_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
1291133193	0030_Battle_Tip_Cavalry_Against_Points_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
1308478569	0018_Battle_Tip_Outflanking_With_Cavalry_Thread	3	3	Battle	Units	Tactics	1	0	false	2	true	false	none			false	false	n	not applicable	true	
1310965009	0069_Battle_Tip_Defences_Stakes_Thread	1	1	Battle	Units	Land	1	0	false	3	false	false	none			false	false	n	not applicable	false	
131718024	0047_Battle_Tip_Distract_The_Enemy_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
132393743	0052_Battle_Tip_Mountain_Passes_Thread	1	1	Battle	Units	Tactics	1	0	false	2	true	false	none			false	false	n	not applicable	true	
1387459530	0017_Battle_Tip_Outflanking_Thread	2	2	Battle	Units	Tactics	1	0	false	2	true	false	none			false	false	n	not applicable	true	
1391140702	1066_Campaign_Advice_Fleet_Selected_Thread	5	8	Campaign	Characters	Commanders	1	0	false	2	false	false	none			false	false	n	campaign_advisor	false	
1392703367	1114_Campaign_Advice_Keyboard_Shortcuts_Thread	1	1	Campaign	UI	Keyboard	1	0	false	2	true	false	none			false	false	n	campaign_advisor	true	
1412070137	1065_Campaign_Advice_General_Selected_Thread	5	20	Campaign	Characters	Commanders	1	0	false	2	false	false	none			false	false	n	campaign_advisor	true	
1424352004	0107_Battle_Advice_Melee_Button_Thread	1	1	Battle	UI	Buttons	1	0	false	1	true	false	none			false	false	n	battle_advisor	true	
1431102331	0056_Battle_Tip_Facing_Cavalry_Thread	1	1	Battle	Units	Tactics	1	0	false	3	false	false	none			false	false	n	not applicable	true	
143874018	0021_Battle_Tip_Reserves_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
1475059206	0051_Battle_Tip_Keep_Enemy_Occupied_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
1499695591	1092_Campaign_Advice_Region_Capital_Thread	4	8	Campaign	Regions	Settlements	1	0	false	1	false	false	none			false	false	n	campaign_advisor	true	
1500507282	1025_Campaign_Advice_UI_Lists_Panel_Thread	1	1	Campaign	UI	Lists	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	
1572526606	0023_Battle_Tip_Attacking_Hills_Thread	1	1	Battle	Units	Tactics	1	4	false	3	true	false	none			false	false	n	not applicable	true	
1590729744	1028_Campaign_Advice_UI_Clan_Panel_Thread	1	1	Campaign	UI	Clan	1	0	false	1	false	false	none			false	false	n	campaign_advisor	true	
1591689763	0028_Battle_Tip_Cavalry_Against_Points_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
1599262495	0075_Battle_Tip_Delay_Phase_Thread	1	1	Battle	Phases	Delay	1	0	false	3	true	false	none			false	false	n	not applicable	false	
1621609724	0103_Battle_Advice_Withdraw_Button_Thread	1	1	Battle	UI	Buttons	1	0	false	1	false	false	none			false	false	n	battle_advisor	false	
1629386802	1101_Campaign_Advice_Sieges_Thread	2	3	Campaign	Features	Sieges	1	0	false	1	true	false	none			false	false	n	campaign_advisor	true	
164466	1148_Campaign_Advice_Port_Blockaded_Thread	1	1	Campaign	Features	Blockades	1	0	false	1	false	true	region			false	false	n	campaign_advisor	false	
1649185866	0068_Battle_Tip_Terrain_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
1747583890	1030b_Campaign_Advice_UI_Events_Panel_Thread	1	1	Campaign	UI	Events	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	
1749194297	0050_Battle_Tip_Avoid_Elite_Units_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
17591341	0027_Battle_Tip_Cavalry_Cycle_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
1759254827	0122_Battle_Advice_Naval_Boarding_Meter_Thread	1	1	Battle	UI	HUD	1	0	false	1	false	false	none			false	false	n	battle_advisor	true	
1782364698	1049_Campaign_Advice_UI_Recruitment_Tab_Thread	1	1	Campaign	UI	Recruitment	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	
1833752382	1066_Campaign_Advice_Fleet_Selected_Thread	4	6	Campaign	Characters	Commanders	1	0	false	2	false	false	none			false	false	n	campaign_advisor	false	
1838504917	1147_Campaign_Advice_Trade_Nodes_Thread	1	2	Campaign	Features	Trade	0	4	false	2	false	false	none			false	false	n	campaign_advisor	false	
1857473489	1091_Campaign_Advice_Movement_Exhausted_Thread	1	1	Campaign	Character	Movement	1	0	false	3	true	false	none			false	false	n	campaign_advisor	false	
1877282481	0116_Battle_Advice_Speed_Slider_Thread	1	1	Battle	UI	HUD	1	0	false	1	true	false	none			false	false	n	battle_advisor	false	
1882907085	0073_Battle_Tip_Siege_Ladders_Thread	1	1	Battle	Siege	Attack	1	0	false	3	true	false	none			false	false	n	not applicable	false	
1900236590	1095_Campaign_Advice_Trade_Agreement_Thread	2	4	Campaign	Features	Trade	1	0	false	1	true	false	none			false	false	n	campaign_advisor	true	
1912850156	0024_Battle_Tip_Fighting_With_Cavalry_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
1913603768	2194_Campaign_Advice_Advisor_Back_Button_Thread	1	1	Campaign	UI	Advisor	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	
1949671761	2198_Campaign_Advice_Replenishment_Advice_Thread	1	1	Campaign	Features	Replenishment	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	
1953611164	1119_Campaign_Advice_Warning_Rebellion_Thread	1	1	Campaign	Warnings	Rebellions	0	1	false	2	false	true	region			false	false	n	campaign_advisor	false	
2032462934	0129_Battle_Advice_Deployment_Phase_Thread	1	1	Battle	Phases	Deployment	1	0	false	1	true	false	none			false	false	n	battle_advisor	true	
2045097248	1081_Campaign_Advice_Province_Button_Thread	4	12	Campaign	UI	Regions	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	
2047305771	1014d_Campaign_Advice_UI_Diplomacy_Panel_Thread	1	1	Campaign	UI	Buttons	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	/tutorial/r2_videos_diplomacy_Satrapies&clientstates
2087532824	0003_Battle_Tip_Enemy_Defending_Hill_Thread	1	1	Battle	Units	Tactics	1	4	false	3	true	false	none			false	false	n	not applicable	true	
2105808871	1118_Campaign_Advice_Warning_Riot_Thread	1	1	Campaign	Warnings	Riots	0	1	false	2	false	true	region			false	false	n	campaign_advisor	false	
2126291480	1142_Campaign_Advice_Trade_Route_Raided_Thread	1	1	Campaign	Features	Trade	1	0	false	1	false	true	map_position			false	false	n	campaign_advisor	false	
2139657673	1014_Campaign_Advice_UI_Diplomacy_Panel_Thread	1	1	Campaign	Features	Diplomacy	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	
2139657684	1013_Campaign_Advice_UI_Diplomacy_Thread	1	1	Campaign	Features	Diplomacy	1	0	false	1	false	false	none			false	false	n	campaign_advisor	true	
2139657687	1023_Campaign_Advice_UI_Radar_Map_Thread	1	1	Campaign	UI	Radar	1	0	false	1	false	false	none			false	false	n	campaign_advisor	true	
2139657696	1028a_Campaign_Advice_UI_Faction_Panel_Thread	1	1	Campaign	UI	Clan	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	/tutorial/r2_videos_management_Politicalpower
2139657704	1028b_Campaign_Advice_UI_Faction_Panel_Thread	1	1	Campaign	UI	Clan	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	
2139657708	1029a_Campaign_Advice_UI_Finance_Panel_Thread	1	1	Campaign	UI	Finance	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	
2139657712	1029b_Campaign_Advice_UI_Finance_Panel_Thread	1	1	Campaign	UI	Finance	1	0	false	1	false	false	none			false	false	n	campaign_advisor	true	
