attitude	culture	faction	government_type	key	option	string
hostile	rom_Roman	3c_palmyra	gov_absolute_monarchy	accept	2	fem_rome_zenobia_accept_demanding_06
friendly	rom_Roman	emp_antony	gov_absolute_monarchy	accept	0	rome_ee_accept_begging_01
friendly	rom_Roman	emp_antony	gov_absolute_monarchy	accept	1	rome_ee_accept_begging_02
friendly	rom_Roman	emp_antony	gov_absolute_monarchy	accept	2	rome_ee_accept_begging_03
friendly	rom_Roman	emp_antony	gov_absolute_monarchy	accept	3	rome_ee_accept_begging_04
friendly	rom_Roman	emp_antony	gov_absolute_monarchy	accept	4	rome_ee_accept_begging_05
friendly	rom_Roman	emp_antony	gov_absolute_monarchy	accept	5	rome_ee_accept_begging_06
hostile	rom_Roman	emp_antony	gov_absolute_monarchy	accept	0	rome_ee_accept_demanding_01
hostile	rom_Roman	emp_antony	gov_absolute_monarchy	accept	1	rome_ee_accept_demanding_02
hostile	rom_Roman	emp_antony	gov_absolute_monarchy	accept	2	rome_ee_accept_demanding_03
hostile	rom_Roman	emp_antony	gov_absolute_monarchy	accept	3	rome_ee_accept_demanding_04
hostile	rom_Roman	emp_antony	gov_absolute_monarchy	accept	4	rome_ee_accept_demanding_05
hostile	rom_Roman	emp_antony	gov_absolute_monarchy	accept	5	rome_ee_accept_demanding_06
friendly	rom_Roman	emp_lepidus	gov_absolute_monarchy	accept	0	rome_ee_accept_begging_01
friendly	rom_Roman	emp_lepidus	gov_absolute_monarchy	accept	1	rome_ee_accept_begging_02
friendly	rom_Roman	emp_lepidus	gov_absolute_monarchy	accept	2	rome_ee_accept_begging_03
friendly	rom_Roman	emp_lepidus	gov_absolute_monarchy	accept	3	rome_ee_accept_begging_04
friendly	rom_Roman	emp_lepidus	gov_absolute_monarchy	accept	4	rome_ee_accept_begging_05
friendly	rom_Roman	emp_lepidus	gov_absolute_monarchy	accept	5	rome_ee_accept_begging_06
hostile	rom_Roman	emp_lepidus	gov_absolute_monarchy	accept	0	rome_ee_accept_demanding_01
hostile	rom_Roman	emp_lepidus	gov_absolute_monarchy	accept	1	rome_ee_accept_demanding_02
hostile	rom_Roman	emp_lepidus	gov_absolute_monarchy	accept	2	rome_ee_accept_demanding_03
hostile	rom_Roman	emp_lepidus	gov_absolute_monarchy	accept	3	rome_ee_accept_demanding_04
hostile	rom_Roman	emp_lepidus	gov_absolute_monarchy	accept	4	rome_ee_accept_demanding_05
hostile	rom_Roman	emp_lepidus	gov_absolute_monarchy	accept	5	rome_ee_accept_demanding_06
friendly	rom_Roman	emp_octavian	gov_absolute_monarchy	accept	0	rome_ee_accept_begging_01
friendly	rom_Roman	emp_octavian	gov_absolute_monarchy	accept	1	rome_ee_accept_begging_02
friendly	rom_Roman	emp_octavian	gov_absolute_monarchy	accept	2	rome_ee_accept_begging_03
friendly	rom_Roman	emp_octavian	gov_absolute_monarchy	accept	3	rome_ee_accept_begging_04
friendly	rom_Roman	emp_octavian	gov_absolute_monarchy	accept	4	rome_ee_accept_begging_05
friendly	rom_Roman	emp_octavian	gov_absolute_monarchy	accept	5	rome_ee_accept_begging_06
hostile	rom_Roman	emp_octavian	gov_absolute_monarchy	accept	0	rome_ee_accept_demanding_01
hostile	rom_Roman	emp_octavian	gov_absolute_monarchy	accept	1	rome_ee_accept_demanding_02
hostile	rom_Roman	emp_octavian	gov_absolute_monarchy	accept	2	rome_ee_accept_demanding_03
hostile	rom_Roman	emp_octavian	gov_absolute_monarchy	accept	3	rome_ee_accept_demanding_04
hostile	rom_Roman	emp_octavian	gov_absolute_monarchy	accept	4	rome_ee_accept_demanding_05
hostile	rom_Roman	emp_octavian	gov_absolute_monarchy	accept	5	rome_ee_accept_demanding_06
friendly	rom_Roman	emp_pompey	gov_absolute_monarchy	accept	0	rome_ee_accept_begging_01
friendly	rom_Roman	emp_pompey	gov_absolute_monarchy	accept	1	rome_ee_accept_begging_02
friendly	rom_Roman	emp_pompey	gov_absolute_monarchy	accept	2	rome_ee_accept_begging_03
friendly	rom_Roman	emp_pompey	gov_absolute_monarchy	accept	3	rome_ee_accept_begging_04
friendly	rom_Roman	emp_pompey	gov_absolute_monarchy	accept	4	rome_ee_accept_begging_05
friendly	rom_Roman	emp_pompey	gov_absolute_monarchy	accept	5	rome_ee_accept_begging_06
hostile	rom_Roman	emp_pompey	gov_absolute_monarchy	accept	0	rome_ee_accept_demanding_01
hostile	rom_Roman	emp_pompey	gov_absolute_monarchy	accept	1	rome_ee_accept_demanding_02
hostile	rom_Roman	emp_pompey	gov_absolute_monarchy	accept	2	rome_ee_accept_demanding_03
hostile	rom_Roman	emp_pompey	gov_absolute_monarchy	accept	3	rome_ee_accept_demanding_04
hostile	rom_Roman	emp_pompey	gov_absolute_monarchy	accept	4	rome_ee_accept_demanding_05
hostile	rom_Roman	emp_pompey	gov_absolute_monarchy	accept	5	rome_ee_accept_demanding_06
friendly	rom_Roman	inv_aequi	gov_absolute_monarchy	accept	0	rome_ee_accept_begging_01
friendly	rom_Roman	inv_aequi	gov_absolute_monarchy	accept	1	rome_ee_accept_begging_02
friendly	rom_Roman	inv_aequi	gov_absolute_monarchy	accept	2	rome_ee_accept_begging_03
friendly	rom_Roman	inv_aequi	gov_absolute_monarchy	accept	3	rome_ee_accept_begging_04
friendly	rom_Roman	inv_aequi	gov_absolute_monarchy	accept	4	rome_ee_accept_begging_05
friendly	rom_Roman	inv_aequi	gov_absolute_monarchy	accept	5	rome_ee_accept_begging_06
hostile	rom_Roman	inv_aequi	gov_absolute_monarchy	accept	0	rome_ee_accept_demanding_01
hostile	rom_Roman	inv_aequi	gov_absolute_monarchy	accept	1	rome_ee_accept_demanding_02
hostile	rom_Roman	inv_aequi	gov_absolute_monarchy	accept	2	rome_ee_accept_demanding_03
hostile	rom_Roman	inv_aequi	gov_absolute_monarchy	accept	3	rome_ee_accept_demanding_04
hostile	rom_Roman	inv_aequi	gov_absolute_monarchy	accept	4	rome_ee_accept_demanding_05
hostile	rom_Roman	inv_aequi	gov_absolute_monarchy	accept	5	rome_ee_accept_demanding_06
friendly	rom_Roman	inv_aleria	gov_absolute_monarchy	accept	0	rome_Etr_Gen1_accept_begging_01
friendly	rom_Roman	inv_aleria	gov_absolute_monarchy	accept	1	rome_Etr_Gen1_accept_begging_02
friendly	rom_Roman	inv_aleria	gov_absolute_monarchy	accept	2	rome_Etr_Gen1_accept_begging_03
friendly	rom_Roman	inv_aleria	gov_absolute_monarchy	accept	3	rome_Etr_Gen1_accept_requesting_01
friendly	rom_Roman	inv_aleria	gov_absolute_monarchy	accept	4	rome_Etr_Gen1_accept_requesting_02
friendly	rom_Roman	inv_aleria	gov_absolute_monarchy	accept	5	rome_Etr_Gen1_accept_requesting_03
hostile	rom_Roman	inv_aleria	gov_absolute_monarchy	accept	0	rome_Etr_Gen1_accept_demanding_01
hostile	rom_Roman	inv_aleria	gov_absolute_monarchy	accept	1	rome_Etr_Gen1_accept_demanding_02
hostile	rom_Roman	inv_aleria	gov_absolute_monarchy	accept	2	rome_Etr_Gen1_accept_demanding_03
friendly	rom_Roman	inv_aritim	gov_absolute_monarchy	accept	0	rome_Etr_Gen1_accept_begging_01
friendly	rom_Roman	inv_aritim	gov_absolute_monarchy	accept	1	rome_Etr_Gen1_accept_begging_02
friendly	rom_Roman	inv_aritim	gov_absolute_monarchy	accept	2	rome_Etr_Gen1_accept_begging_03
friendly	rom_Roman	inv_aritim	gov_absolute_monarchy	accept	3	rome_Etr_Gen1_accept_requesting_01
friendly	rom_Roman	inv_aritim	gov_absolute_monarchy	accept	4	rome_Etr_Gen1_accept_requesting_02
friendly	rom_Roman	inv_aritim	gov_absolute_monarchy	accept	5	rome_Etr_Gen1_accept_requesting_03
hostile	rom_Roman	inv_aritim	gov_absolute_monarchy	accept	0	rome_Etr_Gen1_accept_demanding_01
hostile	rom_Roman	inv_aritim	gov_absolute_monarchy	accept	1	rome_Etr_Gen1_accept_demanding_02
hostile	rom_Roman	inv_aritim	gov_absolute_monarchy	accept	2	rome_Etr_Gen1_accept_demanding_03
friendly	rom_Roman	inv_bruttii	gov_absolute_monarchy	accept	0	rome_ee_accept_begging_01
friendly	rom_Roman	inv_bruttii	gov_absolute_monarchy	accept	1	rome_ee_accept_begging_02
friendly	rom_Roman	inv_bruttii	gov_absolute_monarchy	accept	2	rome_ee_accept_begging_03
friendly	rom_Roman	inv_bruttii	gov_absolute_monarchy	accept	3	rome_ee_accept_begging_04
friendly	rom_Roman	inv_bruttii	gov_absolute_monarchy	accept	4	rome_ee_accept_begging_05
friendly	rom_Roman	inv_bruttii	gov_absolute_monarchy	accept	5	rome_ee_accept_begging_06
hostile	rom_Roman	inv_bruttii	gov_absolute_monarchy	accept	0	rome_ee_accept_demanding_01
hostile	rom_Roman	inv_bruttii	gov_absolute_monarchy	accept	1	rome_ee_accept_demanding_02
hostile	rom_Roman	inv_bruttii	gov_absolute_monarchy	accept	2	rome_ee_accept_demanding_03
hostile	rom_Roman	inv_bruttii	gov_absolute_monarchy	accept	3	rome_ee_accept_demanding_04
hostile	rom_Roman	inv_bruttii	gov_absolute_monarchy	accept	4	rome_ee_accept_demanding_05
hostile	rom_Roman	inv_bruttii	gov_absolute_monarchy	accept	5	rome_ee_accept_demanding_06
friendly	rom_Roman	inv_daunians	gov_absolute_monarchy	accept	0	rome_ee_accept_begging_01
friendly	rom_Roman	inv_daunians	gov_absolute_monarchy	accept	1	rome_ee_accept_begging_02
friendly	rom_Roman	inv_daunians	gov_absolute_monarchy	accept	2	rome_ee_accept_begging_03
friendly	rom_Roman	inv_daunians	gov_absolute_monarchy	accept	3	rome_ee_accept_begging_04
friendly	rom_Roman	inv_daunians	gov_absolute_monarchy	accept	4	rome_ee_accept_begging_05
friendly	rom_Roman	inv_daunians	gov_absolute_monarchy	accept	5	rome_ee_accept_begging_06
hostile	rom_Roman	inv_daunians	gov_absolute_monarchy	accept	0	rome_ee_accept_demanding_01
hostile	rom_Roman	inv_daunians	gov_absolute_monarchy	accept	1	rome_ee_accept_demanding_02
hostile	rom_Roman	inv_daunians	gov_absolute_monarchy	accept	2	rome_ee_accept_demanding_03
hostile	rom_Roman	inv_daunians	gov_absolute_monarchy	accept	3	rome_ee_accept_demanding_04
hostile	rom_Roman	inv_daunians	gov_absolute_monarchy	accept	4	rome_ee_accept_demanding_05
hostile	rom_Roman	inv_daunians	gov_absolute_monarchy	accept	5	rome_ee_accept_demanding_06
friendly	rom_Roman	inv_felathri	gov_absolute_monarchy	accept	0	rome_Etr_Gen1_accept_begging_01
friendly	rom_Roman	inv_felathri	gov_absolute_monarchy	accept	1	rome_Etr_Gen1_accept_begging_02
friendly	rom_Roman	inv_felathri	gov_absolute_monarchy	accept	2	rome_Etr_Gen1_accept_begging_03
friendly	rom_Roman	inv_felathri	gov_absolute_monarchy	accept	3	rome_Etr_Gen1_accept_requesting_01
friendly	rom_Roman	inv_felathri	gov_absolute_monarchy	accept	4	rome_Etr_Gen1_accept_requesting_02
friendly	rom_Roman	inv_felathri	gov_absolute_monarchy	accept	5	rome_Etr_Gen1_accept_requesting_03
hostile	rom_Roman	inv_felathri	gov_absolute_monarchy	accept	0	rome_Etr_Gen1_accept_demanding_01
hostile	rom_Roman	inv_felathri	gov_absolute_monarchy	accept	1	rome_Etr_Gen1_accept_demanding_02
hostile	rom_Roman	inv_felathri	gov_absolute_monarchy	accept	2	rome_Etr_Gen1_accept_demanding_03
friendly	rom_Roman	inv_frentani	gov_absolute_monarchy	accept	0	rome_ee_accept_begging_01
friendly	rom_Roman	inv_frentani	gov_absolute_monarchy	accept	1	rome_ee_accept_begging_02
friendly	rom_Roman	inv_frentani	gov_absolute_monarchy	accept	2	rome_ee_accept_begging_03
friendly	rom_Roman	inv_frentani	gov_absolute_monarchy	accept	3	rome_ee_accept_begging_04
friendly	rom_Roman	inv_frentani	gov_absolute_monarchy	accept	4	rome_ee_accept_begging_05
friendly	rom_Roman	inv_frentani	gov_absolute_monarchy	accept	5	rome_ee_accept_begging_06
hostile	rom_Roman	inv_frentani	gov_absolute_monarchy	accept	0	rome_ee_accept_demanding_01
hostile	rom_Roman	inv_frentani	gov_absolute_monarchy	accept	1	rome_ee_accept_demanding_02
hostile	rom_Roman	inv_frentani	gov_absolute_monarchy	accept	2	rome_ee_accept_demanding_03
hostile	rom_Roman	inv_frentani	gov_absolute_monarchy	accept	3	rome_ee_accept_demanding_04
hostile	rom_Roman	inv_frentani	gov_absolute_monarchy	accept	4	rome_ee_accept_demanding_05
hostile	rom_Roman	inv_frentani	gov_absolute_monarchy	accept	5	rome_ee_accept_demanding_06
friendly	rom_Roman	inv_hernici	gov_absolute_monarchy	accept	0	rome_ee_accept_begging_01
friendly	rom_Roman	inv_hernici	gov_absolute_monarchy	accept	1	rome_ee_accept_begging_02
friendly	rom_Roman	inv_hernici	gov_absolute_monarchy	accept	2	rome_ee_accept_begging_03
friendly	rom_Roman	inv_hernici	gov_absolute_monarchy	accept	3	rome_ee_accept_begging_04
friendly	rom_Roman	inv_hernici	gov_absolute_monarchy	accept	4	rome_ee_accept_begging_05
friendly	rom_Roman	inv_hernici	gov_absolute_monarchy	accept	5	rome_ee_accept_begging_06
hostile	rom_Roman	inv_hernici	gov_absolute_monarchy	accept	0	rome_ee_accept_demanding_01
hostile	rom_Roman	inv_hernici	gov_absolute_monarchy	accept	1	rome_ee_accept_demanding_02
hostile	rom_Roman	inv_hernici	gov_absolute_monarchy	accept	2	rome_ee_accept_demanding_03
hostile	rom_Roman	inv_hernici	gov_absolute_monarchy	accept	3	rome_ee_accept_demanding_04
hostile	rom_Roman	inv_hernici	gov_absolute_monarchy	accept	4	rome_ee_accept_demanding_05
hostile	rom_Roman	inv_hernici	gov_absolute_monarchy	accept	5	rome_ee_accept_demanding_06
friendly	rom_Roman	inv_inc_hirpini	gov_absolute_monarchy	accept	0	rome_ee_accept_begging_01
friendly	rom_Roman	inv_inc_hirpini	gov_absolute_monarchy	accept	1	rome_ee_accept_begging_02
friendly	rom_Roman	inv_inc_hirpini	gov_absolute_monarchy	accept	2	rome_ee_accept_begging_03
friendly	rom_Roman	inv_inc_hirpini	gov_absolute_monarchy	accept	3	rome_ee_accept_begging_04
friendly	rom_Roman	inv_inc_hirpini	gov_absolute_monarchy	accept	4	rome_ee_accept_begging_05
friendly	rom_Roman	inv_inc_hirpini	gov_absolute_monarchy	accept	5	rome_ee_accept_begging_06
hostile	rom_Roman	inv_inc_hirpini	gov_absolute_monarchy	accept	0	rome_ee_accept_demanding_01
hostile	rom_Roman	inv_inc_hirpini	gov_absolute_monarchy	accept	1	rome_ee_accept_demanding_02
hostile	rom_Roman	inv_inc_hirpini	gov_absolute_monarchy	accept	2	rome_ee_accept_demanding_03
hostile	rom_Roman	inv_inc_hirpini	gov_absolute_monarchy	accept	3	rome_ee_accept_demanding_04
hostile	rom_Roman	inv_inc_hirpini	gov_absolute_monarchy	accept	4	rome_ee_accept_demanding_05
hostile	rom_Roman	inv_inc_hirpini	gov_absolute_monarchy	accept	5	rome_ee_accept_demanding_06
friendly	rom_Roman	inv_lucani	gov_absolute_monarchy	accept	0	rome_ee_accept_begging_01
friendly	rom_Roman	inv_lucani	gov_absolute_monarchy	accept	1	rome_ee_accept_begging_02
friendly	rom_Roman	inv_lucani	gov_absolute_monarchy	accept	2	rome_ee_accept_begging_03
friendly	rom_Roman	inv_lucani	gov_absolute_monarchy	accept	3	rome_ee_accept_begging_04
friendly	rom_Roman	inv_lucani	gov_absolute_monarchy	accept	4	rome_ee_accept_begging_05
friendly	rom_Roman	inv_lucani	gov_absolute_monarchy	accept	5	rome_ee_accept_begging_06
hostile	rom_Roman	inv_lucani	gov_absolute_monarchy	accept	0	rome_ee_accept_demanding_01
hostile	rom_Roman	inv_lucani	gov_absolute_monarchy	accept	1	rome_ee_accept_demanding_02
hostile	rom_Roman	inv_lucani	gov_absolute_monarchy	accept	2	rome_ee_accept_demanding_03
hostile	rom_Roman	inv_lucani	gov_absolute_monarchy	accept	3	rome_ee_accept_demanding_04
hostile	rom_Roman	inv_lucani	gov_absolute_monarchy	accept	4	rome_ee_accept_demanding_05
hostile	rom_Roman	inv_lucani	gov_absolute_monarchy	accept	5	rome_ee_accept_demanding_06
friendly	rom_Roman	inv_marrucini	gov_absolute_monarchy	accept	0	rome_ee_accept_begging_01
friendly	rom_Roman	inv_marrucini	gov_absolute_monarchy	accept	1	rome_ee_accept_begging_02
friendly	rom_Roman	inv_marrucini	gov_absolute_monarchy	accept	2	rome_ee_accept_begging_03
friendly	rom_Roman	inv_marrucini	gov_absolute_monarchy	accept	3	rome_ee_accept_begging_04
friendly	rom_Roman	inv_marrucini	gov_absolute_monarchy	accept	4	rome_ee_accept_begging_05
friendly	rom_Roman	inv_marrucini	gov_absolute_monarchy	accept	5	rome_ee_accept_begging_06
hostile	rom_Roman	inv_marrucini	gov_absolute_monarchy	accept	0	rome_ee_accept_demanding_01
hostile	rom_Roman	inv_marrucini	gov_absolute_monarchy	accept	1	rome_ee_accept_demanding_02
hostile	rom_Roman	inv_marrucini	gov_absolute_monarchy	accept	2	rome_ee_accept_demanding_03
hostile	rom_Roman	inv_marrucini	gov_absolute_monarchy	accept	3	rome_ee_accept_demanding_04
hostile	rom_Roman	inv_marrucini	gov_absolute_monarchy	accept	4	rome_ee_accept_demanding_05
hostile	rom_Roman	inv_marrucini	gov_absolute_monarchy	accept	5	rome_ee_accept_demanding_06
friendly	rom_Roman	inv_messapians	gov_absolute_monarchy	accept	0	rome_ee_accept_begging_01
friendly	rom_Roman	inv_messapians	gov_absolute_monarchy	accept	1	rome_ee_accept_begging_02
friendly	rom_Roman	inv_messapians	gov_absolute_monarchy	accept	2	rome_ee_accept_begging_03
friendly	rom_Roman	inv_messapians	gov_absolute_monarchy	accept	3	rome_ee_accept_begging_04
friendly	rom_Roman	inv_messapians	gov_absolute_monarchy	accept	4	rome_ee_accept_begging_05
friendly	rom_Roman	inv_messapians	gov_absolute_monarchy	accept	5	rome_ee_accept_begging_06
hostile	rom_Roman	inv_messapians	gov_absolute_monarchy	accept	0	rome_ee_accept_demanding_01
hostile	rom_Roman	inv_messapians	gov_absolute_monarchy	accept	1	rome_ee_accept_demanding_02
hostile	rom_Roman	inv_messapians	gov_absolute_monarchy	accept	2	rome_ee_accept_demanding_03
hostile	rom_Roman	inv_messapians	gov_absolute_monarchy	accept	3	rome_ee_accept_demanding_04
hostile	rom_Roman	inv_messapians	gov_absolute_monarchy	accept	4	rome_ee_accept_demanding_05
hostile	rom_Roman	inv_messapians	gov_absolute_monarchy	accept	5	rome_ee_accept_demanding_06
friendly	rom_Roman	inv_paeligni	gov_absolute_monarchy	accept	0	rome_ee_accept_begging_01
friendly	rom_Roman	inv_paeligni	gov_absolute_monarchy	accept	1	rome_ee_accept_begging_02
friendly	rom_Roman	inv_paeligni	gov_absolute_monarchy	accept	2	rome_ee_accept_begging_03
friendly	rom_Roman	inv_paeligni	gov_absolute_monarchy	accept	3	rome_ee_accept_begging_04
friendly	rom_Roman	inv_paeligni	gov_absolute_monarchy	accept	4	rome_ee_accept_begging_05
friendly	rom_Roman	inv_paeligni	gov_absolute_monarchy	accept	5	rome_ee_accept_begging_06
hostile	rom_Roman	inv_paeligni	gov_absolute_monarchy	accept	0	rome_ee_accept_demanding_01
hostile	rom_Roman	inv_paeligni	gov_absolute_monarchy	accept	1	rome_ee_accept_demanding_02
hostile	rom_Roman	inv_paeligni	gov_absolute_monarchy	accept	2	rome_ee_accept_demanding_03
hostile	rom_Roman	inv_paeligni	gov_absolute_monarchy	accept	3	rome_ee_accept_demanding_04
hostile	rom_Roman	inv_paeligni	gov_absolute_monarchy	accept	4	rome_ee_accept_demanding_05
hostile	rom_Roman	inv_paeligni	gov_absolute_monarchy	accept	5	rome_ee_accept_demanding_06
friendly	rom_Roman	inv_peucetians	gov_absolute_monarchy	accept	0	rome_ee_accept_begging_01
friendly	rom_Roman	inv_peucetians	gov_absolute_monarchy	accept	1	rome_ee_accept_begging_02
friendly	rom_Roman	inv_peucetians	gov_absolute_monarchy	accept	2	rome_ee_accept_begging_03
friendly	rom_Roman	inv_peucetians	gov_absolute_monarchy	accept	3	rome_ee_accept_begging_04
friendly	rom_Roman	inv_peucetians	gov_absolute_monarchy	accept	4	rome_ee_accept_begging_05
friendly	rom_Roman	inv_peucetians	gov_absolute_monarchy	accept	5	rome_ee_accept_begging_06
hostile	rom_Roman	inv_peucetians	gov_absolute_monarchy	accept	0	rome_ee_accept_demanding_01
hostile	rom_Roman	inv_peucetians	gov_absolute_monarchy	accept	1	rome_ee_accept_demanding_02
hostile	rom_Roman	inv_peucetians	gov_absolute_monarchy	accept	2	rome_ee_accept_demanding_03
hostile	rom_Roman	inv_peucetians	gov_absolute_monarchy	accept	3	rome_ee_accept_demanding_04
hostile	rom_Roman	inv_peucetians	gov_absolute_monarchy	accept	4	rome_ee_accept_demanding_05
hostile	rom_Roman	inv_peucetians	gov_absolute_monarchy	accept	5	rome_ee_accept_demanding_06
friendly	rom_Roman	inv_picentes	gov_absolute_monarchy	accept	0	rome_ee_accept_begging_01
friendly	rom_Roman	inv_picentes	gov_absolute_monarchy	accept	1	rome_ee_accept_begging_02
friendly	rom_Roman	inv_picentes	gov_absolute_monarchy	accept	2	rome_ee_accept_begging_03
friendly	rom_Roman	inv_picentes	gov_absolute_monarchy	accept	3	rome_ee_accept_begging_04
friendly	rom_Roman	inv_picentes	gov_absolute_monarchy	accept	4	rome_ee_accept_begging_05
friendly	rom_Roman	inv_picentes	gov_absolute_monarchy	accept	5	rome_ee_accept_begging_06
hostile	rom_Roman	inv_picentes	gov_absolute_monarchy	accept	0	rome_ee_accept_demanding_01
hostile	rom_Roman	inv_picentes	gov_absolute_monarchy	accept	1	rome_ee_accept_demanding_02
hostile	rom_Roman	inv_picentes	gov_absolute_monarchy	accept	2	rome_ee_accept_demanding_03
hostile	rom_Roman	inv_picentes	gov_absolute_monarchy	accept	3	rome_ee_accept_demanding_04
hostile	rom_Roman	inv_picentes	gov_absolute_monarchy	accept	4	rome_ee_accept_demanding_05
hostile	rom_Roman	inv_picentes	gov_absolute_monarchy	accept	5	rome_ee_accept_demanding_06
friendly	rom_Roman	inv_raeti	gov_absolute_monarchy	accept	0	rome_Etr_Gen1_accept_begging_01
friendly	rom_Roman	inv_raeti	gov_absolute_monarchy	accept	1	rome_Etr_Gen1_accept_begging_02
friendly	rom_Roman	inv_raeti	gov_absolute_monarchy	accept	2	rome_Etr_Gen1_accept_begging_03
friendly	rom_Roman	inv_raeti	gov_absolute_monarchy	accept	3	rome_Etr_Gen1_accept_requesting_01
friendly	rom_Roman	inv_raeti	gov_absolute_monarchy	accept	4	rome_Etr_Gen1_accept_requesting_02
friendly	rom_Roman	inv_raeti	gov_absolute_monarchy	accept	5	rome_Etr_Gen1_accept_requesting_03
hostile	rom_Roman	inv_raeti	gov_absolute_monarchy	accept	0	rome_Etr_Gen1_accept_demanding_01
