art_set_id	agent_type	culture	subculture	faction	is_custom	is_male	group
3c_Afr_General_07_mauri	general			3c_mauri	false	true	main_3c_only
3c_Afr_General_07_meroe	general			3c_meroe	false	true	main_3c_only
3c_Afr_General_08_afrebels	general			3c_rebel_african	false	true	main_3c_only
3c_Afr_General_08_axum	general			3c_axum	false	true	main_3c_only
3c_Afr_General_08_blemmyes	general			3c_blemmyes	false	true	main_3c_only
3c_Afr_General_08_mauri	general			3c_mauri	false	true	main_3c_only
3c_Afr_General_08_meroe	general			3c_meroe	false	true	main_3c_only
3c_Afr_General_09_afrebels	general			3c_rebel_african	false	true	main_3c_only
3c_Afr_General_09_axum	general			3c_axum	false	true	main_3c_only
3c_Afr_General_09_blemmyes	general			3c_blemmyes	false	true	main_3c_only
3c_Afr_General_09_mauri	general			3c_mauri	false	true	main_3c_only
3c_Afr_General_09_meroe	general			3c_meroe	false	true	main_3c_only
3c_Afr_General_10_afrebels	general			3c_rebel_african	false	true	main_3c_only
3c_Afr_General_10_axum	general			3c_axum	false	true	main_3c_only
3c_Afr_General_10_blemmyes	general			3c_blemmyes	false	true	main_3c_only
3c_Afr_General_10_mauri	general			3c_mauri	false	true	main_3c_only
3c_Afr_General_10_meroe	general			3c_meroe	false	true	main_3c_only
3c_Afr_General_11_afrebels	general			3c_rebel_african	false	true	main_3c_only
3c_Afr_General_11_axum	general			3c_axum	false	true	main_3c_only
3c_Afr_General_11_blemmyes	general			3c_blemmyes	false	true	main_3c_only
3c_Afr_General_11_mauri	general			3c_mauri	false	true	main_3c_only
3c_Afr_General_11_meroe	general			3c_meroe	false	true	main_3c_only
3c_Afr_General_14_afrebels	general			3c_rebel_african	false	true	main_3c_only
3c_Afr_General_14_axum	general			3c_axum	false	true	main_3c_only
3c_Afr_General_14_blemmyes	general			3c_blemmyes	false	true	main_3c_only
3c_Afr_General_14_mauri	general			3c_mauri	false	true	main_3c_only
3c_Afr_General_14_meroe	general			3c_meroe	false	true	main_3c_only
3c_Afr_General_15_afrebels	general			3c_rebel_african	false	true	main_3c_only
3c_Afr_General_15_axum	general			3c_axum	false	true	main_3c_only
3c_Afr_General_15_blemmyes	general			3c_blemmyes	false	true	main_3c_only
3c_Afr_General_15_mauri	general			3c_mauri	false	true	main_3c_only
3c_Afr_General_15_meroe	general			3c_meroe	false	true	main_3c_only
3c_Afr_General_16_afrebels	general			3c_rebel_african	false	true	main_3c_only
3c_Afr_General_16_axum	general			3c_axum	false	true	main_3c_only
3c_Afr_General_16_blemmyes	general			3c_blemmyes	false	true	main_3c_only
3c_Afr_General_16_mauri	general			3c_mauri	false	true	main_3c_only
3c_Afr_General_16_meroe	general			3c_meroe	false	true	main_3c_only
3c_Afr_General_17_afrebels	general			3c_rebel_african	false	true	main_3c_only
3c_Afr_General_17_axum	general			3c_axum	false	true	main_3c_only
3c_Afr_General_17_blemmyes	general			3c_blemmyes	false	true	main_3c_only
3c_Afr_General_17_mauri	general			3c_mauri	false	true	main_3c_only
3c_Afr_General_17_meroe	general			3c_meroe	false	true	main_3c_only
3c_Afr_General_18_afrebels	general			3c_rebel_african	false	true	main_3c_only
3c_Afr_General_18_axum	general			3c_axum	false	true	main_3c_only
3c_Afr_General_18_blemmyes	general			3c_blemmyes	false	true	main_3c_only
3c_Afr_General_18_mauri	general			3c_mauri	false	true	main_3c_only
3c_Afr_General_18_meroe	general			3c_meroe	false	true	main_3c_only
3c_Afr_General_19_afrebels	general			3c_rebel_african	false	true	main_3c_only
3c_Afr_General_19_axum	general			3c_axum	false	true	main_3c_only
3c_Afr_General_19_blemmyes	general			3c_blemmyes	false	true	main_3c_only
3c_Afr_General_19_mauri	general			3c_mauri	false	true	main_3c_only
3c_Afr_General_19_meroe	general			3c_meroe	false	true	main_3c_only
3c_Afr_General_20_afrebels	general			3c_rebel_african	false	true	main_3c_only
3c_Afr_General_20_axum	general			3c_axum	false	true	main_3c_only
3c_Afr_General_20_blemmyes	general			3c_blemmyes	false	true	main_3c_only
3c_Afr_General_20_mauri	general			3c_mauri	false	true	main_3c_only
3c_Afr_General_20_meroe	general			3c_meroe	false	true	main_3c_only
3c_Afr_General_21_afrebels	general			3c_rebel_african	false	true	main_3c_only
3c_Afr_General_21_axum	general			3c_axum	false	true	main_3c_only
3c_Afr_General_21_blemmyes	general			3c_blemmyes	false	true	main_3c_only
3c_Afr_General_21_mauri	general			3c_mauri	false	true	main_3c_only
3c_Afr_General_21_meroe	general			3c_meroe	false	true	main_3c_only
3c_Afr_General_31_afrebels	general			3c_rebel_african	false	true	main_3c_only
3c_Afr_General_31_axum	general			3c_axum	false	true	main_3c_only
3c_Afr_General_31_blemmyes	general			3c_blemmyes	false	true	main_3c_only
3c_Afr_General_31_mauri	general			3c_mauri	false	true	main_3c_only
3c_Afr_General_31_meroe	general			3c_meroe	false	true	main_3c_only
3c_Ala_General_01	general		sc_rom_barb_east		false	true	main_3c_only
3c_Ala_General_02	general		sc_rom_barb_east		false	true	main_3c_only
3c_Ala_General_03	general		sc_rom_barb_east		false	true	main_3c_only
3c_Ala_General_04	general		sc_rom_barb_east		false	true	main_3c_only
3c_Ala_General_05	general		sc_rom_barb_east		false	true	main_3c_only
3c_Ala_General_06	general		sc_rom_barb_east		false	true	main_3c_only
3c_Ala_General_07	general		sc_rom_barb_east		false	true	main_3c_only
3c_Ala_General_08	general		sc_rom_barb_east		false	true	main_3c_only
3c_Ala_General_09	general		sc_rom_barb_east		false	true	main_3c_only
3c_Ala_General_10	general		sc_rom_barb_east		false	true	main_3c_only
3c_Ala_General_11	general		sc_rom_barb_east		false	true	main_3c_only
3c_Ala_General_12	general		sc_rom_barb_east		false	true	main_3c_only
3c_Ala_General_13	general		sc_rom_barb_east		false	true	main_3c_only
3c_Ala_General_14	general		sc_rom_barb_east		false	true	main_3c_only
3c_Ala_General_15	general		sc_rom_barb_east		false	true	main_3c_only
3c_Ala_General_16	general		sc_rom_barb_east		false	true	main_3c_only
3c_Ala_General_17	general		sc_rom_barb_east		false	true	main_3c_only
3c_Ala_General_18	general		sc_rom_barb_east		false	true	main_3c_only
3c_Ala_General_19	general		sc_rom_barb_east		false	true	main_3c_only
3c_Ala_General_20	general		sc_rom_barb_east		false	true	main_3c_only
3c_Arm_General_01	general	rom_Eastern			false	true	main_3c_only
3c_Arm_General_02	general	rom_Eastern			false	true	main_3c_only
3c_Arm_General_03	general	rom_Eastern			false	true	main_3c_only
3c_Arm_General_04	general	rom_Eastern			false	true	main_3c_only
3c_Arm_General_05	general	rom_Eastern			false	true	main_3c_only
3c_Arm_General_06	general	rom_Eastern			false	true	main_3c_only
3c_Arm_General_07	general	rom_Eastern			false	true	main_3c_only
3c_Arm_General_08	general	rom_Eastern			false	true	main_3c_only
3c_Arm_General_09	general	rom_Eastern			false	true	main_3c_only
3c_Arm_General_10	general	rom_Eastern			false	true	main_3c_only
3c_Arm_General_11	general	rom_Eastern			false	true	main_3c_only
3c_Arm_General_12	general	rom_Eastern			false	true	main_3c_only
3c_Arm_General_13	general	rom_Eastern			false	true	main_3c_only
3c_Arm_General_14	general	rom_Eastern			false	true	main_3c_only
3c_Arm_General_15	general	rom_Eastern			false	true	main_3c_only
3c_Arm_General_16	general	rom_Eastern			false	true	main_3c_only
3c_Arm_General_17	general	rom_Eastern			false	true	main_3c_only
3c_Arm_General_18	general	rom_Eastern			false	true	main_3c_only
3c_Arm_General_19	general	rom_Eastern			false	true	main_3c_only
3c_Arm_General_20	general	rom_Eastern			false	true	main_3c_only
3c_Cal_General_01	general		sc_rom_british		false	true	main_3c_only
3c_Cal_General_02	general		sc_rom_british		false	true	main_3c_only
3c_Cal_General_03	general		sc_rom_british		false	true	main_3c_only
3c_Cal_General_04	general		sc_rom_british		false	true	main_3c_only
3c_Cal_General_05	general		sc_rom_british		false	true	main_3c_only
3c_Cal_General_06	general		sc_rom_british		false	true	main_3c_only
3c_Cal_General_07	general		sc_rom_british		false	true	main_3c_only
3c_Cal_General_08	general		sc_rom_british		false	true	main_3c_only
3c_Cal_General_09	general		sc_rom_british		false	true	main_3c_only
3c_Cal_General_10	general		sc_rom_british		false	true	main_3c_only
3c_Cal_General_11	general		sc_rom_british		false	true	main_3c_only
3c_Cal_General_12	general		sc_rom_british		false	true	main_3c_only
3c_Cal_General_13	general		sc_rom_british		false	true	main_3c_only
3c_Cal_General_14	general		sc_rom_british		false	true	main_3c_only
3c_Cal_General_15	general		sc_rom_british		false	true	main_3c_only
3c_Cal_General_16	general		sc_rom_british		false	true	main_3c_only
3c_Cal_General_17	general		sc_rom_british		false	true	main_3c_only
3c_Cal_General_18	general		sc_rom_british		false	true	main_3c_only
3c_Cal_General_19	general		sc_rom_british		false	true	main_3c_only
3c_Cal_General_20	general		sc_rom_british		false	true	main_3c_only
3c_Gal_General_01	general			3c_gallicemp	false	true	main_3c_only
3c_Gal_General_01_britannia	general			3c_britannia	false	true	main_3c_only
3c_Gal_General_01_gallicempcivilwar	general			3c_gallicemp_civil_war	false	true	main_3c_only
3c_Gal_General_01_gallicempsecession	general			3c_gallicemp_secession	false	true	main_3c_only
3c_Gal_General_01_hispania	general			3c_hispania	false	true	main_3c_only
3c_Gal_General_01_lusitania	general			3c_lusitania	false	true	main_3c_only
3c_Gal_General_02	general			3c_gallicemp	false	true	main_3c_only
3c_Gal_General_02_britannia	general			3c_britannia	false	true	main_3c_only
3c_Gal_General_02_gallicempcivilwar	general			3c_gallicemp_civil_war	false	true	main_3c_only
3c_Gal_General_02_gallicempsecession	general			3c_gallicemp_secession	false	true	main_3c_only
3c_Gal_General_02_hispania	general			3c_hispania	false	true	main_3c_only
3c_Gal_General_02_lusitania	general			3c_lusitania	false	true	main_3c_only
3c_Gal_General_03	general			3c_gallicemp	false	true	main_3c_only
3c_Gal_General_03_britannia	general			3c_britannia	false	true	main_3c_only
3c_Gal_General_03_gallicempcivilwar	general			3c_gallicemp_civil_war	false	true	main_3c_only
3c_Gal_General_03_gallicempsecession	general			3c_gallicemp_secession	false	true	main_3c_only
3c_Gal_General_03_hispania	general			3c_hispania	false	true	main_3c_only
3c_Gal_General_03_lusitania	general			3c_lusitania	false	true	main_3c_only
3c_Gal_General_04	general			3c_gallicemp	false	true	main_3c_only
3c_Gal_General_04_britannia	general			3c_britannia	false	true	main_3c_only
3c_Gal_General_04_gallicempcivilwar	general			3c_gallicemp_civil_war	false	true	main_3c_only
3c_Gal_General_04_gallicempsecession	general			3c_gallicemp_secession	false	true	main_3c_only
3c_Gal_General_04_hispania	general			3c_hispania	false	true	main_3c_only
3c_Gal_General_04_lusitania	general			3c_lusitania	false	true	main_3c_only
3c_Gal_General_05	general			3c_gallicemp	false	true	main_3c_only
3c_Gal_General_05_britannia	general			3c_britannia	false	true	main_3c_only
3c_Gal_General_05_gallicempcivilwar	general			3c_gallicemp_civil_war	false	true	main_3c_only
3c_Gal_General_05_gallicempsecession	general			3c_gallicemp_secession	false	true	main_3c_only
3c_Gal_General_05_hispania	general			3c_hispania	false	true	main_3c_only
3c_Gal_General_05_lusitania	general			3c_lusitania	false	true	main_3c_only
3c_Gal_General_06	general			3c_gallicemp	false	true	main_3c_only
3c_Gal_General_06_britannia	general			3c_britannia	false	true	main_3c_only
3c_Gal_General_06_gallicempcivilwar	general			3c_gallicemp_civil_war	false	true	main_3c_only
3c_Gal_General_06_gallicempsecession	general			3c_gallicemp_secession	false	true	main_3c_only
3c_Gal_General_06_hispania	general			3c_hispania	false	true	main_3c_only
3c_Gal_General_06_lusitania	general			3c_lusitania	false	true	main_3c_only
3c_Gal_General_07	general			3c_gallicemp	false	true	main_3c_only
3c_Gal_General_07_britannia	general			3c_britannia	false	true	main_3c_only
3c_Gal_General_07_gallicempcivilwar	general			3c_gallicemp_civil_war	false	true	main_3c_only
3c_Gal_General_07_gallicempsecession	general			3c_gallicemp_secession	false	true	main_3c_only
3c_Gal_General_07_hispania	general			3c_hispania	false	true	main_3c_only
3c_Gal_General_07_lusitania	general			3c_lusitania	false	true	main_3c_only
3c_Gal_General_08	general			3c_gallicemp	false	true	main_3c_only
3c_Gal_General_08_britannia	general			3c_britannia	false	true	main_3c_only
3c_Gal_General_08_gallicempcivilwar	general			3c_gallicemp_civil_war	false	true	main_3c_only
3c_Gal_General_08_gallicempsecession	general			3c_gallicemp_secession	false	true	main_3c_only
3c_Gal_General_08_hispania	general			3c_hispania	false	true	main_3c_only
3c_Gal_General_08_lusitania	general			3c_lusitania	false	true	main_3c_only
3c_Gal_General_09	general			3c_gallicemp	false	true	main_3c_only
3c_Gal_General_09_britannia	general			3c_britannia	false	true	main_3c_only
3c_Gal_General_09_gallicempcivilwar	general			3c_gallicemp_civil_war	false	true	main_3c_only
3c_Gal_General_09_gallicempsecession	general			3c_gallicemp_secession	false	true	main_3c_only
3c_Gal_General_09_hispania	general			3c_hispania	false	true	main_3c_only
3c_Gal_General_09_lusitania	general			3c_lusitania	false	true	main_3c_only
3c_Gal_General_10	general			3c_gallicemp	false	true	main_3c_only
3c_Gal_General_10_britannia	general			3c_britannia	false	true	main_3c_only
3c_Gal_General_10_gallicempcivilwar	general			3c_gallicemp_civil_war	false	true	main_3c_only
3c_Gal_General_10_gallicempsecession	general			3c_gallicemp_secession	false	true	main_3c_only
3c_Gal_General_10_hispania	general			3c_hispania	false	true	main_3c_only
3c_Gal_General_10_lusitania	general			3c_lusitania	false	true	main_3c_only
3c_Gal_General_11	general			3c_gallicemp	false	true	main_3c_only
3c_Gal_General_11_britannia	general			3c_britannia	false	true	main_3c_only
3c_Gal_General_11_gallicempcivilwar	general			3c_gallicemp_civil_war	false	true	main_3c_only
3c_Gal_General_11_gallicempsecession	general			3c_gallicemp_secession	false	true	main_3c_only
3c_Gal_General_11_hispania	general			3c_hispania	false	true	main_3c_only
3c_Gal_General_11_lusitania	general			3c_lusitania	false	true	main_3c_only
3c_Gal_General_12	general			3c_gallicemp	false	true	main_3c_only
3c_Gal_General_12_britannia	general			3c_britannia	false	true	main_3c_only
3c_Gal_General_12_gallicempcivilwar	general			3c_gallicemp_civil_war	false	true	main_3c_only
3c_Gal_General_12_gallicempsecession	general			3c_gallicemp_secession	false	true	main_3c_only
3c_Gal_General_12_hispania	general			3c_hispania	false	true	main_3c_only
3c_Gal_General_12_lusitania	general			3c_lusitania	false	true	main_3c_only
3c_Gal_General_13	general			3c_gallicemp	false	true	main_3c_only
3c_Gal_General_13_britannia	general			3c_britannia	false	true	main_3c_only
3c_Gal_General_13_gallicempcivilwar	general			3c_gallicemp_civil_war	false	true	main_3c_only
3c_Gal_General_13_gallicempsecession	general			3c_gallicemp_secession	false	true	main_3c_only
3c_Gal_General_13_hispania	general			3c_hispania	false	true	main_3c_only
3c_Gal_General_13_lusitania	general			3c_lusitania	false	true	main_3c_only
3c_Gal_General_14	general			3c_gallicemp	false	true	main_3c_only
3c_Gal_General_14_britannia	general			3c_britannia	false	true	main_3c_only
3c_Gal_General_14_gallicempcivilwar	general			3c_gallicemp_civil_war	false	true	main_3c_only
3c_Gal_General_14_gallicempsecession	general			3c_gallicemp_secession	false	true	main_3c_only
3c_Gal_General_14_hispania	general			3c_hispania	false	true	main_3c_only
3c_Gal_General_14_lusitania	general			3c_lusitania	false	true	main_3c_only
3c_Gal_General_15	general			3c_gallicemp	false	true	main_3c_only
3c_Gal_General_15_britannia	general			3c_britannia	false	true	main_3c_only
3c_Gal_General_15_gallicempcivilwar	general			3c_gallicemp_civil_war	false	true	main_3c_only
3c_Gal_General_15_gallicempsecession	general			3c_gallicemp_secession	false	true	main_3c_only
3c_Gal_General_15_hispania	general			3c_hispania	false	true	main_3c_only
3c_Gal_General_15_lusitania	general			3c_lusitania	false	true	main_3c_only
3c_Gal_General_16	general			3c_gallicemp	false	true	main_3c_only
3c_Gal_General_16_britannia	general			3c_britannia	false	true	main_3c_only
3c_Gal_General_16_gallicempcivilwar	general			3c_gallicemp_civil_war	false	true	main_3c_only
3c_Gal_General_16_gallicempsecession	general			3c_gallicemp_secession	false	true	main_3c_only
3c_Gal_General_16_hispania	general			3c_hispania	false	true	main_3c_only
3c_Gal_General_16_lusitania	general			3c_lusitania	false	true	main_3c_only
3c_Gal_General_17	general			3c_gallicemp	false	true	main_3c_only
3c_Gal_General_17_britannia	general			3c_britannia	false	true	main_3c_only
3c_Gal_General_17_gallicempcivilwar	general			3c_gallicemp_civil_war	false	true	main_3c_only
3c_Gal_General_17_gallicempsecession	general			3c_gallicemp_secession	false	true	main_3c_only
3c_Gal_General_17_hispania	general			3c_hispania	false	true	main_3c_only
3c_Gal_General_17_lusitania	general			3c_lusitania	false	true	main_3c_only
3c_Gal_General_18	general			3c_gallicemp	false	true	main_3c_only
3c_Gal_General_18_britannia	general			3c_britannia	false	true	main_3c_only
3c_Gal_General_18_gallicempcivilwar	general			3c_gallicemp_civil_war	false	true	main_3c_only
3c_Gal_General_18_gallicempsecession	general			3c_gallicemp_secession	false	true	main_3c_only
3c_Gal_General_18_hispania	general			3c_hispania	false	true	main_3c_only
3c_Gal_General_18_lusitania	general			3c_lusitania	false	true	main_3c_only
3c_Gal_General_19	general			3c_gallicemp	false	true	main_3c_only
3c_Gal_General_19_britannia	general			3c_britannia	false	true	main_3c_only
3c_Gal_General_19_gallicempcivilwar	general			3c_gallicemp_civil_war	false	true	main_3c_only
3c_Gal_General_19_gallicempsecession	general			3c_gallicemp_secession	false	true	main_3c_only
3c_Gal_General_19_hispania	general			3c_hispania	false	true	main_3c_only
3c_Gal_General_19_lusitania	general			3c_lusitania	false	true	main_3c_only
3c_Gal_General_20	general			3c_gallicemp	false	true	main_3c_only
3c_Gal_General_20_britannia	general			3c_britannia	false	true	main_3c_only
3c_Gal_General_20_gallicempcivilwar	general			3c_gallicemp_civil_war	false	true	main_3c_only
3c_Gal_General_20_gallicempsecession	general			3c_gallicemp_secession	false	true	main_3c_only
3c_Gal_General_20_hispania	general			3c_hispania	false	true	main_3c_only
3c_Gal_General_20_lusitania	general			3c_lusitania	false	true	main_3c_only
3c_Gal_Tetricus	general			3c_gallicemp	true	true	main_3c_only
3c_Got_Cannabaudes	general			3c_gothi	true	true	main_3c_only
3c_Got_General_01	general			3c_gothi	false	true	main_3c_only
3c_Got_General_02	general			3c_gothi	false	true	main_3c_only
3c_Got_General_03	general			3c_gothi	false	true	main_3c_only
3c_Got_General_04	general			3c_gothi	false	true	main_3c_only
3c_Got_General_05	general			3c_gothi	false	true	main_3c_only
3c_Got_General_06	general			3c_gothi	false	true	main_3c_only
3c_Got_General_07	general			3c_gothi	false	true	main_3c_only
3c_Got_General_08	general			3c_gothi	false	true	main_3c_only
3c_Got_General_09	general			3c_gothi	false	true	main_3c_only
3c_Got_General_10	general			3c_gothi	false	true	main_3c_only
3c_Got_General_11	general			3c_gothi	false	true	main_3c_only
3c_Got_General_12	general			3c_gothi	false	true	main_3c_only
3c_Got_General_13	general			3c_gothi	false	true	main_3c_only
3c_Got_General_14	general			3c_gothi	false	true	main_3c_only
3c_Got_General_15	general			3c_gothi	false	true	main_3c_only
3c_Got_General_16	general			3c_gothi	false	true	main_3c_only
3c_Got_General_17	general			3c_gothi	false	true	main_3c_only
3c_Got_General_18	general			3c_gothi	false	true	main_3c_only
3c_Got_General_19	general			3c_gothi	false	true	main_3c_only
3c_Got_General_20	general			3c_gothi	false	true	main_3c_only
3c_Mar_General_01	general		sc_rom_germanic		false	true	main_3c_only
3c_Mar_General_02	general		sc_rom_germanic		false	true	main_3c_only
3c_Mar_General_03	general		sc_rom_germanic		false	true	main_3c_only
3c_Mar_General_04	general		sc_rom_germanic		false	true	main_3c_only
3c_Mar_General_05	general		sc_rom_germanic		false	true	main_3c_only
3c_Mar_General_06	general		sc_rom_germanic		false	true	main_3c_only
3c_Mar_General_07	general		sc_rom_germanic		false	true	main_3c_only
3c_Mar_General_08	general		sc_rom_germanic		false	true	main_3c_only
3c_Mar_General_09	general		sc_rom_germanic		false	true	main_3c_only
3c_Mar_General_10	general		sc_rom_germanic		false	true	main_3c_only
3c_Mar_General_11	general		sc_rom_germanic		false	true	main_3c_only
3c_Mar_General_12	general		sc_rom_germanic		false	true	main_3c_only
3c_Mar_General_13	general		sc_rom_germanic		false	true	main_3c_only
3c_Mar_General_14	general		sc_rom_germanic		false	true	main_3c_only
3c_Mar_General_15	general		sc_rom_germanic		false	true	main_3c_only
3c_Mar_General_16	general		sc_rom_germanic		false	true	main_3c_only
3c_Mar_General_17	general		sc_rom_germanic		false	true	main_3c_only
3c_Mar_General_18	general		sc_rom_germanic		false	true	main_3c_only
3c_Mar_General_19	general		sc_rom_germanic		false	true	main_3c_only
3c_Mar_General_20	general		sc_rom_germanic		false	true	main_3c_only
3c_Pal_General_01	general			3c_palmyra	false	true	main_3c_only
3c_Pal_General_02	general			3c_palmyra	false	true	main_3c_only
3c_Pal_General_03	general			3c_palmyra	false	true	main_3c_only
3c_Pal_General_04	general			3c_palmyra	false	true	main_3c_only
3c_Pal_General_05	general			3c_palmyra	false	true	main_3c_only
3c_Pal_General_06	general			3c_palmyra	false	true	main_3c_only
3c_Pal_General_07	general			3c_palmyra	false	true	main_3c_only
3c_Pal_General_08	general			3c_palmyra	false	true	main_3c_only
3c_Pal_General_09	general			3c_palmyra	false	true	main_3c_only
3c_Pal_General_10	general			3c_palmyra	false	true	main_3c_only
3c_Pal_General_11	general			3c_palmyra	false	true	main_3c_only
3c_Pal_General_12	general			3c_palmyra	false	true	main_3c_only
3c_Pal_General_13	general			3c_palmyra	false	true	main_3c_only
3c_Pal_General_14	general			3c_palmyra	false	true	main_3c_only
3c_Pal_General_15	general			3c_palmyra	false	true	main_3c_only
3c_Pal_General_16	general			3c_palmyra	false	true	main_3c_only
3c_Pal_General_17	general			3c_palmyra	false	true	main_3c_only
3c_Pal_General_18	general			3c_palmyra	false	true	main_3c_only
3c_Pal_General_19	general			3c_palmyra	false	true	main_3c_only
3c_Pal_General_20	general			3c_palmyra	false	true	main_3c_only
3c_Pal_Zenobia	general			3c_palmyra	true	false	main_3c_only
3c_Rom_Aurelian	general			3c_rome	true	true	main_3c_only
3c_Rom_General_01	general			3c_rome	false	true	main_3c_only
3c_Rom_General_01_egypt	general			3c_egypt	false	true	main_3c_only
3c_Rom_General_01_galatia	general			3c_galatia	false	true	main_3c_only
3c_Rom_General_01_lydia	general			3c_lydia	false	true	main_3c_only
3c_Rom_General_01_mauretania	general			3c_mauretania	false	true	main_3c_only
3c_Rom_General_01_numidia	general			3c_numidia	false	true	main_3c_only
3c_Rom_General_01_rebellatin	general			3c_rebel_latin	false	true	main_3c_only
3c_Rom_General_01_romanpretender	general			3c_roman_pretender	false	true	main_3c_only
3c_Rom_General_01_romansecession	general			3c_roman_secession	false	true	main_3c_only
3c_Rom_General_02	general			3c_rome	false	true	main_3c_only
3c_Rom_General_02_egypt	general			3c_egypt	false	true	main_3c_only
3c_Rom_General_02_galatia	general			3c_galatia	false	true	main_3c_only
3c_Rom_General_02_lydia	general			3c_lydia	false	true	main_3c_only
3c_Rom_General_02_mauretania	general			3c_mauretania	false	true	main_3c_only
3c_Rom_General_02_numidia	general			3c_numidia	false	true	main_3c_only
3c_Rom_General_02_rebellatin	general			3c_rebel_latin	false	true	main_3c_only
3c_Rom_General_02_romanpretender	general			3c_roman_pretender	false	true	main_3c_only
3c_Rom_General_02_romansecession	general			3c_roman_secession	false	true	main_3c_only
3c_Rom_General_03	general			3c_rome	false	true	main_3c_only
3c_Rom_General_03_egypt	general			3c_egypt	false	true	main_3c_only
3c_Rom_General_03_galatia	general			3c_galatia	false	true	main_3c_only
3c_Rom_General_03_lydia	general			3c_lydia	false	true	main_3c_only
3c_Rom_General_03_mauretania	general			3c_mauretania	false	true	main_3c_only
3c_Rom_General_03_numidia	general			3c_numidia	false	true	main_3c_only
3c_Rom_General_03_rebellatin	general			3c_rebel_latin	false	true	main_3c_only
3c_Rom_General_03_romanpretender	general			3c_roman_pretender	false	true	main_3c_only
3c_Rom_General_03_romansecession	general			3c_roman_secession	false	true	main_3c_only
3c_Rom_General_04	general			3c_rome	false	true	main_3c_only
3c_Rom_General_04_egypt	general			3c_egypt	false	true	main_3c_only
3c_Rom_General_04_galatia	general			3c_galatia	false	true	main_3c_only
3c_Rom_General_04_lydia	general			3c_lydia	false	true	main_3c_only
3c_Rom_General_04_mauretania	general			3c_mauretania	false	true	main_3c_only
3c_Rom_General_04_numidia	general			3c_numidia	false	true	main_3c_only
3c_Rom_General_04_rebellatin	general			3c_rebel_latin	false	true	main_3c_only
3c_Rom_General_04_romanpretender	general			3c_roman_pretender	false	true	main_3c_only
3c_Rom_General_04_romansecession	general			3c_roman_secession	false	true	main_3c_only
3c_Rom_General_05	general			3c_rome	false	true	main_3c_only
3c_Rom_General_05_egypt	general			3c_egypt	false	true	main_3c_only
3c_Rom_General_05_galatia	general			3c_galatia	false	true	main_3c_only
3c_Rom_General_05_lydia	general			3c_lydia	false	true	main_3c_only
3c_Rom_General_05_mauretania	general			3c_mauretania	false	true	main_3c_only
3c_Rom_General_05_numidia	general			3c_numidia	false	true	main_3c_only
3c_Rom_General_05_rebellatin	general			3c_rebel_latin	false	true	main_3c_only
3c_Rom_General_05_romanpretender	general			3c_roman_pretender	false	true	main_3c_only
