attitude	culture	government_type	key	option	string
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_accept	1	barbarian_acknowledge_accept_02
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_accept	2	barbarian_acknowledge_accept_03
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_accept	3	barbarian_acknowledge_accept_04
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_accept	4	barbarian_acknowledge_accept_05
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_accept	5	barbarian_acknowledge_accept_06
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_accept	6	barbarian_acknowledge_accept_07
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_accept	7	barbarian_acknowledge_accept_08
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_accept	8	barbarian_acknowledge_accept_09
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_accept	9	barbarian_acknowledge_accept_10
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_accept	0	eastern_acknowledge_accept_01
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_accept	1	eastern_acknowledge_accept_02
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_accept	2	eastern_acknowledge_accept_03
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_accept	3	eastern_acknowledge_accept_04
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_accept	4	eastern_acknowledge_accept_05
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_accept	5	eastern_acknowledge_accept_06
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_accept	6	eastern_acknowledge_accept_07
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_accept	7	eastern_acknowledge_accept_08
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_accept	8	eastern_acknowledge_accept_09
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_accept	9	eastern_acknowledge_accept_10
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_accept	0	greek_acknowledge_accept_01
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_accept	1	greek_acknowledge_accept_02
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_accept	2	greek_acknowledge_accept_03
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_accept	3	greek_acknowledge_accept_04
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_accept	4	greek_acknowledge_accept_05
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_accept	5	greek_acknowledge_accept_06
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_accept	6	greek_acknowledge_accept_07
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_accept	7	greek_acknowledge_accept_08
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_accept	8	greek_acknowledge_accept_09
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_accept	9	greek_acknowledge_accept_10
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_accept	0	rome_acknowledge_accept_01
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_accept	1	rome_acknowledge_accept_02
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_accept	2	rome_acknowledge_accept_03
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_accept	3	rome_acknowledge_accept_04
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_accept	4	rome_acknowledge_accept_05
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_accept	5	rome_acknowledge_accept_06
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_accept	6	rome_acknowledge_accept_07
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_accept	7	rome_acknowledge_accept_08
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_accept	8	rome_acknowledge_accept_09
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_accept	9	rome_acknowledge_accept_10
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_client_state	0	barbarian_acknowledge_accept_vassalage_client_01
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_client_state	1	barbarian_acknowledge_accept_vassalage_client_02
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_client_state	2	barbarian_acknowledge_accept_vassalage_client_03
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_client_state	0	eastern_acknowledge_accept_vassalage_client_01
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_client_state	1	eastern_acknowledge_accept_vassalage_client_02
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_client_state	2	eastern_acknowledge_accept_vassalage_client_03
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_client_state	0	greek_acknowledge_accept_vassalage_client_01
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_client_state	1	greek_acknowledge_accept_vassalage_client_02
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_client_state	2	greek_acknowledge_accept_vassalage_client_03
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_client_state	0	rome_acknowledge_accept_vassalage_client_01
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_client_state	1	rome_acknowledge_accept_vassalage_client_02
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_client_state	2	rome_acknowledge_accept_vassalage_client_03
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_counter_accept	0	barbarian_acknowledge_accept_01
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_counter_accept	1	barbarian_acknowledge_accept_02
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_counter_accept	2	barbarian_acknowledge_accept_03
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_counter_accept	3	barbarian_acknowledge_accept_04
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_counter_accept	4	barbarian_acknowledge_accept_05
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_counter_accept	5	barbarian_acknowledge_accept_06
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_counter_accept	6	barbarian_acknowledge_accept_07
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_counter_accept	7	barbarian_acknowledge_accept_08
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_counter_accept	8	barbarian_acknowledge_accept_09
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_counter_accept	9	barbarian_acknowledge_accept_10
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_counter_accept	0	eastern_acknowledge_accept_01
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_counter_accept	1	eastern_acknowledge_accept_02
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_counter_accept	2	eastern_acknowledge_accept_03
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_counter_accept	3	eastern_acknowledge_accept_04
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_counter_accept	4	eastern_acknowledge_accept_05
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_counter_accept	5	eastern_acknowledge_accept_06
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_counter_accept	6	eastern_acknowledge_accept_07
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_counter_accept	7	eastern_acknowledge_accept_08
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_counter_accept	8	eastern_acknowledge_accept_09
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_counter_accept	9	eastern_acknowledge_accept_10
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_counter_accept	0	greek_acknowledge_accept_01
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_counter_accept	1	greek_acknowledge_accept_02
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_counter_accept	2	greek_acknowledge_accept_03
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_counter_accept	3	greek_acknowledge_accept_04
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_counter_accept	4	greek_acknowledge_accept_05
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_counter_accept	5	greek_acknowledge_accept_06
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_counter_accept	6	greek_acknowledge_accept_07
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_counter_accept	7	greek_acknowledge_accept_08
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_counter_accept	8	greek_acknowledge_accept_09
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_counter_accept	9	greek_acknowledge_accept_10
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_counter_accept	0	rome_acknowledge_accept_01
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_counter_accept	1	rome_acknowledge_accept_02
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_counter_accept	2	rome_acknowledge_accept_03
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_counter_accept	3	rome_acknowledge_accept_04
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_counter_accept	4	rome_acknowledge_accept_05
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_counter_accept	5	rome_acknowledge_accept_06
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_counter_accept	6	rome_acknowledge_accept_07
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_counter_accept	7	rome_acknowledge_accept_08
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_counter_accept	8	rome_acknowledge_accept_09
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_counter_accept	9	rome_acknowledge_accept_10
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_counter_reject	0	barbarian_acknowledge_reject_01
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_counter_reject	1	barbarian_acknowledge_reject_02
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_counter_reject	2	barbarian_acknowledge_reject_03
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_counter_reject	3	barbarian_acknowledge_reject_04
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_counter_reject	4	barbarian_acknowledge_reject_05
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_counter_reject	5	barbarian_acknowledge_reject_07
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_counter_reject	6	barbarian_acknowledge_reject_08
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_counter_reject	7	barbarian_acknowledge_reject_09
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_counter_reject	8	barbarian_acknowledge_reject_10
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_counter_reject	0	eastern_acknowledge_reject_01
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_counter_reject	1	eastern_acknowledge_reject_02
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_counter_reject	2	eastern_acknowledge_reject_03
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_counter_reject	3	eastern_acknowledge_reject_04
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_counter_reject	4	eastern_acknowledge_reject_05
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_counter_reject	5	eastern_acknowledge_reject_07
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_counter_reject	6	eastern_acknowledge_reject_08
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_counter_reject	7	eastern_acknowledge_reject_09
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_counter_reject	8	eastern_acknowledge_reject_10
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_counter_reject	0	greek_acknowledge_reject_01
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_counter_reject	1	greek_acknowledge_reject_02
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_counter_reject	2	greek_acknowledge_reject_03
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_counter_reject	3	greek_acknowledge_reject_04
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_counter_reject	4	greek_acknowledge_reject_05
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_counter_reject	5	greek_acknowledge_reject_07
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_counter_reject	6	greek_acknowledge_reject_08
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_counter_reject	7	greek_acknowledge_reject_09
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_counter_reject	8	greek_acknowledge_reject_10
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_counter_reject	0	rome_acknowledge_reject_01
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_counter_reject	1	rome_acknowledge_reject_02
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_counter_reject	2	rome_acknowledge_reject_03
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_counter_reject	3	rome_acknowledge_reject_04
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_counter_reject	4	rome_acknowledge_reject_05
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_counter_reject	5	rome_acknowledge_reject_07
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_counter_reject	6	rome_acknowledge_reject_08
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_counter_reject	7	rome_acknowledge_reject_09
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_counter_reject	8	rome_acknowledge_reject_10
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_reject	0	barbarian_acknowledge_reject_01
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_reject	1	barbarian_acknowledge_reject_02
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_reject	2	barbarian_acknowledge_reject_03
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_reject	3	barbarian_acknowledge_reject_04
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_reject	4	barbarian_acknowledge_reject_05
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_reject	5	barbarian_acknowledge_reject_07
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_reject	6	barbarian_acknowledge_reject_08
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_reject	7	barbarian_acknowledge_reject_09
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_reject	8	barbarian_acknowledge_reject_10
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_reject	0	eastern_acknowledge_reject_01
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_reject	1	eastern_acknowledge_reject_02
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_reject	2	eastern_acknowledge_reject_03
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_reject	3	eastern_acknowledge_reject_04
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_reject	4	eastern_acknowledge_reject_05
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_reject	5	eastern_acknowledge_reject_07
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_reject	6	eastern_acknowledge_reject_08
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_reject	7	eastern_acknowledge_reject_09
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_reject	8	eastern_acknowledge_reject_10
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_reject	0	greek_acknowledge_reject_01
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_reject	1	greek_acknowledge_reject_02
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_reject	2	greek_acknowledge_reject_03
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_reject	3	greek_acknowledge_reject_04
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_reject	4	greek_acknowledge_reject_05
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_reject	5	greek_acknowledge_reject_07
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_reject	6	greek_acknowledge_reject_08
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_reject	7	greek_acknowledge_reject_09
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_reject	8	greek_acknowledge_reject_10
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_reject	0	rome_acknowledge_reject_01
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_reject	1	rome_acknowledge_reject_02
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_reject	2	rome_acknowledge_reject_03
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_reject	3	rome_acknowledge_reject_04
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_reject	4	rome_acknowledge_reject_05
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_reject	5	rome_acknowledge_reject_07
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_reject	6	rome_acknowledge_reject_08
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_reject	7	rome_acknowledge_reject_09
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_reject	8	rome_acknowledge_reject_10
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_state_gift	0	barbarian_acknowledge_accept_state_gift_01
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_state_gift	1	barbarian_acknowledge_accept_state_gift_02
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_state_gift	2	barbarian_acknowledge_accept_state_gift_03
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_state_gift	0	eastern_acknowledge_accept_state_gift_01
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_state_gift	1	eastern_acknowledge_accept_state_gift_02
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_state_gift	2	eastern_acknowledge_accept_state_gift_03
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_state_gift	0	greek_acknowledge_accept_state_gift_01
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_state_gift	1	greek_acknowledge_accept_state_gift_02
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_state_gift	2	greek_acknowledge_accept_state_gift_03
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_state_gift	0	rome_acknowledge_accept_state_gift_01
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_state_gift	1	rome_acknowledge_accept_state_gift_02
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_state_gift	2	rome_acknowledge_accept_state_gift_03
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_vassal	0	barbarian_acknowledge_accept_vassalage_client_01
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_vassal	1	barbarian_acknowledge_accept_vassalage_client_02
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_vassal	2	barbarian_acknowledge_accept_vassalage_client_03
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_vassal	0	eastern_acknowledge_accept_vassalage_client_01
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_vassal	1	eastern_acknowledge_accept_vassalage_client_02
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_vassal	2	eastern_acknowledge_accept_vassalage_client_03
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_vassal	0	greek_acknowledge_accept_vassalage_client_01
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_vassal	1	greek_acknowledge_accept_vassalage_client_02
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_vassal	2	greek_acknowledge_accept_vassalage_client_03
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_vassal	0	rome_acknowledge_accept_vassalage_client_01
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_vassal	1	rome_acknowledge_accept_vassalage_client_02
hostile	rom_Roman	gov_absolute_monarchy	acknowledge_vassal	2	rome_acknowledge_accept_vassalage_client_03
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_war	0	barbarian_acknowledge_war_01
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_war	1	barbarian_acknowledge_war_02
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_war	10	barbarian_war_declaration_01
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_war	11	barbarian_war_declaration_02
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_war	2	barbarian_acknowledge_war_03
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_war	3	barbarian_acknowledge_war_04
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_war	4	barbarian_acknowledge_war_05
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_war	5	barbarian_acknowledge_war_06
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_war	6	barbarian_acknowledge_war_07
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_war	7	barbarian_acknowledge_war_08
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_war	8	barbarian_acknowledge_war_09
hostile	rom_Barbarian	gov_absolute_monarchy	acknowledge_war	9	barbarian_acknowledge_war_10
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_war	0	eastern_acknowledge_war_01
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_war	1	eastern_acknowledge_war_02
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_war	10	eastern_war_declaration_01
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_war	11	eastern_war_declaration_07
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_war	12	eastern_war_declaration_09
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_war	2	eastern_acknowledge_war_03
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_war	3	eastern_acknowledge_war_04
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_war	4	eastern_acknowledge_war_05
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_war	5	eastern_acknowledge_war_06
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_war	6	eastern_acknowledge_war_07
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_war	7	eastern_acknowledge_war_08
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_war	8	eastern_acknowledge_war_09
hostile	rom_Eastern	gov_absolute_monarchy	acknowledge_war	9	eastern_acknowledge_war_10
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_war	0	greek_acknowledge_war_01
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_war	1	greek_acknowledge_war_02
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_war	10	greek_war_declaration_02
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_war	11	greek_war_declaration_05
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_war	2	greek_acknowledge_war_03
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_war	3	greek_acknowledge_war_04
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_war	4	greek_acknowledge_war_05
hostile	rom_Hellenistic	gov_absolute_monarchy	acknowledge_war	5	greek_acknowledge_war_06
