effect	bonus_value_id	unit_category
rom_building_unit_equipment_armour_gold	unit_stat_bonus_armour	cavalry
rom_building_unit_equipment_armour_gold	unit_stat_bonus_armour	heavy_ship
rom_building_unit_equipment_armour_gold	unit_stat_bonus_armour	inf_melee
rom_building_unit_equipment_armour_gold	unit_stat_bonus_armour	inf_ranged
rom_building_unit_equipment_armour_gold	unit_stat_bonus_armour	light_ship
rom_building_unit_equipment_armour_gold	unit_stat_bonus_armour	medium_ship
rom_building_unit_equipment_armour_silver	unit_stat_bonus_armour	cavalry
rom_building_unit_equipment_armour_silver	unit_stat_bonus_armour	heavy_ship
rom_building_unit_equipment_armour_silver	unit_stat_bonus_armour	inf_melee
rom_building_unit_equipment_armour_silver	unit_stat_bonus_armour	inf_ranged
rom_building_unit_equipment_armour_silver	unit_stat_bonus_armour	light_ship
rom_building_unit_equipment_armour_silver	unit_stat_bonus_armour	medium_ship
rom_building_unit_equipment_hull_health_bronze	unit_stat_bonus_hull_health	heavy_ship
rom_building_unit_equipment_hull_health_bronze	unit_stat_bonus_hull_health	light_ship
rom_building_unit_equipment_hull_health_bronze	unit_stat_bonus_hull_health	medium_ship
rom_building_unit_equipment_hull_health_gold	unit_stat_bonus_hull_health	heavy_ship
rom_building_unit_equipment_hull_health_gold	unit_stat_bonus_hull_health	light_ship
rom_building_unit_equipment_hull_health_gold	unit_stat_bonus_hull_health	medium_ship
rom_building_unit_equipment_hull_health_silver	unit_stat_bonus_hull_health	heavy_ship
rom_building_unit_equipment_hull_health_silver	unit_stat_bonus_hull_health	light_ship
rom_building_unit_equipment_hull_health_silver	unit_stat_bonus_hull_health	medium_ship
rom_building_unit_equipment_siege_bronze	unit_stat_bonus_accuracy	artillery
rom_building_unit_equipment_siege_gold	unit_stat_bonus_accuracy	artillery
rom_building_unit_equipment_siege_silver	unit_stat_bonus_accuracy	artillery
rom_building_unit_equipment_weapon_bronze	unit_stat_bonus_weapon	cavalry
rom_building_unit_equipment_weapon_bronze	unit_stat_bonus_weapon	elephants
rom_building_unit_equipment_weapon_bronze	unit_stat_bonus_weapon	heavy_ship
rom_building_unit_equipment_weapon_bronze	unit_stat_bonus_weapon	inf_melee
rom_building_unit_equipment_weapon_bronze	unit_stat_bonus_weapon	inf_ranged
rom_building_unit_equipment_weapon_bronze	unit_stat_bonus_weapon	light_ship
rom_building_unit_equipment_weapon_bronze	unit_stat_bonus_weapon	medium_ship
rom_building_unit_equipment_weapon_gold	unit_stat_bonus_weapon	cavalry
rom_building_unit_equipment_weapon_gold	unit_stat_bonus_weapon	elephants
rom_building_unit_equipment_weapon_gold	unit_stat_bonus_weapon	heavy_ship
rom_building_unit_equipment_weapon_gold	unit_stat_bonus_weapon	inf_melee
rom_building_unit_equipment_weapon_gold	unit_stat_bonus_weapon	inf_ranged
rom_building_unit_equipment_weapon_gold	unit_stat_bonus_weapon	light_ship
rom_building_unit_equipment_weapon_gold	unit_stat_bonus_weapon	medium_ship
rom_building_unit_equipment_weapon_silver	unit_stat_bonus_weapon	cavalry
rom_building_unit_equipment_weapon_silver	unit_stat_bonus_weapon	elephants
rom_building_unit_equipment_weapon_silver	unit_stat_bonus_weapon	heavy_ship
rom_building_unit_equipment_weapon_silver	unit_stat_bonus_weapon	inf_melee
rom_building_unit_equipment_weapon_silver	unit_stat_bonus_weapon	inf_ranged
rom_building_unit_equipment_weapon_silver	unit_stat_bonus_weapon	light_ship
rom_building_unit_equipment_weapon_silver	unit_stat_bonus_weapon	medium_ship
rom_building_unit_training_accuracy_ranged_all	unit_stat_bonus_accuracy	artillery
rom_building_unit_training_accuracy_ranged_all	unit_stat_bonus_accuracy	cavalry
rom_building_unit_training_accuracy_ranged_all	unit_stat_bonus_accuracy	elephants
rom_building_unit_training_accuracy_ranged_all	unit_stat_bonus_accuracy	heavy_ship
rom_building_unit_training_accuracy_ranged_all	unit_stat_bonus_accuracy	inf_melee
rom_building_unit_training_accuracy_ranged_all	unit_stat_bonus_accuracy	inf_ranged
rom_building_unit_training_accuracy_ranged_all	unit_stat_bonus_accuracy	light_ship
rom_building_unit_training_accuracy_ranged_all	unit_stat_bonus_accuracy	medium_ship
rom_building_unit_training_accuracy_ranged_inf	unit_stat_bonus_accuracy	inf_ranged
rom_building_unit_training_attack_melee_inf	unit_stat_bonus_attack	inf_melee
rom_building_unit_training_charge_all_land	unit_stat_bonus_charge	artillery
rom_building_unit_training_charge_all_land	unit_stat_bonus_charge	cavalry
rom_building_unit_training_charge_all_land	unit_stat_bonus_charge	elephants
rom_building_unit_training_charge_all_land	unit_stat_bonus_charge	inf_melee
rom_building_unit_training_charge_all_land	unit_stat_bonus_charge	inf_ranged
rom_building_unit_training_charge_cavalry	unit_stat_bonus_charge	cavalry
rom_building_unit_training_defence_melee_inf	unit_stat_bonus_defence	inf_melee
rom_building_unit_training_melee_attack_all	unit_stat_bonus_attack	artillery
rom_building_unit_training_melee_attack_all	unit_stat_bonus_attack	cavalry
rom_building_unit_training_melee_attack_all	unit_stat_bonus_attack	elephants
rom_building_unit_training_melee_attack_all	unit_stat_bonus_attack	heavy_ship
rom_building_unit_training_melee_attack_all	unit_stat_bonus_attack	inf_melee
rom_building_unit_training_melee_attack_all	unit_stat_bonus_attack	inf_ranged
rom_building_unit_training_melee_attack_all	unit_stat_bonus_attack	light_ship
rom_building_unit_training_melee_attack_all	unit_stat_bonus_attack	medium_ship
rom_building_unit_training_melee_defence_all	unit_stat_bonus_defence	cavalry
rom_building_unit_training_melee_defence_all	unit_stat_bonus_defence	elephants
rom_building_unit_training_melee_defence_all	unit_stat_bonus_defence	heavy_ship
rom_building_unit_training_melee_defence_all	unit_stat_bonus_defence	inf_melee
rom_building_unit_training_melee_defence_all	unit_stat_bonus_defence	inf_ranged
rom_building_unit_training_melee_defence_all	unit_stat_bonus_defence	light_ship
rom_building_unit_training_melee_defence_all	unit_stat_bonus_defence	medium_ship
rom_building_unit_training_morale_all_sea_hidden	unit_stat_bonus_morale	heavy_ship
rom_building_unit_training_morale_all_sea_hidden	unit_stat_bonus_morale	light_ship
rom_building_unit_training_morale_all_sea_hidden	unit_stat_bonus_morale	medium_ship
rom_building_unit_training_morale_all	unit_stat_bonus_morale	artillery
rom_building_unit_training_morale_all	unit_stat_bonus_morale	cavalry
rom_building_unit_training_morale_all	unit_stat_bonus_morale	elephants
rom_building_unit_training_morale_all	unit_stat_bonus_morale	inf_melee
rom_building_unit_training_morale_all	unit_stat_bonus_morale	inf_ranged
rom_building_unit_training_morale_cavalry	unit_stat_bonus_morale	cavalry
rom_building_unit_training_morale_melee_inf_global	unit_stat_bonus_morale	inf_melee
rom_building_unit_training_morale_melee_inf	unit_stat_bonus_morale	inf_melee
rom_building_unit_training_morale_ranged_inf	unit_stat_bonus_morale	inf_ranged
