config_key	group_key	quality_group_key	quality
multiplayer	medium_ship	medium_ship	600
oda	cavalry	cavalry_missile	200
oda	cavalry	cavalry_spear	400
oda	cavalry	cavalry_sword	600
oda	cavalry	general	0
oda	heavy_ship	heavy_ship	600
oda	infantry_melee	infantry_heavy	400
oda	infantry_melee	infantry_spear	600
oda	infantry_melee	infantry_special	200
oda	infantry_melee	infantry_sword	600
oda	infantry_ranged_late	infantry_bow	600
oda	infantry_ranged_late	infantry_matchlock	200
oda	infantry_ranged_late	siege	50
oda	infantry_ranged	infantry_bow	800
oda	infantry_ranged	siege	50
oda	light_ship	cannon_ship	800
oda	light_ship	light_ship	600
oda	light_ship	trade_ship	100
oda	medium_ship	medium_ship	600
shimazu	cavalry	cavalry_missile	200
shimazu	cavalry	cavalry_spear	400
shimazu	cavalry	cavalry_sword	600
shimazu	cavalry	general	0
shimazu	heavy_ship	heavy_ship	600
shimazu	infantry_melee	infantry_heavy	400
shimazu	infantry_melee	infantry_spear	600
shimazu	infantry_melee	infantry_special	200
shimazu	infantry_melee	infantry_sword	700
shimazu	infantry_ranged_late	infantry_bow	600
shimazu	infantry_ranged_late	infantry_matchlock	200
shimazu	infantry_ranged_late	siege	50
shimazu	infantry_ranged	infantry_bow	800
shimazu	infantry_ranged	siege	50
shimazu	light_ship	cannon_ship	800
shimazu	light_ship	light_ship	600
shimazu	light_ship	trade_ship	100
shimazu	medium_ship	medium_ship	600
takeda	cavalry	cavalry_missile	200
takeda	cavalry	cavalry_spear	400
takeda	cavalry	cavalry_sword	600
takeda	cavalry	general	0
takeda	heavy_ship	heavy_ship	600
takeda	infantry_melee	infantry_heavy	400
takeda	infantry_melee	infantry_spear	600
takeda	infantry_melee	infantry_special	200
takeda	infantry_melee	infantry_sword	600
takeda	infantry_ranged_late	infantry_bow	600
takeda	infantry_ranged_late	infantry_matchlock	200
takeda	infantry_ranged_late	siege	50
takeda	infantry_ranged	infantry_bow	800
takeda	infantry_ranged	siege	50
takeda	light_ship	cannon_ship	800
takeda	light_ship	light_ship	600
takeda	light_ship	trade_ship	100
takeda	medium_ship	medium_ship	600
uesugi	cavalry	cavalry_missile	200
uesugi	cavalry	cavalry_spear	400
uesugi	cavalry	cavalry_sword	600
uesugi	cavalry	general	0
uesugi	heavy_ship	heavy_ship	600
uesugi	infantry_melee	infantry_heavy	400
uesugi	infantry_melee	infantry_spear	600
uesugi	infantry_melee	infantry_special	200
uesugi	infantry_melee	infantry_sword	600
uesugi	infantry_ranged_late	infantry_bow	600
uesugi	infantry_ranged_late	infantry_matchlock	200
uesugi	infantry_ranged_late	siege	50
uesugi	infantry_ranged	infantry_bow	800
uesugi	infantry_ranged	siege	50
uesugi	light_ship	cannon_ship	800
uesugi	light_ship	light_ship	600
uesugi	light_ship	trade_ship	100
uesugi	medium_ship	medium_ship	600
