key	localised_description	localised_title	ui_icon	bundle_target
3c_east_magi_council_i_A	You've impressed all who would plot against you.	Your Magnificence	loyalty_positive.png	faction
3c_east_magi_council_i_B	You've earned your people's adoration.	Your Benevolence	public_order_positive.png	faction
3c_east_magi_council_i_C	You could finance all your grand undertakings.	Your Affluence	wealth_positive.png	faction
3c_east_magi_council_i_D	You can crush all who stand in your way.	Your Dominance	army_positive.png	faction
3c_east_sassanian_sculptor_i_A	The artisans in this province are scared to exercise their craft...	Cruelty	public_order_negative.png	province
3c_east_sassanian_sculptor_i_B	The artisans in this province are highly motivated!	Generosity	public_order_positive.png	province
3c_east_sassanian_sculptor_i_D	People mock you behind your back.	Mockery	loyalty_negative.png	faction
3c_faction_group_celtic	The Celts of Britannia may be savages on the battlefield but are far from barbarians in their tribal settlements.	British Tribes	trait_britannic_tribes.png	faction
3c_faction_group_eastern	After the fall of the Persian Empire, eastern traditions and culture were both respected and cultivated by its successors.	Eastern Empires	trait_eastern_empires.png	faction
3c_faction_group_germanic	Germanic tribesmen are fearsome raiders, expert night-fighters and brutal conquerors.	Germanic Tribes	trait_germanic_tribes.png	faction
3c_faction_group_nomadic	The Sarmatians are aggressive, nomadic warriors, famed for their horsemanship and skill with the bow.	Sarmatians	trait_nomadic_tribes.png	faction
3c_faction_group_roman	He who rules Rome shall control the world through the glory of conquest!	Divided Roman Empire	trait_rome.png	faction
3c_faction_leader_aurelian_generic	The soldiers are touched by Aurelian's display of mercy...	Aurelian's Leniency	morale_positive.png	character
3c_faction_trait_alani	Descendants of mighty Sarmatian tribes, Alani horsemen are feared throughout the known world.	Alani	trait_alani.png	faction
3c_faction_trait_armenia	Once a mighty empire, now the pawn of stronger powers, Armenia seeks to regain its lost glory.	Armenia	trait_armenia.png	faction
3c_faction_trait_caledoni	The red-haired Caledonii of northern Britannia have never bent the knee to conquerors, nor will they ever.	Caledonii	trait_caledoni.png	faction
3c_faction_trait_gallic_empire	Gaul's western provinces seek to restore the Republic and establish a glorious new Rome.	Gallic Rome	trait_gallicemp.png	faction
3c_faction_trait_gothi	The Gothic tribes are indomitable Germanic warriors, who have adopted the Steppe nomads' ways of battle.	Gothi	trait_gothi.png	faction
3c_faction_trait_marcomanni	The Germanic confederation of the Marcomanni want to settle west of the Rhine, and will stop at nothing to achieve this.	Marcomanni	trait_marcomanni.png	faction
3c_faction_trait_palmyrene_empire	Zenobia's rule in the east has raised Palmyra from clients of Rome to a blossoming empire in its own right.	Palmyrene Empire	trait_palmyra.png	faction
3c_faction_trait_roman_empire	Rome has never faced a more difficult crisis, but the Eternal City will endure and rise again.	Roman Empire	trait_rome.png	faction
3c_faction_trait_sassanid_empire	The Sassanid dynasty continues the legacy of its Persian predecessors, but with renewed aggression and advanced military prowess.	Sassanid Empire	trait_sassanid.png	faction
3c_faction_trait_saxoni	A northern Germanic tribe, the Saxoni, terrorise helpless settlements with their ships, leaving nothing of value behind.	Saxoni	trait_saxoni.png	faction
3c_famous_bard	A great singer and storyteller has arrived to entertain our people.	Famous Bard	public_order_positive.png	faction
3c_famous_scholar	A famous scholar has come to share his vast knowledge with us.	Famous Scholar	diplomacy_positive.png	faction
3c_gothi_casting_the_lots_i_A	You wish to conquer the world.	King's Conquest	army_positive.png	faction
3c_gothi_casting_the_lots_i_B	You seek peace and justice for your people.	Elder's Wisdom	public_order_positive.png	faction
3c_gothi_casting_the_lots_i_C	You desire recognition from gods and men alike.	Warrior's Glory	loyalty_positive.png	faction
3c_gothi_casting_the_lots_i_D	You wish to provide for your people.	Everyman's Feasts	food_positive.png	faction
3c_intro_cults	Many people have turned to a new faith in search of salvation.	The Rise of Cults	religion_positive.png	faction
3c_master_horseman	An exceptionally skilled horseman has come to share his experience.	Master Horseman	army_positive.png	faction
3c_mystic_dreams_i_A_recruitment	Men from across the desert flock to your banner.	Omen of Conquest	army_positive.png	faction
3c_mystic_dreams_i_B_political	Our rule is favoured by the gods themselves!	Omen of Favour	barbarian_positive.png	faction
3c_mystic_dreams_i_C_morale	Your warriors are doing their best to evade this ill omen.	Omen of Peril	morale_positive.png	faction
3c_mystic_dreams_i_D_general_stats	This general is confused.	Mystic Dreams	general_negative.png	character
3c_pax_romana	The roads are finally safe. Traders across all provinces can safely seek better markets.	Safe Roads!	trade_positive.png	faction
3c_plague_army	[[col:red]]Pestilence[[/col]]\nWe are doomed! One by one, our men succumb to a foul disease. The corpses are piling up and the foul stench is everywhere.	Plague	3c_squalor_red.png	force
3c_plague_region	[[col:red]]Pestilence[[/col]]\nWe are doomed! One by one, our men succumb to a foul disease. The corpses are piling up and the foul stench is everywhere.	Plague	3c_squalor_red.png	region
3c_rat_infestation	Rats have infested this province!	Rat Infestation	3c_squalor_red.png	province
3c_rat_infestation_D	The people take part in the religious ceremonies, consuming food but not producing it.	Religious Ceremony	food_negative.png	province
3c_rat_infestation_i_A	The ratcatchers have taken care of this infestation.	Ratcatchers	3c_squalor_green.png	province
3c_rat_infestation_i_B	The cats will catch all the rats... eventually. Hopefully...	Cats	3c_squalor_green.png	province
3c_rat_infestation_i_C	Incense and myrrh have worked well against the rats. However, fire has damaged a few buildings in the city, naturally upsetting their owners.	Fumigation	3c_squalor_green.png	province
3c_rat_infestation_i_D	The people believe the gods will protect them from pestilence and disease.	Prayers	public_order_positive.png	province
3c_revolt_of_the_mint_workers	In this province, a corrupt treasury officer is instigating rebellion against your rule.	Coinmaker's Revolt	public_order_negative.png	province
3c_rom_Sibylline_Books_Agree_A1	The costs and benefits of fulfilling the prophecy of power:	Power	loyalty_positive.png	faction
3c_rom_Sibylline_Books_Agree_A2	The costs and benefits of fulfilling the prophecy of power:	Power	loyalty_positive.png	faction
3c_rom_Sibylline_Books_Agree_A3	The costs and benefits of fulfilling the prophecy of power:	Power	loyalty_positive.png	faction
3c_rom_Sibylline_Books_Agree_B1	The costs and benefits of fulfilling the prophecy of stability:	Stability	public_order_positive.png	faction
3c_rom_Sibylline_Books_Agree_B2	The costs and benefits of fulfilling the prophecy of stability:	Stability	public_order_positive.png	faction
3c_rom_Sibylline_Books_Agree_B3	The costs and benefits of fulfilling the prophecy of stability:	Stability	public_order_positive.png	faction
3c_rom_Sibylline_Books_Agree_C1	The costs and benefits of fulfilling the prophecy of prosperity:	Prosperity	wealth_positive.png	faction
3c_rom_Sibylline_Books_Agree_C2	The costs and benefits of fulfilling the prophecy of prosperity:	Prosperity	wealth_positive.png	faction
3c_rom_Sibylline_Books_Agree_C3	The costs and benefits of fulfilling the prophecy of prosperity:	Prosperity	wealth_positive.png	faction
3c_rom_Sibylline_Books_Agree_D1	The costs and benefits of fulfilling the prophecy of victory:	Victory!	military_positive.png	faction
3c_rom_Sibylline_Books_Agree_D2	The costs and benefits of fulfilling the prophecy of victory:	Victory!	military_positive.png	faction
3c_rom_Sibylline_Books_Agree_D3	The costs and benefits of fulfilling the prophecy of victory:	Victory!	military_positive.png	faction
3c_rom_Sibylline_Books_Burn	The masses will be shocked by the act but it will put an end to this cycle of superstitions.	Shock!	public_order_negative.png	faction
3c_rom_Sibylline_Books_For_Show	The populace will be appeased but the economy will suffer.	Religious Festivities	public_order_positive.png	faction
3c_rom_Sibylline_Books_Hide	The Senate will be angry with your decision to conceal the prescription of the Sibylline Books.	The Senate is Displeased	loyalty_negative.png	faction
3c_rom_Sibylline_Books_Rational	Casting aside these old, cryptic texts, our people have learned to rely on their own strength and determination.	Rational	faction_leader_positive.png	faction
3c_ships_at_the_port_A	The exotic animals have improved commerce but their waste has caused squalor.	Exotic Animals	3c_squalor_red.png	province
3c_ships_at_the_port_B	The ports have become filthier due to the presence of foreign ships.	Ships in Port	public_order_negative.png	province
3c_ships_at_the_port_C	The local merchants are upset.	Complaining Merchants	public_order_negative.png	province
3c_ships_at_the_port_D	The exotic animals have increased your popularity among the nobles. The foreigners, however, have told everyone about your unjust appropriation, which may affect diplomatic relations.	Confiscated Cargo	loyalty_positive.png	faction
3c_spring	The spring is said to have healing powers...	Healing Water	3c_squalor_green.png	province
3c_squalor_incident	Many people have become ill due to rotten food.	Rotten Food	3c_squalor_red.png	province
3c_stolen_eagle	The Legion's standard is missing and morale is low!	Stolen Eagle	morale_negative.png	force
3c_stolen_eagle_A	Decimation is a capital punishment.	Decimation	replenishment_negative.png	force
3c_stolen_eagle_i_A	The army has improved discipline.	Discipline	morale_positive.png	force
3c_stolen_eagle_i_C	The army has improved discipline.	Discipline	morale_positive.png	force
3c_stolen_eagle_i_D	The army has been slowed down.	Detour	campaign_movement_negative.png	force
3c_tactician	A master tactician has come to instruct our forces in the ways of battle!	Tactician	army_positive.png	faction
3c_tech_module_battle_1	To benefit from the following effect, research the technologies below.	Battle I	general_positive.png	faction
3c_tech_module_battle_2	To benefit from the following effect, unlock Battle I and research the technologies below.	Battle II	general_positive.png	faction
3c_tech_module_battle_3	To benefit from the following effect, unlock Battle II and research the technologies below.	Battle III	general_positive.png	faction
3c_tech_module_campaign_1	To benefit from the following effect, research the technologies below.	Campaign I	general_positive.png	faction
3c_tech_module_campaign_2	To benefit from the following effect, unlock Campaign I and research the technologies below.	Campaign II	general_positive.png	faction
3c_tech_module_campaign_3	To benefit from the following effect, unlock Campaign II and research the technologies below.	Campaign III	general_positive.png	faction
3c_tech_module_culture_1	To benefit from the following effect, research the technologies below.	Culture I	wealth_positive.png	faction
3c_tech_module_culture_2	To benefit from the following effect, unlock Culture I and research the technologies below.	Culture II	wealth_positive.png	faction
3c_tech_module_culture_3	To benefit from the following effect, unlock Culture II and research the technologies below.	Culture III	wealth_positive.png	faction
3c_tech_module_economy_1	To benefit from the following effect, research the technologies below.	Economy I	wealth_positive.png	faction
3c_tech_module_economy_2	To benefit from the following effect, unlock Economy I and research the technologies below.	Economy II	wealth_positive.png	faction
3c_tech_module_economy_3	To benefit from the following effect, unlock Economy II and research the technologies below.	Economy III	wealth_positive.png	faction
3c_tech_module_governance_1	To benefit from the following effect, research the technologies below.	Governance I	wealth_positive.png	faction
3c_tech_module_governance_2	To benefit from the following effect, unlock Governance I and research the technologies below.	Governance II	wealth_positive.png	faction
3c_tech_module_governance_3	To benefit from the following effect, unlock Governance II and research the technologies below.	Governance III	wealth_positive.png	faction
3c_tech_module_military_recruitment_1	To benefit from the following effect, research the technologies below.	Recruitment I	construction_positive.png	faction
3c_tech_module_military_recruitment_2	To benefit from the following effect, unlock Recruitment I and research the technologies below.	Recruitment II	construction_positive.png	faction
3c_tech_module_military_recruitment_3	To benefit from the following effect, unlock Recruitment II and research the technologies below.	Recruitment III	construction_positive.png	faction
Inv_loyalty_decr	The rival political powers are watching your every move.	Political Tension	loyalty_negative.png	faction
Inv_loyalty_incr	The rival political powers have given you some breathing room.	Political Idyll	loyalty_positive.png	faction
age_agent_action_all_trap_agent_subterfuge_success	This agent has been trapped by an enemy champion and has their movement range reduced.	Trap	agent_negative.png	character
age_agent_action_all_trap_agent_success_self	This agent has recently trapped an enemy agent, exposing them to other enemy actions.	Trap	agent_positive.png	character
age_agent_action_spy_steal_subterfuge_success	This agent has been robbed of his gold and possession by an enemy spy, hindering their ability to act!	Steal	agent_negative.png	character
age_agent_action_spy_steal_subterfuge_success_self	This spy has stolen an enemy agent's gold and possessions, making them inept to act.	Steal	spy_positive.png	character
agent_action_spy_hinder_agent_zeal_success	This agent has been distracted by an enemy spy.	Misdirection	spy_negative.png	character
agent_action_spy_hinder_agent_zeal_success_self	This spy has recently distracted an enemy agent.	Misdirection	spy_positive.png	character
construction_costs_all_10_minus	Sometimes prices are reasonable, especially in good times. 	Favourable Prices	construction_positive.png	faction
construction_costs_all_10_plus	All prices fluctuate, especially in interesting times. 	Volatile Prices	construction_negative.png	faction
cultural_conversion_10_plus	Our culture is promoted stronger than before.	Spreading Culture	dignitary_positive.png	faction
dk_architects_A	The Sabaean architects will help with the construction of certain agricultural buildings.	Saba Architects	construction_positive.png	faction
dk_architects_B	The architects from Saba will share their advanced methods with our own builders and craftsmen.	Saba Architects	technology_positive.png	faction
dk_architects_C	Our artisans are proud that we continue to value their craft and contribution.	Uphold Traditions	public_order_positive.png	faction
dk_camel_disease_A	Expensive but worth it. Our camel breeders rejoice!	The Cure	public_order_positive.png	faction
dk_camel_disease_B	The camel breeders are unhappy that they've had to deal with it themselves, but the matter is settled.	The Solution	trade_positive.png	faction
dk_camel_disease_C	Our neighbours' camels have fallen victim to a mysterious sickness.	Camel Disease	loyalty_negative.png	faction
dk_construction_delayed_A	Construction cannot be delayed, no matter the reason!	Extra Workforce	construction_positive.png	province
dk_construction_delayed_B	Construction cannot be delayed, no matter the reason!	Extra Materials	construction_positive.png	province
dk_dig_A1	These jewels will greatly increase the family's status.	Treasure	loyalty_positive.png	faction
dk_dig_A2	Work on the canal has slowed down considerably.	Work Delayed	food_negative.png	province
dk_dig_B	Nearby settlements enjoy an increase in agricultural produce.	New Canal	food_positive.png	province
dk_dyes_A	Appearance is not the most important thing. Still, some people will ridicule us.	Not Pretty	construction_positive.png	province
dk_dyes_B	Our buildings will be a thing of beauty! For a price…	Magnificent	public_order_positive.png	province
dk_dyes_C	Construction will be delayed until the paint arrives.	Waiting for Dyes	construction_negative.png	province
dk_fish_catch_A	Feed the populace. That's the point of food, isn't it?	Feast	food_positive.png	province
dk_fish_catch_B	Let's try to appease the Nile god…	Offering to Hapi	public_order_positive.png	province
dk_fish_catch_C	Let the fish be sold to other towns and foreign merchants.	Fish Market	wealth_positive.png	province
dk_foreign_intrigue_B	You will help the man regain what is his. 	Seek Justice	diplomacy_positive.png	faction
dk_foreign_intrigue_D	You will let the man suffer the consequences of his failure. You, on the other hand will benefit greatly from this opportunity.	Gain Favour	diplomacy_positive.png	faction
dk_foreign_ship_A	Sea trade in this province is blooming, seemingly due to this mysterious captain and his ship…	No Questions Asked	wealth_positive.png	province
dk_gift_B	…for whomever can pay the most.	A Rare Gift	wealth_positive.png	faction
dk_gift_C	…for those who would plot against their ruler.	A Rare Gift	loyalty_positive.png	faction
dk_gift_D	…for those who shed their blood for us.	A Rare Gift	army_positive.png	faction
dk_glorious_past_A	The glorious past will lead us to a glorious future if we have the eyes to see our shortcomings.	Glorious Future	public_order_positive.png	faction
dk_glorious_past_B	The people consider our ruler a tyrant. Whatever - such methods are surprisingly effective…	Despotic Ruler	loyalty_positive.png	faction
dk_glorious_past_C	The people consider our ruler weak, bordering on incapable!	Weak Ruler	loyalty_negative.png	faction
dk_gods_Amun	Blessing of Amun.	Amun	wealth_positive.png	faction
dk_gods_Apademak	Blessing of Apademak.	Apademak	morale_positive.png	faction
dk_gods_Arensnuphis	Blessing of Arensnuphis.	Arensnuphis	religion_positive.png	faction
dk_gods_Horus	Blessing of Horus.	Horus	loyalty_positive.png	faction
dk_gods_Isis	Blessing of Isis.	Isis	public_order_positive.png	faction
dk_gods_Khonsu	Blessing of Khonsu.	Khonsu	replenishment_positive.png	faction
dk_gods_Maat	Blessing of Maat.	Maat	public_order_positive.png	faction
dk_gods_Osiris	Blessing of Osiris.	Osiris	public_order_positive.png	faction
dk_gods_Sebiumeker	Blessing of Sebiumeker.	Sebiumeker	growth_positive.png	faction
dk_gods_Seth	Blessing of Seth.	Seth	army_positive.png	faction
dk_gods_Thoth	Blessing of Thoth.	Thoth	technology_positive.png	faction
dk_kush_nile_A_draught	Contrary to expectations, there is drought this year!	Nile Drought!	food_negative.png	faction
dk_kush_nile_A_flood	In line with expectations, the river has flooded.	Nile Flood!	food_positive.png	faction
dk_kush_nile_B_draught	Contrary to expectations, there is drought this year!	Nile Drought!	food_negative.png	faction
dk_kush_nile_B_flood	In line with expectations, the river has flooded.	Nile Flood!	food_positive.png	faction
dk_kush_priests_suicide_A	The current ruler governs with order and harmony.	Worthy of Maat!	public_order_positive.png	faction
dk_kush_priests_suicide_B	Some say the current ruler governs with order and harmony, but others are somewhat less complimentary…	Worthy of Maat…	public_order_positive.png	faction
dk_kush_pyramid_noble_A	A glorious funeral, befitting a person of status.	Glorious Funeral	loyalty_positive.png	faction
dk_kush_pyramid_noble_B	A noble funeral, befitting someone with breeding.	Noble Funeral	loyalty_positive.png	faction
dk_kush_pyramid_noble_C	I think not. Let's not stand on ceremony - get them in the ground!	Denied Funeral	loyalty_negative.png	faction
dk_kush_pyramid_warrior_A	A glorious funeral, befitting a warrior of renown.	Glorious Funeral	army_positive.png	faction
dk_kush_pyramid_warrior_B	A noble funeral, befitting someone with breeding.	Noble Funeral	army_positive.png	faction
dk_kush_pyramid_warrior_C	I think not. This man did not belong to the correct class!	Denied Funeral	army_negative.png	faction
dk_locusts_A	Our farms are safe, but we've lost our valuable supplies of frankincense in the process.	Locusts!	wealth_positive.png	province
dk_locusts_B	We gathered the current crop but the plague of locusts has destroyed the farms.	Locusts!	food_positive.png	province
dk_lost_caravan_fail	The men and goods were retrieved but the search has taken a toll on our scout party.	Lost Caravan	replenishment_negative.png	faction
dk_lost_caravan_success	The men and goods were retrieved - everyone and everything have been returned to your capital unharmed.	Lost Caravan	wealth_positive.png	faction
dk_mercernaries_i	The mercenaries have contributed greatly to the war effort through their experience and knowledge of our more advanced rivals' tactics.	Foreign Mercenaries	army_positive.png	faction
dk_merchants_plea_B	The neighbouring towns honour us for acting on the merchants' behalf.	Grateful Neighbours	diplomacy_positive.png	faction
dk_merchants_plea_C	The local masters are pleased. Although fickle, you can probably count on their support in the near future.	Grateful Nobles	loyalty_positive.png	faction
dk_monster_A	The hide of an unusually-large crocodile. Probably. The ruling family has gained prestige!	Great Trophy	loyalty_positive.png	faction
dk_monster_B	The ferocious beast has become a praised symbol of our military forces!	Cult Animal	army_positive.png	faction
dk_monster_C	People from all across the desert come to witness the feeding of the majestic creature!	Ritual Feasting	public_order_positive.png	faction
dk_monster_D	People on the river work in constant fear, never knowing when the monster will appear to snatch them to their deaths.	Reluctant Fishermen	public_order_negative.png	faction
dk_numidia_migration_A	Honour the warriors. It makes sense to keep large groups of men with swords on side at all times!	Appease the Military	army_positive.png	faction
dk_numidia_migration_B	Appease the nobles. After all, they have considerable influence over the people.	The Nobles	loyalty_positive.png	faction
dk_numidia_migration_C	Accommodate the artisans. Production may soon grind to a halt otherwise!	The Artisans	technology_positive.png	faction
dk_numidia_migration_D	Sometimes we are kind. Provide for the old and the sick. The nobles will not be happy...	The Old & The Sick	public_order_positive.png	faction
dk_numidia_raid_A1	We've managed to bring back a large quantity of valuable goods. That pompous state got what it deserved!	Carthage Riches	wealth_positive.png	faction
dk_numidia_raid_A2	Having sacked their city, we have returned with some valuable goods. Now, our pompous neighbours fear us!	Carthage Riches	wealth_positive.png	faction
dk_numidia_raid_B1	Our warriors are restless in their saddles. They yearn to spill the blood of our enemies!	Restless Riders	army_negative.png	faction
dk_numidia_raid_B2	The Gaetuli have raided Carthage and blamed us for it! Something will have to be done!	Gaetuli's Ruse	diplomacy_negative.png	faction
dk_numidia_tribute_carthage	The tribes of the desert are impressed with our courage. Possibly, we can count on their support should it be needed.	Unite the Desert	diplomacy_positive.png	faction
dk_numidia_tribute_rome	The enemies of Rome are on our side! We don't have to like them if an arrangement is mutually beneficial.	Rome Shall Fall!	diplomacy_positive.png	faction
dk_prosperity_A	A two-fold benefit! The nobles will feel appreciated and our people will find pride in our culture.	Invite the Nobles	loyalty_positive.png	faction
dk_prosperity_B	The rulers of the desert kingdoms will be flattered by your invitation! They will certainly be willing to discuss trade opportunities with us…	Invite the Neighbours	diplomacy_positive.png	faction
dk_prosperity_C	The adventurous, enterprising Greeks will have news from the elsewhere in the world. Maybe we can persuade them to share some of this 'insider' knowledge?	Invite the Greeks	diplomacy_positive.png	faction
dk_prosperity_D	We will try to earn the benevolence of these proud masters of the east.	Invite the East	diplomacy_positive.png	faction
dk_refugees_A	The price of progress.	New Ways	technology_positive.png	region
dk_refugees_B	The reward for staunchness.	Old Ways	public_order_positive.png	region
dk_sand_storm_A	The relatives of the missing families received their animals and cargo, if not solace.	Cargo Reclaimed	public_order_positive.png	province
dk_shipwreck_B	People in the province are unhappy, but this expense will actually help the local economy in the long run.	The Needs of the Many	wealth_positive.png	province
dk_shipwreck_C	The fishermen praise your grace!	Gift from the Gods	public_order_positive.png	province
dk_slavers_ship_A	Blood! Everyone likes blood to be shed - it reminds them they are alive!	Appease the Masses	public_order_positive.png	province
dk_slavers_ship_B	The slavers' people owe us some favours.	Reparations	diplomacy_positive.png	faction
dk_slavers_ship_C	Commerce rules the world and those men are merchants - how they make their coin is none of our concern.	Slave Business	wealth_positive.png	province
dk_survivors_A	You help the survivors settle in.	Accommodations	food_negative.png	province
dk_survivors_B	The city guards are occupied dealing with the refugees.	Busy Guards	army_negative.png	province
dk_survivors_i_A	The province is expanding thanks to the influx of refugees.	Refugees	growth_positive.png	province
dk_survivors_i_B	There are more slaves.	Refugees	slaves_positive.png	province
dk_survivors_i_D	The province is expanding thanks to the influx of refugees.	Refugees	growth_positive.png	province
dk_suspicious_merchant_A1	This province has increased its wealth, but our exports have suffered as a result.	Suspicious Merchant	trade_negative.png	province
dk_suspicious_merchant_A2	Glorious commerce! Local businesses are thriving.	Recent Purchases	trade_positive.png	province
dk_suspicious_merchant_B	We remain the main source of certain valuable goods. Things are as they should be.	Trade Monopoly	trade_positive.png	province
dk_tools_A	The construction workers will be happy!	Extra Tools	public_order_positive.png	province
dk_tools_B	The building workers will not be happy…	Work Harder!	public_order_negative.png	province
dk_unhappy_workers_A	The artisans in the province are content and have even redoubled their efforts.	Happy Workers	construction_positive.png	faction
dk_unhappy_workers_B	The province's artisans are causing unrest, but work continues all the same.	Unhappy Workers	public_order_negative.png	faction
emp_faction_trait_britannic	Described by Pytheas as 'Pretani', the 'painted ones' are a fierce and independent people.	Britannic Tribes	trait_britannic_tribes.png	faction
emp_faction_trait_britannic_iceni	The Iceni are a proud people from the flatlands of eastern Britannia, among the toughest tribes of that mist-wreathed island. 	The Iceni	trait_iceni.png	faction
emp_faction_trait_daco_thracian	The tribes of the Balkans have earned their fierce reputation.	Balkan Tribes	trait_daco_thracian_tribes.png	faction
emp_faction_trait_daco_thracian_dacia	Even the assassination of their king will not stop the fierce Dacian tribes from re-forging their empire. 	Dacia	trait_getae.png	faction
emp_faction_trait_eastern	After the fall of Persian Empire, eastern traditions and culture were both respected and cultivated by its successors.	Eastern Empires	trait_eastern_empires.png	faction
emp_faction_trait_eastern_armenia	Once a mighty empire, now the pawn of stronger powers, Armenia seeks to regain its lost glory.	Kingdom of Armenia	trait_armenia.png	faction
emp_faction_trait_eastern_parthia	Arsaces, lord of the Parni tribe, claimed Parthia from the remnants of Persian and Seleucid rule.	Parthian Empire	trait_parthia.png	faction
emp_faction_trait_germanic	The Germanic tribes are fearless warriors, abhorring weakness in others and valuing their independence above all.	Germanic Tribes	trait_germanic_tribes.png	faction
emp_faction_trait_germanic_marcomanni	The Germanic confederation of the Marcomanni want to settle west of the Rhine, and will stop at nothing to achieve this.	The Marcomanni	trait_marcomanni.png	faction
emp_faction_trait_rome	He who rules in Rome can rule the world, but only through the glory of conquest!	Rome	trait_rome.png	faction
emp_faction_trait_rome_antony	Mark Antony, the veteran general and politician, wields his eastern powerbase like a sword against Rome.	The House of Antony	trait_antony.png	faction
emp_faction_trait_rome_lepidus	Meekness saw him banished to Africa, but Lepidus will return to struggle for Rome with new-found spirit and ferocity. 	The House of Lepidus	trait_lepidus.png	faction
emp_faction_trait_rome_octavian	Having impressed and been adopted by Caesar, Octavian will stand on the shoulders of his Legions to gain supremacy in Rome. 	The House of Octavian	trait_octavian.png	faction
emp_faction_trait_rome_pompey	From his island kingdom, Sextus Pompey waits to avenge his father’s death with a powerful fleet of warships.	The House of Pompey	trait_pompey.png	faction
emp_faction_trait_successors	After Alexander's death, his mightiest generals tore apart his empire as they fought for it, each claiming to be his one true successor.	Successor Kingdoms	trait_successor_kingdoms.png	faction
emp_faction_trait_successors_egypt	One of Alexander the Great’s generals, Ptolemy, was father to the current ruling Egyptian dynasty.	Ptolemaic Kingdom of Egypt	trait_egypt.png	faction
female_leader_agriculture_rom_refuse	Time to secure a political advantage…	Political Favour	loyalty_positive.png	faction
female_leader_cavalry_barb_refuse	The masses will be content with such an outcome.	Public Opinion	public_order_positive.png	faction
female_leader_daughter_rom_refuse	Time to secure a political advantage…	Political Favour	loyalty_positive.png	faction
female_leader_diplomat_rom_refuse	Time to secure a political advantage…	Political Favour	loyalty_positive.png	faction
female_leader_fleet_barb_refuse	You show your people that you value accomplishments over superstition; the positive results of this don't take long to become evident.	Focus on Accomplishments	technology_positive.png	faction
female_leader_scholar_rom_refuse	PH	PH	wealth_positive.png	faction
female_leader_trader_rom_refuse	Long-lasting trade partnership is vital for economic stability.	Diplomatic Favour	diplomacy_positive.png	faction
female_leader_warrior_barb_refuse	The other war chiefs relish in this gesture of respect.	Warchiefs' Pride	morale_positive.png	faction
festival_lemuria	“Ghosts of my fathers and ancestors, be gone!”	Lemuria	religion_positive.png	faction
festival_ludi_plebeii	“We, the common people of Rome, have earned the right of celebration!”	Ludi Plebeii	public_order_positive.png	faction
festival_ludi_romani	“Give praise to Jupiter, and let the people rejoice!”	Ludi Romani	public_order_positive.png	faction
