key	quote_onscreen	quote_person
3094	Chance is always powerful. Let your hook be always cast; in the pool where you least expect it, there will be a fish.	ovid
3095	I am more afraid of our own mistakes than of our enemies' designs.	pericles
3097	Men of Athens, I do not have much time for exhortation, but to the brave few words are as good as many…	pericles
3100	Wait for that wisest of all counsellors, time.	pericles
3104	He conquers who endures.	persius
3107	An alliance with the powerful is never to be trusted.	phaedrus
3110	Men in however high a station ought to fear the humble.	phaedrus
3113	The mind ought sometimes to be diverted that it may return the better to thinking.	phaedrus
3114	Aggression unchallenged is aggression unleashed.	phaedrus
3123	In the moment of action remember the value of silence and order.	phormio
3132	War is sweet to those who have never experienced it.	pindar
3134	The rulers of the State are the only ones who should have the privilege of lying.	plato
3138	Every care must be taken that our auxiliaries, being stronger than our citizens, may not grow too much for them and become savage beasts.	plato
3145	Be kind, for everyone you meet is fighting a hard battle.	plato
3146	Only the dead have seen the end of war.	plato
3148	Wise men talk because they have something to say; fools, because they have to say something.	plato
3149	Ignorance, the root and the stem of every evil.	plato
3153	The valiant profit more their country than the finest, cleverest speakers.	plautus
3162	Conquered, we conquer.	plautus
3166	In these matters the only certainty is that nothing is certain.	pliny_elder
3168	There is always something new out of Africa.	pliny_elder
3172	When collapse is imminent, the little rodents flee.	pliny_elder
3175	The best plan is to profit from the folly of others.	pliny_elder
3184	An object in possession seldom retains the same charm that it had in pursuit.	pliny_younger
3190	Extraordinary rains pretty generally fall after great battles.	plutarch
3197	Know how to listen and you will profit even from those who talk badly.	plutarch
3206	No beast is more savage than man when possessed with power answerable to his rage.	plutarch
3212	A good general not only sees the way to victory, he also knows when victory is impossible.	polybius
3215	In war we must always leave room for strokes of fortune, and accidents that cannot be foreseen.	polybius
3223	The cruelty of war makes for peace.	publius_syrus
3232	Pardon one offence and you encourage the commission of many.	publius_syrus
3240	We should provide in peace what we need in war.	publius_syrus
3250	Necessity knows no law except to conquer.	publius_syrus
3253	It is a bad plan that cannot be altered.	publius_syrus
3258	He is best secure from dangers who is on his guard even when he seems safe.	publius_syrus
3262	The wounds of love can only be healed by the one who made them.	publius_syrus
3270	Few men are born brave; many become so through training and force of discipline.	vegetius
3271	A general is not easily overcome who can form a true judgement of his own and the enemy's forces.	vegetius
3278	What can a warrior do who charges when out of breath?	vegetius
3282	Valour is superior to numbers.	vegetius
3287	Let him who desires peace prepare for war.	vegetius
3291	An ambush, if discovered and promptly surrounded, will repay the intended mischief with interest.	vegetius
3297	An adversary is more hurt by desertion than by slaughter.	vegetius
3303	We die today not only for our friends and family but for our gods and for our forefathers and men before them so pray to them to make us victorious.	vegetius
3304	I detest that man who hides one thing in the depths of his heart, and speaks another.	homer
3314	A multitude of rulers is not a good thing. Let there be one ruler, one king.	homer
3317	The single best augury is to fight for one's country.	homer
3326	A small rock holds back a great wave.	homer
3334	Of all that breathes and crawls across the earth, our mother earth breeds nothing feebler than a man.	homer
3335	Hail Caesar! Those who are about to die salute you!	gladiator
3342	When in Rome, live as the Romans do; when elsewhere, live as they live elsewhere.	ambrose
3348	I am convinced that life is 10% what happens to me and 90% how I react to it.	scipio
3349	If a man does not know to what port he is sailing, no wind is favourable.	seneca
3353	The fortunes of war are always doubtful.	seneca
3355	Constant exposure to dangers will breed contempt for them.	seneca
3356	It is crueller to be always afraid of dying than to die.	seneca
3366	To rule yourself is the ultimate power.	seneca
3371	He who has much desires more.	seneca
3375	The cause of fear is ignorance.	seneca
3383	Such a variety of structures, carrying water from so many places. Compare this, please, with the pointless pyramids, or the useless (though decorative) constructions of the Greeks!	sextus
3385	Not even the gods fight necessity.	simonides
3391	A disorderly mob is no more an army than a heap of building materials is a house.	socrates
3397	I know one thing, that I know nothing.	socrates
3405	An honest man is always a child.	socrates
3406	Be slow to fall into friendship; but when thou art in, continue firm and constant.	socrates
3409	Learn to obey before you command.	solon
3417	Quick decisions are unsafe decisions.	sophocles
3420	It is the brave man's part to live with glory, or with glory die.	sophocles
3421	All things atrocious and shameless flock from all parts to Rome.	tacitus
3426	It is part of human nature to hate the man you have hurt.	tacitus
3436	The gods are on the side of the stronger.	tacitus
3446	Even the bravest are frightened by sudden terrors.	tacitus
3456	The proper arts of a general are judgment and prudence.	tacitus
3461	A bad peace is even worse than war.	tacitus
3466	The desire for safety stands against every great and noble enterprise.	tacitus
3473	Valour is the contempt of death and pain.	tacitus
3475	Great empires are not maintained by timidity.	tacitus
3483	To theft, slaughter, and rapine they deceitfully name Empire; and even where they make a desert, they call it peace.	tacitus
3493	Nothing distressed our troops so much as the scarcity of supplies.	tacitus
3500	Fortune favours the bold.	terence
3503	War is not so much a matter of weapons as of money.	thucydides
3504	Self-control is the chief element in self-respect, and self-respect is the chief element in courage.	thucydides
3509	The strong did what they could, and the weak suffered what they must.	thucydides
3510	For illustrious men have the whole earth for their tomb.	thucydides
3516	Who was the first that forged the deadly blade? Of rugged steel his savage soul was made.	tibullus
3517	Rome has grown since its humble beginnings that it is now overwhelmed by its own greatness.	livy
3518	Try to appear unimportant - the enemy might be low on ammunition.	proverb_latin
3524	Woe is me. I think I am becoming a god.	vespasian
3530	Wars, horrid wars!	virgil
3535	Let all be present and expect the palm, the prize of victory.	virgil
3537	A fault is fostered by concealment.	virgil
3540	They are able because they think they are able.	virgil
3550	Age carries all things away, even the mind.	virgil
3560	As the twig is bent the tree inclines.	virgil
3562	Fear is proof of a degenerate mind.	virgil
3569	It never troubles the wolf how many the sheep may be.	virgil
3570	Passion and strife bow down the mind.	virgil
3574	When one side goes against the enemy with the gods' gift of stronger morale, then their adversaries, as a rule, cannot withstand them.	xenophon
3579	Willing obedience always beats forced obedience.	xenophon
3588	Death is no different from life.	thales
3594	It is pleasant, when the sea is high and the winds are dashing the waves about, to watch from the shores the struggles of another.	lucretius
3598	Deep are the wounds that civil strife inflicts.	lucan
3603	One more such victory, and we shall be undone.	pyrrhus
3606	The reign of Aurelian lasted only four years and about nine months, but every instant of that short period was filled by some memorable achievement.	ed_gibbon
3607	Aurelian expected that his soldiers should be modest, frugal, and laborious, that their armour should be constantly kept bright, their weapons sharp.	ed_gibbon
3616	Zenobia is perhaps the only female whose superior genius broke through the servile indolence imposed on her sex by the climate and manners of Asia.	ed_gibbon
3623	Nor is there any temple or shrine seen in their country, nor even any cabin thatched with straw, their only idea of religion being to plunge a naked sword into the ground with barbaric ceremonies, and then they worship that with great respect.	ammianus_alani
3624	It is said that this nation of the Taifali was so profligate, and so immersed in the foulest obscenities of life, that they indulged in all kinds of unnatural lusts, exhausting the vigour both of youth and manhood in the most polluted defilements of debauchery.	ammianus
3630	The various nations of Germany and Sarmatia who fought under the Gothic standard had already collected an armament more formidable than any which had yet issued from the Euxine.	ed_gibbon
3635	Tetricus reigned four or five years over Gaul, Spain, and Britain, the slave and sovereign of a licentious army, whom he dreaded, and by whom he was despised.	ed_gibbon
3637	That man was not unlike Alexander the Great or Caesar the Dictator, for in the space of three years he retook the Roman world from invaders.	aurelius_victor
3644	The Goths must be crushed, they must be driven from Thrace. For large numbers of them are ravaging Haemimontum and Europe, those very ones who fled when you fought against them.	claudius_aurelian
3648	When the war with the Marcomanni was ended, Aurelian, over-violent by nature, and now filled with rage, advanced to Rome eager for the revenge which the bitterness of the revolts had prompted.	historia_aug
3652	Whatever must be accomplished in matters of war must be done by valour alone. You demand my surrender as though you were not aware that Cleopatra preferred to die a Queen rather than remain alive, however high her rank.	historia_aug_zenobia_aurelian
3658	The enemy purposely put sheep and cattle in front of the soldiers for them to seize, in order that they might be lured on still further until they were worn out, for in fact the water caused great suffering to the Romans, and when they became scattered, they would be attacked.	cassius_dio_caledones
3661	Her face was dark and of a swarthy hue, her eyes were black and powerful beyond the usual wont, her spirit divinely great, and her beauty incredible. So white were her teeth that many thought that she had pearls in place of teeth.	historia_aug_zenobia
