ability	land_unit
quick_reload	Afr_Numidian_Noble_Cav
kill_elephants	Afr_War_Elephants
stampede	Afr_War_Elephants
form_diamond	Ara_Cav
form_pike_square	Ara_Levy_Spear
form_shield_wall	Ara_Noble_Sword
form_diamond	Aux_Afr_Cav
kill_elephants	Aux_Afr_Elephant
stampede	Aux_Afr_Elephant
form_pike_square	Aux_Afr_Spr
form_diamond	Aux_Ara_Cav
form_pike_square	Aux_Ara_Spr
form_diamond	Aux_Bac_Light_Horse
form_wedge	Aux_Bri_Scout_Riders
frenzied_charge	Aux_Bri_Scout_Riders
form_flying_wedge	Aux_Cav
form_wedge	Aux_Cel_Light_Horse
frenzied_charge	Aux_Cel_Light_Horse
frenzy	Aux_Cel_Naked_Swords
form_wedge	Aux_Dac_Spear_Horsemen
form_diamond	Aux_Eas_Cappadocian_Cav
quick_reload	Aux_Gal_Gallic_Hunters
form_wedge	Aux_Gal_Light_Horse
frenzied_charge	Aux_Gal_Light_Horse
form_wedge	Aux_Gal_Noble_Horse
form_wedge	Aux_Ger_Scout_Riders
cavalry_counter_tactics	Aux_Ger_Spear_Brothers
form_wedge	Aux_Ger_Spear_Brothers
form_diamond	Aux_Gre_Citizen_Cav
quick_reload	Aux_Gre_Cretan_Archers
form_hoplite_phalanx	Aux_Gre_Hoplites
quick_reload	Aux_Gre_Rhodian_Slingers
quick_reload	Aux_Ibe_Balearic_Slingers
cantabrian_circle	Aux_Ibe_Cantabrian_Cav
quick_reload	Aux_Ibe_Cantabrian_Cav
frenzied_charge	Aux_Ibe_Cav
frenzied_charge	Aux_Ibe_Scutarii_Cav
form_diamond	Aux_Ill_Cav
frenzied_charge	Aux_Ill_Cav
kill_elephants	Aux_Ind_War_Elephant
stampede	Aux_Ind_War_Elephant
form_flying_wedge	Aux_Ita_Socii_Equites
form_testudo	Aux_Ita_Socii_Extraordinarii
form_testudo	Aux_Ita_Socii_Hastati
quick_reload	Aux_Num_Cav
precision_shot	Aux_Par_Horse_Archers
form_diamond	Aux_Per_Cav
cantabrian_circle	Aux_Sar_Horse_Archers
cantabrian_circle	Aux_Scy_Armour_horse_Archers
precision_shot	Aux_Scy_Armour_horse_Archers
cantabrian_circle	Aux_Scy_Horse_Archers
precision_shot	Aux_Syrian_Archers
quick_reload	Aux_Thr_Peltasts
precision_shot	Bac_Horse_Archers
form_diamond	Bac_Light_Horse
form_diamond	Bac_Noble_Horse
precision_shot	Bac_Peltasts
quick_reload	Bac_Peltasts
form_diamond	Bac_Royal_Cav
form_hoplite_phalanx	Bac_Royal_Guard
frenzied_charge_inf	Bac_Royal_Guard
form_hoplite_phalanx	Bac_Scale_Thorax_Hoplites
form_wedge	Bri_Chariots
cavalry_counter_tactics	Bri_Chosen_Spear_Band
form_shield_screen	Bri_Chosen_Spear_Band
form_shield_wall	Bri_Chosen_Sword_Band
chant	Bri_Druidic_Nobles
form_shield_wall	Bri_Druidic_Nobles
form_shield_wall	Bri_Heroic_Nobles
headhunt	Bri_Heroic_Nobles
form_wedge	Bri_Heroic_Riders
frenzy	Bri_Painted_Ones
form_wedge	Bri_Scout_Riders
frenzied_charge	Bri_Scout_Riders
form_wedge	Bri_Veteran_Riders
frenzied_charge	Bri_Veteran_Riders
form_pike_wall	Car_African_Pike
form_diamond	Car_Cav
form_hoplite_phalanx	Car_Citizen_Militia
form_pike_square	Car_Citizen_Militia
form_hoplite_phalanx	Car_Hoplites
form_hoplite_phalanx	Car_Late_Hoplites
form_hoplite_phalanx	Car_Late_Libyan_Hoplites
form_hoplite_phalanx	Car_Libyan_Hoplites
form_shield_wall	Car_Libyan_Infantry
form_diamond	Car_Noble_Cav
form_hoplite_phalanx	Car_Sacred_Band
cavalry_counter_tactics	Cel_Chosen_Spear
form_shield_screen	Cel_Chosen_Spear
form_shield_wall	Cel_Chosen_Sword
form_shield_wall	Cel_Fierce_Swords
frenzy	Cel_Fierce_Swords
form_shield_wall	Cel_Galatian_Legionaires
cavalry_counter_tactics	Cel_Galatian_Noblemen
form_shield_screen	Cel_Galatian_Noblemen
cavalry_counter_tactics	Cel_Galatian_Spears
quick_reload	Cel_Gallic_Hunters
form_shield_wall	Cel_Gallo_Thracian_Infantry
form_wedge	Cel_Heavy_Horse
frenzied_charge	Cel_Heavy_Horse
form_wedge	Cel_Light_Horse
frenzied_charge	Cel_Light_Horse
form_wedge	Cel_Mighty_Horse
frenzied_charge	Cel_Mighty_Horse
cavalry_counter_tactics	Cel_Naked_Spears
frenzied_charge_inf	Cel_Naked_Spears
frenzy	Cel_Naked_Swords
frenzy	Cel_Naked_Warriors
form_wedge	Cel_Noble_Horse
form_shield_wall	Cel_Oathsworn
headhunt	Cel_Oathsworn
cavalry_counter_tactics	Cel_Spear_Nobles
form_shield_screen	Cel_Spear_Nobles
cavalry_counter_tactics	Cel_Spear_Warriors
form_shield_wall	Cel_Sword_Followers
form_shield_wall	Cel_Tribal_Warriors
cavalry_counter_tactics	Cel_Veteran_Spears
form_shield_screen	Cel_Veteran_Spears
cavalry_counter_tactics	Dac_Armoured_Spears
form_shield_screen	Dac_Armoured_Spears
form_wedge	Dac_Bow_Horsemen
quick_reload	Dac_Heavy_Bowmen
quick_reload	Dac_Heavy_Skirm
cavalry_counter_tactics	Dac_Heavy_Spears
form_shield_screen	Dac_Heavy_Spears
form_wedge	Dac_Noble_Horsemen
cavalry_counter_tactics	Dac_Noble_Spears
form_shield_screen	Dac_Noble_Spears
form_shield_wall	Dac_Noble_Swords
headhunt	Dac_Noble_Swords
form_wedge	Dac_Spear_Horsemen
cavalry_counter_tactics	Dac_Tribesmen
precision_shot	Eas_Armour_Horse_Archers
form_diamond	Eas_Azat_Knights
form_diamond	Eas_Camel_Cataphracts
trample	Eas_Camel_Cataphracts
form_diamond	Eas_Cappadocian_Cav
form_diamond	Eas_Cataphracts
trample	Eas_Cataphracts
precision_shot	Eas_Elite_Persian_Archers
form_pike_square	Eas_Garrison_Spear
form_shield_wall	Eas_Kartli_Axemen
form_diamond	Eas_Median_Cav
form_diamond	Eas_Noble_Blood_Cav
precision_shot	Eas_Noble_Horse_Archers
form_hoplite_phalanx	Eas_Noble_Spear
frenzied_charge_inf	Eas_Noble_Spear
form_shield_wall	Eas_Par_Sword
precision_shot	Eas_Parthian_Foot_Archers
precision_shot	Eas_Parthian_Horse_Archers
form_diamond	Eas_Persian_Cavalry
form_hoplite_phalanx	Eas_Persian_Hoplites
precision_shot	Eas_Pontic_Peltasts
form_shield_wall	Eas_Pontic_Sword
form_diamond	Eas_Royal_Cataphracts
trample	Eas_Royal_Cataphracts
precision_shot	Eas_Syrian_Heavy_Archers
form_diamond	Egy_Cav
form_shield_wall	Egy_Galatian_Royal_Guard
headhunt	Egy_Galatian_Royal_Guard
form_pike_square	Egy_Nubian_Spear
rapid_advance	Egy_Nubian_Spear
form_pike_wall	Egy_Pike
frenzy	Ger_Berserkers
headhunt	Ger_Berserkers
form_wedge	Ger_Bloodsworn
screech	Ger_Hex_Bearers
cavalry_counter_tactics	Ger_Night_Hunters
form_wedge	Ger_Night_Hunters
frenzied_charge_inf	Ger_Night_Hunters
form_wedge	Ger_Noble_Riders
form_wedge	Ger_Riders_Hunt
frenzied_charge	Ger_Riders_Hunt
form_wedge	Ger_Round_Shield_Sword
form_wedge	Ger_Scout_Riders
cavalry_counter_tactics	Ger_Spear_Brothers
form_wedge	Ger_Spear_Brothers
cavalry_counter_tactics	Ger_Spear_Wall
form_shield_screen	Ger_Spear_Wall
form_wedge	Ger_Spear_Wall
cavalry_counter_tactics	Ger_Spearwomen
form_wedge	Ger_Spearwomen
frenzied_charge_inf	Ger_Spearwomen
form_shield_wall	Ger_Sword_Masters
form_wedge	Ger_Sword_Masters
headhunt	Ger_Sword_Masters
cavalry_counter_tactics	Ger_Wodanaz_Spears
form_shield_screen	Ger_Wodanaz_Spears
form_wedge	Ger_Wodanaz_Spears
form_wedge	Ger_Wolf_Warriors
frenzy	Ger_Wolf_Warriors
form_diamond	Gre_Agema_Cav
form_pike_square	Gre_Agema_Spears
form_diamond	Gre_Aspis_Companion_Cav
form_pike_wall	Gre_Bronze_Shield_Pike
precision_shot	Gre_Cimmerian_Heavy_Archers
form_hoplite_phalanx	Gre_Cimmerian_Noble_Infantry
form_diamond	Gre_Citizen_Cav
form_hoplite_phalanx	Gre_Citizen_Hoplites
form_hoplite_phalanx	Gre_Colchian_Nobles
form_diamond	Gre_Companion_Cav
quick_reload	Gre_Cretan_Archers
form_pike_wall	Gre_Foot_Companions
quick_reload	Gre_Gorgos_Skirmishers
form_diamond	Gre_Hellenic_Cataphracts
trample	Gre_Hellenic_Cataphracts
form_hoplite_phalanx	Gre_Heroes_Sparta
form_diamond	Gre_Hippeus_Lancers
form_hoplite_phalanx	Gre_Hoplites
form_pike_wall	Gre_Levy_Pike
form_pike_square	Gre_Levy_Thureos_Spears
form_diamond	Gre_Light_Cav
form_hoplite_phalanx	Gre_Light_Hoplites
rapid_advance	Gre_Light_Hoplites
quick_reload	Gre_Light_Peltasts
form_diamond	Gre_Massilian_Cav
form_hoplite_phalanx	Gre_Massilian_Hoplites
form_pike_square	Gre_Massilian_Thureos_Spears
form_hoplite_phalanx	Gre_Militia_Hoplites
form_diamond	Gre_Pergamon_Noble_Cavalry
form_hoplite_phalanx	Gre_Periokoi_Hoplites
form_pike_wall	Gre_Periokoi_Pike
form_pike_square	Gre_Periokoi_Spears
form_hoplite_phalanx	Gre_Picked_Hoplites
quick_reload	Gre_Picked_Peltasts
form_pike_wall	Gre_Pike
form_diamond	Gre_Pontic_Royal_Cav
form_diamond	Gre_Ptolemaic_Cav
quick_reload	Gre_Rhodian_Slingers
form_diamond	Gre_Royal_Cav
form_pike_wall	Gre_Royal_Guard
form_shield_wall	Gre_Royal_Peltasts
use_the_whip	Gre_Royal_Peltasts
form_hoplite_phalanx	Gre_Royal_Spartans
form_shield_wall	Gre_Royal_Thorax_Sword
use_the_whip	Gre_Royal_Thorax_Sword
form_diamond	Gre_Sarissa_Cav
form_hoplite_phalanx	Gre_Scythian_Hoplites
form_hoplite_phalanx	Gre_Shield_Bearers
form_pike_wall	Gre_Silver_Shield_Pike
form_shield_wall	Gre_Silver_Shield_Sword
use_the_whip	Gre_Silver_Shield_Sword
form_hoplite_phalanx	Gre_Spartan_Hoplites
form_pike_wall	Gre_Spartan_Pike
form_diamond	Gre_Thessalian_Cav
form_hoplite_phalanx	Gre_Thorax_Hoplites
form_pike_wall	Gre_Thorax_Pike
form_shield_wall	Gre_Thorax_Sword
form_hoplite_phalanx	Gre_Thureos_Hoplites
form_pike_square	Gre_Thureos_Spears
quick_reload	Ibe_Balearic_Slingers
cantabrian_circle	Ibe_Cantabrian_Cav
quick_reload	Ibe_Cantabrian_Cav
frenzied_charge	Ibe_Cav
form_wedge	Ibe_Celtiberian_Cav
frenzied_charge	Ibe_Celtiberian_Cav
headhunt	Ibe_Lusitani_Nobles
cavalry_counter_tactics	Ibe_Lusitani_Spear
form_shield_screen	Ibe_Lusitani_Spear
frenzied_charge_inf	Ibe_Lusitani_Swordswomen
form_wedge	Ibe_Noble_Cav
headhunt	Ibe_Noble_Fighters
frenzy	Ibe_Painted_Warriors
cavalry_counter_tactics	Ibe_Scut_Spear
form_shield_screen	Ibe_Scut_Spear
frenzied_charge	Ibe_Scutarii_Cav
form_diamond	Ill_Cav
frenzied_charge	Ill_Cav
form_hoplite_phalanx	Ill_Hoplites
form_pike_square	Ill_Marines
form_hoplite_phalanx	Ill_Noble_Hoplites
form_pike_square	Ill_Spear
cavalry_counter_tactics	Ill_Thureos_Spears
form_pike_square	Ill_Thureos_Spears
form_pike_square	Ill_Tribesmen
kill_elephants	Ind_Armour_Elephants
stampede	Ind_Armour_Elephants
kill_elephants	Ind_War_Elephants
stampede	Ind_War_Elephants
form_flying_wedge	Ita_Campanian_Cavalry
form_flying_wedge	Ita_Cav
form_hoplite_phalanx	Ita_Etruscan_Hoplites
form_flying_wedge	Ita_Noble_Cav
form_diamond	Mer_Afr_Cav
kill_elephants	Mer_Afr_Elephants
stampede	Mer_Afr_Elephants
form_pike_square	Mer_Afr_Spear
form_diamond	Mer_Ara_Cav
form_pike_square	Mer_Ara_Spear
form_diamond	Mer_Bac_Light_Horse
form_wedge	Mer_Bri_Scout_Riders
frenzied_charge	Mer_Bri_Scout_Riders
form_wedge	Mer_Cel_Light_Horse
frenzied_charge	Mer_Cel_Light_Horse
frenzy	Mer_Cel_Naked_Swords
form_wedge	Mer_Dac_Spear_Horsemen
form_diamond	Mer_Eas_Cappadocian_Cav
precision_shot	Mer_Eas_Syrian_Archers
form_pike_square	Mer_Egy_Leopard_Warriors
frenzied_charge_inf	Mer_Egy_Leopard_Warriors
quick_reload	Mer_Gal_Gallic_Hunters
form_wedge	Mer_Gal_Light_Horse
frenzied_charge	Mer_Gal_Light_Horse
form_wedge	Mer_Gal_Noble_Horse
form_wedge	Mer_Ger_Scout_Riders
cavalry_counter_tactics	Mer_Ger_Spear_Brothers
form_wedge	Mer_Ger_Spear_Brothers
cavalry_counter_tactics	Mer_Ger_Spearwomen
form_wedge	Mer_Ger_Spearwomen
frenzied_charge_inf	Mer_Ger_Spearwomen
form_wedge	Mer_Ger_Wolf_Warriors
frenzy	Mer_Ger_Wolf_Warriors
form_diamond	Mer_Gre_Citizen_Cav
quick_reload	Mer_Gre_Cretan_Archers
quick_reload	Mer_Gre_Gorgos_Skirmishers
form_hoplite_phalanx	Mer_Gre_Hoplites
quick_reload	Mer_Gre_Rhodian_Slingers
form_pike_square	Mer_Gre_Thureos_Spears
form_hoplite_phalanx	Mer_Gre_Vet_Hoplites
quick_reload	Mer_Ibe_Balearic_Slingers
cantabrian_circle	Mer_Ibe_Cantabrian_Cav
quick_reload	Mer_Ibe_Cantabrian_Cav
frenzied_charge	Mer_Ibe_Cav
frenzied_charge_inf	Mer_Ibe_Lusitani_Swordswomen
headhunt	Mer_Ibe_Noble_Fighters
frenzied_charge	Mer_Ibe_Scutarii_Cav
form_diamond	Mer_Ill_Cav
frenzied_charge	Mer_Ill_Cav
kill_elephants	Mer_Ind_War_Elephants
stampede	Mer_Ind_War_Elephants
form_flying_wedge	Mer_Ita_Campanian_Cavalry
form_flying_wedge	Mer_Ita_Cav
form_hoplite_phalanx	Mer_Ita_Etruscan_Hoplites
cavalry_counter_tactics	Mer_Kushite_Shieldwomen
form_pike_square	Mer_Kushite_Shieldwomen
rapid_advance	Mer_Kushite_Shieldwomen
quick_reload	Mer_Num_Cav
cantabrian_circle	Mer_Num_Noble_Cav
quick_reload	Mer_Num_Noble_Cav
precision_shot	Mer_Par_Horse_Archers
form_diamond	Mer_Per_Cav
form_pike_square	Mer_Rom_Gladiatrices_Spear
frenzied_charge_inf	Mer_Rom_Gladiatrices_Spear
killing_spree	Mer_Rom_Gladiatrices_Spear
rapid_advance	Mer_Rom_Gladiatrices_Spear
frenzy	Mer_Rom_Gladiatrices
killing_spree	Mer_Rom_Gladiatrices
cantabrian_circle	Mer_Sar_Horse_Archers
cantabrian_circle	Mer_Scy_Armour_Horse_Archers
precision_shot	Mer_Scy_Armour_Horse_Archers
cantabrian_circle	Mer_Scy_Horse_Archers
cantabrian_circle	Mer_Ste_Amazonian_Riders
kill_elephants	Mer_Syrian_Armoured_Elephants
stampede	Mer_Syrian_Armoured_Elephants
quick_reload	Mer_Thr_Peltasts
cavalry_counter_tactics	Num_Noble_Infantry
form_pike_square	Num_Noble_Infantry
form_shield_screen	Num_Noble_Infantry
form_pike_square	Num_Spear
form_hoplite_phalanx	Pel_Hoplites
form_hoplite_phalanx	Pel_Light_Hoplites
form_hoplite_phalanx	Pel_Militia_Hoplites
form_hoplite_phalanx	Pel_Periokoi_Hoplites
form_hoplite_phalanx	Pel_Picked_Hoplites
form_hoplite_phalanx	Pel_Royal_Spartans
form_hoplite_phalanx	Pel_Spartan_Hoplites
form_hoplite_phalanx	Pel_Spartan_Youths
form_testudo	Rom_Armour_Legionaries
form_testudo	Rom_Eagle_Cohort
form_cavalry_testudo	Rom_Equites
form_flying_wedge	Rom_Equites
form_testudo	Rom_Evocati_Cohort
form_testudo	Rom_First_Cohort
form_pike_square	Rom_Gladiator_Spear
killing_spree	Rom_Gladiator_Spear
killing_spree	Rom_Gladiators
form_pike_square	Rom_Gladiatrices_Spear
frenzied_charge_inf	Rom_Gladiatrices_Spear
killing_spree	Rom_Gladiatrices_Spear
rapid_advance	Rom_Gladiatrices_Spear
frenzy	Rom_Gladiatrices
killing_spree	Rom_Gladiatrices
form_testudo	Rom_Hastati
form_testudo	Rom_Legionaries
form_cavalry_testudo	Rom_Legionary_Cav
