variable_key	value
civil_war_high_chance_hard_chance	9.0000
civil_war_high_chance_legendary_chance	12.0000
civil_war_high_chance_multi_power	70.0000
civil_war_high_chance_normal_chance	7.0000
civil_war_high_chance_single_power	90.0000
civil_war_high_chance_very_hard_chance	10.0000
civil_war_low_chance_easy_chance	1.0000
civil_war_low_chance_fame_level	4.0000
civil_war_low_chance_hard_chance	3.0000
civil_war_low_chance_legendary_chance	3.0000
civil_war_low_chance_multi_power	50.0000
civil_war_low_chance_normal_chance	2.0000
civil_war_low_chance_single_power	70.0000
civil_war_low_chance_very_hard_chance	3.0000
civil_war_medium_chance_easy_chance	3.0000
civil_war_medium_chance_fame_level	5.0000
civil_war_medium_chance_hard_chance	5.0000
civil_war_medium_chance_legendary_chance	6.0000
civil_war_medium_chance_multi_power	60.0000
civil_war_medium_chance_normal_chance	4.0000
civil_war_medium_chance_single_power	80.0000
civil_war_medium_chance_very_hard_chance	6.0000
civil_war_minimum_character_defection_percentage	30.0000
civil_war_turns_between_civil_war_warnings	20.0000
consul_requirements_cursus_honorum	2.0000
consul_requirements_gravitas	20.0000
consul_term	4.0000
date_ab_urbe_condita	753.0000
desertion_morale_penalty_attrition_threshold	3.0000
desertion_morale_penalty_max	5.0000
desertion_morale_penalty_per_turn	1.0000
dictator_requirements_cursus_honorum	1.0000
dictator_requirements_gravitas	50.0000
dictator_term	2.0000
diplomacy_can_offer_break_client_state	1.0000
diplomacy_can_offer_break_defensive_alliance	1.0000
diplomacy_can_offer_break_military_alliance	1.0000
diplomacy_can_offer_break_non_aggression_pact	1.0000
diplomacy_can_offer_break_soft_military_access	1.0000
diplomacy_can_offer_break_trade	1.0000
diplomacy_can_offer_break_vassal	1.0000
diplomacy_client_states_must_be_invited_into_defensive_wars	0.0000
diplomacy_defensive_allies_must_be_invited_into_defensive_wars	0.0000
diplomacy_major_factions_required_for_alliance_broken_notification	0.0000
diplomacy_major_factions_required_for_alliance_notification	0.0000
diplomacy_major_factions_required_for_became_client_state_notification	0.0000
diplomacy_major_factions_required_for_became_vassal_notification	0.0000
diplomacy_major_factions_required_for_client_state_rejected_protector_notification	0.0000
diplomacy_major_factions_required_for_join_war_notification	0.0000
diplomacy_major_factions_required_for_liberation_notification	0.0000
diplomacy_major_factions_required_for_master_liberated_vassal_notification	0.0000
diplomacy_major_factions_required_for_peace_notification	0.0000
diplomacy_major_factions_required_for_protector_canceled_client_state_notification	0.0000
diplomacy_major_factions_required_for_satrapy_declares_war_on_master_notification	0.0000
diplomacy_masters_must_be_invited_into_defensive_wars	1.0000
diplomacy_masters_must_be_invited_into_offensive_wars	1.0000
diplomacy_military_allies_must_be_invited_into_defensive_wars	0.0000
diplomacy_military_allies_must_be_invited_into_offensive_wars	0.0000
diplomacy_protectors_must_be_invited_into_defensive_wars	0.0000
diplomacy_refusing_to_join_client_state_in_defensive_war_breaks_treaty	1.0000
diplomacy_refusing_to_join_client_state_in_defensive_war_declares_war	0.0000
diplomacy_refusing_to_join_defensive_ally_in_defensive_war_breaks_treaty	1.0000
diplomacy_refusing_to_join_master_in_defensive_war_breaks_treaty	0.0000
diplomacy_refusing_to_join_master_in_defensive_war_declares_war	1.0000
diplomacy_refusing_to_join_master_in_offensive_war_breaks_treaty	0.0000
diplomacy_refusing_to_join_master_in_offensive_war_declares_war	1.0000
diplomacy_refusing_to_join_military_ally_in_defensive_war_breaks_treaty	1.0000
diplomacy_refusing_to_join_military_ally_in_offensive_war_breaks_treaty	1.0000
diplomacy_refusing_to_join_protector_in_defensive_war_breaks_treaty	1.0000
diplomacy_refusing_to_join_protector_in_defensive_war_declares_war	0.0000
diplomacy_refusing_to_join_vassal_in_defensive_war_breaks_treaty	1.0000
diplomacy_refusing_to_join_vassal_in_defensive_war_declares_war	0.0000
diplomacy_refusing_to_join_vassal_in_offensive_war_breaks_treaty	1.0000
diplomacy_refusing_to_join_vassal_in_offensive_war_declares_war	0.0000
diplomacy_regionless_factions_retain_clients_and_vassals	0.0000
diplomacy_show_trespass_message_each_turn	0.0000
diplomacy_turns_of_embargo_on_break_trade	0.0000
diplomacy_use_war_override_messages	1.0000
diplomacy_vassals_must_be_invited_into_defensive_wars	1.0000
diplomacy_vassals_must_be_invited_into_offensive_wars	1.0000
dismantle_cult_building_public_order_reduction	6.0000
display_camera_pre_battle_zoom	1.1200
display_movement_extents_fade_time	0.3000
display_movement_extents_interior_alpha	0.0000
display_movement_extents_origin_alpha	0.2000
display_movement_extents_origin_fringe_width	1.0000
display_movement_extents_owned_border_colour_alpha	255.0000
display_movement_extents_owned_border_colour_blue	197.0000
display_movement_extents_owned_border_colour_green	240.0000
display_movement_extents_owned_border_colour_red	255.0000
display_movement_extents_owned_fill_colour_blue	47.0000
display_movement_extents_owned_fill_colour_green	195.0000
display_movement_extents_owned_fill_colour_red	245.0000
display_movement_extents_perimeter_alpha	0.2000
display_movement_extents_perimeter_fringe_width	1.0000
display_movement_extents_unowned_border_colour_alpha	255.0000
display_movement_extents_unowned_border_colour_blue	0.0000
display_movement_extents_unowned_border_colour_green	0.0000
display_movement_extents_unowned_border_colour_red	5.0000
display_movement_extents_unowned_fill_colour_blue	12.0000
display_movement_extents_unowned_fill_colour_green	12.0000
display_movement_extents_unowned_fill_colour_red	160.0000
display_settlement_area_land_border_colour_alpha	255.0000
display_settlement_area_land_border_colour_blue	197.0000
display_settlement_area_land_border_colour_green	240.0000
display_settlement_area_land_border_colour_red	255.0000
display_settlement_area_land_fade_time	0.3000
display_settlement_area_land_fill_colour_blue	47.0000
display_settlement_area_land_fill_colour_green	195.0000
display_settlement_area_land_fill_colour_red	245.0000
display_settlement_area_land_interior_alpha	0.1000
display_settlement_area_land_origin_alpha	0.2000
display_settlement_area_land_origin_fringe_width	1.0000
display_settlement_area_land_perimeter_alpha	0.2000
display_settlement_area_land_perimeter_fringe_width	1.0000
display_settlement_area_sea_border_colour_alpha	255.0000
display_settlement_area_sea_border_colour_blue	47.0000
display_settlement_area_sea_border_colour_green	195.0000
display_settlement_area_sea_border_colour_red	245.0000
display_settlement_area_sea_fade_time	0.3000
display_settlement_area_sea_fill_colour_blue	255.0000
display_settlement_area_sea_fill_colour_green	245.0000
display_settlement_area_sea_fill_colour_red	245.0000
display_settlement_area_sea_interior_alpha	0.0000
display_settlement_area_sea_origin_alpha	0.0000
display_settlement_area_sea_origin_fringe_width	0.0000
display_settlement_area_sea_perimeter_alpha	0.3000
display_settlement_area_sea_perimeter_fringe_width	1.0000
display_trade_naval_route_colour_enemy_and_neutral_blockaded_blue	0.0000
display_trade_naval_route_colour_enemy_and_neutral_blockaded_green	0.0000
display_trade_naval_route_colour_enemy_and_neutral_blockaded_red	255.0000
display_trade_naval_route_colour_enemy_and_neutral_blue	0.0000
display_trade_naval_route_colour_enemy_and_neutral_green	0.0000
display_trade_naval_route_colour_enemy_and_neutral_red	255.0000
display_trade_naval_route_colour_enemy_blockaded_and_neutral_blockaded_blue	0.0000
display_trade_naval_route_colour_enemy_blockaded_and_neutral_blockaded_green	0.0000
display_trade_naval_route_colour_enemy_blockaded_and_neutral_blockaded_red	127.0000
display_trade_naval_route_colour_enemy_blockaded_and_neutral_blue	0.0000
display_trade_naval_route_colour_enemy_blockaded_and_neutral_green	0.0000
display_trade_naval_route_colour_enemy_blockaded_and_neutral_red	127.0000
display_trade_naval_route_colour_enemy_blockaded_blue	0.0000
display_trade_naval_route_colour_enemy_blockaded_green	0.0000
display_trade_naval_route_colour_enemy_blockaded_red	127.0000
display_trade_naval_route_colour_enemy_blue	0.0000
display_trade_naval_route_colour_enemy_green	0.0000
display_trade_naval_route_colour_enemy_red	255.0000
display_trade_naval_route_colour_neutral_blockaded_blue	255.0000
display_trade_naval_route_colour_neutral_blockaded_green	255.0000
display_trade_naval_route_colour_neutral_blockaded_red	255.0000
display_trade_naval_route_colour_neutral_blue	255.0000
display_trade_naval_route_colour_neutral_green	255.0000
display_trade_naval_route_colour_neutral_red	255.0000
display_trade_naval_route_colour_owned_and_enemy_and_neutral_blockaded_blue	0.0000
display_trade_naval_route_colour_owned_and_enemy_and_neutral_blockaded_green	150.0000
display_trade_naval_route_colour_owned_and_enemy_and_neutral_blockaded_red	255.0000
display_trade_naval_route_colour_owned_and_enemy_and_neutral_blue	0.0000
display_trade_naval_route_colour_owned_and_enemy_and_neutral_green	150.0000
display_trade_naval_route_colour_owned_and_enemy_and_neutral_red	255.0000
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_blockaded_blue	0.0000
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_blockaded_green	150.0000
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_blockaded_red	255.0000
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_blue	0.0000
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_green	150.0000
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_red	255.0000
display_trade_naval_route_colour_owned_and_enemy_blockaded_blue	0.0000
display_trade_naval_route_colour_owned_and_enemy_blockaded_green	150.0000
display_trade_naval_route_colour_owned_and_enemy_blockaded_red	255.0000
display_trade_naval_route_colour_owned_and_enemy_blue	0.0000
display_trade_naval_route_colour_owned_and_enemy_green	150.0000
display_trade_naval_route_colour_owned_and_enemy_red	255.0000
display_trade_naval_route_colour_owned_and_neutral_blockaded_blue	20.0000
display_trade_naval_route_colour_owned_and_neutral_blockaded_green	200.0000
display_trade_naval_route_colour_owned_and_neutral_blockaded_red	240.0000
display_trade_naval_route_colour_owned_and_neutral_blue	20.0000
display_trade_naval_route_colour_owned_and_neutral_green	200.0000
display_trade_naval_route_colour_owned_and_neutral_red	240.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_blockaded_blue	0.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_blockaded_green	140.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_blockaded_red	170.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_blue	0.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_green	140.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_red	170.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_blockaded_blue	0.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_blockaded_green	140.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_blockaded_red	170.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_blue	0.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_green	140.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_red	170.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_blue	0.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_green	140.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_red	170.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_blue	0.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_green	140.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_red	170.0000
display_trade_naval_route_colour_owned_blockaded_and_neutral_blockaded_blue	0.0000
display_trade_naval_route_colour_owned_blockaded_and_neutral_blockaded_green	140.0000
display_trade_naval_route_colour_owned_blockaded_and_neutral_blockaded_red	170.0000
display_trade_naval_route_colour_owned_blockaded_and_neutral_blue	0.0000
display_trade_naval_route_colour_owned_blockaded_and_neutral_green	140.0000
display_trade_naval_route_colour_owned_blockaded_and_neutral_red	170.0000
display_trade_naval_route_colour_owned_blockaded_blue	0.0000
display_trade_naval_route_colour_owned_blockaded_green	140.0000
display_trade_naval_route_colour_owned_blockaded_red	170.0000
display_trade_naval_route_colour_owned_blue	20.0000
display_trade_naval_route_colour_owned_green	200.0000
display_trade_naval_route_colour_owned_red	240.0000
display_trade_route_fade_distance	0.8000
display_trade_route_fade_time	3000.0000
display_trade_route_maximum_flow_scale	0.6500
display_trade_route_maximum_flow_time	95000.0000
display_trade_route_maximum_flow_value	10000.0000
display_trade_route_minimum_flow_scale	0.6500
display_trade_route_minimum_flow_time	195000.0000
display_trade_route_minimum_flow_value	0.0000
display_trade_route_sea_cost	0.5000
display_trade_route_trader_offset	0.0850
display_trade_route_trader_speed	0.1000
display_zone_of_control_fade_time	0.6000
display_zone_of_control_interior_alpha	0.3000
display_zone_of_control_origin_alpha	0.3000
display_zone_of_control_origin_fringe_width	0.0000
display_zone_of_control_owned_border_colour_alpha	255.0000
display_zone_of_control_owned_border_colour_blue	0.0000
display_zone_of_control_owned_border_colour_green	0.0000
display_zone_of_control_owned_border_colour_red	5.0000
display_zone_of_control_owned_fill_colour_blue	12.0000
display_zone_of_control_owned_fill_colour_green	12.0000
display_zone_of_control_owned_fill_colour_red	110.0000
display_zone_of_control_perimeter_alpha	0.8000
display_zone_of_control_perimeter_fringe_width	1.0000
display_zone_of_control_unowned_border_colour_alpha	255.0000
display_zone_of_control_unowned_border_colour_blue	0.0000
display_zone_of_control_unowned_border_colour_green	0.0000
display_zone_of_control_unowned_border_colour_red	5.0000
display_zone_of_control_unowned_fill_colour_blue	12.0000
display_zone_of_control_unowned_fill_colour_green	12.0000
display_zone_of_control_unowned_fill_colour_red	110.0000
economic_power_gdp_factor	3500.0000
economic_power_max	5.0000
economic_power_min	0.2000
economic_power_treasury_factor	30000.0000
economic_wealth_category_threshold_moderate	1.5000
economic_wealth_category_threshold_strong	2.5000
economic_wealth_category_threshold_very_strong	5.0000
economic_wealth_category_threshold_weak	0.5000
economic_wealth_max_amount_moderate	10000.0000
economic_wealth_max_amount_strong	20000.0000
economic_wealth_max_amount_very_strong	30000.0000
economic_wealth_max_amount_very_weak	3000.0000
economic_wealth_max_amount_weak	5000.0000
faction_gdp_other	1500.0000
faction_gdp_other_minor	1500.0000
faction_leader_honour_effect_acquired_vassal_clan	1.0000
faction_leader_honour_effect_assassination_attempt	0.0000
faction_leader_honour_effect_becoming_christian	-2.0000
faction_leader_honour_effect_being_christian	-1.0000
faction_leader_honour_effect_crushing_defeat	-1.0000
faction_leader_honour_effect_dishonouring_alliance	-1.0000
faction_leader_honour_effect_eradicated_clan	1.0000
faction_leader_honour_effect_heroic_victory	1.0000
faction_leader_honour_effect_looting_city	-1.0000
faction_leader_honour_effect_threatening_with_empty_words	-1.0000
faction_leader_management_level_0_to_value	0.0000
faction_leader_management_level_1_to_value	0.0000
faction_leader_management_level_2_to_value	0.0000
faction_leader_management_level_3_to_value	0.0000
faction_leader_management_level_4_to_value	0.0000
faction_leader_management_level_5_to_value	0.0000
faction_leader_management_level_6_to_value	0.0000
faction_leader_management_level_7_to_value	0.0000
faction_leader_management_level_8_to_value	0.0000
faction_leader_management_level_9_to_value	0.0000
faction_leader_management_value_mod_abs_monarchy	1.0000
faction_leader_management_value_mod_cons_monarchy	0.6600
faction_leader_management_value_mod_republic	0.3300
family_age_of_adulthood	14.0000
family_age_of_guaranteed_adulthood	16.0000
family_base_child_chance	5.0000
family_base_child_chance_reduction_per_child	5.0000
family_base_illegitimate_child_chance	0.0000
family_base_illegitimate_child_chance_reduction_per_child	0.0000
family_base_spouse_chance	5.0000
family_bastard_gravitas_limit	100.0000
family_bride_search_cost	5.0000
family_chance_of_adulthood	8.0000
family_emergent_faction_leader_maximum_age	40.0000
family_emergent_faction_leader_minimum_age	30.0000
family_emergent_spouse_maximum_age	40.0000
family_husband_decreasing_child_chance_age	40.0000
family_husband_decreasing_child_chance_period	5.0000
family_husband_decreasing_child_chance_value	2.0000
family_infant_mortality_chance_very_young	10.0000
family_infant_mortality_chance_young	10.0000
family_male_child_chance	65.0000
family_maximum_child_chance_decrease_due_to_age	4.0000
family_maximum_number_of_children	5.0000
family_minimum_hostage_age	5.0000
family_retainer_faction_leader_maximum_age	35.0000
family_retainer_faction_leader_minimum_age	25.0000
family_retainer_spouse_maximum_age	25.0000
family_rounds_between_bereavement_and_remarriage	16.0000
family_rounds_between_children	4.0000
family_rounds_between_marriage_and_first_child	4.0000
family_rounds_between_spouse_offers	8.0000
family_spouse_chance_increase_period	8.0000
family_spouse_chance_increase_value	3.0000
family_turns_before_any_chance_of_adulthood	1.0000
family_wife_barren_age	50.0000
food_shortage_system_food_cap	20.0000
food_shortage_system_growth_mod_cap	20.0000
food_shortage_system_public_order_exponent	0.8000
food_shortage_system_public_order_negative_cap	-20.0000
food_shortage_system_replenishment_mod_cap	10.0000
food_surplus_town_wealth_multiplier	1.0000
general_admiral_action_point_bonus	0.1000
general_promotion_cost	1000.0000
gentleman_happiness_divisor	3.0000
gentleman_happiness_negative_limit	-8.0000
gentleman_happiness_positive_limit	6.0000
gift_base_value_large	7500.0000
gift_base_value_medium	2000.0000
gift_base_value_small	500.0000
government_reform_cost	10000.0000
government_reform_default_penalty_duration	10.0000
government_reform_default_public_order_initial_penalty	-20.0000
government_reform_empire_penalty_duration	10.0000
government_reform_empire_public_order_initial_penalty	-30.0000
happiness_revolution_culture	-1.0000
happiness_revolution_neighbour	-3.0000
happiness_war_drift	1.0000
happiness_war_lower_cap	-15.0000
happiness_war_major_defeat	-1.0000
happiness_war_major_victory	1.0000
happiness_war_region_conquered	4.0000
happiness_war_region_lost	-4.0000
happiness_war_upper_cap	6.0000
hostage_turns	8.0000
ikko_ikki_incite_revolt_cost	700.0000
immigration_capacity	5.0000
losing_unit_minimum_strength	0.2000
loyalty_1_chance_of_defection	25.0000
loyalty_2_chance_of_defection	5.0000
loyalty_adjustment_general_married_daughter	1.0000
loyalty_adjustment_lost_office_after_gaining_it	-2.0000
loyalty_adjustment_lower_level_granted_office	-1.0000
loyalty_adjustment_son_became_heir	2.0000
loyalty_adjustment_son_replaced_as_heir	-3.0000
maximum_attrition_pct	0.1500
maximum_faction_leader_honour	0.0000
maximum_loyalty	6.0000
maximum_town_wealth_level	5.0000
migration_religion	0.0010
migration_unhappiness	0.0100
minimum_faction_leader_honour	0.0000
minimum_loyalty	1.0000
minimum_population	1000.0000
minimum_population_after_recruitment	0.0000
minor_settlement_field_battle_percent	50.0000
mission_result_critical_failure_modifier	30.0000
mission_result_critical_success_modifier	200.0000
mp_armour_cost_multiplier	1.1000
mp_armour_fixed_cost	100.0000
mp_weapon_cost_multiplier	1.1000
mp_weapon_fixed_cost	100.0000
naval_attrition_crew_max_damage	0.2500
naval_attrition_crew_min_damage	0.1000
naval_attrition_crew_min_pct	0.1000
naval_attrition_hull_max_damage	0.3500
naval_attrition_hull_min_damage	0.1000
naval_attrition_hull_min_pct	0.9000
ninja_action_point_bonus	0.0400
non_general_faction_leader_starting_honour	3.0000
occupation_decision_liberate_base_loot_income	500.0000
occupation_decision_liberate_conquest_public_order_reduction	-5.0000
occupation_decision_liberate_public_order_reduction	0.0000
occupation_decision_loot_building_damage_percent	40.0000
occupation_decision_loot_building_damage_spread_percent	15.0000
occupation_decision_loot_conquest_public_order_reduction	35.0000
occupation_decision_loot_income_percentage_modifier	25.0000
occupation_decision_occupation_base_loot_income	0.0000
occupation_decision_occupation_conquest_public_order_reduction	20.0000
occupation_decision_occupation_public_order_reduction_different_culture	15.0000
occupation_decision_occupation_public_order_reduction_same_culture	5.0000
occupation_decision_raze_base_loot_income	1000.0000
occupation_decision_raze_conquest_public_order_reduction	40.0000
occupation_decision_raze_public_order_reduction	5.0000
occupation_decision_sack_base_loot_income	1200.0000
occupation_decision_sack_building_damage_percent	65.0000
occupation_decision_sack_building_damage_spread_percent	15.0000
occupation_decision_sack_conquest_public_order_reduction	35.0000
occupation_decision_sack_income_percentage_modifier	-50.0000
occupation_decision_sack_public_order_reduction	15.0000
occupation_decision_vassal_base_loot_income	400.0000
occupation_decision_vassal_public_order_reduction	0.0000
passive_spying_region_bonus	2.0000
pathfinding_land_to_sea_beach_transition_action_point_cost	3000.0000
pathfinding_sea_to_land_beach_transition_action_point_cost	1800.0000
plague_force_to_force_battle_infectivity_multiplier	0.0000
plague_force_to_force_infectivity_multiplier	0.0000
plague_force_to_region_infectivity_multiplier	0.0000
plague_region_to_force_infectivity_multiplier	0.0000
plague_region_to_region_infectivity_multiplier	0.0000
plague_sea_to_region_infectivity_multiplier	0.0000
plague_trade_to_region_infectivity_multiplier	0.0000
policing_automated_cap	4.0000
policing_automated_cost_per_pop	0.0300
policing_garrison_cap	15.0000
political_action_adopt_gravitas_cost	30.0000
political_action_adopt_initiator_target_authority_zeal_delta_requirement	2.0000
political_action_adopt_other_children_gravitas_modifier	-5.0000
political_action_adopt_target_gravitas_modifier	10.0000
political_action_adoption_multiplier	12.0000
political_action_assasinate_cost_base	1200.0000
political_action_assasinate_cost_mod	10.0000
political_action_assasinate_gravitas_cost	20.0000
political_action_assasinate_initiator_target_cunning_delta_requirement	2.0000
political_action_assassinate_spouse_gravitas_multiplier	12.0000
political_action_assassination_gravitas_multiplier	37.0000
political_action_assassination_minimum_cost	400.0000
political_action_bribe_chance	0.2500
political_action_bribe_gravitas_multiplier	12.0000
political_action_bribe_max_senators_gain	40.0000
political_action_bribe_max_senators_gain_percentage_from_target_party	40.0000
political_action_divorce_gravitas_cost	40.0000
political_action_divorce_money_cost_base	1600.0000
political_action_divorce_money_cost_mod	10.0000
political_action_divorce_spouse_gravitas_loose	-15.0000
political_action_divorce_spouse_max_gravitas_requirement	20.0000
political_action_divorce_spouse_max_party_loyalty_requirement	5.0000
political_action_do_a_favour_cost_base	1260.0000
political_action_do_a_favour_cost_mod	10.0000
political_action_do_a_favour_gravitas_cost	20.0000
political_action_do_a_favour_initiator_target_authority_delta_requirement	2.0000
political_action_do_a_favour_target_authority_gain	1.0000
political_action_do_a_favour_target_gravitas_gain	5.0000
political_action_embezzle_funds_base	1200.0000
political_action_embezzle_funds_gravitas_cost	40.0000
political_action_embezzle_funds_initiator_authority_requirement	5.0000
political_action_embezzle_funds_initiator_cunning_requirement	6.0000
political_action_embezzle_funds_initiator_zeal_requirement	5.0000
political_action_embezzle_funds_multiplier	400.0000
political_action_embezzle_funds_success_chance_base	50.0000
political_action_embezzle_funds_success_chance_mod	40.0000
political_action_entice_gravitas_cost	30.0000
political_action_entice_initiator_cunning_target_authority_min_delta_requirement	2.0000
political_action_flirt_gravitas_cost	30.0000
political_action_flirt_initiator_cunning_target_authority_delta_requirement	2.0000
political_action_gather_support_cost_base	1350.0000
political_action_gather_support_cost_mod	10.0000
political_action_gather_support_initiator_party_influence_perc	2.0000
political_action_gather_support_initiator_target_authority_requirement	7.0000
political_action_gather_support_initiator_target_zeal_requirement	7.0000
political_action_get_into_position_multipler	500.0000
political_action_insult_gravitas_cost	30.0000
political_action_insult_initiator_cunning_target_zeal_delta_requirement	2.0000
political_action_insult_party_members_gravitas_modifier	-2.0000
political_action_insult_target_gravitas_modifier	-10.0000
political_action_insult_target_zeal_modifier	-1.0000
political_action_leisure_time_initiator_authority_requirement	6.0000
political_action_leisure_time_initiator_zeal_requirement	6.0000
political_action_leisure_time_money_cost_base	1600.0000
