key	filename	level	priority	window_in	window_out	repeat_wait_ms	event_category	time_after_event
39_disembarking_under_fire	39_disembarking_under_fire.txt	UNIT	3	5	10	100000	ship_disembark	500
40_berserk	40_berserk.txt	UNIT	2	5	10	100000	berserk_unit	500
41_target_dest_land	41_target_dest_land.txt	UNIT	2	5	10	100000	ship_disembark	500
42_target_dest_naval	42_target_dest_naval.txt	UNIT	2	5	10	100000	ship_disembark	500
43_sinking	43_sinking.txt	UNIT	2	5	10	100000	ship_sinking	500
44_enemy_captured_watch	44_enemy_captured_watch.txt	UNIT	2	5	10	100000	captured_point	500
45_captured_enemy_watch	45_captured_enemy_watch.txt	UNIT	2	5	10	100000	captured_point	500
46_approaching_land	46_approaching_land.txt	ARMY	3	5	10	100000	unit_spotted	500
47_approaching_naval	47_approaching_naval.txt	ARMY	3	5	10	100000	unit_spotted	500
48_target_land	48_target_land.txt	UNIT	2	5	10	100000	none	500
49_target_naval	49_target_naval.txt	UNIT	2	5	10	100000	none	500
50_wall_attack	50_wall_attack.txt	UNIT	3	5	10	100000	building_breached	500
51_wall_defend	51_wall_defend.txt	UNIT	3	5	10	100000	building_breached	500
52_approaching_unit_land	52_approaching_unit_land.txt	UNIT	3	5	10	100000	unit_spotted	500
53_approaching_unit_naval	53_approaching_unit_naval.txt	UNIT	3	5	10	100000	unit_spotted	500
54_approaching_unit_dogs	54_approaching_unit_dogs.txt	UNIT	3	5	10	100000	unit_spotted	500
55_approaching_unit_elephants	55_approaching_unit_elephants.txt	UNIT	3	5	10	100000	unit_spotted	500
56_flanked	56_flanked.txt	UNIT	2	5	10	100000	unit_spotted	500
57_flanking	57_flanking.txt	UNIT	2	5	10	100000	unit_spotted	500
58_on_fire_siege	58_on_fire_siege.txt	ENTITY	2	5	10	100000	vehicle_destroyed	500
59_outnumbered	59_outnumbered.txt	UNIT	2	5	10	100000	unit_withdrawing	500
60_outnumbering	60_outnumbering.txt	UNIT	2	5	10	100000	unit_withdrawing	500
61_general_killed	61_general_killed.txt	ENTITY	1	0	15	30000	general_killed	500
62_building_breached	62_building_breached.txt	UNIT	3	5	10	100000	building_breached	500
63_vehicle_entered	63_vehicle_entered.txt	UNIT	2	5	10	100000	vehicle_entered	500
64_vehicle_left	64_vehicle_left.txt	UNIT	2	5	10	100000	vehicle_left	500
65_building_destroyed	27_building_destroyed.txt	ARMY	2	5	10	100000	building_destroyed	500
66_general_speech	04_generals_speech.txt	ARMY	2	5	10	100000	generals_speech	500
67_charging_elephants	65_charging_elephants.txt	UNIT	1	5	15	30000	charging_elephant	500
68_being_charged_elephants	66_being_charged_elephants.txt	UNIT	1	5	15	30000	being_charged_elephant	500
69_charging_chariots	67_charging_chariots.txt	UNIT	1	5	15	30000	charging_chariot	500
70_being_charged_chariots.txt	68_being_charged_chariots.txt	UNIT	1	5	15	30000	being_charged_chariot	500
71_charging_heavy_ships	69_charging_heavy_ships.txt	UNIT	1	5	15	30000	ramming	500
72_being_charged_light_ships	70_being_charged_light_ships.txt	UNIT	1	5	15	30000	being_rammed	500
