region	religion	religion_zeal
pel_ionia_halikarnassos	rom_religion_ionian	1
pel_ionia_knidos	rom_religion_dorian	1
pel_ionia_miletos	rom_religion_ionian	1
pel_kalkidike_mende	rom_religion_ionian	1
pel_kalkidike_olinthos	rom_religion_dorian	1
pel_kalkidike_torone	rom_religion_ionian	1
pel_karia_kibyra	rom_religion_persian	1
pel_karia_kolossai	rom_religion_persian	1
pel_karia_phaselis	rom_religion_persian	1
pel_karia_xanthos	rom_religion_persian	1
pel_krete_gortyna	rom_religion_dorian	1
pel_krete_knossos	rom_religion_dorian	1
pel_krete_kydonia	rom_religion_dorian	1
pel_lakedaimon_kythera	rom_religion_dorian	1
pel_lakedaimon_messenia	rom_religion_dorian	1
pel_lakedaimon_pylos	rom_religion_dorian	1
pel_lakedaimon_sparta	rom_religion_dorian	1
pel_lydia_sardeis	rom_religion_persian	1
pel_lydia_smyrna	rom_religion_aiolian	1
pel_makedon_aigai	rom_religion_makedonian	1
pel_makedon_argos_orestiko	rom_religion_makedonian	1
pel_makedon_arnisa	rom_religion_makedonian	1
pel_makedon_dion	rom_religion_makedonian	1
pel_mysia_ilion	rom_religion_aiolian	1
pel_mysia_kyzikos	rom_religion_ionian	1
pel_mysia_myrina	rom_religion_ionian	1
pel_mysia_pergamon	rom_religion_aiolian	1
pel_terra_incognita	rom_religion_dorian	1
pel_thessaly_larisa	rom_religion_aiolian	1
pel_thessaly_pharsalos	rom_religion_aiolian	1
pel_thessaly_pherae	rom_religion_aiolian	1
pel_thraike_abdera	rom_religion_ionian	1
pel_thraike_ainos	rom_religion_ionian	1
pel_thraike_maroneia	rom_religion_ionian	1
pel_thraike_thasos	rom_religion_ionian	1
pun_africa_capsa	rom_religion_african_arabian	1
pun_africa_carthago	rom_religion_punic	3
pun_africa_hadrumentum	rom_religion_punic	1
pun_aquitania_burdigala	rom_religion_celtic	1
pun_aquitania_iruna	rom_religion_celtic	1
pun_celtiberia_libisosa	rom_religion_iberian	1
pun_celtiberia_numantia	rom_religion_iberian	1
pun_celtiberia_toletum	rom_religion_iberian	1
pun_corsica_et_sardinia_alalia	rom_religion_latin	1
pun_corsica_et_sardinia_karalis	rom_religion_latin	1
pun_corsica_et_sardinia_olbia	rom_religion_latin	1
pun_etruria_arretium	rom_religion_italian	1
pun_etruria_pisae	rom_religion_latin	1
pun_etruria_tarquinii	rom_religion_italian	1
pun_gallaecia_asturica	rom_religion_celtic	1
pun_gallaecia_lugos	rom_religion_iberian	1
pun_gallaecia_pallantia	rom_religion_celtic	1
pun_gallaecia_portus_amanum	rom_religion_iberian	1
pun_gallia_cisalpina_genua	rom_religion_celtic	1
pun_gallia_cisalpina_patavium	rom_religion_celtic	1
pun_gallia_cisalpina_placentia	rom_religion_celtic	1
pun_gallia_cisalpina_vercellae	rom_religion_celtic	1
pun_gallia_transalpina_lugdunum	rom_religion_celtic	1
pun_gallia_transalpina_massilia	rom_religion_hellenic	1
pun_gallia_transalpina_nemausus	rom_religion_celtic	1
pun_gallia_transalpina_tolosa	rom_religion_celtic	1
pun_hispania_citerior_cissis	rom_religion_iberian	1
pun_hispania_citerior_emporiae	rom_religion_hellenic	1
pun_hispania_citerior_ilerda	rom_religion_iberian	1
pun_hispania_citerior_salduba	rom_religion_iberian	1
pun_hispania_ulterior_carthago_nova	rom_religion_punic	2
pun_hispania_ulterior_ibossim	rom_religion_punic	2
pun_hispania_ulterior_ilici	rom_religion_iberian	1
pun_hispania_ulterior_saguntum	rom_religion_iberian	1
pun_latium_et_campania_capua	rom_religion_latin	1
pun_latium_et_campania_roma	rom_religion_latin	3
pun_lusitania_ebora	rom_religion_iberian	1
pun_lusitania_helmantica	rom_religion_iberian	1
pun_lusitania_olisipo	rom_religion_iberian	1
pun_magna_graecia_buxentum	rom_religion_italian	1
pun_magna_graecia_croton	rom_religion_latin	1
pun_magna_graecia_tarentum	rom_religion_hellenic	1
pun_magna_graecia_thurii	rom_religion_latin	1
pun_mauretania_rutubis	rom_religion_african_arabian	1
pun_mauretania_siga	rom_religion_african_arabian	1
pun_mauretania_tingis	rom_religion_punic	1
pun_mauretania_volubilis	rom_religion_african_arabian	1
pun_numidia_cirta	rom_religion_african_arabian	1
pun_numidia_hippo_regius	rom_religion_punic	1
pun_numidia_iol	rom_religion_punic	1
pun_numidia_sitifi	rom_religion_african_arabian	1
pun_samnium_barium	rom_religion_italian	1
pun_samnium_beneventum	rom_religion_italian	1
pun_samnium_sipontum	rom_religion_italian	1
pun_sicilia_lilybaeum	rom_religion_latin	1
pun_sicilia_messana	rom_religion_latin	1
pun_sicilia_syracuse	rom_religion_hellenic	1
pun_tripolitana_leptis_magna	rom_religion_punic	1
pun_tripolitana_tacapae	rom_religion_punic	1
pun_tripolitana_thenteos	rom_religion_african_arabian	1
pun_tripolitana_turris_tamalleni	rom_religion_african_arabian	1
pun_turdetania_gades	rom_religion_punic	1
pun_turdetania_kartuba	rom_religion_celtic	1
pun_umbria_et_picenum_ancona	rom_religion_latin	1
pun_umbria_et_picenum_corfinium	rom_religion_latin	1
pun_umbria_et_picenum_pisaurum	rom_religion_latin	1
pun_umbria_et_picenum_spoletium	rom_religion_italian	1
rom_aegyptos_ta_abt	rom_religion_hellenic	3
rom_aegyptos_ta_ament	rom_religion_hellenic	1
rom_aegyptos_ta_mehu	rom_religion_hellenic	1
rom_aegyptos_ta_shemau	rom_religion_hellenic	1
rom_africa_byzacium	rom_religion_punic	1
rom_africa_syrtis	rom_religion_african_arabian	1
rom_africa_tripolis	rom_religion_punic	1
rom_africa_zeugitana	rom_religion_punic	3
rom_aithiops_ityopya	rom_religion_african_arabian	1
rom_aithiops_kush	rom_religion_african_arabian	1
rom_aithiops_medjay	rom_religion_african_arabian	1
rom_aquitania_aquitania	rom_religion_celtic	1
rom_aquitania_gergovia	rom_religion_celtic	3
rom_aquitania_pictavis	rom_religion_celtic	1
rom_arabia_felix_himyar	rom_religion_african_arabian	1
rom_arabia_felix_maka	rom_religion_african_arabian	1
rom_arabia_felix_saba	rom_religion_african_arabian	3
rom_arabia_magna_dilmun	rom_religion_african_arabian	1
rom_arabia_magna_kedar	rom_religion_african_arabian	1
rom_arabia_magna_lathrippa	rom_religion_african_arabian	1
rom_arachosia_arachosia	rom_religion_hellenic	1
rom_arachosia_paropamisadae	rom_religion_eastern	1
rom_aria_aria	rom_religion_eastern	1
rom_aria_drangiana	rom_religion_eastern	1
rom_aria_margiana	rom_religion_eastern	1
rom_armenia_armenia	rom_religion_eastern	1
rom_armenia_corduene	rom_religion_eastern	1
rom_armenia_sophene	rom_religion_hellenic	1
rom_asia_lydia	rom_religion_hellenic	1
rom_asia_mysia	rom_religion_hellenic	1
rom_asia_phrygia	rom_religion_eastern	1
rom_asia_rhodes	rom_religion_hellenic	1
rom_bactria_baktria	rom_religion_hellenic	1
rom_bactria_tocharia	rom_religion_eastern	1
rom_baetica_baeturia	rom_religion_iberian	1
rom_baetica_turdetania	rom_religion_punic	1
rom_belgica_arduenna_silva	rom_religion_germanic	1
rom_belgica_silva_carbonaria	rom_religion_celtic	1
rom_bithynia_et_pontus_bythynia	rom_religion_hellenic	1
rom_bithynia_et_pontus_paphlagonia	rom_religion_hellenic	1
rom_bithynia_et_pontus_pontos	rom_religion_eastern	1
rom_bithynia_et_pontus_riza	rom_religion_eastern	1
rom_bosporus_maeotia	rom_religion_nomadic	1
rom_bosporus_sindica	rom_religion_nomadic	1
rom_bosporus_taurica	rom_religion_hellenic	1
rom_britannia_brigantia	rom_religion_celtic	1
rom_britannia_britannia	rom_religion_celtic	3
rom_britannia_demetia	rom_religion_celtic	1
rom_britannia_dumnonia	rom_religion_celtic	1
rom_caledonia_et_hibernia_caledonia	rom_religion_celtic	1
rom_caledonia_et_hibernia_hibernia	rom_religion_celtic	1
rom_carmania_eremos_karmania	rom_religion_eastern	1
rom_carmania_karmania	rom_religion_eastern	1
rom_cartaginensis_baleareis	rom_religion_iberian	1
