key	texture_directory	building_category
army_banner_general_straps	UI/3DUI/textures/default/	incidental
army_banner_group_fill	UI/3DUI/textures/default/	incidental
army_banner_group_frame	UI/3DUI/textures/default/	incidental
army_banner_morale_fill	UI/3DUI/textures/default/	incidental
army_banner_morale_frame	UI/3DUI/textures/default/	incidental
army_banner_ping_marker	UI/3DUI/textures/default/	incidental
army_banner_ring	UI/3DUI/textures/default/	incidental
army_banner_ring_fill	UI/3DUI/textures/default/	incidental
army_banner_standard_top_general	UI/3DUI/textures/default/	incidental
army_banner_standard_top_generic	UI/3DUI/textures/default/	incidental
army_banner_star	UI/3DUI/textures/default/	incidental
army_banner_xp_fill	UI/3DUI/textures/default/	incidental
army_banner_xp_frame	UI/3DUI/textures/default/	incidental
arrow	RigidModels/Projectile/Textures	projectiles
artillery_proxy	RigidModels\UI\Textures	3Dindicators
bamboowall_piece01_destruct01_lod01	RigidModels/DeployableItems/Textures/BambooWall	battle_misc
barricade_a_straight_10m_piece01_destruct01	rigidmodels/buildings/textures	battle_building
basket_empty_a_large_piece01_destruct01	rigidmodels/buildings/textures	battle_building
basket_empty_a_large_piece01_destruct02	rigidmodels/buildings/textures	battle_building
basket_empty_a_piece01_destruct01	rigidmodels/buildings/textures	battle_building
basket_empty_a_piece01_destruct02	rigidmodels/buildings/textures	battle_building
basket_empty_b_large_piece01_destruct01	rigidmodels/buildings/textures	battle_building
basket_empty_b_large_piece01_destruct02	rigidmodels/buildings/textures	battle_building
basket_empty_b_piece01_destruct01	rigidmodels/buildings/textures	battle_building
basket_empty_b_piece01_destruct02	rigidmodels/buildings/textures	battle_building
basket_fish_a_large_piece01_destruct01	rigidmodels/buildings/textures	battle_building
basket_fish_a_large_piece01_destruct02	rigidmodels/buildings/textures	battle_building
basket_fish_a_piece01_destruct01	rigidmodels/buildings/textures	battle_building
basket_fish_a_piece01_destruct02	rigidmodels/buildings/textures	battle_building
basket_tea_large_piece01_destruct01	rigidmodels/buildings/textures	battle_building
basket_tea_large_piece01_destruct02	rigidmodels/buildings/textures	battle_building
basket_tea_piece01_destruct01	rigidmodels/buildings/textures	battle_building
basket_tea_piece01_destruct02	rigidmodels/buildings/textures	battle_building
battle_marker_rom_Barbarian	RigidModels\eventmarkers\textures	campaign_event_markers
battle_marker_rom_Eastern	RigidModels\eventmarkers\textures	campaign_event_markers
battle_marker_rom_Hellenistic	RigidModels\eventmarkers\textures	campaign_event_markers
battle_marker_rom_Roman	RigidModels\eventmarkers\textures	campaign_event_markers
battlefield_debris_07_piece07_destruct01	rigidmodels/buildings/textures	battle_building
boat_rack_piece01_destruct01	rigidmodels/buildings/textures	battle_building
boat_rack_piece01_destruct02	rigidmodels/buildings/textures	battle_building
boulder_a_piece01_destruct01	rigidmodels/buildings/textures	battle_building
boulder_small_c_piece01_destruct01	rigidmodels/buildings/textures	battle_building
boulder_small_d_piece01_destruct01	rigidmodels/buildings/textures	battle_building
box_flat_roof_piece01_destruct01	rigidmodels/buildings/textures	battle_building
breech_cannon_destroyed_anim	RigidModels/artillery/Textures	battle_misc
building_damage_castles_smoke	RigidModels/CampaignBuildings/Textures	campaign_building
camp_fire_large_piece01_destruct01	rigidmodels/buildings/textures	battle_building
campaign_building_blockade	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_building_damage_smoke	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_building_placeholder	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_building_placeholder_particle	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_castle_damage_smoke	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_map_marker01	RigidModels\Flags\Textures	3Dindicators
campaign_map_marker02	RigidModels\Flags\textures	3Dindicators
campaign_settlement_building_smoke_lvl1	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_settlement_building_smoke_lvl2	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_settlement_building_smoke_lvl3	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_settlement_building_smoke_lvl4	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_settlement_building_smoke_lvl5	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_ship_projectile	RigidModels\CampaignProps\Textures	campaign_building
campaign_ship_projectile_01	RigidModels\CampaignProps\Textures	campaign_building
campaign_ship_projectile_02	RigidModels\CampaignProps\Textures	campaign_building
campaign_ship_projectile_03	RigidModels\CampaignProps\Textures	campaign_building
campaign_ship_projectile_04	RigidModels\CampaignProps\Textures	campaign_building
campaign_sho_archery_1_archery_dojo	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_archery_2_foot_archery	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_archery_3_bow_master_dojo	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_archery_4_legendary_dojo	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_bridge_lvl1	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_bridge_lvl2	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_bridge_lvl3	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_buddhist_1_temple	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_buddhist_2_monastery	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_buddhist_3_temple_complex	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_buddhist_4_legendary_temple	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_buff_1_encampment	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_buff_2_armoury	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_buff_2_barracks	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_buff_2_hunting_lodge	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_buff_2_jiujutsu_dojo	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_buff_2_proving_grounds	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_castle_1_fort	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_castle_2_stronghold	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_castle_2_stronghold:sho_custom_kyoto	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_castle_3_fortress	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_castle_3_fortress:sho_custom_kyoto	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_castle_4_castle	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_castle_4_castle:sho_custom_kyoto	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_castle_5_citadel	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_castle_5_citadel:sho_custom_kyoto	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_cavalry_1_stables	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_cavalry_2_warhorse_stables	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_cavalry_3_bajutsu_master	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_cavalry_4_legendary_bajutsu_dojo	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_christian_1_chapel	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_christian_2_mission	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_christian_3_church	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_christian_4_cathedral	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_city_castle_construction_lvl1	RigidModels\CampaignBuildings\building_construction\Textures	campaign_building
campaign_sho_city_castle_construction_lvl2	RigidModels\CampaignBuildings\building_construction\Textures	campaign_building
campaign_sho_city_castle_construction_lvl2:sho_custom_kyoto	RigidModels\CampaignBuildings\building_construction\Textures	campaign_building
campaign_sho_city_castle_construction_lvl3	RigidModels\CampaignBuildings\building_construction\Textures	campaign_building
campaign_sho_city_castle_construction_lvl3:sho_custom_kyoto	RigidModels\CampaignBuildings\building_construction\Textures	campaign_building
campaign_sho_city_castle_construction_lvl4	RigidModels\CampaignBuildings\building_construction\Textures	campaign_building
campaign_sho_city_castle_construction_lvl4:sho_custom_kyoto	RigidModels\CampaignBuildings\building_construction\Textures	campaign_building
campaign_sho_city_castle_construction_lvl5	RigidModels\CampaignBuildings\building_construction\Textures	campaign_building
campaign_sho_city_castle_construction_lvl5:sho_custom_kyoto	RigidModels\CampaignBuildings\building_construction\Textures	campaign_building
campaign_sho_city_settlement_construction_lvl1	RigidModels\CampaignBuildings\building_construction\Textures	campaign_building
campaign_sho_city_settlement_construction_lvl2	RigidModels\CampaignBuildings\building_construction\Textures	campaign_building
campaign_sho_city_settlement_construction_lvl3	RigidModels\CampaignBuildings\building_construction\Textures	campaign_building
campaign_sho_city_settlement_construction_lvl4	RigidModels\CampaignBuildings\building_construction\Textures	campaign_building
campaign_sho_city_settlement_construction_lvl5	RigidModels\CampaignBuildings\building_construction\Textures	campaign_building
campaign_sho_crafts_1_market	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_crafts_2_rice_exchange	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_crafts_3_merchant_guild	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_crafts_4_kanabukama	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_farming_1_rice_paddies	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_farming_2_irrigation	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_farming_3_terraces	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_farming_4_consolidation	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_infrastructure_0_trails	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_infrastructure_1_roads	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_infrastructure_2_post_stations	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_infrastructure_3_imperial_roads	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_kyoto_2_stronghold	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_kyoto_3_fortress	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_kyoto_4_castle	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_kyoto_5_citadel	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_port_0_coastal_village	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_port_1_harbour	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_port_2_trading_port	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_port_3_military_port	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_port_3_nanban_trade_port	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_port_4_drydock	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_port_4_nanban_quarter	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_port_large_construction	RigidModels\CampaignBuildings\building_construction\Textures	campaign_building
campaign_sho_port_small_construction	RigidModels\CampaignBuildings\building_construction\Textures	campaign_building
campaign_sho_region_large_construction	RigidModels\CampaignBuildings\building_construction\Textures	campaign_building
campaign_sho_region_medium_construction	RigidModels\CampaignBuildings\building_construction\Textures	campaign_building
campaign_sho_region_small_construction	RigidModels\CampaignBuildings\building_construction\Textures	campaign_building
campaign_sho_region_specialty_craftwork_1_artisans	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_craftwork_2_fletchers	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_craftwork_2_paper_mills	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_craftwork_3_laquerware	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_craftwork_3_master_bowmaker	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_gold_mining_1_surface_mining	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_gold_mining_2_open_pit	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_holy_site_1_holy_site	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_holy_site_2_mountain_hermitag	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_holy_site_2_pilgrim_hostel	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_holy_site_3_fortified_monaste	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_holy_site_3_great_soja_shrine	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_intellectual_centre_1_school	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_intellectual_centre_2_library	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_intellectual_centre_2_magistr	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_intellectual_centre_3_academy	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_intellectual_centre_3_law_cou	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_iron_mining_1_iron_mine	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_iron_mining_2_deep_mine	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_naval_1_fishing_port	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_naval_2_pirate_cove	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_naval_2_whaling_port	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_naval_3_pirate_fortress	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_naval_3_red_seal_port	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_ninja_1_hideout	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_ninja_2_burakumin	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_ninja_2_ninjutsu_school	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_ninja_3_clan_fortress	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_ninja_3_smuggling_network	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_smithing_1_blacksmith	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_smithing_2_armourer	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_smithing_2_weaponsmith	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_smithing_3_master_armourer	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_smithing_3_master_weaponsmith	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_timber_1_lumbercamp	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_timber_2_lumberyards	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_timber_3_sawmills	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_siege_1_workshop	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_siege_2_powder_maker	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_siege_3_gunsmith	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_siege_4_arsenal	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_stealth_1_sake_den	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_stealth_2_gambling_hall	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_stealth_3_criminal_syndicate	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_stealth_4_mizu_shobai	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_sword_1_sword_school	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_sword_2_nodachi	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_sword_3_master_dojo	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_sword_4_legendary_dojo	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_yari_1_drill_yard	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_yari_2_naginata_dojo	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_yari_3_master_dojo	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_yari_4_legendary_school	RigidModels\CampaignBuildings\Textures	campaign_building
capture_point_icon	UI/3DUI/textures/default/	incidental
carthage_blockout_v5_piece01_destruct01	rigidmodels/buildings/textures	battle_building
carthage_blockout_v5a_piece01_destruct01	rigidmodels/buildings/textures	battle_building
carthage_blockout_v5b_piece01_destruct01	rigidmodels/buildings/textures	battle_building
carthage_blockout_v5c_piece01_destruct01	rigidmodels/buildings/textures	battle_building
carthage_blockout_v5d_piece01_destruct01	rigidmodels/buildings/textures	battle_building
carthage_blockout_v5e_piece01_destruct01	rigidmodels/buildings/textures	battle_building
carthage_blockout_v5f_piece01_destruct01	rigidmodels/buildings/textures	battle_building
carthage_blockout_v5g_piece01_destruct01	rigidmodels/buildings/textures	battle_building
carthage_blockout_v5h_piece01_destruct01	rigidmodels/buildings/textures	battle_building
carthage_blockout_v5i_piece01_destruct01	rigidmodels/buildings/textures	battle_building
carthage_blockout_v5j_piece01_destruct01	rigidmodels/buildings/textures	battle_building
carthage_blockout_v5k_piece01_destruct01	rigidmodels/buildings/textures	battle_building
carthage_build_diag02_piece14_destruct01	rigidmodels/buildings/textures	battle_building
carthage_build_house01_piece04_destruct01	rigidmodels/buildings/textures	battle_building
carthage_build_house02_piece05_destruct01	rigidmodels/buildings/textures	battle_building
carthage_build_house03_piece06_destruct01	rigidmodels/buildings/textures	battle_building
carthage_build_house04_piece07_destruct01	rigidmodels/buildings/textures	battle_building
carthage_build_house05_piece08_destruct01	rigidmodels/buildings/textures	battle_building
carthage_build_house06_piece09_destruct01	rigidmodels/buildings/textures	battle_building
carthage_build_house07_piece10_destruct01	rigidmodels/buildings/textures	battle_building
carthage_build_house08_piece11_destruct01	rigidmodels/buildings/textures	battle_building
carthage_build_house09_piece12_destruct01	rigidmodels/buildings/textures	battle_building
carthage_build_house10_piece13_destruct01	rigidmodels/buildings/textures	battle_building
carthage_build_square01_piece02_destruct01	rigidmodels/buildings/textures	battle_building
carthage_build_square02_piece03_destruct01	rigidmodels/buildings/textures	battle_building
carthage_build_square03_piece23_destruct01	rigidmodels/buildings/textures	battle_building
carthage_build_square04_piece17_destruct01	rigidmodels/buildings/textures	battle_building
carthage_build_square_large01_piece16_destruct01	rigidmodels/buildings/textures	battle_building
carthage_build_square_large02_piece15_destruct01	rigidmodels/buildings/textures	battle_building
carthage_citadel_large_piece19_destruct01	rigidmodels/buildings/textures	battle_building
carthage_citadel_medium_piece24_destruct01	rigidmodels/buildings/textures	battle_building
carthage_citadel_small_piece25_destruct01	rigidmodels/buildings/textures	battle_building
carthage_cothon_large_piece20_destruct01	rigidmodels/buildings/textures	battle_building
carthage_cothon_medium_piece22_destruct01	rigidmodels/buildings/textures	battle_building
carthage_cothon_ring_v6_piece01_destruct01	rigidmodels/buildings/textures/monument	battle_building
carthage_cothon_small_piece21_destruct01	rigidmodels/buildings/textures	battle_building
carthage_lighthouse_piece01_destruct01	rigidmodels/buildings/textures	battle_building
carthage_steps10m_piece30_destruct01	rigidmodels/buildings/textures	battle_building
carthage_steps6m_piece28_destruct01	rigidmodels/buildings/textures	battle_building
carthage_steps8m_piece29_destruct01	rigidmodels/buildings/textures	battle_building
carthage_street_plan_v4_piece01_destruct01	rigidmodels/buildings/textures	battle_building
carthage_stronghold_piece31_destruct01	rigidmodels/buildings/textures	battle_building
carthage_trireme_bow_01_dm1	RigidModels/Naval/Textures	campaign_building
carthage_trireme_bow_02_dm1	RigidModels/Naval/Textures	campaign_building
carthage_trireme_bow_03_dm1	RigidModels/Naval/Textures	campaign_building
carthage_trireme_mast_02_dm1	RigidModels/Naval/Textures	campaign_building
carthage_trireme_misc_01_dm1	RigidModels/Naval/Textures	campaign_building
carthage_trireme_port_01_dm1	RigidModels/Naval/Textures	campaign_building
carthage_trireme_port_02_dm1	RigidModels/Naval/Textures	campaign_building
carthage_trireme_port_03_dm1	RigidModels/Naval/Textures	campaign_building
carthage_trireme_port_04_dm1	RigidModels/Naval/Textures	campaign_building
carthage_trireme_port_05_dm1	RigidModels/Naval/Textures	campaign_building
carthage_trireme_starb_01_dm1	RigidModels/Naval/Textures	campaign_building
carthage_trireme_starb_02_dm1	RigidModels/Naval/Textures	campaign_building
carthage_trireme_starb_03_dm1	RigidModels/Naval/Textures	campaign_building
carthage_trireme_starb_04_dm1	RigidModels/Naval/Textures	campaign_building
carthage_trireme_starb_05_dm1	RigidModels/Naval/Textures	campaign_building
carthage_trireme_stern_01_dm1	RigidModels/Naval/Textures	campaign_building
carthage_trireme_stern_02_dm1	RigidModels/Naval/Textures	campaign_building
carthage_v4_capture_area_piece01_destruct01	rigidmodels/buildings/textures	battle_building
carthage_v4_cothon_piece01_destruct01	rigidmodels/buildings/textures	battle_building
