key	stationary_for_turn	supersedes_ability	requires_effect_enabling	tooltip_text
form_pike_wall	false		false	Pike Phalanx||The unit moves into a deep, close defensive formation.\n\n[[col:green]]Bonus vs cavalry, bracing[[/col]]\n\n[[col:red]]Limited speed[[/col]]
form_shield_screen	false		false	Shield Screen||The unit raises their shields in a static defensive formation.\n\n[[col:green]]Bracing, melee defence, shield strength[[/col]]\n\n[[col:red]]Can't move[[/col]]
form_shield_wall	false		false	Shieldwall||The unit moves into a close formation and raises shields.\n\n[[col:green]]Armour strength, bracing, melee defence, shield strength[[/col]]\n\n[[col:red]]Limited speed[[/col]]
form_testudo	false		false	Attacking Testudo||The troops of this unit raise their shields above their heads in a defensive formation.\n\n[[col:green]]Protection against missiles[[/col]]\n\n[[col:red]]Limited speed[[/col]]
form_testudo_defensive	false		false	Defensive Testudo||The troops of this unit raise their shields above their heads in a static defensive formation.\n\n[[col:green]]Bracing, protection against missiles[[/col]]\n\n[[col:red]]Can't move[[/col]]
form_wedge	false		false	Wedge||The unit moves into a wedge-shaped attack formation.\n\n[[col:green]]Charge bonus, melee attack[[/col]]\n\n[[col:red]]Acceleration, melee defence[[/col]]
frenzied_charge	false		false	Frenzied Charge||Increases the effectiveness of the unit's charge for an extended period. The unit will suffer a large fatigue penalty after the charge is over.\n\n[[col:green]]Charge speed, charge damage, acceleration[[/col]]\n\n[[col:red]]Melee defence, fatigue[[/col]]
frenzied_charge_inf	false		false	Frenzied Charge||Increases the effectiveness of the unit's charge for an extended period. The unit will suffer a large fatigue penalty after the charge is over.\n\n[[col:green]]Charge speed, charge damage, acceleration[[/col]]\n\n[[col:red]]Melee defence, fatigue[[/col]]
frenzy	false		false	Frenzy||Improves a unit's charge and weapon damage for an extended period.\n\n[[col:green]]Charge damage, Weapon damage[[/col]]\n\n[[col:red]]Exertion: fatigue[[/col]]
hard_10	false		false	Row Hard 10||Increases speed for 10 strokes.\n\n[[col:green]]Ship speed[[/col]]
hard_20	false		false	Row Hard 20||Increases speed for 20 strokes.\n\n[[col:green]]Ship speed[[/col]]
hard_30	false		false	Row Hard 30||Increases speed for 30 strokes.\n\n[[col:green]]Ship speed[[/col]]
headhunt	false		false	Headhunt||Gradual increase in effectiveness of the unit's attack.\n\n[[col:green]]Melee attack, morale[[/col]]\n\n[[col:red]]Melee defence[[/col]]
kill_elephants	false		false	Kill Elephants||Elephant drivers will kill their mounts with spikes. To be used only if they run amok.
killing_spree	false		false	Killing Spree||Increases weapon damage for an extended period.\n\n[[col:green]]Weapon damage[[/col]]\n\n[[col:red]]Exertion: fatigue[[/col]]
light_infantry_behaviour	false		false	Light Infantry Behaviour||
manual_charge	false		false	Manual Charge
precision_shot	false		false	Precision Shot||Improved missile weapon damage for an extended period.\n\n[[col:green]]Missile damage[[/col]]\n\n[[col:red]]Exertion: fatigue[[/col]]
quick_reload	false		false	Quick Reload||Improved reloading for an extended time.\n\n[[col:green]]Shots per minute[[/col]]\n\n[[col:red]]Exertion: fatigue[[/col]]
rapid_advance	false		false	Rapid Advance||Improved unit movement speed over an extended period.\n\n[[col:green]]Speed, acceleration, charge speed[[/col]]\n\n[[col:red]]Exertion: fatigue[[/col]]
rapid_volley	false		false	Rapid Volley||
screech	false		false	Curse||Reduces the morale of nearby enemy units.\n\n[[col:red]]Morale[[/col]]
second_wind	false		false	Second Wind||
stampede	false		false	Stampede||Charges are more effective for an extended time.\n\n[[col:green]]Charge bonus[[/col]]\n\n[[col:red]]Exertion: fatigue[[/col]]
steady_advance	false		false	Steady Advance||
steady_retreat	false		false	Steady||Improves the unit's ability to endure enemy charges.\n\n[[col:green]]Armour, melee defence[[/col]]\n\n[[col:red]]Exertion: fatigue[[/col]]
trample	false		false	Trample||Charges are more effective for an extended time.\n\n[[col:green]]Charge bonus[[/col]]\n\n[[col:red]]Exertion: fatigue[[/col]]
use_the_whip	false		false	Use the Whip||Improved attack and fatigue resistance for a short time.\n\n[[col:green]]Melee attack, weapon damage, fatigue resistance[[/col]]\n\n[[col:red]]Exertion: fatigue[[/col]]
warcry	false		false	War Cry||
