key	culure_key	faction_key	is_army	subculture_key	icon	banner_decorator
east_emblem_army_02	rom_Eastern		true		east_emblem_02	east_emblem_02
east_emblem_army_03	rom_Eastern		true		east_emblem_03	east_emblem_03
east_emblem_army_04	rom_Eastern		true		east_emblem_04	east_emblem_04
east_emblem_army_05	rom_Eastern		true		east_emblem_05	east_emblem_05
east_emblem_army_06	rom_Eastern		true		east_emblem_06	east_emblem_06
east_emblem_army_07	rom_Eastern		true		east_emblem_07	east_emblem_07
east_emblem_army_08	rom_Eastern		true		east_emblem_08	east_emblem_08
east_emblem_army_09	rom_Eastern		true		east_emblem_09	east_emblem_09
east_emblem_army_10	rom_Eastern		true		east_emblem_10	east_emblem_10
east_emblem_army_11	rom_Eastern		true		east_emblem_11	east_emblem_11
east_emblem_army_12	rom_Eastern		true		east_emblem_12	east_emblem_12
east_emblem_army_13	rom_Eastern		true		east_emblem_13	east_emblem_13
east_emblem_army_14	rom_Eastern		true		east_emblem_14	east_emblem_14
east_emblem_navy_01	rom_Eastern		false		east_emblem_01	east_emblem_01
east_emblem_navy_02	rom_Eastern		false		east_emblem_02	east_emblem_02
east_emblem_navy_03	rom_Eastern		false		east_emblem_03	east_emblem_03
east_emblem_navy_04	rom_Eastern		false		east_emblem_04	east_emblem_04
east_emblem_navy_05	rom_Eastern		false		east_emblem_05	east_emblem_05
east_emblem_navy_06	rom_Eastern		false		east_emblem_06	east_emblem_06
east_emblem_navy_07	rom_Eastern		false		east_emblem_07	east_emblem_07
east_emblem_navy_08	rom_Eastern		false		east_emblem_08	east_emblem_08
east_emblem_navy_09	rom_Eastern		false		east_emblem_09	east_emblem_09
east_emblem_navy_10	rom_Eastern		false		east_emblem_10	east_emblem_10
east_emblem_navy_11	rom_Eastern		false		east_emblem_11	east_emblem_11
east_emblem_navy_12	rom_Eastern		false		east_emblem_12	east_emblem_12
east_emblem_navy_13	rom_Eastern		false		east_emblem_13	east_emblem_13
east_emblem_navy_14	rom_Eastern		false		east_emblem_14	east_emblem_14
hellenic_emblem_army_01	rom_Hellenistic		true		hellenic_emblem_01	hellenic_emblem_01
hellenic_emblem_army_02	rom_Hellenistic		true		hellenic_emblem_02	hellenic_emblem_02
hellenic_emblem_army_03	rom_Hellenistic		true		hellenic_emblem_03	hellenic_emblem_03
hellenic_emblem_army_04	rom_Hellenistic		true		hellenic_emblem_04	hellenic_emblem_04
hellenic_emblem_army_05	rom_Hellenistic		true		hellenic_emblem_05	hellenic_emblem_05
hellenic_emblem_army_06	rom_Hellenistic		true		hellenic_emblem_06	hellenic_emblem_06
hellenic_emblem_army_07	rom_Hellenistic		true		hellenic_emblem_07	hellenic_emblem_07
hellenic_emblem_army_08	rom_Hellenistic		true		hellenic_emblem_08	hellenic_emblem_08
hellenic_emblem_army_09	rom_Hellenistic		true		hellenic_emblem_09	hellenic_emblem_09
hellenic_emblem_army_10	rom_Hellenistic		true		hellenic_emblem_10	hellenic_emblem_10
hellenic_emblem_army_11	rom_Hellenistic		true		hellenic_emblem_11	hellenic_emblem_11
hellenic_emblem_army_12	rom_Hellenistic		true		hellenic_emblem_12	hellenic_emblem_12
hellenic_emblem_army_13	rom_Hellenistic		true		hellenic_emblem_13	hellenic_emblem_13
hellenic_emblem_army_14	rom_Hellenistic		true		hellenic_emblem_14	hellenic_emblem_14
hellenic_emblem_army_15	rom_Hellenistic		true		hellenic_emblem_15	hellenic_emblem_15
hellenic_emblem_navy_01	rom_Hellenistic		false		hellenic_emblem_01	hellenic_emblem_01
hellenic_emblem_navy_02	rom_Hellenistic		false		hellenic_emblem_02	hellenic_emblem_02
hellenic_emblem_navy_03	rom_Hellenistic		false		hellenic_emblem_03	hellenic_emblem_03
hellenic_emblem_navy_04	rom_Hellenistic		false		hellenic_emblem_04	hellenic_emblem_04
hellenic_emblem_navy_05	rom_Hellenistic		false		hellenic_emblem_05	hellenic_emblem_05
hellenic_emblem_navy_06	rom_Hellenistic		false		hellenic_emblem_06	hellenic_emblem_06
hellenic_emblem_navy_07	rom_Hellenistic		false		hellenic_emblem_07	hellenic_emblem_07
hellenic_emblem_navy_08	rom_Hellenistic		false		hellenic_emblem_08	hellenic_emblem_08
hellenic_emblem_navy_09	rom_Hellenistic		false		hellenic_emblem_09	hellenic_emblem_09
hellenic_emblem_navy_10	rom_Hellenistic		false		hellenic_emblem_10	hellenic_emblem_10
hellenic_emblem_navy_11	rom_Hellenistic		false		hellenic_emblem_11	hellenic_emblem_11
hellenic_emblem_navy_12	rom_Hellenistic		false		hellenic_emblem_12	hellenic_emblem_12
hellenic_emblem_navy_13	rom_Hellenistic		false		hellenic_emblem_13	hellenic_emblem_13
hellenic_emblem_navy_14	rom_Hellenistic		false		hellenic_emblem_14	hellenic_emblem_14
hellenic_emblem_navy_15	rom_Hellenistic		false		hellenic_emblem_15	hellenic_emblem_15
rome_emblem_army_01	rom_Roman		true		rome_emblem_01	rome_emblem_01
rome_emblem_army_02	rom_Roman		true		rome_emblem_02	rome_emblem_02
rome_emblem_army_03	rom_Roman		true		rome_emblem_03	rome_emblem_03
rome_emblem_army_04	rom_Roman		true		rome_emblem_04	rome_emblem_04
rome_emblem_army_05	rom_Roman		true		rome_emblem_05	rome_emblem_05
rome_emblem_army_06	rom_Roman		true		rome_emblem_06	rome_emblem_06
rome_emblem_army_07	rom_Roman		true		rome_emblem_07	rome_emblem_07
rome_emblem_army_08	rom_Roman		true		rome_emblem_08	rome_emblem_08
rome_emblem_army_09	rom_Roman		true		rome_emblem_09	rome_emblem_09
rome_emblem_army_10	rom_Roman		true		rome_emblem_10	rome_emblem_10
rome_emblem_army_11	rom_Roman		true		rome_emblem_11	rome_emblem_11
rome_emblem_army_12	rom_Roman		true		rome_emblem_12	rome_emblem_12
rome_emblem_army_13	rom_Roman		true		rome_emblem_13	rome_emblem_13
rome_emblem_army_14	rom_Roman		true		rome_emblem_14	rome_emblem_14
rome_emblem_army_15	rom_Roman		true		rome_emblem_15	rome_emblem_15
rome_emblem_army_16	rom_Roman		true		rome_emblem_16	rome_emblem_16
rome_emblem_army_17	rom_Roman		true		rome_emblem_17	rome_emblem_17
rome_emblem_navy_01	rom_Roman		false		rome_emblem_01	rome_emblem_01
rome_emblem_navy_02	rom_Roman		false		rome_emblem_02	rome_emblem_02
rome_emblem_navy_03	rom_Roman		false		rome_emblem_03	rome_emblem_03
rome_emblem_navy_04	rom_Roman		false		rome_emblem_04	rome_emblem_04
rome_emblem_navy_05	rom_Roman		false		rome_emblem_05	rome_emblem_05
rome_emblem_navy_06	rom_Roman		false		rome_emblem_06	rome_emblem_06
rome_emblem_navy_07	rom_Roman		false		rome_emblem_07	rome_emblem_07
rome_emblem_navy_08	rom_Roman		false		rome_emblem_08	rome_emblem_08
rome_emblem_navy_09	rom_Roman		false		rome_emblem_09	rome_emblem_09
rome_emblem_navy_10	rom_Roman		false		rome_emblem_10	rome_emblem_10
rome_emblem_navy_11	rom_Roman		false		rome_emblem_11	rome_emblem_11
rome_emblem_navy_12	rom_Roman		false		rome_emblem_12	rome_emblem_12
rome_emblem_navy_13	rom_Roman		false		rome_emblem_13	rome_emblem_13
rome_emblem_navy_14	rom_Roman		false		rome_emblem_14	rome_emblem_14
rome_emblem_navy_15	rom_Roman		false		rome_emblem_15	rome_emblem_15
rome_emblem_navy_16	rom_Roman		false		rome_emblem_16	rome_emblem_16
rome_emblem_navy_17	rom_Roman		false		rome_emblem_17	rome_emblem_17
