manager_key	path_key	priority
civilian	rom_civ_basic	2000
civilian	rom_civ_construction_buff	75
civilian	rom_civ_construction_early	2000
civilian	rom_civ_construction_options	200
civilian	rom_civ_economy_food_early	75
civilian	rom_civ_economy_trade_early	1000
civilian	rom_civ_economy_trade_last	10
civilian	rom_civ_economy_trade_late	400
civilian	rom_civ_philosophy_dignitary_early	600
civilian	rom_civ_philosophy_happiness_early	30
civilian	rom_civ_philosophy_happiness_late	20
civilian	rom_mil_basic	4000
civilian	rom_mil_management_land_early	2250
civilian	rom_mil_siege_defence_early	100
civilian	rom_mil_siege_offence_early	400
civilian	rom_mil_tactics_land_early	1000
default	rom_civ_basic	1
default	rom_civ_construction_buff	1
default	rom_civ_construction_early	1
default	rom_civ_construction_last	1
default	rom_civ_construction_options	1
default	rom_civ_economy_food_early	1
default	rom_civ_economy_food_last	1
default	rom_civ_economy_food_late	1
default	rom_civ_economy_trade_early	1
default	rom_civ_economy_trade_last	1
default	rom_civ_economy_trade_late	1
default	rom_civ_philosophy_dignitary_early	1
default	rom_civ_philosophy_dignitary_last	1
default	rom_civ_philosophy_dignitary_late	1
default	rom_civ_philosophy_happiness_early	1
default	rom_civ_philosophy_happiness_last	1
default	rom_civ_philosophy_happiness_late	1
default	rom_mil_basic	1
default	rom_mil_management_land_early	1
default	rom_mil_management_land_last	1
default	rom_mil_management_land_late	1
default	rom_mil_management_naval_early	1
default	rom_mil_management_naval_last	1
default	rom_mil_management_naval_late	1
default	rom_mil_siege_defence_early	1
default	rom_mil_siege_defence_last	1
default	rom_mil_siege_defence_late	1
default	rom_mil_siege_offence_early	1
default	rom_mil_siege_offence_last	1
default	rom_mil_siege_offence_late	1
default	rom_mil_tactics_land_early	1
default	rom_mil_tactics_land_last	1
default	rom_mil_tactics_land_late	1
default	rom_mil_tactics_naval_early	1
default	rom_mil_tactics_naval_last	1
default	rom_mil_tactics_naval_late	1
gaul_buffs	gaul_blue_basic	4000
gaul_buffs	gaul_blue_military_early	500
gaul_buffs	gaul_blue_military_last	20
gaul_buffs	gaul_blue_military_late	200
gaul_buffs	gaul_blue_mixed_early	350
gaul_buffs	gaul_blue_mixed_last	20
gaul_buffs	gaul_blue_mixed_late	150
gaul_buffs	gaul_blue_settlement_early	1000
gaul_buffs	gaul_blue_settlement_last	150
gaul_buffs	gaul_blue_settlement_late	400
gaul_buffs	gaul_red_basic	4000
gaul_buffs	gaul_red_culture_early	2000
gaul_buffs	gaul_red_culture_last	60
gaul_buffs	gaul_red_culture_late	750
gaul_buffs	gaul_red_infrastructure_early	2000
gaul_buffs	gaul_red_infrastructure_last	100
gaul_buffs	gaul_red_infrastructure_late	350
gaul_buffs	gaul_red_military_early	350
gaul_buffs	gaul_red_military_last	20
gaul_buffs	gaul_red_military_late	150
gaul_military	gaul_blue_basic	4000
gaul_military	gaul_blue_military_early	2500
gaul_military	gaul_blue_military_last	200
gaul_military	gaul_blue_military_late	1500
gaul_military	gaul_blue_mixed_early	350
gaul_military	gaul_blue_mixed_last	30
gaul_military	gaul_blue_mixed_late	150
gaul_military	gaul_blue_settlement_early	2000
gaul_military	gaul_blue_settlement_last	150
gaul_military	gaul_blue_settlement_late	500
gaul_military	gaul_red_basic	8000
gaul_military	gaul_red_culture_early	500
gaul_military	gaul_red_culture_last	30
gaul_military	gaul_red_culture_late	250
gaul_military	gaul_red_infrastructure_early	4000
gaul_military	gaul_red_infrastructure_last	400
gaul_military	gaul_red_infrastructure_late	900
gaul_military	gaul_red_military_early	1500
gaul_military	gaul_red_military_last	400
gaul_military	gaul_red_military_late	500
gaul_roman	gaul_blue_basic	6000
gaul_roman	gaul_blue_military_early	6000
gaul_roman	gaul_blue_military_last	150
gaul_roman	gaul_blue_military_late	1000
gaul_roman	gaul_blue_mixed_early	750
gaul_roman	gaul_blue_mixed_last	20
gaul_roman	gaul_blue_mixed_late	250
gaul_roman	gaul_blue_settlement_early	750
gaul_roman	gaul_blue_settlement_last	20
gaul_roman	gaul_blue_settlement_late	250
gaul_roman	gaul_red_basic	4000
gaul_roman	gaul_red_culture_early	750
gaul_roman	gaul_red_culture_last	30
gaul_roman	gaul_red_culture_late	250
gaul_roman	gaul_red_infrastructure_early	1250
gaul_roman	gaul_red_infrastructure_last	30
gaul_roman	gaul_red_infrastructure_late	400
gaul_roman	gaul_red_military_early	1500
gaul_roman	gaul_red_military_last	60
gaul_roman	gaul_red_military_late	400
inv_militaristic	inv_civil_buildings_late	100
inv_militaristic	inv_civil_early	2000
inv_militaristic	inv_civil_food_late	100
inv_militaristic	inv_civil_wealth_late	50
inv_militaristic	inv_military_buffs_early	100
inv_militaristic	inv_military_land_early	60000
inv_militaristic	inv_military_land_late	1000
inv_militaristic	inv_military_naval_early	1000
inv_militaristic	inv_military_naval_late	100
inv_militaristic	inv_military_siege	200
military_land	pel_civics_aesthetics_entertainment_early	900
military_land	pel_civics_aesthetics_entertainment_late	700
military_land	pel_civics_aesthetics_manufacture_last	80
military_land	pel_civics_aesthetics_slave_industry_early	1500
military_land	pel_civics_aesthetics_slave_industry_last	80
military_land	pel_civics_aesthetics_slave_industry_middle	500
military_land	pel_civics_basic	4000
military_land	pel_civics_mathematics_center_building_early	1000
military_land	pel_civics_mathematics_center_building_late	250
military_land	pel_civics_mathematics_center_building_middle	400
military_land	pel_civics_mathematics_health_buildings_early	800
military_land	pel_civics_mathematics_health_last	50
military_land	pel_civics_mathematics_mining_religion_last	50
military_land	pel_civics_philosophy_learning_early	400
military_land	pel_civics_philosophy_learning_last	10
military_land	pel_civics_philosophy_learning_late	50
military_land	pel_civics_philosophy_tax_rate_early	3000
military_land	pel_civics_philosophy_tax_rate_last	150
military_land	pel_civics_philosophy_tax_rate_late	300
military_land	pel_mil_army_early	4000
military_land	pel_mil_army_mercenaries	1000
military_land	pel_mil_army_morale	150
military_land	pel_mil_army_unit_unlock_last	250
military_land	pel_mil_army_unit_unlock_late	1700
military_land	pel_mil_army_unit_unlock_middle	1700
military_land	pel_mil_basic	7000
military_land	pel_mil_navy_durability_early	400
military_land	pel_mil_navy_durability_late	100
military_land	pel_mil_navy_last	150
military_land	pel_mil_navy_ramming_early	900
military_land	pel_mil_navy_ramming_late	500
military_land	pel_mil_support_early	1100
military_land	pel_mil_support_last	100
military_land	pel_mil_support_late	300
military_land	pel_mil_support_middle	7050
military_land	pel_mil_support_siege_early	3200
military_land	pel_mil_support_siege_last	100
military_land	rom_civ_basic	600
military_land	rom_civ_construction_early	200
military_land	rom_civ_construction_options	40
military_land	rom_civ_economy_food_early	400
military_land	rom_civ_philosophy_dignitary_early	20
military_land	rom_mil_basic	2000
military_land	rom_mil_management_land_early	2250
military_land	rom_mil_management_land_last	50
military_land	rom_mil_management_land_late	350
military_land	rom_mil_management_naval_early	250
military_land	rom_mil_siege_defence_early	500
military_land	rom_mil_siege_offence_early	2000
military_land	rom_mil_siege_offence_late	75
military_land	rom_mil_tactics_land_early	1250
military_land	rom_mil_tactics_land_late	100
military_navy	rom_civ_basic	1000
military_navy	rom_civ_construction_early	75
military_navy	rom_civ_construction_options	20
military_navy	rom_civ_economy_food_early	100
military_navy	rom_civ_economy_trade_early	800
military_navy	rom_civ_economy_trade_late	250
military_navy	rom_civ_philosophy_dignitary_early	20
military_navy	rom_mil_basic	2000
military_navy	rom_mil_management_land_early	6000
military_navy	rom_mil_management_naval_early	2000
military_navy	rom_mil_management_naval_last	75
military_navy	rom_mil_management_naval_late	400
military_navy	rom_mil_siege_offence_early	1500
military_navy	rom_mil_siege_offence_late	50
military_navy	rom_mil_tactics_naval_early	1000
military_navy	rom_mil_tactics_naval_last	40
military_navy	rom_mil_tactics_naval_late	200
