building_chain	building_instance	building_or_building_range_start_inclusive	building_range_end_inclusive	building_super_chain	cai_construction_system_category	cai_construction_system_category_group	campaign	culture	faction	sub_culture	per_faction_building_limit_start	per_faction_building_limit_end	per_faction_building_minimum_discount_when_exceeding_limit_start	per_faction_building_maximum_discount_when_exceeding_limit_start	per_faction_building_minimum_discount_when_exceeding_limit_end	per_faction_building_maximum_discount_when_exceeding_limit_end	per_faction_per_building_discount_increment_when_exceeding_limit_start	per_faction_per_building_discount_increment_when_exceeding_limit_end	per_province_building_limit_start	per_province_building_limit_end	per_province_building_minimum_discount_when_exceeding_limit_start	per_province_building_maximum_discount_when_exceeding_limit_start	per_province_building_minimum_discount_when_exceeding_limit_end	per_province_building_maximum_discount_when_exceeding_limit_end	per_province_per_building_discount_increment_when_exceeding_limit_start	per_province_per_building_discount_increment_when_exceeding_limit_end	score_end_inclusive	score_or_score_start_inclusive
		3c_barb_agriculture_nomad_herd_2	3c_barb_agriculture_nomad_herd_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	10500	3100	10000	3000	10000	3000	11000	3200
		3c_barb_agriculture_nomad_weaver_2	3c_barb_agriculture_nomad_weaver_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	525	105
		3c_barb_agriculture_nomad_weaver_2	3c_barb_agriculture_nomad_weaver_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	700	140
		3c_barb_artisan_1				cai_economic_group					-1	-1	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	75
		3c_barb_artisan_1				cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	360
		3c_barb_artisan_bronze_2	3c_barb_artisan_bronze_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	400	80
		3c_barb_artisan_bronze_2	3c_barb_artisan_bronze_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	14000	3300	13500	3000	13500	3000	14500	3500
		3c_barb_artisan_coin_2	3c_barb_artisan_coin_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1500	300
		3c_barb_artisan_maker_2	3c_barb_artisan_maker_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1500	300
		3c_barb_city_1	3c_barb_city_3								-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	865	15
		3c_barb_city_industry_4									-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	1300
		3c_barb_city_trade_4									-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	1300
		3c_barb_city_tribal_4									-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	1300
		3c_barb_commons_1				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	60
		3c_barb_commons_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	50
		3c_barb_commons_chieftan_2	3c_barb_commons_chieftan_5			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	800	200
		3c_barb_commons_chieftan_2	3c_barb_commons_chieftan_5			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	400	100
		3c_barb_commons_lore_2	3c_barb_commons_lore_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		3c_barb_commons_market_2	3c_barb_commons_market_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1500	300
		3c_barb_commons_nomad_1				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	60
		3c_barb_commons_nomad_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	50
		3c_barb_commons_nomad_chieftan_2	3c_barb_commons_nomad_chieftan_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	600	200
		3c_barb_commons_nomad_chieftan_2	3c_barb_commons_nomad_chieftan_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	240	80
		3c_barb_commons_nomad_chieftan_4				cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	6000
		3c_barb_commons_nomad_lore_2	3c_barb_commons_nomad_lore_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		3c_barb_commons_nomad_market_2	3c_barb_commons_nomad_market_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1500	300
		3c_barb_commons_nomad_slave_2	3c_barb_commons_nomad_slave_3			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	450	90
		3c_barb_commons_nomad_storage_2	3c_barb_commons_nomad_storage_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	250	50
		3c_barb_commons_nomad_storage_2	3c_barb_commons_nomad_storage_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		3c_barb_commons_slave_2	3c_barb_commons_slave_3			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	450	90
		3c_barb_commons_storage_2	3c_barb_commons_storage_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	250	50
		3c_barb_commons_storage_2	3c_barb_commons_storage_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		3c_barb_craftsmen_1				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	80
		3c_barb_craftsmen_1				cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	300
		3c_barb_craftsmen_pot_2	3c_barb_craftsmen_pot_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1500	300
		3c_barb_craftsmen_salt_2	3c_barb_craftsmen_salt_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1000	200
		3c_barb_craftsmen_wood_2	3c_barb_craftsmen_wood_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		3c_barb_craftsmen_wood_2	3c_barb_craftsmen_wood_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	14500	4600	13500	4400	13500	4400	15000	4800
		3c_barb_military_buff_1				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	50
		3c_barb_military_buff_1				cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	200
		3c_barb_military_buff_gold_2	3c_barb_military_buff_gold_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1500	300
		3c_barb_military_buff_gold_2	3c_barb_military_buff_gold_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	4250	900	4000	800	4000	800	4500	1000
		3c_barb_military_buff_grounds_2	3c_barb_military_buff_grounds_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1000	200
		3c_barb_military_buff_grounds_2	3c_barb_military_buff_grounds_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	5750	1350	5500	1200	5500	1200	6000	1500
		3c_barb_military_buff_tavern_2	3c_barb_military_buff_tavern_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1000	200
		3c_barb_military_buff_tavern_2	3c_barb_military_buff_tavern_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	4250	900	4000	800	4000	800	4500	1000
		3c_barb_military_buff_tavern_2	3c_barb_military_buff_tavern_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	325	65
		3c_barb_port_1				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	75
		3c_barb_port_fishing_2	3c_barb_port_fishing_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	500	100
		3c_barb_port_fishing_2	3c_barb_port_fishing_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		3c_barb_port_military_2	3c_barb_port_military_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1250	250
		3c_barb_port_military_2	3c_barb_port_military_4			cai_military_sea_group					-1	-1	0	0	0	0	0	0	1	1	3250	600	3000	500	3000	500	3500	700
		3c_barb_religious_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	90
		3c_barb_religious_briton_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	90
		3c_barb_religious_briton_andraste_2	3c_barb_religious_briton_andraste_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	250	50
		3c_barb_religious_briton_andraste_2	3c_barb_religious_briton_andraste_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	500	100
		3c_barb_religious_briton_andraste_5				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	450
		3c_barb_religious_briton_andraste_5				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	1000
		3c_barb_religious_briton_epona_2	3c_barb_religious_briton_epona_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	3800	800	3500	700	3500	700	4000	900
		3c_barb_religious_briton_epona_2	3c_barb_religious_briton_epona_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	500	100
		3c_barb_religious_briton_nodens_2	3c_barb_religious_briton_nodens_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	500	100
		3c_barb_religious_briton_nodens_2	3c_barb_religious_briton_nodens_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	500	100
		3c_barb_religious_briton_rosmerta_2	3c_barb_religious_briton_rosmerta_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	500	100
		3c_barb_religious_briton_rosmerta_2	3c_barb_religious_briton_rosmerta_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	625	125
		3c_barb_religious_briton_toutatis_2	3c_barb_religious_briton_toutatis_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	500	100
		3c_barb_religious_briton_toutatis_2	3c_barb_religious_briton_toutatis_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	500	100
		3c_barb_religious_german_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	90
		3c_barb_religious_german_austro_2	3c_barb_religious_german_austro_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	500	100
		3c_barb_religious_german_austro_2	3c_barb_religious_german_austro_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	300	60
		3c_barb_religious_german_frijjo_2	3c_barb_religious_german_frijjo_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	500	100
		3c_barb_religious_german_frijjo_2	3c_barb_religious_german_frijjo_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	850	170
		3c_barb_religious_german_teiwaz_2	3c_barb_religious_german_teiwaz_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	5000	800	5200	700	5200	700	5500	900
		3c_barb_religious_german_teiwaz_2	3c_barb_religious_german_teiwaz_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	300	60
		3c_barb_religious_german_thunaraz_2	3c_barb_religious_german_thunaraz_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1000	200
		3c_barb_religious_german_wodanaz_2	3c_barb_religious_german_wodanaz_5			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	500	100
		3c_barb_religious_german_wodanaz_2	3c_barb_religious_german_wodanaz_5			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	425	85
		3c_barb_religious_nomad_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	90
		3c_barb_religious_nomad_agrimpasa_2	3c_barb_religious_nomad_agrimpasa_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	100
		3c_barb_religious_nomad_agrimpasa_2	3c_barb_religious_nomad_agrimpasa_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	240	130
		3c_barb_religious_nomad_api_2	3c_barb_religious_nomad_api_5			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	450	100
		3c_barb_religious_nomad_api_2	3c_barb_religious_nomad_api_5			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	650	100
		3c_barb_religious_nomad_goitosyros_2	3c_barb_religious_nomad_goitosyros_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	3750	850	3600	750	3600	750	4000	900
		3c_barb_religious_nomad_goitosyros_2	3c_barb_religious_nomad_goitosyros_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	110
		3c_barb_religious_nomad_papaios_2	3c_barb_religious_nomad_papaios_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	250	100
		3c_barb_religious_nomad_papaios_2	3c_barb_religious_nomad_papaios_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	650	130
		3c_barb_religious_nomad_tabiti_2	3c_barb_religious_nomad_tabiti_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	800	200
		3c_barb_town_1	3c_barb_town_3								-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	600	15
		3c_barb_town_farm_4				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	3500
		3c_barb_town_tribal_4				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	3500
		3c_barb_water_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	130
		3c_barb_water_canal_2	3c_barb_water_canal_3			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	100
		3c_barb_water_canal_2	3c_barb_water_canal_3			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	130	65
		3c_barb_water_spring_2	3c_barb_water_spring_3			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	100
		3c_barb_water_spring_2	3c_barb_water_spring_3			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	130	65
		3c_east_administration_1				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	130
		3c_east_administration_security_2	3c_east_administration_security_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	270	65
		3c_east_administration_spies_2	3c_east_administration_spies_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	550	200
		3c_east_administration_taxes_2	3c_east_administration_taxes_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	550	200
		3c_east_agriculture_1				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	40
		3c_east_agriculture_1				cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	40
		3c_east_agriculture_farm_2	3c_east_agriculture_farm_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	300	60
		3c_east_agriculture_farm_2	3c_east_agriculture_farm_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	550	110
		3c_east_agriculture_granary_2	3c_east_agriculture_granary_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	300	60
		3c_east_agriculture_granary_2	3c_east_agriculture_granary_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	300	60
		3c_east_agriculture_granary_2	3c_east_agriculture_granary_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	225	45
		3c_east_agriculture_herding_2	3c_east_agriculture_herding_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	550	110
		3c_east_agriculture_herding_2	3c_east_agriculture_herding_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	300	60
		3c_east_city_1									-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	15
		3c_east_city_centre_1				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	75
		3c_east_city_centre_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	70
		3c_east_city_centre_arena_2	3c_east_city_centre_arena_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		3c_east_city_centre_arena_2	3c_east_city_centre_arena_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	650	130
		3c_east_city_centre_library_2	3c_east_city_centre_library_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		3c_east_city_centre_palace_2	3c_east_city_centre_palace_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		3c_east_city_centre_palace_2	3c_east_city_centre_palace_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	650	130
		3c_east_city_centre_slave_2	3c_east_city_centre_slave_3			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1150	210
		3c_east_city_centre_spice_2	3c_east_city_centre_spice_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1150	210
		3c_east_city_royal_2	3c_east_city_royal_4								-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1300	440
		3c_east_city_satrap_2	3c_east_city_satrap_4								-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1300	440
		3c_east_industry_1				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	200
		3c_east_industry_adobe_2	3c_east_industry_adobe_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1850	370
		3c_east_industry_mint_2	3c_east_industry_mint_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1850	370
		3c_east_industry_weaver_2	3c_east_industry_weaver_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1850	370
		3c_east_military_buff_1				cai_military_land_group					-1	-1	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	40
		3c_east_military_buff_horse_2	3c_east_military_buff_horse_3			cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	1700	540	1600	480	1600	480	1800	600
		3c_east_military_buff_range_2	3c_east_military_buff_range_3			cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	1700	540	1600	480	1600	480	1800	600
		3c_east_military_cav_1	3c_east_military_cav_2			cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	2050	290	1900	260	1900	260	2200	320
		3c_east_military_cav_animal_3	3c_east_military_cav_animal_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	19000	6300	18000	6000	18000	6000	20000	6600
		3c_east_military_cav_heavy_3	3c_east_military_cav_heavy_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	19000	6300	18000	6000	18000	6000	20000	6600
		3c_east_military_siege_1	3c_east_military_siege_3			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	600	40
		3c_east_military_siege_1	3c_east_military_siege_3			cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	3400	350	3200	300	3200	300	3600	400
		3c_east_port_1				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	75
		3c_east_port_1				cai_military_sea_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	75
		3c_east_port_fish_2	3c_east_port_fish_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	500	100
		3c_east_port_fish_2	3c_east_port_fish_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	500	100
		3c_east_port_military_2	3c_east_port_military_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		3c_east_port_military_2	3c_east_port_military_4			cai_military_sea_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	3500	700
		3c_east_port_trade_2	3c_east_port_trade_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1500	300
		3c_east_town_1									-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	10
		3c_east_town_centre_1				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	75
		3c_east_town_centre_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	70
		3c_east_town_centre_game_2	3c_east_town_centre_game_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		3c_east_town_centre_game_2	3c_east_town_centre_game_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	650	130
		3c_east_town_centre_trade_2	3c_east_town_centre_trade_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	550	110
		3c_east_town_garrison_2	3c_east_town_garrison_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	2000	600
		3c_east_town_garrison_2	3c_east_town_garrison_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	2000	600
		3c_east_town_trade_2	3c_east_town_trade_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	2000	600
		3c_east_town_trade_2	3c_east_town_trade_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	2000	600
		3c_east_water_1				cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	100
		3c_east_water_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	100
		3c_east_water_well_2	3c_east_water_well_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	875	175
