key	chance_to_replenish	max_count	max_replenish_per_turn	unit_record
3c_merc_province_naval_africa_grp_0	0.1500	1	1	3c_Mer_Rom_Assault_Bireme
3c_merc_province_naval_africa_grp_1	0.1500	1	1	3c_Mer_Rom_Missile_Trireme
3c_merc_province_naval_aquitania_and_britannia_grp_0	0.1500	1	1	3c_Mer_Gal_Assault_Raider
3c_merc_province_naval_aquitania_and_britannia_grp_1	0.1500	1	1	3c_Mer_Gal_Medium_Assault_Raider
3c_merc_province_naval_aquitania_and_britannia_grp_2	0.1500	1	1	3c_Mer_Gal_Missile_Raider
3c_merc_province_naval_arabia_grp_0	0.1500	1	1	3c_Mer_Ara_Assault_Dieres
3c_merc_province_naval_arabia_grp_1	0.1500	1	1	3c_Mer_Sab_Missile_Trireme
3c_merc_province_naval_germania_grp_0	0.1500	1	1	3c_Mer_Ger_Assault_Raider
3c_merc_province_naval_germania_grp_1	0.1500	1	1	3c_Mer_Ger_Missile_Raider
3c_merc_province_naval_germania_grp_2	0.1500	1	1	3c_Mer_Ger_Medium_Assault_Raider
3c_merc_province_naval_iberian_grp_0	0.1500	1	1	3c_Mer_Ibe_Missile_Trireme
3c_merc_province_naval_pontus_and_thracia_grp_0	0.1500	1	1	3c_Mer_Rom_Assault_Bireme
3c_merc_province_naval_pontus_and_thracia_grp_1	0.1500	1	1	3c_Mer_Rom_Missile_Trireme
3c_merc_province_naval_pretanic_isles_grp_0	0.1500	1	1	3c_Mer_Cel_Missile_Raider
3c_merc_province_naval_roman_grp_0	0.1500	1	1	3c_Mer_Rom_Assault_Bireme
3c_merc_province_naval_roman_grp_1	0.1500	1	1	3c_Mer_Rom_Missile_Trireme
3c_merc_province_naval_roman_grp_2	0.1500	1	1	3c_Mer_Rom_Assault_Quadreme
3c_merc_province_naval_roman_grp_3	0.1500	1	1	3c_Mer_Rom_Raiding_Hemiolia
3c_merc_province_naval_sarmatia_and_bosporous_grp_0	0.1500	1	1	3c_Mer_Ste_Missile_Raider
3c_merc_province_persia_grp_0	0.1500	3	1	3c_Mer_Persian_Light_Infantry
3c_merc_province_persia_grp_1	0.1500	4	1	3c_Mer_Persian_Archers
3c_merc_province_persia_grp_2	0.1500	2	1	3c_Mer_Persian_Cavalry
3c_merc_province_persia_grp_3	0.5000	1	1	3c_Mer_Persian_Cataphracts
3c_merc_province_pontus_grp_0	0.7500	1	1	3c_Mer_Pontic_Cavalry
3c_merc_province_pontus_grp_1	0.1500	2	1	3c_Mer_Horse_Skirmishers
3c_merc_province_pontus_grp_2	0.1500	4	1	3c_Mer_Hillmen
3c_merc_province_steppe_grp_0	0.7500	3	1	3c_Mer_Sarmatian_Light_Cavalry
3c_merc_province_steppe_grp_1	0.1500	2	1	3c_Mer_Steppe_Cavalry
3c_merc_province_steppe_grp_2	0.1500	2	1	3c_Mer_Sarmatian_Horse_Archers
3c_merc_province_syria_grp_0	0.7500	1	1	3c_Mer_Syrian_Archers
3c_merc_province_syria_grp_1	0.5000	1	1	3c_Mer_Syrian_Armoured_Elephants
3c_merc_province_syria_grp_2	0.1500	2	1	3c_Mer_Horse_Skirmishers
3c_merc_province_syria_grp_3	0.1500	4	1	3c_Mer_Hillmen
3c_merc_province_syria_grp_4	0.1500	3	1	3c_Mer_Persian_Light_Infantry
3c_merc_province_thracia_grp_0	0.1500	3	1	3c_Mer_Thracian_Warriors
3c_merc_province_thracia_grp_1	0.7500	2	1	3c_Mer_Thracian_Light_Cavalry
3c_merc_province_thracia_grp_2	0.1500	3	1	3c_Mer_Thracian_Slingers
3c_merc_province_thracia_grp_3	0.1500	2	1	3c_Mer_Thracian_Horse_Skirmishers
Pel_Mer_Agrianian_Axemen	0.1500	4	1	Pel_Mer_Agrianian_Axemen
Pel_Mer_Ionian_Hippeus	0.1500	4	1	Pel_Mer_Ionian_Hippeus
Pel_Mer_Kretan_Archers	0.1500	4	1	Pel_Mer_Kretan_Archers
Pel_Mer_Rodian_Slingers	0.1500	4	1	Pel_Mer_Rodian_Slingers
Pel_Mer_Thr_Peltasts	0.1500	4	1	Pel_Mer_Thr_Peltasts
gaul_merc_faction_briton_slingers	0.1500	4	1	Mer_Bri_Slingers
gaul_merc_faction_briton_spear	0.1500	3	1	Mer_Bri_Spear_Band
gaul_merc_faction_celtic_naked_sword	0.1000	3	1	Mer_Cel_Naked_Swords
gaul_merc_faction_celtic_warriors	0.1500	3	1	Mer_Cel_Warriors
gaul_merc_faction_gallic_hunters	0.1500	3	1	Mer_Gal_Gallic_Hunters
gaul_merc_faction_gallic_noble_horse	0.7500	2	1	Mer_Gal_Noble_Horse
gaul_merc_faction_gallic_warriors	0.1500	3	1	Mer_Gal_Warriors
gaul_merc_faction_german_hunters	0.1500	3	1	Mer_Ger_Longbow_Hunters
gaul_merc_faction_german_spear	0.1500	3	1	Mer_Ger_Spear_Brothers
gaul_merc_faction_hellenic_citizen_cav	0.1500	3	1	Mer_Gre_Citizen_Cav
gaul_merc_faction_hellenic_hoplites	0.1500	3	1	Mer_Gre_Hoplites
gaul_merc_faction_roman_balearic	0.0500	2	1	Mer_Ibe_Balearic_Slingers
gaul_merc_faction_roman_numidian	0.0500	2	1	Mer_Num_Cav
gaul_merc_faction_roman_spear	0.1500	3	1	Mer_Ita_Spear
gaul_merc_province_aquitania_gal_hunter	0.1500	3	1	Mer_Gal_Gallic_Hunters
gaul_merc_province_aquitania_gal_light_horse	0.1500	3	1	Mer_Gal_Light_Horse
gaul_merc_province_aquitania_gal_warrior	0.1500	3	1	Mer_Gal_Warriors
gaul_merc_province_arduenna_silva_cel_light_horse	0.1500	3	1	Mer_Cel_Light_Horse
gaul_merc_province_arduenna_silva_cel_skirmisher	0.1500	4	1	Mer_Cel_Skirm
gaul_merc_province_arduenna_silva_cel_warrior	0.1500	3	1	Mer_Cel_Warriors
gaul_merc_province_arduenna_silva_ger_longbow	0.1500	3	1	Mer_Ger_Longbow_Hunters
gaul_merc_province_aremorica_gal_light_horse	0.1500	3	1	Mer_Gal_Light_Horse
gaul_merc_province_aremorica_gal_noble_horse	0.1500	3	1	Mer_Gal_Noble_Horse
gaul_merc_province_aremorica_gal_warrior	0.1500	3	1	Mer_Gal_Warriors
gaul_merc_province_britannia_scout	0.1500	3	1	Mer_Bri_Scout_Riders
gaul_merc_province_britannia_slinger	0.1500	4	1	Mer_Bri_Slingers
gaul_merc_province_britannia_spear	0.1500	3	1	Mer_Bri_Spear_Band
gaul_merc_province_gergovia_gal_hunter	0.1500	3	1	Mer_Gal_Gallic_Hunters
gaul_merc_province_gergovia_gal_light_horse	0.1500	3	1	Mer_Gal_Light_Horse
gaul_merc_province_gergovia_gal_warrior	0.1500	3	1	Mer_Gal_Warriors
gaul_merc_province_germania_inferior_cel_light_horse	0.1500	3	1	Mer_Cel_Light_Horse
gaul_merc_province_germania_inferior_cel_skirmisher	0.1500	4	1	Mer_Cel_Skirm
gaul_merc_province_germania_inferior_cel_warrior	0.1500	3	1	Mer_Cel_Warriors
gaul_merc_province_germania_inferior_ger_longbow	0.1500	3	1	Mer_Ger_Longbow_Hunters
gaul_merc_province_helvetia_cel_light_horse	0.1500	3	1	Mer_Cel_Light_Horse
gaul_merc_province_helvetia_cel_naked_sword	0.1500	3	1	Mer_Cel_Naked_Swords
gaul_merc_province_helvetia_cel_short_sword	0.1500	4	1	Mer_Cel_Short_Swords
gaul_merc_province_helvetia_cel_skirmisher	0.1500	4	1	Mer_Cel_Skirm
gaul_merc_province_insubria_cel_light_horse	0.1500	3	1	Mer_Cel_Light_Horse
gaul_merc_province_insubria_cel_short_sword	0.1500	4	1	Mer_Cel_Short_Swords
gaul_merc_province_insubria_cel_skirmisher	0.1500	4	1	Mer_Cel_Skirm
gaul_merc_province_liguria_cel_light_horse	0.1500	3	1	Mer_Cel_Light_Horse
gaul_merc_province_liguria_cel_short_sword	0.1500	4	1	Mer_Cel_Short_Swords
gaul_merc_province_liguria_cel_skirmisher	0.1500	4	1	Mer_Cel_Skirm
gaul_merc_province_lugdunensis_gal_hunter	0.1500	3	1	Mer_Gal_Gallic_Hunters
gaul_merc_province_lugdunensis_gal_light_horse	0.1500	3	1	Mer_Gal_Light_Horse
gaul_merc_province_lugdunensis_gal_warrior	0.1500	3	1	Mer_Gal_Warriors
gaul_merc_province_lutetia_gal_light_horse	0.1500	3	1	Mer_Gal_Light_Horse
gaul_merc_province_lutetia_gal_noble_horse	0.1500	3	1	Mer_Gal_Noble_Horse
gaul_merc_province_lutetia_gal_warrior	0.1500	3	1	Mer_Gal_Warriors
gaul_merc_province_maxima_sequanorum_cel_light_horse	0.1500	3	1	Mer_Cel_Light_Horse
gaul_merc_province_maxima_sequanorum_cel_naked_sword	0.1500	3	1	Mer_Cel_Naked_Swords
gaul_merc_province_maxima_sequanorum_cel_short_sword	0.1500	4	1	Mer_Cel_Short_Swords
gaul_merc_province_maxima_sequanorum_cel_skirmisher	0.1500	4	1	Mer_Cel_Skirm
gaul_merc_province_narbonensis_gal_hunter	0.1500	3	1	Mer_Gal_Gallic_Hunters
gaul_merc_province_narbonensis_gal_light_horse	0.1500	3	1	Mer_Gal_Light_Horse
gaul_merc_province_narbonensis_gal_warrior	0.1500	3	1	Mer_Gal_Warriors
gaul_merc_province_naval_oceanus_britannicus_briton_raider	0.1500	1	1	Mer_Bri_Raider
gaul_merc_province_naval_oceanus_britannicus_gallic_medium_raider	0.1500	1	1	Mer_Gal_Medium_Raider
gaul_merc_province_naval_oceanus_britannicus_gallic_raider	0.1500	1	1	Mer_Gal_Raider
gaul_merc_province_naval_sinus_aquitanus_gallic_medium_raider	0.1500	1	1	Mer_Gal_Medium_Raider
gaul_merc_province_naval_sinus_aquitanus_gallic_raider	0.1500	1	1	Mer_Gal_Raider
gaul_merc_province_naval_sinus_gallicus_gallic_raider	0.1500	1	1	Mer_Gal_Raider
gaul_merc_province_naval_sinus_gallicus_greek_raider	0.1500	1	1	Mer_Gre_Raider
gaul_merc_province_pictavis_gal_light_horse	0.1500	3	1	Mer_Gal_Light_Horse
gaul_merc_province_pictavis_gal_noble_horse	0.1500	3	1	Mer_Gal_Noble_Horse
gaul_merc_province_pictavis_gal_warrior	0.1500	3	1	Mer_Gal_Warriors
gaul_merc_province_senonia_gal_hunter	0.1500	3	1	Mer_Gal_Gallic_Hunters
gaul_merc_province_senonia_gal_light_horse	0.1500	3	1	Mer_Gal_Light_Horse
gaul_merc_province_senonia_gal_warrior	0.1500	3	1	Mer_Gal_Warriors
gaul_merc_province_silva_carbonaria_cel_light_horse	0.1500	3	1	Mer_Cel_Light_Horse
gaul_merc_province_silva_carbonaria_cel_longbow	0.1500	3	1	Mer_Ger_Longbow_Hunters
gaul_merc_province_silva_carbonaria_cel_skirmisher	0.1500	4	1	Mer_Cel_Skirm
gaul_merc_province_silva_carbonaria_cel_warrior	0.1500	3	1	Mer_Cel_Warriors
gaul_merc_province_silva_nigra_ger_longbow	0.1500	3	1	Mer_Ger_Longbow_Hunters
gaul_merc_province_silva_nigra_ger_scout	0.1500	3	1	Mer_Ger_Scout_Riders
gaul_merc_province_silva_nigra_ger_spear	0.1500	3	1	Mer_Ger_Spear_Brothers
gaul_merc_province_transalpina_cel_skirmisher	0.1500	4	1	Mer_Cel_Skirm
gaul_merc_province_transalpina_gre_citizen_cav	0.1500	3	1	Mer_Gre_Citizen_Cav
gaul_merc_province_transalpina_gre_hoplites	0.1500	3	1	Mer_Gre_Hoplites
inv_faction_pool_syracuse_0	0.1000	3	1	inv_syr_mer_etr_archers
inv_faction_pool_syracuse_1	0.1000	3	1	inv_syr_mer_sardi_bowmen
inv_faction_pool_syracuse_10	0.1000	3	1	inv_syr_mer_samnite_veterans
inv_faction_pool_syracuse_11	0.1000	3	1	inv_syr_mer_sileraioi_hoplites
inv_faction_pool_syracuse_12	0.1000	3	1	inv_syr_mer_carthaginian_hoplites
inv_faction_pool_syracuse_13	0.1000	3	1	inv_syr_mer_volsci_veterans
inv_faction_pool_syracuse_14	0.1000	3	1	inv_syr_mer_eques
inv_faction_pool_syracuse_15	0.0500	1	1	inv_syr_mer_spartan_hoplites
inv_faction_pool_syracuse_16	0.0500	1	1	inv_syr_mer_thessalian_cavalry
inv_faction_pool_syracuse_17	0.0500	1	1	inv_syr_mer_artas'_chosen
inv_faction_pool_syracuse_18	0.0500	1	1	inv_syr_mer_african_elephants
inv_faction_pool_syracuse_19	0.0500	3	1	inv_mercenary_cretan_archers
inv_faction_pool_syracuse_2	0.1000	3	1	inv_syr_mer_latin_warriors
inv_faction_pool_syracuse_3	0.1000	3	1	inv_syr_mer_sicilian_tribesmen
inv_faction_pool_syracuse_4	0.1000	3	1	inv_syr_mer_gallic_axemen
inv_faction_pool_syracuse_5	0.1000	3	1	inv_syr_mer_iberian_cavalry
inv_faction_pool_syracuse_6	0.1000	3	1	inv_syr_mer_balearic_slingers
inv_faction_pool_syracuse_7	0.1000	3	1	inv_syr_mer_lucanian_veterans
inv_faction_pool_syracuse_8	0.1000	3	1	inv_syr_mer_naked_warriors
inv_faction_pool_syracuse_9	0.1000	3	1	inv_syr_mer_umbrian_defenders
inv_merc_province_apulia_grp_0	0.1500	3	1	inv_mercenary_artas'_chosen
inv_merc_province_bruttium_grp_0	0.2500	3	1	inv_mercenary_brutti_veterans
inv_merc_province_campania_grp_0	0.5000	3	1	inv_mercenary_campanian_cavalry
inv_merc_province_campania_grp_1	0.2500	3	1	inv_mercenary_italian_swordsmen
inv_merc_province_campania_grp_2	0.2500	3	1	inv_mercenary_italic_skirmishers
inv_merc_province_carthago_grp_0	0.5000	3	1	inv_mercenary_carthaginian_hoplites
inv_merc_province_carthago_grp_1	0.1500	3	1	inv_mercenary_african_cavalry
inv_merc_province_carthago_grp_2	0.1500	1	1	inv_mercenary_african_elephants
inv_merc_province_carthago_grp_3	0.5000	3	1	inv_mercenary_balearic_slingers
inv_merc_province_corsica_grp_0	0.5000	4	1	inv_mercenary_sardi_bowmen
inv_merc_province_corsica_grp_1	0.5000	3	1	inv_mercenary_nuragic_warriors
inv_merc_province_corsica_grp_2	0.1500	2	1	inv_mercenary_etruscan_axe_infantry
inv_merc_province_corsica_grp_3	0.1500	2	1	inv_mercenary_etruscan_hoplites
inv_merc_province_elymia_grp_0	0.5000	4	1	inv_mercenary_sicilian_slingers
inv_merc_province_elymia_grp_1	0.5000	4	1	inv_mercenary_sicilian_tribesmen
inv_merc_province_elymia_grp_2	0.1500	3	1	inv_mercenary_sileraioi_hoplites
inv_merc_province_elymia_grp_3	0.1500	3	1	inv_mercenary_carthaginian_hoplites
inv_merc_province_elymia_grp_4	0.1500	2	1	inv_mercenary_african_cavalry
inv_merc_province_etruscan_grp_0	0.1500	2	1	inv_mercenary_etruscan_axe_infantry
inv_merc_province_etruscan_grp_1	0.2500	3	1	inv_mercenary_etruscan_hoplites
inv_merc_province_etruscan_grp_2	0.1500	3	1	inv_mercenary_etr_archers
inv_merc_province_gallic_grp_0	0.1500	2	1	inv_mercenary_gallic_axe_cavalry
inv_merc_province_gallic_grp_1	0.7500	5	1	inv_mercenary_gallic_axemen
inv_merc_province_gallic_grp_2	0.3000	3	1	inv_mercenary_gallic_horsemen
inv_merc_province_greek_grp_0	0.2500	3	1	inv_mercenary_hoplites
inv_merc_province_greek_grp_1	0.1500	2	1	inv_mercenary_hippeus
inv_merc_province_greek_grp_2	0.2500	3	1	inv_mercenary_toxotes
inv_merc_province_illyrian_grp_0	0.5000	4	1	inv_mercenary_ill_raiders
inv_merc_province_italic_grp_0	0.5000	3	1	inv_mercenary_italian_hillmen
inv_merc_province_italic_grp_1	0.2500	2	1	inv_mercenary_italian_swordsmen
inv_merc_province_italic_grp_2	0.2500	3	1	inv_mercenary_italic_skirmishers
inv_merc_province_latium_grp_0	0.1500	2	1	inv_mercenary_volsci_veterans
inv_merc_province_latium_grp_1	0.7500	4	1	inv_mercenary_latin_warriors
inv_merc_province_latium_grp_2	0.1500	3	1	inv_mercenary_velites
inv_merc_province_liguria_grp_0	0.5000	3	1	inv_mercenary_ligurian_axe_warriors
inv_merc_province_liguria_grp_1	0.1500	2	1	inv_mercenary_ligurian_horsemen
inv_merc_province_liguria_grp_2	0.1500	3	1	inv_mercenary_ligurian_swordsmen
inv_merc_province_lucania_grp_0	0.2500	3	1	inv_mercenary_lucanian_veterans
inv_merc_province_lucania_grp_1	0.5000	3	1	inv_mercenary_italian_hillmen
inv_merc_province_lucania_grp_2	0.2500	2	1	inv_mercenary_italian_swordsmen
inv_merc_province_lucania_grp_3	0.2500	2	1	inv_mercenary_italic_skirmishers
inv_merc_province_naval_carthago_grp_0	0.2500	3	1	inv_greek_four_mercenary_carthaginian_hoplites
inv_merc_province_naval_carthago_grp_1	0.5000	4	1	inv_greek_two_halfer_mercenary_carthaginian_javelin
inv_merc_province_naval_carthago_grp_2	0.1500	2	1	inv_greek_three_mercenary_balearic_slingers
inv_merc_province_naval_carthago_grp_3	0.1500	2	1	inv_greek_three_mercenary_carthaginian_peltasts
inv_merc_province_naval_etruscan_grp_0	0.2500	2	1	inv_greek_three_mercenary_etr_archers
inv_merc_province_naval_etruscan_grp_1	0.1500	2	1	inv_greek_four_mercenary_etruscan_hoplites
inv_merc_province_naval_etruscan_grp_2	0.5000	3	1	inv_greek_two_mercenary_etruscan_axe_infantry
inv_merc_province_naval_greek_grp_0	0.1500	2	1	inv_greek_four_mercenary_hoplites
inv_merc_province_naval_greek_grp_1	0.2500	3	1	inv_greek_three_mercenary_toxotes
inv_merc_province_naval_greek_grp_2	0.5000	4	1	inv_greek_two_mercenary_hoplites
inv_merc_province_naval_illyrian_grp_0	0.7500	4	1	inv_barbarian_raider_melee_mercenary_ill_raiders
inv_merc_province_naval_illyrian_grp_1	0.1500	4	1	inv_barbarian_medium_raider_melee_mercenary_ill_hoplites
inv_merc_province_naval_liguria_grp_0	0.5000	2	1	inv_barbarian_medium_raider_melee_mercenary_ligurian_swordsmen
inv_merc_province_naval_liguria_grp_1	0.5000	3	1	inv_barbarian_raider_melee_mercenary_ligurian_axe_warriors
inv_merc_province_naval_liguria_grp_2	0.1500	2	1	inv_greek_four_mercenary_massilian_hoplites
inv_merc_province_naval_syracuse_grp_0	0.1500	3	1	inv_greek_four_mercenary_sileraioi_hoplites
inv_merc_province_naval_syracuse_grp_1	0.2500	3	1	inv_greek_three_mercenary_toxotes
inv_merc_province_naval_syracuse_grp_2	0.5000	4	1	inv_greek_two_mercenary_hoplites
inv_merc_province_roma_grp_0	0.7500	4	1	inv_mercenary_latin_warriors
inv_merc_province_roma_grp_1	0.1500	2	1	inv_mercenary_eques
inv_merc_province_roma_grp_2	0.1500	3	1	inv_mercenary_velites
inv_merc_province_sabinium_grp_0	0.5000	3	1	inv_mercenary_sabine_skirmishers
inv_merc_province_sabinium_grp_1	0.2500	3	1	inv_mercenary_aequi_swordsmen
inv_merc_province_sabinium_grp_2	0.2500	4	1	inv_mercenary_italian_hillmen
inv_merc_province_samnium_grp_0	0.3000	4	1	inv_mercenary_samnite_veterans
inv_merc_province_samnium_grp_1	0.5000	4	1	inv_mercenary_italian_hillmen
inv_merc_province_samnium_grp_2	0.1500	2	1	inv_mercenary_campanian_cavalry
inv_merc_province_samnium_grp_3	0.1500	2	1	inv_mercenary_lucanian_veterans
inv_merc_province_sardinia_grp_0	0.5000	4	1	inv_mercenary_sardi_bowmen
inv_merc_province_sardinia_grp_1	0.5000	3	1	inv_mercenary_nuragic_warriors
inv_merc_province_sardinia_grp_2	0.1500	2	1	inv_mercenary_carthaginian_hoplites
inv_merc_province_sardinia_grp_3	0.1500	2	1	inv_mercenary_african_cavalry
inv_merc_province_sardinia_grp_4	0.2500	3	1	inv_mercenary_nuragic_runners
inv_merc_province_senonia_grp_0	0.1500	2	1	inv_mercenary_naked_warriors
inv_merc_province_sicania_grp_0	0.5000	4	1	inv_mercenary_sicilian_slingers
inv_merc_province_sicania_grp_1	0.5000	4	1	inv_mercenary_sicilian_tribesmen
inv_merc_province_sicania_grp_2	0.1500	3	1	inv_mercenary_sileraioi_hoplites
inv_merc_province_sicania_grp_3	0.1500	3	1	inv_mercenary_toxotes
inv_merc_province_sicania_grp_4	0.1500	2	1	inv_mercenary_hippeus
inv_merc_province_sicania_grp_5	0.2000	2	1	inv_mercenary_ballista
inv_merc_province_umbria_grp_0	0.5000	3	1	inv_mercenary_umbrian_defenders
inv_merc_province_venetia_grp_0	0.1500	2	1	inv_mercenary_veneti_axemen
inv_merc_province_venetia_grp_1	0.2500	3	1	inv_mercenary_veneti_horsemen
inv_merc_province_venetia_grp_2	0.2500	3	1	inv_mercenary_veneti_raiders
pun_merc_province_afr_archers	0.3000	4	2	Mer_Afr_Archers
pun_merc_province_afr_cav	0.5000	2	1	Mer_Afr_Cav
pun_merc_province_afr_elephants	0.4000	2	1	Mer_Afr_Elephants
pun_merc_province_afr_spear	0.5000	4	2	Mer_Afr_Spear
pun_merc_province_cel_axe_warriors	0.3000	3	2	Mer_Cel_Axe_Warriors
pun_merc_province_cel_light_horse	0.5000	3	1	Mer_Cel_Light_Horse
pun_merc_province_cel_short_swords	0.3000	4	1	Mer_Cel_Short_Swords
pun_merc_province_cel_skirm	0.5000	4	2	Mer_Cel_Skirm
pun_merc_province_cel_warriors	0.4000	3	2	Mer_Cel_Warriors
pun_merc_province_gal_hunter	0.3000	3	1	Mer_Gal_Gallic_Hunters
pun_merc_province_gal_light_horse	0.4000	3	1	Mer_Gal_Light_Horse
pun_merc_province_gal_noble_hose	0.2000	3	1	Mer_Gal_Noble_Horse
pun_merc_province_gal_warriors	0.4000	3	1	Mer_Gal_Warriors
pun_merc_province_gre_citizen_cav	0.5000	3	1	Mer_Gre_Citizen_Cav
pun_merc_province_gre_cretan_archers	0.3000	3	1	Mer_Gre_Cretan_Archers
pun_merc_province_gre_hoplites	0.4000	3	1	Mer_Gre_Hoplites
pun_merc_province_gre_peltasts	0.5000	4	2	Mer_Gre_Peltasts
pun_merc_province_gre_rhodian_slingers	0.3000	3	1	Mer_Gre_Rhodian_Slingers
pun_merc_province_gre_tarantine_cav	0.5000	2	1	Mer_Gre_Tarantine_Cav
pun_merc_province_gre_thureos_spears	0.3000	3	1	Mer_Gre_Thureos_Spears
