key	culture	government_type	faction	option	string
accept	rom_Roman	gov_absolute_monarchy	3c_palmyra	2	fem_rome_zenobia_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	emp_antony	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	emp_antony	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	emp_antony	2	rome_ee_accept_requesting_03
accept	rom_Roman	gov_absolute_monarchy	emp_antony	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	emp_antony	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	emp_antony	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	emp_lepidus	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	emp_lepidus	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	emp_lepidus	2	rome_ee_accept_requesting_03
accept	rom_Roman	gov_absolute_monarchy	emp_lepidus	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	emp_lepidus	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	emp_lepidus	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	emp_octavian	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	emp_octavian	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	emp_octavian	2	rome_ee_accept_requesting_03
accept	rom_Roman	gov_absolute_monarchy	emp_octavian	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	emp_octavian	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	emp_octavian	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	emp_pompey	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	emp_pompey	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	emp_pompey	2	rome_ee_accept_requesting_03
accept	rom_Roman	gov_absolute_monarchy	emp_pompey	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	emp_pompey	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	emp_pompey	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_aequi	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_aequi	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_aequi	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_aequi	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_aequi	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_aleria	0	rome_Etr_Gen1_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_aleria	1	rome_Etr_Gen1_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_aleria	2	rome_Etr_Gen1_accept_requesting_03
accept	rom_Roman	gov_absolute_monarchy	inv_aritim	0	rome_Etr_Gen1_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_aritim	1	rome_Etr_Gen1_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_aritim	2	rome_Etr_Gen1_accept_requesting_03
accept	rom_Roman	gov_absolute_monarchy	inv_bruttii	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_bruttii	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_bruttii	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_bruttii	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_bruttii	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_daunians	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_daunians	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_daunians	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_daunians	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_daunians	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_felathri	0	rome_Etr_Gen1_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_felathri	1	rome_Etr_Gen1_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_felathri	2	rome_Etr_Gen1_accept_requesting_03
accept	rom_Roman	gov_absolute_monarchy	inv_frentani	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_frentani	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_frentani	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_frentani	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_frentani	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_hernici	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_hernici	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_hernici	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_hernici	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_hernici	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_inc_hirpini	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_inc_hirpini	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_inc_hirpini	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_inc_hirpini	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_inc_hirpini	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_lucani	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_lucani	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_lucani	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_lucani	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_lucani	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_marrucini	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_marrucini	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_marrucini	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_marrucini	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_marrucini	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_messapians	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_messapians	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_messapians	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_messapians	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_messapians	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_paeligni	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_paeligni	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_paeligni	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_paeligni	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_paeligni	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_peucetians	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_peucetians	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_peucetians	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_peucetians	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_peucetians	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_picentes	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_picentes	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_picentes	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_picentes	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_picentes	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_raeti	0	rome_Etr_Gen1_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_raeti	1	rome_Etr_Gen1_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_raeti	2	rome_Etr_Gen1_accept_requesting_03
accept	rom_Roman	gov_absolute_monarchy	inv_rebel_etruscan	0	rome_Etr_Gen1_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_rebel_etruscan	1	rome_Etr_Gen1_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_rebel_etruscan	2	rome_Etr_Gen1_accept_requesting_03
accept	rom_Roman	gov_absolute_monarchy	inv_rebel_iapygian	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_rebel_iapygian	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_rebel_iapygian	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_rebel_iapygian	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_rebel_iapygian	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_rebel_italic	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_rebel_italic	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_rebel_italic	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_rebel_italic	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_rebel_italic	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_sabines	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_sabines	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_sabines	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_sabines	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_sabines	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_samnites	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_samnites	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_samnites	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_samnites	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_samnites	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_samnites_civil_war	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_samnites_civil_war	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_samnites_civil_war	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_samnites_civil_war	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_samnites_civil_war	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_samnites_secession	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_samnites_secession	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_samnites_secession	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_samnites_secession	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_samnites_secession	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_tarchuna	0	rome_Etr_Gen1_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_tarchuna	1	rome_Etr_Gen1_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_tarchuna	2	rome_Etr_Gen1_accept_requesting_03
accept	rom_Roman	gov_absolute_monarchy	inv_tarchuna_civil_war	0	rome_Etr_Gen1_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_tarchuna_civil_war	1	rome_Etr_Gen1_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_tarchuna_civil_war	2	rome_Etr_Gen1_accept_requesting_03
accept	rom_Roman	gov_absolute_monarchy	inv_tarchuna_secession	0	rome_Etr_Gen1_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_tarchuna_secession	1	rome_Etr_Gen1_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_tarchuna_secession	2	rome_Etr_Gen1_accept_requesting_03
accept	rom_Roman	gov_absolute_monarchy	inv_umbri	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_umbri	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_umbri	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_umbri	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_umbri	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_veii	0	rome_Etr_Gen1_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_veii	1	rome_Etr_Gen1_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_veii	2	rome_Etr_Gen1_accept_requesting_03
accept	rom_Roman	gov_absolute_monarchy	inv_veneti	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_veneti	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_veneti	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_veneti	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_veneti	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_veneti_civil_war	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_veneti_civil_war	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_veneti_civil_war	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_veneti_civil_war	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_veneti_civil_war	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_veneti_secession	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_veneti_secession	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_veneti_secession	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_veneti_secession	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_veneti_secession	5	rome_accept_requesting_06
accept	rom_Roman	gov_absolute_monarchy	inv_viesul	0	rome_Etr_Gen1_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_viesul	1	rome_Etr_Gen1_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_viesul	2	rome_Etr_Gen1_accept_requesting_03
accept	rom_Roman	gov_absolute_monarchy	inv_volsci	0	rome_ee_accept_requesting_01
accept	rom_Roman	gov_absolute_monarchy	inv_volsci	1	rome_ee_accept_requesting_02
accept	rom_Roman	gov_absolute_monarchy	inv_volsci	3	rome_ee_accept_requesting_04
accept	rom_Roman	gov_absolute_monarchy	inv_volsci	4	rome_ee_accept_requesting_05
accept	rom_Roman	gov_absolute_monarchy	inv_volsci	5	rome_accept_requesting_06
acknowledge_accept	rom_Barbarian	gov_absolute_monarchy	rom_ardiaei	20	fem_rome_greek_acknowledge_accept
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	emp_egypt	20	fem_cleopatra_egypt_acknowledge_accept
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	inv_carthage	0	eastern_carthage_acknowledge_accept_01
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	inv_carthage	1	eastern_carthage_acknowledge_accept_02
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	inv_carthage	2	eastern_carthage_acknowledge_accept_03
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	inv_carthage	3	eastern_carthage_acknowledge_accept_04
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	inv_carthage	4	eastern_carthage_acknowledge_accept_05
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	inv_carthage	5	eastern_carthage_acknowledge_accept_06
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	inv_carthage	6	eastern_carthage_acknowledge_accept_07
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	inv_carthage	7	eastern_carthage_acknowledge_accept_08
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	inv_carthage	8	eastern_carthage_acknowledge_accept_09
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	inv_carthage	9	eastern_carthage_acknowledge_accept_10
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	rom_carthage	0	eastern_carthage_acknowledge_accept_01
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	rom_carthage	1	eastern_carthage_acknowledge_accept_02
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	rom_carthage	2	eastern_carthage_acknowledge_accept_03
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	rom_carthage	3	eastern_carthage_acknowledge_accept_04
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	rom_carthage	4	eastern_carthage_acknowledge_accept_05
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	rom_carthage	5	eastern_carthage_acknowledge_accept_06
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	rom_carthage	6	eastern_carthage_acknowledge_accept_07
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	rom_carthage	7	eastern_carthage_acknowledge_accept_08
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	rom_carthage	8	eastern_carthage_acknowledge_accept_09
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	rom_carthage	9	eastern_carthage_acknowledge_accept_10
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	rom_ptolemaics	0	eastern_egypt_acknowledge_accept_01
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	rom_ptolemaics	1	eastern_egypt_acknowledge_accept_02
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	rom_ptolemaics	2	eastern_egypt_acknowledge_accept_03
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	rom_ptolemaics	3	eastern_egypt_acknowledge_accept_04
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	rom_ptolemaics	4	eastern_egypt_acknowledge_accept_05
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	rom_ptolemaics	5	eastern_egypt_acknowledge_accept_06
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	rom_ptolemaics	6	eastern_egypt_acknowledge_accept_07
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	rom_ptolemaics	7	eastern_egypt_acknowledge_accept_08
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	rom_ptolemaics	8	eastern_egypt_acknowledge_accept_09
acknowledge_accept	rom_Hellenistic	gov_absolute_monarchy	rom_ptolemaics	9	eastern_egypt_acknowledge_accept_10
acknowledge_accept	rom_Roman	gov_absolute_monarchy	3c_palmyra	0	fem_rome_zenobia_acknowledge_accept_02
acknowledge_accept	rom_Roman	gov_absolute_monarchy	3c_palmyra	1	fem_rome_zenobia_acknowledge_accept_05
acknowledge_accept	rom_Roman	gov_absolute_monarchy	3c_palmyra	2	fem_rome_zenobia_acknowledge_accept_06
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_antony	0	rome_ee_acknowledge_accept_01
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_antony	1	rome_ee_acknowledge_accept_02
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_antony	2	rome_ee_acknowledge_accept_03
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_antony	3	rome_ee_acknowledge_accept_04
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_antony	4	rome_acknowledge_accept_05
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_antony	5	rome_ee_acknowledge_accept_06
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_antony	6	rome_ee_acknowledge_accept_07
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_antony	7	rome_acknowledge_accept_08
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_antony	8	rome_ee_acknowledge_accept_09
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_antony	9	rome_acknowledge_accept_10
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_lepidus	0	rome_ee_acknowledge_accept_01
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_lepidus	1	rome_ee_acknowledge_accept_02
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_lepidus	2	rome_ee_acknowledge_accept_03
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_lepidus	3	rome_ee_acknowledge_accept_04
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_lepidus	4	rome_acknowledge_accept_05
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_lepidus	5	rome_ee_acknowledge_accept_06
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_lepidus	6	rome_ee_acknowledge_accept_07
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_lepidus	7	rome_acknowledge_accept_08
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_lepidus	8	rome_ee_acknowledge_accept_09
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_lepidus	9	rome_acknowledge_accept_10
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_octavian	0	rome_ee_acknowledge_accept_01
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_octavian	1	rome_ee_acknowledge_accept_02
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_octavian	2	rome_ee_acknowledge_accept_03
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_octavian	3	rome_ee_acknowledge_accept_04
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_octavian	4	rome_acknowledge_accept_05
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_octavian	5	rome_ee_acknowledge_accept_06
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_octavian	6	rome_ee_acknowledge_accept_07
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_octavian	7	rome_acknowledge_accept_08
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_octavian	8	rome_ee_acknowledge_accept_09
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_octavian	9	rome_acknowledge_accept_10
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_pompey	0	rome_ee_acknowledge_accept_01
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_pompey	1	rome_ee_acknowledge_accept_02
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_pompey	2	rome_ee_acknowledge_accept_03
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_pompey	3	rome_ee_acknowledge_accept_04
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_pompey	4	rome_acknowledge_accept_05
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_pompey	5	rome_ee_acknowledge_accept_06
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_pompey	6	rome_ee_acknowledge_accept_07
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_pompey	7	rome_acknowledge_accept_08
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_pompey	8	rome_ee_acknowledge_accept_09
acknowledge_accept	rom_Roman	gov_absolute_monarchy	emp_pompey	9	rome_acknowledge_accept_10
acknowledge_accept	rom_Roman	gov_absolute_monarchy	inv_aequi	0	rome_ee_acknowledge_accept_01
acknowledge_accept	rom_Roman	gov_absolute_monarchy	inv_aequi	1	rome_ee_acknowledge_accept_02
acknowledge_accept	rom_Roman	gov_absolute_monarchy	inv_aequi	2	rome_ee_acknowledge_accept_03
acknowledge_accept	rom_Roman	gov_absolute_monarchy	inv_aequi	3	rome_ee_acknowledge_accept_04
acknowledge_accept	rom_Roman	gov_absolute_monarchy	inv_aequi	4	rome_acknowledge_accept_05
acknowledge_accept	rom_Roman	gov_absolute_monarchy	inv_aequi	5	rome_ee_acknowledge_accept_06
acknowledge_accept	rom_Roman	gov_absolute_monarchy	inv_aequi	6	rome_ee_acknowledge_accept_07
