effect	bonus_value_id	unit_ability
rom_general_mod_cooldown_rate	recharge_mod	form_pike_wall
rom_general_mod_cooldown_rate	recharge_mod	form_shield_screen
rom_general_mod_cooldown_rate	recharge_mod	form_shield_wall
rom_general_mod_cooldown_rate	recharge_mod	form_testudo
rom_general_mod_cooldown_rate	recharge_mod	form_testudo_defensive
rom_general_mod_cooldown_rate	recharge_mod	form_wedge
rom_general_mod_cooldown_rate	recharge_mod	frenzied_charge
rom_general_mod_cooldown_rate	recharge_mod	frenzied_charge_inf
rom_general_mod_cooldown_rate	recharge_mod	frenzy
rom_general_mod_cooldown_rate	recharge_mod	headhunt
rom_general_mod_cooldown_rate	recharge_mod	kill_elephants
rom_general_mod_cooldown_rate	recharge_mod	killing_spree
rom_general_mod_cooldown_rate	recharge_mod	light_infantry_behaviour
rom_general_mod_cooldown_rate	recharge_mod	precision_shot
rom_general_mod_cooldown_rate	recharge_mod	quick_reload
rom_general_mod_cooldown_rate	recharge_mod	rapid_advance
rom_general_mod_cooldown_rate	recharge_mod	rapid_volley
rom_general_mod_cooldown_rate	recharge_mod	screech
rom_general_mod_cooldown_rate	recharge_mod	second_wind
rom_general_mod_cooldown_rate	recharge_mod	steady_advance
rom_general_mod_cooldown_rate	recharge_mod	steady_retreat
rom_general_mod_cooldown_rate	recharge_mod	trample
rom_general_mod_cooldown_rate	recharge_mod	use_the_whip
rom_general_mod_cooldown_rate	recharge_mod	warcry
