agent_manager_key	skill_key	priority
general_pirate	general_cavalry_commander	10
general_pirate	general_diehard_fighter	60
general_pirate	general_field_attacker	10
general_pirate	general_field_defender	10
general_pirate	general_honourable	10
general_pirate	general_infantry_leader	10
general_pirate	general_inspirational	10
general_pirate	general_intimidating	10
general_pirate	general_legendary_warrior	10
general_pirate	general_living_treasure	10
general_pirate	general_master_horseman	10
general_pirate	general_master_swordsman	70
general_pirate	general_pirate	80
general_pirate	general_poet	10
general_pirate	general_religious	10
general_pirate	general_siege_attacker	10
general_pirate	general_siege_defender	10
general_pirate	general_strategist	50
general_pirate	general_warrior	50
general_poet	general_admiral	10
general_poet	general_ambush	10
general_poet	general_ashigaru_general	10
general_poet	general_cavalry_commander	10
general_poet	general_diehard_fighter	10
general_poet	general_field_attacker	10
general_poet	general_field_defender	10
general_poet	general_honourable	50
general_poet	general_infantry_leader	10
general_poet	general_inspirational	50
general_poet	general_intimidating	10
general_poet	general_legendary_warrior	10
general_poet	general_living_treasure	50
general_poet	general_master_horseman	10
general_poet	general_master_swordsman	10
general_poet	general_pirate	10
general_poet	general_poet	50
general_poet	general_religious	50
general_poet	general_siege_attacker	10
general_poet	general_siege_defender	10
general_poet	general_strategist	10
general_poet	general_warrior	10
general_strategist	general_admiral	50
general_strategist	general_ambush	10
general_strategist	general_ashigaru_general	50
general_strategist	general_cavalry_commander	50
general_strategist	general_diehard_fighter	10
general_strategist	general_field_attacker	50
general_strategist	general_field_defender	50
general_strategist	general_honourable	10
general_strategist	general_infantry_leader	50
general_strategist	general_inspirational	10
general_strategist	general_intimidating	10
general_strategist	general_legendary_warrior	10
general_strategist	general_living_treasure	10
general_strategist	general_master_horseman	10
general_strategist	general_master_swordsman	10
general_strategist	general_pirate	10
general_strategist	general_poet	10
general_strategist	general_religious	10
general_strategist	general_siege_attacker	50
general_strategist	general_siege_defender	50
general_strategist	general_strategist	50
general_strategist	general_warrior	0
general_warrior	general_admiral	10
general_warrior	general_ambush	10
general_warrior	general_ashigaru_general	10
general_warrior	general_cavalry_commander	10
general_warrior	general_diehard_fighter	50
general_warrior	general_field_attacker	10
general_warrior	general_field_defender	10
general_warrior	general_honourable	10
general_warrior	general_infantry_leader	10
general_warrior	general_inspirational	10
general_warrior	general_intimidating	10
general_warrior	general_legendary_warrior	50
general_warrior	general_living_treasure	10
general_warrior	general_master_horseman	50
general_warrior	general_master_swordsman	50
general_warrior	general_pirate	10
general_warrior	general_poet	10
general_warrior	general_religious	10
general_warrior	general_siege_attacker	10
general_warrior	general_siege_defender	10
general_warrior	general_strategist	10
general_warrior	general_warrior	50
parent_army	age_agent_champion_authority_drill_sergeant	200
parent_army	age_agent_champion_authority_drunkard	50
parent_army	age_agent_champion_authority_festive	50
parent_army	age_agent_champion_authority_historian	200
parent_army	age_agent_champion_authority_horsebreeder	100
parent_army	age_agent_champion_authority_mentor	200
parent_army	age_agent_champion_authority_officer	50
parent_army	age_agent_champion_authority_officer_native_units	50
parent_army	age_agent_champion_authority_paedotribe	70
parent_army	age_agent_champion_authority_renowned	70
parent_army	age_agent_champion_subterfuge_siege_expert	30
parent_army	age_agent_champion_zeal_centurion	50
parent_army	age_agent_champion_zeal_hoplite	50
parent_army	age_agent_champion_zeal_marksman	50
parent_army	age_agent_champion_zeal_sadistic	70
