key	campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	tier	subculture
3c_alani_navy_4_Veteran_Fleet	main_3c	3c_navy_4_Veteran_Fleet	3c_alani_navy_legacy	3c_alani	20	4	
3c_armenia_army_1_Accomplished_Archers	main_3c	3c_army_1_Accomplished_Archers	3c_armenia_army_legacy	3c_armenia	10	1	
3c_armenia_army_1_Artillery_Experts	main_3c	3c_army_1_Artillery_Experts	3c_armenia_army_legacy	3c_armenia	10	2	
3c_armenia_army_1_Dread_Ambushers	main_3c	3c_army_1_Dread_Ambushers	3c_armenia_army_legacy	3c_armenia	20	2	
3c_armenia_army_1_Engineering_Experts	main_3c	3c_army_1_Engineering_Experts	3c_armenia_army_legacy	3c_armenia	20	1	
3c_armenia_army_1_Formidable_Spearmen	main_3c	3c_army_1_Formidable_Spearmen	3c_armenia_army_legacy	3c_armenia	30	1	
3c_armenia_army_1_Keepers_of_the_Peace	main_3c	3c_army_1_Keepers_of_the_Peace	3c_armenia_army_legacy	3c_armenia	30	2	
3c_armenia_army_1_Stalwart_Defenders	main_3c	3c_army_1_Stalwart_Defenders	3c_armenia_army_legacy	3c_armenia	40	2	
3c_armenia_army_2_Inexorable_Conquerors	main_3c	3c_army_2_Inexorable_Conquerors	3c_armenia_army_legacy	3c_armenia	50	2	
3c_armenia_army_2_Unrelenting_Force	main_3c	3c_army_2_Unrelenting_Force	3c_armenia_army_legacy	3c_armenia	60	2	
3c_armenia_army_3_Grand_Camp_Following	main_3c	3c_army_3_Grand_Camp_Following	3c_armenia_army_legacy	3c_armenia	10	3	
3c_armenia_army_3_Indomitable_Infantry	main_3c	3c_army_3_Indomitable_Infantry	3c_armenia_army_legacy	3c_armenia	30	3	
3c_armenia_army_3_Light_Cavalry_Masters	main_3c	3c_army_3_Light_Cavalry_Masters	3c_armenia_army_legacy	3c_armenia	20	3	
3c_armenia_army_4_Peerless_Marksmen	main_3c	3c_army_4_Peerless_Marksmen	3c_armenia_army_legacy	3c_armenia	10	4	
3c_armenia_army_4_Veteran_armenia_army	main_3c	3c_army_4_Veteran_Army	3c_armenia_army_legacy	3c_armenia	20	4	
3c_armenia_navy_1_Destroyers	main_3c	3c_navy_1_Destroyers	3c_armenia_navy_legacy	3c_armenia	10	1	
3c_armenia_navy_1_Formidable_Marines	main_3c	3c_navy_1_Formidable_Marines	3c_armenia_navy_legacy	3c_armenia	20	1	
3c_armenia_navy_1_Naval_Marksmen	main_3c	3c_navy_1_Naval_Marksmen	3c_armenia_navy_legacy	3c_armenia	30	1	
3c_armenia_navy_2_Blockade_Runners	main_3c	3c_navy_2_Blockade_Runners	3c_armenia_navy_legacy	3c_armenia	10	2	
3c_armenia_navy_2_Intrepid_Escorts	main_3c	3c_navy_2_Intrepid_Escorts	3c_armenia_navy_legacy	3c_armenia	20	2	
3c_armenia_navy_2_Ship_Defenders	main_3c	3c_navy_2_Ship_Defenders	3c_armenia_navy_legacy	3c_armenia	30	2	
3c_armenia_navy_3_Able_Seamen	main_3c	3c_navy_3_Able_Seamen	3c_armenia_navy_legacy	3c_armenia	10	3	
3c_armenia_navy_3_Master_Shipwrights	main_3c	3c_navy_3_Master_Shipwrights	3c_armenia_navy_legacy	3c_armenia	20	3	
3c_armenia_navy_3_Pirate_Hunters	main_3c	3c_navy_3_Pirate_Hunters	3c_armenia_navy_legacy	3c_armenia	30	3	
3c_armenia_navy_4_Masters_of_the_Sea	main_3c	3c_navy_4_Masters_of_the_Sea	3c_armenia_navy_legacy	3c_armenia	10	4	
3c_armenia_navy_4_Veteran_Fleet	main_3c	3c_navy_4_Veteran_Fleet	3c_armenia_navy_legacy	3c_armenia	20	4	
3c_caledoni_army_1_Accomplished_Skirmishers	main_3c	3c_army_1_Accomplished_Skirmishers	3c_caledoni_army_legacy	3c_caledoni	10	1	
3c_caledoni_army_1_Dread_Ambushers	main_3c	3c_army_1_Dread_Ambushers_gallic	3c_caledoni_army_legacy	3c_caledoni	40	1	
3c_caledoni_army_1_Dread_Charioteers_caledon	main_3c	3c_army_1_Dread_Charioteers_caledon	3c_caledoni_army_legacy	3c_caledoni	50	1	
3c_caledoni_army_1_Formidable_Fighters	main_3c	3c_army_1_Formidable_Fighters	3c_caledoni_army_legacy	3c_caledoni	30	1	
3c_caledoni_army_1_Keepers_of_the_Peace	main_3c	3c_army_1_Keepers_of_the_Peace	3c_caledoni_army_legacy	3c_caledoni	10	2	
3c_caledoni_army_1_Siege_Experts	main_3c	3c_army_1_Siege_Experts	3c_caledoni_army_legacy	3c_caledoni	20	1	
3c_caledoni_army_1_Stalwart_Defenders	main_3c	3c_army_1_Stalwart_Defenders	3c_caledoni_army_legacy	3c_caledoni	20	2	
3c_caledoni_army_2_Furor_Celtica	main_3c	3c_army_2_Furor_Celtica	3c_caledoni_army_legacy	3c_caledoni	50	2	
3c_caledoni_army_2_Inexorable_Conquerors	main_3c	3c_army_2_Inexorable_Conquerors	3c_caledoni_army_legacy	3c_caledoni	30	2	
3c_caledoni_army_2_Unrelenting_Force	main_3c	3c_army_2_Unrelenting_Force	3c_caledoni_army_legacy	3c_caledoni	40	2	
3c_caledoni_army_3_Cavalry_Masters	main_3c	3c_army_3_Cavalry_Masters	3c_caledoni_army_legacy	3c_caledoni	30	3	
3c_caledoni_army_3_Dread_Marauders	main_3c	3c_army_3_Dread_Marauders	3c_caledoni_army_legacy	3c_caledoni	20	3	
3c_caledoni_army_3_Grand_Camp_Following	main_3c	3c_army_3_Grand_Camp_Following	3c_caledoni_army_legacy	3c_caledoni	10	3	
3c_caledoni_army_4_Sentinels_of_the_North	main_3c	3c_army_4_Sentinels_of_the_North	3c_caledoni_army_legacy	3c_caledoni	10	4	
3c_caledoni_army_4_Veteran_Army	main_3c	3c_army_4_Veteran_Army	3c_caledoni_army_legacy	3c_caledoni	20	4	
3c_caledoni_navy_1_Dread_Pirates	main_3c	3c_navy_1_Dread_Pirates	3c_caledoni_navy_legacy	3c_caledoni	10	1	
3c_caledoni_navy_1_Formidable_Marines	main_3c	3c_navy_1_Formidable_Marines	3c_caledoni_navy_legacy	3c_caledoni	20	1	
3c_caledoni_navy_1_Naval_Marksmen	main_3c	3c_navy_1_Naval_Marksmen	3c_caledoni_navy_legacy	3c_caledoni	30	1	
3c_caledoni_navy_2_Intrepid_Escorts	main_3c	3c_navy_2_Intrepid_Escorts	3c_caledoni_navy_legacy	3c_caledoni	10	2	
3c_caledoni_navy_2_Ship_Defenders	main_3c	3c_navy_2_Ship_Defenders	3c_caledoni_navy_legacy	3c_caledoni	20	2	
3c_caledoni_navy_3_Able_Seamen	main_3c	3c_navy_3_Able_Seamen	3c_caledoni_navy_legacy	3c_caledoni	10	3	
3c_caledoni_navy_3_Master_Shipwrights	main_3c	3c_navy_3_Master_Shipwrights	3c_caledoni_navy_legacy	3c_caledoni	20	3	
3c_caledoni_navy_4_Masters_of_the_Sea	main_3c	3c_navy_4_Masters_of_the_Sea	3c_caledoni_navy_legacy	3c_caledoni	10	4	
3c_caledoni_navy_4_Veteran_Fleet	main_3c	3c_navy_4_Veteran_Fleet	3c_caledoni_navy_legacy	3c_caledoni	20	4	
3c_gallicemp_army_1_Accomplished_Skirmishers	main_3c	3c_army_1_Accomplished_Skirmishers	3c_gallicemp_army_legacy	3c_gallicemp	20	1	
3c_gallicemp_army_1_Artillery_Experts	main_3c	3c_army_1_Artillery_Experts	3c_gallicemp_army_legacy	3c_gallicemp	20	2	
3c_gallicemp_army_1_Dread_Ambushers_gallic	main_3c	3c_army_1_Dread_Ambushers_gallic	3c_gallicemp_army_legacy	3c_gallicemp	40	1	
3c_gallicemp_army_1_Dread_Charioteers	main_3c	3c_army_1_Dread_Charioteers	3c_gallicemp_army_legacy	3c_gallicemp	30	2	
3c_gallicemp_army_1_Engineering_Experts	main_3c	3c_army_1_Engineering_Experts	3c_gallicemp_army_legacy	3c_gallicemp	50	1	
3c_gallicemp_army_1_Formidable_Swordsmen	main_3c	3c_army_1_Formidable_Swordsmen	3c_gallicemp_army_legacy	3c_gallicemp	60	1	
3c_gallicemp_army_1_Keepers_of_the_Peace_gallic	main_3c	3c_army_1_Keepers_of_the_Peace	3c_gallicemp_army_legacy	3c_gallicemp	10	2	
3c_gallicemp_army_1_Stalwart_Defenders	main_3c	3c_army_1_Stalwart_Defenders	3c_gallicemp_army_legacy	3c_gallicemp	40	2	
3c_gallicemp_army_2_Inexorable_Conquerors	main_3c	3c_army_2_Inexorable_Conquerors	3c_gallicemp_army_legacy	3c_gallicemp	50	2	
3c_gallicemp_army_2_Unrelenting_Force	main_3c	3c_army_2_Unrelenting_Force	3c_gallicemp_army_legacy	3c_gallicemp	60	2	
3c_gallicemp_army_3_Auxiliary_Corps	main_3c	3c_army_3_Auxiliary_Corps	3c_gallicemp_army_legacy	3c_gallicemp	10	3	
3c_gallicemp_army_3_Barbarian_Subjugators	main_3c	3c_army_3_Barbarian_Subjugators	3c_gallicemp_army_legacy	3c_gallicemp	20	3	
3c_gallicemp_army_3_Cavalry_Masters	main_3c	3c_army_3_Cavalry_Masters	3c_gallicemp_army_legacy	3c_gallicemp	30	3	
3c_gallicemp_army_3_Grand_Camp_Following	main_3c	3c_army_3_Grand_Camp_Following	3c_gallicemp_army_legacy	3c_gallicemp	40	3	
3c_gallicemp_army_3_Indomitable_Legionaries	main_3c	3c_army_3_Indomitable_Legionaries	3c_gallicemp_army_legacy	3c_gallicemp	50	3	
3c_gallicemp_army_3_Mercenary_Host	main_3c	3c_army_3_Mercenary_Host	3c_gallicemp_army_legacy	3c_gallicemp	60	3	
3c_gallicemp_army_4_True_Romans	main_3c	3c_army_4_True_Romans	3c_gallicemp_army_legacy	3c_gallicemp	10	4	
3c_gallicemp_army_4_Veteran_Army	main_3c	3c_army_4_Veteran_Army	3c_gallicemp_army_legacy	3c_gallicemp	20	4	
3c_gallicemp_navy_1_Destroyers	main_3c	3c_navy_1_Destroyers	3c_gallicemp_navy_legacy	3c_gallicemp	10	1	
3c_gallicemp_navy_1_Formidable_Marines	main_3c	3c_navy_1_Formidable_Marines	3c_gallicemp_navy_legacy	3c_gallicemp	20	1	
3c_gallicemp_navy_1_Naval_Marksmen	main_3c	3c_navy_1_Naval_Marksmen	3c_gallicemp_navy_legacy	3c_gallicemp	30	1	
3c_gallicemp_navy_2_Blockade_Runners	main_3c	3c_navy_2_Blockade_Runners	3c_gallicemp_navy_legacy	3c_gallicemp	10	2	
3c_gallicemp_navy_2_Intrepid_Escorts	main_3c	3c_navy_2_Intrepid_Escorts	3c_gallicemp_navy_legacy	3c_gallicemp	20	2	
3c_gallicemp_navy_2_Ship_Defenders	main_3c	3c_navy_2_Ship_Defenders	3c_gallicemp_navy_legacy	3c_gallicemp	30	2	
3c_gallicemp_navy_3_Able_Seamen	main_3c	3c_navy_3_Able_Seamen	3c_gallicemp_navy_legacy	3c_gallicemp	10	3	
3c_gallicemp_navy_3_Master_Shipwrights	main_3c	3c_navy_3_Master_Shipwrights	3c_gallicemp_navy_legacy	3c_gallicemp	20	3	
3c_gallicemp_navy_3_Pirate_Hunters	main_3c	3c_navy_3_Pirate_Hunters	3c_gallicemp_navy_legacy	3c_gallicemp	30	3	
3c_gallicemp_navy_4_Masters_of_the_Sea	main_3c	3c_navy_4_Masters_of_the_Sea	3c_gallicemp_navy_legacy	3c_gallicemp	10	4	
3c_gallicemp_navy_4_Veteran_Fleet	main_3c	3c_navy_4_Veteran_Fleet	3c_gallicemp_navy_legacy	3c_gallicemp	20	4	
3c_general_admiral_1_navigator		3c_general_admiral_1_navigator	3c_general_skills		67	1	
3c_general_admiral_2_inspiring_admiral		3c_general_admiral_2_inspiring_admiral	3c_general_skills		64	2	
3c_general_admiral_2_seasoned_marine		3c_general_admiral_2_seasoned_marine	3c_general_skills		71	2	
3c_general_admiral_3_maritime_archer		3c_general_admiral_3_maritime_archer	3c_general_skills		71	3	
3c_general_admiral_3_naval_commander		3c_general_admiral_3_naval_commander	3c_general_skills		64	3	
3c_general_admiral_4_naval_tactics		3c_general_admiral_4_naval_tactics	3c_general_skills		67	4	
3c_general_background_skill_barb_east_personal_authority		general_background_non_roman_personal_authority	3c_general_skills		130	0	sc_rom_barb_east
3c_general_background_skill_barb_east_personal_courage		general_background_non_roman_personal_courage	3c_general_skills		100	0	sc_rom_barb_east
3c_general_background_skill_barb_east_personal_dignity		general_background_non_roman_personal_dignity	3c_general_skills		10	0	sc_rom_barb_east
3c_general_background_skill_barb_east_personal_dutifulness		general_background_non_roman_personal_dutifulness	3c_general_skills		20	0	sc_rom_barb_east
3c_general_background_skill_barb_east_personal_fortitude		general_background_non_roman_personal_fortitude	3c_general_skills		30	0	sc_rom_barb_east
3c_general_background_skill_barb_east_personal_frugality		general_background_non_roman_personal_frugality	3c_general_skills		40	0	sc_rom_barb_east
3c_general_background_skill_barb_east_personal_gravity		general_background_non_roman_personal_gravity	3c_general_skills		50	0	sc_rom_barb_east
3c_general_background_skill_barb_east_personal_humanity		general_background_non_roman_personal_humanity	3c_general_skills		60	0	sc_rom_barb_east
3c_general_background_skill_barb_east_personal_humour		general_background_non_roman_personal_humour	3c_general_skills		70	0	sc_rom_barb_east
3c_general_background_skill_barb_east_personal_industriousness		general_background_non_roman_personal_industriousness	3c_general_skills		80	0	sc_rom_barb_east
3c_general_background_skill_barb_east_personal_mercy		general_background_non_roman_personal_mercy	3c_general_skills		90	0	sc_rom_barb_east
3c_general_background_skill_barb_east_personal_prudence		general_background_non_roman_personal_prudence	3c_general_skills		110	0	sc_rom_barb_east
3c_general_background_skill_barb_east_personal_respectability		general_background_non_roman_personal_respectability	3c_general_skills		120	0	sc_rom_barb_east
3c_general_background_skill_barb_east_personal_sternness		general_background_non_roman_personal_sternness	3c_general_skills		140	0	sc_rom_barb_east
3c_general_background_skill_barb_east_personal_tenacity		general_background_non_roman_personal_tenacity	3c_general_skills		150	0	sc_rom_barb_east
3c_general_background_skill_barb_east_personal_truthfulness		general_background_non_roman_personal_truthfulness	3c_general_skills		160	0	sc_rom_barb_east
3c_general_background_skill_barb_east_personal_wholesomeness		general_background_non_roman_personal_wholesomeness	3c_general_skills		170	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_agriculture		general_background_non_roman_public_agriculture	3c_general_skills		240	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_clemency		general_background_non_roman_public_clemency	3c_general_skills		180	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_confidence		general_background_non_roman_public_confidence	3c_general_skills		190	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_dutifulness		general_background_non_roman_public_dutifulness	3c_general_skills		200	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_endurance		general_background_non_roman_public_endurance	3c_general_skills		210	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_fair		general_background_non_roman_public_fair	3c_general_skills		220	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_faith		general_background_non_roman_public_faith	3c_general_skills		230	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_forethought		general_background_non_roman_public_forethought	3c_general_skills		250	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_fortune		general_background_non_roman_public_fortune	3c_general_skills		260	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_freedom		general_background_non_roman_public_freedom	3c_general_skills		270	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_giving		general_background_non_roman_public_giving	3c_general_skills		280	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_harmony		general_background_non_roman_public_harmony	3c_general_skills		290	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_hope		general_background_non_roman_public_hope	3c_general_skills		300	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_joy		general_background_non_roman_public_joy	3c_general_skills		310	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_justice		general_background_non_roman_public_justice	3c_general_skills		320	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_luck		general_background_non_roman_public_luck	3c_general_skills		330	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_mirth		general_background_non_roman_public_mirth	3c_general_skills		340	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_modesty		general_background_non_roman_public_modesty	3c_general_skills		350	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_nobility		general_background_non_roman_public_nobility	3c_general_skills		360	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_peace		general_background_non_roman_public_peace	3c_general_skills		370	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_plenty		general_background_non_roman_public_plenty	3c_general_skills		380	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_prosperity		general_background_non_roman_public_prosperity	3c_general_skills		390	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_spirit		general_background_non_roman_public_spirit	3c_general_skills		410	0	sc_rom_barb_east
3c_general_background_skill_barb_east_public_wealth		general_background_non_roman_public_wealth	3c_general_skills		420	0	sc_rom_barb_east
3c_general_background_skill_british_personal_authority		general_background_non_roman_personal_authority	3c_general_skills		130	0	sc_rom_british
3c_general_background_skill_british_personal_courage		general_background_non_roman_personal_courage	3c_general_skills		100	0	sc_rom_british
3c_general_background_skill_british_personal_dignity		general_background_non_roman_personal_dignity	3c_general_skills		10	0	sc_rom_british
3c_general_background_skill_british_personal_dutifulness		general_background_non_roman_personal_dutifulness	3c_general_skills		20	0	sc_rom_british
3c_general_background_skill_british_personal_fortitude		general_background_non_roman_personal_fortitude	3c_general_skills		30	0	sc_rom_british
3c_general_background_skill_british_personal_frugality		general_background_non_roman_personal_frugality	3c_general_skills		40	0	sc_rom_british
3c_general_background_skill_british_personal_gravity		general_background_non_roman_personal_gravity	3c_general_skills		50	0	sc_rom_british
3c_general_background_skill_british_personal_humanity		general_background_non_roman_personal_humanity	3c_general_skills		60	0	sc_rom_british
3c_general_background_skill_british_personal_humour		general_background_non_roman_personal_humour	3c_general_skills		70	0	sc_rom_british
3c_general_background_skill_british_personal_industriousness		general_background_non_roman_personal_industriousness	3c_general_skills		80	0	sc_rom_british
3c_general_background_skill_british_personal_mercy		general_background_non_roman_personal_mercy	3c_general_skills		90	0	sc_rom_british
3c_general_background_skill_british_personal_prudence		general_background_non_roman_personal_prudence	3c_general_skills		110	0	sc_rom_british
3c_general_background_skill_british_personal_respectability		general_background_non_roman_personal_respectability	3c_general_skills		120	0	sc_rom_british
3c_general_background_skill_british_personal_sternness		general_background_non_roman_personal_sternness	3c_general_skills		140	0	sc_rom_british
3c_general_background_skill_british_personal_tenacity		general_background_non_roman_personal_tenacity	3c_general_skills		150	0	sc_rom_british
3c_general_background_skill_british_personal_truthfulness		general_background_non_roman_personal_truthfulness	3c_general_skills		160	0	sc_rom_british
3c_general_background_skill_british_personal_wholesomeness		general_background_non_roman_personal_wholesomeness	3c_general_skills		170	0	sc_rom_british
3c_general_background_skill_british_public_agriculture		general_background_non_roman_public_agriculture	3c_general_skills		240	0	sc_rom_british
3c_general_background_skill_british_public_clemency		general_background_non_roman_public_clemency	3c_general_skills		180	0	sc_rom_british
3c_general_background_skill_british_public_confidence		general_background_non_roman_public_confidence	3c_general_skills		190	0	sc_rom_british
3c_general_background_skill_british_public_dutifulness		general_background_non_roman_public_dutifulness	3c_general_skills		200	0	sc_rom_british
3c_general_background_skill_british_public_endurance		general_background_non_roman_public_endurance	3c_general_skills		210	0	sc_rom_british
3c_general_background_skill_british_public_fair		general_background_non_roman_public_fair	3c_general_skills		220	0	sc_rom_british
3c_general_background_skill_british_public_faith		general_background_non_roman_public_faith	3c_general_skills		230	0	sc_rom_british
3c_general_background_skill_british_public_forethought		general_background_non_roman_public_forethought	3c_general_skills		250	0	sc_rom_british
3c_general_background_skill_british_public_fortune		general_background_non_roman_public_fortune	3c_general_skills		260	0	sc_rom_british
3c_general_background_skill_british_public_freedom		general_background_non_roman_public_freedom	3c_general_skills		270	0	sc_rom_british
3c_general_background_skill_british_public_giving		general_background_non_roman_public_giving	3c_general_skills		280	0	sc_rom_british
3c_general_background_skill_british_public_harmony		general_background_non_roman_public_harmony	3c_general_skills		290	0	sc_rom_british
3c_general_background_skill_british_public_hope		general_background_non_roman_public_hope	3c_general_skills		300	0	sc_rom_british
3c_general_background_skill_british_public_joy		general_background_non_roman_public_joy	3c_general_skills		310	0	sc_rom_british
3c_general_background_skill_british_public_justice		general_background_non_roman_public_justice	3c_general_skills		320	0	sc_rom_british
3c_general_background_skill_british_public_luck		general_background_non_roman_public_luck	3c_general_skills		330	0	sc_rom_british
3c_general_background_skill_british_public_mirth		general_background_non_roman_public_mirth	3c_general_skills		340	0	sc_rom_british
3c_general_background_skill_british_public_modesty		general_background_non_roman_public_modesty	3c_general_skills		350	0	sc_rom_british
3c_general_background_skill_british_public_nobility		general_background_non_roman_public_nobility	3c_general_skills		360	0	sc_rom_british
3c_general_background_skill_british_public_peace		general_background_non_roman_public_peace	3c_general_skills		370	0	sc_rom_british
3c_general_background_skill_british_public_plenty		general_background_non_roman_public_plenty	3c_general_skills		380	0	sc_rom_british
3c_general_background_skill_british_public_prosperity		general_background_non_roman_public_prosperity	3c_general_skills		390	0	sc_rom_british
3c_general_background_skill_british_public_spirit		general_background_non_roman_public_spirit	3c_general_skills		410	0	sc_rom_british
3c_general_background_skill_british_public_wealth		general_background_non_roman_public_wealth	3c_general_skills		420	0	sc_rom_british
3c_general_background_skill_eastern_personal_authority		general_background_non_roman_personal_authority	3c_general_skills		130	0	sc_rom_eastern
3c_general_background_skill_eastern_personal_courage		general_background_non_roman_personal_courage	3c_general_skills		100	0	sc_rom_eastern
3c_general_background_skill_eastern_personal_dignity		general_background_non_roman_personal_dignity	3c_general_skills		10	0	sc_rom_eastern
3c_general_background_skill_eastern_personal_dutifulness		general_background_non_roman_personal_dutifulness	3c_general_skills		20	0	sc_rom_eastern
3c_general_background_skill_eastern_personal_fortitude		general_background_non_roman_personal_fortitude	3c_general_skills		30	0	sc_rom_eastern
3c_general_background_skill_eastern_personal_frugality		general_background_non_roman_personal_frugality	3c_general_skills		40	0	sc_rom_eastern
3c_general_background_skill_eastern_personal_gravity		general_background_non_roman_personal_gravity	3c_general_skills		50	0	sc_rom_eastern
3c_general_background_skill_eastern_personal_humanity		general_background_non_roman_personal_humanity	3c_general_skills		60	0	sc_rom_eastern
3c_general_background_skill_eastern_personal_humour		general_background_non_roman_personal_humour	3c_general_skills		70	0	sc_rom_eastern
3c_general_background_skill_eastern_personal_industriousness		general_background_non_roman_personal_industriousness	3c_general_skills		80	0	sc_rom_eastern
3c_general_background_skill_eastern_personal_mercy		general_background_non_roman_personal_mercy	3c_general_skills		90	0	sc_rom_eastern
3c_general_background_skill_eastern_personal_prudence		general_background_non_roman_personal_prudence	3c_general_skills		110	0	sc_rom_eastern
3c_general_background_skill_eastern_personal_respectability		general_background_non_roman_personal_respectability	3c_general_skills		120	0	sc_rom_eastern
3c_general_background_skill_eastern_personal_sternness		general_background_non_roman_personal_sternness	3c_general_skills		140	0	sc_rom_eastern
3c_general_background_skill_eastern_personal_tenacity		general_background_non_roman_personal_tenacity	3c_general_skills		150	0	sc_rom_eastern
3c_general_background_skill_eastern_personal_truthfulness		general_background_non_roman_personal_truthfulness	3c_general_skills		160	0	sc_rom_eastern
3c_general_background_skill_eastern_personal_wholesomeness		general_background_non_roman_personal_wholesomeness	3c_general_skills		170	0	sc_rom_eastern
3c_general_background_skill_eastern_public_agriculture		general_background_non_roman_public_agriculture	3c_general_skills		240	0	sc_rom_eastern
3c_general_background_skill_eastern_public_clemency		general_background_non_roman_public_clemency	3c_general_skills		180	0	sc_rom_eastern
3c_general_background_skill_eastern_public_confidence		general_background_non_roman_public_confidence	3c_general_skills		190	0	sc_rom_eastern
3c_general_background_skill_eastern_public_dutifulness		general_background_non_roman_public_dutifulness	3c_general_skills		200	0	sc_rom_eastern
3c_general_background_skill_eastern_public_endurance		general_background_non_roman_public_endurance	3c_general_skills		210	0	sc_rom_eastern
3c_general_background_skill_eastern_public_fair		general_background_non_roman_public_fair	3c_general_skills		220	0	sc_rom_eastern
3c_general_background_skill_eastern_public_faith		general_background_non_roman_public_faith	3c_general_skills		230	0	sc_rom_eastern
3c_general_background_skill_eastern_public_forethought		general_background_non_roman_public_forethought	3c_general_skills		250	0	sc_rom_eastern
3c_general_background_skill_eastern_public_fortune		general_background_non_roman_public_fortune	3c_general_skills		260	0	sc_rom_eastern
3c_general_background_skill_eastern_public_freedom		general_background_non_roman_public_freedom	3c_general_skills		270	0	sc_rom_eastern
3c_general_background_skill_eastern_public_giving		general_background_non_roman_public_giving	3c_general_skills		280	0	sc_rom_eastern
